1869808790_396459194704232448 x	Good night my fellow #flyersfans hard to not hang head, just stretch it out tomorrow night @7
1869808790_394473938547646464 x	@howardeskin chances eagles pursue fitzs in the os? It would prob. Mean d-jack n def. Our 1st rounder
1869808790_394473575237046272 x	Would u offer either maclin or d-jack for fitz? Mac coming off injury, id do d-jack but it would prob. Mean our 1st round pick to
1869808790_394348860891750400 x	Unrelated sports comment-cant make everyone happy but youll find out who is closest to u as u get older #emo #happyflyerswon!!
1869808790_394326171313508352 x	@TSNBobMcKenzie i dont like how that was the ending play, bs call? Yes!
1869808790_394325810066513920 x	@TSNBobMcKenzie watching the replay over n over, like i stated both were going hard, making that call was timid, he was obv. Out...replay??
1869808790_394325489034489856 x	@TSNBobMcKenzie bob as reported there was an apparent trip on the game winning slide that was supposed interference, both were going hard..
1869808790_394324853333180416 x	Vinny a hatty, G with 2 helpers, voracek with a gl...top line has the confidence growing n i know its the isles but like the direction!
1869808790_394314962140938240 x	R u fn kidding me, boston got fn rooooooooobed!!
1869808790_394108948808491009 x	With harts returning will the #flyers break out with help from the vet, practice yesterday, easy going, confidence growing??
1869808790_394094311924858880 x	French Canadian "Giroud" scores a gl. For Arsenal an english professional soccer team, now lets have "Giroux" score tonight #scoregiroux
1869808790_394080983982829568 x	Dont like mcginn being sent down, id put him on 4th line idc berube says he needs to b more consistent lol guy has more gls than anyone
1869808790_393860612855705600 x	So overall the guy was basically implying that giroux wasnt good n that my friend is hilarious, hes better than good n will b fine #relax
1869808790_393859210452418560 x	He didnt know what to say after that, my point was that theres plenty of teams i dispise but i respect a players game because i love hockey
1869808790_393858859024285696 x	I asked why he didnt like grioux n he replied, "idk i just dont while snickering" i said i dont like crosby the person but respect his game
1869808790_393858579742339074 x	just got back from the bank n the teller was a pens fan n doing fantasy hockey, i asked whats ur team name, fraud giroux, i said thats cute
1869808790_393730918344826881 x	#flyers win an ugly one last night over a team who was injured n more so top guys, what does that say?? Giroux/voracek still goalless
1869808790_393544376347275264 x	#nothappywiththisfreakinteamthatihavetomakethishashtagsolongbecauseimmadthanks!
1869808790_393537399864958976 x	Enough excuses giroux, would u please put 1 in the back of the net asap!! Playing against scrubs n its 1-1 #somthingisstillnotright
1869808790_393534216899944450 x	How come were not fn this team up?? #nothappysofar
1869808790_393402562055270400 x	@Clancy haha my next selfie is gonna b just my hand
1869808790_393402359076093952 x	@BroadStBull where does harts fit on this team when he returns?
1869808790_393402021677895680 x	@Clancy dude wtf lol
1869808790_393381903119945729 x	@RealRocket22 lastly, an example in another sport, u dont watch football for the big hits but more for the big catch, big run, deep pass ect
1869808790_393384026083708928 x	@RealRocket22 id like to see the #flyers get away from that game, i want to see more skill n speed from this team...
1869808790_393383441078960128 x	@RealRocket22 i agree but as long as their clean n not dustin penner or even last nights bruin/sabers gm. But i guess it happens in all sp
1869808790_393380335108775936 x	@RealRocket22 tough guys r good in the league but def. Not over the skilled players, a hit is nice but a toe drag move ill take any day!!
1869808790_393379489449009153 x	@RealRocket22 tough guy with skill, seems the #flyers always go after the big fighters, hard to find the "skilled" ones
1869808790_393378288275841024 x	After a 6 day layoff, its time to see if the #flyers can show their identity, score more than 2, and beat a rival team who is hurting #WIN!
1869808790_393016375847174144 x	Rags goalie henry day to day skated without pads the other day will likely miss tomorrows game #flyers to take on cam talbot
1869808790_393014500150243328 x	@CandiStrud *best gf
1869808790_393014335460888576 x	@CandiStrud thanks for my gf @CandiStrud for my dunkin doughnuts
1869808790_393013496117751809 x	@RealRocket22 @JohnBorukCSN no because the talent from mac n drou will even out, do u think weber will finish's with preds.??
1869808790_393012481398149120 x	@BroadStBull @arsenalmad79 involving forwards or defenseman?
1869808790_392998280755679232 x	@BroadStBull how likely could we see a trade for thomas vanek?
1869808790_392753673136529408 x	@BroadStBull http://t.co/tsugKTIQ4L says Giroux on rw is this true? Im guessing their wrong
1869808790_392750868531261442 x	Just speaking as an outsider as usual, but does anyone else agree voracek should replace raffl with his speed/skill thats my only tweek
1869808790_392749909310709760 x	@sbaickerCSN i like voracek over raffl for his speed n skill, lines look nice but thats my tweek
1869808790_392730126775238657 x	@tpanotchCSN good move, time to start the process of saying gbye to a good player, i dont c em being resigned, #moveingon
1869808790_392664016285626368 x	@billmeltzer nice line depth, still want jake up top though
1869808790_392491637605416960 x	RT @CandiStrud: Scary Halloween Movies ?
1869808790_392378068964499456 x	Last nights #walkingdead episode was classic, this season might pan out to b the best of all at this pace #creativestorylines
1869808790_392376589826420736 x	@BroadStBull possibly to fool the rags n game plan diffrently?
1869808790_392337733513138176 x	#flyers coach berube very hard on his players, lot of people agreeing that they looked very diff./thats a good thing, will c on thurs!
1869808790_392336903150010368 x	Today @ #flyers practice alot of diff. schemes being used, bring puck into the zone, fighting in corners, lots of speed n skill, #intense
1869808790_392265604889325568 x	RT @Hockey_tracker: Ottawa Sun reports the Philadelphia #Flyers have tried to trade Andrej Mezsaros since the summer and are willing to tra?
1869808790_392018640914358272 x	#justthrewup well back to all terrible sports teams because all gms make fucking dumb choices n dont SEE talent!! #fml
1869808790_392019883749564416 x	@eriksooy yeah i know that, i was being to optimistic with em being tied for 1st in our division, lots of rebuild round philly sports
1869808790_392049328224997376 x	@eriksooy just type in google sedins n flyers trade n u get these crazy reports
1869808790_392051477310881792 x	@eriksooy yeah the age would b the biggest thing, aint getting any younger n in sports thats always the case besides injury
1869808790_392056889288429568 x	@eriksooy more of the option would b vanek, but i think hes to much $$$ need a sniper though
1869808790_392057615016271872 x	@eriksooy i would like to get em, we have trade options, would u trade 1st round though??
1869808790_392070222867611648 x	@eriksooy theyd want 1st, n one of those 3 guys u mentioned, id part with cousins
1869808790_392049055523934208 x	@eriksooy kdid u hear bout the sedins rumors? Lmao pretty riculous but u could only imagine n thats about all we can do haha
1869808790_392015834627194880 x	Wouldnt b surprised if barkley goes 3 and out maybe 1 first down #rusty #hopeimwrong
1869808790_392015153342197760 x	I called it, looks like barkley coming in, look at my tweets from earlier #legit lol
1869808790_392014767818547201 x	Eagles defense starting to let plays happen, very strange game between the 2 rivals #booooooooooring
1869808790_391993391246229504 x	Barkley 2nd half???
1869808790_391983232461574144 x	Defense taking over the 1st of this rivalry #nerves? #2ndhalfgonnabhugeimo
1869808790_391972961869373440 x	Rocky in the backround #gametime #letsgo #birds
1869808790_391967108978184192 x	@tytompkins19 2/2 although lmao what if.......stop its not true hahaha but, could it??? No...right?? I have to stop thinking bout it, right?
1869808790_391967851705552896 x	@tytompkins19 who for em though, simms, mez/coby n picks?
1869808790_391968820996620288 x	@tytompkins19 i think voracek can open space for giroux but humor me for a sec. In this sedin's rumor, how n what would it take??lol
1869808790_391969946768797696 x	@tytompkins19 haha yeah completely unrealistic, n fact that they both have to b together makes it more, would they ever split?
1869808790_391968594407735297 x	@tytompkins19 pronger deal? Yeah if we really continue to fall we may end up getting a top pick n we would benefit more from it
1869808790_391966794921295872 x	@tytompkins19 bro r u hearing this bs rumors about the sedin twins?? Saying teams r interested including the flyers, i have to laugh wtf 1/2
1869808790_391966452531875840 x	@JoshRimerHockey cant believe im even looking at this as a possibility, if homer got it done he would bolster himself as a #GMGod
1869808790_391962579918409729 x	@martybiron43 @DarrenDreger thanks for the philly years marty!!
1869808790_391962042946813952 x	@BroadStBull how about vinny's status for thurs?
1869808790_391948571937112064 x	A #Eagles win will take away the sting a lil of the bad #Flyers (this is starting to feel like the season we cant talk about, again...)
1869808790_391948080641507328 x	@sbaickerCSN we philly fans express our feelings pretty obvious with our sports round here...
1869808790_391947457980268544 x	(No murray, ware doubtful-foles player of the week, mccoy leads league in rushing yards) sounds like a recipe for a W #BeatDallas
1869808790_391639784395137025 x	RT @CandiStrud: @Al_DeLaurentis http://t.co/ksWPQT70xC
1869808790_391281245105451008 x	@DNFlyers mine as well let other guys come up n c what they can do, were horrible right now so whats the diffrence
1869808790_391234723340881920 x	He has been moving the puck better, winning battles, i c his confidence coming out with each game, 50-60 pt. Season imo
1869808790_391234361900924929 x	Another decent outing from b.schenn although he should have buried that puck last night, it was bouncing around though...
1869808790_391233313006161920 x	@DNFlyers another big question frank please give me your opinion, what is going to happen with coburn???
1869808790_391233010026029056 x	@DNFlyers bring up olly n trade mez for our own $$
1869808790_391015656671674368 x	Game was closer than the score says...fuck....
1869808790_391019152636661760 x	@eriksooy i should restate that, it was terrible esp. In 2nd period when pens legit couldnt b stopped i im aiming more towards 3rd per
1869808790_391020514288091136 x	@eriksooy im totally with u bro im just trying to make light of this horrible situation, 6 days of prac. Will b good to practice system
1869808790_391024258593607680 x	@eriksooy look schenn is looking like his confidence is getting better so ive been happy so far with em, coots needs line mates
1869808790_391026756595236864 x	@eriksooy everyone feeling that way, flyers r stuck in the 70's snider doesnt want to admit it, feel bad for lavy but hated dump n chase
1869808790_391018288933011456 x	@eriksooy well just the third period but yeah gave crosby a goal for 7 straight now, homer fired imo
1869808790_391019369016623104 x	@eriksooy trade off mez or coburn
1869808790_391014590064390144 x	Well needed i may add though!
1869808790_391014505960194048 x	Well there goes that...........#6freakindaysoffugh
1869808790_391013010363666432 x	Starting to shake my one leg like a crazy f**K
1869808790_391003359580553216 x	Some ones starting to get luke warm....hmmmmm #flyers
1869808790_391002278888738817 x	@tpanotchCSN at least were passionate lol
1869808790_391002192268001281 x	RT @tpanotchCSN: Flyer fans have a total meltdown on Twitter tonight. #watchthebridges
1869808790_390997735845134336 x	Im sorry but.....WHAT THE FUCK WAS THAT!!!! #flyersbs
1869808790_390863064603824128 x	Heres a thought- manziel an eagles possible?? Lots of teams may pass on em because of size but if hes there????? Foles/barkley.....
1869808790_390472852430139392 x	Team struggles affecting multiple players for #flyers solid performance last night, have to finish in 3rd and put up more than 2 goals!
1869808790_390236940131659776 x	Final thought Giroux big contract, gets the ''C'' the golf thingy, line mates, get it back on page, put shit behind em, when he does #letsgo
1869808790_390236357257625600 x	Giroux has to get confidence back, get voracek n him killing it again, he says game is beautiful but not having fun, coaches can help that
1869808790_390235485056299008 x	Both players going through similar type struggles, stats pretty close in comparison n soon this talk will b an after thought #relax
1869808790_390234851565400064 x	My opinion on why Giroux playing a bit diff. Other than injury n constant line mates changing, look at e.staal, very simular in a way folks.
1869808790_390232496144932865 x	@tpanotchCSN what type of season will Giroux have? Injury still bothering em? Line mates changing alot? Reminds me of e.staal struggles
1869808790_390232045622149120 x	RT @tpanotchCSN: yes, the Flyers and Oilers have talked in recent weeks but I dont see it happening with Yakupov. Lotta struggling clubs ca?
1869808790_390231951711674368 x	@JohnBorukCSN ok heres my thought, eric stall went through same thing, he'll b fine, think about that!
1869808790_390158243756249088 x	Still early but so far been happy with b.schenn's play, needs to continue to grow confidence, keep plahing his game and finish finish finish
1869808790_390157935936307200 x	Flys n nucks tonight, both on losing streaks, both need players to step up, who r u focusing harder on tonight, giroux, schenn, voracek ect.
1869808790_389942441828433920 x	@JohnBorukCSN @ALLsportsINTEL no thanks, guy just quoted as playing "his game" so forecheck n checking not ur game? Welcome to nhl bro
