76801385_400140813650235392 x	@CodySiwicki i'm a socialite
76801385_399284089234403328 x	wow this dining hall worker (aka ex-inmate) is patting her weave so hard
76801385_399282682745458688 x	wow same!!1!!!!1 http://t.co/ahBovLzrFo
76801385_399276560504856576 x	why the fuck did i go to college in the northeast lmao i hate the cold
76801385_399275769798852608 x	@SamPottorff @shawnmegira Oh since when are y'all bffs
76801385_399257093246816256 x	hi
76801385_399039492935651328 x	RT @anuscosgrove: just took a shit! text it<3 http://t.co/8TT7KVheV5
76801385_399010697738076160 x	me getting the photo wiff is me achieving
76801385_399000144684666880 x	i dont understand why people ask me this lmao like do you want me to know you're using me??? http://t.co/VcPqUBIeJv
76801385_398999427005698048 x	its so fucking cold out jndifjekdsjfkew bye im relocating to miami
76801385_398997997687955456 x	with Dakota Fanning in Philly today ? http://t.co/46MueUvBU0
76801385_398934715932999681 x	rolling around philly in our black caddy with our driver Saleh lmao @Brookebonsted http://t.co/8JhkyyZlLi
76801385_398925703594266624 x	blessed just met Dakota Fanning in philly! So sweet
76801385_398895227806957568 x	ok http://t.co/PUwHqal2WV
76801385_398843856474886144 x	im in a public bathroom and this guy in one of the stalls literally just shit so loud im trying not to laugh LMAOOOOOO
76801385_398827385807994880 x	What kind of math teacher gives a quiz at 9:46 when the class ends at 9:50? Wtf
76801385_398803838024433664 x	quick selfie before school http://t.co/uVkCol3MuQ
76801385_398694909374636032 x	Demi looks like horse shit next to you RT ?@selenagomez: It's just the evidence of forever. No matter what ddlovato http://t.co/WH7AhLeNJa?
76801385_398618603437973505 x	Paris hilton for president 2016 http://t.co/iJKv9x3PyO
76801385_398592907310931969 x	Omfg http://t.co/N9JBBum1yR
76801385_398572971087761408 x	happy birthday to my bae @cookieSAMwiches ??
76801385_398572562159906817 x	dinner in center city ?
76801385_398532087281512448 x	she looks like slutty dora with that hair http://t.co/RuqoLCPGrT
76801385_398521568726249473 x	baby i http://t.co/AMwR8g5Frv
76801385_398497599843749888 x	#votearianagrande because cher lloyd is a flop and austin mahone sounds like shit
76801385_398493318713450496 x	i dont feel like getting out of bed ?
76801385_398458540048011264 x	scooter braun is king
76801385_398334788891066368 x	French fans needa chill http://t.co/p99ms7AzwC
76801385_398321186284650496 x	my life will never be normal
76801385_398314180903567361 x	HAPPY BIRTHDAY @Brookebonsted!! CANT WAIT TO SEE YOU FRIDAY WOOOOO GONNA GET TURNT WITH @madeon!!
76801385_398294122601381888 x	DEAD at beliebers saying the girl is a maid... Lmao nice try, shes a fucking prostitute!!! Get over it and realize your "idol" is shit!
76801385_398292664543494144 x	I'm sorry but justin bieber is stupid like he wants people to respect him and everything but then he does stupid shit that makes him an ass
76801385_398292420099444736 x	just got back from an advanced screening of justin timberlake and oscar isaac's new movie "Inside Llewyn Davis"-- Check it out on Dec 20th!
76801385_398289348480622592 x	Omg my @Uber driver didnt open the door for me
76801385_398226550719795200 x	RT @LanaDelRey: You're boring me to death and I'm already dead.
76801385_398223371508273152 x	i cant make it to new york tomorrow to see all my friends and meet ed but whatever i'm going soon enough
76801385_398218493331800064 x	this line at starbucks is the STRUGGLE wow i need a vip pass
76801385_398200774448402433 x	cant wait for #teamblessed to reunite this weekend @Brookebonsted @ElanSmirnoff
76801385_398156956768403456 x	one direction fans are so pressed omg lmao im dying like chill they wont be around much longer anyway
76801385_398155487050760192 x	one direction not beating miley's VEVO record is the best thing to happen this week
76801385_398153568601255936 x	counting down the days till me and ariana reunite
76801385_398151484736827392 x	@ArianaGrande YESSSS QUEEEEEN SLAY MY EARDRUMS
76801385_398130247880548352 x	whats the point of going to a concert if you have shitty ass seats like you're better off watching that shit on youtube tbh
76801385_398130074412523520 x	see you april 22nd bby @MileyCyrus
76801385_397945854058696704 x	hoLY SHIT THAT GIRL FUckING PLOPPED
76801385_397945634478493696 x	MY LAST RETWEET I CANT FUCKING BREATHE
76801385_397945594586873856 x	RT @orgasmicgomez: preview of adeles new video! https://t.co/d8AS8H3jbN
76801385_397944705129803776 x	don't talk to me unless you have a black card
76801385_397945399987560448 x	@michaelcreight - Hi this Ian's management. For more information and bookings contact us at ianraymond@live.com
76801385_397941206023303168 x	me too https://t.co/bP6YVq4TYr
76801385_397936036786864128 x	me https://t.co/pCYOt4hOp1
76801385_397921576789622784 x	sometimes i forget that lana del rey is alive because i feel like she's in the wrong time period
76801385_397913877309964288 x	australia is like the hot and better version of england
76801385_397912826674556928 x	time is going by sooooo fast and i love it
76801385_397907311735230464 x	#votearianagrande
76801385_397897533260722176 x	if miley vip is really like $800 i better fucking get 10 pictures including iphone selfies and a fucking lap dance on stage tbh
76801385_397895878913953792 x	typos are the reason for the teardrops on my macbook
76801385_397869921327411200 x	im so bored someone come save me from this class
76801385_397817503331938304 x	? http://t.co/dgrTnhEtKa
76801385_397788519436808192 x	@michaelcreight OFMG OUR QUEEN
76801385_397786166138662913 x	can't wait to reunite soon @ArianaGrande
76801385_397786664522629120 x	@NIALLPHOBIC @ArianaGrande I APOLOGIZE
76801385_397786446251057152 x	i cant retweet this cause you're protected so i'll quote tweet YOLO RT "@emilymosenson: @theianraym0nd king of Ariana's favorites"
76801385_397785540873158656 x	i thought ariana like forgot about me but she didnt she cant im her king of whole foods ?????
76801385_397785099040587776 x	love you my queen of whole foods @ArianaGrande http://t.co/0PEClK9qjN
76801385_397784882266779648 x	HELP aRIANA FAVORITED ME
76801385_397784540888186880 x	@ArianaGrande queen of confusion
76801385_397779762497986560 x	RT @sammihungerford: so I wanna meet @theianraym0nd
76801385_397769399190712320 x	the twitter app is so fucking annoying
76801385_397769158555074560 x	i should probably get out of bed
76801385_397594449561124864 x	still not over the slayage of G.U.Y. @Zedd @ladygaga
76801385_397587769863569408 x	me: i'll text you back in 10 minutes *482 days later* me: hey whats up
76801385_397577033737601024 x	@ArianaGrande queen of chuckles
76801385_397538394021961729 x	i love my fans
76801385_397537900599853057 x	i hate fans that sit on twitter all day purposely looking for people hating on their fave just so they can pick a fight and defend them
76801385_397536070830542848 x	i miss ariana so much i cant wait to see her soon
76801385_397535857852166145 x	SO FUCKIN TURNT http://t.co/lu4clhVRZb
76801385_397534312725094402 x	what the fuck is a cimorelli like why do they exist they like suck big fat juicy monkey titties
76801385_397533930867273729 x	did i ask for my instagram comments to be an election http://t.co/Nu9kj2l7kq
76801385_397530976387366912 x	@orionnichole @e_hazey IM JOINING CAUSE WERE ALL FRIENDS WITH EACHOTHER
76801385_397533774893694977 x	@e_hazey @orionnichole can you imagine the two kings of pop and the one queen of pop uniting OMG it would be so ICONIC
76801385_397529557349466113 x	OMG dyke queen jane lynch will be in philly tomorrow
76801385_397529793367146496 x	@ElanSmirnoff lmfao im too lazy to get out of bed at 9am for her flop ass
76801385_397529697153982464 x	king of rap pitbull was added to phillys jingleball woah cant wait to meet him!!!
76801385_397523348034715648 x	city with bae @andrearussett ??   p.s. Everyone check out her clothing line, Flawd Clothing, on? http://t.co/KwdtcZUuOO
76801385_397509938118811648 x	me and @carsonfanikos love our driver http://t.co/uf1ASexl3y
76801385_397491974145449984 x	city w/ bae @AndreaRussett http://t.co/9BkuOS7sfh
76801385_397490136125960192 x	Some girls were like "is this you i follow you" and showed me my instagram LMAO love my fans
76801385_397489764791623681 x	lmao i love when people recognize me
76801385_397489278608871424 x	Lmao @AndreaRussett was like "hi ian so good to see you again" and people were like umm who the fuck
76801385_397459490443771905 x	RT @carsonfanikos: Are you here?  "My driver just got me" #yolo
76801385_397457948680527872 x	yall thought i was kidding when i got a driver http://t.co/TBZAsJ9JM7
76801385_397456687655030784 x	waiting for my driver smh he takes so long
76801385_397412919001890816 x	"he's a veteran he gets it cheaper" "aww how does he operate on dogs i would cry" "VETERAN DUMB ASS"
76801385_397405076395790336 x	@SamFazz good morning queen of pop
76801385_397394091924660224 x	LMFAO DEAD AT JUSTIN BIEBER BEING CAUGHT AT A BROTHEL IN BRAZIL
76801385_397387729240989696 x	i like woke andrea up
76801385_397386872155934720 x	@DemiNicolex3 OMG YOLO!!!!!
76801385_397381394856300544 x	how can i take your opinion seriously when you stan for carly rae jepsen
76801385_397376597012926464 x	why some people wear sneakers with dress pants will never make sense to me
76801385_397372057455169536 x	wakey wakey bitch before i come to your hotel and wake you up @AndreaRussett
76801385_397363492615122945 x	i stay slaying the math game with these quizzes woo 85 ballin
76801385_397218180520624128 x	can't wait to turn up with @Brookebonsted and @madeon later this weeeeeek
76801385_397207097429225472 x	RT @mk_mcgg: never knew I was going to a therapy session when I walked into a Demi lovato concert. wtf
76801385_397201363613925376 x	r u alive @LanaDelRey
76801385_397178837492318208 x	i'm 18 and i still think teddy grahams are the shit
76801385_397178689907343360 x	you're just a pig inside a human body
76801385_397167381287804928 x	happy birthday @A_Copp ??
76801385_397167067633565696 x	touch me http://t.co/gVaXRep9Jm
76801385_397165929639194624 x	me 24/7 http://t.co/YGiGXpd6dn
76801385_397163673229459456 x	Baby I on the radio i jUST EXPLODED @ArianaGrande
76801385_397161542556590080 x	kardashians are on tonight GOD FUCKING BLESS
76801385_397152775097688064 x	shes so cute http://t.co/xEFeReCpxX
76801385_397153505452261376 x	@NickDelGaga german beer bc shes in frankfurt
76801385_397114571371974656 x	yesterday i saw @camilacabello97 eat a banana. It was the greatest moment of my life
76801385_397063744859430912 x	RT @wmysad: @Zedd truly inspirational.... life changing... these lyrics saved my life http://t.co/jYm9CaM2t5
76801385_397063527607062528 x	IM DONE WITH YOU @wmysad
76801385_397062819226865664 x	homework can kill itself twice
76801385_397061073050021888 x	@Jonahthegreat im taking an online exam and i have to shit
76801385_397030812232986625 x	goooood morning
76801385_396851062856245248 x	i will never understand people who are completely satisfied with living ordinary lives
76801385_396806746368638976 x	What kind of pose is this someone please explain http://t.co/u3ZsjKSFxl
76801385_396790778321965056 x	RT @jannamacpherson: Me http://t.co/uBzaBbr7Ha
76801385_396790628022890496 x	@SamFazz SAM HAVE YOU LISTENED TO ARTPOP !?!?@! I FEEL LIKE HER SONGS JUST PUT ME IN A SPACESHIP AND SHOT ME UP HER LADY PARTS
76801385_396787172746854401 x	OFMG I FEEL LIKE GAGA JUST RIPPED ME OPEN AND PUT A SPEAKER INSIDE ME WITH THESE HOT ASS BEATS
76801385_396780452037414912 x	how is it not even 7:30pm yet wat
76801385_396780070934556672 x	this slays http://t.co/6o52X0Ntww
76801385_396762068038455296 x	i still look at this and laugh from when that girl asked me to sign her arm http://t.co/90QgR48LRJ
76801385_396751775388413952 x	@ArianaGrande queen of animals
76801385_396700033456017408 x	thanks for blowing me a kiss babe @camilacabello97 ?
76801385_396699788852617216 x	i cannot stand whoever just brought fifth harmony in saying they dont have time for pics with two people
76801385_396636122383912960 x	IF YOURE GONNA LEAK AN ALBUM FUCKING LEAK IT IN HQ NOT THIS LOW QUALITY SHIT IM pISSED BYE
76801385_396505035494162432 x	?
76801385_396475746308595713 x	@SamPottorff yea http://t.co/5tZ78AWo76
76801385_396462848387194880 x	ReleaSE YOUR TOUR DATES AND VIP PRICES IM READY TO TURN UP @MileyCyrus
76801385_396461606374105088 x	23 is still the anthem like i dont think it'll ever get old to me   slayley cyrus
76801385_396414042740621312 x	"THIS BEAT GOT ME FEELING LIKE IM ROLLING DOWN A DIRTY HILL WITH KE$HA POPPIN MOLLIES" ok
76801385_396404663442227200 x	yay see you in 25 days @ArianaGrande
76801385_396378830325047296 x	Ok http://t.co/PJjvU9dbvY
76801385_396344030298005504 x	of all people to get swarmed in philly... Kevin Hart? I'm done
76801385_396300307799748608 x	this rain needs to stop
76801385_396299563398881280 x	this girl covered her macbook in cheap dollar store stickers wtf she should be banned from owning an apple product
76801385_396131298798206976 x	Everyone is so drunk lmaoooo i cant breathe
76801385_396091405090947072 x	i wanna be scott disick when i grow up
76801385_396086327336124416 x	ordering @insomniacookies OMG turn up
76801385_396014281864380416 x	i belong in LA
76801385_396012225078775808 x	@ArianaGrande QUEEN OF CANDY
76801385_395994455318097921 x	i miss my new york friends
76801385_395986076931985408 x	bye this fucking twitter update can kill itself 4 times because ive already accidentally followed 3 people
76801385_395984507351728128 x	http://t.co/acYV1bZExo
76801385_395944555926654976 x	bae RT "@ArianaGrande: ??? http://t.co/x5gpYmKtND"
76801385_395942313475600384 x	it doesnt even feel like halloween
76801385_395933905356070912 x	happy halloween i just woke up aye ?
76801385_395778182424838144 x	me when i'm 94 http://t.co/FRpmiNW55w
