465927758_205619988902580225 x	Let's go Devils!!
465927758_301580985395462145 x	RT @TheScienceGuy: I'm on Good Morning America @ABC Wednesday. Asteroid 2012 DA14. It'll miss, but there's a lesson to be learned. @expl ...
465927758_299771608023826434 x	RT @WilliamShatner: ?@danniithegirl:Hubby doesnt 'get'  Sci-Fi how would u explain it?? Ask him if he's seen Star Wars and if he says ye ...
465927758_285955638826254336 x	@DavidBlue Happy New Year Mr. Blue - Mr. Black
465927758_270683517325803520 x	RT @andersoncooper: .@Pamela_Weiss perhaps spend less time tweeting about coconut flan and more time actually following the news
465927758_222785240802930689 x	RT @YourAnonNews: #Anonymous has a new mission: #OpPedoChat. Yes, that's right. We are again targeting those nasty pedos http://t.co/HKj ...
465927758_212352799684567040 x	RT @ThatKevinSmith: Via @nick_zimmerman "Even Crom has a tough time when the refs are in the bag." The StoneCutters arranged for the Kin ...
465927758_212347122593447936 x	RT @NHLDevils: RT if you still #believe!  #NJDevils #StanleyCup
465927758_210566480721477633 x	RT @LAKings: Ehhh we're going back to Jersey.
465927758_210565593986895872 x	RT @ThatKevinSmith: CROM sits on his throne! To his left: Elias! To his right: Henrique! Standing in front of him, protecting Crom? MART ...
465927758_210561591555534848 x	RT @ThatKevinSmith: Dear @NHL: How badly do you want the Kings to win a Cup? That call was ass! CROM! You're fighing entire league! 1 mo ...
465927758_210560499300048898 x	@ThatKevinSmith Such bs with that penalty!!!!!! Call upon all Heros and villains to give us this win!
465927758_210524749833568257 x	@LAKings @NHLDevils 70 years ago Maple leafs were down by 3 games... They won the next 4 and won the cup! Go Devils!
465927758_208023049465892864 x	RT @ThatKevinSmith: AAAAARGGGGHHHHH!!!! Sooooo fucking close! C'mon, @NHLDevils! Stick the pitchfork in 'em!
465927758_207988178810966016 x	RT @NHLDevils: "Let's go Devils" chants already getting started inside the Rock...
465927758_206922573521489921 x	You know your tired when you try to plug in your phone charger to a book.
465927758_206217001948033026 x	NJ Devils killed the ducks in 03, now we're going for the crown! @LAKings @TheRealStafford
465927758_206173362802790400 x	Go Devils! LA Kings, we're coming for you next! @lakings @TheRealStafford
465927758_183633885668712448 x	@gregrikaart is funny, friendly, and down to earth man. http://t.co/Ugy21E3I
465927758_182811973212315649 x	It's my birthday today!
465927758_173827330454720512 x	Making my plans to go down to NC, but watching murder she wrote is preventing me fully.
465927758_173241278782386176 x	The purpose of life is a life of purpose.
465927758_172122671042150400 x	RT @RicoShades: @Deauxma when we do like other countries and truly separate church and state
465927758_172111836039221248 x	@robertcarlyle_ Do you think Mr. Gold is similar to Dr. Rush?
465927758_171900339568648193 x	@robertcarlyle_ Been watching you now for 3 yr! When I saw the promos for once I knew it was going to be great given your preformence in SGU
465927758_171802647874121729 x	RT @More2History: RT if you?re watching Going Medieval.
465927758_171335243574415360 x	RT @TheAuthorGuy: In honor of Presidents' Day, I'm emancipating my garden gnomes. Be free, you pointy-hatted little tossers! Be free!
465927758_168929568718200832 x	RT @DanielleNeil: Why was the stargate behind Chris Brown for his performance? #Grammys
465927758_168908001942568962 x	RT @mara_beyea: what was with the Stargate props on the back of the stage during the dance tribute on the Grammy's?
465927758_168906284815491072 x	Did syfy sell you guys the left over stargates?
465927758_168905975611396097 x	Stargates at the Grammys?
465927758_166148857447727104 x	@LovelyHusta13 Go eagles!!!!!!
465927758_165493327272222722 x	Why is it perfectly acceptable for a person who works daytime to sleep 8 hours at night but a person who sleeps in the day clearly can't.
465927758_163353186177003520 x	@More2History omg you found it!
465927758_160808184469127168 x	Tonight is not going to be fun most likely driving on iced over roads. =(
465927758_160072332503826432 x	RT @TheAuthorGuy: Perry resigns, endorses Newt, saying We need a humbler Govt. Also endorses Godzilla, says we need less giant reptile G ...
465927758_159425837412782080 x	RT @steventsapelas: this week's goal: have the word "cowabunga" come up naturally in conversation
465927758_159381716606271488 x	Cleaning out old memories, but that's what they are, old. Leave the past in the past but never forget it.
465927758_159114283689586689 x	In all truth Ineed to escape South Jersey again.Ineed to focus on that completely this year.Nothing is here for personal future devoplement.
