1603925156_392642209738412032 x	RT @JellyKones88: @TrailwaysNY @GreyhoundBus @GHoundBusHelp bouncing me back-and-forth
1603925156_395733356010565632 x	RT @GHoundBusHelp: @Melyssa217 Melyssa, our apologies for this. I have alerted our IT team in reference to this matter. Thanks, AC.
1603925156_395732846570393600 x	RT @trcapp: @GHoundBusHelp called to get a refund. I was put on hold and then the call was dropped. I called back and the office is closed.?
1603925156_395732232620761088 x	RT @GHoundBusHelp: @SdotFox Hi Stephanie, our apology for the delay. It shows that the request was initiated on the 21st and should take 14?
1603925156_394227064813129728 x	RT @GHoundBusHelp: @ImKyleBradley Mr Young.  Thank you for speaking to me.  Pls expect your refund in the next 7-14 business days.  JRG
1603925156_394226934902976513 x	RT @qaash: Dear @GHoundBusHelp - your WiFi sucks. That is all
1603925156_394226502164037632 x	RT @skalmemaybe: I'm stuck at a rest stop in the middle of pa because a driver started a trip he couldn't finish. #perfect @GreyhoundBus
1603925156_394226414724988928 x	RT @skalmemaybe: @skalmemaybe: Being stuck in the middle of nowhere at 3:30 am... You have some very #upsetcustomers @GHoundBusHelp
1603925156_394226345670365184 x	RT @skalmemaybe: Why did a driver start a trip he couldn't finish, leaving us stuck at a rest stop at 3 AM. logistical #oversight @GHoundBu?
1603925156_394225139338215424 x	RT @empoweredfemme: @GHoundBusHelp @GreyhoundBus What is the difference among an Advanced Purchase, Web Fare Only and Standard Fare? All pr?
1603925156_394224860605730816 x	RT @VinohVarathan: @GHoundBusHelp @GreyhoundBus By arriving 45 minutes in advance for the 11:45 bus Montreal to NYC - About 10 passengers w?
1603925156_394224810362159104 x	RT @VinohVarathan: @GHoundBusHelp @GreyhoundBus There were no secondary buses. And the next bus is at 7:30 AM the next day with a 9 hour tr?
1603925156_394224747959296000 x	RT @VinohVarathan: @GHoundBusHelp @GreyhoundBus NOW i'm calling 1-877-463-6446 and the message goes NO ONE IS THERE TO PICK UP!
1603925156_394224693877956609 x	RT @VinohVarathan: @GHoundBusHelp @GreyhoundBus MY ASSIGNMENT AT NYC IS GONE! I LOST THE PROJECT! The service we all got was horrible with ?
1603925156_394224569139355648 x	RT @VinohVarathan: @GHoundBusHelp @GreyhoundBus Now I'm left with a ticket for which I can't get a refund and no customer service answering?
1603925156_394224364071436288 x	RT @fangers32: @GreyhoundBus @GHoundBusHelp ...parents weekend dinner with my son at school as a result. Inexcusable.
1603925156_394224328717664256 x	RT @fangers32: @GreyhoundBus @GHoundBusHelp - can you take people's $ and schedule trips when you know you lack sufficient drivers? I will ?
1603925156_394224308463341568 x	RT @fangers32: @GreyhoundBus @ghoundbushelp - trip out of Nashville to Huntsville delayed due  to no driver. Scheduled @ 8, now 10:03 and h?
1603925156_394223963217596417 x	RT @GHoundBusHelp: @wijors Hi, we are very sorry to hear of ur experience while traveling with us. Did you speak with someone at the statio?
1603925156_394223745017335808 x	RT @GHoundBusHelp: @JoyKarley Hi, we r sorry to hear this. Pls DM us ur ticket confirmation#, address, & contact# so we may report this
1603925156_394222528417501184 x	RT @katiefiggie: @GHoundBusHelp Because apparently they're why I've been sitting on the NJ turnpike in a stopped bus for the last hour. #un?
1603925156_394222490048012288 x	RT @katiefiggie: @GHoundBusHelp What can you tell me about your new anti pollution devices?
1603925156_394221965302857728 x	RT @StartToday09: @GHoundBusHelp also there's a really loud grinding noise coming from the rear and the driver doesn't seem concerned...not?
1603925156_394221662901903360 x	RT @NYCountrykid: @GHoundBusHelp 3) don't tell me it takes 8...8!!Hours to get to my destination well I've done it countless times and it t?
1603925156_394221594627043328 x	RT @NYCountrykid: @GHoundBusHelp you can assist by employing people who 1)know the bus routes 2) don't freak out at people for talking on t?
1603925156_393723459085549568 x	RT @TaylinH: @GreyhoundBus I will never ride greyhound express again, and will advise my friends and family to never ride greyhound
1603925156_393723435211587584 x	RT @TaylinH: @GreyhoundBus he yelled at me, talked down to me, threatend to give my bags to another city and then kicked me offwhen I stood?
1603925156_393723389988569088 x	RT @TaylinH: @GreyhoundBus A driver named Jospeh Coplen at the chicago station needs to be fired immediately. He made me feel unsafe, and i?
1603925156_393722558962737152 x	RT @Classic_George: #ff @LordArchive @knightk74 @TristanMuir @FFelvus @likemeth @DjKottick @LeBlancJosee @Haley_Wuychuk @lennox_lisa @MADDi?
1603925156_393469335328796672 x	https://t.co/GnrBl23n8s well what will you say about this greyhound plus new video of my trip to greyhound bus station in Buffalo NY coming
1603925156_393395952809426944 x	RT @iPhillyChitChat: @FFelvus oh terrible. OK I just wanted to promote your plight. I have a lot of media peeps that follow me. good luck.
1603925156_393395115802497025 x	@iPhillyChitChat lies they said http://t.co/Ui0KnGcYgJ
1603925156_393395518782861312 x	@iPhillyChitChat thank you
1603925156_393390430827855872 x	@iPhillyChitChat read all my tweets it all about how greyhound bus lines are to the public
1603925156_393389919592513536 x	@iPhillyChitChat I came from Oklahoma to NY to help care for my mom & all my clothing was in that luggage and they giving me the run around
1603925156_393389039178752000 x	RT @iPhillyChitChat: He's not happy: greyhound bus lines lost my luggage and i'm going to let the public know >> @FFelvus
1603925156_393389002201772032 x	@iPhillyChitChat plus I received the letter saying I got ten days from 10/17 to resent forms or they will Denis my claims
1603925156_393388078565707776 x	@iPhillyChitChat waited 90 days to say that
1603925156_393387991798136832 x	@iPhillyChitChat been dealing with them sence 6/18/13 filled out claims form waited 90 days then got letter saying no one signed it but they
1603925156_393377427206205440 x	RT @MarcDFowler: @GHoundBusHelp You have all the details and no solution. I don't need someone to yell at, I need a way to London and Greyh?
1603925156_393357361127366657 x	http://t.co/0dkEt7I4AK In search of more victims to come forth from greyhound bus crashes
1603925156_392872705378484224 x	RT @Classic_George: @FFelvus you got fucked by greyhound too?
1603925156_392872336497844224 x	http://t.co/0dkEt7I4AK
1603925156_392843338501881856 x	@GHoundBusHelp claims why I just wasted 90 days waiting on my claims offer now I got to rush my ass off to resent it all over again so wrong
1603925156_392842811529515008 x	@GHoundBusHelp if you sent me a letter 10/17/13 & I got it 10/22/13 you said I got 10 days 2 sent it back from the 17th you will deny my
1603925156_392650097714290688 x	If your employees are doing things that reflect bad customers service you need to replace those you make greyhound bus lines look BAD
1603925156_392649191052574720 x	Some people who work for greyhound bus lines are making greyhound bus lines the worst travel experiment around the nation Wake up greyhound
1603925156_392647503407247360 x	@Classic_George got to resent it again 90 days for them to tell me this
1603925156_392647226847399936 x	@Classic_George after a 90 day wait they received claims form on 7/17/13 they say the lady did not sign the claims form or made me sign it
1603925156_392646658577948673 x	RT @JakeHasBagels: Absolutely NEVER taking a ride on @GreyhoundBus again this has been the worst travel experience possible.
1603925156_392645886498865152 x	RT @SoMcDone: @GHoundBusHelp i chatted with someone on Facebook & they didnt really answer my question so can you follow me so i can DM you?
1603925156_392644508531589120 x	RT @ThatDude_JT: Greyhound buses suck
1603925156_392644443041710080 x	RT @ThatDude_JT: @GHoundBusHelp I bought a ticket from Charlotte to Atlanta with ONE stop in Greenville and we made SIX stops and we got th?
1603925156_392644371654656001 x	RT @ThatDude_JT: Never riding the #Greyhound bus ever again. This is ridiculous  @GreyhoundBus
1603925156_392644046143123456 x	RT @GHoundBusHelp: @Classic_George Did u speak with customer service upon arrival? Thanks, AC.
1603925156_392643463315226624 x	RT @JayPaulHewitt1: @GHoundBusHelp Hello, that's alright, age 16. I might count as adult. Yes I am! :)
1603925156_392642921591492608 x	RT @Classic_George: @GreyhoundBus Saturday i was to leave #Sudbury at 12:05am for #Ottawa. There was no driver had to wait 2hrs till they f?
1603925156_392641842078302208 x	RT @jegborer: @GreyhoundBus @GHoundBusHelp Terrible experience. I'd rather pay for a cab than go through this again. Illegal much? http://t?
1603925156_392641771114885121 x	RT @jegborer: @GreyhoundBus @GHoundBusHelp Terrible experience. I'd rather pay for a cab than go through this again. Illegal much? http://t?
1603925156_392641583251980288 x	RT @DonSpeaker: @GHoundBusHelp do you still run busses picking up from boston-logan? We had tickets for a bus to providence that never show?
1603925156_391661619308408832 x	@GHoundBusHelp hello this is Fred felvus can you give me info on my lost luggage been lost since 6/16/13 on what's nexted after90 day wait
1603925156_391668314600390657 x	@GHoundBusHelp she still works at the Buffalo station I will get to the bottle of this I'm very happy at all
1603925156_391676332452900864 x	@GHoundBusHelp I mean I'm not very happy at all with your rep who took claims form from me at Buffalo bus station she did not do her job
1603925156_391701322208391168 x	@GHoundBusHelp just waited 90 days to hear this something needs done cause this is so wrong on your part I know you are sorry but it's wrong
1603925156_391700086734213121 x	RT @GHoundBusHelp: @FFelvus Fred, I am very sorry for this...but it is required for both you and the agent to sign the form.  JRG
1603925156_391699872652754944 x	@GHoundBusHelp claims dept in Buffalo bus station is not doing her job
1603925156_391699447216091136 x	Plus how many more days to wait after I redo claims but signed this time someone didn' t do they're job how many others this happened to ?
1603925156_391698379044319232 x	@GHoundBusHelp why did it take 90 days to tell me this since claims dept received my claim on 7/17/13 and 90 days later oh no one signed it
1603925156_391676575445704704 x	RT @GHoundBusHelp: @FFelvus when you send in the form, please reference CUST ID 2077840 and claim # 292645  JRG
1603925156_391675600748150784 x	@GHoundBusHelp I mean I'm not very happy
1603925156_391667036772114432 x	Since 7/18/13 I waited for nothing then you of said something than
1603925156_391666460734816256 x	@GHoundBusHelp that is cause your rep at the Buffalo bus station did not do her job so I need to redo it
1603925156_391666010962821120 x	RT @GHoundBusHelp: @FFelvus with signatures from both yourself and the agent in the field.  JRG
1603925156_391665990138097664 x	RT @GHoundBusHelp: @FFelvus the claim form we received has no signature from you or the agent in the field.  We need you to resubmit the cl?
1603925156_391665954121584640 x	RT @GHoundBusHelp: @FFelvus Fred, you were sent a letter dated 10/17/13 on your claim.  The claims department can not pay the claim because?
1603925156_391664188743241728 x	RT @Cody_on_TX_tea: @GHoundBusHelp money back. 233$ for this? I will never ride again. Bad reviews coming your wAy. VIA rail it is from her?
1603925156_391648982197633024 x	RT @KatieLauren18: @GHoundBusHelp confesses. And states that he doesn't care how long we stay here because he's getting paid over time. #Sc?
1603925156_391648932184326144 x	RT @KatieLauren18: @GHoundBusHelp one of your drivers has us pulled over cuz he suspects some1 was smoking. Then said he will sit here all ?
1603925156_391648500993511424 x	RT @GHoundBusHelp: @ImKyleBradley Please let us know if u r able to provide this documentation. Can u follow us for DM communication?  Than?
1603925156_391648099267248128 x	RT @IamKeshia83: @GHoundBusHelp n @GreyhoundBus  and still on hold but this my 3rd time of waiting this long to speak to someone http://t.c?
1603925156_391647796316872704 x	RT @IamKeshia83: @GreyhoundBus just had the worst experience ever and but yet I've lost out on money and still no bus rIde I'm at a lost
1603925156_391647717686259712 x	RT @IamKeshia83: @GreyhoundBus the worst part is my God daughter was really excited about visiting but since the clerk didn't feel like fix?
1603925156_391647637675708416 x	RT @IamKeshia83: @GHoundBusHelp is it great customer service to sell me the wrong ticket acknowledging u did and saying it's not ur problem?
1603925156_391647521015361537 x	RT @IamKeshia83: @GHoundBusHelp all my years traveling grey hoUnd I've never experience such degraded rude behavior and I've been a loyal c?
1603925156_391647140604542976 x	RT @AbrilMakias: @GreyhoundBus @GHoundBusHelp not much you cAn help with. I will not be using your services again. Economic doesn't mean aw?
1603925156_391646684264280065 x	RT @LIVSTREETZ: @GHoundBusHelp your customer service here in Toronto is absolutely horrible!
1603925156_391036358711836672 x	That when greyhound bus lines said they have 90 days wasted 1 month from 6/18/13 till 7/17/13 did you even looked bet not so wrong
1603925156_391035479925473280 x	Had tracer put on 6/18/13 but they didn't start 2 look till 7/17/13 when they received my claims from why did you put tracer on 6/18/13 then
1603925156_391034208514506752 x	Lies are told by greyhound bus lines http://t.co/bSXmuAp5zt
1603925156_391033606845767680 x	This letter states I have to wait till the 17th then they say I got to wait 14 more days to get an offer (full value) http://t.co/tPEJmm592d
1603925156_390990290049200128 x	https://t.co/HkebR7VD5S customers of greyhound bus lines are pissed off
1603925156_390989409249935360 x	https://t.co/ApVo3wwomL greyhound bus lines( Man  attacks a women well sleeping ) security issues they say they have video camera on the bus
1603925156_390972731246006272 x	https://t.co/0qB3EIrDOH greyhound bus lines but hear the cops say we don't want a seen on the highway but do it any ways
1603925156_390966925633019904 x	RT @AdamKoonDesign: @GHoundBusHelp I did file one! Its been three days and you haven't addressed it. It could have been fixed easily but it?
1603925156_390966389751955456 x	RT @JulienLaPointe: @GreyhoundBus @GHoundBusHelp your website http://t.co/uiFVNPIlMi is down #feedback
1603925156_390966197074034688 x	RT @GHoundBusHelp: Hi @napsterbater we will have this suggestion forwarded to the appropriate department to be looked into! Thank you, JS.
1603925156_390966004287033344 x	RT @GHoundBusHelp: @stevensommer phone at 1-800-661-TRIP (8747) or at your local Greyhound Depot. Apologies for the inconvenience Steven. -?
1603925156_390965355235274752 x	RT @GHoundBusHelp: @keilicia_ Hello Keilicia, we're sry for the delay, PLS DM us with your ticket conf# and we will look into your concerns?
1603925156_400075750180937729 x	RT @douglasi: Seven Ways to Use Social Media for Branding http://t.co/hTFsxhXjAD
1603925156_400032008048361473 x	Still no word from ghoundbushelp on how long do I wait now after reentering claims form after waiting 90 days to find out no 1 signed form
