98026632_283745793922441216 x	@morispo nah girl
98026632_240006029369303041 x	Hate going to sleep early and waking up at this time. Annoying
98026632_239611084221329409 x	#almostfamous is such a wonderful flick
98026632_239160185040564224 x	@Katie_colaa love you most!!
98026632_236659346891735041 x	Nothing like an 11 mile nature hike up a mountain. ????
98026632_236620060502937600 x	@Katie_colaa I don't want to come back haha
98026632_236459142175391744 x	@Katie_colaa how are the crazies
98026632_236459065159589888 x	Good morning world!
98026632_235032929582067712 x	RT @tropic_AL: The best money you will ever spend will be on someone else
98026632_234516295931027457 x	Hate being the last one to fall asleep ? whose up?
98026632_233672277328265216 x	@Katie_colaa @bbbrookeeee hahahahah
98026632_232967764543946752 x	@WilcoxJimmy I love you baby
98026632_232197166343536640 x	Ready to go super hard when school starts
98026632_232197019312193538 x	So lucky to have the greatest family and the greatest boyfriend ?
98026632_231145052351651841 x	Nothing like a large free Bobbie from caps. Hooked up. Best day ever
98026632_231067477650595844 x	@WilcoxJimmy ????
98026632_230990362741706753 x	RT @1Omarion: @1Omarion: Treat em for who they are...not their potential.
98026632_230990055781584897 x	RT @Darkskin: You can't live a positive life...with a negative mind.
98026632_230989938085199872 x	Feeling so blessed that I have such wonderful people in my life. ?
98026632_230989194296696832 x	RT @ohteenquotes: FOREVER is a long time. But I wouldn't mind spending it by your side.
98026632_230851185836425217 x	@jennaaadawnn I love you twin ???
98026632_230669756213129216 x	Girls taking pictures of me when I'm driving. Ew
98026632_230669409553903616 x	Rapping the entire 2 weeks notice song not even stumbling once. Still my favorite @brandunXdeshay
98026632_230668362861129728 x	Top 5 best breakfasts
98026632_230660585157701633 x	It's about that time for mcdonalds breakfast. Holla
98026632_230480203447676928 x	Ass on the floor . Heart
98026632_230479435571277824 x	Hypest. Ever.
98026632_230479297901637633 x	In my zone ????
98026632_230462109245394944 x	I love learning something new ??
98026632_230462628277936129 x	@studiouswood9 hahaha cracking me up warren
98026632_230141481074176001 x	?
98026632_229025413261819906 x	RT @KaylaLongshaw: @digod027 @katie_colaa @bbbrookeeee @edoddle @ginger_snapsss rough is an understatement!
98026632_228994795136241664 x	@Katie_colaa freakin exhausted
98026632_228747091537715200 x	@WilcoxJimmy Hi baby I can't wait to see you
98026632_228605996065488896 x	My mom steady gets cherry body washes and lotions for me.
98026632_228540017604177920 x	RT @s_thomp20: Could this day go by any slower omg
98026632_227600357512077312 x	I love being surprised! @WilcoxJimmy  you're perfect ????????
98026632_226505124581892096 x	I can't wait to buy silverware and dishes and stuff when I have a house house of my own #grown
98026632_226293691692744706 x	RT @_GEMR0CK: I wish people could go out and have a good time not be crazy.
98026632_226293165152419840 x	@lANiEbABYx0 always  makes me feel better ?
98026632_226292142996348928 x	RT @XSTROLOGY: You can?t help but feel better about everything after you?ve been hanging out with a #Sagittarius.
98026632_226148897016389632 x	#babyboy is the most insightful movie . Learning life lessons from this flick
98026632_226162627565473793 x	@simtradley every line is a little too real
