1587576751_392781919232204800 x	@Tylerr_Kimble pussy
1587576751_393503370130255872 x	RT @StevStiffler: 2 reasons I retweet somebody   1) I really like your tweet. 2) You're sexy as fuck.
1587576751_393491523096301569 x	@JustinDiscepola yo when's the draft and give me your phone #
1587576751_393493712648826880 x	@JustinDiscepola alright thanks
1587576751_393491337023995905 x	@tkeenan99 that mask is so lame
1587576751_393466783388409856 x	RT @StevStiffler: Being retweeted is basically saying "I feel you my nigga."
1587576751_393461620632199168 x	Let's play Evil Apples for iPhone! http://t.co/uMpJZfU6my Tap the link on your iPhone to join me! @evilapplesapp
1587576751_393451689656983552 x	Let's play Evil Apples for iPhone! http://t.co/C2PAdG6aFi Tap the link on your iPhone to join me! @evilapplesapp
1587576751_393361252602630144 x	Let's play Evil Apples for iPhone! http://t.co/pfv8IaNjNJ Tap the link on your iPhone to join me! @evilapplesapp
1587576751_393145656598335488 x	RT @EARTHPlCS: Polar bear meeting a boy dressed as a polar bear. http://t.co/lVJIWh4Iuk
1587576751_393144378665230336 x	Let's play Evil Apples for iPhone! http://t.co/FAU4oWP8ot Tap the link on your iPhone to join me! @evilapplesapp
1587576751_393087483912941568 x	Alright who wants to be my wcw? Anyone come one lets go who want to?
1587576751_393144031200694272 x	@tkeenan99 I can't your to hot
1587576751_393129838959398912 x	@heather_lazer u suck
1587576751_393129736882647040 x	Heather is a pussy
1587576751_393085244838252544 x	Let's play Evil Apples for iPhone! http://t.co/paGYz40Asl Tap the link on your iPhone to join me! @evilapplesapp
1587576751_393001548802187264 x	Let's play Evil Apples for iPhone! http://t.co/2rYo5eWzuu Tap the link on your iPhone to join me! @evilapplesapp
1587576751_392970202016927744 x	RT @Beth_Egan6: It's so cold today
1587576751_392841492970352640 x	RT @AChillTweet: Deep http://t.co/iNMiLZFFmN
1587576751_392839976469417984 x	RT @icomedyfunpack: You go to school nothing happens  You miss ONE day: 7 fights Tupac came back school had a blackout And Rihanna performe?
1587576751_392838851347382272 x	RT @Gain_FoIIowers_: WANT 700 NEW FOLLOWERS?? EASY!  1.- FOLLOW @FactsOfSchool  2.- RETWEET THIS  3.- CHECK YOUR FOLLOWERS IN 10 MINUTES!  ?
1587576751_392838548665401344 x	RT @happyy_mealzz: It pisses me off how stupid people aree
1587576751_392831600880152576 x	I just got up to 1,334 in #DoodleJump!!! Beat that! I fucking suck dick!! http://t.co/pbnDWqetMa http://t.co/kWO2JwmfsP
1587576751_392821554658435072 x	Come one someone anyone please
1587576751_392821469203681280 x	That's all we need in our filthy apples game one more person
1587576751_392821391244140544 x	One more person
1587576751_392819184012640256 x	Let's play Evil Apples for iPhone! http://t.co/2rYo5eWzuu Tap the link on your iPhone to join me! @evilapplesapp
1587576751_392776212197965824 x	RT @emily_paschall: i wanna get a Y membership but im not trying to see people i know everyday in the gym
1587576751_392774694417354752 x	Oh filthy apples
1587576751_392723648672727040 x	Somone please play the damn apples game with me
1587576751_392723281989894144 x	RT @StevStiffler: Dear Santa, I've been good all year. OK most of the time. Once in a while. Fuck it I'll buy my own shit
1587576751_392469768152051712 x	RT @WumboWumboWumbo: I guess you're gonna miss.... The panty raid http://t.co/q5V5aWzQnH
1587576751_392425775531446272 x	Not now chief  I'm in the fucking zone http://t.co/qnAfPEFEez
1587576751_392425378225987584 x	I fucking love this video it never gets old http://t.co/YwIZQLO1HT
1587576751_392423868386013184 x	Mr.broskie tv>>>
1587576751_392422629212430336 x	RT @heather_lazer: If anyone else tweeted what Dylan Brindley tweets they would be considered weird af.
1587576751_392363783894867968 x	@NHLNetwork @penguins @Mackinnon9 #NHLPenguins
1587576751_392244788940247040 x	Anyone else freezing
1587576751_392115878764224512 x	RT @HowLilWayneRaps: I don't believe Justin, call me a non belieber
1587576751_392091236204838912 x	@ryan_mouraview ? ?
1587576751_392087513273466880 x	@ryan_mouraview hahaha gotta love dani?
1587576751_392089678587117568 x	@ryan_mouraview haha tell her I say hey
1587576751_392090484786860032 x	@ryan_mouraview I'm dead up like she's ma nigga
1587576751_392085545687744512 x	@Beth_Egan6 it's legit scary
1587576751_392084553520922624 x	Mama is a nice movie
1587576751_392061810482098176 x	#therealist
1587576751_392052455967821825 x	RT @HornyFacts: If Jordan made condoms, I bet niggas would wear them more.
1587576751_392024928935223296 x	Drop Barkley pick up Tim #tebowtime #eaglestalk
1587576751_392011221270282241 x	Wow
1587576751_392009747253428224 x	RT @BrianDawkins: Romo being Romo!!
1587576751_392009596644368384 x	There it is good pic #eaglestalk
1587576751_392009092866523137 x	RT @TheRealDGunnCSN: earl wolff heading to locker room #eaglestalk
1587576751_392009023333355521 x	Damn ceeya Dez #eaglestalk
1587576751_391992435959943168 x	Zmill kills it #DunkIt http://t.co/JUflhwdbDF
1587576751_391991350713135104 x	RT @SidneyCrosbyEgo: Mike Smith has more goals than Giroux and you idiots still think he's better.
1587576751_391990761388257280 x	@JTocci36 don't worry walking dead is tonight
1587576751_391782401656881152 x	Fucking love it http://t.co/wnFfCZGzMf
1587576751_391777281246765056 x	Shane fucking Victorino
1587576751_391777108483407872 x	They fucking did it! I love it Red Sox #SOXNATION
1587576751_391773396549509120 x	No!!!! http://t.co/G4hEHuJ7jA
1587576751_391769281027112960 x	@Plesac19 dude when we had Shane he was never clutch but ya know on the soxs he's good
1587576751_391768731736891392 x	RT @Plesac19: WOW ! Victorino goes KABOOM in big way (SLAM) in bttm 7th and the Red Sox take 5-2 lead. UNREAL ! sox now 6 outs from date w/?
1587576751_391747654017114112 x	Despite people either going to micks party or the people that went to the y it wasn't that bad of a night
1587576751_391402480606937088 x	RT @HowLilWayneRaps: Caught an STD in the freezer, call it kool aids
1587576751_391402382997094400 x	Nice! #Loser http://t.co/tmdkQMjonh
1587576751_391027552346996736 x	Who is ready for the #pinktober game tomorrow...ik this man is!???? http://t.co/15uLRIIuu9
1587576751_391016858209751041 x	@hallie_mahan is a wrestler
1587576751_391014908269445120 x	RT @ltsBatman: Remember kids, if a stranger offers you drugs say thank you, because drugs are expensive.
1587576751_391014527581839360 x	Fucking love it kid @SidneyCrosbyEgo
1587576751_391012295989809153 x	Wow I feel stupid
1587576751_390997986161225728 x	2 zip lets go #pens
1587576751_390996817774923776 x	RT @WorkoutHumor: Do not give up. The beginning is always the hardest!
1587576751_390996536722980864 x	#pens
1587576751_390996369714188288 x	Let's go boys good shit
1587576751_390996253368397824 x	RT @penguins: JUSSI JOKINEN SCORES! Almost halfway through the game and we've got a goal. 1-0 #Pens
1587576751_390994327889252352 x	@Gain_FoIIowers_ @GhettoChiIdren @FactsOfSchool haha!
1587576751_390994236235341824 x	RT @Gain_FoIIowers_: WANT 1,000+FOLLOWERS EASY???  1.-FOLLOW @FactsOfSchool   2.-RT THIS!!!  3.-LOOK AT YOUR FOLLOWERS!!!
1587576751_390981893862477824 x	Let's go #pens
1587576751_390975553320538112 x	@francesca_truax happy birthday
1587576751_390965203305005056 x	Happy b day.still not using the n word I love it slim http://t.co/7K1UoUr49c
1587576751_390951650677895168 x	Haha http://t.co/c7sWZyL4Tx
1587576751_390958965372502019 x	@kyraaharveyy haha ya
1587576751_390961938165153792 x	@DTierney001 @kyraaharveyy I gotta send one back
1587576751_390962248057122816 x	@kyraaharveyy @DTierney001 i dont know
1587576751_390964391681986560 x	@DTierney001 @kyraaharveyy ya but what if they come for me...
1587576751_390964648717328384 x	@kyraaharveyy @DTierney001 oh they know...they know everything
1587576751_390953213564026880 x	RT @Beth_Egan6: If we didn't have tests I would do fine in my classes
1587576751_390931055781642240 x	RT @TheComedyHumor: Retweet if.????????????????????????????????????you thought something was on your screen.
1587576751_390918689429921792 x	RT @SidneyCrosbyEgo: Hopefully Obama won't drone my house after I single handedly kill the Flyers tonight.
1587576751_390869651380789248 x	?@WorkoutHumor: DO YOU EVEN LIFT BRO??
1587576751_390673142370160641 x	??? http://t.co/fBn3oAorI1
1587576751_390657550477426690 x	RT @NiggasBLike: Poor Michael Jordan... http://t.co/m014uX46a5
1587576751_390657491081904128 x	RT @HowLilWayneRaps: I stole his coat, call that jack it
1587576751_390656526144532480 x	@TheBasebaIlLife @Birdmanandersan um there is no bench
1587576751_390623703320768512 x	RT @chilltweetss: I came in like a wrecking ball http://t.co/O6oYP6KAcJ
1587576751_390623375171014656 x	@Birdmanandersan @HowLilWayneRaps
1587576751_390623298163576833 x	@Birdmanandersan hahahahhhahahahahahahaha too bad he smells like shit hahah
1587576751_390622453346861056 x	RT @Fact: A Canadian University once gave out condoms with safe sex messages stapled to them. The staples punctured the condoms, making the?
1587576751_390607164093784064 x	Wow I'm so fucking pissed
1587576751_390596143648096257 x	But this traffic sucks
1587576751_390596059388739584 x	Going cloths shopping whoa!
1587576751_390297164523769856 x	RT @HowLilWayneRaps: Kevin Hart got jumped, call that a heart attack
1587576751_390288845297950720 x	#Pens lets go boys win baby
1587576751_390238085453455360 x	@tkeenan99 http://t.co/rSGBkbKxHL
1587576751_390238697352093697 x	@ASerpente_11
1587576751_390228628321361920 x	RT @Picswithastory: Do you know? http://t.co/CLNswCagt2
1587576751_390209773691744256 x	RT @HowLilWayneRaps: Write a word on a squid. Call it Squidward.
1587576751_389923607327289344 x	RT @oliviagarrisonn: I litterally have no clue of what to be for Halloween
1587576751_389885904216948737 x	I fucking love batman the movie were so good
1587576751_389860845674840064 x	@laurenmccarrthy hahaha
1587576751_389860728293048320 x	RT @HowLilWayneRaps: Fucked my bitch on Wednesday, call that hump day.
1587576751_389828170469625856 x	RT @Fact: Justin Timberlake is the voice behind McDonald's "I'm Lovin' It!".
1587576751_389824274477121536 x	RT @HowLilWayneRaps: Lil Wayne Be Like http://t.co/cbiRfoO4ve
1587576751_389596662127423488 x	SportsCenter -  Ortiz hits grand slam in 8th inning, Red Sox rally to tie Tigers, 5-5, in Game 2 of ALCS  http://t.co/BQ76xQALTv
