243311021_385204522718879744 x	This 30 for 30 is pretty solid #eddie #EddieWouldGo
243311021_305465850859769858 x	RT @Earth_Pics: Ice matters. http://t.co/OaHW3GuAn2
243311021_305328782129115137 x	No one thought to inform me that the gym doesn't open till #10 on Saturdays #loseing woke up early for no reason
243311021_304374857418829824 x	This girl in class is on facebook on her lab top and instagram on her phone. Dedication to #socialnetwork
243311021_301788746641207298 x	The pictures of Alana Blanchard In the #SI2013 make my insides go crazy #sohot
243311021_300683841918619648 x	@bobbyballance wonder if he does the #quadcall to his employees
243311021_299739941762658304 x	@dcamp26 I don't know how to respond to this tweet. But I respect the hell out of it. #Ererrrrybodygottimefordatttttt
243311021_296011454686040065 x	Man has it been a while. Successfully swam a mile. Only one near drowning incident #ohboy
243311021_293872807941660672 x	@megaSleep21 I refuse to be one of those ppl that have a conversation via tweet.Although it already started. Love you. Message me later
243311021_293872159074418688 x	@megaSleep21 stop tweeting about your vacation dork
243311021_293470375302553600 x	Just packed everything, put it all in my car, and started the drive back to school.Then i learn i don't have school for another week #lose
243311021_290195034811273216 x	solo surfing in the winter kidding me #perr
243311021_287978711221944320 x	Being called gay by a gay dude, means ultimate gay #homosexual @MaxSwells2134 @ElectricJRAU
243311021_287635563257921536 x	@brick_squaaddd I take it
243311021_286243047946219520 x	@MaxSwells2134  Tomorrow?
243311021_285805556441182208 x	I'm going to rewrite the books on how to hit a #acnight we make this city what it is #NYE #locals #hitability9.999999
243311021_284882314641682432 x	Go fuck your self @tmacdoug #sleep http://t.co/0b9dCPiO
243311021_279024190353465345 x	RT @lifes_goody: My motivation to study is slim to none at this point.
243311021_278967548949700608 x	RT @tmacdoug: Fuck adderall the mans taking merkaciline #merkingfinals @Trau12mercks
243311021_278746721159352320 x	not gonna be able to sleep #tossingandturning
243311021_277320256974893056 x	I hate fat people and losers #fuckingdorks
243311021_274577816404766720 x	Hate when you make those plans days ahead of time that are gonna be so #perr and you just have to wait @megaSleep21 #21.5days
243311021_274369154474209280 x	RT @bCampbell609: I have to stop eating dinner at 5! Cuz when 930 rolled around I'm starving #fatboyproblems
243311021_274169075536637955 x	My two favorite things surfing + women = #AlanaBlanchard #sohot #inlove
243311021_273805791276982272 x	idk how i made it this far in my life for how bad of a writer i am. #awful #cantdoit
243311021_273154962333261824 x	Listening To kids trying To figure out To either  smoke or do acid before something. #respectthat
243311021_272369883713527810 x	@litt1e_mermaid i don't but imagine what it be like if i did #wouldbelegendary
243311021_271391006769946625 x	@Jennblaa your not hitting a night tonight?
243311021_268470528669544448 x	Gained 10 pounds in my sleep last night. #wild
243311021_268143344759226369 x	can not wait till thanksgiving going to be so #perr
243311021_267747817852919808 x	Getting me out of this place. cant take @megaSleep21 anymore going crazy #help
243311021_267798503869251584 x	@megaSleep21 yeah i do a little bit i wont lie
243311021_267747568719630336 x	Had an awesome weekend getting #sloshed and hitting that #batman @MaxSwells2134 #kiddingme thats how you hit weekends. could write books
243311021_266992146949758977 x	Engineers are worthless how could you not figure out a way for there To be no traffic
243311021_266966186783305728 x	hitting a night out in DC #kiddingme
243311021_266677853649788928 x	Listening to my roommate try to punish his dog is prob the most pathetic thing i ever heard. #heistosofthimself @deanomc0110 #worstdogever
243311021_266192251577831425 x	wonder if the guys the rap as they walk with headphones know they sound like idiots.
243311021_265301015383928833 x	RT @rahwatupbra11: Missin everything about home right now, hurry up thanksgiving.
243311021_264863999106101248 x	@DrDingi #kiddingme #theo making moves
243311021_264797505034797056 x	@mikeoleary17 pretty horrible but Atleast no one can get pulled over for speeding going #21mph
243311021_264797209231495168 x	RT @mikeoleary17: The amount of sand in the streets of longport is ridiculous http://t.co/K2gN6BTE
243311021_263003256370896896 x	Wish i was home to help out everyone stuck, and to witness the most bad ass storm to go through Absecon since #nam
243311021_262929996014821376 x	@KodyDalzell Thats bold you body womp it?
243311021_262928792954228736 x	@KodyDalzell Na dude your still good #kiddingme
243311021_262546081093672960 x	@KodyDalzell And go where? your place in OC will prob be worse hahah #lose
243311021_260101075711950849 x	Got to love a solo surf session on the beach you grew up on down the street. the Atlantic ocean is my back yard #lovehome #noseriding
243311021_259654196704444416 x	Got to love when you get that first smell on your way home #saltwater #home
243311021_259289920856813568 x	Just because your fat doesn't mean you don't have To share the walk way.
243311021_258684113979072512 x	Thought by roommate getting a dog it would atleast be fun To play with. #worstdogever #solazy
243311021_258269319014797312 x	I should have waited To go To college so i could be one of those old ppl that know everything. and actually care
243311021_256455631135977472 x	@DrDingi once an islander always a islander. whats the #hitability there?
243311021_256454526838661121 x	Kid in class complaining that no one should live on a barrier island. #notanislander
243311021_256421936547123200 x	litteraly hate wearing pants. need To move somewher warm all year. like #hawaii or #indo
243311021_255875319590957056 x	@DrDingi  the monday hangover was the worst i ever had great move on bailing Sunday night.
243311021_255752646806368256 x	@dcamp26 The man knows how to hit a night and hit the books i respect that.
243311021_255426851458146305 x	Have been in the car since i woke up. day was not hit #hitability-2
243311021_252969447130820611 x	RT @VisitAC: Did you know: AC established the 1st ocean rescue beach patrol in the U.S.? #DOAC http://t.co/LT5j2SnK
243311021_252463311025745921 x	Much needed weekend sucks it needs to end @megaSleep21 #justmovein
243311021_251182162286620673 x	@KodyDalzell Kidding me flash is a legend #legendsneverdie
243311021_251147968357494784 x	If there is one thing i miss about home, its this pussy right here #livinglegend @MaxSwells2134 @ElectricJRAU http://t.co/E0Zhk1P8
243311021_251042403404881920 x	@MaxSwells2134 Practically are, and prob a slid pic of two legends
243311021_250986572055445505 x	Love when my School smells like a cow farm full of shit. #hidesmyfarts
243311021_250941694885892096 x	I think i am becomeing allergic To my mustache, been sneezing like crazy #timeToshave
243311021_250277251084603392 x	Just gonna be doing what i do best #mercking test all week #kiddinMe
243311021_248571167961653248 x	@haleykamm I know the pain its impossible do work early #procrastination
243311021_248503279493984257 x	have a weird attraction To girls with dreds. hate the dreds but like the #Boldness
243311021_247692706493632512 x	kid is so thug in his snap back flyers hat.but what makes it is the shark tooth shell necklace
243311021_247459258935943169 x	Just saw the whole baltimore ravens football team in 30th street station. prob could have taken them all
243311021_247429997491535872 x	Some strange looking ppl that Get on and off the train in AC. just liveing the dream #doac
243311021_246590810466947075 x	Second day in a row i missed the bus. #loseinghard #suchafarwalk
243311021_246049611406508032 x	@welcme2taradise @em_ily019 she already looks like a fish, how hard could it be to swim like one #justkeepswimming
243311021_246023279385653248 x	Im a man with a plan, and i drink it out of a blue can, makes me feel so like a afghan, but i aint no doorman
243311021_245536160024248320 x	i live in constant fear of snot getting caught in my stach #mustachlife
243311021_244994607669198850 x	#embarassyourbestsleeper always looking good #likeSlatsalwayssaid gotta give respect where respect is due @megaSleep21 http://t.co/Lk3EizrP
243311021_241309417646223360 x	@MaxSwells2134 with the left hand #lefty #lefthandedlegend
243311021_240096455266803713 x	Wierd walking around campus and when i Get hot i can't just take my shirt off. #pitstains
243311021_238833881304952832 x	3 days or 2 nights left of summer. Don't know how ppl can't wait for school. @megaSleep21 we leave to soon #gonnamissthis #soperrrr
243311021_229666791985643520 x	Mercking in relays tonight. #bestrelaystartinthecal
243311021_223768944463462400 x	I just need to wake up one morning and feel like i actually got some sleep. #sotired #worktomuch
243311021_218777939691581440 x	Was told today that the ocean was gross and salty because of the fish pooping #doAC
243311021_217408733981061121 x	@megaSleep21 since your working so much and making so much money as hut sleeper. #yourturnfordinner and forgetting what you look like
243311021_215796104783077376 x	Way to hot to not have the air conditioning on #losing #nonstopsweating
243311021_215524327486009344 x	It amazes me how lazy people are that they can't walk back To the trash cans on the beach. if you thought it was a good idea To pick it  ...
243311021_215465450509844480 x	If you wear a one piece, goggles, and water shoes To buggy board. #sleepyourself
243311021_214569725840199680 x	@megaSleep21 your nights off i might have to put you to work on pacific. I need some of the moneys. #feedme
243311021_214495747767410688 x	Hitting bowling hard tonight prob bowl 200
243311021_212764368906096640 x	had a #perrNight with @megaSleep21 , needs to be repeated with more people, booze, sun, and a boat. or a raft #kiddingme #bugger
243311021_210144007563657216 x	@megaSleep21 still haven't seen a picture?????
243311021_209984750939676672 x	Need this doctor to say good things, staying out of the water is killing me #loseing
243311021_206108728188088320 x	@TGoodwin21 shoobies are the reason you have a job. #sleep
