986028018_399899675764867072 x	Pugboat Annie #pugtitles
986028018_396616356637863936 x	Never, under any circumstances, take a sleeping pill and a laxative on the same night.- Dave Barry #comedy #quote
986028018_396616068375908352 x	The only mystery in life is why the kamikaze pilots wore helmets. - Al McGuire #comedy #quote
986028018_396615490610540544 x	Friendship is like peeing on yourself: everyone can see it, but only you get the warm feeling that it brings.- Robert Bloch #comedy #quote
986028018_396320591986184192 x	1969 Ford - Bright red, manages overweight load, great if your street has a crack problem. Please get off my driveway. #comedy #TOpoli
986028018_396098902635454464 x	Someone just invited me to analyze my audience for $29.99. Thank your lucky asses I'm broke. #comedy
986028018_396097694743023616 x	Twitter account value with 790 followers when not following anyone is $666.10. So you are worth about $1.18 #comedy #IAcceptVisaAndMC
986028018_396091627317391360 x	At what point between now and 1943 when a cartoon wolf whistled at a pretty girl did become rapey to whistle at a pretty girl? #comedy
986028018_396089087964086272 x	Seriously though whats the point of a cult if they can't kill or die for you and you're not allowed to sleep with them. #comedy #CultOfHa
986028018_396088242262401024 x	Unfollowing everyone was a success. We lost 302 dicksucks and the Cult of Ha is now stronger than ever mwahaha. #comedy #dicksucks #CultOfHa
986028018_396082459990687744 x	302 people unfollowed me this week and i know who they are thanks to amazing http://t.co/aFIeP1mwCE app
986028018_396068229816152064 x	My favourite Canadian holiday that reduces post-Christmas suicides is Family Day. #comedy
986028018_396064671016304640 x	ProTip: If your job interview is on Skype you don't need to wear pants. #comedy
986028018_396063948643901441 x	I'm opening a Vietnamese restaurant with more types of soup called Mo Pho's #comedy
986028018_396063299134951424 x	I asked her if she wanted to see a Kimono Dragon #comedy
986028018_396062897685549056 x	He's a great dog he just doesn't look too good. (Me selling my blind dog) #comedy
986028018_395738893674217473 x	I went on a date. Oh was it interesting? Well some of it was feigned interest. Wait..how much was feigned? I don't know.. 30% #comedy
986028018_395737067352621056 x	ProTip: If you ask a girl how her muffin tastes you had better say it with a straight face or she will slap you. #comedy
986028018_395736214008913920 x	When I reach around my 1000th follower I will then release the sex tape to boost our socialite careers. #comedy #BOOMItsChristmas
986028018_395732780090273793 x	I don't always slap your arm in camaraderie but when I do its right after you get your flu shot. #comedy
986028018_395227079924391936 x	The World Is Probably Adequate #TepidBond
986028018_395226691095646208 x	License To Taser You If I Get The Affirmative From M  #TepidBond
986028018_395225785801269248 x	A View To Make You Need A Cast For 6-8 Weeks #TepidBond
986028018_395225105531289600 x	The Spy Who Thought I Was Good Enough Before Her Friends Met Me #TepidBond
986028018_395223099194368000 x	Plated Goldfinger #TepidBond
986028018_395222954855780352 x	From Russia With A Favstar But Not A Retweet #TepidBond
986028018_395222597597528064 x	Dr. Possibly #TepidBond
986028018_395184860035182592 x	Winky face is my favourite emoticon that sounds like a college prank. #Comedy
986028018_395183813782814721 x	Hell hath no furry like a woman shorn #ReasonsToNotGoToHell
986028018_395182790196469760 x	Her: Would you lock me in a barn if I was your zombie wife? No I'd cut off your arms and jaw and use you as a zombie pack mule #WalkingDead
986028018_395180279767117824 x	I only got in the helicopter because I thought she said I'd get an areola view.  #StoryOfMyLife
986028018_395025948870836224 x	RT @kellysoloduka: Scientists agree that dinosaurs were at their sexiest during the Curvaceous period.
986028018_394932547294986240 x	I'm the cream of the crop, I Rose to the top I never eat a pig cause a pig is a cop #RapFlowers
986028018_394931785265475584 x	Birthdays was the worst Daisy, now we sip champagne when we thirsty #RapFlowers
986028018_394930537481007104 x	Lily mama had a swag like mine, she even wear her hair down her back like mine, I make her feel right when its wrong like lyin' #RapFlowers
986028018_394929661630615554 x	Then I'm a' Orchid Rock it up and down ya' block With a bottle of scotch and watch lots a crotch #RapFlowers
986028018_394927170125967360 x	Consider this an invitation, to my Gangsta Carnation #RapFlowers
986028018_394926724602806272 x	As Lilac through the valley of the shadow of death #RapFlowers
986028018_394925597303898112 x	Iris I was a little bit taller, Iris I was a baller, Iris I had a girl who looked good, I would call her #RapFlowers
986028018_394923135700455424 x	Shawty had them Apple Blossom Jeans #RapFlowers
986028018_394919636245819392 x	Don't push me cause I'm close to the hedge #RapFlowers
986028018_394917437184815104 x	I love it when you call me B.I.G poppy #RapFlowers
986028018_394839334232145920 x	RT @bklynmike3: I'm  "we used to make fun of Miley 's Dad" years old .
986028018_394822867390459904 x	RT @dub_night: Metronomes are the cause of musician madness
986028018_394815788906860544 x	RT @PhilipCoetsee: Asked my dealer who his supplier was, and if I could go there directly instead...  we just laughed and laughed!
986028018_394807089828081665 x	Now that joke makes me participate and I hate that.
986028018_394806289240322048 x	Attending a university that has a radio jingle is a great decision.  #UnpopularOpinionNight
986028018_394804402013224960 x	Softer, warmer, better cooks, chubby girls are where it's at #UnpopularOpinionNight
986028018_394803371527258112 x	There should be a boy band that performs naked called NudeErection #StoryOfMyLife #UnpopularOpinionNight #OneDirection
986028018_394510823596359681 x	If there is another reason for private browsing besides porn I can't think of it. #HowIKnowGoogleDevelopersMasturbate
986028018_394500869896433664 x	RT @doucheDerby: I like mornings & the slow trickle of realization of what was last night
986028018_394489634094215168 x	My father has always liked guns, I'm an ass man myself. #StoryOfMyLife
986028018_394488965849284609 x	I was bit 4 times by a spider. Did you fill out an accident report? It was no accident the little bastard bit me on purpose. #StoryOfMyLife
986028018_394487567774535681 x	Wake up and my arm is asleep, I roll over, pick it up to get it off me and accidentally drop my arm on my face. #StoryOfMyLife #ArmsAreHeavy
986028018_394484726964027392 x	Identical twins are really just a glitch in the matrix. #spiritchat140 #Halloween
986028018_394460866512289792 x	RT @Whitnuts: Peppermint schnapps, so everyone at work will think you have fantastic oral hygiene and you are also having a super fun day!
986028018_394357531901837313 x	ProTip: If you think her jungle noises are hot now try having sex in an echoey bathroom.
986028018_394355758826942464 x	I don't smoke but I carry a pack with me so when I have to wait for a bus I just light one and instantly the bus arrives. #BOOMItsChristmas
986028018_394354487961194497 x	I don't always hang out in the village but when I do I talk loudly about this Pacific Rim job I really want to get.
986028018_394353464618127360 x	I just saw an orderly pushing a guy on a stretcher while playing angry birds.
986028018_394351780043038720 x	I met a beautiful religious extremist the other day, Jihad me at hello
986028018_394226555368394752 x	ProTip: If you want your life to feel like a Disney movie constantly listen to classical music #Disney
986028018_394214650490802176 x	ProTip: If you get her home and she says you don't need to wear a condom, then you need to wear a condom. #Comedy
986028018_394213545056817152 x	ProTip: She doesn't consider 'Stachy to be a term of endearment like Honey or Sweetie
986028018_394208436885262337 x	Is scantily the best kind of clad? #AskRicky
986028018_391659377209659392 x	ProTip: To test how OCD you are drop the contents of your bathroom vanity into the toilet and see what you're comfortable using after.
986028018_391657083843903488 x	When I drop food on the floor my "more food than dirt" instinct trumps my germaphobic OCD nearly everytime.
986028018_391655979991183360 x	Raise your hand if you've ever tried analgesics #Comedy #Shoppers
986028018_391654695191969792 x	To cull the human population the best way is to start with anyone who still isn't cool with same sex marriage #WhyAreWeStillTalkingAboutThis
986028018_391650807017664512 x	Orbitz is my favourite drink that makes me think of chopped up UK prostitutes
986028018_391630368069394432 x	RT @DaveWeasel: To calculate how many times my cousin has had sex, simply count how many framed wolf posters are on his wall and multiply i?
986028018_391372579010666496 x	@theskinofmynuts @JeromesCucinaTO Solid laughs and a great venue.  Well done all around. #Comedy #Toronto
986028018_391347146839961601 x	ProTip: Even if you ask they will not take your temperature rectally at Shoppers Drug Mart #Shoppers @ShopprsDrugMart
986028018_391346345476251649 x	Analysis of porn shows Andrew Dice Clays' Mary Mary joke in 1987 was solely responsible for women starting to trim their tuffets.#TBT #Fact
986028018_391343931738169344 x	The best part of twitter for me is when I get a follower count ending in ONE HUNDRED AND EIGHTY!!! #Darts @PhilDTaylor @Raybar180
986028018_391329724607107072 x	Why The Government Taxes You 35% Yearly And Then An Additional 15% On Each Purchase So You Can't Retire Until 67 #DarkBuzzFeed
986028018_391326074115600384 x	The 4 Huge Decisions You've Already Made That Mean You Will Turn Out Average #DarkBuzzFeed
986028018_391322864709689344 x	5 Fashion Trends Sweeping The Nation Your Body Type Could Never Pull Off #DarkBuzzFeed
986028018_391322135630602240 x	13 Reasons The Jones' Are So Far Ahead You Should Just Give Up Now #DarkBuzzFeed
986028018_390903763998765057 x	She thinks her left side is the best but her backside is #OutOfThisWorld #WCW #SpiritDay #Christmas
986028018_390902434542804992 x	No I said my background in science makes me an ORGANISM specialist. #IHateWhen #ThingsThatAnnoyMe
986028018_390901182660501504 x	Martina Topley Bird - Valentine http://t.co/ooE2xP49uH #SongsToMakeLoveTo
986028018_390900810080452609 x	Morcheeba - Never An Easy Way http://t.co/efKByjyZuZ #SongsToMakeLoveTo
986028018_390900361210257408 x	Morcheeba - Trigger Hippie http://t.co/s4DtEFAKz6 #SongsToMakeLoveTo
986028018_390900031894458368 x	DJ Krush - Skin Against Skin http://t.co/CiGyCqc8xa #SongsToMakeLoveTo
986028018_390867126287736832 x	Soon - Gelka (The Deadbeats Remix) http://t.co/u3ie1GeuqZ #SongsToMakeLoveTo
986028018_390863817082535936 x	You down with #LGBT? Yeah you know me. #SpiritDay
986028018_390843307724529666 x	ProTip: Peeling mushrooms is an important skill if you don't want to eat too much feces. #tbt #SongsToMakeLoveTo
986028018_390841508573626368 x	She likes her men like she likes her dressers.. long in the drawers.
986028018_390840147643625472 x	Meow. Meow. What's wrong kitty? Is someone trapped in a well? Do you want to play fetch or be useful? Oh your food bowl is just empty again.
986028018_390838349549666304 x	A grade school by any other name would still be a midget zoo
986028018_390837005937954817 x	A taser, but for prostitutes.
986028018_390836563803795456 x	I like my lesbians like I like my laundry, in a steamy flannel pile on my bed. #Christmas
986028018_390836022201688065 x	It doesn't matter if you are Jewish or not, anti-semantic jokes just aren't funny.
986028018_390511964666863617 x	Your hand out the car window rubbing your fingers together is the universal sign for I have a booger stuck to my finger #LetsMakeItAwkward
986028018_390511128930820097 x	I want to live in a world where all selfies are shameless #WeGoSolo #LetsMakeItAwkward
986028018_390509619518242816 x	Lets increase the price to $3.75 to use the subway and give everyone a free stick of gum and swipe of deodorant. #TTC #Toronto
986028018_390508337952862208 x	SugarCrisp is the new vegetables #SugarCrisp #HealthTalk
986028018_390506494195535872 x	To immigrate to the USA they require skills. Canada is like the slutty little sister, you can barely drive? No problem you'll fit right in.
986028018_390492212384903168 x	Lil Kim could've saved the ozone layer if "Put Ya Lighters Up" dropped in the early 80's and awful burns deterred legions of hair sprayers.
986028018_390317866601676800 x	So my buddy has this plan to live forever, he says he's not dying without seeing the  Leafs win a Stanley Cup #TMLTalk
986028018_390311534976827392 x	I won't hold it against you, unless you buy me dinner first. #catfish
986028018_390276016133775360 x	If she's Samoan at the beginning of the night and Samoan the end of the night what was she during the night? Still Samoan you sick bastard.
986028018_390240692087160832 x	@DLHughleyRadio @RealDLHughley  The time on my watch
986028018_390137630374907904 x	ProTip: Don't attempt peeing until the hand sanitizer is completely absorbed. #YouThoughtPorcelainWasCold #EndThisNow
986028018_390133395419713537 x	With a government shutdown in Canada there would be rioting in the streets until they reopened the liquor stores. #budget2014
986028018_390131913949585408 x	I figure if I stay in the Middle East long enough one of these days they'll trust me enough to bust out the flying carpets. #FingersCrossed
986028018_390129990072676352 x	So that's why they call them toddlers #SlowestLittleDrunkPeopleEver
986028018_390129603546599425 x	And what are you thankful for this holiday?  Maalox
986028018_389992145215434752 x	If you spell "you're" correctly in your hashtag #YourMoreAttractiveIf
986028018_389991545878769664 x	You stand beside ugly people #YourMoreAttractiveIf
986028018_389774507751112704 x	The difference between a baby and a food baby is that nobody wants to see photos of the food baby when it comes out. #AllThatMatters
986028018_389773867322859520 x	I would clone the hell out of her. Not the new way with the petri dish and turkey baster but the old fashioned messy way.
986028018_389773354434957312 x	Then we swung by the Michael J. Fox mansion for a martini.  #ShakenNotStirred
986028018_389772479566057472 x	Your name is Vanesha? That's amazing, it is literally impossible for me to slur your name when I'm drunk.
986028018_389415804602970112 x	ProTip: Your life will be so much happier when you stop using cream and sugar in your coffee and use Bailey's. #Thanksgiving #Family
986028018_389414255361282049 x	ProTip: Cleaning the pool in a robe with a ten foot pole makes you feel like a tai chi ninja giving life back to drowning rodents #KungFu
986028018_389411087248261122 x	Lazy girlfriends are like leaves falling in your pool.  You end up spending your life trying to keep them off the bottom.
986028018_389409782354182144 x	Whenever I do candle magic as a rule I say "Candleabracadabra" #Thanksgiving #Family
986028018_389014885599678464 x	I don't always borrow someone elses toothpaste but when I do I squeeze it in the middle.  #fml #ThingsThatAnnoyMe #IHateWhen
986028018_389013101590228993 x	Liquor store should be way larger on a mall map.  At least have a "YOU WANT TO BE HERE" arrow. #IHateWhen #ThingsThatAnnoyMe #Thanksgiving
986028018_389005086573080577 x	Oh you're that guy who puts his signal on just after I stop dead behind you at the green light #fml #IHateWhen #ThingsThatAnnoyMe
986028018_389004106901094401 x	KFC needs a breakfast menu. Everyone would try a double chicken egger with coleslaw and a coffee once. #YoureLeavingMoneyOnTheTableColonel
986028018_389002227488022528 x	If you don't like tofu chances are you've never had it deep fried in butter with salt. #Thanksgiving
986028018_388640117352857600 x	To underwear or not to underwear, that is the question. #AskOrange
986028018_388639675071881216 x	ProTip: If you have a huge mouth and require CPR chances are you're getting mouth to nose.
986028018_388638691356577792 x	ProTip: If you eat more than 3 packs of halls in a day you will itch like hell
986028018_388637595561099264 x	How to use an AED on a baby. Step 1 Make an electrode sandwich with the baby. Step 2 Electrocute the baby back to life. Step 3 Return baby
986028018_388636677042098176 x	Everything you say while holding a mannequin is infinitely funnier.
986028018_388636216339730432 x	This here is the machine I use to electrocute my kids so they don't lie.  I call it a defibrillator.
986028018_388475396884148224 x	All this time I thought I liked breakfast sandwiches and it turns out I just really like ketchup. #tbt #glee
986028018_388467909569150977 x	I "win" a free ham for spending over $200."Winner" gets to run his ass a mile to the meat section and back again.#WhatDoYouMeanGOGETTHEHAM??
986028018_388463755169783808 x	I just saw Andre the Giant died in 1993 and got sad. #tbt #SometimesInternetYouReallySuck
986028018_388451709367746560 x	Similar to Mahlers' Symphony No. 9 in D-Major my first movement today was also epic, relaxing and ended with a splash. #tbt #poop
986028018_388436088672362496 x	You move in and put newspapers up so I can't record you with my new #LGG2   At least change them everyday so I can stay current. #Rude #FML
986028018_388356487044935680 x	I check if my zipper is open way more often when I'm not wearing underwear.  #DickRoulette
986028018_388318634571202560 x	Yes cat, please inch closer, 6" from my face isn't close enough. Ok stop trying to put your ass towards me. #WrinklyPenny #ChocolateStarfish
986028018_388286834461384704 x	Carry in 3 bags of food.  Carry in 4 bags of litter. Carry out 7 bags of shit and litter. #ThingsThatAnnoyMe #cats
986028018_388285564275159040 x	If you don't properly rinse the soap from your cats' water dish he will diarrhea on your floor.  #ThingsThatAnnoyMe
986028018_388280525456429057 x	Charlie Sheen just invited me in for tea and strumpets. #CharlieBitMe #CharlieSheen #wcw
986028018_388028531105492992 x	Being beaten by your red-headed step-mother #Irony
986028018_388027901683044353 x	@Sethrogen @ChelseaVPeretti  Mature British
986028018_388006565829021696 x	How was I to know Wiener Schnitzel isn't a trendy new breed of dog. #StatusDogs
986028018_388003375838539776 x	With great power comes increased odds of dying when electrocuted.
986028018_387998587805659136 x	I'm in a fantasy sports league too. Slightly more fantasy than yours, I actually just think about it in my head. #RA25Mill
986028018_387995845884276736 x	Middle Eastern dining - Do I use my right hand to be polite or because eating with the left makes my food taste like crap? #AskOrange
986028018_387990077915144192 x	Well it's not my forte.. so who's Kia is it?
986028018_387988892101533696 x	At least when I drive you to work you only have to commute with one stinky degenerate #ServiceSpotlight
986028018_387983221155041280 x	This is how I talk to Penelope (grabs lips) MaaahhHHH http://t.co/Mr3SRf8wQX #WCW #BigTipsTexas #EmbarrassYourBestFriend #ShowLooksHilarious
986028018_387973492647268352 x	Repost Snopes' myths. People comment to say how naive you are. Klout score goes through the bloody roof. #BOOMitsChristmas #BigTipsTexas
986028018_387970303927672832 x	I'm always surprised when I walk up to a lesbian and she's not a hilarious comedienne..I'm like WHaaT? You're a gym teacher!? #gayjokes
986028018_387583152270491648 x	I made the minimum $23 payment on that $2000 credit card you gave me when I was 18 #PaychequePayout #IHateWhen #ThingsThatAnnoyMe
986028018_387579556460126209 x	Arabic women never check me out.  I thought it was because I wasn't Halal but apparently I'm just ugly. #IHateWhen #ThingsThatAnnoyMe
986028018_387579052069888000 x	That awkward moment when he looks you in the eyes as you talk of inches and if size matters. #TabletSalesman #IHateWhen #ThingsThatAnnoyMe
986028018_387578539916025856 x	The difference between Samsung and Asus. About a hundred bucks. #WheresMyFreeVaseline #IHateWhen #ThingsThatAnnoyMe
986028018_387578149187231744 x	That one person is leaning in really far for photos when nobody else is #IHateWhen #ThingsThatAnnoyMe
986028018_387577176687525889 x	Spent 4 hours trying to read Arabic and a nice girl just told me you're supposed to read it right to left. #ThingsThatAnnoyMe #IHateWhen
986028018_387350106845888512 x	"Always wear clean socks when there is a chance you will have to take off your shoes."
986028018_387348803625304064 x	Toronto should trade Russell Oliver for Jamie Oliver. #UpgradeOurOliver #JamieinTO #RussellSomewhereElse
986028018_387342316555362304 x	Your parents bumping uglies in a #sexbox #ThingsYouNeverWantToHear
986028018_387339967778672640 x	She's not much of a wrestler but you should see her #sexbox
986028018_387293113095446528 x	@ts_turner @LamyaAsiff Why is nobody talking about sky bicycle lanes? #JustBlewYourMind #MuchCheaperThanSkyTrains #NotEvenKidding
986028018_387273626266763265 x	Every housecoat should have an emergency backup belt #DickRoulette
986028018_387266669577371648 x	I spent 100k to be a surgeon and just found out I get the same rush using a knife & fork to eat a panzerotti.  #TakeNote #RandomChat #JRN100
986028018_387255386832502784 x	Companies often miss the key ingredients to attracting creative young workers..ping pong tables and beer pong tourneys ##PoCchat #TakeNote
986028018_387248785581412352 x	Someone just told me I can tweet from bed on my phone.  #SHAMFkNWOW #HeavenIsHalfNaked #TakeNote
986028018_387079417538691072 x	@robdelaney Splurge on your wife every chance you get. #IDontAlwaysSplurgeButWhenIDo..
986028018_387050804974088193 x	"Well I was going to be Mr. T for Halloween but as you so kindly pointed out I can't be because I'm white." #PityThisFool #Halloween
986028018_387031319948967938 x	There's a real Last Airbender in this cafe bathroom @ChelseaVPeretti #useamovietitletodescribefemalestench
986028018_387031258942820352 x	There's a real Underworld Series in this cafe bathroom @ChelseaVPeretti #useamovietitletodescribefemalestench
986028018_387030942314799104 x	There's a real Ghosts of Girlfriends Past in this cafe bathroom @ChelseaVPeretti #useamovietitletodescribefemalestench
