584389327_396277797465108481 x	@Phillies #PhilliesPhriday Ashburn statue
584389327_283430800333086721 x	RT @russellhantz: Santa Claus getting a break going across the Atlantic! My kids are so excited he's almost here http://t.co/1FhIJFvN
584389327_283430649191333889 x	RT @jimmyfallon: I just heard that Santa left the North Pole!! He?s coming!!! #MerryChristmas
584389327_283430245485395970 x	RT @wwwbigbaldhead: goodnighteveryone merry xmas. highfives all around . xxx
584389327_283325318457065472 x	?@BrookeBCNN: Have fun in NOLA!!!   Give me a shout out!   I'll definitely be watching!
584389327_283313801107996672 x	@BrookeBCNN Are you going to be in Nashville again this year?   Love @CNN New Years coverage!
584389327_282523683594047490 x	If @JosABank_Brand Ever wonders why customers stop buying and don't come back, look no further than the catalog division.  Worst exp ever!
584389327_282513027239120896 x	So many issues with ordering from @JosABank_Brand.   Learned my lesson.  Never again!   Not worth time, effort, or frustration!
584389327_279033698802876416 x	@HowardStern Please send me a Christmas Card!   Would make my year!  Andrew Rigney, 55 Loockerman Plaza, #1714, Dover, De.  19903.
584389327_278972279763910656 x	@JosABank_Brand Website wouldn't take $25 off code.   Called CS. Said rep would call today.  No call.  Very disappointed.  Loyal cust. gone!
584389327_278964939689951235 x	Major issues w @JosABank_Brand.  Order wouldn't accept online last night. Customer service = no help.  Supposed to call me today.  Waiting.
584389327_257326551136350208 x	@howiemandel Will you be wearing a dumb hat?
584389327_257325655346262016 x	@SpencerHorsman Good luck Spencer!  You deserve all the good stuff in life!   Wish I was there!
584389327_255480866766200832 x	@bibbymoynihan Just saw SNL from this past week!  Kitty Cat guy was a freaking riot!   Still laughing!  Please make it a regular!  Need more
584389327_235177490799263744 x	#mizpit
584389327_224359637879758850 x	RT @russellhantz: I will be tweeting live while Willie @HantzBB on showtime tonight !!
584389327_224183158889906177 x	@NickCannon Thx 4 this pic w my son. He's disabled and just had a major surgery a few weeks ago.  Made his summer! http://t.co/ATSsvFyu
584389327_223523254910984192 x	@ReallyWILLKIRBY   NONE!!!  They should all follow you!!  #chilltown
584389327_223443400379215874 x	@MFBrooklyn Thanks for talking with us and taking the picture!  Here is the other one! Looking forward to coming back! http://t.co/ApN2Fzw8
584389327_223310557179162625 x	@Hayden_Moss @mcoop @bigbrotherleak @britney_haynes Now you are talking Hayden!   Any Hantz is the favorite going in!
584389327_223310272822120448 x	RT @Hayden_Moss: @Ryan_Bochert Frank the Tank or Hantz! Brittany is gonna win for the Vets....actually she prob wont, but i hope so!
584389327_223310208028516352 x	RT @Hayden_Moss: @mcoop @BigBrotherLeak @britney_haynes is gonna be my fav vet....as for the newbs i gotta go with Hantz! #OrJoJoForObvi ...
584389327_223310092727107585 x	RT @onepeacegoddess: @JeffProbst @jorg3nb Probst is RIIIIIGHT! Redemption made Hantz cry... How can u not like that?!
584389327_223309908207091712 x	RT @CBSBigBrother: #BB14 Houseguest Willie Hantz says he won't tell anyone about his #Survivor family members -- will he get away with i ...
584389327_223309865228050433 x	RT @CBSTweet: Think Russell Hantz gave baby brother any advice on how 2 play @CBSBigBrother? #BB14 starts Thursday, 7/12,  http://t.co/e ...
584389327_223309801386549248 x	RT @TRACKBigBrother: Photo of JoJo Spatafora and Willie Hantz in the Big Brother 14 house!: With the MOST anticipated summer... http://t ...
584389327_223309564077031424 x	@howiemandel Did you take that hat with you?
584389327_223231011348168705 x	@howiemandel lose that hat!
584389327_223225801179541505 x	@howiemandel You should hide that hat!
584389327_223222418913771521 x	@howiemandel wave to us.  In third tier to your left
584389327_223217859432677376 x	@howiemandel kill the hat.  Just saw you during traces.   Not a good look.
584389327_223217622811017216 x	@BethStern Come sit in our box on the third tier.  We are in C3.  Here with my kids!
584389327_223199791750975488 x	@TomCotterComic Thx for stopping by and talking to us in the lobby!   Appreciate the picture as well!  Good luck!! http://t.co/aElXLvAn
584389327_223194229000777728 x	@reporterjon We are at agt too!  We are in 3rd tier box.  Come stop by and say hi! http://t.co/iyznQ53c
584389327_223193196153417728 x	@SpencerHorsman Great meeting you in the lobby at #agt.  Thanks for stopping and taking a picture!   See you in Balt! http://t.co/8keM1Qu4
584389327_223180610661916672 x	@HowardStern @BethStern In lobby of NJPAC.  Let us in early due to my sons disability.  Any chance we could say hi?
584389327_223173660599525376 x	@howiemandel It would really make his day!
584389327_223173586234515458 x	@howiemandel In the lobby of the NJPAC center.   They let us in early due to my sons disability.   Any chance you could come out and say hi?
584389327_220678305249107968 x	RT @ToddZolecki: Amaro and Hamels met privately Tuesday. Hamels said Phillies' losing hasn't soured him on signing an extension. http:// ...
584389327_220676588654690305 x	RT @russellhantz: Congrats on my little bro for getting on Big Brother now you better rock it @HantzBB
584389327_220676308139638784 x	@HantzBB Who are you hating the most so far?   See some of the cast and have some guesses....
584389327_220583439257186304 x	@HantzBB Upper Deck the BB toilet while you are I there.  That's some classic stuff!
584389327_220594895704961026 x	@HantzBB are you in the house now or just in sequester?
584389327_220592542239043584 x	@HantzBB @survivorshannon Gotta do it!   It would make TV history!!!
584389327_220263847586578434 x	@HowardStern Give me hell tonight Howard!   You are America's judge!   Don't let Howie or Sharon tell your different!!
584389327_220178993519927297 x	@HowardStern  Eavesdropping on a table of 8 women at lunch.  All are talking about how great of a judge you are.  Amazing how times change!
584389327_215510755158671360 x	@_RickDale_ Coming to Vegas next week.  What is your address?   Want to stop by for tour!
584389327_215510096350945280 x	RT @Phillies: IF THIS TWEET gets 100 RTs, we'll give away a signed Ruiz cap! And don't forget to #VoteChooch to the #ASG here: http://t. ...
584389327_214392721765433345 x	@chumlee_ Coming to vegas next week.  What is best day/time to stop and meet you at the shop?
584389327_213423227949694976 x	@HowardStern Still working on GTD?   Made a huge difference for me.
584389327_213422183035314176 x	@ArtieQuitter You doing a book tour when it comes out?
584389327_211992859409268737 x	RT @howardeskin: filling in on morn show for Angelo @SportsRadioWIP have #eagles joe banner @ 8a and charles barkley at 8:40. And workin ...
584389327_211900768389828610 x	@jonmhein Who did you meet with at Dunkin?   Jeff and Stan in R&D?
584389327_211900135695855617 x	@howardeskin Can you make it permanent?   That whole morning show sucks!   The King would make it relevant again!!
584389327_211281643497979904 x	@EricTheActor11 Buyers remorse on your app.  I want my money back.
584389327_210169501155725312 x	@robertAbooey How come Mark Harris doesn't come on anymore?
584389327_209462915965788160 x	@d_jennings8 You back on with the club in NY on Tuesday?
584389327_209001919702761473 x	@robertAbooey Santana's no hitter will always have an asterisk due to the umps error.  That was shown more than the end of game reaction
584389327_205848714848378882 x	@HowardStern How is Robin doing?  Hope everything went well!
584389327_205848056409751552 x	@robertAbooey How is Robin?
584389327_204393856261820416 x	@ArtieQuitter got to be better than the La Quinta I stayed in this week.   Those commercials lie.
584389327_204390417909825537 x	@ArtieQuitter What are you in LA for?   Glad to see you doing well!
