33512659_396626888472281088 x	Here we go
33512659_396343315823472640 x	@TeddyHeftyNefty what time
33512659_396343819429351424 x	@TeddyHeftyNefty thanks
33512659_396343407611633665 x	@Nick__Barth r u going tn?
33512659_396342167146201089 x	@Nick__Barth same
33512659_396341776958914561 x	Wishing that you were mine forever
33512659_396332843741499392 x	@beccal0vesyou hey
33512659_396334976150814720 x	@beccal0vesyou so r u goin to jul
33512659_396337104143134720 x	@beccal0vesyou wanna give ride I got $
33512659_396331502608203776 x	@kinnkKIER are you going to Jul tn?
33512659_396332417272643584 x	@kinnkKIER I might go
33512659_396328754080800768 x	RT @itsMeekMill: Never give up on something you really want. It?s difficult to wait, but worse to regret.
33512659_396327849424351232 x	Who wants gets something to eat?
33512659_396320514546728960 x	@BagnarelliCasey hey
33512659_395968135200653312 x	RT @DonahueMorgan: The ones you think have your back, are usually the ones holding the knife to it
33512659_395961568808009728 x	Lunch date with the girls
33512659_395929526070308864 x	With the Jennas
33512659_395676563561119747 x	At the dorms
33512659_395658337859018752 x	@kelsey_dowd txt me
33512659_395658210666741760 x	@@hello_kattyxo txt me so I get save ye number
33512659_395403072425721856 x	RT @Volpe_Express: Congrats on Judge winning tonights game!  #KeepItUp #Champs #FuckCentral
33512659_395397484719403008 x	@hello_kattyxo nice seeing u today in lib.
33512659_395396909269258240 x	RT @RALLYphilly: Judge rolls to Catholic title: When the season began, Ryan Nork said if his Father Judge soccer team won the C... http://t?
33512659_395395304117510145 x	Why the fuck are so perfect?
33512659_395391850246602752 x	So cute I just want one so bad @britttazioly @nikkitazioly http://t.co/tjaOUpPNFy
33512659_395393016665739264 x	@nikkitazioly @britttazioly I want one now
33512659_395392692852891648 x	RT @gmaannnn: sucks realizing you have noone there for you
33512659_395391428983267328 x	RT @RyBread322: Instead of the eagles, here's some puppies. http://t.co/FMxvgNPFwg
33512659_395389823529537536 x	@OfMeissAndMen miss you buddy
33512659_395387946926620672 x	@snuggle_bear01  happy early birthday bro I love you kid enjoy it
33512659_395388610096418817 x	@snuggle_bear01 what's up
33512659_395389188700659713 x	@snuggle_bear01 watching tv
33512659_395388123146121217 x	RT @kirstenregan: i hate the Spanish language
33512659_395378033458429953 x	RT @CunningMatthew1: Congrats to all my soccer boys!! Now it's our turn.  Father Judge is taking over the fall
33512659_395377803568644096 x	RT @FJ_Soccer: Father judge 3 lansdale catholic 1 ... Catholic league champs baby #yahooblue
33512659_395373540851322880 x	RT @kayla_balOOn: Wish it was easy to trust everyone
33512659_395370022622990336 x	RT @Nickhoffman01: 5 years ago tonight I was running to Frankford&cottman, surreal. Get chills every time I see the video #Swing&aMiss #Str?
33512659_395368713408765952 x	@nikkitazioly  awkward tonight's
33512659_395368991960870912 x	@nikkitazioly haha I'm hype
33512659_395363351368585216 x	RT @Pomskies: I got your nose! http://t.co/PUsU7yb5IV
33512659_395362784873312256 x	RT @RallyInq: Father Judge downs Lansdale Catholic, 3-1, to capture Catholic League boys' soccer championship. 1st title since 2009
33512659_395358546407489536 x	RT @ColIegeStudent: 5 minutes into attempting homework http://t.co/5Uwf4s3hac
33512659_395358113282670592 x	RT @ColIegeStudent: How to deal with having a lot of homework due tomorrow:  -take a nap -spend 4 hours on twitter -cry
33512659_395357980667183104 x	RT @snuggle_bear01: Fuck the heat fuck the bulls #76ers
33512659_395352370366124032 x	RT @FJ_Soccer: http://t.co/0Z0rWEhGI7
33512659_395271125611315200 x	@ChalieStone28 hmu on here when we are going to movies
33512659_395041803864641536 x	RT @Ralph_adelphia: Just be honest with me.
33512659_395035210511024128 x	RT @britttazioly: omg i want halloween
33512659_395035060468215808 x	RT @Dyllie_the_kid: Things do come around and make sense eventually and things do come around but some things still trouble me
33512659_395031343098503168 x	RT @sadielargist: Haven't laughed that hard in awhile.... Omg I Can't deal???
33512659_395030935814819840 x	RT @KasianRice: i hate going to bed alone
33512659_395026202437910528 x	RT @Sulpiziox28: It's really crazy to think this time 5 years ago all of us were talking about tommorow at camp and how we hope to see it o?
33512659_395024587874119680 x	RT @AUBerryshrtCAKE: But if there's one real thing you would choose to believe, just don't lose your faith in me
33512659_395024064106209280 x	RT @AUBerryshrtCAKE: If you're gonna pick and choose when to talk to me please just don't at all
33512659_395022727960334336 x	RT @AudreyEveryDrey: The first season of American horror story is hands down the best season??????
33512659_395022684725452801 x	RT @_ANNAtomic: I bought one beanie and now I'm obsessed I MUST HAVE MORE
33512659_395020635002667009 x	Wanna go out sometime
33512659_395009538438746112 x	RT @arianadov: Sorry I'm such a fucking disappointment.
33512659_395009480964210688 x	RT @laurabooney: so done
33512659_395008336971956224 x	RT @JoeyG_145: Wonder what the people say when I'm not around.
33512659_395007675324723200 x	RT @Joe_Bieler: shaving suxx
33512659_395007625420865536 x	Sammy Adams
33512659_395007564209201152 x	RT @MAEN_squeeze: hop off
33512659_395003169920806913 x	RT @fuckassnipples: I'm a fucking idiot!!!
33512659_395003054623571968 x	RT @amandaaadodd: Congrats ftc girls soccer team!! Couldn't be more proud, you ladies work so hard and deserve it ????
33512659_395002509141770240 x	@fuckassnipples just wanna stay young forever
33512659_395002386156363776 x	RT @fuckassnipples: growing up fuckingg sucks.
33512659_394999087856357376 x	RT @CalllMeBane: This fucking medicine makes me feel weird as fuck
33512659_394997024380448768 x	Hate when screenshot my snapchats
33512659_394993125594529793 x	@_hannahlynnn where do you wanna go?
33512659_394996867412815872 x	@_hannahlynnn yea
33512659_394993022183956480 x	RT @_hannahlynnn: School is literally giving me mental breakdowns
33512659_394992969746763776 x	RT @paigemariiexo: I'm such a pussy when it comes to tellin someone how I feel
33512659_394991660746424320 x	RT @kegsmelley: Mint Chocolate chip icecream is sooo hard to resist ?
33512659_394986510371815424 x	RT @alessandraskii: Eff school, just wanna quit
33512659_394986022289018880 x	RT @relate: When I'm quiet:  1) Tired  2) Don't have anything to talk about  3) Over-thinking  4) Upset  5) Falling apart  6) All of the ab?
33512659_394985768462319616 x	I wish people talk to me
33512659_394953059912404993 x	RT @Nicolinaohex: Perks of being a wallflower ?
33512659_394933524211716096 x	@britttazioly @ChalieStone28  movies tomorrow
33512659_394931682815791105 x	RT @__kelllls: cant wait for halloween ??
33512659_394923195197034496 x	Oreos sound so good right now
33512659_394686956204228608 x	RT @kinnkKIER: These chocolate chip cookies are delish
33512659_394685753034551296 x	RT @kddoc_26: I can't wait until I move out of this house
33512659_394682235611521025 x	RT @TomFarr_13: Guess I was wrong
33512659_394682184562638848 x	RT @vladtotheface: #popnj
33512659_394681089677328384 x	RT @britttazioly: scary movies are my favvvv ????
33512659_394679848834453504 x	RT @hello_kattyxo: Ugh I give up
33512659_394679020576854016 x	RT @iRelateeYou: Those text messages that make you sit there smiling at your phone.
33512659_394678910908370944 x	RT @bender3395: Nice guys finish last
33512659_394678784726958080 x	RT @carlypeiffer: omg??
33512659_394677925913853952 x	RT @nikkitazioly: never thought i'd see your face again
33512659_394588573531271168 x	RT @_hannahlynnn: The chase is more fun than the kill.
33512659_394581475427110912 x	My life sucks
33512659_394338229711011840 x	RT @jobstanley: Ride or die
33512659_394333415056887808 x	RT @kddoc_26: Haha people change for the better?....I call bullshit
33512659_394333224027295744 x	Anyone wanna hangout tomorrow?
33512659_394328650138787840 x	RT @_hannahlynnn: You look like bad news, I gotta have youuu.
33512659_394328289730625536 x	Snapchat anyone
33512659_394326754535702528 x	RT @xoxostephquinn: Want something one day then the next I don't
33512659_394326733178306561 x	RT @Platty__: 100 different things go through my head everytime I try to sleep
33512659_394326656850341888 x	RT @ElyseBoyle: Caaaaant believe I wasted so much time on  dooooork
33512659_394319061838233600 x	RT @miguelbrendan: When you text someone and they reply "who's this" NIGGA U KNO ITS ME
33512659_394294023277772800 x	RT @Caitlinbradley_: my ideal life would be me alone on an island with a lot of alcohol
33512659_394293529255899136 x	@_ANNAtomic what are you going to be
33512659_394262215517548546 x	RT @lilbeth1014: two hearts, one dream.
33512659_394258590154100736 x	So bored where is the party at?
33512659_394229825889927168 x	RT @FJ_Soccer: Judge dominates and beats Ryan 2-0. Championship Tuesday night at 6.
33512659_394229300037423104 x	RT @HampinBitches: Every neighborhood wishes their cops were like Mayfair cops
33512659_394031310517600256 x	RT @CalllMeBane: Sucks hearing bad things
33512659_393908745165492225 x	Its going to be a good night
33512659_393786530554056705 x	Blood drive
33512659_393379637864067073 x	What going on this weekend?
33512659_393291286893301760 x	Pandora is on point
33512659_393291201111425024 x	I can't wait to see you tomorrow
33512659_393286863232176128 x	RT @kinnkKIER: ALWAYS be grateful because someone out there has it worse ?
33512659_393262627608354816 x	Tswift music and think about you
33512659_393233742380421120 x	RT @barrykneedler: Congrats to my boy goldbloom on getting 1st team all state
33512659_393233591494533120 x	RT @drues_clues: I hope happy didn't get abducted... That wouldn't be good
33512659_393233457285185536 x	RT @Jack_Backwards: Never look back.
33512659_393233405300989952 x	RT @JordanTarno: Cherishing the simplest of human interactions and enjoying my state of youth. Beautiful times. Constant inspiration. Thank?
33512659_393231623023771648 x	RT @Jack_Backwards: The best part is waking up next to someone you genuinely care about. ?
33512659_393230805134487552 x	@Jack_Backwards bring the phone tomorrow
33512659_393140679846920192 x	Good job holy family women soccer! Great win!
33512659_392773019263041536 x	@rissssy1396 Hey
33512659_393080071004504064 x	@rissssy1396 Whats up
33512659_392886682984644608 x	RT @Partyprobs: The key to life is not giving a fuck and just doing you
33512659_392886591599177728 x	RT @Partyprobs: I wish some nights never ended
33512659_392886163222298624 x	RT @Partyprobs: Halloween parties >
33512659_392883926693576704 x	RT @kiess_my_ass: Seniors, choose your college wisely.. Or better yet choose Penn State #WeAre #bestdecision
33512659_392881370084945920 x	RT @n0tamanduhh: I just neeed to let it goooo. So that's what I'm gonna do ?
33512659_392877082956808192 x	RT @Eddie_Mac10: I really overthink things way to much
33512659_392844357789036544 x	RT @alexistahl: @paigeemeyer is a slut. Just so everyone knows ??
33512659_392843511810490368 x	RT @paigeemeyer: Gonna throw my phone at a wall in two seconds if it ain't start working! #fuckinghatephones
33512659_392841712248573952 x	RT @HesNotAllowedTo: My boyfriend isn't allowed to wish on shooting stars, what he tryna wish for? I'm his biggest dream come true.
33512659_392841670049669120 x	RT @HesNotAllowedTo: My boyfriend isn't allowed to yawn around me in public... Gonna have ppl thinking our relationship is boring & shit. H?
33512659_392841585161158656 x	RT @HesNotAllowedTo: My boyfriend isn't allowed to get glasses or contacts. What you need better vision for? You seeing someone else?
33512659_392841542781919232 x	RT @HesNotAllowedTo: My boyfriend not allowed to take a jog around the block, the fuck he trying to do? Practice how he'll run away from me?
33512659_392841208999215104 x	RT @nikkitazioly: AHHHHHH AWKWARD!!!!! OMG
33512659_392841041025716224 x	RT @MAEN_squeeze: AWWWKWARDDDD?????
33512659_392840943596228608 x	RT @BagnarelliCasey: AWWWWKKKWWWAAARRRDDDDDD ??????????
33512659_392839658604068864 x	In life your got to advantages of what you got
33512659_392839362599469056 x	RT @alexlaff: Too excited for the weekend?
33512659_392839275043377152 x	RT @nikkitazioly: AHHH SNOOKI & JWOWW!!!!! #mybitches
33512659_392801708796940288 x	RT @nikkitazioly: seriously too excited for awkward to come back on
33512659_392801662730907648 x	RT @MTV: In celebration of tonight's #AwkwardPremiere, I give you Palos Hills' 10 Most 'Awkward' Moments (in GIFs!): http://t.co/pvmiafHDkc
33512659_392785018579595264 x	Awkward comes back tn
33512659_392798660544589825 x	@nikkitazioly anytime(: I cant wait
33512659_392799206424846336 x	@nikkitazioly haha! Its should be good
33512659_392800291340697600 x	@nikkitazioly I knoww!
