114866624_395762058970796032 x	@PJStukas @howardeskin uh, duh.
114866624_355108161025355777 x	Michael Young has 14 extra-base hits in his last 27 games (105 ABs). He had 11 extra-base hits in his first 58 games (207 ABs).
114866624_355110340733829122 x	@themaxwhite Asche could very well be Adrian Cardenas. Who knows.
114866624_350452033297461250 x	Fred Willard is here. Name his best role in film.
114866624_350454191304605696 x	@jbohenn that was the winner. so, so good
114866624_305851910538272770 x	@PhillyGossipDN she's creepy. Also: is she still in movies?
114866624_173976233569300480 x	Quintessential Cooney tweet ?@KevinCooney: Forgive me for sounding harsh, but who will be last person on In Memorium clip? Send your picks?
114866624_173946710060572672 x	Such an underrated comedy. RT @JasonNark: In honor of the Oscars, I watched One Crazy Summer with my son Friday. Goldthwait was priceless.
114866624_122519397947539457 x	It's an Achilles injury for Ryan Howard. Won't know more until MRI. #Phillies
114866624_122498839264497664 x	The Phanatic is right behind the dugout. Perhaps he will grab a bat?
114866624_122486320214966272 x	Pence has hit one ball out of the infield in the last two games.
114866624_122489174224928769 x	@jbohenn nah, Werth produced in the postseason. Tied for franchise record in postseason HRs.
114866624_112996345845006336 x	#Phillies lose 3-2. Magic Number to win division down to 6, however, since Braves lost. Also, can't see Bowker on a playoff roster.
114866624_345661795610017792 x	Phillies lineup. http://t.co/Z7MW5Jez9Z
114866624_336669490874036224 x	Cole Hamels did not talk to the media following tonight's game.
114866624_364197827850674177 x	Darin Ruf has reached base in 32 consecutive games, it's the longest active streak in the major leagues.
114866624_339198921656107010 x	That's the second time Howard has broke for third on a ball to short in last four nights. This time, he gets caught. Not smart base running.
114866624_235173757474455552 x	John Mayberry Jr. snapped an 0-for-15 skid with that double.
114866624_230813274512449536 x	Everybody is a candidate to play third base next year. Even Cole Hamels.
114866624_228139393829974016 x	#Phillies lineup: Jimmy, Shane, Chase, Ryan, Hunter, Ty, Juan, Erik, Vance
114866624_223940549084848128 x	The Phillies second half begins... with Jimmy Rollins fouling out to first base.
114866624_217060606107324416 x	His $21.5 million is most any Phillie will make in 2012. RT @jakemkaplan: RT @RobMaaddi: Lee remains winless since 9-26-11 --- 273 days ago.
114866624_217053891366363136 x	Huh. Tiny, little shove by Pence on Rays catcher there makes him stumble a bit, allows Polly to get to third.
114866624_217051644569980928 x	Sean Rodriguez was the runner. He had the entire inside line to the plate wide open. Odd. It's like he sought out contact.
114866624_216304918913495040 x	Pretty sure one of the pennant flags will fly away in the next 10 minutes. I have money on '77.
114866624_207633746898329600 x	wait. he's still in there? RT @davidhaletnj: that time you look up in the 6th inning & realize Joe Blanton is still pitching for some reason
114866624_398576790014537728 x	Ruben Amaro Jr. said he won't wait long on Carlos Ruiz in his need to fill Phillies catching vacancy: http://t.co/vacK3CrOUr (PROMO C18T)
114866624_398577465247141889 x	@EziosVengeance that's actually in the story
114866624_397518522785755136 x	@EziosVengeance revere isn't guaranteed anything. They could get two OF and a C. That's 3/8ths of lineup.
114866624_275960087493898240 x	Another free-agent outfielder erased from Phillies' list but GM Amaro not panicking http://t.co/G8hHlxx6
114866624_262945105432956928 x	PROTECTED
114866624_381838030895865857 x	Is Ryno going to celebrate by getting tossed? Maybe.
114866624_314738390912356352 x	Coffee. Drank too much coffee.
114866624_391774183241175040 x	Shane Victorino DID hit the game-tying HR before Stairs' go-ahead HR back in the '08 NLCS, in case people forgot. (Yes, and slam off CC)
114866624_364185064315174912 x	@KevinCooney wait. you didn't even know who they were a half hour ago. this does not add up.
114866624_309290841397141505 x	Delmon Young already back in camp. Just took a bat to the cage, so that's a good sign I guess. Should be an update later.
114866624_395360031694405632 x	Does Reverend Lovejoy play for the Ducks??
114866624_379301918826594305 x	The Phillies will face "Dyson" and "Flynn" in the next two days. If you can tell me their first names without looking it up, you win a prize
114866624_390180582337941504 x	@joyformidable Just landed in Seattle! http://t.co/NjhOMrODSI
114866624_384482110201135104 x	You're still here? It's over. Go home.
