1969199864_395513660820303873 x	@Gabby_Durrin what pedals are they?
1969199864_397676565699772416 x	@Monster_Supp great if you play video games but unfortunately I don't :(
1969199864_397735157371002880 x	@Monster_Supp thanks!!
1969199864_397666360861675520 x	RT @roadcc: From the forum: rapha.. why do people on ebay insist on paying more than it can be bought new from ra... http://t.co/e9xKntIH1j?
1969199864_397665514111377408 x	RT @AussieLarry: Feature: Wins at Koppenberg & the Europeans makes it a magic time for Helen Wyman ... http://t.co/GeUDGxWkpK
1969199864_397510811394256896 x	RT @cyclingweekly: Comment: What sort of person asks their dad for blood so they can cheat in a bike race? http://t.co/YteL74rLPf
1969199864_397087792117067777 x	Another top 10 at today's lincs league cyclocross, 9th overall, 5th Senior :) #cyclocross #claycrossrt
1969199864_396845563440005120 x	RT @dean0downing: All I want to say is........ ?20k for @Hopeforjustice at @OUTOFTHESADDLE1 #charityauction thank you to all who attended #?
1969199864_396649737560264704 x	5 hours sleep last night followed by a great ride out this morning with Notts Clarion Cycling Club :) #shattered #cycling
1969199864_396336598058418176 x	@GabriellaShaw1 Dura ace on a winter bike?! Thats as good as cheating ;) Looks smart though!
1969199864_396266380515106816 x	First exam in over 6 years this afternoon and it counts towards my degree :O! #nervous #feelingold
1969199864_396325904286511104 x	Thanks @LieslJobson I feel it went well so hopefully it did! Not long till I'm in SA now!! #cantwait
1969199864_396265829291274240 x	RT @gregjames: I'm sold! Leaving my radio show from next September to do an MA at Loughborough. Can't wait to meet the guys! http://t.co/Ug?
1969199864_395528722365050880 x	RT @cyclingweekly: Not the way to fix a broken seatpost... https://t.co/4xjmdyau6c (from @mattscott007)
1969199864_395513819608264706 x	@greeky525 alright greeky ;)
1969199864_395498243997859840 x	RT @TeamSky: What do you make of our latest winter training tactic? #MarginalGains http://t.co/InczEQP9jB
1969199864_395491999266009088 x	So tired but its time to smash some work out before the Loughborough Cycling club ride this afternoon :) #icansleepwhenimdead #cycling
1969199864_395193182964940800 x	RT @tlc_uk: Brand new and exclusive to TLC tonight is the premiere of @JodieMarsh On The Game. Don't miss it at 10pm. http://t.co/cH4YUJrqGj
1969199864_394842242651000832 x	RT @cyclingweekly: Television highlights of Saturday's Revolution track event will be shown on BT Sport 2 on Tuesday, October 29, from 7.30?
1969199864_394566088434155520 x	@JodieMarsh just watched #JodieMarshonSteroids Such an interesting program and it makes you question why anyone would ever take steroids!
1969199864_394492509034127360 x	8th/9th at today's lincs league cross race! 5th senior! Well worth the trip home and to Louth! #gettingbetter #cyclocross #claycrossrt
1969199864_394393736324857856 x	Pumped for Hubert's Hill today for the lincs league cross race! #cyclocross #cycling #claycrossrt
1969199864_393834911859494912 x	@cyclocrossjake good luck :)
1969199864_393835782718619648 x	@cyclocrossjake will do mate, I'm home for the weekend, you about tomorrow? :)
1969199864_393630366868987904 x	RT @SwearingWeather: FRIDAYS WEATHER : It's Scuba dive to fucking work day, it's a wet one kids so make sure you can fucking swim. Highs of?
1969199864_392758225009127424 x	@JodieMarsh is there anywhere online I can watch #JodieMarshonSteroids?
1969199864_392412922129158145 x	@cyclocrossjake it wasn't awful just not good ;). Jokes, it was your first World Cup, just getting there was an achievement!!!
1969199864_392312369130790912 x	Turbo training in the multistory car park. Start of winter :( #turbo #cycling http://t.co/DxtrrktrgX
1969199864_392412547313594368 x	@Martintastic think it will be a bit loud in my uni room!!
1969199864_391294726998986752 x	@Martintastic yes please :), do you have the tool for changing them too?
1969199864_391308433808691200 x	@Martintastic cheers mate :)
