22704001_317453613557510144 x	Flyers lost in the shootout. They're now 1-2 in shootouts this year.
22704001_389446606249930752 x	Have to wonder if Hartnell's injury is to the shoulder he hit awkwardly in Tuesday's game. He could have aggravated it sometime vs Phoenix.
22704001_387217695344566272 x	I need to start keeping a list of all the major Flyers news that has happened while @tpanotchCSN has been on an airplane. Good lord.
22704001_378190924402393088 x	So who might take the open spot? Holmgren name-dropped Laughton, Raffl ...
22704001_398983598067695616 x	I'm hearing rumors of the Edmonton trade too. UNCONFIRMED but I have two Flyer names who may be headed to the Oilers ...
22704001_398990311219003393 x	Days like today I really hate twitter :) can we all go enjoy our Friday nights now? Or at least just reminisce about Bryz?
22704001_398970542059167744 x	Bryzgalov is still local. In theory, he could suit up tomorrow against the Flyers ...
22704001_396622810799300609 x	I'm actually a supporter of fighting in hockey. But I am not a supporter of what transpired between Emery-Holtby last night.
22704001_396715343328321536 x	I'll just make you a sandwich instead. RT @DaBreezeC: @sbaickerCSN try covering badminton then or ironing. #domesticawesomness
22704001_395978687843024896 x	The Flyers lose Talbot's PK talents, yes, but there is Adam Hall waiting in the wings, right?
22704001_395970796880814081 x	Does Downie have more offensive upside than Talbot? Yeah, probably. But Flyers lose a great PK guy. Downie will be RFA after this season tho
22704001_307935474012532739 x	More @PearlJam! World Wide Suicide palying at @WellsFargoCtr now. Wooo!
22704001_398985372795166720 x	PROTECTED
22704001_378145422994571265 x	What's up Philly, too early for you to be at Flyers camp? http://t.co/Hyw1crgARG
22704001_398890274702622720 x	Ed Snider says things have never been this bad in all of his 47 years with the Flyers: http://t.co/8XBRatWyEQ #FlyersTalk
22704001_398865337435045888 x	Snider doesn't believe captaincy is wearing on Giroux - cited the fact that G was a point-per-game player last season.
22704001_388817503326978048 x	Did anyone happen to catch what happened to Hartnell?
22704001_398864934756708352 x	Ed Snider says things have "never" been like they are now with the Flyers. #FlyersTalk
22704001_385743773592219648 x	Headed to a social media & sports conference in NYC today. Maybe I'll finally learn to be less annoying on twitter!
22704001_396992319875854337 x	I'm spending my extra hour replying to all the e-mails I got about Friday's game and my thoughts on it. Even the mean and angry ones.
22704001_396619289295216641 x	When's the last time you saw a hockey fight between one willing participant and one unwilling? Can you even call that a "hockey fight?"
22704001_423937376655007744 x	I'll be ice side caching you up on everything you need to know for tonight's Flyers game at 6 on CSN. Tune in! I appreciate your eyeballs!
22704001_423939498956046336 x	@AdamVingan ehhhh fine.
22704001_423937502605754369 x	RT @davegisaac: Berube confirms Downie is in the lineup on the fourth line.
22704001_423569083930378240 x	Sad state of affairs when criticisms of me in comments on local blog are ALL questions/accusations about my sexuality. C'mon. Isn't it 2014?
22704001_392277919654899713 x	Heck yes, I am wearing a Mookie 10 Pearl Jam fanclub T-shirt today. Because I am awesome/a giant nerd.
22704001_392282625508769792 x	@bastiancatalano Oh yes, I am.
22704001_392258224285822976 x	Happy @PearlJam Day 1 at my house -- er, I mean, the @WellsFargoCtr day!
22704001_392259044310003712 x	@twolinepass total? Or just this week? :)
22704001_392261692606132224 x	@twolinepass I have to recheck (my @PJStatTracker app hasn't been working! [yes I'm awesome]) but I think by my final show on this tour ~25?
22704001_392263253684154368 x	@twolinepass nice. Who's the band?
22704001_392278682162573312 x	@PredatorialJN @twolinepass Nah dude that was @The700Level. Actually I think he still does that.
22704001_392280773211860992 x	@twolinepass @CraigCustance @PredatorialJN @The700Level I've owned a few Phish records in my day, just never got into that scene.
22704001_392270220775411712 x	@ChickPhilA @ATalasnikCSN wait. That's tonight omg I totally forgot :)
22704001_392268308147634176 x	@PJStatTracker HOORAY! You have no idea how sad drunk me was Friday when I couldn't discuss my history post-show :) thanks!!
22704001_392263528176156672 x	@twolinepass yeah, wow. Go you. My PJ quest started circa 2000.
22704001_392264712588906496 x	@twolinepass yeeeeeahhhh if money were no object, my number would have doubled already :(
22704001_392263286164840448 x	@carlhannah I hate you.
22704001_395333139830415360 x	@PatrickDever @TimRiday I hate the new song. It's Fallout Boy. Whatever that song about lighting mups is.
22704001_395295733315674112 x	@Proteautype Nice photo choice on that writer/blogger debate, THN!
22704001_395298066300809216 x	@Proteautype Whatever! I can tell you're pickin' on Baicker, choosing me to represent the MSM/Blogger debate! Pff! :)
22704001_395212373230776320 x	@NickMcIlwain1 @Matty93Cord I would actually pay to see this. More than I'd pay to watch an actual Eagles game, now that I think about it.
22704001_395221063908352001 x	@Matty93Cord @NickMcIlwain1 Hail Hail Mary pass?
22704001_395208043249807360 x	RT @SniderHockey: Here is a great story from @sbaickerCSN on the @NHLFlyers visit with @SniderHockey at Scanlon Ice Rink on Sunday: http://?
22704001_395204104009830400 x	Try Hockey for Free day is Saturday! Check out http://t.co/aeituHDhHg for local options.
22704001_395198828040949760 x	Mason in the net on the side the starting goalie usually occupies during morning skate ... So ... Probably Mason starts again tonight.
22704001_395184190896869376 x	@standoutstar Just gotta get my "sexy hockey reporter" costume ready, and we're good to go!
22704001_395173090855907328 x	... making out. They stopped, suddenly, and the guy said: "Hey, before I go, we need to exchange names."
22704001_395172950942310401 x	5 years ago today the Phillies won the World Series. My favorite memory: Ran to Broad St from @gooddogbar, crashed into two people... (1/2)
22704001_394985839929085953 x	@FanSince09 you guys won the Internet today with this Marcus thing. Marcus Giroux, Barkley, Goode (...) have all followed me.
22704001_394982176229711872 x	@JoeYerdonPHT we have them in the box in Philly too :)
22704001_394974605557108736 x	RT @CSNPhilly: #Flyers surprise Ed Snider Youth Hockey Foundation kids by practicing in Kensington. @SBaickerCSN: http://t.co/l2kPM8hver #F?
22704001_394916809968996352 x	@Firps98 @MarcusBarkleyQB I don't date hockey players but I would consider dating a football player's brother ...
22704001_394914551042699264 x	Thanks so much to the awesome crew at @SPTapRoom for the Halloween swag bag! Have you been there yet, twitter? Missing out if you haven't!
22704001_394640625855135744 x	Hearing Rearviewmirror at @pearljam shows makes me happy. That is all.
22704001_394653057742815232 x	@RoobCSN @PearlJam Close ... Kinda ...
22704001_394643945072132096 x	Eddie Vedder just dedicated Man Of The Hour to Lou Reed.
22704001_394614778582560768 x	Songs I wanna hear tonight at @PearlJam Baltimore (cause you care!): Last Exit, Smile, Tremorchrist, In My Tree ...
22704001_394550879249915904 x	Spent my morning calculating GAA. Then drove to Kensington for secret #Flyers practice. Now in suburban Baltimore writing. Next: @PearlJam.
22704001_394607315527430144 x	@drtyplmbr of course! It's decent!
22704001_394550914842779648 x	... Seriously, you guys, I. Am. So. Tired.
22704001_394520608253698048 x	RT @SniderHockey: Here's a pic of Kaseir talking w @sbaickerCSN after the #Flyers practice at Scanlon today. http://t.co/3KM7FlaoUh
22704001_394495443708948481 x	Today's event - the first ever - was the idea of Paul Holmgren. Awesome to see the team give back to the community.
22704001_394495289207578624 x	Awesome event at Scanlon ice rink today: @NHLFlyers on the ice practicing, as @SniderHockey kids watching from the bench!
22704001_394459762965766144 x	Steve Mason through 10 games: 2.15 GAA .930 SV% ... Ilya Bryzgalov through 10 games last year: 2.43 GAA .923 SV%. Not a giant difference.
22704001_394442938543267840 x	Headed to Flyers practice ... And then, yes, to Baltimore for one final @PearlJam show on my crazy 10-day tour :)
22704001_394445128964014080 x	@TattooQ @PearlJam nice! If I make it down early enough maybe I can stop by!
22704001_394445007840874496 x	@Matty93Cord I'm psyched ... And hoping the setlist looks anything like Hartford's!
22704001_394273720124317696 x	Ahh!!!!! RT @SPTapRoom: congrats to @sbaickerCSN, winner of this year's pumpkin carving contest! your swag bag awaits!
22704001_394249837639921664 x	@tpanotchCSN love ya, CF :)
22704001_394244131427741696 x	@InsideTheFlyers @tpanotchCSN @SPTapRoom I actually carved a dinosaur (so I was only half kidding? :-p)
22704001_394244004407042048 x	My entry into the @SPTapRoom pumpkin carving contest: http://t.co/KHOcu5l5dQ
22704001_394232720731414528 x	@InsideTheFlyers @tpanotchCSN I'm carving your face on a pumpkin at @SPTapRoom, Panotch!
22704001_394207538779942913 x	The Penn State-Vermont game is going down at the @WellsFargoCtr ... & my Twitter/Facebook are filled with jokes about finally seeing goals.
22704001_394199313225895936 x	The Flyers scored eight goals in two games at Nassau Coliseum last season -- might we actually see them score three tonight? Maybe?
22704001_394117077126365184 x	Thanks to @PhillyGossipDN who bought me this rad pair of dinosaur earring on HER b-day: http://t.co/vHJpIwPuDf the bar has been raised!
22704001_394116430167572480 x	@JBPhi @davegisaac @tpanotchCSN I mean, Dave and I do look strikingly similar.
22704001_393901257863467008 x	@wyshynski @twolinepass oh my god.
22704001_393901098085658625 x	@berman @DPommellsCSN Danny is right on. Pizza AT Nomad is delicious.
22704001_393882338935205889 x	@HarrisonMooney your stories are much better with fig newton references.
22704001_393887143422341120 x	@DaveLozo @HarrisonMooney I love you too, Lozo, don't feel left out <3
22704001_393885912054394881 x	@HarrisonMooney :-|
22704001_393860560166875136 x	@foodsyoucaneat @PearlJam nah I'm just lobbying for my own sandwich :-p
22704001_393853573081346049 x	Here I go on PST on @CSNPhilly! Tune in!
22704001_393837946228715520 x	Philly people: I'll be on your TVs at about 5:45 on @CSNPhilly! We're talking #Flyers, McGinn, Mason, Hartnell et al. Tune in!
22704001_393774828974391296 x	@The700Level I saw! (In person and digitally!)
22704001_393766481223094272 x	I absolutely think McGinn deserves ice time and needs it to advance - thus the move. I understand that reasoning. But still.
22704001_393765720829337600 x	Tye McGinn heads back to the Phantoms. Because the Flyers definitely don't need to keep their leading goal-scorer ...
22704001_393752197747712000 x	RT @AdamVingan: @sbaickerCSN Stick to Pearl Jam.
22704001_393750670244716545 x	Best email response to my 10 Observations: Subject: 10 observations on your writing Body: 1 It's crap 2 It's crap 3 It's crap 4 It's crap...
22704001_393751069794123776 x	@mkil1390 Take a wild guess :)
22704001_393738997618708480 x	RT @CSNPhilly: Max Talbot went face first into the boards ... and returned. "You walk it off," he said. @SBaickerCSN: http://t.co/c8tVYkEWl?
22704001_393731135965917185 x	Talbot on Pouliot hit: "I can?t really skate that well, so I may have stumbled on my feet. I didn?t feel like I got pushed or anything."
22704001_393728578468057088 x	@JoeYerdonPHT Talbot said he isn't a very good skater, so he was stumbling. (Really.) Didn't blame Pouliot at all.
22704001_393729619834068993 x	@JoeYerdonPHT Yeah - Flyers were very level-headed about it. Coach too. They all were quick to defend Pouliot. It was just an ugly accident.
22704001_393727071723089920 x	From last night: @Max25talbot is "a true warrior." Here's why: http://t.co/eBRXoUTN6c #FlyersTalk
22704001_393725252087193600 x	From Thursday! RT @CSNPhilly 10 random observations by @sbaickerCSN from the Flyers' 2-1 win over the Rangers: http://t.co/d8ieLZGaou
22704001_393575530450419712 x	My 10 observations from tonight's Flyers win over the Rangers: http://t.co/PcWEuhmVMf #FlyersTalk
22704001_393576081791672320 x	@TonyBrunoShow that's why they pay the big bucks. Or pay me. Or let me hang around. Whatever :)
22704001_393551698972524544 x	@Kurt_BSH Are you drunk? Either way, if you are, be drunk more. This is fun.
22704001_393551270650208256 x	Remember the plan to keep things simple and get pucks on net? The Flyers are finding ways to do to opposite tonight.
22704001_393550791929520129 x	RT @PR_NHL: #HockeyOps explains 'no goal' video review at 5:36 of the third period in the @NYRangers/@NHLFlyers game. http://t.co/kOuV3MniIu
22704001_393544595096616961 x	Flyers are lucky -- goal deemed a kick-in. They still lead, 2-1.
22704001_393543205318180864 x	More lighting MUPS: Flyers bring the score to 2-1 thanks to Bradon Coburn and an assist from Read.
22704001_393542244038217729 x	And there goes the five-minute power play.
22704001_393542199721197569 x	The Flyers appear to be playing posts tonight.
22704001_393536357907189760 x	And the Flyers, oh the Flyers, they really need to score a goal during these five minutes.
22704001_393536293520437248 x	Puliot gets a 5 minute major, game misconduct, and impending call from Shanahan.
22704001_393536004763578369 x	Uh oh. Ugly hit on Max Talbot who couldn't stand up. He was hustled off the ice.
22704001_393534470914965504 x	This Simmonds-Mashinter fight is the loudest I've heard it in this building um, in days and days and days (and not just 'cause of the break)
22704001_393534745935507456 x	@davegisaac (Excluding the Pearl Jam shows!)
22704001_393523386023817216 x	Tie game. 1:04 left in the period and the Rangers tie it up. Bad time to give one up.
22704001_393518726466646016 x	Lighting "MUPS" here in Philly - 1-0 thanks to Matt Read (and I still hate the goal song)
22704001_393517473477050368 x	@Kurt_BSH particularly poor :)
22704001_393505179372621824 x	RT @davegisaac: Mark Streit wearing the ?A? in his 500th game with Scott Hartnell out of the lineup.
22704001_393501564502933504 x	Apparently, I *do* look like Brad Marchand. Huh. Thanks, guys :)
22704001_393495279095128064 x	No, but really: Do I look like Brad Marchand?
22704001_393495639964667904 x	@HarrisonMooney I had no idea he was your type!
22704001_393470438309105665 x	@ChickPhilA @JonLandman @ATalasnikCSN I have four days off till my last show of the band I can't say because @aschwartzCSN will fine me!
22704001_393456969874669569 x	RT @MattLeonKYW: Coming up on @KYWNewsradio "Reporters Round-Up" at 345 - We talk #Flyers with @sbaickerCSN of @CSNPhilly - LISTEN: http://?
22704001_393455023742799872 x	@jtkola I think you mean: *Ri-Dic-U-lous!!!*
22704001_393441991113330688 x	Don't mind the raspy voice in today's Flyer'd Update (I'm not trying to be sexy, it's Pearl Jam's fault!) watch: http://t.co/95hQqei07U
22704001_393445027755864064 x	@Nmarchetta hahaha, welcome. That's what I'm here for, I guess?
22704001_393444042232840192 x	@aschwartzCSN I will do my best, but I can't guarantee another reference won't slip into my 10 observations story tonight ...
22704001_393435056238518272 x	@jillianbmele @FPReiss darn straight #NBCLove
22704001_393430485332156417 x	RT @jillianbmele: A look at the Flyers' week ahead: Wins on tap?:  The Flyers' six-day break is over and now an important week a... http://?
22704001_393424670248026113 x	Giroux + Lecavalier = http://t.co/fewRg6AeCS #FlyersMath
22704001_393420359224926208 x	Just met Joe R. at the Center! :) RT @jrukas27 Just met @sbaickerCSN  at the Wells Fargo Center! #Flyers #flyerstalk http://t.co/8tf82NXXi0
22704001_393407801378500608 x	RT @CSNPhilly: An important week awaits the #Flyers. Will wins come from it? @SBaickerCSN examines: http://t.co/EV8dGekglO #FlyersTalk
22704001_393395901080678400 x	Looks like Vinny Lecavalier will be good to go tonight. Scott Hartnell will not be. #FlyersTalk
22704001_393384871013662722 x	Expect Steve Mason in net tonight for the Flyers -- not that you would have expected anything else after the long break!
22704001_393370293407735809 x	@SEPTA_SOCIAL We have to talk. Token machines gone from Ellsworth-Fed? Directions to buy tokens from a VERY MUCH CLOSED newsstand upstairs?
22704001_393375254308872192 x	@SEPTA_SOCIAL Like everyone, I'm thrilled to join the year 1999 w/ swipe cards, etc. But you guys need a better temporary solution.
22704001_393374773062815744 x	@SEPTA_SOCIAL I do believe that, too, was closed this morning. What's with the decision to remove the token machines so early?
22704001_393356681318772736 x	Of course, the best part of all this is the narrative on the Rangers' side: here's a chance to actually play a winnable game! So, we'll see.
22704001_393356256146374656 x	Not only have the Rangers had scoring troubles of their own, but they'll be starting a rookie goalie (Cam Talbot) in his first NHL game.
22704001_393356006618845184 x	Interrupting all the Pearl Jam updates: Flyers host Rangers tonight, and if ever there were a chance for the team to get win #2, this is it.
22704001_393131632032768002 x	@zoowithroy @UkeeWashington @Firps98 Hey ya'll!
22704001_393122705090039808 x	@fillysportznut night 1 for me too!
22704001_393053512105730049 x	RT @KatieStrangESPN: #NYR Henrik Lundqvist not playing tmrw vs. Philly. Cam Talbot will get his first NHL start tomorrow. Lundqvist won't b?
22704001_393026950463512576 x	I've spent more time at @PearlJam shows than I have sleeping over the last five days.
22704001_393029613712330752 x	That too :) RT @tpanotchCSN: @sbaickerCSN @PearlJam or at work
22704001_393027452265832448 x	@davegisaac @PearlJam yeah yeah yeah :)
22704001_392875281851355136 x	@RoobCSN @Bfeldman5141 the answer is: "no albums suck, but that one show at the Troc did"
22704001_392875835939893248 x	@RoobCSN @Bfeldman5141 last night was better but it was still so great! We missed you!
22704001_393019238451277825 x	@kvanhorn87 @RoobCSN setlist and Ed's energy and maybe the fact that I was front row on Monday :)
22704001_393019676957368320 x	@kvanhorn87 but I also liked the Mondy setlist better, and Ed's banter with the b-day kid. BUT both nights, awesome.
22704001_393009323330514944 x	@TheRealPetrocs ah ha! Thanks for that.
22704001_392984403011727360 x	@nufced @Sportsnet960 35 songs on that setlist. And I STILL have one more show to go to ahhhh!!
22704001_392837404027281408 x	@ATalasnikCSN @WaysideShakeup @rheahughes I can confirm he is in the house!
22704001_392835150494859264 x	RT @ATalasnikCSN: Looking closely at Eddies tee shirt it appears to say "Tramps like us we were born to run" #WFCPearlJam @sbaickerCSN @rhe?
22704001_392814999422636032 x	And yes, people of Philly, Bruce Springsteen IS in the house #confirmed
22704001_392810967027187712 x	Multiple reports suggest Bruce Springsteen is in the house for @PearlJam in Philly tonight. Ooooooh!
22704001_392799250050187264 x	@ChaiMike18 not tonight! CSN suite tonight.
22704001_392786244041986048 x	@bucktownfit hahaha if only!
22704001_392780756780851200 x	RT @tpanotchCSN: @sbaickerCSN get a life Baicker!
22704001_392755968947126272 x	I realize the Vedder 10 Flyers jersey is a total violation, but I just can't hate. I once bought a boyfriend a Vedder 10 Cubs jersey, so.
22704001_392771287640449024 x	@shutz21 @ctherien6 we broke up and he later gave it to his brother *sigh*
22704001_392770655873400833 x	A crazy wonky version of Speed of Sound now -- Eddie says it's to test out some guitar stuff.
22704001_392765094419259392 x	Next up on the PJ soundcheck setlist: "Satan's Bed"
22704001_392769977243426816 x	@PecoooPowerplay and '12 and '06 and '05 and '04 and '02 and '00 and ...
22704001_392769677472313344 x	More Pearl Jam soundcheck action: Future Days
22704001_392763455545282560 x	Pearl Jam currently soundchecking In My Tree. One of the songs I have been chasing this tour!
22704001_392768144290639872 x	@theotherone85 thanks, Cap'n Obvious :) for real though, just happy I got to hear it! (At least once!)
22704001_392767862496317440 x	They played a mystery cover song. Now: Breath #PearlJamSoundcheckTalk
22704001_392765204893007873 x	PJ23 RT @PearlJam: 23 years ago today we played our first show. Tonight we celebrate in Philly.
22704001_392761061771726850 x	@RobPriest 8? Weird.
22704001_392760635080994816 x	@titlecharacter @ericsmithrocks Well, if you won't say it with authority, then I will.
22704001_392754953485160448 x	There is a guy in our newsroom wearing a Vedder 10 Flyers jersey.
22704001_392756451673788416 x	@KKurzCSN Predictably, @TheRealHinser wore a Chiefs shirt to last night's show :)
22704001_392738993991077888 x	Hartnell and Lecavalier are now both day to day. #FlyersTalk
22704001_392724687228133376 x	If nothing else, the #Flyers' new top line of Giroux centering Lecavalier and Raffl makes Thursday's game worth watching. #FlyersTalk
22704001_392699520280457216 x	@fillysportznut it was between that and I Got ID but really RVM is so damn good live!
22704001_392689163452968960 x	@fakecoatesy I'd say, 102, give or take .05.
22704001_392691514620379136 x	@AmySnow17 @fakecoatesy I guess that doesn't seem all that fair :-p
22704001_392691467723890688 x	@AmySnow17 @fakecoatesy I'm sure we could work it out! You send me all the cool Gongshow stuff, and then you can work here for me ... wait.
22704001_392668944063922176 x	@zoowithroy <3
22704001_392648000247316480 x	@danadudz @wags520 Lady, you gotta aim higher :)
22704001_392648556873404416 x	@danadudz @wags520 Hey now! I don't wanna hear it. There are so many opportunities for female hockey players to improve! Get in on it!
22704001_392641154019123200 x	@wags520 Is that really a question? C'mon now!
22704001_392638275770281986 x	@FPReiss I'm floating around this evening -- not gonna be camped out on the floor tonight. Maybe I'll see ya!
22704001_392066561970016257 x	@kjoa514 @themissinglinc in fact, there are songs from the avocado record & Lightning Bolt I wanted to/did hear. But oh well I'm annoying :)
22704001_392069949378011137 x	@themissinglinc based on the last few shows you should be in luck!! Enjoy it!
22704001_392628770395664384 x	@themissinglinc it was great. Interesting setlist, great energy, Eddie was in a good mood. SO MUCH BETTER than Brooklyn night 1. You?
22704001_392625773326381056 x	Update to my hockey followers: still have 2 @PearlJam shows to go, so I apologize, but you'll have to put up with a few more days of this :)
22704001_392360033649840128 x	@HarrisonMooney @NYMag WHAT! NO!
22704001_392627343208247296 x	@jsaquella @PearlJam he did it night 1 in Brooklyn too. I thought it was odd then, but it worked last night.
22704001_392627914522771456 x	@jsaquella @PearlJam divorce or not, I'm pretty sure it would have been worth it.
22704001_392627409507590144 x	@CoverThePuck @PearlJam NEVER.
22704001_392493945743495168 x	. pearljamofficial presents for me :) @ Wells Fargo Center http://t.co/u35hjDjX6o
22704001_392620501086261248 x	@joweep527 that was a heck of a night.
22704001_392503036297637889 x	Oh, there was the wine from Eddie also. @ Wells Fargo Center http://t.co/WFYtSMQoyr
22704001_392436451310571520 x	@dpawling if you look closely you might see an elated girl in the front row center. C'est moi!
22704001_392428985755648000 x	Sitting in the pit pre-@PearlJam ... So much @RNDMBAND and @josepharthur playing. Hope you're living it up across the pond, JA!
22704001_392428183771168768 x	@Nmarchetta Eddie is way more awesome.
22704001_392407466127806464 x	Has anyone else noticed Flyers are emphasizing "changing the mindset" instead of "changing the culture"? Appears to be deliberate wording.
22704001_392421429771509761 x	@AnthonySan37 no, dear, I heard it well before the episode (which hasn't aired :) ) and I've heard it on repeat. From Flyers!
22704001_392418240376606720 x	My view is OK for Pearl Jam tonight, I think. @ Wells Fargo Center http://t.co/CAOFfz5AOd
22704001_392415445489582080 x	@933WMMR also played "Save You" and "Pilate" and "Alone" and a cover of Pink Floyd's "Mother!"
22704001_392411677087764480 x	RT @CoverThePuck: Some Flyers are going to Pearl Jam tonight. They've been dreadful since they went to see Nickelback. This may right that ?
22704001_392391498412474368 x	. @PearlJam soundchecking with Pink Floyd's "Mother" (that was pretty awesome, actually.)
22704001_392391945584390144 x	@HarrisonMooney sorry, Mooney, we've talked about this: I'm never gonna see eye-to-eye with you on Katy Perry, Bieber, etc.
22704001_392399003171573762 x	@jessespector @HarrisonMooney Well, they're both terrible, so there's that.
22704001_392388301669560320 x	Eddie Vedder is currently wearing sweatpants #PJSoundcheckTalk
22704001_392398826004160512 x	No :( RT @AnthonyCeja13 have you ever met any of the guys from PJ before
22704001_392394651619307520 x	Now soundchecking "Alone" #PearlJamPhillyTalk
