33539920_394143207224655872 x	These damn dorms. http://t.co/j2lBLx20cx
33539920_396433881806962688 x	So my daughter saw this pic and said, who's the Asian guy? I said, me. http://t.co/3bceEPEayb
33539920_393772693751078913 x	@DaveSearles what about him?
33539920_390864225922719744 x	@DaveSearles @SportsRadioWIP @MikeandIke94WIP Oh not, what are Taters saying now?
33539920_390874343875805184 x	@DaveSearles @SportsRadioWIP @MikeandIke94WIP Ugh I hate them.  I can't even go on there.
33539920_390883648012292097 x	@DaveSearles haha same shit every day
33539920_390629046104518656 x	Hi!
33539920_390630728557264896 x	@DaveSearles What's goin on?
33539920_390632667802128384 x	@DaveSearles The hell you doing in Texas?  My day was long.  Glad to be home relaxing.
33539920_390633338202902528 x	@DaveSearles Ok I'ma need for you to move back up here now!!!
33539920_390154101641994240 x	I can't feel my fingers.
33539920_295673359956586497 x	@DannyOzark i don't know but i listened to Kayal and the other guy this morning and they didn't talk about it.
33539920_295675581306126336 x	@DannyOzark i don't know but i was shocked not to hear anything at all.  Not even Hollis Thomas on Wip.
33539920_295678412624887809 x	@DannyOzark @RoobCSN @brianstartare we need answers
33539920_219761529204129792 x	@SportsRadioWIP I will personally drive Vic to the airport, slow down and push him out.
33539920_204012292348719104 x	Now Pence will make the 1st out.
33539920_204012907862818816 x	@jimmerz_ You were close.  :)
33539920_191698780154888192 x	@NHLShanahan Can I see the Neal suspension video?
33539920_177209130707202049 x	I see you Bryz
33539920_396740325672120321 x	I fucking hate people who think they're better than everyone else.  Fuck you!
33539920_396647897657536514 x	I guess I'm the only one not mad about the fight last night. Oh well I'm thinking that's what a lot of frustrated fans and players wish cont
33539920_394830882286370816 x	@LilChase26 hahaha love it
33539920_393162630304915456 x	Wait, what is team Whop?
33539920_394633882961580033 x	So poor baby isn't only all broken up but now she has a bad cold and surgery on Tuesday.  I feel so bad for her.
33539920_394637068598403072 x	@TheRealDGunnCSN Thanks Gunner.  It's been a rough last 2 weeks for her.
33539920_392832845946695681 x	@JordanRaanan DON'T GO JORDAN!!!!
33539920_392834412523433984 x	@TheRealDGunnCSN @JordanRaanan Shut up Gunner, Jordan would never block me just like you wouldn't.
33539920_392834971313778688 x	@TheRealDGunnCSN @JordanRaanan I'm still waiting for Maclin to unblock me.  It's been 3 years now.
33539920_392836065599303680 x	@TheRealDGunnCSN @JordanRaanan Ugh fine!!!  I'll always have you though. hahaha
33539920_244877380601131008 x	You dumb son of a bitch!  You had all the time in the world that time to throw it.
33539920_423646919257124864 x	Everybody is playing the guitar this season.  Jeez.
33539920_423648361942491136 x	@FallenHero32 Oh really?
33539920_423648472223334400 x	@FallenHero32 Can you sing?
33539920_423649033874198528 x	@FallenHero32 Ok, I'ma need for you to sing to me while playing the guitar.
33539920_422827797649031169 x	Oh yea, the pro bowl is really a joke now.
33539920_422828663831543808 x	@PhilaBurger well when you allow retired players to play, I'd say it got worse.
33539920_422829047849422849 x	@PhilaBurger I just heard on the radio he is playing.
33539920_422837593609601024 x	@PhilaBurger it's ridiculous
33539920_422840219600453632 x	@PhilaBurger lol
33539920_422802931784888320 x	What did BobGIII do now?
33539920_422592401509998592 x	@FallenHero32 @MissEaglette @HornyFacts lol
33539920_422594789759258624 x	@StanBleedGreen @FallenHero32 @MissEaglette @HornyFacts lmao I don't know but mine is on there twice.
33539920_422584791574544384 x	"@HornyFacts: What's your sign?? http://t.co/SPBkhf1wPQ"  Cancer!!!
33539920_422588154076725250 x	@BW_Sports18 @HornyFacts lol awww I'm sorry.
33539920_422570766580736001 x	I'm still mad that bitch Rose let you drown.
33539920_422561863704907777 x	Oh hey sexy!!!
33539920_422563061145141248 x	@FallenHero32 OMG He's beautiful!  I need to see more pics of your beard.
33539920_422564012878864385 x	@FallenHero32 Oh hey cutie!!!!
33539920_422567575050919936 x	@FallenHero32 Oh in case you didn't know, my "Damn" tweet was a good thing. haha
33539920_422560707628912641 x	Where's the damn music for Michael Douglas.
33539920_422554368680812544 x	Who the hell was that Ethiopian dude?
33539920_422559543873126400 x	@FallenHero32 Ahhhh ok.  So do you miss your boy Michael Bolton yet?
