406855026_394581220409233408 x	@AFansler10 no clue
406855026_394561329174175746 x	@neilmccormick20 maybe he'll go beat his mom again
406855026_394561760512192512 x	@T_Dro24 @neilmccormick20 lmao
406855026_394561459419877377 x	@tpanotchCSN eagles.  If put money on us having less wins at the end of the year
406855026_394559858491789312 x	Lol fucking cowboys
406855026_394559809309384705 x	?@LesBowen: Chip: when you're not moving ball, everything adds up? except points
406855026_394557956169416705 x	?@LesBowen: Chip: I think we've had some instability at the quarterback position, and I haven't called good games? no shit chip.
406855026_394538481118375936 x	@Surfeit_Ability on the 2 yard line and they pass it?  Unreal
406855026_394537455460024322 x	@BIG_CHODE high octane offense
406855026_394537302430855168 x	@Surfeit_Ability every year
406855026_394534905029607424 x	@Eagles fucking sick and tired if the same shit
406855026_394514079895011329 x	@LesBowen what's new?
406855026_394314037095575552 x	What an ending
406855026_394330222050680832 x	@PapawRoidt it'd be awful to lose that way
406855026_394332445614804992 x	@PapawRoidt that's a bold assumption
406855026_394336314705080320 x	@PapawRoidt For some reason I thought of him being laird and I don't know why haha
406855026_394335863897063424 x	@HeathBroughton heaterrrrrr
406855026_394314265207013376 x	@MarkoH8 agreed.  That's how they blew game 2 too.  Unnecessary throw to 3rd
406855026_394273379328729088 x	@MikeVick the birds need a bounce back mike!  Lets go! #mv7
406855026_394272318652166144 x	@MikeSielski they'd have.....4 goals
406855026_394271801096019969 x	RT @tpanotchCSN: Vinny hat trick
406855026_394249014214135808 x	3 GOALS 3 GOALS 3 GOALS
406855026_394202857177899009 x	@DJ_HAM304 is it cuz we smoke so much loud?
406855026_394197763170508801 x	@GitRDoneLarry hey Larry.  Just droppin by to let you know you fucking suck and you're not funny at all
406855026_394247775460028416 x	@Rkahla @GitRDoneLarry I've probably watched a total of 5 full NBA games in the past 10 years jackass
406855026_382605013823926272 x	Looking thru DVDs at wal mart and ended up ruining my day http://t.co/blv85GGi3Q
406855026_394203759704035328 x	@Slim8ty today I had to release it
406855026_394202776714346496 x	RT @DJ_HAM304: Bathing in hunnits like I'm ballout
406855026_394202733336866816 x	RT @GitRDoneLarry: @ManOfAllSteins thanks.
406855026_394198985508126720 x	RT @GitRDoneLarry: @ManOfAllSteins who are you again?
406855026_394198980500152320 x	@GitRDoneLarry I'm eli and I speak on behalf of probably 90% of the country.  But hey those Prilosec commercials are soooo good
406855026_394119478990340097 x	RT @BIG_CHODE: Fuck the Giants
406855026_394083135669145600 x	It's undeniable that cold weather is brutal
406855026_393976052969918464 x	RT @HistoryInPix: Don't mess with Donald Duck! 1936 http://t.co/YjWxNtkipe
406855026_393505385547853824 x	@True__Storey his lyrics are good tho
406855026_393447603863818241 x	@PJRat2322 cheesehead since 92
406855026_393440514898681856 x	What's with the Calvin Johnson or dez stuff on espn.  I'll take Calvin everyday of the week
406855026_393056983806640128 x	@JuiceNixon_ @mysportslegion by 2016 we'll be solid as hell
406855026_393056685226754048 x	@JuiceNixon_ @mysportslegion nah.  He'll be a sixer
406855026_393056487108780032 x	God I'm so thankful soccer isn't a big sport in America
406855026_393056380707700736 x	@PapaPandaaa lucky bastard
406855026_393056334285123584 x	@DJ_HAM304 ?
406855026_392852527307583488 x	@JonnLenninPls fuk u
406855026_392842780298706944 x	@PapaPandaaa saw that the other day and was in shock
406855026_392830217162883072 x	@SirJCharles23 @collinsj17 @kicksonfire it's about the shoe.
406855026_392817651984388096 x	@Slim8ty any forget kenny powers
406855026_392813273399435264 x	@975TheFanatic @nk975 hell no.  That's breaking a code
406855026_392732129047879680 x	?@ESPN_FirstTake: "I don't recall seeing anyone as horrible as Josh Freeman." - @stephenasmith? nick foles looked pretty damn bad
406855026_392712612712284160 x	?@neilmccormick20: Yesssss I got a parking ticket? my day is made
406855026_392705898122338305 x	RT @CrossingBroad: The Phillies May Be About to Get PAID http://t.co/ru0uu6m9Vq
406855026_392488831187841025 x	@JuiceNixon_ Hes over here :D
406855026_392470548980461568 x	Jared Allen is a man
406855026_392465345635971072 x	?@CLESportsReport: ESPN Final: #Cavaliers 104 76ers 93. PHI: S Hawes 17pts, 12reb, 3ast CLE: K Irving 17pts, 2reb, 12ast? @Slim8ty
406855026_392468457117454336 x	@Slim8ty @big_chode yeah no need at all to play Noel.  This season will be funny to watch
406855026_392469289451929600 x	@BIG_CHODE @slim8ty sucking bad for 1 year to get a player like wiggins is much better than just being shitty but getting like the 10th pick
406855026_392462861613932544 x	RT @MySportsLegion: The 76ers are in 10000% tank mode, hoping to land Andrew Wiggins. Nerlens Noel will likely miss the entire NBA season.
406855026_392434842111336448 x	RT @CrossingBroad: Gotta respect the Sixers? commitment to the craft? tanking
406855026_392374701588480001 x	RT @RBonnell2x2: "@PapawRoidt: @RBonnell2x2 Completely agree with the part about Meyer" I know he was tough to handle
406855026_392339977511526402 x	@Simmonds17 No wonder the Eagles couldn't score yesterday, your bum ass was at the game
406855026_392340993845907456 x	@CaribouTigs @Simmonds17 #prototypicalflyer
406855026_392340216981110785 x	@28CGiroux Were you with @Simmonds17 at the eagles game yesterday?  The lack of offense had to mean you two were at least close to the game
406855026_392093003009232896 x	@Jeff_McLane @phillysport @zberm more credit to nick foles than Dallas d
406855026_392026671018409984 x	?@dom9brown: Go boys http://t.co/qsGn40mOOA? fuck you
406855026_392019777382010880 x	RT @KNegandhiESPN: Whatever the outcome today, Eagles may have found the answer on their future at QB. He's still in college.
406855026_392011015753572352 x	Make a fucking throw!
406855026_392005769631371265 x	RT @MVFive: Don't talk to me if it's not about money or a plan to make some. #DifferentMindSet
406855026_391993877273776128 x	?@Slim8ty: ?@CrossingBroad: Somewhere, Donovan McNabb is wondering if this game can end 0-0.? @ManOfAllSteins? #mcnabbasks
406855026_391993267874963456 x	RT @FightinForPHI: It's not an Eagles home game without the broadcasters saying some cliche thing about Philly cheesesteaks.
406855026_391985495527682048 x	?@neilmccormick20: Brady Quinn has been a big bust so far? that's an understatement
406855026_391967919892336640 x	RT @MikeSielski: Inactive for #Eagles-#Cowboys: Any semblance of pass defense.
406855026_391965899122823169 x	@tpanotchCSN good.  Hartnell does nothing good for this team
406855026_391806896266805248 x	?@PJRat2322: Mike Smith (goalie) has more goals than Claude Giroux? cute tweet bitch
406855026_391808000043646979 x	@PJRat2322 http://t.co/FXZlsIch43
406855026_391792603840401408 x	@T_Dro24 same.  Lets go birds
406855026_391768315582218241 x	Great night with some of the most important people of my life
406855026_391792505806921728 x	@neilmccormick20 me too :)
406855026_391772419536719872 x	@JuiceNixon_ so do I holmes
406855026_391384262295171072 x	@Slim8ty @PhantomRigatoni big gulps huh?  Well see ya later!
406855026_391355769611755520 x	@neilmccormick20 @natefluharty @RBonnell2x2 We're tanking for a pick
406855026_391359915408650241 x	@neilmccormick20 @RBonnell2x2 Park sucks this year.  Linsly is fuckin siiicckkkk
406855026_391359599023890432 x	@FightinForPHI #depressing
406855026_391352257066696704 x	@28CGiroux Keep talking about how we're gonna win games and what we need to do instead of actually winning them...good idea
406855026_391324707376877568 x	@BleedsOnB no room for schenn coots and Laughton
406855026_391331835781074945 x	@BleedsOnB agreed.  Someone has to go tho
406855026_391349054741164033 x	@BleedsOnB schenn probably has the best chance to be one that stays
406855026_391051324647018496 x	@NHLFlyersHockey @3dphillysports what exactly are you guys seeing when you watch the flyers?
406855026_391223990280527872 x	@3DPhillySports @nhlflyershockey I don't see any skill
406855026_391236633074630657 x	@3DPhillySports @nhlflyershockey I just haven't seen much skill displayed
406855026_391243148049285120 x	@NHLFlyersHockey @3dphillysports I don't think giroux is a 3rd liner but I do believe that we thought he was something he isnt
406855026_391250402194104320 x	@3DPhillySports @NHLFlyersHockey he just isn't the elite playmaker everyone hoped
406855026_391255595220615170 x	@NHLFlyersHockey @3DPhillySports I don't think he's elite.  If he was, he would make the garbage around him better
406855026_391260134623969280 x	@NHLFlyersHockey @3dphillysports Wayne simmonds and Matt read are nothing special
406855026_391256824411746304 x	@3DPhillySports @NHLFlyersHockey We'll see
406855026_391224090633457664 x	@3DPhillySports @nhlflyershockey I see a bunch of 3rd liners scattered throughout 4 lines
406855026_391223558946693120 x	@28CGiroux how's it feel that you have one win only because you played Tim Thomas in the saddest night if his life?
406855026_391042865465278464 x	@28CGiroux You sure showed the fans that "you're still a good team"
406855026_391042759408107520 x	@28CGiroux Hows it feel to be a captain of a 1-7 team?
406855026_391032618843914240 x	@Simmonds17 thank god we traded mike Richards for you
406855026_391032501990604800 x	@Simmonds17 good game tonight you looked so good dude
406855026_391031831237492737 x	@DBlanchardKS @arocketsa @jakepavorsky wow.  Completely delusional
406855026_391019160773591040 x	@BroadStPhanatic terrible front office
406855026_390977016985825280 x	@Brady_21_ same to you
406855026_390907096625324032 x	?@FightinForPHI: The Sixers are losing 71-40 to the Bobcats.   Get used to it.?  Honestly this is great news
406855026_390511751416270848 x	@Hartsy19 just a mid day reminder that you're a 1 year wonder
406855026_390507655544184833 x	@tpanotchCSN still won't be able to stop it
406855026_390505118011256832 x	@tpanotchCSN he's a bitch
406855026_390186878135451648 x	RT @Mix_Masta_McLv: @PapawRoidt @ManOfAllSteins it should mean don't buy or listen to the album
406855026_390179382033416192 x	@SpikeEskin that's a good thing
406855026_390179197223985152 x	?@LesBowen: Vick: it was a bad pull...just working every day...better, but knot still there? jake knott?!
406855026_390178883074785280 x	@PapawRoidt a brutal kanye west album
406855026_390178738996248576 x	RT @CrossingBroad: Located just behind DeSean Jackson, south of end zone. ?@nfl: Darrelle gets 'Revis Island' trademarked: http://t.co/UHpd?
406855026_389936713667461120 x	Not cussing around kids is overrated
406855026_389810648252960768 x	RT @CrossingBroad: "Phillies GM Ruben Amaro Jr. has tried at least 10 times to pry Stanton loose" http://t.co/8DiixR7D78
406855026_389593652026044416 x	DH strikes again.  Give the NL a DH already
406855026_389594118675906563 x	@meyer_eli Nothing is worse when the Phillies will have men on and fucking cole hamels is up to bat
406855026_389806378673766400 x	@re6035 @meyer_eli he really does.  You know what I mean tho haha
406855026_389594199462400000 x	@meyer_eli Although we never have men on base so it doesn't matter
406855026_389593949267963905 x	@PapawRoidt glad
