44515693_69256296918036480 x	She makes it impossible
44515693_213734266478141440 x	I created a monster LOL need. To get help to contain it
44515693_213417009415847936 x	Love me or leave me alone
44515693_212731535722414080 x	For she holds my heart within her hands I love her more then she understands .....just wish she. Felt the same.
44515693_212178283083730944 x	Trying to trust again its not the fault of everyone just one made me this way have to be more willing to trust
44515693_206194430821150720 x	I'm giving it two weeks... need to search deep and decide if the fight is worth the brusies to my heart and mind where did she go I miss her
44515693_205090612100349953 x	I love you ..
44515693_202557981668294657 x	Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
44515693_201829120227815424 x	Loving her is the easy part
44515693_198598539545288706 x	You can't move forward if you keep looking back
44515693_198535407581921281 x	Love is. More then a word to say it you must show it too
44515693_194185725523140609 x	Letting you go is the hardest thing to do loving you againts all odds is easy if this is ment to be it will be.
44515693_193853826829271040 x	Why say I love you when its clear you only love someone else?
44515693_192094205177372673 x	@SarahLC78 good to see you twittering again
44515693_192093709960097793 x	This is it ... I hope but time will tell
44515693_191267417752735744 x	How do you loose someone you never really had? Sugurstions people
44515693_168000530306695169 x	@SheinelleJones well I would say at least 50 million I mean you guys are friends right lol ...and if. You do win --i could use a grand lol
44515693_167118909420474369 x	Your lips.....
44515693_158366562208854017 x	@LoveQuotes so true so true
44515693_158239247298596864 x	u are my world
44515693_158057878807248896 x	Despite an awful day where awful things were said she still said I love you and that's enough for me
44515693_157662639571468290 x	Too much need to fly away now
44515693_155104996457852928 x	AhHhhhhhhhhhhhhhhhhhhh
44515693_154419252961624064 x	Love me or leave me alone
44515693_154033309989609472 x	I'm        Never going to be good enough
44515693_147841116497129473 x	Wow just wowwwww
44515693_147452528508944384 x	@sincerelymeg_x3 hi
44515693_147502928620556289 x	@sincerelymeg_x3 just saying hi what up with u?
44515693_147503466984648704 x	@sincerelymeg_x3 same here lol
44515693_147504267366891521 x	@sincerelymeg_x3 yeah lol
44515693_147452802036273153 x	@WWETheBigShow hey paul how's life these days ?
44515693_146802304903938048 x	Happy birthday to me.. One thing will make me happy today let's see if it happens
44515693_146241024098963456 x	@LMacMathers whens cult being released?
44515693_145920578669379584 x	What hurts the most ...
44515693_145906529357410304 x	I just don't understand y I'm the odd man out in the situation
44515693_145900749065424896 x	Maximum effort minimum gain
44515693_145013027517890561 x	We fell in love in a hopeless place
44515693_143168783756955648 x	Id die for you....
44515693_140836043007074304 x	What is going on ?
44515693_140676071094890496 x	Clarity .... Perhaps
44515693_91102133063127040 x	Feeling froggy this morning ...... It could just be the coffee though
44515693_84657874617368577 x	On a job with my pop hanging shudders
44515693_81171378862166016 x	So both finals done now I wait to see what grades I got wish me luck
44515693_78819294753984514 x	Release me,..............
44515693_78293520879857665 x	Why
44515693_74988684730044416 x	@carmenelectra just relaxing working on Monday boo
44515693_73935763779223552 x	I see her and every bit of logic escapes me
44515693_68264573085552640 x	Off to work wondering if they wear red and khaki in hell
44515693_67957092069285888 x	Another crap day
44515693_67772448501800960 x	What an exausting day
44515693_66635797251633152 x	What if
44515693_65951594788823040 x	Just passed my I.t mid term yippie
44515693_65730798933901312 x	@MikeJerrick congrats
44515693_65464717820432384 x	Pissed offffffffffff
44515693_65434918083235840 x	About to go to the hospital to get the shoulder looked
44515693_65082217633812480 x	At work wondering why I even bother
44515693_64885637215555585 x	Feeling froggy
44515693_64492359131480064 x	Beef and beer. For ptere goral sr so far so good
44515693_64097156411305984 x	It hurts
44515693_63959472757948416 x	Certain people just want to piss me off their gona bring out the old me
44515693_63624918146891777 x	Still feal like I've been run over .. Anyone give a shit?
44515693_63554994087006208 x	Feel like I got hit by a bus
44515693_63191338010673153 x	What will today bring
44515693_62957786048380929 x	Team lead rosa is cool
44515693_62828683475435520 x	2 hours of sleep and 8 hours of work = shitty day
44515693_62712743714762752 x	@JennShawHall lizzy sky besides that nope lol
44515693_62709314548277250 x	@JennShawHall yeah just needed an outlit lol
44515693_62603977992306688 x	On my way to school :(
44515693_62535858405904384 x	Done work early sweet nap then school
44515693_62260946286026753 x	One day
44515693_62182802921242624 x	Happy Easter
44515693_61968150010404864 x	@JelenaSparks where do u work
44515693_61970445913694208 x	@JelenaSparks that sux try to have a good easter though
44515693_61808166802948096 x	Let's see what today brings
44515693_61517683585331200 x	Officially starting my weekend
44515693_61499747642519552 x	Tgif had such a great day thanks to k.h
44515693_61445466054856704 x	So far so good
44515693_61253589972156416 x	PROTECTED
44515693_61262580206931969 x	@phillybeliebz_x cool
44515693_61265465120538624 x	@phillybeliebz_x ha ha
44515693_61240451730124800 x	@phillybeliebz_x its true. Do I know u by the way how am I following u here lol
44515693_61149181770866688 x	@phillybeliebz_x what u do
44515693_60688380756885505 x	Work sucks
44515693_60558606038343680 x	Wish it would all end and I could begin again
44515693_60097235328827393 x	Bumped my head don't feel right at all now
44515693_59659011661905921 x	Tick tock tick tock
44515693_22492321294 x	Hoping sugar house calls me
44515693_16412473304 x	Ok so once again it begins wish me luck lol ahhhhhhhhhhhhhhhhhhhh
44515693_16033669040 x	People discust me some times and when exactly did obiesity become a medical condition
44515693_14713196830 x	Yet another fun filled day ...... Not
44515693_14309060440 x	Have a forced day off tomorrow boo  have to use a  vacation day to make it up
44515693_14228118397 x	Work sucks lol
44515693_14133380607 x	Work tomorrow booooo
44515693_14113256377 x	Being followed is cool thanks Megan lol
44515693_14113218459 x	On my way out
44515693_14101746309 x	What to do today ?should I stay or should I go now........ http://yfrog.com/7h4oxsj
44515693_14063200527 x	sitting home bored lol
44515693_2523747381 x	geting ready to work overnight tonight ........boooooo
44515693_2025064960 x	zzzzzzz
44515693_2024629192 x	im bored
44515693_2024627727 x	not me
44515693_2024150372 x	sleepy need nappy
