27256398_422966809411993600 x	@jkirk5009 incorrect.
27256398_422597399451013120 x	Case of the mud butt "@MyPandaEatsRice: Gotta poop? ?@tattooed76: I feel sick to my stomach.?"
27256398_422597146010189824 x	? "@MyPandaEatsRice: ??@ilikebeards62: I'm glad we are friends.?"
27256398_422592256336752640 x	@MissEaglette @terilyns68 @HornyFacts I would of guessed you were a Pisces.
27256398_422595714301300736 x	@MissEaglette @terilyns68 I know, key signs to a freak, leads you on then hits you with the proper and mature treatment. Veteran move.
27256398_422595145889234944 x	@StanBleedGreen @terilyns68 @MissEaglette @HornyFacts teri got split personalities sometimes ;)
27256398_422593121172852736 x	@yradumbjunkie @PBandJenelley_1 lol so I'm guessing your pro life and you dislike her cuz of that?
27256398_422594309515649024 x	@yradumbjunkie @PBandJenelley_1 I guess I find it a bit contradicting u used abortion against her when you're pro choice but it's ur opinion
27256398_422594853604978688 x	@yradumbjunkie @PBandJenelley_1 lol well being you resulted to those comments I believe I know the maturity level you have as well as logic
27256398_422592737024942080 x	@ilikebeards62 Ummmm this is either about lucky charms or giving bj's
27256398_422591588616142848 x	@MyPandaEatsRice what yo ass looking for a "gnite bae" or some shit?
27256398_422589760113508352 x	@terilyns68 @BW_Sports18 @HornyFacts Gemini and accurate :D
27256398_422589457712562176 x	RT @NFLRT: The Colts and Eagles are out of the Playoffs and this kid doesn't know what to do with himself...  http://t.co/VAaMl7KIfW
27256398_422589366863925248 x	RT @ESPN_Numbers: With Cam Newton's playoff loss...  TIM TEBOW is the only Heisman-winning QB to win a playoff game in the last 26 seasons.
27256398_422571063625924608 x	@terilyns68 myth busters proved that they both could of survived if rose put her life perserver under the wooden door to float them both
27256398_422570842292518912 x	@TheoAdwitya golden globe is no Oscar and Leo will still get jipped somehow I'm sure
27256398_422570435868622848 x	"@alucci: this is in no way a FUN fact http://t.co/IrsNGJU2Ei" messed up but he'll just shake it off I'm sure
27256398_422569325992873984 x	@PHISportsPhans it will, last off season went by slow cuz everybody was wondering what chips offense would look like
27256398_422568901764194304 x	Ok chris Evans got a healthy one, I've still been doing for years
27256398_422567972759433216 x	@MisterGreen8732 you already know
27256398_422562292530962432 x	@terilyns68 chris pine? My beard is better than his
27256398_422563562935304192 x	@terilyns68 his looks like he hit puberty http://t.co/gJxnLWFhv5
27256398_422564199806828544 x	@terilyns68 I'll never get rid of my beard or hair again this what I use to look like before I turned into a man http://t.co/9UKDdFdSpS
27256398_422567768903655424 x	@terilyns68 I didn't even see it until now
27256398_422567493551808512 x	7 days till my first day. I want this week to go by fast.
27256398_422566796630446080 x	@luvelizabethany which sloppy drunk would you be?
27256398_422566663935242241 x	@MisterGreen8732 not sure either but I can't hate even if I try
27256398_422566480778395648 x	Lol they use to sing that damn song when i was in 4H camp circa 1992
27256398_422566132630192128 x	@MisterGreen8732 just want to let you know ive seen the pic and your suspenders game is on point, been meaning to cop that style.
27256398_422560871882452992 x	@terilyns68 you never be showing appreciation for legends. First Bolton now Michael?
27256398_422558181404196864 x	@terilyns68 he is from the Tom Hanks movie, the director is notorious for finding new upcoming actors
27256398_422559708571267072 x	@terilyns68 he'll be back next winter
27256398_422545964373929984 x	@Sports_Chik sorry babe, feel better.
27256398_422536545355448320 x	Wtf Jennifer Lawrence dates beast from xmen first class!!!!! I know I have a chance.
27256398_422533739282169856 x	I still can't believe the pats made it to the AFC championship with literally no weapons besides blount
27256398_422533565373763584 x	Guess I'll watch the golden globes
27256398_422531950029459456 x	@TheZompster they had nothing to do with it
27256398_422531796182794240 x	The eagles curse is gone!
27256398_419997532992057344 x	@Eagles_Addict Kaepernick is not a good QB not good at all. His team wins because their defense. He's pretty bad PFT ranked him like 25th
27256398_422470447889141760 x	@Eagles_Addict lol alcohol and speaking too soon
27256398_422398026658107392 x	@love_jenalee I'll always love you and you'll always have my ?
27256398_422249799254282240 x	@Kief3 where yall at? MD Live?
27256398_422231307775926273 x	@T_marie_B I dunno cuz your body sure as hell is built right <3<3 <3 <3 <3
27256398_422224814372577280 x	With the Patriots win, foles now going to the Pro bowl
27256398_422118227305824258 x	Andrew Luck plays amazing when pressured. Don't be surprised if 4th qtr he comes alive
27256398_422117900825403392 x	@TheZompster lmao this dude Andrew luck only loses to Crappy teams and has beaten every dominant team. Colts win by 1
27256398_422101220988567552 x	Lol im that guy that likes every pic cuz they are all gods creation lmao
27256398_422101029518602242 x	Go on hot or not app to troll end up getting 2 random 7 1/2's messaging me lol. This is bad news.
27256398_422082973346041856 x	@mainman_843 @Eagles10Philly I'm still sticking to 2015. I believe we will get to NFC championship
27256398_421864248554582016 x	Got em' @heatherfaith86 @shweepielopez http://t.co/KS8CV4lQSQ
27256398_421857999511359488 x	I come here way too much. Too drunk to taste this chicken with @ShweepieLopez at @TobyKWoodbridge
27256398_421772892725334016 x	Being named going to the Pro Bowl is a lot bigger than actually going to the Pro Bowl for players
27256398_421772748130897920 x	No wonder peters opted out, the fines the NFL gives out is only a couple bucks less than you get if your conference wins. It's pointless.
27256398_421766802109366272 x	@TheZompster I think I read an article somewhere the running backs only get the ball on 6% of the game. He will be safe.
27256398_421765367808417792 x	RT @FakeLeseanMccoy: First Shady GIVEAWAY! RT to win my Jersey! Rules: Must be Following and min of 100 RT #SeasonofShady http://t.co/Lnlqw?
27256398_421763304496062464 x	@ilikebeards62 happy birthday!!!!
27256398_421762869290885120 x	Anybody know why Jason Peters declined going to the Pro Bowl?
27256398_421762379463266304 x	@nikejay22 kaep gonna throw 2 or 3 picks?
27256398_421762648376877056 x	@nikejay22 cuz he throw picks in the playoffs
27256398_421762189494857728 x	@ilikebeards62 lol its not gonna work
27256398_421761827195060224 x	I have never followed anybody on FF cuz nobody has ever followed me that method. I feel it's like poking on FB,  just there but useless
27256398_421749468535717888 x	#ponytailing pt. 2 ? #yagadoo lol https://t.co/Aetad2diIT
27256398_421749408263569408 x	Love Salsa #DemChipsTho.   I can't stop laughing lmaoooo https://t.co/uU7iq4YrI7
27256398_421715908227506176 x	@Eagle_Fan_NDIII @TinaPhilly4for4 @Calebtheprophet @PHI_MIA_ANON @TheZompster lol pretty sure coop lead the league in least drops
27256398_421717410652385281 x	@Calebtheprophet @TinaPhilly4for4 @Eagle_Fan_NDIII @PHI_MIA_ANON @TheZompster Desean led the league? Wes Welker did Desean had 1 drop n 2012
27256398_421718210623602688 x	@Eagle_Fan_NDIII @Calebtheprophet @TinaPhilly4for4 @PHI_MIA_ANON @TheZompster http://t.co/1x9BNrLUob nope no drops #iknowmyfacts
27256398_421741072579305472 x	@ilikebeards62 @Calebtheprophet bro you said 2012 then I showed you then you apologized now you are trying to prove a point again? Lol
27256398_421742354924843009 x	@Calebtheprophet @ilikebeards62 oh yeah I didn't doubt you on that. 2011 was the year he was complaining about contract. I was confused lol
27256398_421725916864073728 x	@bellezzzaa that's why they got cocktails to purchase, don't you drink before you fly?
27256398_421725749922758656 x	RT @Phillies: ST tix are now on sale! For the 1st time, the Phanatic will spend all of ST in Clearwater! http://t.co/80P3E3Y0Yh http://t.co?
27256398_421723459425955840 x	@TheMiamiQueet lol om android phones it makes the emoji a lion which makes me assume yours is top notch lol
27256398_421722505334644736 x	@RapSheet it was worth it would of been a touchdown, even though they still got a field goal :-/
27256398_421722141990866946 x	@TheMiamiQueet to early for that
27256398_421718714242068480 x	@nflnetwork @Panthers @TheRock is hands down the most electrifying person out there
27256398_421718047398043648 x	@Calebtheprophet @TinaPhilly4for4 @Eagle_Fan_NDIII @PHI_MIA_ANON @TheZompster yeah cuz he had 88 targets in 2012 no drops I thought he had 1
27256398_421716457362575360 x	@Eagle_Fan_NDIII @TinaPhilly4for4 @Calebtheprophet @PHI_MIA_ANON @TheZompster coop had 3 dropped passes all year including playoff
27256398_421691419628417024 x	Damn @Jrue_Holiday11 recover fast bro, sucks what happened.
27256398_421536174059315200 x	@nikejay22 pause
27256398_421535813663735808 x	They say when you dream about somebody they are thinking about you, I'm calling b.s. cuz I still haven't got texted back
27256398_421522307228925952 x	@jdboutpaper shut up bitch
27256398_421523059812892672 x	@jdboutpaper I saw how drunk you got when the Ravens missed the post season for the first time in 6 years
27256398_421523550819090432 x	@jdboutpaper not in 08 when phillies won the world series
27256398_421524045000368128 x	@jdboutpaper I would of been 24 so yes
27256398_421520120981487616 x	RT @carmeloanthony: #risetothemoment #stayinthemoment http://t.co/dYdV0V7p64
27256398_421505204367155201 x	@T_marie_B the dude was like I haven't seen the word yolo in a long time and it was on his shirt lmfao
27256398_421327207035068416 x	@espn if it's not a problem can u please do a random drug screening on @RealSkipBayless his view on whos better than Durant make it apparent
27256398_421327688654413825 x	@blakejud @espn @RealSkipBayless lol water boy pistol pete
27256398_421026295905263617 x	Twitter family! I got the Job at Amazon as a network Engineer! Amazing pay and benefits, so blessed.
27256398_421323631780970496 x	@T_marie_B thank you tonya. ?????
27256398_421320480705228800 x	I start Jan 20th. Excited and blessed.
27256398_421323555679522816 x	@TheoAdwitya after a month I can refer people. Amazon takes care of their employees like crazy and great pay.
27256398_421320658296262656 x	@blakejud I still say Andrew luck. I know accuracy and less picks favor foles but luck finds way to beat the beat teams in the NFL
27256398_421320881944928256 x	@blakejud best teams in NFL*
