260539564_393545075621638144 x	?@markschlereth: Tolbert is a husky lad? pot, meet kettle.
260539564_268898657242333184 x	?Firms to pay back wages to foreign students who worked at Hershey facility operated by an outside company"@brian_casal finally getting paid
260539564_268360445474254848 x	@Buster_ESPN I think Jimmy Rollins misremembered - NL East runs OVER Philly, not THRU it.
260539564_268322011061829632 x	On my way out to vote!
260539564_268150550502195201 x	?@NBCNews: Are humans are becoming less intelligent? New study suggests it could very well be http://t.co/ig6oT3Q5? @ABCnews rebuttal?
260539564_268321171777400832 x	@doughertyj12 @brian_casal he still tucks his undershirt into his underwear. So, yes.
260539564_265643247089623040 x	@doughertyj12 glad to hear everything still standing for you
260539564_265418351378042881 x	Here's a thought - if you plan to get on a cross country flight, consider some deodorant. #thingsihate
260539564_264697552430063616 x	Scotland's idea of CNBC http://t.co/Qw8NIl1m
260539564_264693555057029121 x	RT @gburgbullets: Gettysburg Selected to Host 2014 NCAA Lax Championship #NCAAhost http://t.co/DjRQjmQN
260539564_264393356006801408 x	2 of 2 - must watch this. ?@guyism: Jimmy Kimmel pranks kids on Halloween, and it's f*cking hilarious. http://t.co/DyC5jN7C?
260539564_264392851004223488 x	1 of 2 great bits from last night. ?@iClarified: Jimmy Kimmel Live: iPad Mini Commercial [Video]... http://t.co/cAAmkALT?
260539564_264389719562014720 x	@BloombergTV @jimmykimmel said it best: "If you are in NY or NJ and standing in line for an iPad mini, you should be punched in he throat"
260539564_264387448191217664 x	@BarackObama @NJGovChristie: Fix this, lovebirds."Non-union utility crews turned away from helping NJ #Sandy victims http://t.co/QIeBBw70?
260539564_264140407200415744 x	RT @larry_kudlow: Global temperatures haven't increased for 16 years, according to Met Office, which is the British weather service.Did  ...
260539564_264139937744564224 x	RT @larry_kudlow: Nothing else to do? So, Mayor Bloomberg endorsed Obama on climate change and cap & trade. Former unproven. Latter  ...
260539564_264098067077287938 x	Sweet. ?@NBCNews: Nor'easter winter storm is forecast to hit the Mid-Atlantic, New England next week http://t.co/SIH9wLEL?
260539564_256740539351838721 x	RT @BloombergNews: JPMorgan beats profit estimates on mortgage, trading revenue | http://t.co/zJzzqe65
260539564_256031713883484160 x	@amtrak How am I able to connect to WiFi at 37,000 feet without speed issues yet on the train it never works well? has to be a better way..
260539564_245282937082347520 x	@AdamSchefter I'm no math major, but sounds like 4-7 weeks.
260539564_243323848412516353 x	@FlyEaglesNation - football season is finally here and I have to watch Cowboys/Giants?? Hope they tie.
260539564_239140723063132160 x	@FlyEaglesNation can we hold off a little on the Foles man-crush? 3 weeks ago we said this was 11 win team w/ Vick. Now we want the backup?
260539564_239149148820090881 x	@FlyEaglesNation I hear you. This city's crazy for him. Can you say Kevin Kolb?
260539564_239150074767216640 x	@FlyEaglesNation I do hope he can. Team needs a future after Vick. Maybe as soon as next year.
260539564_238295446601220096 x	@FlyEaglesNation Is Kafka injury paving the way for Edwards as QB3 or is he safe?
260539564_237702301152858112 x	@FlyEaglesNation Dunlap. For the love of God, King, don't get #7 killed.
260539564_237701236466532352 x	@FlyEaglesNation w/o Brady and crew in lineup - even more critical that D shows it has improved facing 2nd team QB. #noexcuses
260539564_237701900546502657 x	@FlyEaglesNation if 1st team D struggles again Castillo will have loooong week on the radio shows.
260539564_236904412801540097 x	@FlyEaglesNation wouldn't give up more than 6th or 7th for him but not a bad option.
260539564_236903476460916738 x	RT @jpmorganfunds: Volatility may be here to stay http://t.co/jO4ZZzGm Learn how to defend your portfolio with ?Alternative Strategies?
260539564_217723222639128577 x	@usairways how can there not be personnel in Philly to extend the jetway when we land on time?? Every time.
260539564_205354934739271680 x	New #freedomtower in NYC is massive.     Testament to resiliency of our great country.
260539564_200041187489488896 x	@SportsCenter - Bryzgalov has love/hate relationship with fans all season then scores the game winner...on himself.
260539564_197453597926096897 x	RT @jpmorganfunds: Starting soon: Live interactive video webcast http://t.co/eEYdlYEj with Andrew Goldberg and our experts #2012invest
260539564_197294591211352064 x	@Amtrak - Acela from PHL to NYP again today. Service is always great, but Wi-Fi is always painfully slow. Looking into more bandwidth?
260539564_192112276898189312 x	RT @jpmorganfunds: Weekly Market Recap: http://t.co/EjCPIWyx To get a closer look at money held in cash accounts?
260539564_190828649673539585 x	RT @jpmorganfunds: JPMorgan Q1 Earnings Easily Beat Estimates http://t.co/N4YAyOTR Watch video now
260539564_190828434526699520 x	RT @DavidFaberCNBC: $JPM Dimon sounded (slightly) more positive on U.S. economy than last quarter's call....dismissed latest data as not ...
260539564_185847377050075137 x	RT @jpmorganfunds: A remarkable 1Q for risk assets ends as uncertainties around Europe, the mid-east & domestic politics linger,more rea ...
260539564_174987597725175808 x	RT @jpmorganfunds: David Kelly shares insights: ?Will higher #gas prices derail the economy?? http://t.co/FHrTRfY0 via @AssociatedPress
260539564_166859420402335744 x	RT @jpmorganfunds: Hear the latest from David Kelly and our market experts on our redesigned ?Insights? site http://t.co/EjCPIWyx
260539564_165939916453326849 x	?@HMGreenblatt: Lou Nolan just dropped a #hartnelldown in reference to one of the mites on ice falling? That was my boy Ryan!
260539564_165939295440474112 x	@graceiscoool thanks for Mites on ice Pic. Number 2 is my little guy!
260539564_164498454465347584 x	@NHLFlyers : big shout out to the Flyers for the work they do for the kids! #wissahickon warriors Mites on Ice tonight. A treat for 5yr old!
260539564_159506661843804160 x	RT @jpmorganfunds: Reminder: Q1 Guide to the Markets http://t.co/Bzz0DA4E available now, get the latest markets and economic charts and  ...
260539564_158236070780211200 x	RT @jpmorganfunds: What are the best investing opportunities for 2012? http://t.co/DO4FNsRz David Kelly advises in ?The Road Ahead: Risk ...
260539564_156078090215362560 x	RT @jpmorganfunds: Is education the key to closing today's income gap? http://t.co/qqZn6fav Share your views
260539564_155431262960623616 x	RT @jpmorganfunds: Our Guide to Markets 1Q 2012 can help address challenges in today?s market http://t.co/Bzz0DA4E
260539564_155286243289210880 x	RT @jpmorganfunds: Is the U.S. economy strong enough to withstand European flu? http://t.co/V0qqva0F Discuss with Andrew Goldberg
260539564_154267891267678209 x	RT @jpmorganfunds: Weekly Market Recap http://t.co/x2S4ZINA A Look Back at 2011 Asset Class Performance
260539564_154267704012972032 x	RT @jpmorganfunds: Hot off the press: Guide to the Markets 1Q 2012 http://t.co/Bzz0DA4E Download the latest market and economic charts
