746274931_379783915713863680 x	two shootouts?
746274931_393552046026399744 x	win #2!
746274931_393551968133988353 x	RT @BroadStBull: 1st star of night for #Flyers: Replay official in Toronto.
746274931_393551698855493632 x	on the edge of my seat like a playoff game #flyers #pathetic
746274931_393545618364592128 x	@Fake_RonBarr the only good friggin thing to happen in the 3rd period all season
746274931_393544830053519360 x	NO GOAL!!!!!
746274931_393519396930723840 x	MATT READ!!!
746274931_393483246727880704 x	RT @greatideas: You stay classy, @benandjerrys! The new Ron Burgundy-inspired 'Scotchy Scotch Scotch" ice cream is crazy-delicious. http://?
746274931_393097968485945344 x	RT @BroadStHockey: Brian Boucher will join Flyers PR man Brian Smith on the Comcast Network call for Saturday?s Penn State vs. Vermont game.
746274931_392825927518130176 x	RT @6abc: Shutdown causes IRS to delay tax filing season  http://t.co/0VmPCCDtOr
746274931_392813373991436288 x	@Fake_RonBarr the more you know...
746274931_391784918998867968 x	RT @ComedyTruth: I'm only a morning person on December 25th.
746274931_391783030836449280 x	RT @DStrehleTFP: Per Arpon Basu, Danny Briere has a concussion from a hit by NAS's Eric Nystrom.
746274931_391782737142886400 x	RT @hockeymemes: They said.. http://t.co/8vy7AAaIhi
746274931_391403582328938496 x	RT @FlyersNation: Brian Boucher was released by his Switzerland club after five games.
746274931_391017364420300800 x	RT @FlyersNation: When do we play Tim Thomas again.
746274931_391015674648477696 x	maybe Lavy wasn't the problem here...
746274931_391014358777872384 x	oh well
746274931_391006251402137601 x	RT @FlyGoalScoredBy: Was Mike Richards and Jeff Carter drinking beers really THAT big of a deal?
746274931_391006185698390016 x	another power play #sweet
746274931_390992996021579776 x	@PhilthyBrass maybe this will be the game that turns things around for the #Flyers #onecanonlyhope
746274931_390655638222942208 x	RT @FightinForPHI: Dress your kids up as Philadelphia sports fans for Halloween this year. People will feel so bad for them they'll get a t?
746274931_390287340058726400 x	i. am. done.
746274931_390282165378121728 x	nooo!  we were supposed to win this one!  #Flyers
746274931_390268867228233728 x	RT @TheOrangeUpdate: Holmgren is due to announce McGinn's 12 year contract soon...probably. #Jokes
746274931_390268006531862528 x	Mason looked like turtle on its back
746274931_390265130615078912 x	RT @TrueNHLFacts: RT If your team is playing today!
746274931_390258953088925696 x	we had the lead for 10 seconds.  #flyers
746274931_389944961275555840 x	RT @FlyersNation: On the bright side, we're not #Sabres fans.
746274931_389231951301066752 x	RT @Fake_RonBarr: Where is the support group meeting for flyers rangers and devils fans
746274931_388833914695221248 x	RT @FightinForPHI: Rinaldo needs to get spanked by Berube.
746274931_388833285478289409 x	holy shit mason
746274931_388827470629470208 x	oh crap
746274931_388826930918998016 x	ABOUT FRiGGIN TIME!!  #talbot #rinaldo #Coots
746274931_388824765148176385 x	power play goal please?#Flyers
746274931_388435350953418756 x	RT @VinnysEgo: We support RT if you do http://t.co/7lEMH8BBTp
746274931_388029609440460800 x	RT @HotFunnyWomen: "Wow, that Lean Cuisine really filled me up," said no one ever.
746274931_387754772331495424 x	RT @GoPhillyFlyers: Welcome to the Craig Berube era. #FlyersNation
746274931_387723347360247808 x	RT @BroadStHockey: TIM THOMAS IS OLD AND THE FLYERS ARE WINNING
746274931_387717678481571840 x	RT @BroadStHockey: Panthers starters: Matthias (sucks), Winchester (sucks), Kopecky (sucks),  Whitney (sucks), Gudbranson (sucks), Thomas (?
746274931_387672926214160385 x	anyone else think the #Flyers should change their goal song to Apache by Sugarhill Gang in honor of Berube?
746274931_387318994640044032 x	RT @LifeCheates: Despite popular belief, posting your problems on Facebook won't solve them.
746274931_387240665568260096 x	RT @jrams774: We'll always have this, Lavy ??? http://t.co/HHt4o9UBoK
746274931_387001469972787200 x	RT @FlyersNation: http://t.co/sorYNCtS3d
746274931_386997835482542080 x	*sigh*?
746274931_386978651201601536 x	noooo!!!
746274931_386979207844491264 x	@Fake_RonBarr canes up 2-1 off turnover from schenn
746274931_386982294378258432 x	@Fake_RonBarr he just scored a goal then the turnover.  luke, not brayden
746274931_386976144454844416 x	good goal!!!!
746274931_386956217555632128 x	RT @FlyersNation: The Ginger Genocide Line is back to start a game: Hartnell-Giroux-Voracek
746274931_386592610221301760 x	RT @FightinForPHI: I hope we see none of these tonight. http://t.co/KCgzjWHmGx
746274931_386304171483619328 x	RT @DNFlyers: Tomorrow will be first time Flyers are playing against a player they're still paying: Danny Briere, $833,333/yr thru 2017.
746274931_385949566203604992 x	RT @NHL: Tonight marks the first time someone other than Brodeur has started an @NHLDevils season-opener in goal since Chris Terreri - Oct.?
746274931_385947392144838657 x	RT @TheNHLHumor: Coincidence? I think not #Devils #Illuminati http://t.co/i1hFDVjZv2
746274931_385946976099254272 x	RT @HotFunnyWomen: I want to make everything I see on Pinterest. Unless it has more than five steps.
746274931_385598469861552128 x	RT @NHLFlyers: We're a sellout tonight with 19,872 #Flyers faithful in attendance. #OpeningNight
746274931_385563249292632064 x	RT @davegisaac: How I missed Lou Nolan's dramatic two-syllable pronunciation of hoo-king.
746274931_385539702788726785 x	warm ups!  #Flyers http://t.co/rD54yAeKhb
746274931_385518879667400704 x	been waiting since April for this!!! http://t.co/0FWztcTRy9
746274931_385497649908293634 x	RT @PhaithfulPhilly: The Flyers MIGHT have a new goal song. We won't know until the Flyers score.
746274931_385497263730331648 x	RT @Phillies: Chooch & the @Phillies wish the @NHLFlyers good luck this season! #HeyNeighbor #FlyeredUp http://t.co/K3jpCi5C2O
746274931_385229808256692225 x	RT @VinnysEgo: Whos ready for tomorrow night??? RT if you know what im talking about
746274931_385189386155212800 x	RT @DNFlyers: Pretty cool that Guy LaFleur just passed the torch to Danny Briere before his first game as a Canadien.
746274931_385188925754839040 x	RT @SexyNHLPlayers: Danny Briere. ? http://t.co/GcBl4UZ4nM
746274931_385187777295683584 x	RT @CoverThePuck: Good thing the Stanley Cup winning team don't go to Disney because if the Habs won half the team couldn't get on the adul?
746274931_385182363455873024 x	@Fake_RonBarr booo!  I am at dance with the kids.
746274931_385182881444012032 x	@Fake_RonBarr ok good
746274931_385172248694632448 x	RT @cowhitegirl: biggest problem this year: where do i fit my mental breakdowns into my school schedule?
746274931_384739619776249856 x	RT @UberHockeyFacts: Merry NHL eve everyone!
746274931_384721956517715968 x	RT @BroadStBull: Puck drop for #Flyers' season-opener Wed. vs. #Maple Leafs at WFC is 7:44 p.m.
746274931_384489623583719424 x	RT @LisaHillaryTV: NHL management source tells me Pittsburgh has interest in Bryzgalov #humongousBig2ndchance
746274931_384429526258032640 x	with the #Phillies season now over, that means there's more time for #Flyers hockey! http://t.co/BsrkBEyYvL
746274931_384314132386021376 x	RT @FightinForPHI: Today is the last day of the Phillies baseball until pitchers and catchers report in February. No Red October. There's a?
746274931_383716506854768640 x	this is why i love @Hartsy19 #Flyers http://t.co/Bj7Z5gdsE7
746274931_383410868593393664 x	RT @PhaithfulPhilly: The Flyers finally have an iOS app. http://t.co/qlSjaFyWcN
746274931_383408113027936257 x	RT @Real_ESPNLeBrun: Two brilliant assists by Briere here tonight. You get that feeling a healthy and motivated Birere is going to have a n?
746274931_383397516282437632 x	RT @FlyersNation: http://t.co/8BCSRUwl5a
746274931_382981478566883328 x	RT @HockeyeCards: Prepare: http://t.co/MLl32tDp4L
746274931_382685019569131520 x	RT @FlyersNation: The next #Flyers game at the Wells Fargo Center will be regular season hockey.
746274931_382639227294732288 x	RT @Philly___Sports: Retweet if you think Philadelphia has the Best Sports fans in America.
746274931_381858614832816128 x	come on boys!   load em up!  #phillies
746274931_381835953197047808 x	Lee!  3 in a row!  #strikeout
746274931_381829576764059648 x	last home game of the season.  Let's go Phillies! http://t.co/muMpuWjQQC
746274931_380110186939445248 x	RT @eCardLaughs: http://t.co/PNFPvuiBoh
746274931_379784998553157632 x	RT @NotHartsy19: FLYERS BEAT THE MAPLE LEAFS IN THE 7TH RND
746274931_379775491181649920 x	RT @PS_Faithful: You know what?s awesome? Remembering Ron Hextall is back where he belongs, here in Philly.
746274931_379414693099880448 x	RT @hockeymemes: Toronto Maple Leafs fans be like: http://t.co/KMj715WDt0
746274931_379382332995960832 x	tie game!!!!  3-3
746274931_379372746561835009 x	going for the #gordiehowe #clarkson
746274931_379372507327123456 x	on our way back!  3-1
746274931_379369389029855232 x	wtf 2-0 leafs
746274931_379367533134225408 x	RT @FlyersNation: We've waited 141 days for this. #Flyers
746274931_379366272783646720 x	LET'S GO FLYERS!!!!
746274931_378638091772518400 x	RT @BuzzOnBroad: Holmgren says that Hartnell is in the best shape he's been in since coming to Philadelphia. #Flyers
746274931_378569184088977408 x	?@eCardsForGirlz: http://t.co/FrAwbVAm6K? @curlyteachDana
746274931_377966384254582784 x	@Fake_RonBarr please tell me you are flying and not driving...
746274931_377979200885764098 x	@Fake_RonBarr how long of a flight is it?
746274931_377877267739070464 x	RT @GoPhillyFlyers: Daniel Cleary will not be joining the #Flyers as sides could not agree on a contract. #FlyersTalk
746274931_377836879561097216 x	RT @iTweetFacts: No matter how many years pass, you will #NeverForget where you were or what you were doing on #September11 2001.
746274931_377836722161483777 x	RT @ComedyAndTruth: Don't stop retweeting. ?? ? http://t.co/u6BTcddXOd
