981311636_398671041780019200 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_397854763213389824 x	Some people don't like to follow #porn accounts. If you have nude pics or are getting fucked on your account, we'll follow. #NoHomo
981311636_397848322779914241 x	@NYKnicks owner was so pissed about his team, he wanted dancers to stop. Is he going to have them blow the fans to get their moneys worth?
981311636_397842318117851136 x	This is our 2,000 Tweet... We'd like to that @ImbalancedJohn @JasonFQuick @petiteveneficus & @wilsonrr94 for being so awesome!
981311636_397835798298771457 x	It's 4:20... Let's all get high #OverUsedTweetStonersAreSendingNow
981311636_397832113367842816 x	#ShittyAdvice People don't like you, change. Dont be a loser! RT @niknicole20: Fuck Everyone Else -Just Be You ;) http://t.co/XkZdbdoLkV
981311636_397827217952374784 x	Urban Dictionary's Definition of "Ass" - A Place where courageous people do the nasty http://t.co/CJQG5Gf0zc
981311636_397820756614479872 x	Fucking retard Michelle Knight will be on Dr. Phil today. If you're going to kidnap someone, they should be normal! http://t.co/d36ROTrpVw
981311636_397814373609377793 x	#GaveUsAChub RT @carylntz: walk of shame has never started on a couch that has a "Free Couch" sign next to it, you're not having enough sex.
981311636_397808663894966272 x	True... dat! RT @mainetheck: Nobody has sex with a purpose anymore . thats why yall got baby mamas and child support and custody issues now.
981311636_397802888304820224 x	Can't wait to taste one of the burgers you make at McD's... RT @alextheonenonly: I like my seat back, cup full, weed rolled, fuck school.
981311636_397795883691294720 x	So, the Full House news wasn't true, but Super Troopers 2 is shooting this year, and that's just as good!!! http://t.co/jwwJYzJhzT
981311636_397789598652575745 x	Mom Lets Son Wear KKK Halloween Costume, Says It's A Family Tradition http://t.co/r8SXxXmuwV She probably isn't going to win Mom of the Year
981311636_397783086697820160 x	Is @PerezHilton a lying homo? Today seems to think so! There's no Full House sequel in the mix! http://t.co/ibYvvmN0E7 #PerezIsCoolNotAHomo
981311636_397781576416641024 x	RT @Mota_StaysFaded: @FunnyRadioShow hahaha fuck that one has me dying you're to funny #props
981311636_397771320962068480 x	Then quit breaking the GODDAMN LAW!!!!!!!!!!!!!!!!!!!!!!!! RT @mota_staysfaded: I'm so tired I don't want to fucking go to court!!!!!
981311636_397772314554941440 x	@Mota_StaysFaded Mmmmmm... Are you being honest? Look like you have broken a few laws in your day. Rape a bitch? Drugs? Gay sex in a park?
981311636_397776608939225088 x	@Mota_StaysFaded Hop off these nuts? Seems like something someone who is in court for breaking the law would say. #BadGuy #Criminal #HugeFag
981311636_397780924743827456 x	@Mota_StaysFaded #Catfish? Is that a racist joke? You won't last long in prison with that attitude son
981311636_397776806000201728 x	Want to be dicks to people today! If you have a twitter handle of someone you want us to pick on, RT with that name. #Assholes
981311636_397764137469894656 x	Disagree... Ice cream or Mexican farts are way worse! RT @carrygoldbricks: Morning farts smell the worst it's a fact, so I have heard
981311636_397758009499484160 x	Someone is controlling!!! #Jeesh RT @xpizzzax: if youre in a relationship you can have friends just not if they are whores bye
981311636_397751814835404802 x	Go check out our facebook page. We have pictures, clips, updates, and more! http://t.co/VY8RFGWffx #comedy #radio #blogtalkradio
981311636_397745318256984064 x	If we had a gf like yours, we'd promote the same! RT @PatMcAfeeShow: ecstasy the emotion. Not the drug. don't promote drugs. I promote love
981311636_397744975297130496 x	RT @urwhiteprincess: Really cant stand people with cancer, their the biggest attention whores EVER, its their OWN fault God doesnt love them
981311636_397738989253177344 x	True Philosopher! RT @jessicaatyler: Fuck mornings. Fuck work. Fuck everything in the morning that doesn't involve sleeping, sex, or Bacon.
981311636_397734817489354752 x	Tweet us a picture of your girlfriend's ass. If she's hot, we'll retweet it. If she's ugly, we'll block you. #TugTugAssTuesdays
981311636_397733536377356288 x	Pick-up line that definitely will work on all bar sluts... RT @k_eazyy: Did I leave my eyes in your pussy cuz i see me all in it
981311636_397727043892551680 x	Who is this "lawd" character??? RT @sayy_yass: im saying " lawd forgive me fo my sinss , im done shitting on these hoes "
981311636_397591700530798592 x	That ends our broadcast for this evening. For all fitness news follow @CrazyFittie. For pussy popping follow @imastoneniggah_ #GoodNight
981311636_397586610851958784 x	Or first time you have sex (after you cum) RT @riley_other29: On the first date :'') @Jessica_Tee_: When is it ever "cool" to fart ?
981311636_397583879231791104 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_397580471372369920 x	Explains the piercings and probable tats #DaddyIssues RT @bethquarterman: I'm seriously fed up of my mums boyfriend making fat jokes at me
981311636_397574060286410753 x	Don't know the joke, but would have probably laughed. #JustSaying RT @__robynlynn: Making jokes about rape isn`t fucking funny you fat ass
981311636_397567800975581184 x	For those of you with the munchies... The Best Sandwiches From Every State http://t.co/pNHOfJTXwv Actually got a lot of these right. Enjoy!
981311636_397561457350807552 x	Buy a hooker... then you can!!! RT @obeey_angelito: iWanna Fuck High & Drunk At The Same Timee (;
981311636_397555264486141952 x	What else is there to care about? RT @givemefoodtwat: Whole damn world is just as obsessed with who's the best dressed and who's having sex
981311636_397548913923993600 x	Same here, only our jokes are probs more offensive...  RT @thehomie_doll: It's like you HAVE to say "lol" for people to know you're joking.
981311636_397542633280917504 x	Congrats to our former producer Brett Harrison & his wife @SharaLynnH on the birth of their son Barker. Best wishes to all three of you!
981311636_397536673053282304 x	Why? Is there a sex joke or something we are missing? RT @manduhvictoria: Hotdogs with mustard are the only things I can stomach to eat
981311636_397529989354360832 x	Advice for life.. RT @SpliffMeister: Everything eventually falls into place so stop stressing, smoke some weed, do some drugs, get drunk etc
981311636_397523806442770432 x	How come? This coming from a girl with helly cleave in her pic #HoesOutingHoes RT @issy_hendry: RT @Aja_Humphries: Sluts are not cool
981311636_397516190031282176 x	Yeah asshole at Taco Bell a few days ago!!! RT @TricksAndHacks: If you have a big order, go inside. Don't hold up the entire drive-thru.
981311636_397509888324415489 x	Tip for Guys: When a chick says "I almost never do this," it really means she does it all the fucking time. #BitchesLie
981311636_397503688207781888 x	Joke of the day... RT @KattWilliams: I HATE when fat bitches can't cook...I'm like "Ummm bitch! so you just fat for no f*cking reason?"
981311636_397497332218228736 x	Almost exactly how we slide into pussy! RT @OverlyManlyMF: RT only if you slide into the pussy like this. http://t.co/nkr6q4EJee
981311636_397491288716480512 x	For reals??? RT @PerezHilton: Is this real life? Sobbing! RT #FullHouse Returning To TV? http://t.co/MscceNyMg6
981311636_397485355303460864 x	JWe are very minority friendly. You're right, bullying sucks, but with that said, you are stacked! RT @MadsGillum: what does race matter?
981311636_397484772714631168 x	Take some Paxil... RT @yelowbrickroadd: I'm friends with the monster that's under my bed, I get along with the voices inside of my head
981311636_397478393568301058 x	What if the person is a different race than you? RT @MadsGillum: I don't care what the situation is, there is NEVER an excuse for bullying.
981311636_397472311118675968 x	I won't... Thank you for the advice! RT @imadelisamoanah: Never trust a female that you took from another nigga
981311636_397466060641021952 x	Pop a pussy? I'm white, so that is very confusing. Can white bitches do that? RT @imastoneniggah_: She going pop that pussy for a real nigga
981311636_397471285342912514 x	Thanks to @imastoneniggah_ I googled "Pop That Pussy" and I now know more songs and how to make a bitch pop it #ReadyForNewSexTonight
981311636_397461634903711744 x	Thanks 4 the inclusion! RT @holipaldotcom: http://t.co/8249HXVO14 is out! http://t.co/RA7C6mq0pN via @GioBenitez @FunnyRadioShow @wikirhymes
981311636_397461386298933248 x	"Shit, piss, fuck, cunt, cocksucker, motherfucker, tit, fart, turd, and twat... I fucked your mom." - Blink 182 #SongLyrics
981311636_397454578280841216 x	So @68INCOGNITO called Martin a "half-n*gg*r." Wha'ts the point of bringing down your own teammate? Dude is trash! http://t.co/vIwJ8kcj6W
981311636_397450913033748480 x	For being more mature, we'll give you a follow... RT @crazyfittie: Your not even following me but yet your tweeting me all this shit!
981311636_397448326708482049 x	Would you watch Kendall Jenner in a porn??? WE wood... We mean "would"!!! http://t.co/Ni66peMmcK
981311636_397428062255841280 x	Probs because you've already fucked everyone in your school... RT @crazyfittie: feel like a loser sitting here at the lunch table by myself
981311636_397430427033829376 x	@CrazyFittie So you just have a slut picture up for the hell of it? We aren't judging... just calling it how we see it.
981311636_397439508318552064 x	@CrazyFittie So that gives you permission to show off your ass and not be called a whore? You are 16 too! Have some self-respect! #HoeFoSho
981311636_397444888985624577 x	@CrazyFittie If you aren't in your 20's, you are too young to bone... Teenagers now are just too skanky... Your really think your pic is OK?
981311636_397442184485801984 x	Who even knew Pipi Longstocking porn was a thing??? Why are we as a society so fucked up in what gets us off? #Sex #Perverts
981311636_397440963440017409 x	At least get a hotter 14-year-old! RT @HarveyLevinTMZ: Pippi Longstocking Porn-Stop Using 14-Year-Old to Promote Tape http://t.co/XIiT3fQbnX
981311636_397434520938758144 x	Have you ever jerked off on your girlfriend's pillow, just so you would know she is sleeping on your cum? #WhackingIt #ShowThatBitch
981311636_397421802190028800 x	Ever noticed that everyone on twitter has a timeline where if they were convicted of a serious crime, you'd believe it? #WeAreAllPsychos
981311636_397416081792716800 x	Women can wear jerseys all they want!!! RT @SlammingBodies: celebs rocking slutty sports jerseys http://t.co/0k6PFrVeNI
981311636_397413485707288576 x	For a porno? Who's the co-star? @BreeOlsen? RT @Thijrut: @FunnyRadioShow I need movie extras http://t.co/mEeGj8mh7V
981311636_397409489970032641 x	Finally a good Monday outlook! RT @stillblazingtho: If you smoke enough weed today you won't really care that it's only Monday. #HappyMonday
981311636_397402910331781120 x	Proving fat girls fuck earlier... RT @nbcnightlynews: Obesity linked to early puberty in girls, new study finds http://t.co/zrjc6eLQp0
981311636_397396873709096960 x	#Bullying, school shootings & #depression wouldn't exist if more women gave it up. Not saying rape should be legal, but it could save lives!
981311636_397395462639980544 x	RT @JasonFQuick: Vegas is raking in $ right now on everyone who had Andy Reid at 1 to 5 on who would be the first coach to collapse on the ?
981311636_397390339100909570 x	He calls you because he wants to fuck you.. RT @sarahpenafuerte: my guy bestfriend calls me just because he misses bullying me @AaaronIlagan
981311636_397386684033417216 x	Family of complete trash! RT @Deadspin: Richie Incognito's dad posting on message boards that Jonathan Martin drug use & attempted suicide?
981311636_397380489629425664 x	That gave me a huge boner... Think you need the same!!! RT @careylikeswine: Monday needs 1 in the pink & 2 in the stink!!
981311636_397374319418159104 x	Why??? You look like a hooker! #GetToTheCorner RT @gabrielawhh: Every fucking morning from Monday thru Friday. http://t.co/Ej4D88XTa9
981311636_397221498043502592 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc Stories via @ComedyCentral
981311636_397120477178519552 x	Nick Foles obviously hates blacks too... Two TD passes Cooper???
981311636_397117849673543680 x	After Riley Cooper's TD, do you think he looked at his teammates and said, "I just burnt that nigger!"? #RacistMrCooper
981311636_397101084650795008 x	Go like us on Facebook. We put a lot of pics and shit up there, and you can comment and be dicks #FunTimes http://t.co/BRuGolCayf
981311636_397058242389737472 x	Football is on, so doubt we'll tweet too much today... Have to have priorities! If you have a question though, shoot it our way! #HalfTime
981311636_397026537100161024 x	RT @Tvizzle: Woke up to a blunt don't judge my breakfast
981311636_397005443962535936 x	Religious Joke to start off Sunday: Q. What kind of meat does the pope eat? A. Nun.
981311636_396859092637327362 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc
981311636_396811645823238144 x	Anyone doing anything fun tonight? It's Saturday... What are your plans??? #Party #Sex #Drugs #Alcohol #VideoGames #JerkingOff
981311636_396752410385072128 x	Who watches reality shows? @JasonFQuick will be hosting a recap of reality shows come the first of the year. Which ones are your favs?
981311636_396733638584569856 x	They did on the first few season of The Wire... RT @william_price_: Niggas can't handle their drugs
981311636_396723460950740992 x	Can't afford condoms like Remax? RT @x_nicholee: Seriously why everyone getting pregnant at tucker?
981311636_396707111562117120 x	Please... Go like us on Facebook... Especially if you're from the US... We are turning into the UN of shows! http://t.co/nRbyu9oyxF
981311636_396688369339871232 x	Way too fucking early, but you have queef in your name #Forgiven RT @queef_fennessyx: I just tweeted a Christmas tweet. What even am I ....
981311636_396676052715847680 x	Nope... RT @dberumez: Are you fucking serious
981311636_396663058363580416 x	Do people still find her attractive? RT @mcclearypki: RT @selIenagomecz: My sexy photoshoot http://t.co/p8gChnsMqe
981311636_396642959833444352 x	You tell em girl!!! RT @astoldbyfve: Why are girls hatin on no shave November? Scruff. Is. Sexy. As. Fuck.
981311636_396629145100509184 x	A thought for the morning... RT @iwakenbaked: It's nearly impossible to overdose on weed.
981311636_396574940117225473 x	RT @erin_parksy: @FunnyRadioShow suck a fricking carrot. Get a life you hoe
981311636_396496713957249024 x	SNR Twitter Report is out! http://t.co/aamMLpVGtc Stories via @ComedyCentral
981311636_396427841019342848 x	Maybe you should quit being a giant bitch! RT @erin_parksy: When did I start bullying you everyday? You say you don't care?
981311636_396465565272776704 x	@erin_parksy yeah baby... I'm almost there... Keep going!!!
981311636_396455426340167680 x	RT @FillWerrell: Dear girls who take a pic in slutty clothing & glasses & label the caption "nerddd lol" You're not a nerd, you're a whore?
981311636_396450440558440448 x	Yeah... What the fuck is up with that. COME ON WHORES!!! #WeWantSlutPics RT @robertkrapfl: Barely saw any slutty photos today :(
981311636_396444179125239808 x	Go like us on Facebook... All of the cool Middle Easterners do for some reason... May as well get American likes too! http://t.co/80DgVNGCiS
981311636_396442375326674944 x	So is that a no??? RT HambrouckRomy: @FunnyRadioShow @cuddlenights what the actual fuck
981311636_396441676735971330 x	@erin_parksy love it when you talk dirty!!! Gave me a semi!!!
981311636_396441531235577856 x	RT @erin_parksy: @FunnyRadioShow maybe you should stop retweeting peoples tweets you don't even know . Stfu maybe you should learn some thi?
981311636_396436650408284160 x	No, they just normally wear the slutty girls on their cocks.. RT @reallennaykekua: @snow2go do really hot guys usually wear slutty costumes?
981311636_396421533746601984 x	Fuck STDs... Fuck Getting a bitch knocked up... Just fuck raw #ThatABoy... RT @imjohnniebro: Raw sex :)
981311636_396415191455657984 x	LOL!!! RT @TheFacts1O1: The biggest sperm bank in the world turns down red headed donors because "not enough people want ginger kids"
981311636_396402639648600065 x	If you're in school and want to know what degree will get you the most money, here you go! http://t.co/WECE0A4n7z
981311636_396396430325452801 x	Prefer the whores... but these are good too! RT @Deadspin: Your best sports-themed Halloween costumes: http://t.co/KwMyfYVRTa
981311636_396390090202947584 x	I don't get Muslim typing... It's all very confusing
981311636_396383714319798272 x	Be honest... You two share a cock like you do a joint??? RT @cuddlenights: RT @HambrouckRomy: hell no u can't smoke my drugs
981311636_396379097498402816 x	@camreezyy Not as funny as someone kicking the shit out of you... Makes sense that it happened though! #StopTheBullying
981311636_396377578128568320 x	U have shitty friends... RT @p0shx0: I dn know how many times my friend pulled down my dress or covered my bra tonight y am i so slutty fuck
981311636_396371273183686656 x	And the gayest tweet of the day goes to this guy... RT @matias823: Makes me sick how slutty some girls are. I don't even wanna go out...
981311636_396364833672921088 x	FIGHT!!!  RT @livenlearn_7711: @PBandJenelley_1 @Vkillemm @Raww_Dawwg but fuck you guys took a CHILD out why would you dress so slutty?
981311636_396359968762642433 x	People look at me & think that fat guy has a small cock RT @camreezyy: People look at you like youre the user sellin drugs to all the losers
981311636_396353575586365440 x	Are you guys really going to fuck? Video tape it??? RT @fl1991: @sashaproblems95 cool... let's have sex
981311636_396348501074149377 x	That is certainly wishful thinking! RT @iMarLee_: When we get married, no such thing as "I'm not in the mood for sex", your pussy is mine.
981311636_396342236444893184 x	Are you a social farter? http://t.co/ngvKpPZDih #farting #dating #parties
981311636_396336355229589504 x	Here's the Kardashians costumes last night. Really hoping for something a little sluttier #disappointed #OnlyGotASemi http://t.co/wruBwfC3mV
981311636_396328625005670400 x	What's the point of that? WTF people! RT @nbcnightlynews: Suspect pulled out rifle and shot document checker at TSA checkpoint at LAX
981311636_396327972942413824 x	Agreed... Awesome Guy! RT @JasonFQuick: Loving @ArtieQuitter on @jimrome right now. One of the funniest people ever.
981311636_396327240004542464 x	Too many shootings lately. Women need to give it up more & calm these guys down! RT @ABC: LAPD says several people shot at LAX
981311636_396323341327687680 x	Where are the bitches at? RT @bombs24: this just made me realise how drunk I was last night #ChillingOnTheRoof #boys http://t.co/Z4ThptcRvj
981311636_396317133472559105 x	Maddow is the fucking worst. She just ruined The Simpsons! RT @HuffPostComedy: Rachel Maddow visits The Simpsons http://t.co/2mo7OmoGOS
981311636_396310885213679616 x	Former Comically Imbalanced Host @ShelbySiefring and her wife dressed as Finn and Rachel from #Glee. Well done girls! http://t.co/u9FTPSGN1o
