1948073113_399915561154404352 x	The sweetest taste of all is the taste of your lips on mine.
1948073113_399732199227797504 x	RT @iAllGirlsLove: Worst First Jobs Ever http://t.co/2RkWUQYwtz
1948073113_399720867824824320 x	RT @BadSluttyGirl: Damn her boobs http://t.co/T5Sb3KnTtg
1948073113_399715771384729600 x	RT @iTeenageLoves: Why the Single Life is the Best http://t.co/EIxjCbn1O6
1948073113_399708867933659137 x	Smile, even if it's fake. Laugh, even if you hurt. Don't let anyone get to you, you're beautiful regardless of what anyone says to you.
1948073113_399707233950248960 x	RT @LoveIsSoReal: Best movies to watch with your boyfriend http://t.co/iG06fUrFTC
1948073113_399700035174019072 x	RT @soRealTrueLove: Signs you're falling for him http://t.co/jZgYoUbMgr
1948073113_399691101755293696 x	Some may call it destiny. Some may call it meant to be. But I just call it you-and-me.
1948073113_399676073622786048 x	They keep saying the right person will come along, I think mine got hit by a truck.
1948073113_399660975629938688 x	Sometimes, you wish that certain people was as easy to forget as it was to love them.
1948073113_399645991176912896 x	If you like someone, show it. Don't wait for the other person to make the first move because it'll just become a waiting game.
1948073113_399630996473008129 x	If you're having a hard time letting go, realize that if they wanted to stay, they'd still be there.
1948073113_399615883254824962 x	If you're offended by my opinions, you should hear the ones I keep to myself.
1948073113_399600928736555008 x	Love is a uninvited visitor. It never tells when it's coming and when it's leaving.
1948073113_399585938818342914 x	No matter how hard my day is, you always find a way to make it better.
1948073113_399571099165265920 x	There isn't a day that goes by where I don't, at some point...think of you.
1948073113_399556165639471108 x	Just because you've been hurt by one person doesn't mean you have to punish the whole world.
1948073113_399541166703521793 x	Dear boyfriend, I'm going to always help you however I can whether you want me to or not, that's a promise.
1948073113_399525923285778434 x	Sad when someone can walk right by you and pretend you were never a big part of their life.
1948073113_399510925306126337 x	My love for you is like a mirror; You can break it into a million pieces but when you look close...You're still in it.
1948073113_399496000710000640 x	Eventually, a girl gets tired of being with assholes. She eventually falls for the sweet guy, and it changes her entire life.
1948073113_399481097869729793 x	Smiling is good for the heart, laughing is good for the soul and loving will keep you living, laughing and smiling.
1948073113_399466242202820611 x	Changing your looks and personality to please someone is a waste of time because if they really love you they would accept ALL of you.
1948073113_399451374628261888 x	I have embraced many memories in my life, but the one I admire the most was when I met you.
1948073113_399436572010893312 x	I love seeing Old Couples, it makes me believe that love can last forever.
1948073113_399421912117284865 x	Here's to the kids that fell so hard for their bestfriend, knowing that it would ruin everything, but still took the risk.
1948073113_399412325394186240 x	RT @DizJustinBieber: Funniest breakup texts http://t.co/RZKzsACBg1
1948073113_399407110078738433 x	Life is good, life is great. Always love and never hate.
1948073113_399401080171528192 x	RT @DizMilaKunis: Why the Single Life is the Best http://t.co/0S9Sw7ZDBP
1948073113_399392292097630208 x	I don't know what the key to success is, but the key to failure is trying to please everyone.
1948073113_399385187660103680 x	RT @ImMeaganGood: Why I hate Lindsey Lohan http://t.co/4ohmA4K8a1
1948073113_399377589166284800 x	My love for you is like a mirror; You can break it into a million pieces but when you look close...You're still in it.
1948073113_399375103622131712 x	RT @BadSluttyGirl: Damn her boobs http://t.co/T5Sb3KnTtg
1948073113_399368251832274944 x	RT @ImMeaganGood: How to lose weight fast http://t.co/RSvqVl1mM6
1948073113_399362812675231744 x	Love the friends you have. Forgive the ones that hurt you. and NEVER let go to a memory that made you happy.
1948073113_399356475640131584 x	RT @iSoRealLove: Worst First Jobs Ever http://t.co/tKIACs9wLo
1948073113_399350617766125569 x	RT @iTeenageLoves: Tips to Make Hair Grow Fast and Healthy http://t.co/6bhX4s5Tcl
1948073113_399348261011484674 x	When it comes to going after what you love in life, don't take no for an answer.
1948073113_399337614844915712 x	RT @JustALovePost: Tips For A Flat Stomach http://t.co/2858T1h8ut
1948073113_399333584386785281 x	When you fall for someone's personality, everything about them becomes beautiful.
1948073113_399329615808065536 x	RT @soRealTrueLove: Best movies to watch with your boyfriend http://t.co/ed1QnL98UY
1948073113_399309610554621952 x	That awkward moment when you know something but you don?t know how to explain it.
1948073113_399295050535804928 x	For every day, I miss you. For every hour, I need you. For every minute, I feel you. For every second, I want you. Forever, I love you.
1948073113_399279900734935040 x	When a boy gets jealous its kinda cute. But when a girl gets jealous, world war III is about to start.
1948073113_399264636731551744 x	I love you, but I hate you. I miss you, but I'm better off without you. I want you out of my life, but I never want to let you go.
1948073113_399249514357198848 x	When you finally think you're over someone, then they look at you and it all comes rushing back.
1948073113_399234635315412992 x	Dear people who update their Facebook status every 30 seconds, There's Twitter for a reason.
1948073113_399219519698112512 x	That annoying moment when you're talking, then interrupted & can't remember what you were talking about.
1948073113_399204614534213634 x	Going shopping with money and nothing to find. Going shopping without money and wanting everything in sight.
1948073113_399189896058765313 x	I love those memories that randomly pop into my head and have me smiling like an idiot for ages.
1948073113_399174825907720192 x	I love that kid in class who asks the teacher stupid questions just to waste time.
1948073113_399159853026795521 x	We're not friends, we're not enemies. We're just strangers with some memories.
1948073113_399144735224242176 x	The worst thing about being lied to is knowing you weren't worth the truth.
1948073113_399129580742512640 x	One of the hardest things in life is figuring out the difference between friendship and love.
1948073113_399114301639622657 x	It doesn?t matter how long you?ve known him. If he?s kept you smiling since day one, don?t lose him.
1948073113_399099402318397441 x	Strangers think I'm quiet, my friends think I'm outgoing but my best friends think I'm insane.
1948073113_399084653430063104 x	Struggles are required in order to survive in life, because in order to stand up, you gotta know what falling down is like...
1948073113_399069639268782080 x	Before I go to sleep, I start imagining things that I would like to happen.
1948073113_399054889201840128 x	Everyone wants the truth, but no one wants to be honest.
1948073113_399040111213412352 x	I listened to all your lies, bullshit, and sweet talking. I trusted you. I gave you my all and you just let me down, I hope you're happy!
1948073113_399025317974532098 x	i seriously hate it when my parents start the ?when i was your age? lecture...
1948073113_399010546378223617 x	I apologize to all the people who don?t have Twitter cause they?re not cool like us ^_^
1948073113_398995751956512768 x	Don?t just dare to dream, dare to live your dreams.
1948073113_398980845274267648 x	When you hate one bitch, another bitch hates you for hating that bitch. It's just a triangle of hating bitches.
1948073113_398971577926037504 x	I felt special. Until I realized you talk to everybody like that.
1948073113_398956440842272768 x	Real boyfriends & girlfriends are there for each other thru good & bad arguments & fights, rumors & lies, ex's & hoes & smiles & laughs.
1948073113_398941403327115264 x	She likes a guy that can make her smile & laugh easily.
1948073113_398926195326066688 x	It's crazy how I automatically smile when I talk to you.
1948073113_398911059886473216 x	Being with you, is the only place I want to be right now..
1948073113_398895776312471553 x	Meeting someone accidentally, then having them become a huge part of your life.
1948073113_398880726046605312 x	If I didn't care, I wouldn't have stuck around this long.
1948073113_398865624555720705 x	She may not be the girl that everyone wants, but at least she's not the girl that everyone had.
1948073113_398850390218649600 x	Being pulled in closer during a kiss >
1948073113_398835435171872768 x	You can never "just be friends" with someone you fell in love with.
1948073113_398820488085909504 x	The worst feeling is pretending you don't care about something, when really it's all you seem to think about.
1948073113_398805385802313729 x	I?m not perfect, but I?m loyal.
1948073113_398790442914811904 x	A relationship where you can just stay at home together instead of going out >
1948073113_398775550610665472 x	Sometimes the worst thing that's ever happened to you is the best thing for you.
1948073113_398760645740335104 x	When they hold your face while kissing you >
1948073113_398745762336489473 x	It sucks when you know that you need to let go but you can?t, because you?re still waiting for the impossible to happen.
1948073113_398730811244965888 x	I felt special. Until I realized you talk to everybody like that.
1948073113_398715924783460352 x	Behind her smile, is a story you would never understand.
1948073113_398701135470395392 x	Those text messages that make you sit there smiling at your phone forever.
1948073113_398692087303913473 x	RT @ImMeaganGood: Worst First Jobs Ever http://t.co/NIiUcLmJSZ
1948073113_398686259041673216 x	I'm not perfect, I make mistakes, I hurt people, but when I say sorry, I actually mean it.
1948073113_398682152855801856 x	RT @BadSluttyGirl: Damn her boobs http://t.co/T5Sb3KnTtg
1948073113_398677323399954433 x	RT @JustALovePost: Tips to Make Hair Grow Fast and Healthy http://t.co/2fGlyyZnLp
1948073113_398671472463339520 x	A real relationship. Has fights. Has trust. Has faith. Has tears. Has hurt. Has laughter. Has weird, stupid, unnecessary arguments.
1948073113_398662763699924993 x	RT @DizAmandaBynes: How to make your bf happy http://t.co/IReIuBYYPd
1948073113_398656663395106816 x	I don't want perfect, I want honest.
1948073113_398656147051134977 x	RT @iSoRealLove: Tips For A Flat Stomach http://t.co/SiOOlKjs36
1948073113_398647629883535360 x	RT @iTeenageLoves: Best movies to watch with your boyfriend http://t.co/TD3hS4njKW
1948073113_398641858412158976 x	Care too little .. You'll lose them. Care too much .. you'll get hurt.
1948073113_398628625735368704 x	RT @JustALovePost: Guys who dress like this >>>>> http://t.co/xp12rW7xHZ
1948073113_398627022504607744 x	I can't lie, I miss you..
1948073113_398623194455605248 x	RT @soRealTrueLove: How to lose weight fast http://t.co/rEIRiLmTm0
1948073113_398611909798137859 x	I miss that hug, I miss being with you, I miss our talk, I miss laughing with you. Shortly, I miss you.
1948073113_398586500461236224 x	"Hey :)" "Hey" .. No smiley? Yeah, fuck you too.
1948073113_397867896086335488 x	A jealous woman does better research than the FBI.
1948073113_398571274630230017 x	Once you've been hurt once, you get scared to get attached again because you think everyone you love afterwards will hurt you.
1948073113_398556196568719361 x	If Big Sean's voice was Siri's Voice on the iPhone 5.. "Turn left boiiii... Wait, HOLD UP! Whoa Dereee! Wrong way! Swerveeeee.
1948073113_398541069274464256 x	Real boyfriend = calls you for NOTHING, texts you all the time, wants to see you, gets jealous, over protective & LOVES YOU.
1948073113_398526077934370816 x	Yeah I miss you. I miss us. I miss having you to talk to whenever I wanted. But I know I have to move on, because this is pointless.
1948073113_398510948253585408 x	You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything.
1948073113_398495662469169152 x	Jealousy = I actually care about you.
1948073113_398480604779384832 x	The awkward moment when you?re trying to get over someone you never even dated.
1948073113_398465574063198208 x	I'm afraid you'll find someone prettier, smarter, cooler, taller, skinnier, nicer, calmer, clearer, stronger, better than me.
1948073113_398450640189272064 x	The hardest part is to let go of someone you know that will never be yours but something in your heart tells you to keep trying.
1948073113_398435534168530944 x	No girlfriend should EVER feel like she's in a competition with another girl. PERIOD.
1948073113_398420544405532672 x	There are certain things in life that are better unknown. Things you wish you never asked, never saw, never heard or never even felt.
1948073113_398405668123578368 x	Smiling is so much easier than admitting you're hurt.
1948073113_398390684605890560 x	Sometimes when I push you away, its because I want you to pull me closer.
1948073113_398375605416120320 x	I really fucking miss you.
1948073113_398365038970298368 x	RT @DizMilaKunis: OMG I want these clothes :( http://t.co/2GdVABzjEc
1948073113_398360768799711232 x	I miss having someone that cares about what I did yesterday, what I'm doing right now, and what I'm going to do tomorrow.
1948073113_398347135210381312 x	RT @ImMeaganGood: Hope my boyfriend get me this for Christmas http://t.co/bvQLtJl8rR
1948073113_398345801853722624 x	Don't cheat on a girl that gives you the world.
1948073113_398339333318389760 x	RT @CHRlSBROVVN: How to Impress a Girl http://t.co/tKESrws3dW
1948073113_398330786941636608 x	There's no need to rush. If something is meant to be, it will happen. In the right time, with the right person, for the best reason.
1948073113_398330513787596800 x	RT @iSoRealLove: Why the Single Life is the Best http://t.co/HKcSko4g0P
1948073113_398315747539025920 x	His smile. His lips. His laugh. His hair. His eyes. His hands. His humour. His smirk. His weird faces. R-T if you thought of someone.
1948073113_398312167239196672 x	RT @iTheLoveQuotes: How to get a nice ass http://t.co/GC7h9TcSO7
1948073113_398300785429069824 x	Damn. I want to see you. & Hug you. & Make you smile. & Make you laugh. & Just lie on the couch next to you. & Then fall asleep beside you.
1948073113_398297083339231233 x	RT @LoveIsSoReal: What You Should Never Text a Guy http://t.co/xfmFB4PZiK
1948073113_398285910623526912 x	We met ? We talked ? We liked ? We called ? We texted ? We dated ? We committed ? I loved ? You cheated ? We're done.
1948073113_398281893403041793 x	RT @soRealTrueLove: Funniest breakup texts http://t.co/z931qwcz8o
1948073113_398270858780610560 x	Remember when you cared? I miss that.
1948073113_398256095421952000 x	Sometimes when I push you away, its because I want you to pull me closer.
1948073113_398241281291206656 x	When two people are meant for each other, no time is too long, no distance is too far, and no one can ever tear them apart.
1948073113_398226306082430976 x	Treat your girl right, or sit back and watch someone else do it for you.
1948073113_398200457308278784 x	A TRUE RELATIONSHIP has tears ? fights? trust? faith? pain? arguments? patience? jealously? and most importantly LOVE ?
1948073113_398185299219456000 x	The best nights are usually unplanned, random, and spontaneous.
1948073113_398170076848738304 x	Your heart says "yes", your head says "no", and you say "i dont know."
1948073113_398155032459112448 x	"Dude, that song is old...""Well, so is your mom, but you still listen to her."
1948073113_398140062925213697 x	Lets take a moment and thank God that spiders can't fly.
1948073113_398125090895720448 x	You have to go through the worst to get the best.
1948073113_398110113115815936 x	I find it cute when boys - Make weird faces. - say "aww" - use smileys - Bite their lower lip - Laugh - Have proper grammar - Tease you
1948073113_398095213173809152 x	I got 99 problems and school is every single one.
1948073113_398080270634450944 x	I blame everyone for my problems. Except Shaggy, because we all know it wasn't him.
1948073113_398065199741026304 x	I love how you smile when you talk to me.
1948073113_398050049814310912 x	if you only knew how much l think about you.
1948073113_398034811635261441 x	Sometimes I wish I could hurt you the way you hurt me. But I know, if I had the chance to, I wouldn't.
1948073113_398019859591606272 x	I hate it when you can't stop thinking about that one person...and deep down inside, you doubt they are actually thinking about you.
1948073113_398004482509795328 x	Claim your girl, love your girl, do your girl, spoil your girl, be faithful to your girl, trust your girl, & she will stay your girl.
1948073113_397989251511382017 x	A B D E A R M O M I L O V E Y O U S O M U C H R S T U V W X Y Z (Retweet if you got the message)
1948073113_397974056042893312 x	Beauty isn't about having a pretty face. It's about having a pretty mind, a pretty heart, and a pretty soul.
1948073113_397958791158714368 x	Don't give up on the things that make you smile.
1948073113_397943621216780288 x	You fight with the most important people in your life because those relationships are worth fighting for.
1948073113_397913445904814081 x	Be with someone who loves you for who you are, not who they want you to be.
1948073113_397898303079059456 x	Your heart says "yes", your head says "no", and you say "i dont know."
1948073113_397852726828089344 x	Don't waste your time giving someone a second chance, when there is someone better out there waiting for their first.
1948073113_397807396497522688 x	I love who I am, I'm happy of who I am and I'm proud to say that.
1948073113_397792310223572992 x	I still remember how we started talking, I trusted you with things I would of never trusted anyone else with, and then you left.
1948073113_397777279935193089 x	You're the only one who can make me smile with a simple "hi".
1948073113_397762213533859841 x	"Dude, that song is old...""Well, so is your mom, but you still listen to her."
1948073113_397747155839905792 x	Hold her hand in public, it's like saying you are proud to have her ?
1948073113_397732060837584896 x	Summer clothes > Winter clothes
1948073113_397717191501418496 x	Your relationship ended. Not your life. So wipe your tears and keep living.
1948073113_397701508247986176 x	I miss when I was little, and didn't care about my weight, clothes, or hair, I just did what made me happy.
1948073113_397686188900753408 x	I don't care about anybody else, I just want to be good enough for you
1948073113_397671151398158336 x	That moment when you wait for a text but then you realize you're the one who didn't reply.
1948073113_397656173190471681 x	You + Me + Vodka - You = Happiness
1948073113_397641056751087616 x	I'm not okay, but I smile.
1948073113_397625987946381312 x	Breathe, it's just a bad day.. not a bad life.
1948073113_397610895389360128 x	I don't even care anymore.
1948073113_397595851440156673 x	One bad relationship could make you never want to fall in love again.
1948073113_397593354155741184 x	RT @iTeenageLoves: Signs that He Really Likes You http://t.co/EdNdMCzlJp
1948073113_397580377536995329 x	I have never wanted someone so badly as I want you
1948073113_397570378022678528 x	RT @HowGirlsThinks: Ways to Make Your Boyfriend Happy http://t.co/3hlCKnAD5m
1948073113_397565339405258752 x	If i text you after "k" your ass better feel special.
1948073113_397558482271879168 x	RT @ImMeaganGood: Cutest fall outfits http://t.co/4jMJi9bJCP
1948073113_397554083491373056 x	RT @LoveIsSoReal: Signs that He Really Likes You http://t.co/98vx0aiX16
1948073113_397541187063541760 x	RT @soRealTrueLove: Signs you're falling for him http://t.co/jZgYoUbMgr
1948073113_397535320637321216 x	I got 99 problems and school is every single one.
1948073113_397534239773573120 x	RT @ImMeaganGood: How to impress a girl http://t.co/dUSeyw6LHU
1948073113_397526112688828416 x	RT @BadSluttyGirl: Damn shes hot http://t.co/WlONS8kh6f
1948073113_397520346162528258 x	Don't lead someone on. If you like someone, then tell them. If you just want to be friends, then don't make them think they have a chance.
