39944442_382361375663591424 x	@jennag812 Jenna ROSSSSEEEEEEEEEE gross
39944442_354790635166896131 x	Opening for @AmyHelmMusic at the @StanhopeHouse on August 15th.  Her father is Levon, from "The Band" and I grew up in Nazareth (The Weight)
39944442_354009810003439618 x	@AlGore - this heat is ridiculous, and it's everywhere, not just the east coast.  I saw 112 degrees in Arizona,... http://t.co/Ar3jI8UXk7
39944442_353383575095226368 x	NO ONE ****EVER**** TOLD US JUST HOW LONG IT WOULD TAKE.... to grow young
39944442_353217388700901379 x	http://t.co/BFwRzNgn9c  hahahahahahahahaahhaha @DaymDrops - I laughed so hard at 1:52
39944442_353135121815175169 x	Hope you all had a very great 4th of July! Tonight, performing at Palace Pizza Bar & Gril in Whitehall PA at 9pm... http://t.co/YVu1Of0Sh1
39944442_352626007351631872 x	Retweet this or reply if you think the George Zimmerman trial is going to end up as a hung jury.
39944442_353033032673927169 x	@VonTardisGirl Me too. I watch a little bit of it everyday.
39944442_353032873223266304 x	Jordan White tickets, concerts and tour dates #Ticketmaster http://t.co/EVIoitM7d1
39944442_351959346999083008 x	So, we've sold 42,000 copies of the EP "Four Songs" mostly online thru iTunes and Amazon, and a buncha record... http://t.co/FTX9bwSm8n
39944442_351959177138151424 x	So, we've sold 42,000 copies of the EP "Four Songs" mostly online thru iTunes and Amazon, and a buncha record... http://t.co/huqzNqF8FJ
39944442_351955448028602369 x	I love you all.  Thank you.  I really do
39944442_348523329587650561 x	Retweet this if you think moving sucks.  Box after box after box and something ALWAYS gets broken and/or lost.
39944442_347512570640482306 x	I can't believe Jimmy Gandolfini is gone.... now that series finale means even more to me that it did before, in the last final scene
39944442_347225540534599680 x	@stephanjenkins you made my night with "Blue" (especially "Darkness" and "Farther" so many times, we're not even close to even. someday
39944442_347221595988844544 x	@ThePeoplesChump @stephanjenkins LOL @ Forest "Chump" - I love it. made me laugh at 1:18am really loud. probably too loud.
39944442_347211429046263809 x	Playing catch-up with 2012 local music releases | http://t.co/NiX2I4czhu http://t.co/waPc4CfuWZ
39944442_347210971414147072 x	http://t.co/cTuB3JjFgN
39944442_347184984060219392 x	Jordan White "Four Songs" EP in stores http://t.co/8XRaZSchiZ
39944442_347181525449723904 x	Jordan White "Four Songs" in stores, tucked nicely on the shelves between Luther Vandross & Stevie Wonder :)  If... http://t.co/EQguCVZgLu
39944442_345781051928485888 x	Jordan White's: "Four Songs" EP on iTunes including the song you may have heard on radio, "Maybe, Amy" -click here: http://t.co/BY8Cf0HcUZ
39944442_344274434460368896 x	@JohnMayer see you on August 27th? Opening for you at Allentown Fair, Mr. Mayer
39944442_344274116297256960 x	@jord_colna enjoy it while it lasts. you'll miss it later
39944442_343043086768812032 x	RT @morristapngrill: We are excited to have Jordan White here tonight at MTG!  #amazingtalent http://t.co/MBHsL3KDN9
39944442_342840486949695488 x	RT @YourLocalNote: What makes @JordanFWhite  stand out from the rest? Find out in this week's featured podcast! http://t.co/HyIykA4urY #Sup?
39944442_342812849887920128 x	Hey everyone, check out an awesome band I came across recently, total Led Zep feeling..  @shadowplayrock
39944442_342812488154353665 x	RT @YourLocalNote: Plenty of chances to see @JordanFWhite perform this month. Learn more about him in this week's featured podcast!  http:/?
39944442_342811988470157312 x	@TaiyamoDenku retweeted to 400k people!! :)
39944442_342811917963886593 x	RT @TaiyamoDenku: @JordanFWhite Hey whats good Fam , Could ya Check My new song , Feedback Appreciated RT if you Dig It #respect https://t.?
39944442_342811867640635392 x	@nandipabyb3347 @IleshKandolaquA @VicmarOrtilanon @Cr4zyUncleJoe @IbraheemMopelol all followed. done!! :)
39944442_342811693639950336 x	@mariatweetsthis @NP6 @NickKournetas @diannemhawkins done
39944442_342811597548437504 x	@Shadowplayrock @jennag812 @YourLocalNote word of mouth, the best way :) shoot them an email
39944442_342258581212647425 x	Playing Saturday for Alex's Lemonade Stand Foundation in Nazareth, Pennsylvania (hope it doesn't rain)!! http://t.co/IQvIDf3qdW
39944442_342079133855133696 x	http://t.co/dXG64yG5Mx
39944442_341603495876648961 x	Podcast Interview with RJ at @YourLocalNote @ NBC WPHT-AM Studios -- click here to listen online: http://t.co/iwqMz9b7UU
39944442_341673977816682496 x	@aceofdartsjimbo @YourLocalNote thank you so much for listening :)
39944442_341612210516271104 x	Today's podcast: http://t.co/4ik4zWsEa4
39944442_340538444004597760 x	@DipCo beer is perfect for any occasion :)
39944442_340352194417139713 x	RT @jennag812: @JordanFWhite @Fossil very nice, love the mono-color combo
39944442_339790862093529088 x	Listen for 'Maybe, Amy' on Philadelphia's @B101Philly along with an interview with Jordan White http://t.co/8VgxbMxKXX
39944442_339397531232522241 x	w/ Michael Glabicki of @RustedRoot post-show at @stanhopehouse. Thanks to all you wonderful people who came to see us http://t.co/0zeQOPwwje
39944442_334393648886194176 x	@Phillips looking forward to performing with you & @JohnMayer at the #AllentownFair in August!
39944442_339214071293427712 x	@youvBeenflASHed Yep. http://t.co/70NfZMu2re
39944442_336312912169811969 x	From Jim Price's (PA Musician Magazine) review of the Blair Arts Festival show in Altoona today: The Hawks did... http://t.co/OpYxLV5YYB
39944442_335202346256719872 x	@dylanava great to work with you today, you and your guys have some great ideas, thank you and have a good trip
39944442_334882975047098368 x	I #recommend the *David Ivory @myPPK - #PowerPressKit http://t.co/baLi4he7vI
39944442_334000463072591872 x	The Daily Item, (5/9/13) & upcoming show on May 23rd at Turkey Hill Brewing Company in Bloomsburg, Pennsylvania http://t.co/DzNEbGLmAz
39944442_333082932761747456 x	@johnmayer thank you for having me play with you in August at the Allentown fair
39944442_332685089995636736 x	On a lighter note.... my #chihuahua, Riley http://t.co/UDPWzALRnh
39944442_332503023723106304 x	http://t.co/0nplpAboml  See that person?  Look at what she wrote at the bottom (before blocking me)   http://t.co/vd7VMuEmIG
39944442_332516668188262400 x	@ceobajasurdelso I agree its one of the worst things you can say 2 a son. hope when she loses a parent she knows what its like and regrets
39944442_332514944627122177 x	RT @ceobajasurdelso: @JordanFWhite Glad you blocked her!!! That's terrible that she would post that!!  Good riddens, Sarah!! XO
39944442_332514895134326784 x	RT @DutchGuyOnAir: @JordanFWhite There will always be haters brother :(
39944442_332495818831564800 x	RT @jonasdk89: Loving @jennbostic her CD! #Jealous #music
39944442_331938903995076608 x	This is a message I received from a former band mate's father, a 45 something year old man. He either wrote it... http://t.co/E8K6w3fdGL
39944442_332492382002110465 x	@wilsola thank you :)
39944442_332492356026761216 x	RT @wilsola: @JordanFWhite wow....I am also following you on facebook..
39944442_332381058383347713 x	RT @NightNightMary: @JordanFWhite Wow! It's hard cause of all the egos. And now you have to deal w/dad? So sorry! Hey, how did the car rent?
39944442_332119338838540289 x	PROTECTED
39944442_332380766166200320 x	@NightNightMary it went well!!!! Enterpirse treated us well
39944442_332380621513060352 x	@VonTardisGirl good question.  did you read the email he sent me? out of the blue?? unreal
39944442_332372692072288256 x	More band drama.  ridiculous https://t.co/thdKb65GmZ
39944442_332099171857342466 x	@RinaDesynta thank you :) I really appreciate it
39944442_331949327717113856 x	@wilsola thanks, appreciate it :)
39944442_331945725321699328 x	@jurobbins thanks, appreciate your support :)
39944442_331932091321286657 x	HILARIOUS. https://t.co/VIopWj0fhH
39944442_331927361513730050 x	Hey everyone, this is an e-mail I received from a former band mate's father, a 45 something year old man.   He... http://t.co/b4NsLB5251
39944442_331831567607558145 x	@theratail thanks so much :)
39944442_331506159397781505 x	@jurobbins here's one from our weekend mini-tour to Maryland & Delaware http://t.co/vL0DKkgT6v
39944442_330927647137857536 x	RT @CosmicMonsterTV: Check out my good friend @JordanFWhite and grab a copy of his newest release "Four Songs". #bloodshot
39944442_330927613843484674 x	RT @RinaDesynta: Wish u all the best"@JordanFWhite: In studio at 98.1FM Ocean City Maryland autographed guitar for charity @ocdj #ocmd #Sea?
39944442_330461442748870656 x	In studio at 98.1FM Ocean City Maryland autographed guitar for charity @ocdj #ocmd #Seacrets http://t.co/E08PkT4LLD
39944442_330456749180071938 x	Follow this awesome DJ @ocdj -- best in Ocean City, MD
39944442_329031489859751936 x	@stephanjenkins for the first time in 6 years, we were told NOT to play "Semi-Charmed Life" at the Phillies game bc the lyrics are "dirty!"
39944442_329775954849325056 x	@razzablocki @stephanjenkins I agree.  We play originals and like 4 covers, and Semi Charmed was one of them.  They asked us not to play it!
39944442_329772674077302784 x	RT @jennag812: @JordanFWhite @enterprisecares wow, according to the stats (I'm admin of the fan page & have access to data) over 500k v?
39944442_329772589935374338 x	@NightNightMary  like 1 million people saw our poor experience with Enterprise, and I will recant that if they make good this weekend
39944442_329772250649743360 x	@fsbsuperv Absolutely, already spoke with @Hertz :)
39944442_329679292952883200 x	Funny Wedding Photo: Groomsmen Recreate Awkward Prom Shot (PHOTO) http://t.co/d7VdorP1tB via @HuffPostWedding
39944442_329679632729247745 x	@HuffPostWedding BTW, guy on the left is my brother
39944442_329031865061228544 x	@stephanjenkins We were shocked, though I remember you saying you still can't believe they play that song on the radio
39944442_329265298635124736 x	@razzablocki @stephanjenkins those were the venue's words "the lyrics R dirty and questionable" perhaps the "when I fell asleep inside you"
39944442_329263219401170945 x	Looks like a lot of people agreed with me about problems with Enterprise rental.  https://t.co/UXJU5uhlJG
39944442_329067175983853569 x	Warming up before performing at the #philadelphia #phillies game http://t.co/UEnKPuMxQr
39944442_328913787224739840 x	@ltsBreezy @Factsionary I was already following both of you.  Follow me back! :)
39944442_328665870459097088 x	@enterprisecares Your company failed us and we had a terrible experience.  Your employee lied to our faces. Quakertown, PA office.
39944442_328695045404364800 x	@enterprisecares ooh okay I just saw the direct message. will email you the details
39944442_328694779955273729 x	@enterprisecares Email? would be long convo here. 1 thing I have 2 say is my manager said we would let 600k ppl know and he said 'go for it'
39944442_328669711032266752 x	RT @mspenn1013: @JordanFWhite that sucks so bad.  I had issues with them after an accident. Kept trying 2 tell me I only had $25/day cov bu?
39944442_328669655055101952 x	P.S. I advised their management if they didn't make good I would write this to 600,000 people.  and here I am
39944442_328666200445956097 x	I strongly advise against renting a car from ENTERPRISE.  Terrible experience.  Use @Avis or @Hertz insead, 2 companies who have been great
39944442_327291506266357760 x	Great news! 1) Tomrw I'm playing at the #Phillies game, 2) My brother Austin is getting married on Saturday, and 3) We just bought a house!!
39944442_327506339997827072 x	@NightNightMary thank you sweetie :)
39944442_327294485472083968 x	@JoshuaSean2 thank you Josh :-)
39944442_326070402717716483 x	My guitar teacher when I was 14. Jim Carolan. and he's also a great songwriter.  Here's his facebook page: https://t.co/Zs6oK2tXvh
39944442_400055542833745920 x	We can post blogs too.  This one has been going since July 2002. http://t.co/GKkj98675s http://t.co/xXlRrolCWz
39944442_400069536126611456 x	I posted a new photo to Facebook http://t.co/Hk3F34oTCA
39944442_400068492445356032 x	I posted 8 photos on Facebook in the album "CBS-3 Philadelphia "Talk Philly" Appeareance" http://t.co/VfuqysV3lO
39944442_400067104629850112 x	I posted a new photo to Facebook http://t.co/rh02Io8UN3
39944442_400066817802391553 x	I posted a new photo to Facebook http://t.co/COmEpBXeNA
39944442_400066410304782336 x	I posted a new photo to Facebook http://t.co/OtdFJUF1VV
39944442_400065714771746816 x	I posted a new photo to Facebook http://t.co/UU3BtueKpJ
