299088679_391947559897268224 x	RT @Troman88: Not to brag, but even my douchebag is a Louie Vuitton.
299088679_384693239921385472 x	RT @HEYMYMAN2012: The car Jesse stole has Sirius but @HowardStern is on vaca & is playing best of @JackieMartling. Jesse drives off the sid?
299088679_384693219297984514 x	RT @HEYMYMAN2012: Jesse is stopped for speeding as he leaves the compound and makes nonsensical anti Semitic remarks toward cops. #lethalen?
299088679_383966634064371712 x	RT @luisjgomez: Can't tell if Dave Navarro is worse @ playing a Mexican on Sons of Anarchy or playing someone who knows about tattoos on In?
299088679_383722687719157760 x	Im not sure if you guys have seen the last epsiode of Dexter but Whitney Houston had more of a surprise ending.
299088679_383709305553178624 x	Everytime there's a Latin Mass an entire crime family gets its wings.
299088679_383707536915853312 x	RT @BobbyBucchae: Black? Getting drunk? Don't worry, No dicks can be drawn on your face.
299088679_383641576326434816 x	RT @WonderMonkey78: "Fuck the police until you get an offer to play one on TV." - Ice T
299088679_383641446638567424 x	RT @WonderMonkey78: I should not be trusted with having a child. I lose my TV remote every single day. And I fucking love my TV.
299088679_383637123896586240 x	@WonderMonkey78 deaf people
299088679_383631980312555520 x	When I checked at @kanyewest's Twitter page I noticed he was only following one person, so naturally I expected it would be @KrisHumphries.
299088679_383627406126239744 x	RT @CoopSoSarc: My cry for help is usually yelling for more toilet paper.
299088679_383627194347425792 x	RT @CoopSoSarc: I'm done deleting tweets. If you don't like what I have to say, get in line behind my wife.
299088679_383627049404887041 x	RT @CoopSoSarc: Daughter yells "I love bananas, the bigger the better".    Wife and I laugh hysterically,  Then I die a little inside.
299088679_383622757256159232 x	RT @Ameiam: I'm really surprised I decided to get Botox.  At least I think I'm surprised, I can't really tell.
299088679_383616428839948288 x	RT @OnlyFastEddie: I had my ring finger removed just to be safe.
299088679_383614581316132864 x	RT @AphroditeAfter5: You can't trust anyone you meet online  I went on a date with a guy I met online last week and stole $250 from him
299088679_383613961624502272 x	RT @CheryeDavis: According to my Nike fitness app, I watched TV for 6 miles this week.
299088679_383613389173293056 x	RT @Willie1derful: Relationship Status - Packing
299088679_383612972217556992 x	RT @Douchekevin: If she's giving you a blowjob,the least you can do is a scalp massage followed by a french braid.Maybe some highlights if ?
299088679_383612884430770176 x	RT @Douchekevin: Girlfriend told me she wants me to pull her hair , but apparently not while she's driving.   Girls are weird.
299088679_383612334750453760 x	RT @dshack8: You had me at "NEVER MIND I'LL DO IT MYSELF!".
299088679_383611927525482496 x	RT @dshack8: FACT: When a woman says "Put it wherever you want", it almost never applies to your penis or the heavy fucking furniture you'r?
299088679_383611730388996096 x	RT @dshack8: When 1 of my followers sends a shitty @ to someone I RT'd I feel like an embarrassed parent.  Sorry, he's mine. BOY GET YO ASS?
299088679_383611658343415808 x	RT @dshack8: Relax unattractive lady adjusting her skirt. U don't want me 2 see your vagina, & I don't want me 2 see your vagina. We're on ?
299088679_383611586193022977 x	RT @dshack8: Watched some old videos of The Jackson 5 and then Michael Jackson later in life and now my kids are terrified of growing up.
299088679_383611365031563265 x	RT @GingerAtLaw: Yesterday, a woman swam from Cuba to Florida. I spent an hour debating whether I should masturbate before bed.
299088679_383611129055813634 x	RT @GingerAtLaw: I've done two selfies so far this morning!  Wait...a selfie is a photo?!
299088679_383610999640571904 x	RT @GingerAtLaw: I was going to complain about haters until I remembered I was a nobody who tells shitty jokes on the Internet for stars an?
299088679_383610817502932992 x	RT @GingerAtLaw: You don't need to thank me for following you. I clicked a button on my phone, I didn't give you a kidney.
299088679_383610405349625856 x	RT @UncleDuke1969: Guy in line behind me at the market just kissed my neck.  Don't know what to do.  Do I apologize to the lady in front of?
299088679_383609228423741440 x	RT @RobElliottComic: Christopher is late  Christopher runs to bus stop  Christopher misses bus  Christopher Walken
299088679_383609129920499712 x	RT @RobElliottComic: This chick last night told me to Fuck her like her ex husband so I drained her bank accounts and banged her sister
299088679_383608889763041280 x	RT @RobElliottComic: Bruce Wayne gambles away his fortune  No more sweet cars or fancy dinners  Now he's broke and alone  -The Adventures o?
299088679_383608746309455872 x	RT @RobElliottComic: If I tell you the beginning of a song sucks and you say "wait for the beat to drop" I will immediately punch you in th?
299088679_383607378806976512 x	RT @heidi420x: if i could choose one super power right now it would be the ability to delete my number from other people's phones.
299088679_383606728534667264 x	RT @theawkwardful: I'd appreciate it if you don't call me out when I mumble the lyrics I don't know.
299088679_383583554682118146 x	PROTECTED
299088679_383601484199247872 x	@lannister80 @KimKardashian who's her bum, @KhloeKardashian?
299088679_383595960749674496 x	I know @kanyewest's Twitter says he's only following 1 person, but who's he kidding? For god sakes Kayne, Ray J should count as 2 himself.
299088679_383568456626368512 x	RT @Erik_Allen: The first rule of Jesus Club is you have to talk about Jesus Club!
299088679_383461177423958016 x	Im not sure if you guys have seen the last season of Dexter but Whitney Houston had more of a surprise ending.
299088679_383450870798491648 x	RT @roadkill3x: Watching ESPN talk about Mariano Rivera is like losing Anna Nicole all over again
299088679_383246398616907776 x	WOW! If I would've know taking about Kendall Neuner (@BarterKingsLady) on the show, would get this response... http://t.co/JROfJyqoXi
299088679_383209951637671937 x	RT @meoniee: An electric chair. But for people who refer to wolves as woofs.
299088679_383206793402257408 x	RT @JGFMercedes: If I'm ever on life support. ...  Unplug me and plug me back in.....  see if that works.
299088679_383101508440449024 x	Kim Kadashian, but far less slutty. #halloween2014
299088679_383101187597160448 x	Miley Cyrus, but sluttier. #halloween2014
299088679_383100365110927360 x	George Zimmerman, but slutty. #halloween2014
299088679_383093449714442240 x	RT @Kendall_LeighXo: "Drake's the type of ni**a to get fucked up on wine, throw up and ask you to hold his eyebrows back while he's vomitin?
299088679_383092955411533824 x	Check out the latest ep (#42) of my podcast @HEYMYMAN2012.  http://t.co/JROfJyqoXi
299088679_382550894832652288 x	RT @TitansHomer: Drake the type of nigga to own every season of Friends on dvd.
299088679_382549962375962624 x	RT @TitansHomer: Hey guys, Susan on Facebook isn't ready for Monday & needs just 1 more hour in bed.   Thoughts and prayers for her please.
299088679_382549836018380801 x	@TitansHomer yes, puff puff give...me a few hours to nap.
299088679_382548197240877057 x	RT @TitansHomer: Missed Connection: You were standing at the RedBox. I was in my car masturbating. I accidentally honked like 7 times.
299088679_382547541012656128 x	Tim Bradley couldn't beat Marquez with and sap and CJ Ross in his pocket.
299088679_382512464174129152 x	RT @TitansHomer: Todd > Heisenberg
299088679_381437754262814720 x	@SebastianComedy Parkour, ear lobe stretching, and competitive beard growing, are all currently more of a national pastime than baseball.
299088679_381428304185524225 x	RT @SebastianComedy: ?@bryandey: When did @starbucks become your home office? Go home ! #arentyouembarresed #whatswrongwithpeople http://t.?
299088679_381428218172952576 x	No worries @mycorreale, Murray Langston has a more recognizable face than Duff McKagen. @SebastianComedy
299088679_380371829954600960 x	@KKalebaugh that's just Osteoporosis, lady.
299088679_380657180472397824 x	@KKalebaugh that may be attributed to bad or worn elastic .  I would consult Web MD
299088679_380373017722777601 x	Jesus @Starbucks the last time I saw someone less committed it was  Aaron Alexis.   http://t.co/i6zDiQPw2j
299088679_380364976327639041 x	Oi, my heartburn! That Bavarian Cream was a colossal mistake. Ben Affleck himself wouldn't even have agreed to that role. #batfeck
299088679_380364128335835137 x	The writing on the last two seasons of Dexter was so BAD that it lit its hair on fire and then convinced Cory Feldman to snuggle with it.
299088679_380363880435691522 x	The writing on the last two seasons of Dexter was so BAD that it blew Macaulay Culkin.
299088679_379327322232336384 x	When you think about it, Mel Gibson makes less offensive calls than CJ Ross. #Mayweather #TheOne @FloydMayweather @HBOboxing @BoxingInsider
299088679_377488198609281024 x	I'm not sayin those @SonsofAnarchy guys are bitches, but combined, they've done less time inside than my sweet @lindsaylohan
299088679_377455319485386752 x	I'm not sayin those @SonsofAnarchy guys are bitches, but we're more concerned about getting guns out of the hands of George Zimmerman.
299088679_377450358273867776 x	I'm not sayin those @SonsofAnarchy guys are bitches, but @lancearmstrong's bike club was guilty of pushing more drugs.
299088679_377430562559893504 x	Sons of Anarchy:  How the @PeopleofWalmart spend their Tuesdays.
299088679_377289155232821248 x	RT @PaulVirzi: New TVE Podcast Show Episode 126 right here!!  http://t.co/rbb12Xv0iN
299088679_376778430697971712 x	Thanks stay at home dads. Some chick just told me, having to notify your insurance company you own a Pitbull is just an old husbands tale.
299088679_376749824948723712 x	Tebow wipes the sweat from his brow as he drops to one knee and opens the door to his oven.  He thanks God the wings aren't over done.
299088679_376744689770049536 x	CommentabeautifulFacebookpictureofafriendandhiswifebysayin# You guys look like you've grown apart. call me.
299088679_376740895363567616 x	@SebastianComedy Not embarrassed at all! http://t.co/SbswCyCMgc
299088679_376711827138170880 x	I heard there is a deleted scene in @BreakingBad_AMC where Marie is shown nude opposite @IamDonCheadle who was cast as purple. #BreakingBad
299088679_376708038452736000 x	RT @matsmoustache: I like the way you twerk it, no dignity.
