117872346_390272241491275777 x	@DesjarMAN11 It's on Spotify!
117872346_345876862364418049 x	@JT_Beaver  the struggle is real
117872346_345185857092853760 x	Half the power is out in school #whyamistillhere
117872346_345175466145095683 x	Oh yippie. MORE rain
117872346_345176709039022081 x	@rcrossellmusic Fills up the pool faster!!
117872346_344853034339270656 x	Well that math final was...absolutely horrible #peaceoutjunioryear
117872346_343474400483500033 x	Heading into Philly tonight to see Wayne Krantz and Ari Hoenig at Chris' Jazz Cafe!
117872346_343167246132195328 x	Today I feel like Drake when he steps outside to prove it's not raining. Well..."I got wet" #downpour #somuchrain
117872346_342083543301779456 x	This history project....brilliant #aplus
117872346_341237149762473984 x	It's impossible to drive down 70 without massive traffic. But I did enjoy the green apple Camaro dressed as a Decepticon #traffic #camaro
117872346_340792950164434944 x	SAT's this morning... ?
117872346_336957641194606592 x	A nice place for some jazz tonight #jazz #guitar #themansion http://t.co/xTbEVr30Ft
117872346_335178646568460288 x	On a day like today...it's just a bit stuffy up here http://t.co/saCMayW3rx
117872346_333410617794908160 x	6 down 4 to go
117872346_332622733395509248 x	And week number 2 of Legally Blonde starts tonight. Shows tonight, tomorrow night, Saturday night, and Sunday afternoon
117872346_329793479398010882 x	#UArts High School All Star #Jazz Band at Chris' Jazz Cafe tonite in #Philly. I'm popping out on the right. #guitar http://t.co/A8CHJPKqww
117872346_327490992980783104 x	On our way!! West #music trip to Myrtle Beach SC!! #myrtlebeach #jazz #guitar
117872346_325773964251131905 x	Go to #prom. Check. Play with the band performing at prom. Check. Ironic that I play #guitar. Priceless. #jazz http://t.co/E3dg0HhalX
117872346_325338003046289408 x	@nyusteinhardt today taking a tour and meeting David Schroeder, Director of #Jazz Studies #nyu #guitar #awesome http://t.co/waUnQKNUXj
117872346_325329144940474368 x	@nyuniversity today taking a tour and meeting David Schroeder, Director of #Jazz Studies #nyu #guitar http://t.co/a0GjCfPohd
117872346_323915517775708162 x	First concert with The #UArts High School All Stars Jazz Band tonight!! #pumped #guitar #jazz
117872346_323579046493552642 x	From The All South Jersey Jazz Concert to #UArts All Star Jazz practice. #jazz #guitar #hectic http://t.co/m4Jlq4x8IW
117872346_321776136650629120 x	Amp shopping tomorrow, and my guitar will be setup and ready to go!! #wolfgang #fender
117872346_321349180939460608 x	This Month: Guitar for ASJ Jersey Jazz Choir, #UArts All Star Jazz Band, HS music trip, #OneActs, and whatever else can be stuffed in. #busy
117872346_320654105418792960 x	Broadway Night, part deux...tonight. Show's at 7:30 in West's Auditorium. Tickets still available...yes? Maybe? Come on out!!
117872346_317715038779604994 x	@callmethedocta Really?!! I'm so oblivious to everything!
117872346_317662840070746112 x	When you get some time, check out @official_CT. I met the drummer during my tour at Temple's Boyer College of Music. http://t.co/iiRdtKhwnZ
117872346_316969855624560640 x	http://t.co/DzLeougxRx
117872346_316900789530546176 x	Heading up to New York today to visit Manhattan School of Music today #MSMNYC #newyork #guitar
117872346_316619817094361088 x	Stop number one on the college tour at Boyer College of Music and Dance at Temple today. #jazz #guitar
117872346_297714055488077826 x	Good Luck @xhaleyalexandra on your audition at #AGTNYC!
117872346_279381490398269440 x	West Winter Instrumental Concert tonight. I'll be playing in the Symphonic Band and Jazz Ensemble.
117872346_274292096817561602 x	Men's Night Out at Cherry Hill West New Auditorium. Cherry Hill vocal groups performing. I'll be playing in the "house" band.
117872346_267007216924647424 x	Heading over to Kimmel with Abes to see Chick Corea and Gary Burton's Hot House Tour featuring the Harlem String Quartet. #chickcorea #jazz
117872346_266971294703177728 x	New video up of me playing: http://t.co/pSVphmKG Head on over and 'like', subscribe, comment, and follow!! Thanks!! #patmetheny #jazz
117872346_239728038550593536 x	http://t.co/6qxP6yyu Here's a video I posted to my new music page, http://t.co/FODd7pvn. I will be posting more...soon-ish!!
117872346_225739949595586560 x	Playin? the geetar with my band at the #burlingtoncountyfarmfair #plusshippingandhandling
