311556648_395312983317807105 x	@associatesmind @FishtownLawyer Thanks! Looking forward to reading it. Congrats, btw.
311556648_386541264562556928 x	It's a perfect day for the #fishtown River City Festival. http://t.co/QSEWrTfHoU
311556648_386231852094476288 x	Tough day at the office. http://t.co/iuybqJXStX
311556648_386241053423976448 x	@fectin Both
311556648_386179342012657664 x	@iwelsh @ScottGreenfield @bmaz When you're not a child, you may have a worthwhile thought. Until then, be quiet when adults are talking.
311556648_386196071665242113 x	@iwelsh @bmaz Yes, @ScottGreenfield IS a big mean hurtful bully. Have your mommy give him a call.
311556648_386197334662455297 x	@iwelsh @bmaz Your comments was mean, and it made me sad. :( @ScottGreenfield
311556648_385482592943742976 x	@chrisgrant Are you going to the XBOX thing tomorrow at 2424? I've got extra tickets.
311556648_385510842281627648 x	@chrisgrant Yes, ticketed. If anyone from your staff wants to go I'd be happy to give you guys a few.
311556648_385134371591557120 x	RT @fishtown: Remember there is a HUGE zoning meeting for La Columbe distillery tonight at the Rec http://t.co/9IOrUyPIQ8
311556648_385122509508460544 x	Is the FCC considered essential? If not, I hope there are tons of swear words on the radio today.
311556648_384724663693504513 x	Just talked to a City of Philadelphia employee who said the city is laying part timers off because they can't afford Obama-care. Lol irony.
311556648_385122388871872512 x	@Matthew39259377 The irony is that the city's leadership lobbied hard for Obama.
311556648_384111857646071808 x	@Captien_Obvious My chili is only spices, meat, and tomato sauce like chili ought to be. Anything else is just soup. And lame.
311556648_384051323806957569 x	My kitchen, post chili cookoff. http://t.co/JDU07IMp2c
311556648_384094245939716096 x	@Jteisele It was the hottest chili in the contest, so a lot of people were too scared to try it. It wasn't super hot, but it was hot.
311556648_383961859533307904 x	RT @Greensgrow: The 6th Annual @subaru_usa Fall Festival kicks off in just a minute. Come enjoy the beautiful day with us! #subarugardens
311556648_383739851062771712 x	Met with a law student wanting advice. He left with a stack of articles by @btannebaum and @ScottGreenfield. Nothing from @SoloPracticeU.
311556648_383609930780925953 x	Dear counsel: thank you for mailing me a nice binder clip. The papers it came with were shredded as they were sent to me electronically.
311556648_383338199436648448 x	@ScottGreenfield @ABAJournal @Whataboutparis That was a great article.
311556648_383332831537422336 x	Best thank you evah!! http://t.co/nGQavtifve
311556648_382593114478620672 x	I like how clients think someone is an "expert" on something if they've blogged about it. Hint: anyone can blog about anything.
311556648_382860158650429441 x	@sixymomma8 Yes, exactly like that. My blog is living proof that any moron can start a blog.
311556648_382580713154830336 x	Dealing with inept lawyers is far worse than dealing with really good ones.
311556648_382640327351209984 x	@That_AC Inept lawyers do create a lot of internet lulz, for which I will be forever grateful for.
311556648_382176536272465921 x	@ScottGreenfield @clio Will there be free lunch...?
311556648_382190602441347073 x	@ScottGreenfield @njAtty @goclio Me? I have better things to do than go to a conference about nothing.
311556648_382179765697781760 x	@gideonstrumpet @ScottGreenfield @clio A company trying to sell you cloud computing will tell you cloud computing is ethical. And feed you.
311556648_382180811866243072 x	@gideonstrumpet @ScottGreenfield @clio Greenfield loves dubstep. No joke.
311556648_381157525971689472 x	@victormedina @ScottGreenfield @btannebaum Once you go Mac, you never go back. C'mon Scott. Do it.
311556648_381163574678142976 x	@ScottGreenfield @victormedina @btannebaum Brian is so tiny. No one would take him seriously.
311556648_380805932164198400 x	Don't forget, #Fishtown. Tonight at 7:00pm is our monthly FNA meeting, followed by the Eagles at Anthony's Cafe.
311556648_380702767993466880 x	Hey #fishtown, tonight at 7:00pm is the FNA general membership meeting. Followed by the Eagles game at Anthony's Cafe. Hope to see ya!
311556648_380020256393023488 x	@ali Unrelated... a gluten free diet has done wonders for my allergies.
311556648_380018887099559936 x	RT @BrianSimsPA: Please like & share to show your support for banning "conversion therapy? and to tell the hundreds of thousands... http://?
311556648_379964959393738752 x	@DieTrollDie Unrelated - I actually used a line from David Harris in court the other day. He should be a writer.
311556648_379965635930779648 x	@adamsteinbaugh @DieTrollDie It was the line about breaking into the house and at least stealing the money like an honest street thug.
311556648_379955897109196800 x	@LegalTypist I'm guessing @btannebaum will not be a keynote speaker.
311556648_379761583028568064 x	Picked up "The Paleo Manifesto" by @johndurant, which gets released tomorrow. This is going to be good. http://t.co/4lHROM1JJX
311556648_379702388929486848 x	Comparison of the medium thin @saddlebackbags briefcase with the large classic briefcase. http://t.co/PJIP63jdFg
311556648_379691195791724544 x	Philly Law Blog is in the @PennRecord today urging anti-SLAPP legislation. Check it out. http://t.co/V42JCOQs4s
311556648_379602061991505921 x	@jawshkruger I wil hit you up when I get out of court.
311556648_378867055639805952 x	Philly Law Blog: Pennsylvania to Introduce Anti-SLAPP Laws. Sign the petition. h/t @christoofar215 http://t.co/CRmvuh9s57
311556648_378638020427010048 x	@ScottGreenfield Shut up, Scott. That is Rachel Rodger's entire business plan.
311556648_378637833507852288 x	@ScottGreenfield The new normal: once you've done one thing, one time, for like a minute, you're an expert.
311556648_378637559104299008 x	RT @ScottGreenfield: And how does someone give a CLE on the ethics of blogging when they sell blog marketing for a living? For ethics credi?
311556648_378622450126168064 x	Friday at the Fishtown Lawyer's office involves a remote controlled helicopter, Nintendo, and margaritas.
311556648_378577078100447232 x	I kind of like winning ugly.
311556648_378145484181094401 x	Yes! PA to get anti-SLAPP laws! http://t.co/mliOCVf4Bw
311556648_377944816610725889 x	Dealing with older lawyers is generally more pleasant than younger ones. Lawyers who act like gentlemen, and like law is a profession.
311556648_377958072125104128 x	@mirriam71 Sup baby
311556648_377958620199022592 x	@mirriam71 What do you call an older female lawyer who is polite and reasonable? A gentlewoman? A mensch? Sweetheart sounds sexist.
311556648_377958985325768705 x	@mirriam71 Would have made my Tweet too long.
311556648_377959528404221952 x	@mirriam71 And calling ladies old seems mean.
311556648_377966867878400000 x	@Jteisele @mirriam71 @gideonstrumpet Bonus: I am listening to brostep. http://t.co/4jpA08Ujya
311556648_377948527483047936 x	@Jeena_Cho Client from my old firm called me. Found out I had left and wanted to go with me.
311556648_377947788958367744 x	@JeenaBelil Ha, what is the female equivalent of "gentlemen?" "Gentlewoman?"
311556648_377947972018778112 x	@JeenaBelil Aight, babe. ;)
311556648_377180246841102337 x	@ScottGreenfield Today I tried to play a video in court on my iPad. I couldn't figure out how to do it without wifi. I had to use my laptop.
311556648_377184624322965504 x	@JeenaBelil @ScottGreenfield Our courthouse is an old building. No wifi, no cell reception. Meaning no cloud or remote access.
311556648_377065601639776257 x	There is only one appropriate tie to wear to court when the Eagles play on a Monday. Fly Eagles fly! http://t.co/u2BVMbqGIu
311556648_376533639276019712 x	Get the gimp! @seanability http://t.co/jNgWkyG0xx
311556648_376532101602222080 x	Party hard. http://t.co/LkRPBSG7PJ
311556648_376530178853584898 x	Just posted a photo http://t.co/8bcDE2CISH
311556648_376527943771893761 x	Just posted a photo http://t.co/grBzr2WzFg
311556648_376527045716893697 x	Tonight's gonna be a good night. http://t.co/10omWIZ8jZ
311556648_375829600216940544 x	There are few things better in life than NFL football returning.
311556648_375829097168912384 x	@mirriam71 @gideonstrumpet Gids is a Ke$ha fan. I'm not even joking.
311556648_375750050992750592 x	@boatfloating @ScottGreenfield @GoDaddy No
311556648_375828653336064001 x	@boatfloating @ScottGreenfield @GoDaddy My beard is already back
311556648_375283322613551104 x	Philly Law Blog: When You Are What Google Says You Are. http://t.co/Ygo3iJYRxW
311556648_374903340377075712 x	Suit and a backpack? C'mon lawyers. Be a big boy and carry a briefcase.
311556648_375075477582401536 x	@HoustonLawy3r @That_AC Ha, same here.
311556648_375075305003556864 x	RT @rowhousebrewer: Brewery Vivant -- Stop Being so Whiny http://t.co/3WXLrtYTly
311556648_374279426084593664 x	@bcuban @HeatherBrit Brian probably gave her some of the best advice she has ever gotten. That's bullying? C'mon now.
311556648_373899062455459840 x	"Just signed a big client who found me on LinkedIn and Twitter" said no real lawyer, ever.
311556648_374010590940778496 x	@fectin Except that you usually need to meet with big clients a bunch of time, in person, before they decide to engage you.
311556648_374010056766795776 x	@MarkWBennett @That_AC Shut up, Mark. Matthew H. Goldsmith is aggressive and passionate. The best Craigslist has to offer.
311556648_374001883595030528 x	RT @That_AC: @JRushie disagree. After having case rejected by most lawyers, went to those who were willing to file suit against the stray c?
311556648_373901925671895041 x	RT @LesBowen: Curtis Marsh? Again? For who, for what?
311556648_373836490004258816 x	RT @btannebaum: BigLaw layoffs everywhere, but they spend money hiring this guy for social media advice http://t.co/B6Q5zt04OG "Duh, update?
311556648_373480204540198912 x	@SipplesK LOL irony
311556648_373451593204523009 x	@ValoremLamb @btannebaum @jordan_law21 Why not? Would that hurt Jordan's feelings? Make him sad?
311556648_373250710215081984 x	RT @BoothSweet: Former Prenda attorney Gibbs: "I don't know if they believe their own lies at this point." http://t.co/MM3zuhNO1S via @arst?
311556648_373198932093841408 x	@Popehat Unless you're an insurance carrier. For some reason the courts tend to allow RICO claims filed by carriers.
311556648_373173378493845504 x	Opinion question: is copyright trolling dead after the Prendapocalypse? Sure feels like it. @fightcopytrolls @DieTrollDie @Raul15340965
311556648_373174761049690112 x	@darthskeptic @fightcopytrolls @DieTrollDie @Raul15340965 Hard to call Malibu a "troll". Looks like they are not using mass joinder anymore.
311556648_373182356519022592 x	@fightcopytrolls @darthskeptic @DieTrollDie @Raul15340965 DTD's new blog post just answered my question. LOL.
311556648_373175972016562176 x	@fightcopytrolls @darthskeptic @DieTrollDie @Raul15340965 Let's rephrase. I haven't seen any new torrent copyright cases filed in awhile.
311556648_373178257870299137 x	@fightcopytrolls @darthskeptic @DieTrollDie @Raul15340965 Interesting. Who is the plaintiff's lawyer?
311556648_373175627517415424 x	@darthskeptic @fightcopytrolls @DieTrollDie @Raul15340965 And CEG-TEK just sends out like $200 demands, right?
311556648_373174821468643328 x	RT @fishtown: Caught On Camera: Man Steals PWD Vehicle from Frankford Ave http://t.co/UefjfSJuhz
311556648_372810962211848193 x	@ScottGreenfield It's funny that you know how Reddit works and I don't.
311556648_372708105986899968 x	SLAPP suits? In MY #Philly? It's more likely than you think. @Philadelinquent http://t.co/TAm1GycmjV
311556648_372483337149251584 x	Japanese omelette. #chefjordan http://t.co/X3gx3KDfhA
311556648_372494226388299776 x	@ninjyatlaw Nori, plus carrot and burdock root saut?ed in garlic and olive oil. Omelette is just eggs, 1tsp white wine, 1tsp tamari.
311556648_372495392719388672 x	@ninjyatlaw Thank you. It actually tasted a bit like sushi, except low carb.
311556648_372495946971508736 x	@ninjyatlaw Yes. The nori and burdock root just taste like sushi. You could also make regular sushi with shredded lettuce instead of rice.
311556648_372497068159279104 x	@ninjyatlaw Riced cauliflower if you're feeling motivated. Use it instead of rice. http://t.co/5PyQJXIqdD
311556648_372473544879652864 x	French omelette. #chefjordan http://t.co/oXYlFhVmZZ
311556648_372163247090057216 x	@APribetic @Raul15340965 @charlesthomas It involves Amoroso bread. It does not involve wiz, contrary to public lore.
311556648_372164491410030592 x	@APribetic @Raul15340965 @charlesthomas Just don't try and order it with moose, okay? People will look at you funny.
311556648_372160154793299968 x	@Raul15340965 @charlesthomas Hoagie is the proper term. It just is.
311556648_372160929401552898 x	@Raul15340965 @charlesthomas Isn't a grinder a hot hoagie?
311556648_372114451660410880 x	RT @Popehat: If You Find Yourself Yelling "YOU'RE HOBBITS" You've Probably Lost An Argument Already http://t.co/GpFwF8p2Lk
311556648_372114324027740160 x	@VBalasubramani @gideonstrumpet @ScottGreenfield My usual #chefjordan won't cut it????
311556648_372104665602592768 x	@lawyerist Actually that is not a bad idea. People don't know what "limited tort" means, where it applies, and coverage limits are.
311556648_372103674274672640 x	@gideonstrumpet @ScottGreenfield @VBalasubramani WHY WAS I NOT NOMINATED AS A LEGAL REBEL?1?! I HAVE INSTAGRAM!!111
311556648_372104060448411648 x	@ScottGreenfield @gideonstrumpet @VBalasubramani Even worse. All the food I cook and take pictures of. http://t.co/GJWnhvhw82
311556648_372088469889097728 x	RT @associatesmind: New post: Young Lawyer: "I Don't Have Enough Experience/Time/Connections/Money/Etc" http://t.co/apiZNrqOPO
311556648_371689088279379968 x	Chinese chicken by #chefjordan. http://t.co/lQxY8U0pHs
311556648_371669452737089537 x	RT @mattbrownaz: New blog post... Scottsdale?s DUI Problems http://t.co/S5lFPRzVEf
311556648_371317586732281856 x	Just posted a photo http://t.co/4ztjervI9x
311556648_371314954307387392 x	Yuppies ruining everything. Terrible. http://t.co/F54BBGAr5v
311556648_371314013294309376 x	Look at how awful yuppies are. #pointbreeze #philly http://t.co/CL7YvR9uUu
311556648_371313667154776064 x	Yep. #pointbreeze #philly http://t.co/9xbxhsjJ6h
311556648_371313428649889792 x	Civil disobedience, eh? By breaking coffee shop windows? #pointbreeze #philly http://t.co/bAuMaC98PL
311556648_371312615474987008 x	Coffee is destroying #pointbreeze. Terrible. http://t.co/xyk3Byqi0l
311556648_371313156741926912 x	@gideonstrumpet No. Unabashed yuppie.
311556648_371312411443068928 x	"We want free houses in Point Breeze! Down with people who are productive!" #philly #pointbreeze http://t.co/q2urYrtvMC
311556648_371248752595451906 x	Pricks. @OCFRealty Coffee gets vandalized by a guy in a hoodie. Stacy classy, #philly. Via @Philadelinquent. http://t.co/NAvhFi0MPl
311556648_371055711629103104 x	Hard to mess up steak. http://t.co/jrW2dUc6E6
311556648_371060596558417921 x	@wbender99 Hahaha that was awesome.
311556648_371059246286135296 x	Check out @marcorandazza defending Section 230 of the Communications Decency Act. @BullyVille. http://t.co/0i6ZFRqwR4
311556648_370878920058351622 x	Philly Law Blog - In case you missed it, this might be the most um, colorful lawyer ad ever... http://t.co/Gz1qFUEVTn
311556648_370673520642379776 x	Try that with catsup presentation. http://t.co/CjvuBvOozl
311556648_370672286191587328 x	Eggs wrapped in bacon. #chefjordan http://t.co/OLYrUyM3K2
311556648_370668777622368256 x	RT @Popehat: Popehat Signal:  Help An Oregon Blogger Exposing Telemarketing Violations http://t.co/OWXRyJFnM1
311556648_370668474390941696 x	Hey @scottgreenfield, is SImple Justice dead again?  http://t.co/4oS4e3op0g
311556648_370658565582635009 x	@syfert HAHAHA they mentioned Toonces on the radio yesterday morning and I couldn't stop laughing.
311556648_370658377078038528 x	Philly Law Blog - Another Amazing Attorney Ad... http://t.co/Gz1qFUEVTn
311556648_370292722596204544 x	I bumped into a virtual lawyer today in court. Ha ha, just kidding.
311556648_370285804267913216 x	@syfert That is why I never made torrent defense a bit part of my practice. It was bound to collapse. Philly zoning is still good. ;)
311556648_370147305472937984 x	RT @torrentfreak: Comcast Threatens to Sue TorrentFreak for Copyright Infringement http://t.co/y3nwYIJ5bn
311556648_369998913220001792 x	Fishtown Law is now officially run by guys who look 12 years old. http://t.co/1dGoic90mD
311556648_369848363794960384 x	Philly Law Blog - Sharks and Dinosaurs. http://t.co/BYAfHXdqA6
311556648_369794122627813376 x	@ScottGreenfield Ask @btannebaum if you can guest post on that blog he used to write.
311556648_369793681559007233 x	In case you missed it yesterday, Rachel Rodgers is trying to get around the Rules of Professional Conduct. Again. http://t.co/nxFVwZE2FV
311556648_369784555294564352 x	@CyndeeLaw Change how?
311556648_369624710088114176 x	@Raul15340965 Did the thing with Judge Crocker in Minnesota ever resolve? I havent been following. I did predict they wouldnt get sanctioned
311556648_369564432340623360 x	Based on advice from @scottgreenfield, I decided to shrink my wallet. Much better. http://t.co/aDQIdYvooV
311556648_369620202247688192 x	@mattlandis It's the Saddleback ID wallet. $33 very well spent. http://t.co/Rnzbl1eVfI
311556648_369586104875225089 x	Philly Law Blog - A Question For Rachel Rodgers: If It's Not Legal Advice, What Is It? http://t.co/nxFVwZE2FV
311556648_369575753186164736 x	Philly Law Blog - Of Murse and Men: A Look At The @saddlebackbags Classic Briefcase v. Thin Briefcase http://t.co/qbX9gro3Gy
311556648_369551729341108224 x	One of my former bosses at @anapolschwartz, Sol Weiss, named Lawyer of the Year. Very well deserved. Congrats, Sol. http://t.co/aRQ9StCWwx
311556648_369494363132272640 x	The downside of driving a Land Rover. http://t.co/Ibj7rrnbcD
311556648_369479953655422976 x	I had the opportunity to schedule a trial for @fishtownlawyer the day after his vacation and turned it down. Who am I turning into?
311556648_369207118030598147 x	@nikiblack Salmon steak. http://t.co/GWlxndZemn
311556648_369192304638054400 x	#chefjordan. With fish lemon garnish because playing with food is fun. http://t.co/GWlxndZemn
311556648_369194124429111296 x	@That_AC Cool eh?
311556648_369149286140764163 x	@MaxKennerly I vote to replace Corbett with Charlie Manuel. YES!
311556648_369130302943154176 x	Look what Rachel Rodgers is up to. Partnering with a marketeer and "discussing" laws in all 50 states. Um, ok.  http://t.co/mJpB1ykf7E
311556648_369149021610192896 x	@DavidSug Read the disclaimer, the small one at the bottom. Just... (head explodes)
311556648_369147642913103872 x	@mariloutheclerk NY and NJ apparently.
311556648_368359742877343744 x	Apparently it's unethical for lawyers to pay court staff for referrals, and to get paid in blowjobs. Who knew? http://t.co/kiaCnoqm79
311556648_368503710051074048 x	@DavidSug @ScottGreenfield I hate you.
311556648_368387731203698688 x	For both my Twitter follows that care about the Philadelphia zoning process. I presented this last night: http://t.co/kmYdGY0p84
