30364057_45825364433448960 x	On my way to see my pal @howardstern. Dear sweet Jesus please don't let me piss anyone off
30364057_382945780807774209 x	I love that wearing sweats on a flight makes some people crazy. Who r u dressin up for ding-dong? flying's a sport
30364057_382940423519760384 x	This feels so right to me http://t.co/tm5GzfpHyV
30364057_382381609011662848 x	Joan is doling out other level shit tonight on FP
30364057_382206337167683584 x	I'm in this music video for the AMAZING @psychicmusic  http://t.co/kBAz5gYpcT #JASH
30364057_381514784161931264 x	Very relieved to have not  Bababooeyed my first pitch at the @bluejays game http://t.co/51kdzXg2Li
30364057_380762679327350784 x	Dear Men, Just b/c we don't need you anymore doesn't mean we don't WANT you! Love forever, Women
30364057_380722855610437632 x	LOVING this @pontifex ! RT @nytimesworld Pope Bluntly Faults Church?s Focus on Gays&Abortion  http://t.co/26nPcUssuQ
30364057_380207442703155200 x	Jesus is Lore!
30364057_379699162063069184 x	I'm inside me
30364057_379681169421651969 x	SANTA MONICA 10/19 @FESTIVALSUPREME  http://t.co/434pXdVzEo 'Twill be the ultimate-est
30364057_379365279765385218 x	RT @JFL42: Catch #JFL42 headliner @SarahKSilverman! September 20th at 7pm & 10pm @ the Sony Center! #comedy #festival ... https://t.co/g6Ru?
30364057_378594018575532032 x	"Sometimes ALL you have to do is be brave." -my Mom
30364057_378559220616265730 x	JERKING OFF IS MURDER! MUST START LEGISLATING! RT @UberFacts Sperm cells actually have a sense of smell.
30364057_378381960466673664 x	Mostly Not Racist tee by @wkamaubell & @TotallyBiased  http://t.co/KOBbtn1PNv
30364057_378271182405251072 x	My prescription 4 all world leaders:  Limited ecstasy use paired w talk therapy. Fairly confident this will save the world
30364057_378246933485453312 x	Dear people I literally only hear from when u want me 2 blurb or tweet ur shits  - how do u do that? brava
30364057_378194623715606528 x	Hineni means "Here I am" in jewishy. You can be brave, too.  Get inspired: http://t.co/nqQ3GctSSq  #Hinenipledge
30364057_378006774877782016 x	This makes me so full of feelings  RT @FOXADHD  moved by your post about Duck so we made you this gif <333 http://t.co/jk3ntOsmEU
30364057_377333613861564416 x	Is this real life
30364057_377201939773419520 x	SO JOIN THE STRUGGLE WHILE YOU MAY/ THE REVOLUTION IS JUST A T-SHIRT AWAY  http://t.co/nvsl23jfKp
30364057_376208563997532160 x	Full transparency, I had a puff of pot so I may be seeing things clearly and as they are
30364057_376203808541388800 x	RT @marwilliamson: Your future isn't programmed by your past; it's programmed by your thoughts.
30364057_375879221115371520 x	Oh my gosh I'm embarrassed.  i just found out I'm a woman AND I'm 42. I am so sorry
30364057_375400536230875137 x	So moved by everyone's condolences...  REALLY  starting to understand this Munchausen by proxy thing...
30364057_375388243816353792 x	I wrote an obituary type thing: Duck "Doug" Silverman came into my life about 14 years ago. He was picked up by the ? http://t.co/QcTljEzFi7
30364057_375182641756372992 x	http://t.co/WGtGyxAU63
30364057_358780390477004802 x	Sexy Vine  http://t.co/zYaeJxbQ3u  @kyledunnigan
30364057_375136577586204673 x	It always tickled me that even though we were different species He was my best friend Duck left me today but I forgi? http://t.co/AKd2D6EyBI
30364057_374767665212317696 x	Wow this was the most fake fun I've had in years! #FrancoRoast
30364057_374277016281174016 x	LET ME BABYSIT YOUR KIDS (Unless you have something against Jews) *FREE*  UNCLE SARAH APP http://t.co/gBfPtYeglR
30364057_373647995835011072 x	It bothers me that I'm not your entire world
30364057_373509161222299648 x	RT @AndyOsborne25: @SarahKSilverman little Bobby loves Uncle Sarah! http://t.co/8US1ML6tph
30364057_373348054222786561 x	Why yes, this is blood from my dog's asshole.   http://t.co/T5v5wbGjWx
30364057_373189152759873536 x	HAHAHAHA oh us... @ToddGlass @kyledunnigan http://t.co/6duwscpu3p
30364057_373183592568225792 x	RIP my beautiful friend & colleague, Murray "Music Man Murray" Gurshenz - so talented & so very loved http://t.co/7vSNWwdp7Z
30364057_372971054085718017 x	Here's a fun fact.  We are all 100% definitely going to die.
30364057_372952886545616896 x	RT @paulrust: For real: has anyone actually ever SEEN a coat?
30364057_372496039003320320 x	Nap time again. Crazy busy dream life. Very little time for life life
30364057_372491906573684736 x	I got to make up an IMPORTANT song w @reggiewatts  http://t.co/RQ3jpmPwne
30364057_372142642672705536 x	Your fancy frankenstein cross-breed vanity dog can't breathe you obnoxious cock
30364057_371548053947547650 x	I have 16 layers of skin but still I feel pea
30364057_371160547028660224 x	I have to use my core to open the refrigerator
30364057_370939344280109056 x	Weirdo http://t.co/4jSl35DiGK
30364057_370862323172659200 x	Ugh I can't sleep. Hi, England.
30364057_370840244830359552 x	I have walked through 3 spider webs in two days. Over and out
30364057_370065388618645504 x	You guys this moment was 8 years in the making: I finished my bottle of olive oil
30364057_369918978963304448 x	Panicking about whether my "emergency contact" is dependable is how I like to spend my free time
30364057_369705442278379520 x	RT @jash: New episode of Voices of Learning with @SarahKSilverman is now up on #JASH, come join us http://t.co/fdBMwQPxOO
30364057_369367202090057728 x	Something real happens when Vicki loses her shit
30364057_368228597066395648 x	A good American encourages all citizens to vote, even if they don't vote your way.  We all agree on that, right?
30364057_368220339220013056 x	Global warming is man made and so is God IMHO
30364057_367849129462222849 x	Who knows #stuffthatrhymeswithjewnose
30364057_367487756538486784 x	Someone's job is making really cute, specific hospital signs http://t.co/uCrxvvLcYo
30364057_366227836467552256 x	Just looked at a picture of a teensy Indonesian frog using a leaf as an umbrella. It wrecked me.
30364057_365754611287597056 x	Spoiled rich kids who've never heard the word no are such a delight to be around in general
30364057_365735535811117056 x	I'll write you a letter tomorrow Tonight I can't hold a pen
30364057_365182993620410369 x	This Penthouse Forum letter is TAME... RT @Pontifex With his coming among us, Jesus came close to us and encountered us
30364057_364566449391542277 x	Do your ears a favor & download Psychic Friend's MY ROCKS ARE DREAMS
30364057_364295398807961600 x	I like well worn things
30364057_363920701599662081 x	In general, it's best to ignore all the signs
30364057_363279825693601792 x	It's so hard to stay mad. It's literally not fun How do people do it
30364057_363033109886808064 x	#throwbackthursday http://t.co/wk5RicB15m
30364057_363019525479862272 x	Yo @SteveMartinToGo is that you in the bg watching John Prine & Iris Dement? http://t.co/mLJuxgkyk2
30364057_362996610122260480 x	HEY TORONTO! I?ll be headlining #JFL42 on 9/20  Get ur pass at http://t.co/UDpiap2Wur & see me & 42 other GREAT comics xo
30364057_362834494429986817 x	That was fun. Her songs are so beautiful and heart destroying.  Goodnight, Noodles
30364057_362830225450602496 x	The night wants to kiss you deep And be on his way Pretend he don't know you the very next day #Patty
30364057_362828367680110592 x	While the Angels are singing his praises in a blaze of glory  Mary stays behind & starts cleaning up the place #LateNightPattyGriffin
30364057_362807562577514496 x	This auntie is beaming w pride http://t.co/9yERAMbCuL
30364057_362489319182696448 x	rub my shoulders
30364057_362412136976220160 x	If my religious beliefs are different than your religious beliefs, which one of us gets to make policy?
30364057_362094169138794496 x	Honestly what THE FUCK is the thing w diamonds? Whatm I missing b/c y'all I don't give a FUCK
30364057_361610621411799041 x	Vote no on this spelling of Geoff
30364057_361570860995325952 x	In general u really shouldn't  legislate stuff according to the limits of only what u can relate to
30364057_361558322257735680 x	RT @gadelmaleh Dansons... joue contre joue... Avec @SarahKSilverman ? Montreal ! http://t.co/qXs8zNlxZe
30364057_361543735231787008 x	Tig love http://t.co/uW21PDzzAv
30364057_360642675218722817 x	You're too curious & uninhibited about all of my holes -my boyfriend just now
30364057_360571741388550146 x	JESUS IS CHRIS
30364057_360537704410255361 x	I'm cold and tired and my flight's delayed. I know... starving children...
30364057_360523573531639809 x	@AtheistRepublic u misquoted me. Please don't do that anymore.
30364057_360252923252445184 x	some things you learn too late
30364057_359883188056764417 x	Grosser way to say pussy:  (puff out cheeks) puthy
30364057_359871782783684608 x	boy names for William & Kate:   Leon   Rudy   Mac   Larry  Saul  Anfernee  YOU'RE WELCOME
30364057_359397691576430592 x	Not to be a conspiracy theorist but has anyone seen Chaz Bono and George Zimmerman in the same room?
30364057_359357655493922816 x	This is real: BABYSIT YOUR TODDLERS w my UNCLE SARAH app:  http://t.co/PMYNdYVyUe
30364057_358613255926722562 x	Corporations ARE NOT people! Help Al Fraken overturn CitizensUnited! So easy to sign http://t.co/ytD79EiKZb Via @SethRudetsky
30364057_358429235842531329 x	All dentists are coke heads but not all coke heads are dentists
30364057_358120421100503040 x	We're all the youngest we're ever gonna be so yuck it up
30364057_358080460305334272 x	I found it! I found the grossest airport bathroom!
30364057_357732573033664513 x	My heart to heart w sheep http://t.co/B5PgDgSl4K
30364057_357590881357934592 x	I cant stop listening to Psychic Friend MY ROCKS ARE DREAMS It's perfect @psychicmusic
30364057_357545769152159744 x	When democrats & republicans fight w each other we should have to start with "I feel ... "
30364057_357485995291189248 x	How have I never seen this Jesus-is-Christ-and-also-debt-management infomercial
30364057_357440242258690049 x	The mad laughter in Brain Damage does tons to me
30364057_357328046618976256 x	I love you but I don't  (even know why) #PattyGriffinLyrics
30364057_357320588592807936 x	don't tell me your pee has seeds No one's pee has seeds It's something else in there Jesus fucking Christ
30364057_357310972374953987 x	Great news: You can harness pms into an awesome time going deep into sad music
30364057_357308988632743937 x	But if you break down I'll drive out and find you If you forget my love I'll try to remind you #PattyGriffinLyrics
30364057_357303585110888448 x	Sweetheart is the loveliest thing you can call someone.  Sweet Heart
30364057_357275399341867009 x	I am BLOWN AWAY by this boy. Please watch! http://t.co/qO28dDQHXJ
30364057_357190198653747202 x	VEGAS-  I'll be at The Pearl at The Palms Casino this SATURDAY http://t.co/UALYGUgwy6
30364057_357168660198068225 x	Children are good marks of time. When you don't have children you only have 9/11
30364057_356858901381120000 x	They say at 16 years you can hear a heartbeat and they feel pain
30364057_356593507911221250 x	Some people read THE GIVING TREE and learn "Give" and some people read THE GIVING TREE and learn "Take."
30364057_356433420177506304 x	RT @dansterl @realDonaldTrump No rush but R U going to say something obnox/racist about Zimm trial? Feels like I have sneeze that won't go
30364057_356220024622546947 x	Enough with the expensive designer purses.  It's a bag.  It holds stuff.  Get a backpack.  You're being ridiculous.
30364057_356180991318048770 x	RT @PPact "Women don't understand why u keep coming after them. It's not politics to them?it's their lives" - @KirkPWatson #standwithTXwomen
30364057_356163111042023426 x	Still dazzled by the Internet The Internet and babies And the sky
30364057_355902090138226689 x	I, Rizzoli http://t.co/tQ7hNluXHI
30364057_355878204071886849 x	The most beautiful whore in the ol' west is @maebirdwing , hands DOWN http://t.co/spdDuy1MQA
30364057_355806999679741952 x	Long Ride Home by Patty Griffin RT @maebirdwing What is the saddest song you have ever heard?
30364057_355806895350628352 x	I Drink by @MaryGauthier_  RT @maebirdwing What is the saddest song you have ever heard?
30364057_355432077879033856 x	It'd bother me less if the Right cared for OTHER human lives as passionately as they do fetuses & rich white men.
30364057_355380650980818944 x	I'm taking a new stand:  only fetuses & corporations are people.  (Try setting THAT thanksgiving table)
30364057_355330567593672706 x	Wait- does anyone think it DOESN'T take a village?
30364057_355187524152471553 x	Me too! (R we both talking about reruns of Bones?) RT @justinbieber I love what I get to do everyday...
30364057_355186381233983488 x	why were u searching that? RT @Benjinardo @SarahKSilverman pretty sure thats u under "cool looking obituary" http://t.co/I6aHtCRjCY
30364057_355179545390874624 x	Quick- someone harmonize His Eye is on the Sparrow w me.
30364057_355040747021537282 x	HEY WOMEN &MEN WHO LOVE WOMEN & THEIR RIGHTS: This doesn't seem right  #ncga  http://t.co/q6lThBIUSI
30364057_354994605932023808 x	Big difference between Huggies & hugies
30364057_354993891210051585 x	Hey MONTREAL- I'm hosting 2 galas July 27th w AMAZING line-ups of comedians! Whee! Check it:   http://t.co/JdIjSDnkkb #JFLMTL
30364057_354496589433282561 x	I just realized that my dog WANTS to be on the leash b/c I keep him from walking into walls. I'm a seeing eye person
30364057_354494569229975553 x	Shout out to this sweet dreamer, who was in the front row at #YMIW w @peteholmes tonight  http://t.co/fAkUt0XhDY
30364057_354146607593291776 x	Dirty dancing entering its denouement on Lifetime, bros
30364057_354142114747121664 x	It's night 3 of my brain imagining the awful sensation of biting into 1 of those green blocks u stick fake flowers into & I can't stop it
30364057_353780296790974464 x	You can always trust a Julie
30364057_353766188771315713 x	THE UNCLEAN PUBLIC BATHROOM #JewishHorrorFilms
30364057_353755477030608897 x	RT @WomenOfHistory: Remember always that you not only have the right to be an individual, you have an obligation to be one. -Eleanor Roosev?
30364057_353737959926792192 x	Your dad will really do it right with his new family
30364057_353729927192911872 x	What the white man dIdn't take from the Native Americans: -revering the elderly -concept of sharing
30364057_353297635161014274 x	I'd very much like to anally probe @govwalker each time he needs to make an "informed decision" http://t.co/oAcUsGd3eb
30364057_353289707842568192 x	Sex and rage both have that embarrassing point-of-no-return thing
30364057_353281464403632128 x	Your religion and my human body don't mix so well
30364057_352966216173883392 x	*Don't forget to let yourself be changed by new information
30364057_352960721404960768 x	I know that victory's sweet, even deep, in the cheap seats (Conor Oberst)
30364057_352804592150528000 x	LET ME BABYSIT YOUR TODDLERS UNCLE SARAH APP http://t.co/PMYNdYVyUe
30364057_352637560884957186 x	Pic or it didn't happen RT @Pontifex The Holy Spirit brings to our hearts a most precious gift
30364057_352625850774069248 x	RT @ThisWaltzFilm: VIDEO: Get a kick out of @SarahKSilverman + @Sethrogen of @ThisWaltzFilm celebrating #CanadaDay | http://t.co/5HbZgXh4yL?
30364057_352528452341071875 x	RT @NatlWOW: A 'Feminist Army' Storms Texas | The Nation http://t.co/vq7gn2YQml via @thenation
30364057_352527409117007874 x	RT @ericwareheim: 3 Brand New Catherines! http://t.co/sIkiA2iSBx @jennyslate25 Masterpieces! @jash
30364057_352164600944410625 x	Prob a dumb question but should you pee w force or is it healthier to just kind of let it happen?  Thx
30364057_352163403906826241 x	"I just really feel Gerry would wear a fashion scarf"  -what I imagine Brad Pitt said to his WWZ wardrobe dept
30364057_352153443936382979 x	O snap I forgot to ever get my mail
30364057_352094944929918978 x	Help Twentywonder on July 13th as they raise funds for the Down syndrome community of LA. More Info at http://t.co/t9qzh4XtfI
30364057_352094786766901250 x	PARENTS! Why haven't you downloaded my UNCLE SARAH app for your toddlers? Don't you love them? http://t.co/mLK01VLalc
30364057_131779354832281601 x	PROTECTED
