170869967_336832676545843200 x	@sexyfe903 good morning!
170869967_106698794023919617 x	RT@ZodiacFacts  #Virgos,often enjoy the prospect of school. When it comes to clothing, these students prefer classic, understated pieces.
170869967_106698131172888576 x	#ZodiacFacts  A #Virgo may agonize breaking up since they dislike making anyone feel unwanted, but eventually they?ll get around to it.
170869967_106510447204777984 x	Read this today: Just be yourself...everyone else is taken
170869967_101614533033996290 x	This time 16 years ago I was giving birth to my beautiful first born daughter. Happy Birth Anniversary Jasmin! I love you!
170869967_100546651093082112 x	Lost my favorite lip gloss...its all.downhill from here...
170869967_98345308655849472 x	Ramadan Mubarak!
170869967_98192828915650560 x	Can't be everything to everybody...I need some me time.
170869967_97703594563874816 x	RT @iAmHimi So #reasonstobeatyourgirlfriend is trending, GTFOH #ThatIsAll
170869967_97473740216078336 x	Moscato, Mike Epps, Mimi,Yusef, and Gary...lmaofffff!
170869967_97407663104729088 x	RT @ZodiacFacts When a #Virgo falls in love, he or she really means it. The trouble is, though, that the Virgo knows it, but you don't.
170869967_97073996603990016 x	The Moscato has arrived
170869967_94933249142423552 x	Seafood medley for dinner and this 24000 btu air conditioner is doing one thing right now...too stuffed for birthday cake
170869967_94901499209064448 x	Strawberry Habanero Salsa and tortilla chips w/ a twist of lime...tasty
170869967_94748365753032704 x	Happy 2nd Birth Anniversary to one of the great loves or my life! Baby Yusef! Mommy loves you Doot Doot!
170869967_89797858609479680 x	RT @ZodiacFacts #ZodiacFacts #Virgo = Neither passive nor aggressive, they are simply sensible yet sensual like Beyonce.
170869967_89795278005223424 x	RT @ZodiacFacts #ZodiacFacts #Virgo = Will pursue happiness wherever it leads
170869967_89523780606631936 x	Why am I THIS sleepy? Goodnight!
170869967_83869243501846528 x	What is the connection between toddlers and Vaseline?! As soon as they are out of site they go straight for it. Thanks yusef for the mess
170869967_82292375531175936 x	My favorite time of the day. Everyone is asleep...quiet. Peace!
170869967_76474985388048384 x	Got an A- on my midterm...yet I'm still not totally happy...smh...classic over-achiever
170869967_61912627403685888 x	RT @TakMeAziM RT @iAmChuckie: RT if you do this; Saying, "okay" when you want to end an arguement.
170869967_60879454146269184 x	Turning in early...tired
170869967_30501913766133760 x	We just had a whole snowball fight...in the bedroom
170869967_28793046451617792 x	Is so happy!
170869967_27167463988797440 x	Birthday weekend comes to a close...once again happy birth anniversary to 2 of my four angels Zaki and Innaya!
170869967_27094916425322496 x	Sahara Sams did one thing today...made me tired as hell! Now got 3 heads to do...gotta get ready 4 the week!
170869967_22504812658565120 x	Snuggle Bug....
170869967_21093839309635584 x	Oh I think they like me....
170869967_21064393290678273 x	And the fireworks and gunshots begin...welcome to my block...yay me! Ughhh
170869967_20947792163774464 x	All the doctors and nurses think I'm my daughters girlfriend or sister...the six asked if I go to Eastern High School!
170869967_20880401010524161 x	So...I just went 2 put $ in my meter...found $1 on my way out...came back in and found $5 outside the door....then $10 in the entry
170869967_20875104980312064 x	Why make an appt for 10:45 when you KNOW I'm not going to get seen until 11:30...but God forbid I be 10 minutes late...hate drs offices
170869967_20561926006247426 x	Home.Sweet.Home.
170869967_19922812365963264 x	Boooo! My dudes daughter is Hilarious! She get it from her daddy...lmaofff!
170869967_17288838074335232 x	My home is back in order...welcome home Jasmin
170869967_15848281590472704 x	Is about to OD on Dayquil...Ughhh...still feel like sugar honey iced tea
170869967_13783385499500544 x	$73.00 to fill up my tank...in JERSEY! Who's donating to the minivan fund? This truck is killing my pockets!
170869967_11996975926878208 x	It's too damn cold!
170869967_11273102512099328 x	Yup my phone is better than yours AND yours LMAO (insider)
170869967_10678337961730048 x	So you are just gonna give it all up for me huh? That's a good look...
170869967_9241020256489472 x	Vacation is over...back in my day care bag...
170869967_7819564658204674 x	Snow? For real???...people just has shorts and flip flops on the other day!
170869967_7805855177121792 x	Yusef just took his FIRST steps! Thank God! We are sooo happy!
170869967_6530166738124801 x	3 sisters in Philly! And one more will make 4!...come in Halima!
170869967_5093252814344192 x	Keeps washing the same sheets n putting then back on my bed to avoid folding them...hate folding sheets! Even though I have plenty more! Lol
170869967_4178603432484864 x	We all we got...Am I my sisters keeper...s/o to all my sisters!
170869967_3695527073939456 x	...after all the craziness I still remain a Lady
170869967_3328488257884160 x	Things are getting too crazy around here...I'ma have to be M.I.A for a few days!
170869967_3236432890040320 x	Why did I just burn the sugar honey iced tea out of my foot with a noodle!? Ughhhh!
170869967_2893857188487168 x	Never should've taken that nap...I'm UP!
170869967_2511336210694144 x	Why did this dude just smooch his lips @ me in WalMart?!? While his GIRL had her back to him buying groceries!
170869967_2338037543469060 x	Today is a better day...taking the babies to school then off to the gym!
170869967_553705438969856 x	Almost Tapped Out @ the gym today...never EVER again will I take a week off!
170869967_29682932726 x	Crazy workout @ the gym! Time to be pampered with a mani, pedi, n eyebrows
170869967_28881074289 x	Off to the circus today with my favorite people in the world! My four beautiful children!
170869967_27955629169 x	A whole plate of food and all he wants is the ketchup...Smh...LOL
170869967_27884606137 x	Where are all the grown-ups at?!?!
170869967_27863608752 x	Ok...focus...class 2nite :(
170869967_27833158295 x	Need a prayer...pray 4 me yall
170869967_27741684131 x	PASSED THE PRAXIS EXAMS...YAY ME!!!
170869967_27693429831 x	Research Paper done...sigh of relief...that thing has been on my back 4 weeks!
170869967_27638833439 x	I AM FINISHING THIS PAPER TODAY! NO EXCUSES...2 PAGES DONE...10-12 MORE TO GO...PRAY FOR ME..
170869967_27127781065 x	Prayer is POWERFUL...Thank Allah/ God for the privilege to pray...have a blessed day friends!
170869967_26603730163 x	15 page research paper due in less than 2 weeks...ughhh...be back in 12-14 days
170869967_26486759066 x	Day 3, no chicken, fish, or turkey and I feel great and I don't feel like I'm missing something
170869967_26451775665 x	Saying a prayer for my sisterfriend and her family...please join me...
170869967_26410431705 x	Day 2...No Meat, great workout, and How 2 Eat 2 Live...
170869967_26261254824 x	Had a beautiful day yesterday...looking forward to continuing it into today!
170869967_26011210810 x	My trainer is sooo FIRED! I was not aware of muscle here and there...these things have been soft since I was 6!! Love/Hate the gym!
170869967_25975483991 x	Sigh of relief...home ALL ALONE! Finally...ringer off, doors locked...just me and my books
170869967_25910144941 x	Why does the doctor make appointments for 1 time then doesn't see u for like an hour later? Then cancel your appt if you are 15 mins late?
170869967_25776627704 x	Is wondering WHO INVENTED PLEATS...& why do these uniform ppl think I want to iron them everyday...smh
170869967_25239300932 x	Getting my hair braided and the person braiding my hair won't shut up! Her voice is getting on my nerves!
170869967_25014128875 x	PRAXIS Exam today! Pray for me!
170869967_24856747063 x	Studying ALL DAY! so behind in my school work....PLUS Praxis on Monday! Glad I don't work...Peace!
170869967_24842122961 x	Had a blast meeting more family! So glad that my big sister enjoyed her celebration!
170869967_24601825232 x	Keeps opening the refrigerator looking for food...knowing that she is making up days for Ramadan and can't eat until 7 something...smh
170869967_24490358014 x	Ughhh! I am ready to walk away from EVERYTHING!
170869967_24124607492 x	Ughhh parking authority hearing...I'm NOT paying this ticket!
170869967_22985510496 x	New York...concrete jungle where dreams are made of...
170869967_22806697008 x	So...the one year old (that doesn't walk) came upstairs today talking about "mom" (in his stuey voice). Smh
170869967_22651562772 x	OMG...WHAT HAVE I DONE? THIS CLASS IS GOING TO KICK MY...
170869967_22406420544 x	Thanks to the bestie Stacy Blackshear for the good time! Love ya girl!
170869967_22399530710 x	Takers...decent
170869967_22279800962 x	needs to press the reset button!
170869967_22224842473 x	Thanks all her friends and virtual friends for all of the well wishes for my special day! Te quiero mucho!
170869967_21777489409 x	On route 90 in Jersey. Stuck w/ NO GAS b/c my husband was trying go 'hold out' and get gas in Jersey! Who thinks I'm MAD!?!?
170869967_21765692286 x	We just came to Planet Fitness to check it out and there are 2 people eating McDonald's and Wendy's...Smh
170869967_21668902753 x	I HATE Wal-Mart! 10 minutes to return these stupid Command Hooks that DON'T WORK!
170869967_21660140975 x	The Expendable was 'decent'...Stallion looks OLD! Still in shape though. Thanks the hobby for the afternoon date.
170869967_21395391878 x	Ughhhhh...why does the one year old cry MORE now that he did when he was an infant! Driving me crazy!
170869967_21146031294 x	Thanks Allah for the trials of life. They aid in my continued growth and spiritual development
170869967_20986400711 x	This job is SOOO boring!!!
170869967_20642270346 x	I love my life...
170869967_20570823154 x	RELAXING IN THE DRY SAUNA AFTER A HARD WORKOUT!
170869967_20305108437 x	UGH. I hate hospitals. Everytime he calms down here comes someone else to bother him! Pray I don't snap on someone
170869967_20257651913 x	Great workout @ the gym!
170869967_19752872573 x	The Cotton Pickin' Truth: Still on the Plantation: http://bit.ly/datnVR via @addthis
170869967_19689740539 x	Now what...
170869967_19618009549 x	No more school work no more books, no more teachers dirty looks...yup still hype
170869967_19613171750 x	I just completed the coursework to get my BA 3O MINUTES AGO!!!! YAAAAAY
170869967_19613066397 x	Lol ok @cadream6 thanks...this is crazy!
170869967_19601973282 x	I have a Follower!!!! cadream6...now what????
170869967_19532062912 x	On Facebook w/ everyone else...lol
