18808296_338384067416440833 x	@HelloHymie no. I wish.
18808296_320021939198496768 x	Durant is amazing *Ray Lewis voice* #nba #okc #thunder
18808296_319992964296368128 x	RT @espn: After four days of baseball, only one undefeated team remains: the Washington @Nationals.
18808296_319992902694625281 x	"@BarnseyGotEm: bulls get the money" nets handed that one over to em.
18808296_319992695365959681 x	RT @BarnseyGotEm: i wanna hang out with ellen degeneres
18808296_319845310912405504 x	@jaymohr37 I used to throw basketballs at people's faces, then I got Bosch evolution wiper blades. Fixed everything #jaymohrsports
18808296_318893213404508161 x	@artymcfartyent yes, I'm beats mcgreevy
18808296_319118462653984768 x	@artymcfartyent thank you, I appreciate that.
18808296_318728915298447360 x	RT @maddie_crush: Today is the real holiday! #openingday
18808296_318728878837350400 x	RT @AndyRichter: In a diner. It has never occurred to me before to ask, but who the f is all this marmalade for?
18808296_318560857753800705 x	And the #astros win #openingnight #mlb http://t.co/mzep93889U
