2157641771_395576390579675136 x	@thethrowingman #preach
2157641771_395642710071468032 x	RT @NickFer_23: If Tim Tebow had a thought, would it be called a Christian Ponder?
2157641771_395642694716125184 x	RT @Crash_86: Christian Ponder - 1) The starting quarterback for the #Vikings or 2) What Tim Tebow did when he guest starred on 'Pinky and ?
2157641771_395579651055452160 x	@BigTStaples We're praying, watching game film, & playing Madden. We're #ready!
2157641771_395604061267193856 x	@BigTStaples smh. Listen, bruh, we are a #BandofBros. Bro is ready and waiting to take a team to the promised land. #blessed ??
2157641771_395615486647750656 x	@MarcusManziel @BigTStaples #jaguars
2157641771_395615404229668865 x	@nas_philly not for long, bruh
2157641771_395605446104743936 x	RT @BigTStaples: @MarcusTebow Not quite sure what you mean but we can agree on one thing...Go #Tebow
2157641771_395604088106532864 x	RT @BigTStaples: @MarcusTebow You aren't Tebow's brother
2157641771_395577071420055554 x	@stots15 @LesBowen @SI_DougFarrar #preach
2157641771_395576998372052992 x	@futureguard not for long, bruh.
2157641771_395576886132486144 x	@csnyder2121 @Manjello_D Here comes your man!
2157641771_395576716590338049 x	@JustDoIt_Mikey #BandofBros #TeamTebow
2157641771_395576585623179264 x	@sidvicious2610 #yup
2157641771_395576514215178241 x	@s_raee25 @djcDiGiacomo It happening sweetheart! #blessed
2157641771_395572029015228416 x	@spyda1234 #preach
2157641771_395544360290639872 x	@BannerElkMag @wordpressdotcom #eaaglea
2157641771_395544258520043520 x	@SOXandVOID they know, bro
2157641771_395544091335090176 x	@axbuen00 right next to me, bruh
2157641771_395544007872630784 x	Smart man ---> "@GL85: @uklefty22 Tim Tebow, Wes Welker, Lesean McCoy, Calvin Johnson and Chris Cooley?
2157641771_395543825869201408 x	@DonnatellaM @BleacherReport #eaglea
2157641771_395543750048747520 x	@justabloodygame we're coming back, fool
2157641771_395543618003677184 x	@MrFallBackk Thanks, bruh
2157641771_395543462579539968 x	@SmarpNews We're in Philly, bro
2157641771_395393216520138753 x	@Squiggly_ Bro is prepping with some Madden. We're ready!
2157641771_395392611365969920 x	@AdamSchefter @Jordanpetdog oh, it's happening, bruh.
2157641771_395392509490499584 x	RT @TrendsPhilly: 'tebow' is now trending in #Philadelphia http://t.co/iq66m7G3WZ
2157641771_395392024209551360 x	@Jonsanvik @MatthewREKMEH #preach
2157641771_395391883528384512 x	@ilyccm @Savannah_Aria #blessed
2157641771_395391784400195585 x	It means Super Bowls! RT "@NickFransis: Yoo Tim tebow was in Philly today. You know what that means for eagles?
2157641771_395391606985338880 x	@KingJaaames Be patient, bruh. My bro is coming...
2157641771_395374999626088448 x	@EvilEdSnider Selfie
2157641771_395374314566201344 x	@SamoneTaylorxxx Hi
2157641771_395374186975465472 x	RTing for my bro, @TimTebow "@SamoneTaylorxxx: If you a man, wit no kids, and got your own spot .... RT?
2157641771_395373376002605056 x	@MarcusBarkleyQB Had a nice virgin colada at Woody's, today. Lotsa nice bros to talk to. #BandofBros
2157641771_395370349690621952 x	Great buncha gals. #blessed #gettinsillyinPhilly RT "@Nmarchetta @MarcFarzetta @Cindy610 @LisaHillaryTV @rheahughes @RachelCSN
2157641771_395369631818727424 x	@MattersofSmart Gimme the digits, I'll get them to my bro.
2157641771_395369511148584960 x	@MaxG_34 #preach
2157641771_395369456446480384 x	@smash_my_ash not for long, bruh.
2157641771_395369319796056064 x	@RealSkipBayless Bro woulda made the difference.
2157641771_395369215051710464 x	@MrsPhanatic We taking our talents to South Street. #eagles
2157641771_395368851795619840 x	@DavidGuddeck @corrado_19 We love the Kona.
2157641771_395368754278043648 x	@corrado_19 Bro knows hockey.
2157641771_395352542097731584 x	@DNFlyers @FanSince09 that's why we love this town! #crazyfunpeople
2157641771_395349158787551232 x	Hi everyone. Bro and I stopped by the Pennsport today. Um, its not a club for Pennsylvanian sport fans. #blushing
2157641771_395348154058833920 x	Hey @terilyns68, when my bro signs, I'll clear things up with @jmac_18. #BandofBros
2157641771_395270275958595584 x	@Tim_McManus I know.
2157641771_395220070810787840 x	@RoobCSN Making room for #bro! @TimTebow #blessed
2157641771_395219814551396352 x	Our #bromance keeps gong strong! @TimTebow RT "@NBCPhiladelphia: The @JonasBrothers announce they're breaking up. The #bromance is over?
2157641771_395175999681617920 x	@CrossingBroad @KingofBlueBell False.
2157641771_395175797990129664 x	@darealtank78 Famous Threes: @MarcusTebow, @MarcusBarkleyQB, @MVFive #BandofBros
2157641771_395174427316715520 x	Raise & Praise! Film & Madden all day. #TeamTebow #EaglesTalk #BandofBros
2157641771_394988551060082689 x	RT @MVFive: Hahaha!
2157641771_394946133308760064 x	@CrossingBroad People have no idea. We got in Saturday.
2157641771_394942832894832640 x	@CrossingBroad Tweeting Bros are the next craze, bro.
2157641771_394942696785448960 x	@CrossingBroad Just got the key to our pad in Pennypack. #blessed
2157641771_394941268264226816 x	@kevbauder @LesBowen We're ready.
2157641771_394941150299443200 x	@TheMiamiQueet @MarcusBarkleyQB I feel the spirit rising in me.
2157641771_394939203806842880 x	@macmich23 @MarcusBarkleyQB I'll be ready for the @packers, bruh.
2157641771_394940789937434624 x	@macmich23 @MarcusBarkleyQB @packers Madden later
2157641771_394940736065769472 x	@macmich23 @MarcusBarkleyQB @packers I live vicariously through my bro. Breaking down film now
2157641771_394940518813417472 x	@macmich23 @MarcusBarkleyQB @packers If playing means starting, going 3/16 for 45 yds, a touchdown, 38 yards rushing & a win, yes. #eagles
2157641771_394939965513433088 x	@NXML129 I'll be needing some tools @Rowie_Hoseman! #preach
2157641771_394938831927267328 x	@TheMiamiQueet @MarcusBarkleyQB Threesome. Like the trinity? #blessed
2157641771_394938128638935040 x	@Winless4Wiggins @MarcusBarkleyQB people always be bitin'.
2157641771_394937843065561088 x	@TheMiamiQueet @MarcusBarkleyQB Sounds good, but what is that?
2157641771_394937456589824000 x	@wendler325 @MarcusBarkleyQB Your prayers will be answered. #blessed
2157641771_394937324616056832 x	Looking for a good restaurant with a wholesome, hip vibe, near our new bachelor pad in Pennypack. Can anyone vouch for Canstatter?
2157641771_394925323546275841 x	@Winless4Wiggins @MVFive @MarcusBarkleyQB you guys wanna grab coffee?
2157641771_394936476926218241 x	@rdafor3 @MVFive @MarcusBarkleyQB #bandofbros
2157641771_394936364837662720 x	@macmich23 #blessed
2157641771_394935746047799296 x	@MarcusBarkleyQB @MVFive @MarcusTebow #BandofBros
2157641771_394934492626165760 x	@macmich23 @MarcusBarkleyQB smh
2157641771_394920936824385536 x	Settle down @MarcusBarkleyQB, Philadelphia's Savior has been sent by our Savior.
2157641771_394927791789314048 x	@MarcusBarkleyQB it was a passport mix-up, but that doesn't matter any more. We're here, We're #blessed & we're staying.
2157641771_394926692994920448 x	@sf1ynn @MarcusBarkleyQB #blessed
2157641771_394925767995686912 x	@darealtank78 Holla!!!
2157641771_394925251093884928 x	RT @BroadStPhanatic: Lmao there is a @MarcusTebow
2157641771_394925164103999488 x	@msankey86 hey sunshine. Keep smilin'!
2157641771_394925022386876417 x	@TheGonz81 already here, bro. Looking at a little place in Pennypack Park.
2157641771_394924803830067200 x	RT @TheOrangeNBlack: The avi for @MarcusTebow is Marcus Mumford ?????
2157641771_394923849667854337 x	@Winless4Wiggins @oOoOoOoOoOChavo He's on a mission.
2157641771_394923572428570624 x	@corrado_19 #Faith my brother, have #faith.
2157641771_394923353603338240 x	RT @Winless4Wiggins: #LetsMakeItAwkward @MarcusTebow @MarcusBarkleyQB @MVFive
2157641771_394923336893231106 x	@Winless4Wiggins @MarcusBarkleyQB @MVFive #blessed
2157641771_394922924056276992 x	@The700Level Not any more. #blessed
2157641771_394922022423506944 x	RT @lonis119: Uh oh @MarcusTebow
2157641771_394921611289460736 x	.@PatsFan1243 @MarcusBarkleyQB he's a basic jawn.
