202625777_397904333310005249 x	RT @EbenezerSpooge8: @B_2_da_E CWebb is is tool
202625777_347200357044195330 x	#JesusShuttlesworth
202625777_347198274035392512 x	RT @EbenezerSpooge8: Duncan still doing work at 37. At least we got Tim Effing Thomas that year, only bc the legend Van Horn refused to pla?
202625777_346820607805104128 x	"The bag or the bat?" #RayDonovan
202625777_346445733915918340 x	RT @EbenezerSpooge8: RT ?@mr_esmith: Inside "Magna Carta Holy Grail" with JAY Z + Samsung #MagnaCarta http://t.co/OYV5FLjMgJ?
202625777_346424801457475584 x	Deep thoughts with "E"...Has anyone ever seen Tony Longoria-Barry-Parker make a layup where he doesn't fall down??? Just curious #DramaQueen
202625777_346345001468452865 x	@EbenezerSpooge8 Am I annoying you & your fellow golf enthusiasts??? I'm just out for a leisurely fly... #AnnoyingOnPurpose #SorryNotSorry
202625777_346347183320211456 x	@EbenezerSpooge8 Oops...I grabbed the wrong banner. It was supposed to be my Chip Kelly banner...
202625777_346255949658456065 x	So, rumors are Dwight Howard is looking for another team (obviously to blow up)? Lucky them... #NBA #Fraud #ThatWillMake3 #SorryNotSorry
202625777_346255199259746304 x	Wonder if coach Pop has slept since Game #4 ended? Probably losing a lot of sleep with Coach Spo's adjustments. #NBA #Finals #Spo
202625777_346254735038373889 x	#HappyFathersDay
202625777_346114874570575873 x	RT @EbenezerSpooge8: The Clippers r in talks to acquire Doc and junk from the Celtics? Can we acquire Pop??? #Sixers
202625777_345702959109263360 x	@EbenezerSpooge8 Was he able to pull off a: "Back, back..." at that British Open or whatever is going on at Merion? #SorryNotSorry #WhoCares
202625777_345699659718742016 x	@EbenezerSpooge8 Boomer? Please... #PlayedOut
202625777_345382971081097216 x	Parlez-vous fran?ais? #ELHEAT
202625777_345364033941155841 x	RT @EbenezerSpooge8: Tony ?
202625777_345361028059656193 x	Think Tony Parker realizes he probably owes Eva Longoria some credit? His game has improved immensely since she dumped him. #Fact #JustSayin
202625777_345359728534253568 x	Jeff VanGundy is so knowledgeable...That's a flop, That's not a flop. Is he serious? Has he ever won anything? #BadCoach #AllTalkNoHardware
202625777_345357157526540289 x	Tiago Splitter has to be kidding right??? Blocked by LBJ, Dwayne Wade & Shane Battier. Who's next? Norris Cole? #YouCantDunk #Stiff #NBA
202625777_345356516968243201 x	@stevemummo LMAO! No doubt bro...I believe it! To be the man, whoo, you gotta beat the man!
202625777_345356311740948481 x	@stevemummo That's right brother! If you smell.........
202625777_345354186453569537 x	@stevemummo Hell no bro...Is that even a sport?
202625777_345349308331220993 x	I thought the report was that Tony Longoria-Barry was injured with some bogus hamstring injury? He looks fine to me...#NBA #DramaQueen
202625777_345348906823069696 x	@EbenezerSpooge8 You think Pop was worried about Spo's adjustments / that matchup? Maybe he contemplated starting Bonner? #RedRocket
202625777_345003741503684609 x	"@USATODAY: Jason Kidd hired as Brooklyn Nets head coach http://t.co/8fwQnJc8qG" Umm???
202625777_344965777759289344 x	If Tim Tebow gets married soon, now that he's with the Pats, his wife is a shoe in for an anchor job @ ESPN. That's how that happens right?
202625777_344965321100247040 x	Ben Davis is so insightful on #Phillies pre-game live. I've learned so much, I'm not sure I can wait for post-game live (sigh). #Fraud #Joke
202625777_344282601105797120 x	RT @EbenezerSpooge8: After watching #TheDoctor doc, the current dumbasses on the #Sixers squad look like they're playing a diff sport.
202625777_343910833362989056 x	Mike Miller putting in a shooting clinic...Truly a #MillerTime that Reggie Miller himself would be proud of! #NBA #LongHairDontCare
202625777_343907237217071104 x	As a #AI & #Sixers fan, watching the NBA Finals reminds me of this: https://t.co/wA8LOIg0MQ
202625777_343905657910620160 x	If Joey Crawford keeps it up in this game tonite, he'll be as hated in Miami as Bartman was by fans of the Chicago Cubs. #Bartman #MarkedMan
202625777_343904287463710720 x	RT @QuotingAriGold: Rt if you miss #Entourage
202625777_343904114998124546 x	RT @atouey: RT:?@KacieFOX29: https://t.co/QQB4ZbauNa?
202625777_343903927407898624 x	"@stevemummo: @hjoneill2nd good for u I'm too lazy to stand there all day ;) have fun fella" The People's Champion too tired? Not! #TheGame
202625777_343903165311242240 x	Steve Javie & Jeff VanGundy both disagree with that call, saying it should be a charge on LJB, not a block. #WhoCares #MoreUselessCommentary
202625777_343899665470746624 x	It's the NBA Finals: Chris & Cliff Paul commercial? Check. Waiting for the Blake Griffin sunblock commercial. #StayTuned #LobCity #PlayedOut
202625777_343826541991587840 x	"@EbenezerSpooge8: Miami only laying 6? Tonites gonna be a bloodbath." Spo's insight is gonna help Miami roll tonight. #Heat #Witness #LBJ
202625777_343793730567958528 x	Ken Griffey Jr "The Kid" #JR had the purest lefty power swing in baseball which translated to a sweet homerun stroke: http://t.co/wCgU3Z9DJm
202625777_343775570611556352 x	Coach Spo seems really focused for tonight's game & LBJ always is...That's bad news for Coach Pop & The Big Fundamental. #WhiteHot #Witness
202625777_343390097485467648 x	@EbenezerSpooge8 No Sergio? Shocker...
202625777_343176860760408064 x	RT @EbenezerSpooge8: C'mon B's. Beat that crybaby Crosby. We hate the Pens in Philly, too. #bostonstrong
202625777_342284111903330305 x	RT @EbenezerSpooge8: Gotta give MLB some credit tho, planting this suspension story just to get ppl talking. I didn't realize the season wa?
202625777_341883894422970368 x	RT @phillyjim76: Congratulations to Angelo Cataldi and the @WIPMorningShow for its 5,000 consecutive show mentioning @donovanjmcnabb in som?
202625777_341743852941606914 x	RT @EbenezerSpooge8: terrible game.  thanks Obama.
202625777_341742956887293952 x	RT @NotBillWalton: Pic of Justin Bieber in 2010, just like every other current Heat fan... http://t.co/op8qzpY9lH
202625777_341736624457142273 x	Jagr with the assist in his old stomping grounds...Bruins running it up now! #LongHairDon'tCare
202625777_341735100834267137 x	Bruins taking it to the Penguins...Not good! We need a Sid the Kid sighting ASAP! Re-open the igloo... #NHL #BostonStrong #PenguinsTalk
202625777_341734228288999424 x	Nice to finally see an appearance by Jesus Shuttlesworth for the Heat...#HeGotGame
202625777_341733850818437121 x	@EbenezerSpooge8 Sad moment realizing we won't see C. Webb until next B-Ball season...Almost as sad as calling a TO with no TO's left. #Fab5
202625777_341732304978321408 x	These Ford commercials are so ingenious..."And is so much better than or." I can't wait to see the next one... (sigh). #PlayedOut #Weak
202625777_341728962562629632 x	@EbenezerSpooge8 No, he'll be introduced as Aaron McKie's assistant coach. #ShowYaLuv
202625777_341730798912815104 x	@EbenezerSpooge8 No doubt, especially when Bynum returns for another impact filled season! #Sixers
202625777_341724016500953088 x	#Birdman
202625777_341718428836573184 x	@EbenezerSpooge8 Spo's wisdom forces Indiana to burn a timeout. #Wizard
202625777_341175729226129408 x	RT @EbenezerSpooge8: @B_2_da_E u think Stern and the bozos at ESPN r gonna let the Heat lose? No way. I hear Tim Donaghy is being reinstate?
202625777_341038767160848384 x	@EbenezerSpooge8 Umm...Although Vogel has out coached Spo, still 1 game to go...in Miami, in case you hadn't heard? #KingJames #CountOnJames
202625777_341168866476584960 x	@EbenezerSpooge8 Spo will adjust?...Wade & Bosh will bounce back? Home court for game 7...BUT Birdman will be back. #HeatIn7
202625777_340872569567723520 x	RT @EbenezerSpooge8: Brick, are you still having your celebrity golf tournament this summer?  No, no. Too many people died last year. #Anch?
202625777_340663404526182400 x	Cole Hamels gets no run support. I can't believe the Phillies only got him a 3 run lead tonight. How is he supposed to win with that? #Fraud
202625777_340654402119548929 x	#StrongerThanTheStorm
202625777_340293592276955136 x	Somewhere Mark Jackson is saying: "Mama, there goes that man." or "Hand down, man down."  LBJ taking over! #ChosenOne
202625777_340290038518648832 x	In my best Dick Vitale impersonation: Indiana needs a T.O. BABY! LeBron is on fire, he's a PTP BABY!
202625777_340289579133317120 x	RT @EbenezerSpooge8: #WNBA is 12 teams.  It's like a full season of playoffs with fewer teams! And talent. #wegotnext
202625777_340284844745576449 x	"If opportunity knocks & he's not home, opportunity waits." Stay thirsty my friends. #Epic #DosEquis
202625777_340284143931912192 x	How many more Blake Griffin Kia commercials & Chris/Cliff Paul commercials will we see before the playoffs end? #Eliminated #PlayedOut
202625777_340282761443176450 x	I never realized how intelligent Charles Barkley is...He is definitely an asset to the #NBAonTNT crew. #WhatDidHeSay
202625777_339936549737209856 x	RT @Mckendo: If anything its a penalty on Detroit only and the goal should stand. That is horse shit officiating waving off a goal for bull?
202625777_339917458137821187 x	RT @EbenezerSpooge8: #theinternship is rated PG13?  That's disappointing.
202625777_339582214100643842 x	Funny how the NBA refs called that travel on DWade affecting the outcome of the game, but the "euro-step" isn't a travel? #NBA #RefsAreAJoke
202625777_339570918537969664 x	Keeping with the Marc Zumoff theme..."In the 4th quarter, the #Heat need to close all windows & lock all doors on defense."
202625777_339570210661076993 x	I'm convinced that Steve Kerr is an idiot...His commentary is horrible! Marv & Reggie must be like why is he here again? #Fraud #LittleShot
202625777_339569242120798208 x	RT @EbenezerSpooge8: More like Sam Old. ??
202625777_339569169169276930 x	To imagine the best play-by-play announcer in the game (Marc Zumoff) calling it..."The Chosen One meets him at the summit!"
202625777_338428904534585346 x	@EbenezerSpooge8 Did you see they ran the ceremonial last mile in the Boston Marathon today? #BostonStrong
202625777_338264972306034689 x	RT @SeanBrace975: Bron played his ass off tonight, but you can't turn it over like that. 1-1 heading to Indiana
202625777_338105981483503616 x	@EbenezerSpooge8 That's: "Flash" to you...
202625777_338049835808739328 x	@EbenezerSpooge8 ?
202625777_338081503831539713 x	@EbenezerSpooge8 I guess at this point I should just be happy that you finally realize it is spelled "rap" not "wrap"...#SorryNotSorry
202625777_338080774676946944 x	@EbenezerSpooge8 Oh, I see, convincing yourself that you actually know/listen to rap music again? Oh, gotcha, good luck with that. #Fraud
202625777_337682275946860544 x	RT @EbenezerSpooge8: Pimpin' ain't easy.  But it's necessary.  #spoogenation
202625777_337009610760282113 x	Glad to see the NBA doesn't fix the lottery. Cleveland? 2 out of 3 years. Gilbert realizes The Chosen One already won 1 title, right? #Fixed
202625777_336557352729849856 x	RT @EbenezerSpooge8: Important 3 game set against the #Marlins.  It's crucial to take 2 of 3.  #PhilliesTalk
202625777_336221443497029632 x	Jalen & Simmons r so insightful...Did I miss their halftime adjustments? "If this happens, this team will win, if not, that team will win."
202625777_336217720582438913 x	@EbenezerSpooge8 Weren't you just at the Phillies game last night??? #Weak #Hypocrite #DieHardFanSince08
202625777_336220789147828225 x	@EbenezerSpooge8 Next you'll tell people you go to Hooters for the wings! It's a shame it isn't football season, because that's a C'Mon Man!
202625777_336218373606240256 x	Glad the entire NBA Countdown crew, except Wilbon, picked Memphis over SA Spurs. Seems legit already.?.? #RedMamba #CountOnBonner #Z-BoWho?
202625777_335565219541680128 x	Nice to see the Penguins took the time for Crosby to heal from his concussions. Maybe the Flyers should've taken that approach with Lindros.
202625777_335399087845306369 x	"...4am at the waffle house..." #Hov
202625777_334828958698844160 x	@EbenezerSpooge8 Man, I know you tried to sell me on the TNT crew...But Steve Kerr's analysis isn't helping your cause pal. #SpoogeNation.
202625777_334843226345336832 x	@EbenezerSpooge8 Umm...Presentation, yes...Broadcasting crews though? Not so sure...Doris Burke could out analyze Steve Kerr. #SorryNotSorry
202625777_334485748185186304 x	@EbenezerSpooge8 Your boy C. Webb calling the game in San Antonio...Oh well, I guess I'll watch hockey. #WhatAJoke
202625777_334488395168497664 x	@EbenezerSpooge8 Well, P.J. was let go by Brooklyn, maybe a reunion?
202625777_334464753915277315 x	RT @EbenezerSpooge8: ?@SeanBrace975: Feel for Melo in this game... Dudes all they got!? We feel for Marks every day. Haha jokes
202625777_333415226215116800 x	RT @EbenezerSpooge8: #Sixers drafted Marreese Speights 1 pick ahead of Hibbert in 08.  Speights.
202625777_333376343993630723 x	@EbenezerSpooge8 At least it is their A-Team calling thr game...Breen & VanGundy and not that tool C. Webb! #TNTthat
202625777_333381512374403074 x	@EbenezerSpooge8 Tirico is your preferred choice I guess? #PlayedOut
202625777_333311855613317120 x	@EbenezerSpooge8 Was your account hacked???
202625777_333318867814334465 x	@EbenezerSpooge8 Nice...
202625777_333025249060876288 x	Good to c Scottie Pippen courtside  tonight. He realizes MJ isn't on the Bulls so he don't have to show up & carry his bags anymore, right?
202625777_333023868824461312 x	Joakim Noah is of swedish/french descent which translates to "I'm a whiner". I think being ejected just raised Nazr Mohammed's minutes. #NBA
202625777_332584573349269504 x	RT @EbenezerSpooge8: Black is slimming.  Unless you're fat.
202625777_332310212897820673 x	@EbenezerSpooge8 Still time left...Gotta get Ove some more ice time. #CapitalsTalk
202625777_332306392054652929 x	@EbenezerSpooge Maybe he is just misunderstood?
202625777_332303128558972928 x	@EbenezerSpooge8 Dunno why you don't like Steve Kerr...He is so insightful! (Sigh) #MJsBeeotch #TimDuncansWingman #ExecutiveOfTheYear #Suns
202625777_332300246044528640 x	Da Bulls do know the lowest score doesn't win? Is there a mercy rule in the NBA? #CountOnLBJ #JesusShuttlesworth #HeGotGame #AllInForDRose
