1033824276_360794985064443905 x	@ThompsonToronto ty!
1033824276_386130049297952769 x	http://t.co/UXQhaLWer2
1033824276_385923477993041921 x	?@Factsionary: Experts say the perfect nap lasts 26 minutes.? so 240 minutes could be considered excessive??
1033824276_385777806002495488 x	RT @beerandbabies: What chromosome do you think men are missing that makes it impossible for them to close a cereal or cracker box? http://?
1033824276_385776627906392064 x	@ryandoyleshow @downsdispatch why is the #FF show not broadcast in its entirety on the podcast? enjoying; fairly new listener...
1033824276_385034388091596800 x	cool vid about rosie's evolution.. ?@HuffingtonPost: What you didn't know about Rosie the Riveter http://t.co/xeNx5LaWfd?
1033824276_384393722017759232 x	RT @BryanCranston: Well, this is it. The last episode ever of Breaking Bad. Thank you for sharing this ride with me. Without you we never w?
1033824276_383974442235219968 x	?@TenMinPod: Y'welc'm @MaaadProblems. W'hope y'gehn'bow'jah. W'glad w'help y'. http://t.co/pz6r2050zh? effing hilarious... listen NOW
1033824276_383900336437489665 x	RT @TenMinPod: Wooooo! Here's @WillSasso's salad from today's episode! Look how happy @bryancallen and @chrisdelia are! Wooohooooo! http://?
1033824276_383781799635066880 x	RT @NightValeRadio: Quiet tapping at your window may be spooky but thats just our overactive imagination!  Likely it's merely a masked intr?
1033824276_383781254815969282 x	RT @NightValeRadio: It's raining men! Meteorologists warning public to take shelter. This is a dangerous, inexplicable, and quite gruesome ?
1033824276_382072597854158848 x	RT @ItsStewieGriffn: I never argue, I just explain why I'm right.
1033824276_381232945303785472 x	Sylvester, Chester, and Spike - oh, these are soooo my dogs... http://t.co/93VN2vKYG0
1033824276_380512988702052352 x	RT @BestProAdvice: http://t.co/OaJvXtKGTT
1033824276_379949521754550272 x	?@HuffPostCanada: The Costa Concordia has been set upright http://t.co/dAWInDdGHk?
1033824276_379335224565329920 x	RT @seinlanguage: Jerry: "You can't eat this soup standing up, your knees buckle."
1033824276_360105230404300800 x	@SSKeewatin http://t.co/dQ5YTu8TL1
1033824276_379301053298003968 x	@crankypants999 @brittmauro wonder if the #dreamweaver is prepping his pics for submission tonight? ?yum
1033824276_379331810015997952 x	@crankypants999 @brittmauro update: evacuated #pitapoo
1033824276_379322583587368960 x	RT @SO_EMBARRASSlNG: Someone slept with MR BEAN... http://t.co/7PkuZjOeWL
1033824276_378999048897720321 x	RT @BestProAdvice: http://t.co/14TZpy4QEM
1033824276_378543150509211648 x	@brittmauro off today?
1033824276_378374015426904064 x	RT @BestProAdvice: If your pour Coca Cola in your toilet, the acid will remove all the grime and clean it
1033824276_377874145201373184 x	RT @BestProAdvice: http://t.co/cWhrZvrJyM
1033824276_377548971167993856 x	RT @globalnewsto: George Smitherman issued a brief statement Tuesday about his missing husband. http://t.co/1gNlO4YBDW
1033824276_377169644282339329 x	RT @GooglePics: The baby cage, for hanging babies out of the window for families without a garden, 1937. http://t.co/sYLGGCo2gh
1033824276_346430628750839808 x	@denise_forget hello, friend!!
1033824276_358986388521230339 x	@denise_forget oh! just saw your message now :( we've got to get together soon!!!
1033824276_362335904955777026 x	@denise_forget hm! no, nothing planned, as of yet... what do you have going on??
1033824276_362754782491983872 x	@denise_forget sounds good! (friday eve doesn't work, but open otherwise!!!)
1033824276_362755087405293568 x	@denise_forget cannot do thursday eve either!!
1033824276_363349143432859648 x	@denise_forget absolutely! 7-ish?
1033824276_373616220613779456 x	@denise_forget hey sista! was just thinking about you! is little man back to school next week? why don't we do lunch?
1033824276_376533382714249216 x	@denise_forget how about the Original Mom's, 9-ish, on Monday morning... I'm flexible if later works better!!
1033824276_377109958992490496 x	@denise_forget see ya there!!
1033824276_377051700801970176 x	@denise_forget let me know what works for you??
1033824276_377108612629291008 x	@denise_forget ok! mom's?
1033824276_377050649113792512 x	#ptsdawareness @Military_Minds  http://t.co/1czE9EQchO
1033824276_377035565402554368 x	RT @LIFECOACHERS: Good morning. Today is Sept. 9, 2013. 10 things you should know today:  1-9. shut the fuck up.  10. eat cookies.
1033824276_376939754387808256 x	RT @xoxoemmamartine: LOL. http://t.co/ebNe5GkXCJ
1033824276_376747266402316289 x	'if only it were this simple...' ?@_flightofideas: http://t.co/V01hc7hvUp?
1033824276_375955568357146624 x	oh ya, she real... ?@TheBest0fFb: http://t.co/RBfX8RhXrM?
1033824276_375941249020084226 x	omg brilliant ?@life_hackss: http://t.co/mriHt3fc3z?
1033824276_375939946260869120 x	RT @life_hackss: http://t.co/3z7I5xV6kT
1033824276_375939067067658240 x	RT @life_hackss: http://t.co/9iNHTyseeI
1033824276_375938812406267904 x	RT @life_hackss: So good! http://t.co/gPXBX39l9j
1033824276_375791592461721600 x	yum ?@life_hackss: Know your cookies http://t.co/uWjN1VprNT?
1033824276_375789472866000896 x	RT @life_hackss: Life Tip http://t.co/Qd1DYwGb12
1033824276_375788499175108610 x	RT @life_hackss: A piece of heaven http://t.co/c2xWLAZ6Jb
1033824276_375787138362535936 x	RT @life_hackss: http://t.co/3BawOTcDti
1033824276_375786106408554496 x	RT @life_hackss: Seriously http://t.co/ilXCAOGxcT
1033824276_360626700419219458 x	RT @DocHackenbush: OMG, you guys. We've been doing queues all wrong. THIS is how to queue: http://t.co/wUAuSO4IxB
1033824276_375232134723563521 x	she likes her mcnuggets... yikes ?@newstalk1010: WATCH: Woman goes berserk after being refused McNuggets. http://t.co/H5cZ6kzhfH?
1033824276_374950674489823232 x	RT @guyism: This GIF of a girl who lost 88 pounds in a year will actually blow your mind http://t.co/ibVDcq6psy http://t.co/1XA6TQ7vom
1033824276_374950494612889600 x	@crankypants999 look at this!!!  http://t.co/Bi9hy9x2sw
1033824276_374946849347497985 x	RT @WhatTheFFacts: Clinomania is defined as the excessive desire to lay in bed all day.
1033824276_374339752142467072 x	RT @WhatTheFFacts: Marina Bay Sands Resort in Singapore has a swimming pool on the 57th Floor...! http://t.co/3NnDlREkbS
1033824276_368558514391642112 x	@brittmauro @crankypants999 ? let's DO it! hahaha...
1033824276_374261305428824064 x	@crankypants999 why did you leave this morning? ~sniff~
1033824276_373616496317968384 x	@denise_forget we had a great time at your place :)  so good to get together after all this time!
1033824276_373087291364737024 x	ha!!?@MindBIowingPics: Please, please do it! http://t.co/OABAbWSr51?
1033824276_372700086901276673 x	RT @AndThenWeSaved: Buyer's Remorse- You Wretched But Wonderful Beast http://t.co/L6R8ceKijS #debtfreelife #archives
1033824276_371112259096829952 x	200 sq ft house in t.o. - - no running water, bathroom or kitchen! so, a shed, really... http://t.co/5s31t7XlXV
1033824276_370899616826273793 x	RT @ItsStewieGriffn: Getting annoyed at people when we hear them breathing or eating is called Misophonia, which is an actual brain disorde?
1033824276_370885234809528320 x	RT @vpbaker: I might use FaceTime more if I looked like the people in the commercial for it
1033824276_370787273727438848 x	RT @MindBIowingPics: that one mistake ? http://t.co/Z02aYkqIGI
1033824276_369090201479442432 x	ha!! http://t.co/Cnm3lU4F8C
1033824276_369083356358529024 x	RT @MindBIowingPics: Old book? Get crafty.. http://t.co/KWPV7zqLgN
1033824276_368847325826793472 x	RT @Q107Toronto: #respectthezep #baby http://t.co/l07DKTomZa
1033824276_368557556966244352 x	@brittmauro @crankypants999 LOVE you guys... wish we could chill
1033824276_368405866128486400 x	nice day out, and i'm inside refinishing these mother effing stairs #perpetualreno http://t.co/GEFqzxVo6p
1033824276_367988193808748544 x	RT @History_Pics: The Eiffel Tower on a snowy day in 1928 http://t.co/Uy7jKmdgj1
1033824276_367499175262298113 x	hey... you awake? @crankypants999 @Nurse_Traci #nightshiftmode?
1033824276_367502942900727808 x	@crankypants999 @Nurse_Traci sounds somewhat uncomfortable... ambush later
1033824276_367365631273750528 x	*squish* http://t.co/vokFzGv72V
1033824276_367364003678265344 x	big tired girl http://t.co/5aoKtUXiFZ
1033824276_367363839089602560 x	hi.. http://t.co/uzG9bn1iEh
1033824276_367362440578605057 x	what now? http://t.co/JWFAbu0HfZ
1033824276_367362239046492160 x	chill jerry http://t.co/E8kBrXOC5B
1033824276_366811148340838400 x	@Mrs_Chapman12 i LOVE us! where's @brittmauro? #pizzadeliciousness
1033824276_365937419834507264 x	RT @TheDIYMommy: #DIY Board & batten hook wall: painted a second coat of white semigloss during naptime today. I think? http://t.co/aWl3Vuz?
1033824276_365660277594787840 x	@MyClosingCosts thanks! he's very patriotic
1033824276_365445637250105345 x	RT @debtblag: Amazing MT @quartzthings Worldwide bike sharing programs as small multi-dot maps http://t.co/xx1LUTL2Mb @EdwardTufte http://t?
1033824276_365169891675881473 x	RT @HomeFail: Concrete Buffers Gone Wild http://t.co/PmXRs5h51G
1033824276_365159244435177473 x	RT @thedoleboy: Irregardless "should be avoided by careful users of English", where the variable careful = all http://t.co/ytCNx3ACKG
1033824276_363997487817695232 x	RT @CDNForceSupport: Happy #?REDfriday  Are you wearing red? -- C'est #?vendrediROUGE  Portez-vous rouge? http://t.co/HqLZjuoAA2
1033824276_363882221188284417 x	RT @ArnoldInOshawa: 14 Year old girl shreds guitar like anybody's business. "Rock" bands of today, take note http://t.co/4v9qovNAlb #amazing
1033824276_363872574129717248 x	RT @girlposts: ? http://t.co/Vm1vOkvlRp
1033824276_363872052375060480 x	RT @madamesnooty: Here's the thing about people who seem to always have it together... They always have it together with the things they al?
1033824276_363666865395990528 x	mirror http://t.co/b2nGeeT7kH
1033824276_361963667555753984 x	meal? unREAL!! what is your onion ring secret? #thompsondiner @ThompsonToronto
1033824276_361966659390537729 x	@ThompsonToronto worth it ;)
1033824276_361964797954236418 x	kudos to mgr at #thompsondiner @ThompsonToronto for handling unruly boyz in tha restaurant last eve  #diplomaticbutfirm #badcustomers
1033824276_361520813003915267 x	@BlueJays make it a good one boyz!! http://t.co/n00EcWmzWw
1033824276_361520311168012288 x	@brittmauro miss you #unrelatedtocarwoes
1033824276_361520052069085186 x	@brittmauro buying? selling? miss you...
1033824276_360778889561247744 x	@ThompsonToronto wondering what the parking options are at your swank hotel...
1033824276_360626383837347840 x	RT @danute629: Hey baby... You been thinking of me?? http://t.co/fhCokVTz9L
1033824276_360227700520140801 x	RT @danieltosh: when is the chopped episode with a chef from applebee's, chili's, fridays & red lobster? your basket: a sad family of 7, a ?
1033824276_360106941776805890 x	accomodations true to the '20s, aboard the @SSKeewatin in #PortMcNicholl http://t.co/vCbIKRWXpT
1033824276_360106087250264066 x	kitchen onboard the @SSKeewatin in #PortMcNicholl http://t.co/4aNNpeX3ty
1033824276_360102183238242304 x	RT @mrmoneymustache: OK. Now it is time to stop sending Mr. Money Mustache emails and comments telling me when to wear my bike helmet http:?
1033824276_359309774820605953 x	RT @theCHIVE: Some of the greatest comebacks of all time: http://t.co/dlyarZWtL9. YA BURNT! http://t.co/FIuGR5pWYR
1033824276_359309354769461250 x	RT @theCHIVE: There is no punishment severe enough for this kind of evil: http://t.co/Ep7Z9zEApM
1033824276_358577062719660032 x	RT @InspWheeldon: This was the view outside the station yesterday at 240pm when I tweeted the Tornado warning. http://t.co/e2xCrbETaB
1033824276_358417991685259265 x	RT @phillamarr: Between these & reports of David Herman, it's pretty clear MAD TV is taking over #SDCC http://t.co/zPvVYIkObk
1033824276_356827368955985920 x	can't decide if i like or dislike this http://t.co/jlPreStGwH
1033824276_357934782111420418 x	@RealtyQueenTO appreciate the feedback! :)
1033824276_357153898642944000 x	RT @Q107Toronto: How #hot is it?.... #humidex http://t.co/1qAIYApaWC
1033824276_356577575432237056 x	window trim, bathroom http://t.co/UAL82TDbyS
1033824276_356542200122851331 x	RT @WhatTheFFacts: Judge Judy makes $123,000 per episode, amounting to over $45 million per year, making her the highest paid celebrity oth?
1033824276_356529446905315328 x	RT @girlposts: i have friends but i also have no friends at the same time u feel me
1033824276_356185432054181888 x	RT @CraigRossRock95: Metallica -- making shopping look bad-ass. http://t.co/4wQzfCfrWr
1033824276_356185001353691136 x	RT @Dunn_Right: There are very few certainties in life   But one thing always is:  No matter what day it is Costco's parking lot is always ?
1033824276_355980301811458048 x	RT @karlophone: Bits and pieces of #weezer playing Only In Dreams tonight at #downsviewpark in #toronto http://t.co/IupEZlU421
1033824276_355644035119071233 x	@brittmauro @Mrs_Chapman12 @crankypants999 love you guys so much ya don't understand ?? you're good peeps
1033824276_355651721315364865 x	@crankypants999 @brittmauro @Mrs_Chapman12 #weinerweek ? do tell...
1033824276_355667762737188864 x	@Mrs_Chapman12 @crankypants999 @brittmauro LOVE the ?team!!
1033824276_355473015661801472 x	sconce; warm wood wall http://t.co/TAXQYuKHkr
1033824276_355472540208078848 x	#tp http://t.co/Vf5pdxGZQl
1033824276_355472260460601344 x	this clock rules... http://t.co/NSjPrjEC5F
1033824276_355183593192034304 x	RT @ITweetForLaughs: Laughing so hard no noise comes out; so you just sit there clapping like a retarded seal.
1033824276_355011375275339776 x	little guy legs and big girl legs, tail tip-to-tip #doglove http://t.co/btxTRKijMe
1033824276_354654905966919681 x	@brittmauro hmm, a dilemma... you always make the right choice, friend ;)
1033824276_354613438997217280 x	RT @torontoist: The site is back up and running! Check out our gallery of photos from last night's stranded GO train incident. http://t.co/?
1033824276_354417992991383553 x	@crankypants999 ?
1033824276_354176038437273600 x	RT @birbigs: I just love this. http://t.co/S8l7NG10Qz
1033824276_353997015094542336 x	this is the #motorcycle course i earned the opportunity to retest at today... such a loooong weekend? http://t.co/gJDDkVuKHT
1033824276_353256920246779906 x	RT @TheOrlandoJones: My new favorite site! http://t.co/8OPbHeaXhg
1033824276_353114201633472512 x	RT @MrSilverScott: Can't believe I saw this on the highway. At 50 m/hr If this dog moved he'd fall. #ShamefulPetOwners http://t.co/nmus7B5d?
1033824276_353111295475712001 x	RT @ITweetForLaughs: remember kids dont mess with fireworks let the adult who have been drinking all day do it
1033824276_353109252820316160 x	RT @ITweetForLaughs: i wish i was an iceberg because icebergs dont have to go to school or have crushes on people they just float around de?
1033824276_351880872254922752 x	Happy Canada Day! http://t.co/F5KOk6p098
1033824276_350914363726655488 x	bathroom storage http://t.co/UJOnC4r0Uh
1033824276_350355151313309696 x	RT @mikeoncrime: U.S. man charged with animal abuse after police say he put puppy in dishwasher, killing it. STORY: http://t.co/8DHrpEnrXu
1033824276_350354278063411202 x	nice. ?@someecards: These people who should really think twice before going topless: http://t.co/4XOSotI9bj?
1033824276_350104055579820033 x	closing in on me... ?@HealthyLiving: 9 secrets you can only learn by turning 40 http://t.co/Wi8lS6PrSJ?
1033824276_349300432381808640 x	minus the glare http://t.co/nVALoOeUN5
1033824276_349300138801504256 x	shedding light http://t.co/N7C0ZqV5uv
1033824276_349141430985433092 x	@crankypants999  http://t.co/jDOSx3ykQc
1033824276_349139007722106880 x	RT @BiteTV: Behold, the diary of a sad cat: http://t.co/Fj7oFRX4BR
1033824276_349135370035789824 x	RT @BiteTV: A video that really trended this week was of a dog just chillin' in his owner's chair: http://t.co/3r6BQ7ZuVw
1033824276_348990950221168640 x	RT @JeffMackDesigns: @CustomMade I wanted to share my #laser cut #headboard with you guys! Laser cut from #steel and powder coated white! h?
1033824276_348980573924114432 x	@THEMOCOLLINS  it looks like you have wings ? ... lovely pic
1033824276_347839348621856768 x	and in today's #canadiantire flyer, the latest fad is this:   #carlashes http://t.co/S9qCfkEkeR
1033824276_348719212950351872 x	@historicbuildco would be brilliant! haha!
1033824276_348037247175639040 x	http://t.co/HAMGSqEWI8
1033824276_347919471555538946 x	bacon vs. bagel infographic @TacklingOurDebt  http://t.co/OP7ZzvdF14
1033824276_347521895698149376 x	RT @AndyFrostQ107: Actor James Gandolfini has died of a possible heart attack, at age 51, while on vacation in Italy. #tonysoprano
1033824276_346363574903533568 x	getting there http://t.co/mYSynEQptQ
1033824276_346229318063628289 x	do you instagram? check out this parody... brilliant! http://t.co/OLxgz6NWkg
1033824276_346067257530650625 x	RT @helenspitzer: iPhone found bike lane Queen+Ossingtn. Case smashed; phone OK If you know passwd/case type--it's yrs #Toronto Pls RT http?
1033824276_345706730757431296 x	RT @ManagingtheBull: 1. Do what you say you are going to do 2. Show up on time 3. Say please and thank you
1033824276_345633587070107648 x	RT @OSPCAMidland: FOUND:  ROTTWEILER, FEMALE, YOUNG ADULT. RUNNING ON HIGHWAY 400 SOUTHBOUND NEAR COLDWATER EXIT. HAS AN INVISIBLE... http:?
1033824276_345362594707681280 x	RT @TheRock: Thats a true story. Got cut from the Canadian Football League & $7 bucks in my pocket. These contestants all have it..  #Resil?
1033824276_344975816901394432 x	RT @girlposts: me when i shave my legs.. http://t.co/3S9bJub1QR
1033824276_344972761850068992 x	hex #tile floor newly completed http://t.co/NSwBiGab8R
1033824276_342621647058137089 x	#boneandbread #saleemanawaz excellent book! http://t.co/As91BnOtdF
1033824276_342315734728331264 x	excellent read  http://t.co/4NTOjNy1xn
1033824276_342283389950377985 x	@brittmauro haha... well, reserve judgement til you see the finished product?
1033824276_342273893995773952 x	ahh!!! the first of the new bathroom tiles being laid!! #tile #hardontheknees http://t.co/kbPJkXxWhm
1033824276_342236759582703616 x	RT @StuDebtSurvivor: $59 mattresses: Being Satisfied With What You Have http://t.co/SXOKcFjdmy @studebtsurvivor
1033824276_342233097695277056 x	weird, but interesting http://t.co/VPc1cBy8aS
1033824276_342105159599550465 x	"I eat pieces of shit like you for breakfast" http://t.co/9y8yekD51a
1033824276_342101558596620288 x	good read. oh canada? http://t.co/pXWJADp7EO
1033824276_341973271874519041 x	Simple window trim ideas via @pinterest http://t.co/7FcNaSgG80
