377125032_368902125792673792 x	Something scary could be heading your way! http://t.co/5SRwMcSHw7
377125032_385932506681593856 x	My Horrible Reviews - 5 Stars for a new Halloween novella from Lisa Morton "Summer's End" @JournalStone  http://t.co/TA1DD3hK2s
377125032_385926967390142464 x	Sign of an effective advertising campaign.  When fast forwarding through commercials hearing, " Ooh, ooh stop,... http://t.co/5Jl4QHDDHa
377125032_385833618381103104 x	My new review of "Summer's End" by Lisa Morton is now up @cinriter @JournalStone 5 Stars - Happy Halloween!!! http://t.co/QtkIYpZfT5
377125032_385587678580056064 x	It's FREE and delicious.  I  really like this series.  Here's my review from last October.... http://t.co/upnDgvO0Uf
377125032_385568015305428992 x	For the evening twitterverse.  My 4 Star review of Truth: The Hero Chronicles Book 2 by Tim Mettey http://t.co/xtmOR9TiFc
377125032_385546963372240896 x	Dear Comcast...what good is providing the "Fastest" internet if the connect drops several times a day?  3 years... http://t.co/HRtN8KsIoV
377125032_385500549304811521 x	I'm reading Lisa's Halloween novella now and will likely review tomorrow.  See what she has to say about her new... http://t.co/JI7iAhfh5T
377125032_385487254040629248 x	For the afternoon gang.  My review of Trust: The Hero Chronicles (Book 2) is LIVE - 4 Stars - http://t.co/xtmOR9TiFc Entertaining YA novel
377125032_385427609162891264 x	Another great writer gone.  R.I.P.  Tom Clancy. http://t.co/1vgkMOdkFm
377125032_385416665741025280 x	My Horrible Book Reviews: Trust: The Hero Chronicles (Volume 2) - by @TimMettey http://t.co/bQ6X4Iih8e  4 Stars.  Entertaining YA reading.
377125032_384336936963690496 x	It's not free, but at .99 cents it's like they're giving it away.  Read my review and then get this one before... http://t.co/N6aORD49YG
377125032_384293528891035648 x	Here's one I read and really enjoyed and right now Bob Ford is offering it for FREE.  Enjoy! http://t.co/DRgUrFFlxf
377125032_383781062008401920 x	For the evening gang LIVE @HorrorWeb my review of "Horror Without Victims" edited by DF Lewis http://t.co/SeQ0W1Offv There are victims.
377125032_383774448073322496 x	THE CAGE - Cast Announced http://t.co/uaDfLMr470 @BrianKeene
377125032_383754074900135936 x	Two weeks from Sunday. ;-)  "@HorrorSociety: The Walking Dead - Season 4 Promo  - http://t.co/iQCPd5Um2y #horror #horrornews"
377125032_383727901168111616 x	Black Beacon Books: 809 Jacob Street cover reveal http://t.co/MYNEcWtj8u
377125032_383631837911740416 x	My review of "Horror Without Victims" Ed. by DF Lewis is now LIVE at http://t.co/VyuhA2vVq4 Click http://t.co/SeQ0W1Offv There are victims.
377125032_383613773996883969 x	#FridayReads "The Hero Chronicles: Book 2 - Trust" by @TimMettey
377125032_383329330409246720 x	Throwback Thursday! http://t.co/5v0yp2OTuc
377125032_383304661261750272 x	My Horrible Book Reviews: Horror Without Victims - An Anthology from DF Lewi... http://t.co/FkSHN9edpz  3.5 Stars There were victims...
377125032_382664372835074048 x	Sounds like fun... http://t.co/YnbEyCfGBc
377125032_382612181532958720 x	Thank you F. Paul Wilson. http://t.co/FddhHJBm4Z
377125032_382334115552698368 x	Sad to hear of the passing if yet another horror writer.  Gary Brandner, author of The Howling passed away on Sunday.  R. I. P.  Gary.
377125032_381859383564861440 x	And while you're there, please sign the petition.  Let's  get this to Congress and have them do something... http://t.co/xvOF0jtOwN
377125032_381821068240904192 x	Congrats to Ryne.  Looking forward to 2014. http://t.co/VNIctN7DnK
377125032_381759903930408960 x	I'm Sherlock Holmes.  Thanks for sharing Sandie Ann. http://t.co/lPJJ0TCcQS
377125032_381380690765312001 x	The original Wizard of Oz is out this week on IMAX in 3D.  Has anyone seen it and is it worth it?
377125032_381379802550128640 x	My review of @JeremyCShipp's new collection of shorts, "Monstrosities" is live @HorrorWeb http://t.co/6Gyhz2uN50 Bizzarro fiction done well
377125032_381365217562615808 x	I doubt this is legit, but why not, right? http://t.co/93gERTCysA
377125032_381238218513203200 x	The original version of the The Wizard of Oz is out this week on IMAX in 3D.  Has anyone gone?  If so, was it worth it?
377125032_381110294522511360 x	At my Horrible Book Reviews blog. My review of the new collection from @JeremyCShipp "Montrosities"  http://t.co/7Lc31jVW7x Bizzarro fiction
377125032_381129771033169920 x	@JeremyCShipp You are a class act and I enjoy your posts ;-)
377125032_381059333620252672 x	Here, here! http://t.co/uB8helk1Bg
377125032_381026609634893824 x	#FridayReads "Monstrosities" from @JeremyCShipp  Crazy bizzarro fiction, but what else would you expect from Jeremy?
377125032_380854685231775744 x	RT @MsMamatas: I just watched the documentary called "A Place at the Table" about hunger in America. Those who voted to cut SNAP are actual?
377125032_380786995234361344 x	For the PM crowd.  My review/preview of the upcoming novella, Jack & Jill, from Kealan Patrick Burke http://t.co/ubBnDvL8ny. Serious horror.
377125032_380735925409431552 x	A preview/review of a new work from @KealanBurke "Jack & Jill" by Kealan Patrick Burke.  It's gonna be great-5 Stars http://t.co/fnud0AutqK
377125032_380417251012530176 x	Worth a shot...  <iframe frameborder="no" style="margin:0 auto;display:block;"  width="500" height="847"... http://t.co/zz9PJRgdaC
377125032_380335362221948928 x	My review of "The Hungry 4: Rise of the Triads" by @stevenwbooth & @HarryShannon is now LIVE on @HorrorWeb http://t.co/AckXZVh37R 5 Stars!
377125032_380056961460350976 x	Sheriff Penny Miller's back in The Hungry 4:Rise of the Triads by @stevenwbooth @HarryShannon @The_Hungry . My review http://t.co/vNgci37C0R
377125032_379738805303255040 x	I'll be posting my review late Wednesday.  Penny Miller's back and she's kickin' ass. ;-) http://t.co/VDAKe6sgOD
377125032_379659685881589760 x	For PM readers, my review of "The Translators" by @gordrollo 5Stars  http://t.co/LYCw8MxfFm    Welcome to the end of the world. @HorrorWeb
377125032_379561722983370753 x	My review of "The Translators" by @gordrollo now up at http://t.co/VyuhA2vVq4 http://t.co/uxyGhl3W8a @HorrorWeb  Welcome to the appocalypse.
377125032_379338280053252096 x	And Eagles fans get their reality check.
377125032_378682026070904832 x	I started to respond to all of your birthday greetings, but given my age, I need to take a nap before I finish,... http://t.co/JEvWMYWtE1
377125032_378576774696665089 x	#FridayReads  4th installment of "The Hungry" series.  Like a bag full of candy after 6 months of dieting @stevenwbooth @HarryShannon
377125032_378570321487355904 x	New Season of #Haven tonight on @SyFy  Yes!!!
377125032_378572374355898368 x	@Spot_Speaks @Syfy  Looking forward to seeing how they wiggle out of last season's ending.
377125032_378569568429408256 x	@Spot_Speaks Stacey Turner is one smart cookie.  #mmmcookies
377125032_378558044608544769 x	My review of the debut novel, "Revenant Road", by @MichaelBoatman is Live http://t.co/IB2fKI7ZQg @HorrorWeb Fun stuff http://t.co/4MGAiBTsv8
377125032_378484561480388609 x	For the morning gang...My Horrible Reviews - 4 Stars for "Revenant Road" by @MichaelBoatman_ from @darkfuse Fun read http://t.co/YxS4RnOrK8
377125032_378350147291201536 x	My Horrible Reviews - 4 Stars for "Revenant Road" by @MichaelBoatman_ from @darkfuse Fun read http://t.co/YxS4RnOrK8
377125032_378254420955250688 x	The Early Readers Club! And our First Prize Winner Is... http://t.co/t6WYd5iGZy
377125032_378239900694614016 x	Love her or hate her, there is a preponderance of truth in what she says and it's time we wake up and do... http://t.co/fFW60Kkj74
377125032_377490072649478145 x	My 5 Star review for Gord Rollo's upcoming "The Translators" @gordrollo takes us to the end of the world. @Enemy1ne http://t.co/wmEQ0FIKJS
377125032_377246147808866304 x	I voted for JournalStone.  They are one of the hottest Small Presses today and always deliver a quality product.... http://t.co/TNziG3S4Zq
377125032_377245405463195649 x	RT @Hellnotes: JournalStone just keeps rolling along.  Head on over to Barnes and Noble and pick up your copy of Limbus, Inc. http://t.co/0?
377125032_376820342838554624 x	RT @ApexBookCompany: Granny?s unperfected immortality moonshine is a recipe for disaster. Desper Hollow. http://t.co/VZZ1lcLcW5
377125032_376700299475697664 x	FREE for now.  Read my 5 Star review and then get your FREE copy of Matthew Tait's Dark Meridian.... http://t.co/bZDiqXpoIN
377125032_376531608691826688 x	Jonathan "I didn't come here for this" Papelbon blows another save.
377125032_376431046088491008 x	Grest price for a good Zombie story... http://t.co/Xzbsgjmax4
377125032_376322125768187904 x	My review of "The Demon's Wife" by Rick Hautala now live at http://t.co/DGiOmrQzny  @HorrorWeb @JournalStone 4 Stars http://t.co/SxsujxJkwT
377125032_376314956993794048 x	Yard Sale til 1.  It's cold out here.  We're in Norristown.  If you need the address, let me know and I'll message you ;-)
377125032_376150087824453632 x	My 4 of 5 Star review of Rick Hautala's "The Demon's Wife" from @JournalStone @HollyNewstein   http://t.co/nDLC0yqx2P
377125032_376120921658261505 x	#FridayReads. The Demon's Wife by Rick Hautala from @JournalStone  Just finished.  Review to follow ;-)
377125032_376061117845766144 x	For sale for .99 cents.  So worth it.  Check out my review then read it on the cheap.... http://t.co/TTVQqLkemz
377125032_375930469063593984 x	#FridayReads "The Devil's Wife" by the late Rick Hautala from @JournalStone.  Great story.
377125032_375766245830062080 x	Writers need to be aware http://t.co/JNbzgMbNFT
377125032_375308497757282304 x	@ApexBookCompany I think that would be my ideal job ;-)
377125032_375090053846151168 x	"@AHSFX: #AmericanHorrorStory #Coven http://t.co/7RzZXVq8c3" Now that's creepy!
377125032_375012797697908736 x	My review of @ApexBookCompany Science Fiction/Fantasy anthology "Glittern & Mayhem" is no up @HorrorWeb   http://t.co/OyXpgXhDUl
377125032_374680528030801920 x	My review of the new @Journalstone DoubleDown book Smog/Baggage of Eternal Night is now LIVE @HorrorWeb http://t.co/bicj0H5y6j
377125032_374645459177848833 x	Review 4.5 of 5 Stars @JournalStone "Smog/Baggage of Eternal Night" from Lisa Morton @cinriter and @ericjguignard http://t.co/9uXvP2CrCC
377125032_373927817261490176 x	Horrible Book reviews 4 Stars for "Manifesto UF" Urban Fantasy anthology http://t.co/9yCSm4rFgZ @Marquitz  @stateofreview @Spot_Speaks
377125032_373561291564384256 x	Velma The Zombie Slayer http://t.co/YV58oEjCHI
377125032_373525846344343552 x	RT @BrianWMatthews: Please RT! Forever Man from @JournalStone. Small town #horror, no sparkly vampires. $0.99 this weekend only! http://t.c?
377125032_373451888236048384 x	#FridayReads  Manifesto UF - New Urban Fantasy Anthology from Angelic Knight Press ;-) @Marquitz @stateofreview @Spot_Speaks
377125032_373447746763902976 x	Thanks to Brent Adams. http://t.co/msMzq0qcX1
377125032_373082209097228288 x	There is still time to sign up for The early Readers Club from Cemetery Dance.  No cost to sign up.  Check it... http://t.co/A0uD2lkNOy
377125032_372768427238514688 x	Enough truth to make one smile and get depressed at the same time...Thanks, Howard. http://t.co/SRGaGRcNUb
377125032_372083610494324736 x	RT @ApexBookCompany: Zombies in Appalachia? Yes, please! http://t.co/JrNGcTJXT1
377125032_371739789651095554 x	RT since I misspelled Tom's name last time.  5 of 5 stars for this genre bending novella from @TomPiccirilli  http://t.co/aJ5ZBLZLXm
377125032_371691421977554944 x	5 Star review of "The Walls of the Castle" by Tom Piccirilli now up @HorrorWeb http://t.co/0X57M6L0S9
377125032_371666683221774336 x	It's what I'm reading now ;-) http://t.co/nsaRnhmWL9
377125032_371660333406232576 x	5 of 5 stars for this genre bending novella from @TomPicirilli and @Dark_Regions_Pr http://t.co/aJ5ZBLZLXm
377125032_371072752201244672 x	#FridayReads Just starting "The Walls of the Castle" from @TomPiccirilli  :-)
377125032_371027541647441920 x	http://t.co/r5MkPIkoRI
377125032_371026053097357312 x	Here's my review of the new anthology from @ApexBookCompany, Glitter & Mayhem - Edited by John Klima, Lynne... http://t.co/QHwyQZYqbF
377125032_370340882937282560 x	If you still haven't gotten yours, get it for FREE before these guys come to their senses. http://t.co/wh57ysza5D
377125032_370289090387648512 x	It's no secret that I've never been a fan of Charlie Manuel as a manager of the Phillies and I'm glad we've moved... http://t.co/XiZ6rwN4M6
377125032_370253083504156672 x	RT @HorrorWeb: I Can Transform You by Maurice Broaddus as reviewed by Frank Errington at Horror-Web  http://t.co/A8IKn8gDKW
377125032_370250831632683008 x	Worth checking out ;-)  Early Readers Club: Read Tomorrow's Bestselling Books Today! http://t.co/XfzC9tOSWG
377125032_370233328970264576 x	Looking forward to this one.  Tim's last anthology was one of my favorite books from 2012 ;-) http://t.co/ToSq4WvsPm
377125032_369909183262760961 x	This is currently FREE for the Kindle.  Been meaning to get this one and FREE is a great price... http://t.co/Qp7kXiSMdK
377125032_369831479523934208 x	Hard to believe he was 87.  Active til the end.  R.I.P Elmore Leonard. http://t.co/bwrGc9fWM0
377125032_369512673374765056 x	Maria Sh, Timothy Pettit, Lamont Smith, Sifu Jose Knight, Kyle Dearden, Eric Silberberger and the rest of my IT... http://t.co/saPW6q5iVA
377125032_369173652874346496 x	Who needs photoshop when the truth is just as much fun. http://t.co/CxX8mVSBSG
377125032_369099392877199360 x	Review of @ApexBookCompany Voices series "I Can Transform You" by @MauriceBroaddus is now up @HorrorWeb http://t.co/uPyMVBEIYW
377125032_368884694559227904 x	RT @MsMamatas: Remember when we were all like "Occupy This!" or "Occupy That"?  That was fun.
377125032_400083976930754561 x	A great deal on Australia's premiere magazine of Dark Fiction. http://t.co/KPJcJqa2nU
377125032_400060939846029312 x	I think it's clever and the world needs to lighten up. http://t.co/QDiBIqvdHs
377125032_399954993597648897 x	Thank you to my brother Bruce E Errington and my father Warren Sr. for your service and to all the men and women... http://t.co/i2KRsoCfwS
