1373125148_395004987451138049 x	@TonyBrunoShow go ahead hater
1373125148_349361801571483649 x	Fans booing Gary Bettman is beautiful #stanleycup #karma
1373125148_348917525905543168 x	@HARRYMAYES975  that's some great penthouse est'd knowledge
1373125148_348718706026745856 x	RT @drunk: There was a 4 car wreck in Mexico yesterday. 87 people died.
1373125148_348111795086577665 x	@JonandSeanShow  that's right brace There's no better playoff experience then to cup!!!.........That's  awesome
1373125148_347764189756006400 x	RT @MensHumor: As you get older you realize that the "cool" parents were actually just bad parents.
1373125148_347582368539877376 x	RT @UberFacts: More serial killers are born in November than any other month!
1373125148_347456734023016449 x	@MikeMiss975 know what I'm sayin mike, that really fry's my banana
1373125148_346823669789634560 x	@WhatTheFFacts sugar is toxic when burned
1373125148_346377046462705665 x	@Joeyrusso I'm sure you killed it, sick fills #glunekatglunegadubbadubba
1373125148_345037511590039553 x	@TonyBrunoShow #travesty
1373125148_345035146677854208 x	@TonyBrunoShow work will be tough tomarrow your gettin old ya know #gotobed
1373125148_345023884371849216 x	@HARRYMAYES975 that's right Harry, nba finals this good??? #getout
1373125148_345022833581256705 x	@TonyBrunoShow amen brother
1373125148_344211492620627968 x	@HARRYMAYES975 #getoutgetout
1373125148_344126966414340096 x	@billburr "I dunno how they're still in business, you thnk they could sell mops at Walmart the next day if they were fuckin kids"  #legend
1373125148_343911095452463104 x	@TonyBrunoShow  poor choice if words...but I hate the nba
1373125148_343913928524460033 x	@TonyBrunoShow all the knowledge I drop on you and you respond to that....#ridiculous
1373125148_343916659922305026 x	@TonyBrunoShow there's some good ones throughout my short twitter history
1373125148_343913515385503744 x	@TonyBrunoShow   Beautiful
1373125148_343229629835923457 x	@billmaher the delivery was top notch tonight
1373125148_343033500422774784 x	@TonyBrunoShow  @HARRYMAYES975   Those audition tapes need more bong hits in the background
1373125148_340489355699314688 x	@tonybrunoshow. What the hells a banlon
1373125148_340483656344809474 x	RT @PaisteNation: Happy Birthday JOHN HENRY BONHAM (May 31, 1948 - September 25, 1980)! #Paiste #2002 #GiantBeat #LedZeppelin http://t.co/F?
1373125148_339576278220939264 x	RT @TonyBrunoShow: Turned on Heat-Pacers in time to see all 3 officials miss a 24-second violation and a 4 pt swing. #JokeLeague
1373125148_339080604119334914 x	RT @YourAnonNews: Meanwhile the mainstream media on #MarchAgainstMonsanto in over 400 cities. Thanks for nothing! #MAM http://t.co/WYOpZR9Z?
1373125148_338452965138505728 x	@NHLonNBCSports  Helter Skelter.....  They circle the wagons.!!!   #legend
1373125148_337766078820265985 x	@TonyBrunoShow  tell this to that blowout @MikeMiss975
1373125148_337226737152839680 x	@TonyBrunoShow @HARRYMAYES975   Genesee cream ale $5  6 pack $50 hangover  #frontiersaloon
1373125148_336337645665910784 x	RT @fakecoatesy: Great year. I was a roadie on the Physical Graffiti tour. Met Barb. Did Peyote. Got lost. RT @DJKIDNEYFAILURE 1975
1373125148_336231969992093696 x	@HARRYMAYES975  he should be a flyer right now
1373125148_335874138193395713 x	RT @UberFacts: The common female equivalent for ?morning wood? is ?morning dew.?
1373125148_335871110375677953 x	RT @fakecoatesy: When Tom McCarthy speaks, His boobies jiggle up and down. Chris Wheeler makes me mad, Toupee-wearing ass-clown.  #CoatesyP?
1373125148_335465355667447808 x	RT @JamBase: "Felt as though I was half asleep floating through a dimly lit pink fog-filled hallway that was cotton candy scented" http://t?
1373125148_335235588372430848 x	RT @fakecoatesy: I just ripped one too. #Ripe RT @Real_ESPNLeBrun Doughty rips one from the point
1373125148_335226365362204672 x	@espn and while your at it why don't you make an espn Philly??!?.....oh right Dallas is a bigger market.
1373125148_335226041943609344 x	@espn  You Hockey haters, why don't you update us on some more soft ass basketball games.....
1373125148_335174461579993088 x	RT @AnthonySan37: Checked the Twitter votes for @Simmonds17 and the #Flyers fans are damn impressive. That doesn't mean U should stop! Retw?
1373125148_335055425378594817 x	RT @JonandSeanShow: The @JonandSeanShow supports @NHLFlyers @Simmonds17 in the #NHL14CoverVote! #NHL14Simmonds Show your support & RT!
1373125148_335037775818670080 x	RT @NHLFlyers: #NHL14covervote twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting  #NHL14Simmonds or sim?
1373125148_334116391168909312 x	@HARRYMAYES975  I can't stand the rangers
1373125148_334076232528429056 x	@johnkadlecik come to Philly !!!
1373125148_333725326528106496 x	@TonyBrunoShow    *knowledge
1373125148_333725170265120768 x	@TonyBrunoShow  that's great Kyle Kendrick breakdown knowledfe
1373125148_333418671940714497 x	RT @NHLFlyers: How good has Claude Giroux been playing for Canada at the World Championships? Just watch these highlights? http://t.co/O9Xx?
1373125148_333316734536794112 x	@Joeyrusso  Here is a tribute the masterpiece you layed out 7/10/10 Mann centre....slipknot! Grand finale  http://t.co/ccCw19PmGE
1373125148_333316387005161473 x	Here is a tribute the masterpiece you layed out 7/10/10 Mann centre....slipknot! Grand finale  http://t.co/ccCw19PmGE
1373125148_333300772202754048 x	Yeahhhh
1373125148_332713013310259201 x	RT @UberFacts: Aside from being a founding father of the US, Benjamin Franklin also gave guitar lessons.
1373125148_331605987398135808 x	@TonyBrunoShow  can the flyers skate with any of these playoff teams? definitely not the kings or blues
1373125148_331255058312331264 x	RT @WhatTheFFacts: John Bonham, the drummer of Led Zeppelin, had consumed over 40 shots of vodka during the last 12 hours of his life.
1373125148_331139337636937729 x	@MikeMiss975 That's some good Stanley cup playoff knowledge
1373125148_329966892318076928 x	@TonyBrunoShow  That's some good NBA breakdown knowledge
1373125148_327866460162633729 x	@TonyBrunoShow
1373125148_326494708098547714 x	RT @billburr: If someone threw out 80% of my shit, it would take me 6 months to notice.
