1953450804_395784159030833152 x	I will be using http://t.co/qQGzXNHW0y to manage and clean my twitter account
1953450804_394779670895665152 x	RT @ComedyPosts: my saturday was going pretty well until i realized it was sunday
1953450804_394335482286321664 x	RT @FLlRTATlONSHIP: 99% girls turn on when boys have body like this ;) http://t.co/xzr1IbfKUy
1953450804_394334489251680256 x	RT @Lmao: Friend: "Hey you're blocking the view!"   Me: "Bitch, I am the view."
1953450804_394334463720955904 x	RT @Lmao: roses are red   violets are blue   faces like yours belong in the zoo   don't be mad i'll be there too   not in the cage but laug?
1953450804_394334401623904256 x	RT @Lmao: Teacher: "Sit up front."  Me: "Bitch, I sit in the back for a reason. I don't want to see your ugly face in HD."
1953450804_394334367008313344 x	RT @notesbooklet: Best relationship advice: Don't do anything you wouldn't want your boyfriend/girlfriend to do
1953450804_394334351040593920 x	RT @AdorableWords: do u ever go to school confident in what ur wearing and then u actually get there and ur kind of just like wow well this?
1953450804_390337813721677824 x	RT @UntoIdSecrets: 2 million videos are added to YouTube everyday.
1953450804_390073429313191936 x	RT @ExoticFactsPage: 50% of college students never graduate.
1953450804_394334271860506624 x	RT @GhettoChiIdren: Person is typing... Person is typing... Person is typing... Person is typing... Person is typing... Person is typing...?
1953450804_394333068724826112 x	RT @andrewhale5270: Holy shit he is funny as hell go follow @Funny_Truth
1953450804_394332339058520064 x	RT @Gain_FoIIowers_: WANT 700 NEW FOLLOWERS? EASY  1.- FOLLOW @PhrasesForGirls  2.- RETWEET THIS  3.- CHECK YOUR FOLLOWERS IN 10 MINUTES!  ?
1953450804_394332148163174400 x	RT @SexFactsOfLife: Dimples are attractive.
1953450804_394332105247035392 x	RT @TheseDamnQuote: Boys, if you really care about her, you'll make time for her. Its not hard to pick up a phone and send a text message.
1953450804_394332089392582656 x	RT @TheseDamnQuote: I want an honest relationship. No lies. No mind games. No cheating
1953450804_394332076864208896 x	RT @Rudeposts: ?..?? oomf so black, I clicked on her avi & thought my phone died.. ????
1953450804_394332006198157312 x	RT @TheseDamnQuote: Silence is a girl's loudest cry..
1953450804_394330888722345984 x	RT @GirlfriendNotes: I am strong because I've been weak. I am fearless because I've been afraid. I am wise because I've been foolish.
1953450804_394330802906857472 x	RT @PassionPosts: My feelings confuse me.
1953450804_394330774104576001 x	RT @ComedyOrTruth: every school has one guy that doesnt wash his hair and kinda has a moustache but not really
1953450804_394330737328943104 x	RT @ComedyOrTruth: just choke on a cactus you stupid bitch
1953450804_394330677778190336 x	RT @__SexyBitch___: It's cold as fuck outside
1953450804_394328348450516992 x	RT @Factsionary: Chocolate ice cream improves focus and increases energy.
1953450804_394328235548233729 x	RT @UnusuaIFactPage: A condom will last about a month when stored in a wallet; any longer and it?s likely to break.
1953450804_394328223724494848 x	RT @FactsOfSchool: 3 things I've learned in school:   texting without looking   sleeping without getting caught   and team work on tests!
1953450804_394328052307464192 x	RT @GirlfriendNotes: NO female wants a lame, uneducated, weak minded, childish, lying, dirty, cheating, disrespectful guy.
1953450804_394328016983031808 x	RT @GirlfriendNotes: You can't have a relationship without any fights, but you can make your relationship worth the fight.
1953450804_394328003619991552 x	RT @auliamitap: i don't have a type. if i like you then i like you
1953450804_394327926046347264 x	RT @SayingsForGirls: Your smile.  Your eyes.  Your voice.  Your laugh.  Your warmth.  Your existence.  You.
1953450804_394327860791742464 x	RT @BestTextMsgs: I need someone who won?t give up on me, no matter how many times I mess up.
1953450804_394327841321787392 x	RT @GirIFacts: relationships last longer when nobody knows your business
1953450804_394327815300337664 x	RT @AdmirabIeWords: A real boyfriend isn't afraid of holding his girl's hand in public. ??
1953450804_394327735520464896 x	RT @GhettoChiIdren: My hobbies: Complaining Eating Listening to music Laying in bed Tweeting    ...and I'm so fucking talented that I can d?
1953450804_394327686988181504 x	RT @FactsAboutBoys: His smile. His eyes. His lips. His hair. His laugh. His voice. Him.
1953450804_394327417403494400 x	RT @TheseDamnQuote: I love you, but I hate the way you act sometimes.
1953450804_394327402710839296 x	RT @tbhpIeaseno: 2 weeks ago: single  Last week: single  Next week: single  Next month: single  Next year: single  Next decade: single  Nex?
1953450804_394327371765252096 x	RT @TheseDamnQuote: When you truly care for someone, their mistakes never change your feelings because it's the mind that gets angry but th?
1953450804_391790727828475904 x	keep calm And slap her ass......
1953450804_391790144572768256 x	RT @neverknownfacts: Dating someone you've first created a friendship with is both beneficial to your physical & mental health.
1953450804_391790129758486528 x	RT @itsboyschapter: Ignore me, It's cool. But when I move on don't say shit.
1953450804_391788268573839360 x	I love you....... More than you'll ever know.........
1953450804_391788024549240832 x	No age for doing SEX............
1953450804_391786527489294336 x	RT @TheWorldStories: 6 generations in one photograph: 111 years - 88 years - 70 years - 39 years - 16 years - 7 weeks. http://t.co/0j8jjQBj?
1953450804_391785895990673409 x	RT @CauseWeAreGirIs: In a relationship: don't lie, don't cheat and don't make promises you can't keep.
1953450804_391785339050024960 x	RT @FemaIeThings: It actually kills me when we don't talk.
1953450804_391785327683448832 x	RT @FemaIeThings: Guys who play with your hair while you're laying down ???>
1953450804_391785288697393152 x	RT @SexualTurnOns: Short girls are the sexiest.
1953450804_391785077807796224 x	RT @FlirtyWords: I'm not single, I'm not taken, I'm simply on reserve for the one who deserves my heart.
1953450804_391785036200312832 x	RT @Relationship1O1: U can delete the messages, but u cant delete the betrayal....
1953450804_391784146156007424 x	193 Funny and Interesting Facts - Laughter HELL!: http://t.co/N2qemngyxB
1953450804_391783644961845248 x	lets play in the shower.................
1953450804_391783518860111872 x	lets morning sex with me.............
1953450804_391783248361431040 x	RT @HornyFacts: Women want sex just as much as men, they are just better at hiding it.
1953450804_391782500210847744 x	RT @QuickLifeFacts: Single doesn't always mean lonely and Relationship doesn't always mean happy.
1953450804_391782471085596672 x	RT @QuickLifeFacts: Say what you feel, it's not being rude. It's being real.
1953450804_391782312754823168 x	RT @UnusuaIFactPage: son: dad I have a girlfriend    dad: who? what does she look like?    son: she looks like this http://t.co/6mmYrz0YRt ?
1953450804_391781058943139840 x	RT @reIatabIe: That one person everyone loves and you're just like    W    H    Y
1953450804_391780984720723968 x	RT @GirlDaily: When a girl is in love, you can see it in her smile. When a guy is in love, you can see it in his eyes.
1953450804_391780926260510720 x	RT @TweetsWeLove: Sometimes, you think you want to disappear, but all you really want is to be found.
1953450804_391779911129899008 x	RT @TheSexology: I miss your kiss.
1953450804_391779724676329472 x	RT @TweetsWeLove: Wanted by MANY...Taken by NONE, Looking at SOME...Waiting for ONE.
1953450804_391778076168052736 x	RT @SexualTurnOns: Dimples are so damn attractive.
1953450804_391778062771453952 x	RT @SexualTurnOns: Over 97% of women are turned on by neck kisses.
1953450804_391777995805179904 x	RT @SexualTurnOns: Grab her hips, and kiss her lips.
1953450804_391777771967754240 x	RT @SexualTurnOns: When they tilt up your chin to kiss you.
1953450804_391776884482007040 x	RT @MireyaStemler: What girls want: to be loved, to be listened to, to be desired, to be respected, to be needed, to be trusted, and someti?
1953450804_391776842840940544 x	RT @EssentialFact: More money is spent each year on alcohol and cigarettes than on Life insurance.
1953450804_391773810405679104 x	RT @UntoIdSecrets: Having sex can help relieve a cold. So next time you get sick, sex is your medicine.
1953450804_391772943333990400 x	RT @UntoIdSecrets: The average teenager spends 31 hours a week on the internet and 4 hours a week on homework.
1953450804_391772895623786496 x	RT @TheSexology: Naked cuddling is a great feeling.
1953450804_391770965073731584 x	RT @PhrasesForGirls: well l course i miss you and i miss you bad, but i still felt this way when i was still in love with you
1953450804_391770813491593216 x	RT @JustAGirIThing: Kiss her infront of your friends, Hold her hand in public & make her feel special.
1953450804_391770713629392896 x	RT @SexualTurnOns: Everyone has that friend they secretly wanna get with..
1953450804_391770551225966593 x	RT @GirlMemos: Don't make me feel this way. You don't know how much it hurts.
1953450804_391770535618945024 x	RT @LawsOfSex: Being single is better than being in the wrong relationship..
1953450804_391770236384727040 x	RT @FactBoook: When a girl says ?have fun?, she?s really hoping you have a miserable time without her.
1953450804_390353035349983232 x	RT @HornyFacts: When a girl changes in front of you, she's either really interested in you, or you're level 99 friend zoned.
1953450804_390352997974544384 x	RT @SexFactsOfLife: If she's mad, kiss her.
1953450804_390352890814283776 x	RT @TheSexology: The right way to kiss a girl: Push her against a wall, hold her arms above her head and kiss her like you mean it.
1953450804_390352843917766656 x	RT @SNOOKlIE: Sex, sex, sex, sex. Now that I've got your attention. Go ???F?O?L?L?O?W???? @TheseDamnQuote he can gain you 450+ followers in?
1953450804_390352806118707200 x	RT @Lmao: *At class* blablabla I get it, this is easy.    *At test* What the fuck, what is this, what is that, I'm dead.
1953450804_390352786376114176 x	RT @Lmao: Screaming "DIE" when you spray bug spray on a bug.
1953450804_390352760996364288 x	RT @Lmao: Dear Math, go buy a calculator and solve your own problems. I'm a teenager, not a therapist.
1953450804_390352698857754624 x	RT @TheseDamnQuote: When I get comfortable with people I start using them as pillows and foot rests  when i get used as a pillow or foot re?
1953450804_390352663822753792 x	RT @TheseDamnQuote: Every day would be a great day, if you start the day with your cute admirable smile.
1953450804_390352531035275264 x	RT @GirlfriendNotes: he happiest feeling ever is knowing that he could be with any other girl in the entire world, but he chose to be with ?
1953450804_390352087051407360 x	RT @GirlfriendNotes: I know I'm being cheesy but it's true, I'll never find anyone quite like you.
1953450804_390351817009545216 x	RT @GirIFacts: bitch i will ? you
1953450804_390349885348003840 x	RT @TheseDamnQuote: A friend who understands your tears is much more valuable than a lot of friends who only know your smile.
1953450804_390349866867908608 x	RT @TheseDamnQuote: Do I need to cry in front of you so you can understand how much you hurt me?
1953450804_390349798718857216 x	RT @AdorableWords: ? ugly without make up  ? ugly with make up  ? ugly in the morning  ? ugly in the afternoon  ? ugly at night  ? ugly
1953450804_390349535534678016 x	RT @girlnotes: If your makeup isn't done, your hair is a mess and you're in your PJs and he still can't resist taking you into his arms, he?
1953450804_390348707079544832 x	RT @GirlfriendNotes: I miss you. No, let me correct that, I miss the old you. I miss the old you that cared about me and the old you that w?
1953450804_390348638091620352 x	RT @GirlfriendNotes: A true friend - cares like a mom ? - scolds like a dad ? - teases like sisters ? - irritates like brothers ? - loves m?
1953450804_390348547805421568 x	RT @OneMoreJoke: Some guy knocked on my door asking for a small donation for the local pool, I gave him a glass of water.
1953450804_390347568318013440 x	RT @FactsAboutBoys: I still remember our first kiss.
1953450804_390347532691578880 x	RT @FactsAboutBoys: girl: omg i can't believe you!! you're such an assho-  boy: *interrupts girl by kissing her*  RT if you want this. ????
1953450804_390347421488013312 x	RT @KISSlNG: [doesnt shave legs] winter is coming
1953450804_390344792217255937 x	RT @LostWords_: A perfect relationship isn't perfect, it's just that both people never give up.
1953450804_390344757215780864 x	RT @SpeakComedy: Girls fall in love by what they hear.   Guys fall in love by what they see.   That?s why most girls wear makeup and most g?
1953450804_390343828093542400 x	RT @SexuaIHumor: Too many faithful girls are single, and too many hoes are taken.
1953450804_390343812746579968 x	RT @SexuaIHumor: Can you please stop being so cute? I'm trying not to like you.
1953450804_390343764814077952 x	RT @SexualTurnOns: "Jealousy" in a relationship is actually the fear of losing someone.
1953450804_390343361569517568 x	RT @WeIlKeptSecrets: 99% Guys get horny when they see a girl like this..Checkout my last tweet ASAP
1953450804_390343313511165952 x	RT @RudeComedian: *High AF in a restaurant*  Waitress: Would you like soup or salad?  Me: What the f*ck is a super salad?
1953450804_390343205410975744 x	RT @RudeComedian: Girl: "Baby I'm pregnant"     Boy: "The number you are trying to reach is no longer in service. Error: 40044"
1953450804_390343122024009728 x	RT @FactsOfSchool: F is for friends that fuck you over  U is for Ur a hoe  N is for never talk to me again, leave me the fuck alone...
1953450804_390343079221145600 x	RT @_YouRelate: feelings suck i wish i was a bagel
1953450804_390343045863849984 x	RT @_YouRelate: your tattoo says ?only god can judge me? yet here i am
1953450804_390340168907255808 x	RT @HornyFacts: I miss sleeping with you.
1953450804_390339232100667392 x	RT @LoveTexts: When I'm with you, all my problems seem to disappear.
1953450804_390338632164184065 x	RT @stfuleslie: Interrupt my sleep and I'll interrupt your breathing.
1953450804_390338476077367296 x	RT @LifeProAdvices: Fighting with someone on the Internet is one of the most immature and cowardly things you can do.
1953450804_390338233315647489 x	RT @QuoteTeens__: Always remember to be happy because you never know who's falling in love with your smile...
1953450804_390337936363110400 x	RT @LifeQuoties: Don't make excuses. Make improvements.
1953450804_390337884315979777 x	RT @TheSexology: Cuddling in bed and falling asleep is probably the best feeling in a relationship
1953450804_390337680833515520 x	RT @CuteLoveMsgs: You like me. . . . . . . . And I like you. . . . . . . . . So why aren't we together? ??
1953450804_390337625879752704 x	RT @CuteLoveMsgs: You don't give up on someone you love.
1953450804_390337602085457920 x	RT @CuteLoveMsgs: I miss your cute smile.
1953450804_390337471890075648 x	RT @FactsGuide: Cuddling warms the heart & is also highly efficient at reducing the effects of stress
1953450804_390337460309606400 x	RT @TheLoveStories: A smile takes a moment, but the memory of it sometimes lasts forever.
1953450804_390335292558684161 x	RT @SexualTurnOns: Why I'm team Edward http://t.co/FfN3Esgod2
1953450804_390334998336638976 x	RT @FactsGuide: Talking to your mother has the same effect as a hug and can help reduce stress levels.
1953450804_390334881282011136 x	RT @SexTaIk: Emojis make flirting A LOT easier ?????
1953450804_390334783336620032 x	RT @autocorrects: I wish my mind had a delete button.
1953450804_390334278955171840 x	RT @RudeComedian: BOY: "Why do you straighten your hair?" GIRL: "Because it makes it longer." DOCTOR: "Okay tell me again how you burned yo?
1953450804_390334189876547585 x	RT @RudeComedian: My girlfriend just caught me blow drying my penis and asked what was I doing. Apparently, "heating your dinner" was not t?
1953450804_390334141147127808 x	RT @HonestMessages: Kisses express feelings to others that words can't.
1953450804_390334066543038464 x	RT @CuteTxts: Sometimes, I crave your touch...  - cuddling - lip biting - holding hands - caressing - grabbing - hugging - pulling  Please?
1953450804_390334029419266048 x	RT @TheSexology: Sleeping naked together after amazing sex >>
1953450804_390333994619117568 x	RT @LostWords_: I just want to be with you.
1953450804_390333924997861377 x	RT @TheseDamnQuote: Pain can change you, but that doesn't mean it has to be a bad change. Take that pain and turn it into wisdom.
1953450804_390333906333237249 x	RT @SIuttyGirl_: My new tattoo ;) http://t.co/0b2bFcSWxa
1953450804_390333844559523840 x	RT @SelenraGcmez: Fuck it! Im following ANYONE who Follow @GirlfriendNotes within the next 10 minutes. #HURRY
1953450804_390333776603398144 x	RT @SongMemories: ?If you love me,?why'd you let me go?" - Coldplay
1953450804_390078482585112576 x	RT @CuteTxts: I want to be the only hand you ever need to hold.
1953450804_390078066233335808 x	RT @xoCrxstina: Omg!! Will i look HOT on the 3rd halloween costume or slutty? Help me choose!!   Hot or slutty?? (3rd pic!!) ????http://t.c?
1953450804_390078029193441281 x	RT @Lmao: me at school http://t.co/osPisckK6q
1953450804_390078028996288512 x	RT @Lmao: This is ME ? http://t.co/WA3Btucvc1
1953450804_390077780496756736 x	RT @BlTCHPOST: Periods are ridiculous. I shouldn't be punished for not getting pregnant.
1953450804_390077555543650304 x	RT @LifeHeIps: She's tough. She tries to hide it. She's difficult. But if you make an effort, she's worth it. She's worth the effort.
1953450804_390077396545961984 x	RT @OneMoreJoke: when your friends start mentioning stupid things you've done in front of your parents.
1953450804_390077209614245888 x	RT @TheLifeHacking: One day can change everything.
1953450804_390076651918594048 x	RT @WeThinkLife: i want to kiss you and take cute pictures with you and go on stupid dates but I also want kill you for making me feel thin?
1953450804_390076516958474240 x	RT @ExoticFactsPage: Studies suggest that eye contact must be held for about 8.2 seconds for that ?Love at first sight? feeling to occur.
1953450804_390075939256033280 x	RT @ItsLifeFact: I miss laughing with you.
1953450804_390075692660322304 x	RT @JustAGirIThing: Do you ever wish you had a second chance to meet someone again for the first time?
1953450804_390075599546761216 x	RT @ExoticFactsPage: The average person tells 4 lies a day, 1,460 a year, and a total of 88,000 by the age of 6. And the most common lie is?
1953450804_390075037442904064 x	RT @OneMoreJoke: im single by choice  its just not my choice
1953450804_390074900138188800 x	RT @ExoticFactsPage: After kissing someone with passion, their DNA will stay in your mouth for at least an hour afterwards.
1953450804_390074823969603584 x	RT @Lmao: When people ignore my text message (?`_?)   <,??????? ? - - - - - - -                ,/??
1953450804_390074786808086528 x	RT @OneMoreJoke: I know 3 things on my test:  1. Name  2. Class  3. Date.
1953450804_390074732483473408 x	RT @OneMoreJoke: DREAM DATE:       take me to the mall,      give me $10000,      leave
1953450804_390074542477307904 x	RT @ExoticFactsPage: A study found that the ice at fast food restaurants is dirtier than toilet water
1953450804_390074369500012544 x	RT @HornyFacts: Treat her like you love her, fuck her like you hate her.
1953450804_390073654031417344 x	RT @BlTCHPOST: WHY DO PEOPLE ASK ME WHAT I WANT TO DO IN THE FUTURE WHEN I DON'T EVEN KNOW WHAT I WANT TO DO IN 10 MINUTES GET OUTTA MY FACE
1953450804_390073581243478016 x	RT @BlTCHPOST: You can only bring sexy back if you have the receipt
1953450804_390073546963431424 x	RT @TheSexology: When they smile during the kiss..
1953450804_390073480290787328 x	RT @ExoticFactsPage: Sleep studies suggest that those who sleep with multiple pillows are often lonely & depressed!
