1069258898_380367392058400768 x	RT @kadouds: Pandora is treating me right.
1069258898_389409205012402176 x	@MizzCheddy haven't been on twitter in forever but nooo worries! I'm the same way. We both know what's up. (Ps I like you, let's hang out)
1069258898_380518237735497728 x	RT @dance_blessed: You're the only one I want to sit next to while we stare at our phones.
1069258898_380502097491681280 x	RT @DrizzyThatType: Drake the type of nigga that only takes one candy from the bucket on Halloween.
1069258898_380372299171758080 x	RT @RollingStone: Jimi Hendrix died 43 years ago today. Read about the guitar god's final months and lost recordings: http://t.co/K93WV1hrn?
1069258898_380371912507260928 x	The universe is shaped exactly like the earth; if you go straight along you'll end up where you were.
1069258898_380367481044733952 x	Also, I wish Finn the Adventurer was my boyfriend.
1069258898_380338363255230464 x	Still recovering from the gaping wound in my heart that opened when Netflix got rid of South Park
1069258898_380331217977356288 x	One time me an @deer_world_ were militarily surrounded by warrior ducks with bright red faces who stalked us until we left for good.
1069258898_380319543132180480 x	RT @ErinLaviola: According to Census Bureau: 15% of Americans live in poverty. Individual income of under $12,000 a year, or $23,500 for a ?
1069258898_380056489467322369 x	RT @naaaettt: Top three harry potter characters I want to hang out with: Sirius, Luna, Hagrid
1069258898_380021498343612416 x	RT @WorkaholicBlake: Netflix gives you 15 seconds between episodes to decide whether or not you're doing anything with your life today.
1069258898_380021360900448257 x	RT @WorkaholicBlake: Friday where you at?
1069258898_380020225049362433 x	RT @katiej701: ?????????
1069258898_380019476210921472 x	I hate those pull-down paper towel dispensers. My obviously wet hands will obviously get the paper wet and cause it to tear. #facepalm
1069258898_379955650551619584 x	RT @torielle16: Why doesnt everyone just live at the beach....
1069258898_379952913155887104 x	Just saw a bus advertisement advertising bus advertisements
1069258898_379684851374624768 x	Cheesy tweet about how in love I am with my roomiezzz
1069258898_379630047386435584 x	Bar mitzvah ken
1069258898_379610362037161984 x	How strange it is to be anything at all
1069258898_379060603429859328 x	Frank Sinatra makes me blush
1069258898_378926689365295104 x	Follayyy
1069258898_378769341204160512 x	The spirits are alive tonight in the streets of charleston.
1069258898_378736021887651840 x	My iPhone is at 100% charge for the first time ever http://t.co/gEgNA8mfBV
1069258898_378586842343673857 x	Sometimes I like to drag the jagged parts of my finger nails and scrape chunks of skin off my bottom lip to make it smooth
1069258898_378583096637267968 x	The breeze feels like Egyptian cotton sheets flowing all around my skin
1069258898_378141970088333312 x	It also just dawned on me that I get to see @torielle16's beauuuutitul face today!!!!!!
1069258898_378137728447414272 x	I would lose a textbook this early in the semester
1069258898_377972062662696960 x	RT @KaileyHoracek: If I pee with the door open in your house it either means we're close friends or I hate you and I want to make you extre?
1069258898_377891406561673216 x	Always suspicious of boys with 678 area codes
1069258898_377872830781992961 x	It was all an inside job! #butrly
1069258898_377849305362862081 x	RT @BMW_LifeMorals: Cory: "You're going to be one of those girls who doesn't shave her legs aren't you?" Topanga: "I haven't decided yet" h?
1069258898_377514679406690304 x	RT @neiltyson: Not that anybody asked, but a traditional bomb is nothing more than an explosive concentration of unstable chemicals.
1069258898_377078660538585088 x	Possessions mean nothing
1069258898_377059660916088832 x	When the world ends from environmental collapse, 30% of the responsibility will go to women and their excessive use of paper products.
1069258898_376923991073898496 x	Modest mouse sends electric shivers from my ear canals all the way down to my toes
1069258898_376855391042535424 x	"this is so funny my head might explode" - @stephgcastillo
1069258898_376855284712751104 x	Omg new #portlandia season on Netflix. My body already hurts from laughing.
1069258898_376121665081847808 x	RT @sassygaydriver: "What are you wearing to dinner?" "Ummmm I think my teal running shorts and green salty dog shirt." "Oh me too!" #overh?
1069258898_376022228363907072 x	Holy shit a Cobb country school is on lockdown because of an armed intruder.
1069258898_376026092970450944 x	@KaileyHoracek Lindley middle school. A MIDDLE SCHOOL. #whattheactualfuck
1069258898_376025842323054592 x	The collapse of the music industry is good. Artists will be motivated to write music that will inspire, instead of being money/fame-focused.
1069258898_376023200104452096 x	Oh, hey athens transit. Thanks for being ridiculously late while I just melt in the sun over here
1069258898_376022356135006208 x	Every day I find more reasons why it is becoming unsafe to live in the US. #wakeup America
1069258898_375673151763783680 x	RT @markknoller: Long Distance: Pres phoned five US Senators of both parties yesterday from Sweden seeking support on authorization bill fo?
1069258898_375671849805692928 x	Also, the back tire on my roadbike apparently popped on my ride home, and I didn't realize til I got off. So that happened #metalonconcrete
1069258898_375667368690597888 x	Must?resist?the urge? #ohyaimbroke
1069258898_375667234896482304 x	Looking at #UO's sales items is giving me a major clothesgasm right now.
1069258898_375624406137327616 x	Rode my bike to class for the first time today. If you need me, I'll be collapsed on the floor of the SLC in a pool of sweat.
1069258898_375243857417748481 x	RT @GratefulQuotes: There were days, and there were days; And there were days between; Summer flies and August dies; The world grows dark a?
1069258898_375237054747410432 x	M.I.A.'s new song >>>
1069258898_375094888712650752 x	McCain To Fox: Muslims Praising Allah No Different Than Christians Praising God http://t.co/q1oBihsDrE
1069258898_375090774565986304 x	RT @torielle16: grudges aren't a thing
1069258898_374918593408172032 x	RT @mallelis: I Am An American Who Enjoys Loudly Talking About The Boorishness Of Other Americans In Front Of Europeans In The Hopes They W?
1069258898_374885212251258880 x	Really ready for bundling weather
1069258898_374884503321583616 x	I love my wireless Bluetooth speaker to the core
1069258898_374755874557796352 x	Lol but really tho http://t.co/Y2l65yN79x
1069258898_374755468557963264 x	RT @hipstermermaid: Text me a dirty pic of your intelligence.
1069258898_374726154126884864 x	RT @BuzzFeedAndrew: Intelligence community black budget confirms, yes, they are deeply worried about Pakistan's nuclear arsenal. http://t.c?
1069258898_374701152031739904 x	Visiting home for the weekend always brings me mental and emotional clarity. You remember who you were & who you are to the core.
1069258898_374700750687195136 x	Separate we stand, united we fall
1069258898_374388670977282048 x	RT @seyiamosu: "I believe in ghosts. Well, ghosts or break-ins" -@heykellyy
1069258898_374251685868494848 x	RT @tbhnoonecares: yes mom i know my room is a mess its a metaphor for my life im trying to be poetic
1069258898_374165859365048320 x	?@amandabynes: I Want A Million Dollars A Year For Illegally Having My Mind Read And Privacy Stolen? Monarch Programming
1069258898_373712341642543105 x	@gravityfalls Exposing the truth tho
1069258898_373712235610525696 x	"Remember! Reality is an illusion! The universe is a hologram! Buy gold! Bye!" #gravityfalls
1069258898_373491252613754880 x	My glasses are so dirty I keep thinking it's raining outside
1069258898_373490482388951040 x	RT @MizzCheddy: Losing one brain cell at a time with each convo on the Milledge Bus ??
1069258898_373301896481898496 x	@seyiamosu We're living life to the fullest. #wink #getit
1069258898_373301622681919488 x	RT @seyiamosu: Just made peanut butter rice krispy treats with m&ms, kit kats, fudge covered pretzels, and white chocolate & butterscotch c?
1069258898_373054288073080832 x	Can we please just not get involved in ANOTHER expensive, resource-wasting, mass-murder operation?
1069258898_372848843161100289 x	RT @StayChiIl: ???             ???           ???            ???       ???      ???    ???   school  ???          ???            ???
1069258898_372762713468182528 x	And 600% more likely that I will have a massive sweat stain showing through the back of my shirt as soon as I take off my backpack...
1069258898_372762409234333696 x	This heat is making me 500% less likely to go to class.
1069258898_371805888342138881 x	RT @IAmRavenBaxter: Just reminding you @MileyCyrus you aren't black ya little nasty
1069258898_371804173228343297 x	The fact that this person has the number 1 single in the country right now is disturbing.
1069258898_371803477405888513 x	Miley Cyrus. #no
1069258898_371802414938357760 x	Every year that I watch the VMAs I get more appalled and worried about the future of music. And the people living in this country.
1069258898_371802012129972224 x	RT @ryanpbroderick: miley cyrus has a great #VMAs look tonight http://t.co/2wRNBt0gfH
1069258898_371801968597278720 x	RT @ColeSlawDotCom: smells like fall outside
1069258898_371774073657102336 x	RT @tbhnoonecares: hello 911 yeah can u cancel school
1069258898_371305232078483456 x	Reunited with my phone #truelove
1069258898_371304967162056704 x	RT @VanessaShah: It feels like Jesus tits outside
1069258898_371029453813854208 x	@MMBwhatup @nash_jasmin I would easily trade lives with her. In a heartbeat.
1069258898_371028992788541440 x	"Giggle smirk lolz" - @carinalikesyou
1069258898_370368168889688064 x	@MileyCyrus LOL YOU'RE DUMB
1069258898_370367928979714048 x	RT @tbhnoonecares: but the real question is has nemo found himself
1069258898_370367778240626688 x	Actually still kind of outraged that Planes is a real movie.
1069258898_370281563399151616 x	Ill never forget the day when I discovered not every old woman is a grandma.
1069258898_370229306607554560 x	Couldn't have chosen a worse day to wear a white tank top.... #ugh
1069258898_369958121730768896 x	Finn the Adventurer is so math <3
1069258898_369935012813996033 x	RT @reallysadtoday: i'm not that ugly       *leaves the house*       oh god
1069258898_368973814211674112 x	@seyiamosu no, Seyi. The QUEST is real.
1069258898_368931883410677760 x	Playing dungeons and dragons tonight instead of going out #lolz. Except that's exactly what I'm currently doing.
