51774196_398236027716128770 x	@TheHoney215 @TherealTaraji I agree!!!?
51774196_322156085047857153 x	@MakinEm_CeeSick is in a very bad mood ?
51774196_321230338787536897 x	@TheHoney215 I'll be in bed for until noon
51774196_321230660008304640 x	@TheHoney215 then I'm going for a run?
51774196_321096770216144896 x	?@CorporateBarbie: #SkinThatLooksLikeInstantGrits? ?????
51774196_321054175586811905 x	@TheHoney215 and house coats and wife beaters
51774196_321055099352924160 x	@TheHoney215 yes
51774196_318891840432635904 x	@OhSheena you, me and Turq should go out for drinks
51774196_318884488136503296 x	This dude doesn't chill ? http://t.co/NKfD4amLyg
51774196_318797089171714049 x	@OhSheena oops...HAPPY BIRTHDAY!!!! ??
51774196_318560814594412546 x	@emmyrossum poor Jimmy/Steve ?
51774196_318523371161804800 x	WTF kind of party is this? #RHOA
51774196_318491224032018432 x	@TheHoney215 @marcodamus was that real?
51774196_317459133345431552 x	This candle  ?
