114961887_395939555473637376 x	KIMYE @QDEEZYDOTCOM http://t.co/Y2m0GuDMhk
114961887_389887052583428096 x	Justin Bieber - All That Matters http://t.co/btCGP8w94a
114961887_382145517356331008 x	Penalties: 13 fighting majors, 9 misconducts, 2 game misconducts, 2 goalie leaving crease, 1 match, 1 leaving bench.  http://t.co/hmotjmxsOx
114961887_380871443648880640 x	He's jogging. ? #mccoy
114961887_390220603094880257 x	5 Things Super Successful People Do Before 8 AM - Yahoo Small Business Advisor http://t.co/cayVU5rM9V via @YSmallBusiness
114961887_388922038582530048 x	http://t.co/qAQaaiE3AS
114961887_386071009893175296 x	Michael Jordan to play for Bobcats...still got it. Maybe.
114961887_383531073084211201 x	Mo Rivera's Yankee Stadium Farewell - Put your pride aside..this video will make you cry. If it doesn't, check pulse https://t.co/SVviKsX7k1
114961887_382437341995888641 x	Who remembers "Heavens to Betsy, a Lime green hatchback" commercial????
114961887_382445292999565313 x	@ndevalex http://t.co/G0Ky26srNy i think
114961887_381941717722607616 x	http://t.co/ILihiMV2D8
114961887_381943232504266752 x	@ndevalex come on its selfie Sunday
114961887_380288301334147072 x	I know this @88pkane video is old but it's mindblowing and you might need reminding. http://t.co/EPPzCmXVky
114961887_393691872729628672 x	And on Fridays we wear leather. @SueSerioFox29 @SheinelleFox29 @MikeFOX29 @FOX29philly http://t.co/4PdAVx3HuW
114961887_366624417821892608 x	http://t.co/6LI3r47YGS
114961887_389482427451985921 x	Eags win!!!! Almost
114961887_390244736952328192 x	Haven't seen Capt. Phillips YET..but the REAL Cap'n will be with us tomorrow! Also @DanaiGuriraTWD..she's pretty pretty @FOX29philly
114961887_393100285188378624 x	Right now, the Eagles have a 33.983% chance of making the playoffs, 24.247% chance of winning the division http://t.co/aFBh7NaQcy via @po_st
114961887_365098916074635265 x	Do they still sell Four Lokos??? In America
114961887_373156051681435649 x	NFL, players reach whopping $765M settlement in concussion case http://t.co/ljEyRk6jZ8 via @YahooSports
114961887_373164428545781761 x	2 best sports. Have your cake & eat it too: NFL in 7 days. #MostWonderfulTimeOfTheYear   RT @SkinnyMizzle: who cares #NHL starts in #33days
114961887_373165566951174144 x	1. No knocking ND.  2. Wildcats eat owls for breakfast.   RT @Kepano42: But @Temple_FB starts Saturday! Gonna beat #ND!
114961887_390486777976619008 x	RT @jacko_820: @KacieFOX29 so true http://t.co/n3cOX1imPZ
114961887_383300870214914048 x	So you're sayin there's a chance vs. Broncos? RT @The700Level: Eagle kills deer http://t.co/nw7TTCK5Pn
114961887_380844527642103810 x	Worst case of FOMO known to man right now. If you're breathing the same air as Andy at the Linc, I hate you.
114961887_378286418650345474 x	http://t.co/I4DNdL3mYs
114961887_379027718048059392 x	I have no time management skills. None whatsoever. Literally I'm late as we speak.. yet tweeting this & it doesn't mean a thing to anyone.
114961887_379036839023476736 x	@YoPasquale thank you..?
114961887_364035328643837952 x	Happy Shark Week!!! ??
114961887_393461479825215488 x	#tbt please win ?? http://t.co/2ehWo509AZ
114961887_370499199260827648 x	What is the FIRST thing that 70% of men notice about women? Might surprise you but we chicks dig it!
114961887_387000550950064128 x	PROTECTED
114961887_394559877911048192 x	WHOA, LIONS
114961887_275075543702061057 x	PROTECTED
114961887_344451096594493441 x	#tatuesday #lookatmefox29 http://t.co/BqmW2j3wkE
114961887_349869603704430592 x	They wouldn't do duck faces with me so really there's no point to this picture... ? @SheinelleFox29 @ColWolfeFox29 http://t.co/yVva5sSeKp
114961887_377794690617065472 x	RT @EllieGonsalves: No person can make you truly happy if you can't make yourself happy first.
114961887_373277784346333184 x	RG3 CLEARED TO PLAY IN SEASON OPENER #EAGLES
114961887_343478014509735936 x	http://t.co/sajLAYax6P
114961887_337697604055994369 x	"Don't play the cards, talk to the guy who deals them."
114961887_273506054208364544 x	Night shift!! On at 5 & 6 for your shloppy evening commute...you cannot escape me!! ? @FOX29philly @Good_Day_Philly
114961887_392097564440678401 x	American Cancer Society Party with a Purpose @AmericanCancer http://t.co/tE01y0m0Bd
114961887_380336862096683009 x	Kacie & @terrycrews > Kelly & Michael http://t.co/h9G4pTS0LU
114961887_380870983013662720 x	Wow
114961887_298208497496104961 x	Welcome to my Superbowl Party Party Party. http://t.co/1iyoLLRR
114961887_292722968549806080 x	Quick change. FLYGUY TIME http://t.co/844GT0UN
114961887_391732663360716800 x	Drizzy Drake Fakeout, huh?
114961887_391776317328207873 x	@ecmclean40 im the biggest drake fan there ever was. was just poking fun
114961887_391726068664897536 x	Stars Ball'n!!! @DTimmeneyFox29 @LittleSmilesPA @FOX29philly http://t.co/4DqqOfAW3z
114961887_363715387029856256 x	Happy birthday to the most beautiful goddess news woman!!! @jennfredfox29 love u! http://t.co/OMLydfvUpn
114961887_360910818512097280 x	PROTECTED
114961887_327926277103312896 x	Rittenhouse, right now, the time/temperature is so beautiful it's sickening. Philly for best city in the world
114961887_321977207339745282 x	Jedi or Ninja? http://t.co/jRFxfwEPwE
114961887_341523209113448448 x	#LookAtMeFox29 #MondayMug ..literally. @FOX29philly http://t.co/aPlCGwdTwf
114961887_390091016184684545 x	SnapHack app lets users save Snapchat photos without notifying sender http://t.co/OvvAxm2eSm http://t.co/sQLnZWu14o
114961887_397873361935929345 x	What love looks like @MikeFOX29 @SheinelleFox29 @DTimmeneyFox29 @SueSerioFox29 @JennFredFOX29 @KarenFox29 @ChrisFox29 http://t.co/9kblqfMxyU
114961887_398441628345458688 x	@KerriannMcGuire WB? just normal :( don't tweet and drive!!! Bensalen to Valley Forge, 41 mins right now xo be safe
114961887_319595750222860288 x	Flyers, Phillies, I'd like to wake up to good news, please.
114961887_384728069606768640 x	@theREALJAYEMCEE sad Kacie today...funeral :( but thanks for missing me. Miss u too
114961887_383958312569409536 x	Cliff Lee says he'll retire at end of contract as Phillies fall to Braves, 1-0 | http://t.co/shP8RTfpSc http://t.co/k74DnOkHWW
114961887_377436862333595648 x	They like me, they really like me. ???????@FOX29philly @MissAmericaOrg http://t.co/Ig2ToVOL4C
114961887_369807038831816704 x	Topic on the show right now: A new study says men marry women who resemble their mother (looks/personality). Agree or disagree?
114961887_365884966862729216 x	***If you do so, don't wear backwards hat, oversized sunglasses and not tight gym clothes. #wontwife
114961887_399932542804951040 x	11:11 on 11/11 yikes
114961887_399938538910654464 x	@Rell_83 just got out of a meeting lol
114961887_393916719640887296 x	Old folks back in town @MaalikWayns2 @Villanova_Alum http://t.co/mQfWMJDRBs
114961887_387168145326108672 x	LOVE IT! Mom gets son her excused on game day citing 'Red Sox Fever,' adding 'he needs to visit Fenway for the cure.' http://t.co/95jzhaAHX7
114961887_379346389966540800 x	Dumb traffic there's a Manning Bowl that needs watching.
114961887_378112231109431296 x	I'll be live from Wells Fargo @ 9:30 on @fox29philly!  RT @NHLFlyers: Guess what day it is! Start of Flyers hockey! Flyers take ice @ 8:30am
114961887_372659415775600640 x	Heartwarming Photo Of Kelly Cottle Carrying Her Husband, Former Marine who lost his legs in Afghanistan, Jesse Cottle http://t.co/NhM0MIxCHp
114961887_372681456289472512 x	Can't 100% see out of my right eye..Good chance it's semi eyelash-glued shut. Or just sleep deprivation+Diet Mtn Dew withdrawal. Good times.
114961887_327389388222914560 x	PREDICTIONS FOR TONIGHT. What will the Eggles do????
114961887_318781537892052992 x	Dancing w/ Philly Stars is 20 days away!!! RED or BLACK ? http://t.co/esbpPQWSHF
114961887_377245092727123968 x	I guess I could get used to this whole "winning" thing.
114961887_392239579883122689 x	@FOX29PHILLY Tacony Palmyra Bridge: all traffic is STOPPED in both directions due to a drawbridge opening
114961887_397156609471700993 x	How bout that inspirational music and the shot of Foles walking off the field. #Chills #NewEra #FreedFoles
114961887_394845798099603456 x	@BronBermudez back atchya baby! Love u. PS brought the skirt to the meeting. @SheinelleFox29 & @TorrieLashaun eyeballs rolled onto the floor
114961887_394849436452810752 x	@BronBermudez @SheinelleFox29 @TorrieLashaun duh already did
114961887_393157919589408768 x	i love @BronBermudez
114961887_387350129130622977 x	@philastylekm meet @BronBermudez he's amazing!!!
114961887_385807690359767040 x	Say what you will...Miley Cyrus' #BANGERZ album is BANGIN. I will be at that concert holy omg this is awesome.
114961887_383612000313819136 x	@BronBermudez shut up!! ??
114961887_383614304094003200 x	@BronBermudez follow me I'll DM u
114961887_363769234142142464 x	PROTECTED
114961887_363798764886048768 x	http://t.co/3WkmnkVosd
114961887_369811638880198656 x	That does it! First YEAR w/ @FOX29philly in the books! Thank you all for the love & support-doesn't go unnoticed. You rock. Love ya #traffox
114961887_392570531930968065 x	@fox29philly  Warrington, Bucks Co:  Easton Rd (RT-611) is CLOSED - between Bristol Rd and Kelly Rd Accident involving a motorocycle
114961887_395526749674434560 x	Ew @ChrisFox29 just brought some hoagie disgusting thing into the studio. I can't see it but I can smell it. 'm going to be sick.
114961887_372376307256274944 x	I really do hate golf. But if you're offering lessons I'll go all Holly Sonders & meet you on the 200 degree green so fast your head'll spin
114961887_394476308375564288 x	Thanks to @SalonVanityPA & @mitchell_ness for making me swaggy! http://t.co/QGYcOGUQqA
114961887_397720733872164864 x	FAMILY! RT @KarenFox29: @ChrisFox29 @SheinelleFox29 @SueSerioFox29 @MikeFOX29 @JennFredFOX29 @DTimmeneyFox29 http://t.co/G3sqvicNtg
114961887_364731168031113216 x	i tell you every day! ROMA PIZZA POTTSVILLE PA.  @SheinelleFox29: @FOX29philly working on a project- who has the best pizza?
114961887_392635904289800192 x	Make sure you LIKE our Facebook page!! https://t.co/YzSpaX6TrL @FOX29philly
114961887_380446889868414976 x	do we love or hate ios7
114961887_367045880160866304 x	#problems http://t.co/GvDq7xbJI2
114961887_360157755220307968 x	https://t.co/kN4t5QP5KO
114961887_325977911729467392 x	This is me...for the next 10 hours https://t.co/DYmSxMwTrU
114961887_323246483635843073 x	Parents lured me home. This is the only way. Plus doing my wash http://t.co/NriLXXLBow
114961887_322035606689574912 x	BEFORE. What's gonna happen? #blonde #redhead #perm @SalonVanityPA http://t.co/UtRSQ6dPTW
114961887_315275233894477824 x	Whatever. I'm over it. It's baseball season. #phillies
114961887_303513299419549696 x	http://t.co/i4QB99RV
114961887_292769734963912704 x	Ugh. At least my glasses are cool http://t.co/x1S82sJr
114961887_285989154955882496 x	HNY ? http://t.co/eplA4sPk
114961887_365457117408264192 x	Pretend you're dating someone PERFECT. What's the 1 deal breaker that makes you walk away??? @fox29philly
114961887_363419405570428928 x	And on Fridays we eat & drink alone...hold the "we." http://t.co/kcXFxMzmm4
114961887_391763509869948928 x	@JennFredFOX29 did u see my wedding pics from tonight?
114961887_393121992750010368 x	CALLING ALL TAILGATERS! It's Giants week..it's also HALLOWEEN!! This Sunday I'll be live from D LOT @ Wells Fargo for pregame show.
114961887_334831367563120640 x	Utley All Stars @Jon_Pettibone http://t.co/M1WYNeXwHH
114961887_365779364534681600 x	Coldest story ever told: Working on a green screen + working in a city with a green sports team combo
114961887_395512881594105856 x	Bron Bron's comin to town. #Sixers predictions, let's have em.
114961887_394507970064973824 x	@magic_of_macy ur the cutest xo
114961887_394533201122979840 x	http://t.co/KErrKTWEjB
114961887_379364988059529216 x	In other news...welcome to Flyers' preseason!!
114961887_396012834330378240 x	Seriously...watch this.. I guarantee you pee your pants. @FOX29philly http://t.co/Gg1uy1anoT
114961887_395687090161074177 x	@MollyESullivan @CSNPhilly good luck mama
114961887_391624353051586560 x	.@BrodyJenner http://t.co/fm7CvPmHOy
114961887_380848976246738945 x	I think I hear more cheers than boos...good work, Philly
114961887_380837172619657216 x	Predictions? #Eagles 24-21. Haven't jumped Chip Ship just yet.
114961887_367438078530424833 x	JayZ+JT flow http://t.co/GqTKHZcQ53
