778525020_283180981559640064 x	RT @Madalena_DR: .........#HappyBirthDayLouisFromPortugal
778525020_315247015707693056 x	Acabo de completar "Qual o tipo de rapaz dos one directi" e meu resultado foi: Harry Styles! Experimente: http://t.co/jH61VmW9jA
778525020_315245889285402624 x	Acabo de completar "Qual dos minos se apaixonaria por vc a prime" e meu resultado foi: Liam! Experimente: http://t.co/whSgyMdLsU
778525020_315245755382247425 x	Acabo de completar "quem seria seu namorado ????" e meu resultado foi: Harry! Experimente: http://t.co/X3OrIdmVeD
778525020_313766491617112065 x	@Louis_Tomlinson I think I found Kevin!!!
778525020_305111871814500353 x	Acabo de completar "Qual dos rapazes dos 1D vai ser o pai" e meu resultado foi: Niall Horan! Experimente: http://t.co/iIKNMECnnN
778525020_304715577270861824 x	Qual ? a tua rede social favorita? ? Facebook!!! http://t.co/vOufzsw0D0
778525020_304244110255063040 x	RT @lovingnialler_x: RT to vote for One Direction. http://t.co/dRk4myUq #OneDirection
778525020_302200035167313920 x	Feliz Dia dos Namorados!
778525020_301788958889758721 x	Acabo de completar "Vc ama a Demi Lovato ?" e meu resultado foi: Vc ama muito ela !! Experimente: http://t.co/aJxWEVJH
778525020_301788390649647105 x	Acabo de completar "Qual Direction passaria o carnaval com voce" e meu resultado foi: Liam! Experimente: http://t.co/AeoUkPm4
778525020_300251814513750018 x	eu amo imeeeeeeeeeeeeeeeeeeeenso a @nslameirinhas , ela ? o meu ?dolo!! est? mesmo aqui ao meu lado, e estou a amar imenso!! :)) adoro-a <33
778525020_298783507956764673 x	RT @ElCaldersWorld: Louis + Eleanor = Perfection :) ?
778525020_297818195887284225 x	RT @1DFAMlLY: LIAM IS ONLINE!! RT FOR A DM TO HIM!
778525020_297491354026651648 x	@Real_Liam_Payne Hi Liam how was your day?
778525020_297490433989296128 x	@Real_Liam_Payne What's your favourite country?
778525020_297447439831560193 x	RT @Louis_Tomlinson: Always in my heart @Harry_Styles . Yours sincerely, Louis
778525020_297405544958926848 x	@Harry_Styles Happy Birthday! I hope you have a great day!
778525020_295629871818883073 x	RT @mdsHazza_: #DirectionersDesejamFor?asASantaMaria #BeliebersDesejamFor?asASantaMaria #DirectionersDesejamFor?asASantaMaria
778525020_295226016572506113 x	RT @HoransGalaxy: WANT A DM TO 1/5? READ THIS: http://t.co/LeMXg70t
778525020_293443225199452161 x	Make This Your New Years Resolution http://t.co/0yYHVVDF  - The Fastest Way To Lose Body-Fat in (2)-Weeks
778525020_293409753013555200 x	Make This Your New Years Resolution http://t.co/5yNGtRpq  - The Fastest Way To Lose Body-Fat in (2)-Weeks
778525020_292834537937960961 x	The Fastest Way To Lose BodyFat in (2)Weeks http://t.co/poX7MqLj
778525020_292773553491824640 x	The Fastest Way To Lose BodyFat in (2)Weeks http://t.co/rsWaho2N
778525020_292406514403135490 x	Make This Your New Years Resolution http://t.co/K72iMumA  - The Fastest Way To Lose Body-Fat in (2)-Weeks
778525020_292348453340708864 x	Make This Your New Years Resolution http://t.co/jlxDUJq0  - The Fastest Way To Lose Body-Fat in (2)-Weeks
778525020_290057034999681024 x	Happy Birthday Zayn! I hope you have a wonderful and a great birthday! http://t.co/1abM10f5
778525020_290057887571660800 x	@NiielaSilva Happy Birthday @zaynmalik
778525020_289866515480723456 x	RT @5boysand1dream: A TAG E #HappyBirthdayZayn RT PRA ESPALHAR
778525020_288059860552146946 x	#PortugalWantsJosephDevries
778525020_288052763118665728 x	XD http://t.co/knhUnii6
778525020_288053106791546880 x	@NiielaSilva @NiallOfficial @Real_Liam_Payne @Harry_Styles @Louis_Tomlinson @zaynmalik @Bea_horan
778525020_288038784631717888 x	It?s realy sad when you know One Direction come to Portugal and you can't go see them!!! I'm realy sad!! Somebody help me?
778525020_287352736205398016 x	RT @_DirectionersHS: @Real_Liam_Payne Makes a twitcam? Please! For all your Directioners!
778525020_287307634107875328 x	Vote for Directioners For Favorite Music Fans Peoples Choice! Check who is in the lead and vote NOW!! http://t.co/LeyfY0Te #Directioners
778525020_287290015342542848 x	Acabo de completar "Qual 1D seria seu irmao ?" e meu resultado foi: Zayn! Experimente: http://t.co/rMqaYhqA
778525020_287289208563974145 x	I don't have a ticket to go see One Direction in Portugal!!! I'm very sad!!
778525020_286952987685969920 x	I LOVE FOOD
778525020_286939897917485057 x	Acabo de completar "Qual Dos Minos Vc se Casaria ?" e meu resultado foi: Niall! Experimente: http://t.co/c2b0n61J
778525020_286196689826635776 x	Acabo de completar "Voce Apoia Payze" e meu resultado foi: Voce nao Apoia,Voce Aceita..! Experimente: http://t.co/t9hWeInm
778525020_286195495410495488 x	RT @_DirectionersHS: #HappyBirthdayMaura muito obrigada por trazer ao mundo uma pessoa t?o perfeita quanto o Niall. N?s te amamos sogrin ...
778525020_286195428641349632 x	RT @IsabelleNini: @_DirectionersHS oxii maura tenho que agradecer vc mt '1 por nao ter usado camisinha e 2 de conver o niall a nunca des ...
778525020_286101175009415169 x	Happy New Year !!!!
778525020_285786690533089282 x	Acabo de completar "Qual Dos Minos Vc se" e meu resultado foi: Harry Voce Casaria com Harry! Experimente: http://t.co/c2b0n61J
778525020_285758740081303552 x	Acabo de completar "Com qual dos 1D ficarias melhor?" e meu resultado foi: Niall! Experimente: http://t.co/CiLruXPc
778525020_285537559843594242 x	RT @TeamDirectionBR: 5 ANJOS, 5 SORRISOS, 5 CORA??ES, 5 VOZES, 4 BRIT?NICOS, 1 IRLAND?S. :::::::::::::::::::: RT SE VOC? PENSOU NELES DE ...
778525020_285531458347601921 x	RT @_DirectionersHS: @Real_Liam_Payne makes a Twitcam? please! for all your Directioners!
778525020_285462745443360768 x	Acabo de completar "Qual sera seu curso na faculdade?" e meu resultado foi: Veterinario! Experimente: http://t.co/VTlQxzid
778525020_285461005297913856 x	Acabo de completar "Es uma verdadeira Directioner" e meu resultado foi: DIRECTIONER A 100%! Experimente: http://t.co/qybXKTbu
778525020_285460760367345664 x	Acabo de completar "Qual dos rapazes combinaria conti" e meu resultado foi: Louis Tomlinson! Experimente: http://t.co/oGKb8jHY
778525020_285386694847524864 x	a descansar enquanto a minha irma estuda , muahhaha :D
778525020_285148735095328768 x	Acabo de completar "Quem vc e miley , selena , demi ????" e meu resultado foi: Miley! Experimente: http://t.co/Z65LBqZz
778525020_285148397520965632 x	C'mon Niall everyone is waiting for you! (@NiallOfficial live on http://t.co/h6x5UkKL)
778525020_285122640954404864 x	RT @harry_ly_always: Se o teu nome estiver nesse gif d? RT *** http://t.co/o52h0kQz
778525020_284757708287119360 x	@JosephDevries Can you follow me? Please
778525020_284754734043254784 x	OMG your voice is perfect!  (live at http://t.co/e9vqfW5R)
778525020_284752629085655040 x	RT @Lukeys_Smile: RT if One Direction makes you smile <3
778525020_284751081681088512 x	I and my ugly face! http://t.co/bWo4OmSj
778525020_284750490930139136 x	Harry, you don't have to worry because a true dircetioner is here for the best and for the bad. http://t.co/4reV8La0
778525020_284688848573841409 x	Acabo de completar "Que personagem de filme eu seria?" e meu resultado foi: Jacob Black! Experimente: http://t.co/R6eo67LD
778525020_284688627051683841 x	Acabo de completar "Qual Dos Minos Vc se Casaria ?" e meu resultado foi: Niall! Experimente: http://t.co/c2b0n61J
778525020_284665278363750400 x	271 usu?rios que eu sigo n?o me seguem de volta no Twitter. Saiba quem n?o te segue de volta http://t.co/M1jpkH60
778525020_284479843645677568 x	Acabo de completar "Qual Namorada vc seria ?" e meu resultado foi: Eleanor! Experimente: http://t.co/tNdHEfUA
778525020_284049805561442305 x	RT @tefinha_Ramos: Eu n?o fa?o igual a todo mundo porque eu n?o sou igual a todo mundo...
778525020_283226989136076801 x	RT @Zayn__Princess: #HappyBirthDayLouisFromPortugal Tamos a descer! J? tamos em 107? lugar! Se conseguir 30 RT aqui talvez subamos uns l ...
778525020_283226135297400833 x	https://t.co/uDeg6XVx HAPPY BIRTHDAY BOO BEAR!!
778525020_283220908657762306 x	RT @Family1DBieber: ESSE ? O 1? ANIVERSARIO DO LOUIS QUE PASSO COMO DIRECTIONER #RT SE ? O SEU TBM
778525020_283213871177674753 x	RT @ddlovato: "Mum? Mommy? Mom? Mother? Mama? Mum? Mommy? Mommy? Mom?" "Yes Stewie?" "Hi."
778525020_283212374025043968 x	RT @Sara_Felipa: Portugal Unido  jamais ser? esquecido <3 #HappyBirthDayLouisFromPortugal
778525020_283200908081377281 x	RT @Princess1DLand: #HappyBirthdayLouisFromPortugal !!
778525020_283198697385369600 x	@EleanorJCalder Happy Christmas Eve! :D
778525020_283197970994851840 x	RT @marian_dias_: #HappyBirthDayLouisFromPortugal ? Help us #1DFamily
778525020_283181095212691456 x	RT @Bea_horan: @Louis_Tomlinson #HappyBirthdayLouisfromPortugal happy birthday boo bear :D 21 years!!! that all your wishes come true... ...
778525020_283181023108403201 x	RT @Madalena_DR: #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFrom ...
778525020_283180941063618560 x	RT @Madalena_DR: .......#HappyBirthDayLouisFromPortugal
778525020_283180929625767937 x	RT @Madalena_DR: ......#HappyBirthDayLouisFromPortugal
778525020_283180918171119616 x	RT @Madalena_DR: .....#HappyBirthDayLouisFromPortugal
778525020_283180891033972736 x	RT @Madalena_DR: ....#HappyBirthDayLouisFromPortugal
778525020_283180876429398016 x	RT @Madalena_DR: ...#HappyBirthDayLouisFromPortugal
778525020_283180730601852928 x	RT @Madalena_DR: ..#HappyBirthDayLouisFromPortugal
778525020_283180705633165312 x	RT @Madalena_DR: .#HappyBirthDayLouisFromPortugal
778525020_283180692718903296 x	RT @Madalena_DR: #HappyBirthDayLouisFromPortugal
778525020_283180681100664833 x	RT @Madalena_DR: #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFromPortugal
778525020_283180666114437120 x	RT @Madalena_DR: #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFromPortugal #HappyBirthDayLouisFromPortugal
778525020_283180334013624321 x	RT @RisingFromAbove: Louis William Tomlinson esta nos TT`s Vamos la subir a nossa ashtag: #HappyBirthdayLouisFromPortugal  #proud
778525020_283180295954522112 x	RT @yeahitsanasilva: Se sabes quem s?o: Jennifer, BooBear, Peter Pan or Bin d? RT #HappyBirthdayLouisFromPortugal
778525020_283165471056994304 x	@Louis_Tomlinson Happy Birthday!!!  Have a great, wonderfull and an amazing day!
778525020_283162807501996033 x	@Louis_Tomlinson Happy Birthday!!! Have an amazing day!
778525020_282858477163008000 x	Acabo de completar "QUE VOCE CONHECE MAIS DO ONE DIRECTIO" e meu resultado foi: Naill Horan! Experimente: http://t.co/ATaEB0f8
778525020_282857945547542530 x	Acabo de completar "Nao clique aqui !" e meu resultado foi: muito curioso! Experimente: http://t.co/yE1jFaPA
778525020_282857841029701632 x	RT @LoveMyIdol_: kkkkkkk ? neh directioners kkk http://t.co/gMkMvy9y
778525020_282857753641369600 x	Acabo de completar "Poser ou Directioner :) Descubra a" e meu resultado foi: Directioner c:! Experimente: http://t.co/AHXLPn9r
778525020_282643900777246720 x	Acabo de completar "Quem vai cantar Summer Love pra voce??" e meu resultado foi: Louis! Experimente: http://t.co/QyqlivjJ
778525020_282560698490437632 x	Acabo de completar "Liam Payne, do 1D te namoraria?" e meu resultado foi: Com certeza!!! Experimente: http://t.co/mXPJTxmS
778525020_282560601329393664 x	Acabo de completar "Com qual dos One Direction te vais casar?" e meu resultado foi: Louis! Experimente: http://t.co/8NbZO0yf
778525020_282538051010445312 x	Acabo de completar "Vc e linda ?" e meu resultado foi: Vc e muito linda! Experimente: http://t.co/wPpOfIsP
778525020_282537575871303680 x	Acabo de completar "Qual Jurado do \\\THE X FACTOR US" e meu resultado foi: Demi Lovato! Experimente: http://t.co/Qnzt0gUM
778525020_282536684845928448 x	Acabo de completar "Voce e realmente uma Directioner" e meu resultado foi: Sim! Experimente: http://t.co/zhQD77qe
778525020_282314987328925696 x	Acabo de completar "quem pensaria em voce 24 hs ?" e meu resultado foi: Zayn Malik! Experimente: http://t.co/NrNp6rDP
778525020_282314785079582720 x	Acabo de completar "Voce conhece Liam Payne?" e meu resultado foi: SSSSIMMMMMM! Experimente: http://t.co/Ra39OSwK
778525020_282314622969733121 x	Acabo de completar "Que pais mais combina com voce?" e meu resultado foi: Inglaterra! Experimente: http://t.co/NAASWMnq
778525020_282314348033105921 x	Acabo de completar "Vc e popular????" e meu resultado foi: Mais ou menos! Experimente: http://t.co/MLPckumm
778525020_282313661844951040 x	Acabo de completar "Demi ou Selena?" e meu resultado foi: Selena!! Experimente: http://t.co/DSFt6HX5
778525020_282306304213659648 x	Acabo de completar "Voce Realmente ama ele ?" e meu resultado foi: Sim, ama! Experimente: http://t.co/rIAyyIkl
778525020_282305673340006400 x	Acabo de completar "Que 1D voce namoraria?" e meu resultado foi: Louis Tomlinson! Experimente: http://t.co/510ZU36m
778525020_282305256266792960 x	Acabo de completar "Perrie, Els ou Dani, qual voce seria?" e meu resultado foi: Els!!!! Experimente: http://t.co/8Ng7lYRa
778525020_282305167456604160 x	Acabo de completar "Es parecida com a Danielle Peazer ?" e meu resultado foi: Talvez ...! Experimente: http://t.co/2Y4aTAU0
778525020_282304502017716224 x	Acabo de completar "VOCE AMA O ONE DIRECTION? PRO" e meu resultado foi: Voce e OBCECADA.! Experimente: http://t.co/0dJx7rdw
778525020_282304301320269824 x	Acabo de completar "Se 1D terminasse como ficaria" e meu resultado foi: Vc ficaria abatida!! Experimente: http://t.co/R7KRyHWz
778525020_282304040438755331 x	Acabo de completar "Es Mrs. Styles, Tomlinson, Malik, Hor" e meu resultado foi: Mrs. Payne! Experimente: http://t.co/mVej4hwd
778525020_282303770631733248 x	Acabo de completar "Senhora 1D" e meu resultado foi: Senhora Payne! Experimente: http://t.co/HxW8RvAz
778525020_282303438807789569 x	Acabo de completar "1D seempre !" e meu resultado foi: Otimo vc e fa! Experimente: http://t.co/mKy4u2vT
778525020_282302563003535361 x	Acabo de completar "Quem e voce na saga Crepusculo?" e meu resultado foi: Bella! Experimente: http://t.co/idc2mybc
778525020_282302207053934592 x	Acabo de completar "Com quem voce namoraria da 1D?" e meu resultado foi: Liam Payne! Experimente: http://t.co/O40YitYT
778525020_282300633493671936 x	Acabo de completar "Qual sua idade mental?" e meu resultado foi: 21 anos!! Experimente: http://t.co/Hftv989G
778525020_282300345852506112 x	Acabo de completar "Com qual dos One Direction te vais casar?" e meu resultado foi: Liam! Experimente: http://t.co/8NbZO0yf
778525020_282300196312977408 x	Acabo de completar "Sabes mesmo tudo sobre os 1D?" e meu resultado foi: Voce sabe :)! Experimente: http://t.co/VT8S1Qv3
778525020_282299788869918720 x	Acabo de completar "Com qual celebridade v" e meu resultado foi: Selena Gomez/Justin Bieber! Experimente: http://t.co/GPzDn3PR
778525020_282299573521747968 x	Acabo de completar "Louis,Zayn ou Liam" e meu resultado foi: Liam! Experimente: http://t.co/8OwbwUhx
778525020_282298369936855042 x	Acabo de completar "Com Qual 1D Girlfriend Voce Parece?" e meu resultado foi: Eleanor! Experimente: http://t.co/1mVhcxoM
778525020_282289773983453184 x	Acabo de completar "Qual dos minos combina mas com voce?" e meu resultado foi: Niall! Experimente: http://t.co/nLOaZW8G
778525020_282289607071121410 x	Acabo de completar "ama mesmo o louis?" e meu resultado foi: yeah vc o ama mesmo!! Experimente: http://t.co/1ezc11wK
778525020_282288753861619712 x	Acabo de completar "Ama Lian Payne?" e meu resultado foi: Ama sim!! Experimente: http://t.co/QYGpABz9
778525020_282288558671286273 x	Acabo de completar "voce e uma verdade" e meu resultado foi: verdadeiramente DIRECTIONER!! Experimente: http://t.co/kfhfsZbX
778525020_282287750902870017 x	Acabo de completar "Com qual 1D voce casaria ???" e meu resultado foi: Niall! Experimente: http://t.co/cVIiqbNU
778525020_282286453076131840 x	Acabo de completar "Harry Styles seria o pai " e meu resultado foi: ava so pra ser amigo!!! Experimente: http://t.co/BknHqya8
778525020_282286000623988738 x	Acabo de completar "Niall e a tua alma g" e meu resultado foi: Britanico Irlandes Espanhol! Experimente: http://t.co/Ozz5ACu2
778525020_282285879748333569 x	Acabo de completar "Voce se parece com o Harry ?" e meu resultado foi: Alma Gemea! Experimente: http://t.co/lkYj1Ofe
