95940073_379990899230769152 x	@tara_mooree thank you Tara #yourock
95940073_293031950279655425 x	RT @AdamSchefter: Former Browns HC Pat Shurmur is expected to join Chip Kelly's coaching staff in Philadelphia, likely as Eagles' offens ...
95940073_292715817097908224 x	RT @pokkadots12: ?@JessicaMarie614: my baby outsideeee<333333 http://t.co/E8jCb7OS? WHY DID I NOT SEE THIS BEFORE OMGOGOG OFMOMGOGM H ...
95940073_292694064028061697 x	@RoobCSN guided by voices intro ?   Lol
95940073_292513524796768256 x	Terrapin but the train's got its brakes on and the whistle is screaming:TERRAPIN
95940073_291936879518044160 x	@TheRyanBeatty tomorrow
95940073_291936466806927360 x	@RoobCSN the last time I hitchhiked was 1977 going to the Bonner mixer real weirdo picked us up.   I was done after that.  Lol
95940073_291730024497823744 x	RT @SweetwaterMV: Retweet if you're going to #Furthur tonight!!! (Or watching the #FREE #LiveStream!)
95940073_291009386271354880 x	RT @Mpasq5: Amber Alert Issued In Pa.@BrianDawkins @DeseanJackson10 @Sixers @NHLFlyers @Phillies @JimmyRollins11 http://t.co/LWRz6BDc
95940073_290911578692386818 x	@RealGlenMacnow don't see it either
95940073_290874703101448192 x	@RoobCSN your the best Football writer in my mind Roob
95940073_290874353527181312 x	She wore Scarlet Begonias tucked into her curls , I knew right away she not like other girls , other girls
95940073_290661987082440707 x	I found out the time for the meet and greet.  #dadalwayscomesthrough
95940073_290554276592365570 x	@AdamSchefter @mortreport coach,coordinator now offensive line coach.  Time to quit tony
95940073_290522269409759232 x	OAK, KC, DET, CHI, CAR, IND - have asked to interview Browns ST coach Chris Tabor and Cleveland has denied permission on Tabor. What jerks
95940073_290330978482786304 x	?@pokkadots12: @TheRyanBeatty FOLLOW @WHARFRAT917  PKEASE:)))?thanks Lauren
95940073_290330720445009920 x	RT @RoobCSN: After just one playoff game, Colin Kaepernick ranks 12th in NFL history in CAREER postseason rushing yards by a quarterback.
95940073_290321912100438016 x	@TheRyanBeatty maybe you can tell us what time the meet and greet starts in West Chester #thegirlsaredieingtoknow
95940073_290320656078364672 x	RT @RoobCSN: Joe Flacco has won as many playoff games in the last seven days as Peyton Manning has won in the last six years.
95940073_289868858817404928 x	@JessicaMarie614 me too lol
95940073_289441218000207873 x	@RoobCSN Bradley
95940073_289379635735715841 x	@TheDadBeatty Hi Kevin what time does the Meet and Greet start at the Note in West Chester my daughter said it is my job to find out  Thnx
95940073_289378620584116224 x	@TheRyanBeatty Hi Ryan what time does the Meet and Greet start at the Note in West Chester Pa I guess I will call there to ask  Thanks.
95940073_289102563238883328 x	@TheRyanBeatty ill be there
95940073_289102541944389632 x	RT @TheRyanBeatty: just heard the PA show sold out. good stuff
95940073_288088856820064257 x	RT @RoobCSN: Again ... the Gus Bradley interview has not been scheduled. It will be soon. When it is, I promise I will let everyone know ...
95940073_288053187842306048 x	RT @RoobCSN: The last time a team led a playoff game 14-0 in the first quarter and lost? 2003 Packers at the Linc ... the 4th and 26 game.
95940073_287996328636727297 x	@RoobCSN Chip yes or no.  Or we move on
95940073_287995120735891456 x	?@pokkadots12: @TheRyanBeatty hey you should follow @WHARFRAT917 :)?thank you
95940073_287993721159553027 x	@TheRyanBeatty hi Ryan can you retweet this for me my daughter will go crazy #dadwhoisBeattycrazy
95940073_287979109856989184 x	RT @CrossingBroad: Yesterday, Howard Eskin was Extraordinarily Wrong About the Lockout  http://t.co/MwGZVklH
95940073_287978566866583552 x	@RoobCSN AGREED
95940073_287755746140102656 x	?@RoobCSN: probably Eyes [favorite version: Englishtown, 1977] @john_cantwell Greatful Dead fan? Favorite song??wake up to find out
95940073_285940272666394624 x	@RoobCSN where did Nolan come from.  WTH
95940073_282444927319814144 x	Boy the way Glenn Miller played
95940073_280445731599437824 x	@BenRevere9 go hit em Ben    And you will get that First home run at CBP.  # go Phillies.   #Please Retweet
95940073_280449265422176256 x	@WHARFRAT917 @BenRevere9 thank you Ben.   You the man and you are gonna love us Philly Fans. Go get em
95940073_280347191049072640 x	RT @RoobCSN: Since the Eagles' last interception, 22,181,109 babies have been born in the world. That's 22.2 million babies.
95940073_280347113693523968 x	RT @RoobCSN: Eagles have faced 224 consecutive passes since their last interception.
95940073_280347103908220928 x	@RoobCSN and a awful lot of Guided By Voices and Grateful Dead tunes.  Lol
95940073_280346799728910337 x	@RoobCSN follow boring me Roob.  Lol
95940073_280329754761117696 x	@RoobCSN another great stat Roob so we can remember this wonderful season.  Lol
95940073_280104493436264448 x	RT @TRI_Studios: #jerrygarcia #tonybennett #sfgiants http://t.co/Pfiqv13w
95940073_280103207789805568 x	RT @Giants: #Giants to honor students and teachers of #SandyHookElementary and community of #Newtown w/S.H.E.S. on back of helmets http: ...
95940073_279998878542082048 x	RT @RoobCSN: Most consecutive games in NFL history without an interception: 9 (2011 Vikings), 8 (2012 Eagles), 8 (1996 Falcons).
95940073_279998838834618368 x	@RoobCSN setting the record would be a great way to remember this AWFUL season #seasonfromhell
95940073_279967827090341888 x	Please pray #newton
95940073_279966811242512384 x	RT @beattysNJbabes: vote for @TheRyanBeatty as your favorite artist of the year on >> http://t.co/GoPdH7jZ we need all the votes p ...
95940073_279954473160417281 x	https://t.co/vswCy0g0
95940073_279954087821336577 x	https://t.co/ifcbj7Tg
95940073_279739006105821184 x	Sad just do sad
95940073_279080661191639040 x	RT @Q102Philly: For every RT, $1 will be donated to the Robin Hood Relief Fund to aid Hurricane Sandy victims. #121212Concert http://t.c ...
95940073_278550086693289984 x	@TheRyanBeatty how come you guys put tix on sale on Friday for the note in west Chester now you put the meet and greet on sale
95940073_278192243653894144 x	@RoobCSN how many Guided by voices songs have you listened to since the last interception
95940073_278267417594064897 x	@RoobCSN probably the same amount for me with the Dead.   Lol
95940073_278191959363960832 x	RT @RoobCSN: This was 8th game this year in which a QB has thrown 2+ TDs & 0 INTs vs. Eagles. That's one shy of NFL record of 9 set  ...
95940073_278191632904499200 x	RT @AdamSchefter: Kirk Cousins and @RGIII were first pair of rookie QBs with TD passes for same team in same game since 1966, per Elias  ...
95940073_277938028268380161 x	@BrianDawkins  BDawk you are and always have been class act. I just wanted to thank you for the joy that you brought to my family THANK YOU
95940073_277936743334948864 x	RT @RoobCSN: Here's my story on how Nick Foles made up one of the biggest plays of the game, the 4th-down to Avant: http://t.co/Ow1oDOe7 ...
95940073_277936667652927489 x	?@ShaneVictorino: Gonna miss the special place in my heart called home...#MauiNoKaOi..I thought you were talking about us Philly fans lol
95940073_277919543484116994 x	RT @RoobCSN: Foles is 3rd QB in NFL history with 380 yards, 2 TDs, 0 INTs in a game [Bulger vs. Chargers in 2002, Luck vs. Dolphins in 2012]
95940073_277913704375406593 x	@BenRevere9 have you had our famous cheesesteaks yet
95940073_277908534572752897 x	RT @RoobCSN: Last Eagle QB to throw 2 TDs in final 4 minutes: A.J. Feeley on Jan. 6, 2002. Both to Dameane Douglas. At Tampa. [Backups p ...
95940073_277908479157624832 x	RT @RoobCSN: Jason Avant told me the 22-yard 4th-down conversion with 16 seconds left is not in the playbook. Nick Foles made it up on t ...
95940073_277899232118194176 x	Poor Leo !!!! http://t.co/zBxkXyzw
95940073_277889932796755969 x	RT @RoobCSN: In 2006 ... last second ... Matt Byrnat ... Buccaneers 23, Eagles 21. Today ... Nick Foles ... last second ... same score.
95940073_277886107528593408 x	@BrianDawkins yes
95940073_277876025990455298 x	@BenRevere9    Openings in Philly.  Lol
95940073_277875698935402496 x	@RoobCSN reminds me of Chuck Berrys The Promise Land.  Lmao
95940073_277875287780384768 x	RT @RoobCSN: Since the Eagles forced a turnover, I've flown from New Orleans to Philly, Amtrak'd to Wash & back, flown to Dallas &am ...
95940073_277871882265559041 x	@RoobCSN 2012 team just showed up
95940073_277863329513472000 x	You muffer
95940073_277852371814608896 x	DEFENSE
95940073_277851923628052480 x	@BrianDawkins wowwwww
95940073_277489514337943552 x	http://t.co/4JsbvS1t
95940073_276819591886409728 x	@TheRyanUpdate @theryanbeatty yes my daughter was very sad when she came home and  he did tweet he was happy to be PERFORMING at Jingle Ball
95940073_276818556950310912 x	@missybrewer I have to learn all this hash tag shit.   Some tweets confuse me.  Lol
95940073_276804275638775810 x	@BenRevere9    Welcome to Philly Ben
95940073_276802409567768577 x	@TheRyanUpdate @theryanbeatty how come you DIDN'T PERFORM at Jingle Ball
95940073_276801589858140162 x	@TheRyanBeatty how come you didn't sing at jingle Ball.
95940073_276523608296280064 x	@RoobCSN I agree Roob
95940073_276470892194844673 x	we want Ryan #Q102JingleBall http://t.co/HpGZdYmo
95940073_276470785667911680 x	wheres Ryan Beatty now #Q102JingleBall http://t.co/HpGZdYmo
95940073_276463367386980352 x	wheres Ryan Beatty #Q102JingleBall http://t.co/HpGZdYmo
95940073_276462591528796160 x	Ryan Beatty #Q102JingleBall http://t.co/HpGZdYmo
95940073_276462472548974592 x	#Q102JingleBall http://t.co/HpGZdYmo
95940073_275698663387451392 x	@TheDadBeatty   Is the Sayreville New Jersey show cancelled    It saids that on live nation but it doesn't say anything on Ryan's website.
95940073_275698169390710784 x	@TheDadBeatty
95940073_273982435711152128 x	http://t.co/1ynw2hTL
95940073_273870087214231552 x	The Vast Recorded Legacy of the Grateful Dead : The New Yorker http://t.co/tZKV33Dn via @NewYorker
95940073_273869956431626241 x	Out Loud: Let?s Go To the Tape http://t.co/lT73OKA2 via @NewYorker
95940073_267084138752913410 x	RT @JeffDBernstein: Could you talk about life on the road? Has it changed? @TRI_Studios
95940073_267082787809525761 x	@TRI_Studios hey Bob rememeber Pam that drove you to the airport when you were in philly at tthe tower solo
95940073_267082261499871232 x	RT @hughcmcbride: Watching @tri_studios live stream of @BobWeir answering questions & making music. Very, very cool. #weirhere
95940073_264033218855063553 x	@TheDadBeatty and we are from Philly.  Please help with any info before my daughter gives me a heart attack.  Lol.  Thank you very much
95940073_264083613161771008 x	@TheDadBeatty   Thank you very much now I can put my daughter at ease.  She loved the meet and greet at Webster hall. Thanks again
95940073_264070957361135616 x	@dispatchmusic awesome.   Thanks
95940073_264070839773843456 x	@dispatchmusic
95940073_264070752821706752 x	https://t.co/TYfTtRSO
95940073_264060410653728769 x	What's Ryan Beatty doing in Philly
95940073_264060102703722497 x	@Q102Philly what's Ryan Beatty doing in Philly
95940073_264032894023000064 x	@TheDadBeatty I know Ryan is in Philly is he playing anywhere   Radio concert etc.    we were at Webster hall
95940073_264030674346983425 x	@TheRyanBeatty pleaseeeeeeeee
95940073_264029954143027201 x	@TheRyanBeatty please tell me where you are going to be.  I have to get my daughter there before she gives me a heart attack.   Lol
95940073_264027333797761024 x	@TheRyanBeatty   Where are you going to be.  Are you playing anywhere radio concert etc.  please I have to get my daughter there
