283030343_391909580336160768 x	?@jpeery59: The only Confederate flag that mattered http://t.co/Z0pMWUtqNh?
283030343_385117606329327616 x	Sen. Warren on Republicans: 'Hostage-taking is All They Have Left' - Government - Framingham, MA Patch http://t.co/Zollo3W7uT
283030343_385117374984122368 x	How Republicans blocked a key Obamacare benefit?without the shutdown http://t.co/u5uLXHhGSe via @motherjones
283030343_385116674065563648 x	Taking Aim at the GOP's War on the Poor  http://t.co/5cqBqbnpIj via @BW
283030343_384841275922726912 x	RT @KennettDems: GOP fighting tooth-and-nail for the 7% who want #ObamaCare gone. POLL: Voters Don?t Want To Delay Obamacare http://t.co/NA?
283030343_384840593874374656 x	RT @SileSkelley: Awkward: Republican Congress members are asked if they?ll forgo their salary during a government shutdown http://t.co/ps3a?
283030343_384832813448835072 x	?@Stwallace23: Here's some of the list of bills the GOP has blocked #ShutdownTheGOP http://t.co/3dqDItDnyZ?
283030343_384829930984722432 x	?@marcellus_SWPA: Not content with #fracking our parks, now they want to mine them for coal too.  bastards. http://t.co/sgj1m1IVZA?
283030343_383935347131826176 x	Sebelius: Health bill limited without Texas' help - Yahoo Finance http://t.co/rEhu12WdrM via @YahooFinance
283030343_382600359530618880 x	That?s not what ?bipartisan? means http://t.co/kPYlfostn8  via @MaddowBlog
283030343_382223703540375552 x	Now they?re arresting people who complain about the Common Core http://t.co/6PMun3wm7G via @YahooNews
283030343_382174334107648001 x	House Republicans: Huge farm subsidies for me, no food stamps for you http://t.co/4aDxkNODqp via @dailykos
283030343_382173386002026496 x	RT @OccupyWallStNYC: How come "Big Government" always means the stuff that helps poor people, not the giveaways to the rich & well-connecte?
283030343_382154786595819521 x	Add It Up: The Average American Family Pays $6,000 a Year in Subsidies to Big Business | Common Dreams https://t.co/4Tds51RGjs
283030343_380819716123529216 x	Rand Paul: 'I Am Here To Ask That We Begin The End Of Mandatory Minimum Sentencing'  http://t.co/y849ymBtz7 via @forbes
283030343_380819422543245312 x	One Totally Overlooked Middle Class Problem http://t.co/VX9zPEuyq7 via @HuffPostBiz
283030343_380802721680351232 x	Pope Bluntly Faults Church?s Focus on Gays and Abortion http://t.co/PmvCRrwC3v
283030343_380339667775651841 x	Lobbyists Are Ruining America - The Bilzerian Report: http://t.co/DQAWJU5YeR
283030343_380339128392372224 x	Americans Are 110 Times More Likely to Die from Contaminated Food Than Terrorism | Alternet http://t.co/TP8Awqg9iq
283030343_380285705353564160 x	Homeowners vs. Big Bad Banks: http://t.co/oIOycrm1vy via @theprospect
283030343_380285573061017600 x	Gridlock might destroy the US economy, but it's still good for business http://t.co/udFr69EdZn via @motherjones
283030343_379684106046423041 x	Chris Christie, America's most overrated governor: Moran | http://t.co/JhIg4wTbQ5 http://t.co/bWMJdIzwr5
283030343_379683544978571264 x	The Green Tea Party: Debbie Dooley Battles Big Energy http://t.co/OO1117sveU via @thedailybeast
283030343_379682961618006016 x	We've Got a Billionaire Bailout Society?And the 99% May Never Recover From It In Our Lifetimes | Alternet http://t.co/Mg4wi7Npmx
283030343_379681927369748480 x	Bernie Sanders To Larry Summers: Don't Let The Door Hit You in the Backside On The Way Out http://t.co/s1KvIdrMNW via @politicususa
283030343_379657021739368448 x	RT @KennettDems: Reality pokes big hole in 'good guy with a gun' theory. NYPD Shoot 3 Times At Suspect, Hit 2 Innocent Bystanders http://t.?
283030343_379578325095555072 x	AP IMPACT: Many US bridges old, risky and rundown http://t.co/wgTGGnGksv via @YahooNews
283030343_378907047334379520 x	Why Are We Just Finding Out About The Koch Bank? http://t.co/oiqii14Qey via @sharethis
283030343_378259713202204672 x	Obamacare saved consumers $1.2 billion in 2012 premiums, HHS says http://t.co/q0ixueOHyg via @MarketWatch
283030343_378199242491187200 x	How Wal-Mart's Waltons Maintain Their Billionaire Fortune: Taxes - Yahoo Finance http://t.co/ULqHtHYSpM via @YahooFinance
283030343_377829436172664832 x	Missouri Republicans Set to Arrest Federal Agents and Let Criminals Go Free http://t.co/VCxJnLn5Bw via @politicususa
283030343_377829088783638528 x	Tevlin: Combative Sutton didn't live what he preached | http://t.co/UElDCjIc52 http://t.co/3cKBuqJRcx
283030343_377828474880155648 x	Sen. John Morse ousted in historic vote, vows to "continue to fight" - The Denver Post http://t.co/8QS3VxSyHD via @denverpost
283030343_377827896607264768 x	Some 95% of 2009-2012 Income Gains Went to Wealthiest 1% - Real Time Economics - WSJ http://t.co/N9X9bopEvj via @WSJ
283030343_377826828892651520 x	Pipeline Safety Chief Says Regulatory Process Is 'Kind of Dying' http://t.co/iDNGq8h0Vs via @BloombergNews
283030343_377826273709395968 x	Exxon Charged With Illegally Dumping Waste in Pennsylvania http://t.co/iX61tx368L via @BloombergNews
283030343_377475983747448832 x	Shocking Facts About Factory Farming Vs. Sustainable Farming ? Infographic http://t.co/clZYgPLy80 via @sharethis
283030343_377475399434780674 x	Neil Young on oil sands: ?Fort McMurray looks like Hiroshima? http://t.co/y4UToMVmRx
283030343_375657508150714368 x	?The Chamber Of Commerce?s surprising comments on a carbon tax and how it could change the game in Congress http://t.co/LNpd2M74Yw?
283030343_375613027351281665 x	RT @HRC: HRC Joins Campaign to Raise Awareness for Suicide Prevention with @TrevorProject and other National Partners -- http://t.co/fd6V9a?
283030343_375612972132859904 x	RT @PolitiFact: RNC says health insurance premiums up 29% under Obama. Yes, though it's risen half as fast as in the prev 9 yrs. http://t.c?
283030343_375353773314428928 x	Georgia Republican Caught Bragging About Sabotaging Obamacare (VIDEO) http://t.co/X35Xumxagm via @dailykos
283030343_375353638454951936 x	With Rooftop Solar on Rise, U.S. Utilities Are Striking Back by Marc Gunther: Yale Environment 360 from @YaleE360 http://t.co/nvqRnFxaXw
283030343_374965161989120000 x	Fracking explained: opportunity or danger: http://t.co/iOw41thm8H via @youtube
283030343_374533408581746688 x	RT @EPA: #Climate change is happening. Learn what it is and what EPA is doing. Get the facts: http://t.co/JPYEVeMe2z #ActOnClimate
283030343_372815395469950976 x	@PFEnergyCenter: WOW. Largest #solar farm in Pa. to sit near Blue Mountain interchange of PA Turnpike, operating 2014 http://t.co/1upv95rNa3
283030343_372159603452018688 x	If Romney Won 8-23-2013 The Far Left Side ? Highly Progressive Comics Monday, Wednesday and Friday! http://t.co/NjmKSYMka1 via @Farleftside
283030343_372157719387443200 x	Monsanto's Glyphosate Problems: Scientist Warns of Dire Consequences with Widespread Use http://t.co/N6lIRjRBrJ
283030343_372156907114340352 x	Huckabee Makes Ridiculously False Claim About Volcano, Climate Change http://t.co/VohcVp3L6W via @HuffPostPol
283030343_372013914059313153 x	6 Filthy Facts About the Rich | Alternet http://t.co/B58DkgBt7U
283030343_372013286864072705 x	Public School Asks Parents to Pay $613 Per Student As Governor Destroys Public Education With Insane Defunding http://t.co/Te8GFhAOIl
283030343_371666522059440128 x	?@phillydotcom: Pa., NJ among states where private lobbyists get public pensions http://t.co/QmoL8oebTN?
283030343_371227039669288960 x	Fracking Colorado: Illusory Benefits, Hidden Costs | Food & Water Watch http://t.co/5zUvJLR92m
283030343_371226339405082624 x	RT @SueRapp2: The hashtag #dontfrackus was the second most popular hashtag paired with #BingPOTUS. http://t.co/FyjyE8Q6fJ @FrackAction @fra?
283030343_370938914883637249 x	Groundwater Contamination May End the Gas-Fracking Boom: Scientific American http://t.co/G3ItJdkH9W via @sciam
283030343_370218100634816512 x	If You've Ever Traveled to a "Suspicious" Country, This Secret Program May Target You http://t.co/G5jwqAh5Za via @motherjones
283030343_370217343244189696 x	RT @SenBobCasey: Pushing to restore $80 million in proposed cuts to the National Energy Technology Laboratory (NETL) in Pittsburgh. http://?
283030343_370216455075143680 x	RT @ggreenwald: Most amazing feat of US Govt is to get journalists to take the lead in demanding the criminalization of journalism http://t?
283030343_370215910662873089 x	How low can you get: the minimum wage scam | Heidi Moore http://t.co/Xc5U2YQNjz via @guardian
283030343_370213845404368897 x	8 Reasons Young Americans Don't Fight Back: How the US Crushed Youth Resistance http://t.co/O7AHP854Tn
283030343_369931018972581888 x	RT @elisefoley: People are terrible http://t.co/GoyzMtM3sE
283030343_369926925344448512 x	RT @SmPenisGunClub: In April 2013, Christie proposed a ban on military sniper rifles.  The NJ legislature passed it.   In August 2013, Chri?
283030343_369823478146289664 x	Mike Huckabee, Jim Inhofe Give How-To On Denying Climate Change Without Any Concern For Facts http://t.co/VohcVp3L6W via @HuffPostPol
283030343_369822779194892288 x	Nine Term North Carolina Senator Resigns To Fight New Voter Suppression Law http://t.co/6WJmjviXwI via @TPJustice
283030343_369822105019244545 x	Predatory Privatization: Exploiting Financial Hardship, Enriching the 1%, Undermining Democracy  http://t.co/owxqBCBirI
283030343_369813594453471232 x	PolitiFact: Rand Paul's price estimates for health care are way too high http://t.co/uvbPtAlZMI via @TB_Times
283030343_369813168249253888 x	Ted Cruz releases birth certificate - http://t.co/6DNsOQou9f: http://t.co/NJv37v1jFp via @POLITICO
283030343_369809408580022272 x	?Oligarchic tendencies?: Study finds only the wealthy get represented in the Senate | The Raw Story http://t.co/MwmkvPqEwV
283030343_369808251950354432 x	Our Failure to Stop You from Voting Means We Weren't Trying to Stop You from Voting: http://t.co/EvtA4i0O9v via @theprospect
283030343_369807987239419904 x	Texas is fracked: More than 30 towns will soon be out of water | The Raw Story http://t.co/32XuSQJnA0
283030343_368737459988729856 x	@Philly_PR_Girl Congrats, Kate!
283030343_368732289582120960 x	?Government should protect people and regulate corporations, not protect corporations and regulate people (poster) http://t.co/sNyxC371b0?
283030343_368731466575773697 x	Judge Suspends Harsh Voter ID Law http://t.co/1GRXghINRp via @HuffPostPol
283030343_368731118926708736 x	?@MotherJones: It costs $350 to make an artificial hip. But it will cost you $30,000 to get one  http://t.co/ufSkb5bXfw?
283030343_368730743809540096 x	RT @HuffingtonPost: LISTEN: State politician calls gays "disgusting" in alleged secret recording http://t.co/FTivQpCvbS
283030343_368081498198401024 x	Climate reality must win out over political attacks on science http://t.co/D4Wh4CtDQt via @msnbc
283030343_368080245917614080 x	Wind farm produces TOO MUCH energy, causes problems with "dumb" grid. (http://t.co/a5x73f3ctR) http://t.co/gYflFdtzrO
283030343_368040875080683520 x	What Papa John's Doesn't Want You to Know About Their Food - Yahoo! Finance http://t.co/ziMa46fSjM via @YahooFinance
283030343_368013257497264130 x	Right-wing push poll accidentally finds Obamacare popular http://t.co/Jxu9pJNkXh via @Salon
283030343_367695894071619586 x	Toxin Found in Most U.S. Rice Causes Genetic Damage - The Crux | http://t.co/QgqvPTIUcH http://t.co/nUezbQyCFX  via @DiscoverMag
283030343_367688206969348096 x	92-Year-Old Black Woman Sues Just Hours After North Carolina Gov. Signs Voter ID Law  http://t.co/RCce4r41Vs via @sharethis
283030343_367679854767923200 x	Protesters Live in a Tent City to Oppose Post Office Closure | The Nation http://t.co/BnqwU0wGhE via @thenation
283030343_367679696621682689 x	Republican Congressman Miserably Fails At Minimum Wage Math http://t.co/cmCsiHnzpS via @politicususa
283030343_367679276339834881 x	North Carolina?s Attack on Voting Rights http://t.co/ROi4AUL2FR via @thedailybeast
283030343_367678670011265024 x	Five Reasons Congress Should Be Deeply Ashamed about Jobs http://t.co/zsa7meMOTs via @ContributorNews
283030343_367678269715251200 x	How One Multi-Millionaire Is Turning North Carolina Into A Tea Party Utopia http://t.co/kFRx25AE5c via @TPJustice
283030343_367676608364048385 x	Hollywood Legend Ed Asner Has Outraged Republicans Over This Animated Short http://t.co/4GQKfhg4C4
283030343_367612861188554752 x	3 W.Pa. coal dumps contaminate water, EPA says | TribLIVE http://t.co/k1uXHZXlUz
283030343_367612132860248064 x	Undercover Agents Infiltrated Tar Sands Resistance Camp to Break up Planned Protest | Common Dreams https://t.co/f7AxILps22
283030343_367611974311362561 x	White House calls for increased grid spending http://t.co/TqmVRQLMpA via @BW
283030343_367611362194624512 x	Sierra Club accuses Christie administration of hiding its own report on climate change | http://t.co/JhIg4wTbQ5 http://t.co/cV6Qc3tM90
283030343_364044421903302656 x	US regulators 'find evidence' of banks fixing derivative rates via @Telegraph http://t.co/XMl68Rj1BU
283030343_363443390462963713 x	America?s Dangerous Pipelines http://t.co/PFdBIjGQ3T
283030343_363442708779499520 x	Report shows problems with Ark. Exxon pipeline - http://t.co/rxCxs4ZmZN http://t.co/7zbTtUKPbp via @SeattlePI
283030343_362936483889422339 x	Nearly 10,000 PA jobs permanently at risk with impending bridge and highway cuts http://t.co/0hp5yvw03a via @sharethis #PA #CORBETT
283030343_362936300225048580 x	Justices Have Been Forced To Resign For Doing What Clarence Thomas Has Done http://t.co/OrZCGcl7lV via @TPJustice
283030343_362935970741489664 x	Editorial: Same-sex marriage in Pa. a job for courts - http://t.co/NSi8rCL0u0 (from @delcotimes)
283030343_362918241632387073 x	PolitiFact | Barack Obama says minimum wage pays less now than when Ronald Reagan was sworn in http://t.co/vYpAH20kiz via @politifact
283030343_362699597178609665 x	?@HuffPostPol: Why getting voter ID might become much harder than voting http://t.co/uZFQXYGhSp?
283030343_362653367098556416 x	RT @HRC: Nearly 8 in 10 Americans support employment protections for #LGBT people. RT if you do: http://t.co/hbD2I40YUS http://t.co/DV1Xg7w?
283030343_362653144221614080 x	So Republicans are Pro-Life?  #p2 #p2b #UniteBlue #Tpot #CTL #veterans #labor #Hispanics #waronwomen #Democrats http://t.co/RcVWQ4BUUf
283030343_362652977456091138 x	Kathleen Kane fires back at Gov. Corbett over Pa. marriage suit - http://t.co/ajJVFGhiI5 (from @delcotimes)
283030343_362332197539151872 x	Pennsylvania Gay Marriage Lawsuit: State Sues Montgomery County To Stop Issuance Of Licenses http://t.co/3zNDddpqAe via @HuffPostGay
283030343_362331679970435072 x	RT @HuffingtonPost: BP CEO: Lawyers are the "biggest beneficiaries" of the gulf oil spill agreement http://t.co/Mv5ObCcoDT
283030343_362327651022680065 x	RT @TheDemocrats: What leadership looks like ?> #ABetterBargain http://t.co/TqOqGJfI8R
283030343_362310034073460737 x	RT @PADems: Interesting that Corbett's campaign sent an email titled "Pennsylvania's Progress" the same day he says he'll defend PA's gay m?
283030343_362309792611569664 x	RT @SenBobCasey: Bipartisan budget approach has potential to create jobs, spur growth while maintaining vital infrastructure- http://t.co/b?
283030343_362228300120199169 x	Your Big Mac Would Only Cost $.68 More If McDonalds Doubled Its Pay http://t.co/KbWkZUwedS via @TPEconomy
283030343_362227944724242433 x	RT @FuelsAmerica: FACT: There is a near perfect correlation between oil prices and food prices http://t.co/sTmeWfIRh4
283030343_362204457536196608 x	Obama proposes 'grand bargain' for jobs http://t.co/UQFuENRQO2
283030343_362195529138049027 x	PA Gov. Corbett (R) Caught Accepting Thousands of $$$ in Gifts in Return for Favors http://t.co/GNuX6L4voo via @dailykos
283030343_361858606045478912 x	RT @VoteGuide: Informed #citizens is our goal. Find the US #Senator or US House member who represents you, click vote history tab. https://?
283030343_361857136499769347 x	Pennsylvania Conservatives: Banning Same-Sex Marriage Is ?Just Discrimination? http://t.co/KhwpjR3L1H via @TPEquality
283030343_361856496792899584 x	The Supreme Court's gutting of the Voting Rights Act has already unleashed a GOP feeding frenzy: http://t.co/oaeVuK0Aqx via @motherjones
283030343_361855328964444161 x	Why It Finally Makes Political Sense to Talk About Climate Change - http://t.co/40zVqulvtI http://t.co/ka3MEOyVdK
283030343_361854929779953665 x	RT @stephodell: ?If someone is gay and he searches for the Lord and has good will, who am I to judge?? -Pope Francis
283030343_361854671654100992 x	Report: Corbett Among Nation's Worst Governors - Government - Forest Hills-Regent Square, PA Patch http://t.co/DAGwOQvklb
283030343_361850603766423553 x	Basically they don't appreciate what they have: Study Finds Only 28 Percent of Millionaires Think They're Rich http://t.co/3lr0H2VFHb
283030343_361566096509239298 x	Obama Intends to Let Health Care Law Prove Critics Wrong by Succeeding http://t.co/scSmI3esh5
283030343_361565290233995267 x	On Rooftops, a Rival for Utilities http://t.co/OshQYANaN0
283030343_361564785189453825 x	Obama should commit to a trillion-dollar infrastructure plan http://t.co/kecn9kzRRs via @motherjones
283030343_361538929985458176 x	?@JSC1835: NC Governor admits: ?I don?t know enough? about parts of new voting restriction law | The Raw Story http://t.co/RhHHSJDEtu?
