45175199_312742945050730498 x	RT @NHLFlyers: Elias for the Devils...NO GOAL!!! FLYERS WIN 2-1!!!!!
45175199_320568818189619200 x	I'm so glad that no horses died in the @JSGrandNational today!
45175199_327058989936418816 x	RT @Vantage2013: Interviews with the students and lecturers are up on the blog! Take a look for inside perspective on the degree show http:?
45175199_327034546732281856 x	Doing some of the strangest shoots of my life over the past week or so! #thethingsIdoforphotography
45175199_326436469633847296 x	successful Chinese lesson tonight! #gettingthere
45175199_326005911569174528 x	@Yateseee 10th June to NY how about you?
45175199_326064364698349568 x	@Yateseee dayum! what date d'you finish? I finish 19th Aug and will probably head down to NY again so if you're there then we could meet!
45175199_326094775340113922 x	@Yateseee what! no way! major bad timing hahaha, can't believe that!
45175199_326021595288195072 x	@Liz_Ball1 hahaha that sounds like a truly faultless plan ;) me and Anthony could take half and half maybe?! that would totally work!
45175199_325973369642168324 x	RT @Vantage2013: Corina Pickering is a Portraiture/Fashion photographer based in the northwest @corinapickering http://t.co/DPAxnBoGUA http?
45175199_325958422124195841 x	15 days until I finish uni forever, 24 days until my 21st, 49 days until I fly to America! #bringiton
45175199_325950963267538945 x	Fashion photographer Sir Norman Parkinson is todays Google! Love it! http://t.co/ajly6W64OQ
45175199_325282884543991808 x	Massive well done to my @saragreaves08!! I will see you in New York in August!!!
45175199_324979575790637056 x	to the people with mics on assassins creed multiplayer - nobody cares if you came 4th place and got agility!
45175199_324847635431292928 x	Video from our night cruise on the Pearl River in Guangzhou. So so beautiful, thank you @CharlieLambert! http://t.co/7tL40WyKko
45175199_324845103413870592 x	Business card samples have arrived! #somuchchoice http://t.co/gJ3DhMmrFV
45175199_324669560752062464 x	Why have I only just discovered @TweetDeck! Made my life so much easier, thank you @andrewleese89!
45175199_324671235541848064 x	@andrewleese89 @TweetDeck ;) #stalkers #topfriend
45175199_324667746694594560 x	RT @Vantage2013: Vantage event at @SourcePreston on Thursday 25th April. Can't wait, see you there! http://t.co/BzS4QgN5I8
45175199_324506369539592193 x	@PhotolinkSocial Thank you, Photolink is also great :)
45175199_323882627566301184 x	productive day and excited for tonight!!
45175199_323238320253587457 x	RT @journalismuclan: If you'd like to see what the students have been up to in Guangzhou, please take a look at... http://t.co/76fYo40tbR
45175199_322703107190571008 x	Searching for jobs on the china Vogue website is difficult when you don't speak chinese... and I can't find a link for english?! #help
45175199_322648960898564097 x	prints in the post is my favourite post! http://t.co/NCZFj89k5n
45175199_322525586121703425 x	@STD87 @rhia_beresford after tonight I think I've proven we're closer than a married couple never mind lovers! hahaha #topfriend
45175199_322524147920019456 x	@m_mayhem this made me smile! hahaha http://t.co/7SkiFupzoz
45175199_322473939613917185 x	@rhia_beresford we are way too close for our own good! damn you!! #whydidijustdothat
45175199_322378466685235200 x	so so excited for this! http://t.co/cJnALmEHi4 @rankinphoto
45175199_322324732080947200 x	@rhia_beresford cross more fingers!!
45175199_322310273098723328 x	RT @agalleryartists: It's a lie that artists are crazy. What's crazy is doing a 9-5 you hate. Creativity is the foundation of all that's ...
45175199_322299395771101184 x	waiting on an email... #anticipation
45175199_321940236030590976 x	My images of the England Womens Rugby 7's on the Radio Guangdong website - http://t.co/O9TGqjZXPR
45175199_321929285537525761 x	'Student finance applications now open for 2013/14' - already had my last ever loan, feels so strange knowing I don't need to do it again!
45175199_321777760194400256 x	RT @Cmdr_Hadfield: New York City, lit up like a bulb. The Statue of Liberty is clearly visible in the night from above. http://t.co/6ws3 ...
45175199_321596528206696448 x	definitely the coolest airport I've been to so far! so epic! @DubaiAirports http://t.co/zQB658TSJ6
45175199_321590934578003968 x	new images and updated website - http://t.co/uF3mYkY5EO #photography
45175199_321216881002442752 x	I have no time for being ill! way too much to do!
45175199_320998225337262080 x	blog for @Vantage2013 - the UCLan 2013 graduate exhibition http://t.co/dfyJvWrtm3 check it out! #photography
45175199_320895384857751552 x	oh yes, this is what I need!! #addictedtochocolate http://t.co/Q6Oq0nv4Nb
45175199_320865497501532162 x	learning mandarin chinese is difficult! not sure if this is possible!
45175199_320892355181953024 x	@charleymiller91 long story, I caught something bad and I'm in isolation so I might not be in Preston this week! I shall let you know :)
45175199_320660137691971585 x	successfully made myself a dairy free cake :) yay!! #secretchef
45175199_320642624161718272 x	Team Guangzhou 2013!! Hopefully will not be too long until I return! http://t.co/dk6xcUw3qq
45175199_320095614346076160 x	Chinas crazy food is crazy! I got told by the locals that chickens feet are delicious... http://t.co/Y8RUXqV2bC
45175199_320092609735442432 x	China has made me iller than I've been in my whole life and for some reason all I want to do is get back onto another 20 hour flight back!
45175199_316817596311822337 x	China is amazing! Completely strange and unexplainable, but amazing!
45175199_315823806868512768 x	leaving for china in less than an hour! from tonight I will be mostly un-contactable until 4th april! email if needed :) bye england!!
45175199_315682691578200064 x	@charjones21 we were an awesome team! you/the photos look great!!
45175199_315681832396009472 x	RT @charjones21: Thankyou @corinapickering for your photography skills last night! #tiredbear
45175199_315525312488296448 x	just had my first wave of excitement for going to china tomorrow!! eeeeeeee!
45175199_315647839655051264 x	@staceybird92 thank you birdy! you and cal have an mint time too! see you after we're both tanned ;) @EmHall96 will look whiter than ever :P
45175199_315474059611742208 x	thanks @AskHalifaxBank for the lovely brew :) #neededthat
45175199_314871295101779969 x	@rhia_beresford it will be exciting! I will make a thank you cake for your brilliant messaging services!! #bestfriend #topfriend
45175199_314845000770916354 x	this library is SO cold, if anyone fancies bringing me a hoodie I would literally be forever in your debt and would bake you multiple cakes!
45175199_314863629285588992 x	@DaleU93 yes! definitely my second home! a very cold one though... my fingers might have frostbite if I carry on!
45175199_314863301953732608 x	@rhia_beresford you may :) I'll have another baking session when I am home and we can have brew and cake! #hardcore
45175199_314734568584384513 x	hahahhaha brilliant!! http://t.co/gonulCebFq
45175199_314565968686899200 x	listening to Mozart in the library in a last ditch attempt to make us clever. @NJpony we can do this!
45175199_314536929100173312 x	Guy in the library: "what is your favourite number?" friend of guy: "82.5" #standard
45175199_314497386347126785 x	This guy looks how I feel #dissertation #librarynaptime http://t.co/92c2eaQ7Lo
45175199_314402090619371522 x	promising that the day we fly there will be a "Strong Thunderstorm", brilliant. http://t.co/jJkC7VRqFO
45175199_314156076549419009 x	I wish maltesers grew on trees!! #maltesertree #nom
45175199_314148211264720896 x	@NJpony @mollymeganc @NJoCase we can do this!!
45175199_314147749308289025 x	RT @Vantage2013: Fundraising event COMING SOON!  Watch this space and get ready to PARTY to raise money for @Vantage2013
45175199_313796563807920129 x	rewarding myself with malteasers for every hundred words is never going to end well... #dissertation
45175199_313461436439482369 x	@OliviaAley loving your profile picture! you looked amazing!
45175199_313453188638453760 x	Oh Channel 5... you really test my knowledge! #missionconfusing http://t.co/pRND8oNuBN
45175199_313333558812999680 x	NEED to go! http://t.co/vu0Qsh7sjJ
45175199_312998485605621760 x	Dissertation http://t.co/JUySdBzOG0
45175199_312961803330125824 x	Massive happy 21st to Harriet! #homemadecake http://t.co/7ZDSSNELgq
45175199_312343126515806208 x	so excited and impatient for @EntourageMovie! need the boys back in my life! #entourage
45175199_311927749822541824 x	flights to new york are booked!! cannot wait! china first though :) #boom
45175199_311908214449004546 x	such a legend http://t.co/16bdtBNNMT @MotionCityMusic come back to manchester please!!
45175199_311619531875430400 x	@abikempen wow wow wow where is this from? #beautiful
45175199_311622370139975680 x	@abikempen ahhh wow! definitely worth considering, it's gorgeous! enjoy it :D haha xxx
45175199_310715766695673856 x	RT @charjones21: Thinking of everyone who doesn't have a mummy here on mothers day Xxxxxxx
45175199_310542786539687936 x	Mother's Day baking!! http://t.co/3db03VoXRJ
45175199_309853127476121600 x	@KattreyaSmith such a dedicated model!
45175199_309852902439145472 x	@charjones21 you are an excellent lighting assistant miss jones! thank you for the lending of your skills!
45175199_309672651599790080 x	RT @Vantage2013: This is the official twitter feed for Vantage Exhibition - the 2013 photography Graduate exhibition for UCLan!
45175199_308996064030109696 x	My housemate has been shortlisted in the TRIMO Urban Crash competition. Vote for team TRIGF here! http://t.co/yo5icD1SXJ #architecture
45175199_308725784053436416 x	@DaleU93 just coming along for giggles yeah? have fun with that whilst I'm working ;) #letsdothis
