1137233929_372370282671267840 x	@johnlegend Nice, can't wait.
1137233929_350804542121734144 x	http://t.co/YZZa1TpOEi
1137233929_350804423968169986 x	http://t.co/HCa84AyJhu
1137233929_350804356951592960 x	http://t.co/MvgtFChYPC
1137233929_350804239641088000 x	http://t.co/DDDO68Ecr7
1137233929_350804093767413760 x	http://t.co/D1tTb9XLkV
1137233929_350803912422473728 x	http://t.co/rs1AJPC9Iz
1137233929_350803751373770754 x	http://t.co/S0hrNhRstS
1137233929_350803372376465410 x	http://t.co/Z9pOzpVXPk
1137233929_348955856894849024 x	Ladies love him #LLcoolJ #hiphop http://t.co/4gDIk5Duwc
1137233929_348948030285828096 x	I just read "Tito Ortiz thinks you have to be a world champion to get in the U..." on @MMATorch http://t.co/RakT3Rop9i
1137233929_348247296653291520 x	Ice cream on a lovely night #fullmoon #summertime #icecream #jcole #yesjcole http://t.co/CBlKN1d4zR
1137233929_347744917851881472 x	Kicking it old school today. #OldSchool #Sips #BackInTheDay #NiceDay http://t.co/LtHfJERMvI
1137233929_342453082204020736 x	RT @LarryFitzgerald: ?@danawhite: Hey I have a question for everyone, who looks stupid on this map? http://t.co/59oG8D5k2l? can I guess???
1137233929_342259538805792768 x	RT @Laced: ?@MURS: new song s/o @LALeakers https://t.co/kvR1p3BFxt?
1137233929_340586072792768513 x	http://t.co/PF4pyaRTxT
1137233929_340585977607254016 x	http://t.co/ODm3jEI3VZ
1137233929_340585786061754368 x	http://t.co/ZspVfKhLZr
1137233929_339035329531084801 x	RT @TitusONeilWWE: Chase Your Goals Relentlessly,Maintain a Strong Work Ethic Religiously&Pray&Thank God on UR Path 2Greatness Regularly! #?
1137233929_338722651637952513 x	RT @mclyte: Move into who you want to be by letting go of the past events that have somehow taken away who you really are. #unstoppable
1137233929_337997041902944256 x	RT @JonnyBones: Someone ask DC when his diet starts #Wolftickets
1137233929_335173966882816000 x	Gym in the morning, run in the afternoon and ball in the evening........ and not so random? http://t.co/rSzqf48wIM
1137233929_334396425033093121 x	What would Wu-Tang do? #shaolin #Wu #WuTang #20years #realhiphop http://t.co/v2B4hk7eR5
1137233929_334116791871762433 x	http://t.co/sj54bhxB0t
1137233929_332648023463170048 x	Well it's about that time of year again #basketball #1strunoftjespring #myshit http://t.co/IrwcrUpbAO
1137233929_332183407494823936 x	Scottie left me a little forget me not........ jerk lol #Iamnotthefather #GermanScott #makesworkeasier http://t.co/8Id3lQ1mBi
1137233929_331870055396675585 x	Looking all hard after banging out a 4.77 mile run #Roslyn #embracethegrind #parkedatDavis's http://t.co/T6gZETVf54
1137233929_330834772521779200 x	chan95jones's photo http://t.co/sSSC6bTHpN
1137233929_330082825565003776 x	Watching the replay of UFC 159 and all of a sudden we're talking about poop and other adult stuff and? http://t.co/cw1OHPioqu
1137233929_329356582062268418 x	Just finished a 5 mile run at my old Jr. High, I'm getting ready for that tough mudder #backintheday? http://t.co/2cPAjtgZiA
1137233929_328684564451045377 x	@TrueKofi Ha! Ha I say!!!!
1137233929_328539210409705472 x	ayyee_maddie stuck this eye on my head and me being me......... so yeah #TienShinhan #Tri-Beam #DB? http://t.co/bkW4dDqTnM
1137233929_328537655958716416 x	RT @Sheltyb803: Can somebody, preferably a native of japan, Please tell me what the hell japanese hotels have against soft bed?
1137233929_328536770721497089 x	Maddie stuck this eye on my head and me being me......... so yeah #TienShinhan #Tri-Beam #DB #DBZ? http://t.co/PLIBMsDKeT
1137233929_328496771410055168 x	Awesome....... http://t.co/JjktZ2HqBm
1137233929_328170560465027072 x	martena6's photo http://t.co/jla5zJ2SOy nerds and what not.
1137233929_327959824203649025 x	RT @StricklandShane: White people love them some Wal-Mart
1137233929_327925837708025856 x	Me & martena6 #hauntedhouse #halloween http://t.co/8MBAhdCgp7
1137233929_327445457024462850 x	Tacony?Palmyra Bridge in 1929 #oldschool #philly http://t.co/o4SMqVTa7M
1137233929_327383016559243264 x	#HighlightsofBushkill http://t.co/wtaNb8lqoc
1137233929_327025508833447936 x	#HighlightsofBushkill http://t.co/wtaNb8lqoc
1137233929_325363052377690112 x	A nice diner outside before the storm, someone ain't livin' right photo bombing my meal. http://t.co/C8O4XFVcaZ
1137233929_325274122282217472 x	My new favorite snack #myshit #seasalt #crackedblackpepper #havewatertoo http://t.co/gITyZKgn7B
1137233929_324997551076040704 x	Fave reds........... Just the best starburst type ever. http://t.co/x4sdJrqiAM
1137233929_324851731060121600 x	RT @KevinHart4real: RT @UncleRUSH: Mistakes only cost you when you don?t acknowledge them <I agree sir
1137233929_324851363089633281 x	RT @Chan95Jones: If we are ever to enjoy life, now is the time, not tomorrow or next year. Today should always be our most wonderful day ...
1137233929_324478534406004736 x	Two things, 1. Think it's B.S. that the gym smelled like raisin sticky buns this morning and 2. Cats? http://t.co/CrrPbWKEK5
1137233929_321684900602335232 x	#orpyland http://t.co/LZVLMbLrvh
1137233929_321682902905675776 x	Hanging out in Nashville #goodtimes http://t.co/gWeYOZizYL
1137233929_320290568611713025 x	Friday evening dinner :) #sauerkraut #potatos #sausage #german/Irish #dinner http://t.co/Ya5Ak20EjU
1137233929_319780277352280065 x	Crabbin' in OC, Maryland and Kevin's helping me with a monster catch...... #yeahbuddy #OceanCityMaryland http://t.co/vfJ7Ktx4Hq
1137233929_319276653756964865 x	Otakon 08' or 09' in Baltimore. http://t.co/pCw0AXhbYf
1137233929_319234226744594432 x	Dope...... #greatness http://t.co/sycXP6EjdA
1137233929_318841636257935360 x	@TalibKweli @tonyleethomasjr tony everybody, classic keyboard warrior people. And also I'd like to know what are white people problems?
1137233929_318834276110041089 x	RT @TalibKweli: In this age of digital anonymity too many believe that you are only keeping it real by being rude & disrespectful. T ...
1137233929_318833699347107841 x	RT @pwponderings: In the latest edition of PWInsiderTV, former ROH champion Homicide, upset with the state of the wrestling world,... ht ...
1137233929_318833282835951616 x	Dopeness......... http://t.co/JfdCBVJNeC
1137233929_318832874017140736 x	RT @ZackRyder: I'm gonna be on #Raw tonight!  #AprilFools
1137233929_317818785845374976 x	Ate ass face http://t.co/dLuIZbNVbQ
1137233929_317779594906320896 x	Yeeeeeeeaaaah boy!!!!! #tacos #beer #greatdinner http://t.co/JqeQMUAasO
1137233929_317651017200189440 x	#sweetness http://t.co/7eV9hUPKTQ
1137233929_317434223503998977 x	Hanging out at the Opere Land Hotel in Nashville. #CountryMusicEverywhere(ThumbsDown) http://t.co/0uNfXmSCC3
1137233929_317244522595745792 x	This is how I feel when people owe me money. Where's The F#@%ing Money?!?! (Explicit) http://t.co/BrzX6gSTFy
1137233929_316918579981324289 x	RT @ThomasStintsman: arn and tully were the best tag team ever
1137233929_316910570383228930 x	Egg white, smoked ham, green and red peppers, sausage, bacon........ You know it's gonna be a epic? http://t.co/6nsu1LYIyv
1137233929_314484417521414145 x	RT @Showtimepettis: "People will hate u,rate u,shake u & try 2 break u. But how strong u stand makes u" Take a stand it all starts w ...
1137233929_309634542665342976 x	RT @StricklandShane: Please agree that "The Beautiful People" was the best opening theme song to SMACKDOWN! EVER!!! #FuckNickelbackSWERVE
1137233929_304978872502480897 x	@MikeyMikeC78 Nothing much, just jumping the twitter shark so to speak lol
1137233929_304979459168165888 x	@MikeyMikeC78 Yeah I just mostly retweet stuff.
1137233929_304978560815333377 x	RT @CMPunk: The hummus here is outstanding. Please RT
1137233929_304934929110814720 x	RT @KaigenMusic: Let's keep it simple, Live with no regrets
1137233929_304584532177330177 x	RT @The305MVP: @MySharona1987 My wrestling career is quite healthy. WWE isn't the whole industry. I never have to get a real job & c ...
1137233929_304579610153193472 x	@TrueKofi Ok this sold me on getting a PS4......
1137233929_304577538779381760 x	RT @TrueKofi: So Sony finally "unveiled" the PS4....Without showing a single picture of the actual PS4.... Well played...
1137233929_304576984497922048 x	RT @CMPunk: Aw man. Fitch got cut?  That sucks. Dude hustles.
1137233929_304033979613462530 x	RT @TrueKofi: Can someone please explain to me how come no one in the new Harlem Shake videos is actually doing the Harlem Shake???
1137233929_304027126837952512 x	Playoff basketball at Abington   #GOGHOSTS!!!!!!! http://t.co/3Vo2n9lk
1137233929_301667909917347840 x	RT @KiddWWE: Not sure what gives it away more for the guy at the gym that's he's 'a trained fighter'.  The mohawk or tapout shorts?
1137233929_301384525836087296 x	RT @kennyflorian: Wrestling = discipline, fun, focus, learning, overcoming obstacles. Kids need this more than ever & they need goal ...
1137233929_301384350472212480 x	RT @kennyflorian: Do this! #SaveOlympicWrestling ?@flowrestling: Join the movement, SIGN THIS PETITION to help save Olympic wrestling ht ...
1137233929_301305817238474752 x	RT @kennyflorian: Why don't ppl who are going through tough times just listen to Marky Mark's "Good Vibrations" or "I've Got The Power"  ...
1137233929_301019720994410496 x	@LeraTynn Sup Peace, I finally took to the twitter
1137233929_300926200103178242 x	RT @kennyflorian: "... Or the Ebola Virus, under the reign of King Cyrus You can see the weakness of a man right through his iris" -RZA
1137233929_300675269478469632 x	RT @XavierWoodsPhD: Hahaha thanks @rrwwe http://t.co/CtNngWRZ
1137233929_299693037041360896 x	@KiddWWE Just come back strong homie, here's hoping you get the chance to shine...
1137233929_299351781312438272 x	http://t.co/cpCiSYNL
1137233929_299351370375512064 x	RT @the_ironsheik: Iron Mike Tyson Iron Sheik both beat the fuck out of the Chris Brown for Christmas no problem bubba
1137233929_299351305405755392 x	RT @the_ironsheik: The PK Subban black man play the white man sport he lucky he not the koko b ware I beat the out of him still I respec ...
1137233929_299213883455983616 x	RT @HEELZiggler: U.S postal service will no longer deliver letters on saturdays & people will continue to not write letters ANYDAYS
1137233929_298941836536467456 x	@Risk82 just did....
1137233929_298392058043981824 x	@MikeDrucker stay away from Omar.
1137233929_298391959050022913 x	RT @MikeDrucker: Congratulations to Baltimore for still being known for The Wire.
1137233929_298287927107133440 x	RT @steveaustinBSR: God needed somebody to drink beer. So he made me. #coldbeer
1137233929_298287603785023488 x	RT @vitorbelfort: #superbowl double leg by 49
1137233929_298287556334866433 x	RT @TrueKofi: Boy, if the 49ers pull this one off, I'd hate to be the guy who is ultimately responsible for that power outage...
1137233929_298250110222098432 x	RT @WWEDustyRhodes: The light bill? If u pay half you get half
1137233929_298152681518796800 x	RT @HEELZiggler: today is about sitting around munching snacks & laughing at commercials! relax hippies, its super bowl sunday, not. ...
1137233929_298115962966769664 x	@MieshaTate especially when you got a suspect chin.
1137233929_298115824462483456 x	RT @CMPunk: 3 am Alabama Waffle House is magic.
1137233929_297800673246969856 x	RT @kennyflorian: You've never been in a street fight if you haven't hit someone with your own shoe.
1137233929_297799960475353089 x	@kennyflorian I don't know Kenny, but if Edgar gets caught it's all over for him, I think.
1137233929_297752285734391808 x	Tim about to find out about the best hotdog/sausage spot in Pottstown. http://t.co/Im4L6GNz
1137233929_297752751633465346 x	@kmack_kyle I'm about*
1137233929_297713449302102016 x	Even on my days off I'm up earlier than I should be........ #imjustsayin'
