19768905_400045169627897856 x	@chelseahandler does he get extra channels with the cone ?
19768905_15009883239 x	@TheChristinaKim most excellent
19768905_15009779526 x	@stewartcink FLYERS!
19768905_14579877437 x	@TheChristinaKim the bunny?
19768905_14551326123 x	@stephaniewei I use twee, the free version, & find it to be dependable
19768905_14513740162 x	@TheChristinaKim you rock the sun glasses
19768905_14513704686 x	@TheChristinaKim just saw you on golf channel, glad you stayed to watch Shelly. Great play out there, enjoy.
19768905_14506111343 x	@TheChristinaKim great outfit, the glasses match the top http://twitpic.com/1q2kc6
19768905_14506041613 x	@TheChristinaKim love dbl espresso. Thnks for the autograph, great meeting you yesterday
19768905_8729020331 x	http://twitpic.com/11pmsj - Goliath looking for my golf ball
19768905_14435405810 x	RT @lpga: RT @TheChristinaKim: my first book signing/reading this afternoon @ tournament site! So excited! If you're around, come by Ham ...
19768905_13974262602 x	@thechristinakim play well, can't wait for next week's match play. See you there
19768905_13869720626 x	@christinakim I hope to c you at the sybase matchplay in jersy nxt week.
19768905_11837087300 x	Dance like it hurts. Love like you need money. Work when people are watching
19768905_11796697300 x	@juliebenz is reading Chelsea handler's Chelsea chelsea bang bang. @Chelseahandler should be  very happy. I know I am
19768905_11796477216 x	Just started following @juliebenz . What a hottie, gonna miss her on dexter this year.
19768905_11606354733 x	@TheChristinaKim I enjoyed the whoop! Wish I coulda seen more of your play. Best of luck @mojo6. I'm pullin for you.
19768905_11394844628 x	@chelsealately put on your red shoes &  dance the blues
19768905_11218238941 x	@TheChristinaKim you hold onto that yardage book!
19768905_11218169914 x	@TheChristinaKim ssswwweeeet!
19768905_11046509814 x	@themichellewie going krazy waiting 4 lpga brodcast tonight. Love watching you &@thechristinakim play. See you when you come 2 PA
19768905_11046318606 x	@thechristinakim I finally saw you on the orlando golf destiation show today. So looking forward 2 this evening's LPGA brodcast. Get 'm girl
19768905_10718281566 x	RT @TheChristinaKim: Best. Earphones. Ever. That's all there is to my @WestoneMusic earphones! I loves and cherish them! My preciousss!  ...
19768905_10624463660 x	Gotta get to the course for at least nine holes, hope to get 18. Very soggy out right now. Walk or ride?
19768905_10568762106 x	@TheChristinaKim did you see a movie while you were there? Alice was good. http://ow.ly/i/JV1#4jG
19768905_10296815208 x	@TheAnnaRawson pretty & smart. Tips  give me hope to improve. Must practice these tips.
19768905_10253974776 x	@ThePCreamer always love the pics and enjoy comments on play, game, & social interests
19768905_9797345000 x	@RickieFowlerPGA way to play!!so enjoyed watching you today. & the orange in HD kept me awake
19768905_9741786076 x	?Search others for their virtue, and yourself for your vices." -Buckminster Fuller #quote
19768905_9690875931 x	@TheChristinaKim I gotta say you rock, that save on 11 was a beauty. I love that you play lights out golf, always a thrill to watch
19768905_9556835410 x	@TheJeanReynolds looking forward to following you this season. Good luck!!:-)
19768905_9407663815 x	@Love3d way cool bag, ur new tour bag or fun bag?
19768905_9100220283 x	@ThePCreamer safr flight, i'm pulling for you.
19768905_8978715825 x	goliath after a nap and blizzard, not in the mood to go back outside http://tweetphoto.com/11073902
19768905_8959045009 x	wake up u sleepy head, going to the golf expo fri for a break in this snow insanity
19768905_8925608838 x	@TheChristinaKim http://twitpic.com/12h5rt - i was gonna order one but they are sold out
19768905_8925393054 x	@TheChristinaKim http://twitpic.com/12h6wb - ssweeeet!!!!!  ysssss it is sssssweeeeeet. put the ball in the hole
19768905_8908714475 x	@TheChristinaKim tell scotty I love my new cali putter
19768905_8904701127 x	Snow just keeps piling up and yet the dogs just love staging me thru it
19768905_8904417210 x	@CraigyFerg I use to time travel when I drank, go out thurs, show up for work tues & get fired
19768905_8893847212 x	@TheChristinaKim so I can eat puddin while I write a thank you note to the spen inventor
19768905_8882530542 x	@CraigyFerg you may need 2 contact human services to get into a program for treatment. kinda like Tiger Woods but different
19768905_8882341752 x	@CraigyFerg the 1st step is admitting you have a problem.
19768905_8882267203 x	@craigyferg I think you may be a tweetaholic, as a friend of Bill's I see this all the time
19768905_8881735392 x	@CraigyFerg have to wait for late nite to see you answer this tweet
19768905_8728952501 x	@TheChristinaKim I have 18" of snow on my course & can't find my golf ball!
19768905_8728906657 x	@TheChristinaKim it seems more great golf is played at death's door so you should kick bootie
19768905_8612063365 x	Happy to have work
19768905_8463324056 x	@TheChristinaKim target acquired, ready to launch
19768905_8427326767 x	@RickieFowlerPGA way 2 go, enjoyed watching you play 2day
19768905_8163560932 x	@bubbawatson him was robbed on that 9th hole bird putt
19768905_8133981430 x	@ monte carlo night w/ Marilyn. Quite the shin dig
19768905_8073389030 x	In the fitness center @ 6:30 for 1.6 miles on the trdmil then the Drs. For bloodwork. Avatar @ 2:30 w/ Marilyn
19768905_8045301714 x	@TheChristinaKim great interview, enjoyed it. You keep running, i'm gonna just walk fast : )
19768905_7946600139 x	got my work out in and watched some golf channel lessons. heading to @parbreakers for some practice and conversation with the good people
19768905_7914586073 x	http://twitpic.com/yolwf - Pract. @ par breakers today
19768905_7909535324 x	Watchin golf channel, going to par breakers for the afternoon.
19768905_7908974606 x	@Golf_Galaxy love the new scotty cameron cali putter I just got from my local golf galxy
19768905_7651455648 x	@TheChristinaKim I just came dwn to DC today, what are you doing in town tmro?
19768905_7652162652 x	@TheChristinaKim make sure you take time to eat @ The Palm. Then we can get your pic on the wall
19768905_7690916763 x	@TheChristinaKim having your eyebrows done, but when I asked the young lady "are you Christina Kim" she looked @ me like I had 3 heads
19768905_7690854671 x	@TheChristinaKim hope you enjoyed the day. I missed the news so I don't know if you were on. I was @ tysons mall & thought you were
19768905_7684886172 x	@natalie_gulbis where to next, dinner or the shopping mall?
19768905_7652097358 x	I hope to shoot the temp on friday in PA
19768905_7652058319 x	@TheChristinaKim bring warm clothes, it may get warm by thurs. I hope to be back in valley forge fri to play 9 holes. High of 47?
19768905_7651959844 x	@TheChristinaKim enjoy the visit. I'll look for you on the local news. I'm painting a house in Arlington & visiting my brother in vienna.
19768905_7486963949 x	@TheChristinaKim they don't look like your feet w/out polish!
19768905_7445302359 x	going to workout
19768905_7047619230 x	Family guy is my distraction
19768905_7044617060 x	http://twitpic.com/v85l4 - Full of roast beast, cherry pie and ohh the presents
19768905_6949056796 x	Made another day with graditude high on my list.
19768905_6907426618 x	Another great day on this side of the divot. Walked and fed goliath & frodo. Gonna reheat some potroast & vegies for supper
19768905_6869922421 x	http://twitpic.com/ue59l - How do we keep the sleders off the green?
19768905_6813757742 x	Made it home after brief stay in hospital for heart cath. Outlook good. 2 weeks till I can swing a club. Glad I could make it home
19768905_6772901945 x	Had to have 2 stints in my heart last night, no golf for a couple of days
19768905_6733866080 x	RT @davidcarter: I have been driven many times upon my knees by the overwhelming conviction that I had nowhere else to go - Abraham Lincoln
19768905_6683380422 x	What to do what to do.
19768905_6678552076 x	@TheChristinaKim will it have pictures and playing tips or biography?
19768905_6678284018 x	@TheChristinaKim oh oh oh, when will it be available to read? Will it be released as an E book?
19768905_6651670985 x	Go Eagles... Beat the giants
19768905_6651597807 x	@SHO_Dexter i'm smarter than all of you.
19768905_6651543583 x	@SHO_Dexter Debra's telling Dex who his brother was, hiding in the coffin, Debra's telling off the FBI ... What an ENDING!!!
19768905_6650984121 x	What a surprise on dexter
19768905_6647331113 x	RT @SHO_Dexter: Clyde Phillips just arrived! Getting revved up for the finale!
19768905_6642520512 x	http://twitpic.com/tet7k - Nice summer cottage
19768905_6615963833 x	http://twitpic.com/ta9ji so want to play golf
19768905_6604036507 x	Shopping @ the outlets, my back & hips are screaming!!! When will this torture end?
19768905_6601004647 x	@themichellewie so sad I can't see you on tv this weekend. Go low , i'm pullin 4 u
19768905_6572517721 x	Sooooo disapointed,... My nook order was delayed and there still isn't a presant under the tree.
19768905_6555383577 x	@natalie_gulbis Christmas Story, HoHoHo
19768905_6555359388 x	RT @natalie_gulbis: What is everyone's favorite Christmas movie? Mine is Christmas Vacation.  Have to watch every christmas! ChristmasStory
19768905_6277788017 x	@TheChristinaKim congrats on the Mojo6 .  Hope it's telivised so I can watch!!!!
19768905_6273809639 x	@TheChristinaKim three mile zone, the area where most celebs shop, eat, or club.
19768905_6121201607 x	@natalie_gulbis it's the day the retailers get out of the red and into the black for sales
19768905_6094601082 x	Put my feet up and relax
19768905_6094566121 x	http://twitpic.com/r2pxa
19768905_5950522504 x	@TheChristinaKim I wonder, does smart water make me smart or does it make my pee smart?
19768905_5931223759 x	Warm apple crisp, so delish
19768905_5920231864 x	Made the meeting on time
