883453098_392105836530900992 x	@andivalentin you're so gay
883453098_311233878570459137 x	Breaking Bad has only made me realize one thing. METH IS SWEET!
883453098_310939861723004928 x	RT @TheCommonDonut: walk into the club like what up i got a big donut
883453098_310938202343079936 x	@arianagrande it's clear that @SUKnives doesn't like you. So stop tweeting about him, god damn.
883453098_310925782316900352 x	@KEEMSTARx it's at nine
883453098_310921686763593728 x	RT @TheCarlGrimes_: Look at Glenn. Acting like he's the fucking leader. Back the hell off MOFO. I got this.
883453098_310919203421032448 x	NO ONE SAW THAT SHIT COMING! Fuck yeah!
883453098_310917043220254720 x	Im so addicted to Breaking Bad now, i watched all of season one today, its a fantastic show.
883453098_310831806519844864 x	Fucking grow up pussy, you're not 13 anymore, get out.
883453098_310760885956251648 x	Awk moment wen my teacher friend requests me on Facebook...
883453098_310760187889848320 x	Summer time is by far the best time to make youtube videos, nothing on your mind but dicks and trolling.
883453098_310760077365743616 x	@IAmTheAttack I wish you did solo yolo plays on minecraft.
883453098_310605025967738881 x	RT @WhatTheFFacts: The Japanese passenger who survived the titanic crash was marked as a coward by his country for not dying with the ot ...
883453098_310564233148526592 x	RT @Males_Thoughts: DO NOT OPEN THIS http://t.co/mfLU6EnfGh
883453098_310554360776126465 x	JUST KIDDING FAGGOTS
883453098_310554314693279744 x	Alone in my house, nothing on TV, and hyper. Time to definitely not whip out my cock....
883453098_310554043841933312 x	RT @MacMiller: if i ever meet one of u fuckers who always tweet my homies like "because of mac" "youre nothing without mac" i will stran ...
883453098_310472006351089664 x	I think i would like a old style war game. Like 1776 wars, but online. Ideas for CoD yo.
883453098_310553988602945536 x	@phillyknows hahaha it's not a bad idea though, I'll be honest. Like a civil war past warfare game.
883453098_310503244126371840 x	@phillyknows Theyre making a girl meets world? Where corey and topanga are the parents
883453098_310506878096527360 x	@phillyknows it's on Disney channel so the themes will be limited, I'm afraid it will suck too, all Disney shows blow dick at the moment.
883453098_310508847020273666 x	@phillyknows really? Fuck, I don't thinks they'll base it just off the girl, from what I'm reading its still based off the adults life
883453098_310509816395218944 x	@phillyknows I started to panic haha, I personally think they could've made that show go one more season, they could of had a kid
883453098_310500303151718401 x	RT @NotCommonFacts: After reading this tweet you will realize that the the brain doesn't recognize a second 'the'.
883453098_310500213611696128 x	Youtube is gayer than facebook, please fix the layout faggots.
883453098_310494654531510274 x	FFUUCCCKKK STOP KILLING ME IN MINECRAFT
883453098_310248295740108800 x	It's no big deal.. @phillyknows http://t.co/5nw43uSmGQ
883453098_310246145924423680 x	@adigitalb Ayer oohh
883453098_310171869930192897 x	Baby allls we got is tiiimmmee, to watch the world go bbyyyy, aahh ahh agh auhh.
883453098_310118881698119680 x	@MacMiller Is for sure a inspiration, thank you for being you.
883453098_309861843806060545 x	FUCK Watched the ending of Boy Meets World. @phillyknows kill me now it was so sad. That whole season reminded me of you and me.
883453098_309986222552522752 x	@phillyknows Be best Friends anymore after, then they had to grow up and move on. :'(
883453098_309986106219311104 x	@phillyknows Cory and Shawn had to move on with there lives after highschool, since cory was getting married. But they realized they wouldnt
883453098_309823773094338560 x	Ive been in a real gaming slump lately. I wish i had more time to game and get clips. I could always do Commentaries but im not a speaker.
883453098_309807092129206272 x	@JNasty720 haha wings.
883453098_309806851078369280 x	RT @UglyPeopIe: me talking to my crush! http://t.co/DVdoeL8fMi
883453098_309800505637474306 x	You're obviously the official faggot here pussy. Go cry more since you cant play in band because of you're grades you pansy.
883453098_309800345184399360 x	So this kid in class subbed to me and called me a faggot on my youtube channel. I guess i don't have to talk about him crying in class today
883453098_309799193004892161 x	Is it me or does the North Korean leader looks like PSY? Its all the Koreans i guess.
883453098_309470499996565504 x	HAHA! To get called out by a big youtube for setting up clips must make you feel like complete shit, faggot
883453098_309430120509214720 x	RT @realDonaldTrump: It was just announced that @MacMiller?s song ?DonaldTrump? went platinum?tell  Mac Miller to kiss my ass!
883453098_308702837397921792 x	@iConnorN talk about the hudge dick you have. I would love it <3
883453098_309430017379688448 x	@iConnorN hahaha
883453098_309429197359693824 x	RT @iConnorN: @PhiladelphiaGmr I talked about it ;) http://t.co/QszN1yNrUz
883453098_309429133677576192 x	RT @KEEMSTARx: BREAKING NEWS @Whiteboy7thst Might not be going to space cus Prank vs Prank is beating him #DramaAlert
883453098_309103749790584832 x	@iLikeGirlsDaily thats fucked up
883453098_309071529323413504 x	@phillyknows ;) http://t.co/4sdEtN1K7K
883453098_309073729177153537 x	@phillyknows did you not see my tweet a couple tweets ago? i still have a boner for her :(
883453098_309075374472589312 x	@phillyknows HAHAHAHAHAHA SOSOOOOSOSOSOSO FUCKING FUNNY. faggot....
883453098_309071613591166978 x	@ChucklesGaming FFFUUUCCCCKKK YES!
883453098_309071576899399680 x	RT @ChucklesGaming: Ok, I have to get started on the Wings GayDR. Hopefully I can knock that shit out within the next couple of days.
883453098_309061827319447554 x	@SoCloseToToast then when you blow nothing comes out :/
883453098_309057013034385408 x	RT @TheCarlGrimes_: Any news if Andrea has finally died? What's her purpose anyway? Pissing everyone off? What a cunt.
