1696667888_379786312829894656 x	#mancrushmonday http://t.co/HqEAsuZKrj
1696667888_396072144708591616 x	Daddy jr..team ocd http://t.co/gpoJ17p5bH
1696667888_396061193489883136 x	My world... http://t.co/o3SrMtwWPU
1696667888_396013160853143555 x	Trick or treat http://t.co/aNuKF9l7Qs
1696667888_395955529241341952 x	Doing weird stuff, then realizing there was a security camera there.
1696667888_395947389737263104 x	I love sitting back and listening to people lie when I know the truth.
1696667888_395785953010515968 x	Hey it's been a long time-How have you been?
1696667888_395780619843928064 x	The Boss http://t.co/7lO0Z8BEct
1696667888_395780487039692800 x	Don't carry a gun. It's nice to have them close by, but don't carry them. You might get arrested.
1696667888_395777833794281472 x	I never lie because I don't fear anyone. You only lie when you're afraid.
1696667888_395754882634096640 x	RT @RealFarrahGray: Congratulations to the Boston Red Sox for winning the 2013 World Series.
1696667888_395742645425033216 x	I'm all ready for Halloween... http://t.co/Ck5BNWFv7z
1696667888_395543080033853440 x	Do you ever just make up scenarios in your head that you know will never happen but it makes you so happy so u just keep on imagining them
1696667888_395519036014223360 x	on the bright side i am not addicted to cocaine
1696667888_395391395919581184 x	i've got 99 problems and 86 of them are completely made up scenarios in my head that I'm stressing about for absolutely no logical reason
1696667888_395370026892795905 x	@BriBrooksxxx who's that?
1696667888_395314660762980352 x	@JoeBudden when the next time your coming to Philly for a show?
1696667888_395021808539144193 x	@ShuffleGod11 your wild...lol
1696667888_395022553585967104 x	@ShuffleGod11 ok
1696667888_394829194901069824 x	My World.... http://t.co/KYk16Jew8L
1696667888_394667548131987456 x	Be careful who you trust, the devil was once an angel!
1696667888_394662320687022081 x	@johnnJrGotti it's about time the giants got a win...lol...
1696667888_394461001305034752 x	@JJGotti27 How the baby doing?
1696667888_394277904319672320 x	Saying I?m brutally honest would be a vast understatement.
1696667888_394266069738594305 x	Turning off the lights downstairs and running upstairs quickly so no one kills you.
1696667888_394201364726677504 x	I'm convinced that most of life's problems can be solved over a cold beer.
1696667888_393902099949318144 x	@johnnJrGotti hoodie time
1696667888_393882368274358272 x	@hardhatgal Hey What's new with you?
1696667888_393879893810753536 x	If Lindsay Lohan made it through her cracked-out bleached-blonde lesbian jailbird phase, you can make it through today.
1696667888_393872885481078784 x	So I met the prostitute who said she'd do anything for $20. Guess who got their room cleaned?
1696667888_393861047217831936 x	When you hear a  recording of your voice and you wonder how you have any friends
1696667888_393837865303810048 x	I think its funny that people who treat you like shit get offended when you finally do the same to them
1696667888_393560957425025024 x	@lildurk_ Do you fuck with Philly?
1696667888_392732248526823426 x	Today was a good day?
1696667888_392470540557901824 x	Never sacrifice your class to get even with someone who has none. Let them have the gutter. You take the high road.
1696667888_392427717116715009 x	@FGottiAgnello Do you think the giants are going pull one out tonight?
1696667888_392421518136709120 x	Who got the giants tonight?
1696667888_392419132903137280 x	@AGiavatto thanks-I'm from south Philly- What's new with you,
1696667888_392261164635144192 x	@iamdiddy what ch?
1696667888_392112545856622592 x	I didn't choose the thug life. The thug life chose me.
1696667888_392110617458266112 x	@AnnieMMcCormick You work a lot...Stay warm
1696667888_392108764347629569 x	@iamdiddy @RevoltTV what ch on Comcast?
1696667888_392106264504705024 x	Psalms 38:4,6,8,10. Psalms 103:10-14. 1 John 3:19,20. 1 Chronicles 28:9.  Psalms 139:16. Psalms 119:32.
1696667888_392100324074201089 x	@stephaniejoplin damn-How was your day?
1696667888_392099926705840129 x	@stephaniejoplin what stuff?
1696667888_392061436404330496 x	@KayceSmith11 how can I get a sign picture?
1696667888_392061277935112192 x	@KacieFOX29 I need to get in to the 49ers...
1696667888_392061091896758272 x	@KacieFOX29 you look great today...Can I get a sign picture?
1696667888_392057296605294592 x	@stephaniejoplin hey what's new?
1696667888_391833577681612800 x	@stephaniejoplin How can I get a sign picture?
1696667888_391834551443791872 x	@stephaniejoplin ok-Could you send a picture? I'll let you go but keep in touch and enjoy your night
1696667888_391743974781620224 x	@alleniverson How can I get a sign for my son?
1696667888_391738145680539648 x	@johnnJrGotti who do you got?
1696667888_391740248754880512 x	@johnnJrGotti Same here,I'm down here in Philly about to head to AC for the fight...How about you?
1696667888_391709210498838528 x	Hayride time.... http://t.co/rEEHSR8cen
1696667888_391708973533257728 x	My world.... http://t.co/jIPxrbapaM
1696667888_391708775826341888 x	The love of my life... http://t.co/vUGEsVoNwB
1696667888_391708515620093952 x	The Crew... http://t.co/Evg6JYqc50
1696667888_391708397487521792 x	Dad look... http://t.co/oV55ze1iii
1696667888_391708265459249152 x	Aidan and Kallie http://t.co/UTpfstlihR
1696667888_391708074702282752 x	Mommy and Aidan http://t.co/d373jVTPvH
1696667888_391324068508475392 x	Fed are up my ass....
1696667888_391197139449044993 x	RT @KeithJones: This Man Arrested After Throwing Parrot at Police. #IsThisRealLife #NBC10: http://t.co/2RlwpBENFf http://t.co/CDZjdZPmDi
1696667888_390971533277290496 x	@JESStoLetYaKnow I hear coming home for Xmas...??
1696667888_390974609899937792 x	@JESStoLetYaKnow you should come to my house...
1696667888_390953747503149056 x	@EvaPilgrim How can I get a sign picture of you?
1696667888_390960275161362432 x	@EvaPilgrim ok thank you
1696667888_390938454500327424 x	@whiteboytatted Can I get a sign picture of you? My wife think your great
1696667888_390666890445869056 x	@jennajameson Do you Skype ?
1696667888_390666715501441024 x	RT @ShuffleGod11: Congrats @CoryBooker !!!! Good to see my home state get something right!!
1696667888_390666248130158592 x	@jennajameson Love to see what he has to say..
1696667888_390666117825724416 x	RT @jennajameson: I will post ALL is his texts very soon.... All I want is to see my babies
1696667888_390666048556769280 x	@jennajameson Why is he being like that?
1696667888_390665825751158784 x	@jennajameson you should, He a asshole for what he doing to you
1696667888_390665561103151105 x	RT @jennajameson: Hahaha I'm sure he doesn't want me to post HIS texts!!!!!
1696667888_390658127680778240 x	Jehovah God....??
1696667888_387725136591618048 x	@AnnieMMcCormick what's your email? Don't want to put my add on twitter..
1696667888_387727399187910656 x	@AnnieMMcCormick thank you
1696667888_387725444851990528 x	@IleanaMDiaz How can I get a sign picture of you for my son?
1696667888_387720516112756736 x	@GovChristie How can I get a sign picture of you for my kids?
1696667888_387720347568848896 x	@Michael_Nutter How can I get a sign picture of you for my kids?
1696667888_387720075278843904 x	@WhiteHouse How can I get a sign picture of the president for my kids?
1696667888_387719692431147008 x	@GStephanopoulos Can I get a sign picture of you for my wife?
1696667888_387719405398151168 x	@Fox29Jennifer How can I get a sign picture of you for my son?
1696667888_387719254956863488 x	@EvaPilgrim Love your new hairdo...
1696667888_387719110601478145 x	@WendySaltzman How can I get a sign of you for my son?
1696667888_387718864777527297 x	@JoelOsteen How can I get a sign picture of you?
1696667888_387715198691594240 x	On the bright side, I'm not addicted to heroin
1696667888_387602722431959040 x	I would lose weight, but i hate losing.
1696667888_387552701661593600 x	Smiling at someone who hates you just to piss them off even more.
1696667888_387427541033951232 x	@lildurk_ remix it for us
1696667888_387409433128890368 x	@lildurk_ When are you coming to Philly?
1696667888_387218252004622336 x	I shower naked.
1696667888_387139763285032960 x	Talk may be cheap, but the consequences can sometimes cost you everything.
1696667888_387003129705037825 x	Damn...Love to see it...
1696667888_386998294972735488 x	@miarosadooo What are you getting?
1696667888_386916550676324353 x	Lol http://t.co/SFKMC4wE0X
1696667888_386739208721018880 x	People are quick to judge without even knowing your full name.
1696667888_386324839860273152 x	@stephany_oh What part?
1696667888_386324261809713152 x	RT @lildurk_: Repost or make profile pic till mixtape drop real fans http://t.co/brSOVb7uGT
1696667888_385938760963489793 x	10-4
1696667888_385598443819110401 x	@lildurk_ when are you coming to Philly?
1696667888_385598002406387712 x	@JoeBudden how you feel about lil durk rapping?
1696667888_385576101889986560 x	@JJGotti27 is everything allright bro?
1696667888_384835733800112128 x	I decided that I no longer want to be an adult...if you need me, I'll be in my blanket fort.
1696667888_384758462334656512 x	Don't complain, never give up. Accept things as they come, do your best to play the hand you're given.
1696667888_384005569235140608 x	@AshleyJudd How can I get a sign picture of for my wife?
1696667888_384005439413055488 x	@AshleyJudd
1696667888_383394033944760320 x	@StephieHeath hey what's girl?
1696667888_383394827842637824 x	@StephieHeath watching football-How did mom do in the gym?
1696667888_383386741346160640 x	Let's go 49ers....
1696667888_383384282624167936 x	@uzisoozie Work it girl....
1696667888_383384191079288832 x	@uzisoozie @rawrasheex3 @StephieHeath
1696667888_383328086982668288 x	I do many things well, none of which generate income.
1696667888_381580166570704896 x	Failure is not a single, cataclysmic event. You don?t fail overnight. Instead, failure is a few errors in judgement, repeated every day.
1696667888_381562836977459201 x	When things get dark even ya shadow leaves you?..
1696667888_380930134976782337 x	@PresleyHartxxx Do u give out sign picture to follow?
1696667888_380886642888040448 x	@lildurk_ when will it drop?
1696667888_380369415432589313 x	@ChristyMack make sure you post pictures...Thanks for the birthday text
1696667888_380359939505799168 x	Aidan in time out... http://t.co/piqLsr0bcU
1696667888_380339817336565760 x	I will never outgrow chocolate milk.
1696667888_380151478771798016 x	I'm still pissed they never told us how to get to Sesame Street
1696667888_380093263946194944 x	Shit I'm going to 35 Wednesday,time to grow up
1696667888_380068769684803584 x	@Stizzy18 hook me up
1696667888_380033836371156993 x	@Stizzy18 @ArAb_TGOP How can I get shirt?
1696667888_380067168559583233 x	@Stizzy18 Pine hill nj....
1696667888_379800256428642304 x	@NerdAtCoolTable amen
1696667888_379798809846763521 x	Isn't it weird how people talk shit about you, when the only thing they actually know about you is your name?
1696667888_379795650520842240 x	@realselenarose How can I get a sign picture of you?
1696667888_379795138505367552 x	@MsLeolaMiles_ how can I get a picture of you?
1696667888_379783010906038272 x	@MsLeolaMiles_ How can I get a sign picture of you?
1696667888_379775684274819072 x	When someone yells "STOP", I never know if it's in the name of love, Hammertime, or if I should collaborate and listen.
1696667888_379770435384381440 x	RT @Godly_Life: Instead of dwelling on your difficulties, focus more on the fact that God is for you and His power is at work in you.
1696667888_379759401810542592 x	@JENNIWOWW How can I get a sign picture of you for my wife?
1696667888_379751466023800832 x	@snooki How can I get a sign picture of you for my wife?
1696667888_379729666825007104 x	@ChristyMack Can u sign a picture for me?
1696667888_379698624072253444 x	When life knocks me down, instead of getting back up I usually lie there and take a nap.
1696667888_379415779827269632 x	@KScott6abc How can I get a sign picture of you for my son's?
1696667888_379622775079858177 x	@KScott6abc do u have a email? So I send you my add
1696667888_379432016607199232 x	@gabagnello Do you need my number?
1696667888_379414502271639552 x	@IleanaMDiaz How can I get a sign picture of you for my son's?
1696667888_379407809240387584 x	49ers ain't worried bout nothing!!
1696667888_379402939007504384 x	Whenever you feel sad, just remember that somewhere in the world, there's an idiot pulling a door that says "PUSH".
1696667888_379387177651937280 x	Peepen Aidan... http://t.co/IZ12ivWFgT
1696667888_379336713321324544 x	Lol http://t.co/S5SEcToT7K
1696667888_379079127581872128 x	In alcohol?s defense, I've done some pretty dumb shit while completely sober too.
1696667888_379072357799051264 x	Don?t jump to conclusions, there may be a perfectly good explanation for what you just saw.
1696667888_379063238417473537 x	@JoeySalads pearl jam...
1696667888_378954780821192705 x	@mtmbloodmoney How many rounds?
1696667888_378949910173065217 x	@johnnJrGotti Who do have for the fight?
1696667888_378951220997926913 x	@johnnJrGotti I think it's going to be a touch fight but in 12 rounds mayweather
1696667888_378950206987173888 x	Wtf http://t.co/ighl0r4vkV
1696667888_378892234936295424 x	Just posted a photo http://t.co/jOhgvbARpA
1696667888_378874574404063232 x	Aidan making breakfast... http://t.co/cU3F5eDio3
1696667888_378871419633143808 x	@RondoNumbaNine what's the name of your mixtape? I'm out here in Philly
1696667888_378687023856766976 x	Sex is like a gas station. Sometimes you get full service, sometimes you gotta ask for service and sometimes it's only self-service.
1696667888_378678307497472000 x	@JoeySalads Yo you are funny as hell on vine...
1696667888_378582104160088064 x	@JennyMcCarthy So how do u like the view?
1696667888_378581984689520641 x	@JJGotti27 is that your baby in your picture?
1696667888_378581872756146176 x	RT @JJGotti27: I anticipated the hatred
1696667888_378560839663751168 x	@DaRealGoodaz lol
1696667888_378560067689512961 x	@JJGotti27
1696667888_378411037676277760 x	@TRACY_DiMARCO How can i get a sign picture of you for my wife?
1696667888_378405185221300224 x	@WarMachine170 How did you meet christy Mack?
1696667888_378406838414635008 x	@WarMachine170 pretty cool,How could I get a sign copy and who do you have for the @FloydMayweather fight?
1696667888_378398957443252224 x	@jaaydriian10 get some sleep, it will be OK
1696667888_378391413081530368 x	@SegalGee If you want let me know how your Friday went??
1696667888_378380453843316736 x	@RealRedDiamond nice belly?
1696667888_378378052293890048 x	My birthday is Wednesday....35 year young
1696667888_378376769323417600 x	Who got @FloydMayweather this Saturday?
1696667888_378374085618966528 x	@SegalGee great day to relax...
