128403657_396408137974292480 x	@AndrewEnglehart quit being a bitch!
128403657_172039168011153408 x	@live_laugh8807 awesome! Don't forget to RSVP to the #facebook event! 'life' rematch might be in order on the ride up!
128403657_172037291487936514 x	@bcsock @Shelly_Sprague @live_laugh8807 @_D0uble_Dee @wpc180 @GFirestoneDE @meek_mollz @ who's rock-climbing on Sunday?!? Don't 4get 2 RSVP!
128403657_171821795106754561 x	@meek_mollz  http://t.co/4939wAQk
128403657_171815571753672705 x	@illpokieurhokie @walterss4 @jpminter @bbenj10 u guys talking about citizens bank south? Never thought i'd see you boys bail on the caps....
128403657_171764852044464128 x	@JamieA010 who's Der's? I'm Buddy Ferrara
128403657_171260310588628994 x	I love @live_laugh8807
128403657_171260057395273729 x	@WPC180 midnight run crew at union park! @GFirestoneDE @meek_mollz @bcsock @Shelly_Sprague @live_laugh8807 @imcpheet http://t.co/DSq8gnro
128403657_171259625092554755 x	@meek_mollz pumped for church? http://t.co/7zip34eR
128403657_170714631516598273 x	@mayorzuka @JamieA010 just a little discomfort http://t.co/3l9rZN0l
128403657_168832580324560897 x	Midnight run stock! Great job tonight everyone! @WPC180 @GFirestoneDE @imcpheet http://t.co/7EyNZcJA
128403657_167825948429910016 x	RT @Hartsy19: Epic #hartnelldown tripped over the red line! #almostbrokenneck  Big win for the boys tonight. Hartnelldown.com is where t ...
128403657_167797182987120640 x	@AudreyBloemer its email time
128403657_167689785018810368 x	@vdelmerico tweet tweet
128403657_166995877175623680 x	How's that deck looking?? @mayorzuka @A_Rae29
128403657_164066726865149952 x	RT @sbnbaseball: Pat Burrell Retiring After 12 Seasons http://t.co/7dFA7JMU
128403657_163793026290950146 x	@JamieA010 power tweet #knuckles
128403657_163114413438668800 x	@JamieA010 witty comment
128403657_161653694637686784 x	@AudreyBloemer I'm kind of a big deal...I have many leather-bound books #truthbombs
128403657_161245566075027456 x	@AudreyBloemer chill out I put some rock salt down
128403657_161525206156980224 x	@AudreyBloemer #erroneous Were u watching wedding crashers on TBS last night?? Rule #115: never walk away from a crasher in a funny jacket
128403657_161524025728835584 x	@JamieA010 @audreybloemer lawsuits don't scare me...I have some political connections: @mayorzuka #hashtag
128403657_160145733792702464 x	Awesome YouTube video of the day @imcpheet  http://t.co/FBYq4cAk
128403657_160128212100333568 x	@RAPerrella let's play words. I'm dmcpheet
128403657_157186784592281601 x	You know what they say about corn.....
128403657_157115897016885248 x	@JamieA010 I know how u get without morning coffee......poor kids
128403657_156921081649831936 x	@JamieA010 tweetin like a big shot. U make it to work this morning JR?
128403657_156836851506884608 x	Got my raybans on cause I'm feeling hella tired at work
128403657_156596624171335680 x	@skeinmedia Mt. Dew is way better
128403657_156600330535186433 x	@skeinmedia 23 flavors....can't pass that up
128403657_156595425317634049 x	Tweeting hot fire in 2012
128403657_155153328295260160 x	@RAPerrella sounds fruity
128403657_143851122703085568 x	@GFirestoneDE did I end up with an awesome gift?? I'm hoping for that t-shirt!!!
128403657_143862092087304192 x	@GFirestoneDE stay tuned we might be hosting one
128403657_141579960564465665 x	@megsalad yeah u got tix??
128403657_139820147954290691 x	Ian just had to #explain a bunch of #hashtagstuff to #Bekah! #awesome!!!!
128403657_139819799185326080 x	@lmbarto miss u back!
128403657_138297041288839168 x	Backstage before the matinee show! Uncle Phil's Diner finale this afternoon! @WPC180 @GFirestoneDE http://t.co/pFkMhLHT
128403657_138079069215526912 x	Bonfireeeeeee http://t.co/uB1msDGf
128403657_138033742932492288 x	@WPC180 @GFirestoneDE Full house here at Uncle Phil's Diner - dancing in full effect!! http://t.co/rBgkNrJl
128403657_138014648933953536 x	RT @GFirestoneDE: The calm before the storm. Break a leg 180! @pheet2006 @JillEiermann @wpc180 http://t.co/EmjYtKks
128403657_137710941587517440 x	@WPC180 hand jive at Uncle Phil's Diner rehearsal!! @GFirestoneDE you're missing out! http://t.co/wZrktUK6
128403657_134999487084113922 x	@bubbawatson nice watch dude!
128403657_134382598955868160 x	@imcpheet does that mean you're giving up the Xbox??? Dibs!
128403657_134382300027813888 x	Way to go BHS field hockey! Great season! now you can start studying @meek_mollz
128403657_129321749622964224 x	RT @MensHumor: If time is money, then ATMs are technically Time Machines.
128403657_123243026503049216 x	@meek_mollz senoritis?? Whatever that is, it's obviously impacting your ability to pay attention in English class. #eltaconoche related?
128403657_119087367838638081 x	@GFirestoneDE how do they define 'normal wear and tear' when it comes to security deposits?
128403657_118117226195853312 x	Had a great time at 180 tonight - looking forward to the lock-in next weekend! @WPC180
128403657_116932492430286848 x	RT @ProFootballTalk: Michael Vick suits up for Eagles practice http://t.co/ojBRkvtd
128403657_116158728981581824 x	@AndrewEnglehart congrats brotha
128403657_113272503375364097 x	@WPC180 hey man sorry I missed you on saturday. Got back from myrtle late last night so I missed the game. Looked like a fun night!
128403657_111968700709601280 x	@RAPerrella negative ghost rider I'm in myrtle beach this weekend! Sorry I'll miss ya - you gotta go see our house while your home!!
128403657_111544278072832000 x	RT @espn_nfceast: RT @john_keim: Tuck to #Redskins media: "Right now it feels like we have your number, just like the #Eagles have ours."
128403657_110492472039313408 x	HAPPY BIRTHDAY @lisswaters !!!!
128403657_110151853655851009 x	@Pat_Carpenito gotta go handicap stall....much more spacious and comfortable. Courtesy cough obviously so no one barges in on u. Classic
128403657_108913865026322432 x	RT @MikeVick: Your support allowed the Eagles organization to make a long term commitment to me. My goal is to bring a championship to t ...
128403657_107633054859804672 x	@AndrewEnglehart TAKE COVER BRO ITS GONNA BE A LOOOONNGG NIGHT!!!!! #ireneisprettyfunsofar
128403657_102194414780297218 x	@azizansari yo I'm at your movie bro this shit better rock!
128403657_101013802170064897 x	@RAPerrella there's an app for that!
128403657_101013024466411520 x	@lisswaters talk about a homecoming. Mother nature just unleashed the fury! Where have you been? That water slide party looked pretty sweet!
128403657_99653911614464000 x	@RAPerrella Heellllo!
128403657_99622146107645952 x	Tweet tweee
128403657_98804414374100992 x	RT @eaglesbuzztap: Eagles Insiders >> Dehydrated Patterson OK; Eagles ready to amp it up tomorrow http://buzztap.com/-IxPq8u
128403657_97282733482573824 x	RT @questlove: yo. i need a Killah/Doom collabo album in my life NOW http://youtu.be/NroRvYrJ2lQ
128403657_97146181871878144 x	RT @philaphillies: Amaro is expecting Hunter Pence to be in Philadelphia tomorrow by gametime.
128403657_96775771963654144 x	Tough injury ruined L. Weavers career I'm afraid...sorry to see the birds release him after a year-long recovery effort
128403657_96775390479122432 x	"@LeonardWeaver: Hey there eagles nation, I'm sorry to say but I just found out I was released by the Eagles."
128403657_96773477171863552 x	RT @eaglesbuzztap: Bleeding Green Nation >> Judge: Vince Young A "Virtual Certainty" To Join Eagles http://buzztap.com/-AyQEO1
128403657_96773183595749376 x	RT @espn_nfceast: Interesting. RT @Ike58Reese: Jamal Jackson is now the last remaining player from SB XXXIX, he was on practice squad. U ...
128403657_95561380442284032 x	ARE YOU READY FOR SOME FOOTBALL!!?!?!?!
128403657_90955037366419457 x	Only thing I don't miss about football season: listening to Joe Buck speak words #allstargame
128403657_86649959230865408 x	RT @NHLFlyers: Holmgren:"Restricted free agent offer sheets can't be tendered until 12:01 on July 1. We will not be in on the restricted ...
128403657_86073956657922048 x	RT @PGATOUR: Tiger to promote Japanese heat rub http://bit.ly/l15DK0 #pgatour
128403657_84007989228474370 x	@illpokieurhokie yeah that's why I worked out so hard in college at MIT-T tech. I went to ITT tech....they're like the same thing tho...
128403657_84000429603692545 x	@walterss4 stammmmmmmkosssssss
128403657_80841174478356481 x	RT @philaphillies: Hamels joins Roy Halladay and Jon Lester as MLB's only 9 game winners. He is now 9-2 on the season. 4 Aces won 4 in r ...
128403657_78848844149952513 x	#alicebucketlist
128403657_76125907064066048 x	Howie Mandel is such a dweeb "@azizansari: SH'BOSS BOYS IN THIS MOTHERFUCKER!!! http://bit.ly/mpq56g"
128403657_58359346005938176 x	@AndrewEnglehart queer
128403657_58294502091259905 x	@lisswaters congrats on the kindergarten job!!
128403657_58007745416265728 x	@bbenj10 boo birds were abound whenever werth did anything...enjoy you're only win over the phils this year!
128403657_52209879548571648 x	@lisswaters good times tonight melissa! Don't be a stranger - bbm me if you get bored this week!!!
128403657_52139715377381377 x	Just got done grubbin on some mac n' cheese with @lisswaters. Good work mom!
128403657_49003718196215808 x	@AndrewEnglehart this would only be acceptable if the person who ordered this ridiculous meal happened to be carrying several road sodas
128403657_45263328708272128 x	@bbenj10 happy birthday buddy, I hope it's a great one
128403657_44846333500203008 x	Yeah isn't that the one crando poured us shots from then filled it up with water so bobtown wouldn't notice?? @megsalad
128403657_41727425465294848 x	RT @dtapp91: Great job boys #hokies.
128403657_37227565718441984 x	RT @eaglesbuzztap: Bleed Green >> The Future 40, prospect 3: Tyrod Taylor scouting report http://buzztap.com/-r0kz5G
128403657_37224660932362240 x	RT @TheOnion: 20,000 Tons Of Pubic Hair Trimmed In Preparation For Valentine's Day http://onion.com/av9DLZ #VDay #OnionVDay
128403657_30117731449700352 x	1000th home win* #Flyers
128403657_30117025321848832 x	#Flyers net 1000th win! Great victory tonight boys! http://yfrog.com/gzaeqpdj
128403657_30033560870064128 x	@AndrewEnglehart look who's talking, idiot
128403657_27496043096571904 x	@bbenj10 @walterss4 look out for me tonight I'll be the guy celebrating 5 rows behind the bench
128403657_27515237909401600 x	@bbenj10 behind the flyers bench
128403657_25230834218827776 x	RT @philaphillies: Pitchers and catchers report in 32 days! http://yfrog.com/gy63zjsj
128403657_21593720474304512 x	RT @kyletuckerVP: Stanford coach Jim Harbaugh said QB Andrew Luck is "like a dolphin," because he's very intelligent and always having f ...
128403657_16862986694037504 x	RT @VT_Football: Check out the new orange lids the Hokies will be wearing for the Orange Bowl!! http://tinyurl.com/29ewbw3
128403657_15139646983905280 x	RT @philaphillies: Cliff Lee said, "From the moment I got here, I knew it was something special...getting a chance to be part of this te ...
128403657_15139610757697536 x	RT @philaphillies: "It feels great to land back in Philly....I never wanted to leave in the first place" says new Phils pitcher Cliff Lee.
128403657_12622245792841728 x	RT @eaglesbuzztap: Philly Sports Daily >> Asante Samuel, Juqua Parker Get Back To Work http://buzztap.com/-EOF8TO
128403657_10084175876988929 x	Congrats Tyrod: ACC offensive Player of the Year! @MikeVick sound familiar? Yours says Big East, though #hokies
128403657_29393752525 x	You've got a vote, so you've got to vote...I'm voting tomorrow, are you?
128403657_29121927229 x	RT @espn_nfcnblog: NFL fines Randy Moss $25,000 for failure to comply with media policy. Six years ago, he was fined $10,000 for mooning ...
128403657_26888857182 x	Watching the flyguys at grottos!
128403657_26739567404 x	Good morning, jabroni's!
128403657_26575652868 x	PLAYOFFS!!! You wanna talk about PLAYOFFS!?!? Bring the magic PHILLIES!
128403657_25885620842 x	RT @TheDemocrats: Pres. Obama: Change is going to come for this generation?if we work for it, and fight for it, and believe in it.
128403657_25885483630 x	@illpokieurhokie easy jon
128403657_25781867046 x	The buffalo from Buffalo who are buffaloed by buffalo from Buffalo, buffalo buffalo from Buffalo...my mind is blown
128403657_25779885709 x	@bbenj10 selling out to pittsburgh? Disappointing...maybe you should be worried about a championship of your own before you hate?
128403657_21653571131 x	Run, shower, breakfast, work
128403657_19285476139 x	Happy hour @ Harry's...gotta love thursdays
128403657_18774943912 x	http://twitpic.com/265ymz - At the river course watching the open, waiting for the rain to subside..gonna dominate @Wags1988
128403657_18461907538 x	RT @TheOnion: George Steinbrenner Dead After Firing Underperforming Heart http://onion.com/aelQxg
128403657_18407023572 x	"Everybody, soon or late, sits down to a banquet of consequences"
128403657_18226873233 x	http://twitpic.com/246g8i - 1-0 Union!
128403657_18216262621 x	Heading to the Union game with Ian and Steve!!
