536539879_350661968539033600 x	Sixers go after @kobebryant  bring the mamba home!
536539879_385259217575489536 x	It starts with a whistle and ends with a gun.   #nflfilms #stevesabol #johnfacenda
536539879_385249778726359040 x	RT @LarryFitzgerald: RT if you or anyone you know has ever lost someone to any type of #cancer!!
536539879_385111370767024128 x	RT @RealGlenMacnow: ?@cumo215: @RealGlenMacnow get over Delmon. He's a hitter. Not a right fielder.? A hitter? With a .699 OPS and 8 HR thi?
536539879_383589432177491968 x	RT @Jeff_Daniels: Four very funny days in and I'm happy to report that Harry & Lloyd are more Harry & Lloyd than ever. #DumbTo
536539879_383581796660961280 x	RT @Dodgers: The only photo from "Rookie Dress Up" that matters. Vin Scully with Gumby, @YasielPuig: http://t.co/5D0G8VDWqC
536539879_383581495296016384 x	RT @MichelleDBeadle: It's Friday.  Don't be an ass.  #wisdom
536539879_383405523842121728 x	@BrianDawkins benched in fantasy smh RG3 better tear it up! Btw you're the greatest Philly athlete of my lifetime, please come back.
536539879_383354497353121792 x	@jollywipradio who should the Phils go after this winter?
536539879_383349878661066752 x	RT @Phillies: .@RyanHoward joined the team in ATL today. Good to see you, Big Piece! http://t.co/OmUeSMF9f6
536539879_383345128351752192 x	@jollywipradio yo Paul love your wager advice any games you like this weekend in college or pro?
536539879_383346292262731776 x	@jollywipradio thanks!  Hit you up come Breeders cup time!
536539879_383346022166302720 x	@MyDeAnnaMarie nice! Not only are we the best fans but judging by us two we're also the best looking!
536539879_383310908694753280 x	RT @KacieFOX29: #winning RT @Picswithastory: http://t.co/dwriKp3mvm
536539879_383309922647425024 x	@MyDeAnnaMarie #Eagles fan??
536539879_383301177527791616 x	@KacieFOX29 @The700Level #Eagles gonna shock the world! #Eagles 56 #Broncos 2!
536539879_383300924414132224 x	@lauraamoriello ha the Giants being 0-3 has to be a factor.
536539879_383288464386822144 x	@ErinAndrews @NFLONFOX My #Eagles are ready to shock the world!! #Eagles 56 #Broncos 2
536539879_383287708019601408 x	RT @Patriots: Random fact of the day: At 139-39, Tom Brady is the first QB in @nfl history to have 100 more wins than losses.
536539879_383286712492765184 x	#tbt #acnights #totaldons http://t.co/yZtYkkJR9u
536539879_382719939167387648 x	I hate cats I really fuckin do
536539879_382634120276627456 x	RT @MLB: Manny Machado diagnosed with torn medial patellar ligament in left knee (not ACL or MCL). Expected recovery time is 6 to 8 weeks.
536539879_382540458012213248 x	@MatthewBerryTMR Dude what do I do with Kaepernick?
536539879_382537163097010176 x	RT @flea333: The Philadelphia museum of art is my favorite museum in the world http://t.co/A3OabDfTQy
536539879_382531116642877440 x	RT @Jeff_Daniels: We're Back!!! #DumbTo http://t.co/u2u42yM2hk
536539879_382249399227015168 x	#Raiders 56 #Broncos 24 #Justwinbaby
536539879_382262796962238465 x	@PeteCroatto ya gotta believe! I'm delusional I know.
536539879_381917097452138496 x	RT @jollywipradio: the red zone is the greatest channel in the history of television
536539879_381916772901089280 x	RT @MLB: Juan Pierre passes Joe DiMaggio on all-time hits list: http://t.co/Uho5WbzqmH
536539879_381902401789505536 x	RT @DNFlyers: Flyers took a team photo during their Lake Placid excursion this weekend: http://t.co/QK8lvBmq7e
536539879_381874093848809472 x	Jordy Nelson is the most underrated player in the league.
536539879_381865400834998272 x	@JoeDiGerolamo nfc east has the worst qbs in the league
536539879_381865323362025472 x	RT @JoeDiGerolamo: "Can't spell elite without Eli" - clowns 2 years ago. Yeah fuckin right, no elite QB throws for 37 yards.
536539879_381839751395172352 x	Hahahahahaha the sorry ass #Giants
536539879_381839211382734848 x	Cincy D is fierce
536539879_381835423808778241 x	RT @IamEvilTebow: Joe Buck and Troy Aikman are such a cute gay couple
536539879_381835269588393984 x	RT @JoeDiGerolamo: Jeremy Ross sucks
536539879_381825067350769664 x	RT @ScottHanson: Let's roll.  @nflredzone
536539879_381824509885829120 x	Thank Jesus I have #redzone otherwise I'd be stuck watch the trash gmen vs overrrated cam
536539879_381814019273015296 x	@Deadspin he's such an ahole
536539879_381811759713366016 x	@nakedcube si. Where the women are more dangerous then shotguns
536539879_381803388075532290 x	@nakedcube new plan. I'm gonna find my next ex wife the nex time I go to boot. Think Michael in #Godfather
536539879_381667505716350976 x	So another epsiode of #AlwaysSunny I guess.  I have a feeling Imma be up all night..friggin #insomnia
536539879_381666895415738368 x	@nakedcube #takeiteasy
536539879_381663571492757504 x	Dale got hulk hands?!
536539879_381239333321474048 x	Wherever I go,  the greatest time of life goes #truth #savortheflavor
536539879_380925358402727936 x	@MVFive when will you stop embarrassing your family. Get a clue, cuz. You're a #clown
536539879_380909817013231616 x	Much respect to Big Red. We got Peyton nexr week #ohchrist
536539879_380901794144321536 x	Someone please knockout those Chief fans doing the braves chant! #toolbags
536539879_380901067195961345 x	Vick sucks
536539879_380901029732450304 x	RT @Jim_Gardner: As fans, let's hang in there. As I've told my boys, you don't deserve to enjoy a team's good times if you don't endure the?
536539879_380891085981364224 x	We ain't dead yet! #comebackcity #shady
536539879_380888195237699584 x	@KacieFOX29 traffic on 295 south is horrawful!
536539879_380886691655192576 x	Where's David Akers when we need him! #Henerysucks
536539879_380885303839690752 x	Please let this come down to Andy and the clock!!
536539879_380885157571751936 x	@KacieFOX29 we winnin this b! #comebackcity
536539879_380856738234531840 x	@RoobCSN that's not a lot of passes
536539879_380846809939476480 x	@KacieFOX29 keepin it 100
536539879_380813253133496320 x	@KacieFOX29 Eagles vs KC!! Hope you lose! ;)
536539879_380800544077406208 x	@donovanjmcnabb #tbt #eagleshonor5 #muchlove #bigred #flyeaglesfly http://t.co/l3aMMYWJkO
536539879_380798061767053312 x	@donovanjmcnabb Thanks for all the good times my man. We in Philly, appreciate what you did for us. I still remember you juking Carrier. #5
536539879_380797681540816896 x	RT @donovanjmcnabb: Look familiar? I remember lightning up this spot with you great fans going nuts. http://t.co/wEMEexHTrk
536539879_380732613159555072 x	@MichelleDBeadle Eagles or Chiefs tonight??
536539879_380034919701172224 x	RT @ThatsEarth: Storm approaching at Liguria, Italy. http://t.co/QbZZNaclNw
536539879_379660413832814592 x	RT @DetroitLionsNFL: Schwartz on Reggie Bush: ?The tests today were encouraging. He?s going to be sore but it won?t be anything longterm? #?
536539879_379376892237082624 x	RT @BrianDawkins: I know its not just this. But Amazing what a quality QB with protection does for a team. C. Palmer AZ
536539879_379285722152570880 x	@espnfantasy Cap or RGIII #FFNow
536539879_379268304109850624 x	@KacieFOX29 #swaggedout
536539879_379036044106403840 x	@KacieFOX29 you're like a much skinnier and hotter version of Andy Reid :)
536539879_379082450171088896 x	@KacieFOX29 ha call it a backhand compliment. Overall, well above average, just bad at managing the clock. Haha
536539879_378948162389831680 x	@MatthewBerryTMR Yo Matt, big fan. Gotta a trade I wanna run by you. I'm giving up Caeperknick and Julias Thomas for Brees and Ben Tate.
536539879_376405910979371008 x	@realjeffreyross killed it in Philly last night.  That joke about Billg Gates hiring cancer was #fuckinghysterical
536539879_375334819087286272 x	@BigTuna212 @SCOTTHALLNWO hit him with the razors edge, Scott.
536539879_375308489679069185 x	@SCOTTHALLNWO Yo Bad Guy, thanks for signing for a little bad guy many years ago! http://t.co/Zfzvakhc6K
536539879_372373956348874752 x	@nakedcube haha don't be a jabroni!
536539879_371850053826408448 x	@nakedcube haha keeping it 100
536539879_368789976294887424 x	RT @DonRickles: By the way way, I do love Bob De Niro even though I carried him in "Casino".
536539879_368789862687993856 x	RT @DonRickles: @JerrySeinfeld - I did your show Comedians In Cars Getting Coffee. There was some talk about money, but that never happened!
536539879_368779365615558658 x	@mstairs12 Hey Matt, can you share your favorite moments with Charlie?
536539879_368467359935496192 x	Fire Ruin Tomorrow Jr! Cholly didn't sign these clowns like Delmon Young. Thank you, Cholly! We love you! #philliestalk #disgraceful
536539879_368077091239370752 x	"I busted my bird for 60 years, in the business,  but my grandkids only know me as Mr. Potato Head. " #donrickles #funnyman #hilarious
536539879_366613859915669505 x	@DDPYoga Apperciate what you're doing man! Keep it up!
536539879_366613332196720640 x	@JakeSnakeDDT Stay strong Snake Man! Would love to see you bring that snake to the Rumble! #legend #ddt
536539879_366612769350496259 x	@SCOTTHALLNWO stay strong chico! Hey Yo, the survey says bring the bad guy back to the WWE #Toothpickintheface
536539879_366249962054488064 x	RT @_Happy_Gilmore: The hardest part about being a Cowboys fan must be telling your friends that you're gay.
536539879_365532501529198592 x	@nakedcube haha you're 30!! That's so old!
536539879_365522210779176960 x	I give up. My 8 yr old cousin just said I look like Uncle Jessie, @JohnStamos she's the 987654th person to tell me that. #hairdouble
536539879_365495545059475456 x	RT @MichelleDBeadle: When I see a neighbor ahead of me..I slow down to ensure we'll miss each other in the building and avoid all small tal?
536539879_364812797273575425 x	My #superbowl pick #Falcons vs #Broncos
536539879_364089333202317312 x	@R_D_Three @JoeDiGerolamo  @MArloAmoriello1  thought u bums might enjoy this I did  https://t.co/1swmWY8AhF
536539879_364079414578909185 x	@KacieFOX29 hells yesss! Always makes me think of the movie StepBrothers!
536539879_363395331121500160 x	RT @AdamSchefter: Raiders gave K Sebastian Janikowski and agent Paul Healy new 5-yr, $19 million deal with $8 mil gtd in next two years.
536539879_363358093125492736 x	@RoobCSN you're slowly becoming the new dave spadaro
536539879_363313933375242240 x	Love when cowfags "fans" talk more about the Eagles more then Dallas. No one cares about your cockaroach opinions.  #dallassucks
536539879_362977301279301632 x	RT @R_D_Three: ?@MVFive: Ok ok my girl is deleting my twitter. You guys have fun. Enjoy & be safe I'm out! ?? ??YES! ? YES! ?YES!?
536539879_362968966165037057 x	@JerryRice Yo, Jerry whatya say about a comeback? My Eagles could use you in so many ways, teach these guys how to be a pro. You're the goat
536539879_362775419260375040 x	@PeteCroatto ha its one of my guilty pleasures.
536539879_362693531481030657 x	Do the right thing @Eagles cut sunshine aka @RileyCooper_14 we need ZERO distractions. Don't care if you were drunk or not, theres hate
536539879_362617750843166724 x	@R_D_Three @ProFootballTalk Nice, greatest show on turf!
536539879_361705433599188993 x	@MichaelFranzese Why was the Philly mob bosses like Skinny Joey try to be a celebrity instead of earning fazools?
536539879_361704936418983939 x	My kind of show #AmericanMob
536539879_360780276403671040 x	RT @ShooterMcGavin_: BREAKING: Tebow went 10/10 on water bottle tosses to Brady for the 1st day of camp
536539879_360178882550300675 x	RT @IamEvilTebow: Only 46 days until Tony Romo throws his 1st interception of the season live on Sunday Night Football.
536539879_360178609979265024 x	RT @seinlanguage: George: ?This is gonna be my time. Time to taste the fruits and let the juices drip down my chin. I proclaim this: The Su?
536539879_360152812035911680 x	RT @MuttCutts: Hi. We have plenty of towels. Thanks.
536539879_360096931881558016 x	@DeseanJackson10 Good thing you spent time doing rap videos instead of becoming a better player.  Jerry Rice would have done the same.
536539879_360071579490717696 x	RT @R_D_Three: ?@iLikeGirlsDaily: Which celebrity would you MOST like to see naked?? Paula Deen
536539879_359401913462177792 x	Shoulda been a #royalabortion
536539879_359381167717367808 x	Ah Training Camp. To laying the foundation. God I hope Chip is the answer. #FlyEaglesFly #CutVick
536539879_359090915002306560 x	RT @RHCPchad: I love it when I pass by a kid with a Peppers T shirt in the airport and I smile and they just smile right back. #coolfans
536539879_358995825382658048 x	RT @Deadspin: VIDEO: Ernie Banks joined Pearl Jam on stage at Wrigley http://t.co/gMnLK5utiH
536539879_358995762401009664 x	RT @ProFootballTalk: No, the Raiders are not over the tuck rule http://t.co/xh3b2367ZD
536539879_358255185161764864 x	First you get great coaches, then you get great players, then you have a great organization,  you tell em all one thing #JustWinBaby #AL
536539879_357475039987236866 x	RT @jimcramer: Wow, Phillies will be on the road for the World Series... bummer...
536539879_357196140858454017 x	@ProFootballHOF get my man's @BrianDawkins gold jacket ready! #firstballot #flyeaglesfly #dallassucks
536539879_357195824767307778 x	RT @ProFootballHOF: Joe D just entered Ohio. He's walking to Canton as way to raise awareness for children needing prosthetic legs. http://?
536539879_356520328211595265 x	Once there was a jolly old ant!!! #Phillies #walkoff #delmonyoungblows
536539879_356513978689658880 x	If everyone played like Kevin Frasden we'd be 81-0 #pinchhitking
536539879_356512735556677632 x	@jollywipradio he should spend more time getting guys out, instead of making all those asanine faces! #PapelBUM
536539879_356510874271358977 x	#PapelBUM! Instead of making the dumbest faces ever get guys out, tool bag!
536539879_356469418819190784 x	RT @ScottHanson: 7 weeks from right now...  @nflredzone
536539879_352504280298696706 x	RT @JimGaffigan: Passengers clapping when my plane lands makes me almost wish we had crashed.
536539879_352086784232005632 x	RT @ESPN_Numbers: Yesterday, ex-Mets 3rd basemen Bobby Bonilla made $1.2 million (he retired in 2001)... Mike Trout will make $510,000 all ?
536539879_351887112175489024 x	Congrats to Andy Pettite, another guy ruining records thanks to the needle. #Yankeessuck #Pettiteisacheater
536539879_351811617253625856 x	RT @Jim_Gardner: Doctor at Jefferson Hospital in Phila says they were able to get to both of Darren Daulton's brain tumors. Now the wait fo?
536539879_351761368254390274 x	RT @Utley_Is_God: Old man take a look at my life, im alot like you
536539879_351099193609293824 x	@MichelleDBeadle if you meet any fellow Pasqules over in the boot show them some love! #amore
536539879_349938252972691457 x	@b_ryan9 Come home and play for the orange and black brah! #flyersnation
536539879_349932623109435392 x	Just met Merrill Reese amazing man #starstruck
536539879_349590797420732416 x	RT @JamesTSantiago: @TonyBrunoShow #exposed #frauds #heatfans http://t.co/3sJzVeNSvX
536539879_349560378226786305 x	RT @TheRoxie: 80% of woman who wear yoga pants probably don't do yoga.. And 100% of straight men don't care
536539879_348983212904706049 x	Only time Jorts would be a better option #skywire
536539879_348982908603731968 x	RT @Tali43: #Skywire has me shook over here
