258058978_382297253635162112 x	#raw
258058978_135114021404811264 x	@Jim_Gardner @robcorujo give him a break....he lives in Springfield Delco
258058978_133959142338600960 x	@johnclarknbc10 he would get slaughtered so bad, it would be elder abuse
258058978_133958915489673216 x	@LesBowen that's great. They got plenty of time
258058978_133958691035693057 x	@jeffskversky they can't put that old man in front of that media horde. They had to cancel. JoePa may never be seen in public again
258058978_133953426391437312 x	@RoobCSN haha good one man! Maybe he can give JoePa pointers on not answering ?non-football& related questions
258058978_133776974018654208 x	@howardeskin who was worse Desean Jackson or Rogers Cromartie?
258058978_133776810826678272 x	@SHAQ down goes Frazier
258058978_133765111788740608 x	@JonMarks975 naamdi too
258058978_133765082214694912 x	@LesBowen naamdi not helping them either
258058978_133759094250160128 x	@Mike_Sanders_Pa another drop
258058978_133757626969366528 x	@jeffskversky down goes Frazier
258058978_133743272815378432 x	@RoobCSN horrible decision to a) catch the punt b) go backwards c) not tuck it and d) to freakin fumble it. Hasn't contributed all year
258058978_133734538336673793 x	@LesBowen I'm here in 213...kolb could cover better than DRC
258058978_132302386466275328 x	@amyfadoolCSN @philaunion sorry but that's just a stupid system
258058978_132302087928291328 x	@AnthonySan37 yeah, where was Jagr?
258058978_132300884305657856 x	@RoobCSN I honestly don't care what they think about the fans.  As long as they play hard, I'll always root for them.
258058978_132300112876670976 x	@howardeskin agreed...a SS, LF, 3B, a closer and 7th inning pitcher.  Need new blood who REALLY want to win
258058978_132299660005093376 x	@CecilyTynan you looked great as usual
258058978_131863037631143937 x	@dtapp55 he's good but your Rb is much much better...see ya Monday night
258058978_131177006405656576 x	@howardeskin yeah but she's hot though
258058978_131194496007417856 x	@howardeskin haha...wish I could
258058978_131177366243377152 x	@toddherremans great game bro! Kelce is the man
258058978_130126115632185344 x	@howardeskin total meltdown and collapse. Reminiscent of Red Sox -Buckner
258058978_130125760362057728 x	@jmac_18 hate to say it but they deserve it. Wow man!
258058978_130123244467523584 x	@VANIMAL_49 hate to say it but they deserve it
258058978_129319973955964928 x	@CutonDime25 yes, he is! Now keep it going so they can say you're over-rated next year. Haha
258058978_126786263658409985 x	@RoobCSN so sad. He's delusional
258058978_126323119689441280 x	@HunterPence3 this aint Houston, "mr 6 grounders in a row!!"
258058978_125734910274174976 x	@GarryCobb do you think D has turned the corner?
258058978_125734675456073728 x	@EvanMathis69 my God, we needed that. Enjoy the bye and kill the cowboys
258058978_122667376109043712 x	@howardeskin absolutely does, he screwed up the lineup and made no adjustments. Pence played like he's been a Phillie for 3 years
258058978_122667097863094273 x	@StarJonesEsq a world series with the yankees and phillies would have been BORING and I'm a Phillies fan
258058978_122532211382697984 x	@howardeskin what do you expect. He's friends with them all.
258058978_122531941554716672 x	@Ike58Reese heart and soul?! This team has NO heart. They choked under pressure 2 years in a row and the "leadership" did nothing to stop it
258058978_122520836325388289 x	@HunterPence3 Eat This, Hunter!!
258058978_122531439492349953 x	@Dj_JackKramer @HunterPence3 keep it I don't want it
258058978_122523020840546304 x	@JimmyRollins11 don't try blaming fans for this one, look around that locker room
258058978_122520348238417920 x	@ryanlawrence21 he shoulda struck out looking
258058978_122513302571065344 x	@howardeskin they would have lost to whatever team they played. Doesn't matter. Buncha heartless bums Halladay wishes he was still a BlueJay
258058978_122512890132566016 x	@RoobCSN despicable! Heartless, gutless, elderly chokers
258058978_122506431277694976 x	@Ike58Reese no shot Ike. Definite K looking
258058978_122499170270593025 x	@ryanlawrence21 yes and beat the crap out of Ryan Howard with it
258058978_122498996920004608 x	@JasonNark Phillies Real Suck
258058978_122488487181156352 x	@ryanlawrence21 he has become Jayson Werth
258058978_122489585992343552 x	@ryanlawrence21 I meant the wealthy Jayson Werth
258058978_122094478919073793 x	@funnyordie here ya go RT
258058978_121376558563860480 x	@jeffskversky got do it for one more inning vs the heart of lineup
258058978_121373864788901888 x	@brookob cha ching
258058978_121355881978937345 x	@Ike58Reese yeah right, saw that coming a mile away
258058978_120710418716049408 x	@jeffskversky polanco is killing them. Looks old and washed up. Cliff Lee totally choked tonight
258058978_120672365486153728 x	@brookob they gotta pay him...3 years 30 Million I say
258058978_120672146816122881 x	@gonzoCSN that old man needs a haircut
258058978_117400904646406145 x	@CullenJenkins hope you squish Eli too
258058978_116930279179948032 x	@LesBowen haha what about MV7
258058978_116929980826529792 x	@jeffskversky thank God...Sunday's game is gonna be awesome with MV7 back under center
258058978_116712630097424384 x	@RileyCooper_14 hopefully there's some footballs in your hands this Sunday
258058978_115629161367867393 x	@jeffskversky make that 5 for 5, bud. Will Casey be starter next week?
258058978_115053196975681536 x	@howardeskin wish I could see the things you've been talking about
258058978_115029999622426625 x	@VinceYoung are you suiting up tomorrow?
258058978_113787371505467392 x	@HunterPence3 @reebok hey bro....I called your 20th today.  Congrats! Would love the batting glove but be happy with a RT
258058978_113054147913318400 x	@HunterPence3 @reebok on my birthday...September 13th
258058978_112997252758388736 x	@TrevorLaws y'all put a bruisin' on them, great start!
258058978_112996642772369408 x	@ryanlawrence21 weak AB
258058978_112977744693964800 x	@CSNPhilly Why take the ball out of Vick's hands and run the wildcat inside the 10 yard line?
258058978_112966005231337474 x	@Ike58Reese right and how stupid is it to think about not hiking the ball to Mike Vick
258058978_112965739044024321 x	@BobGrotz why take ball out of vick's hands. Just stupid play calling
258058978_112372247951458304 x	@toddherremans bring in Sunday!
258058978_112364790562816002 x	@jaysonst phils made a statement tonight to entire league. Just making it look easy. Cliche but only team that can beat them is themselves
258058978_112364398709968896 x	@RoobCSN HOF in 10 years, no doubt
258058978_112363431469916160 x	@pdomo bastardo should have tonight
258058978_111985167790374912 x	@RoobCSN yikes....glad Eagles didnt open with them again this year.
258058978_111985020041838592 x	@jeffskversky @stlouisrams possibly another recent top draft pick bust? Along with Watkins, Graham, and Teo Neshaim.
258058978_110036576481980416 x	@toddherremans I hear ya..stuck on 47 too
258058978_109821102871687168 x	@Jkelce I'm sure they're proud of you, mr. Starting Center
258058978_109813283132944384 x	@howardeskin thanks for the memories King. Now beat it! Just kidding
258058978_109718815994150913 x	@JamieApody springfield high delco
258058978_109440958147465217 x	@RoobCSN does he have hamstring injury history? Can't believe it
258058978_109440638189178880 x	@VANIMAL_49 rest easy my man...you did great today
258058978_108390823963529216 x	@Sn00ki you're driving? Glad I'm not in LA
258058978_108390063292944384 x	@JimmyRollins11 yeah man! No rush...take your time
258058978_108145879931813888 x	@KScott6abc missed you on TV this weekend
258058978_108006482678784000 x	@Jkelce that show jumped 3 years ago
258058978_107896968302436352 x	@HunterPence3 take vick with 6
258058978_107792502668529664 x	@JasonNark yeah, pretty good fake
258058978_107792012908044288 x	@JasonNark must have escaped from that cheesy boardwalk aquarium
258058978_107566551372271616 x	@HunterPence3 haha thank you. Enjoy your weekend off
258058978_107559108491743232 x	@howardeskin only morons would show up for that game so they deserve it
258058978_107497344093790208 x	@jeffskversky hopefully he's our ONLY bust free agent
258058978_107481172027785216 x	@RoobCSN props to you, Roob. You RTed me weeks ago telling me he'd be fine. Kudos my man
258058978_107480838639329280 x	@smerconish feel bad for the businesses in cape may county. So much lost revenue. Christie will be crucified if its a dud.
258058978_107480224077332480 x	@aliciavitarelli just started raining in Springfield, PA. Hatches have been battoned down
258058978_107479858900250626 x	@JimCarrey just started raining in lovely Springfield PA. Hatches are battoned down
258058978_107479138247524352 x	@jeffskversky he should have done more due diligence before taking it. Can't believe he was totally blindsided. Its Miami after all
258058978_107261091314282496 x	@RealGilbert don't worry, there'll be some idiots floating
