216264423_395764866985631744 x	Falling asleep in the bathtub would be so cool if it wasn't for the drowning to the death thing.
216264423_386227790267551746 x	I smell the sweet taste of pain. Pain lives under my skin. Wrapped in my soul. Pain loves me. http://t.co/Uledd5SjfF
216264423_386185263351099392 x	Lookin out my back door. #livingadream #excusemewhileikissthesky #MyOklahoma http://t.co/5B3FI8n3lH
216264423_386183771139366913 x	Chalkboard/Bulletin board. #hooliganbros  #barnwood  #stickit #thingstodo #martinitime #Pinterest? http://t.co/9fvbJaz8RW
216264423_383605916861358080 x	Trying first time smokey eye look.  #nervous
216264423_382904977284677632 x	Hooligan Bros at Hudsons Antique Alley 715 w Main Ada Okla. #hooliganbros #barnwood #livingadream? http://t.co/DQ7Epwqg2P
216264423_383605616456921090 x	@robingladstein thank you. I have beautiful oak barnwood coming next spring
216264423_382169881623691264 x	This morning in my cactus garden. #littlebastard #cacti #littlemisssunshine http://t.co/KGFECTNQiT
216264423_381858896517681152 x	25 Ways to Use Sriracha - Bon App?tit http://t.co/OpySSYnbfw
216264423_380778884704522240 x	Next!!! New project. #hooliganbros little helpers #budlight #kregjig #coltford #kidrock http://t.co/8s9hChoZH8
216264423_380473885235634176 x	My intentions are clear. "Oh lord please don't let me be misunderstood". #hooliganbros  #martinitime? http://t.co/Qbpp2NnxHt
216264423_379732102716981248 x	RT @RedHairDntStare: I love how guys just wana "get big." Suuuure, that's the only thing girls care about.
216264423_379732024656797696 x	RT @GuyCodes: It's 2013, stop wearing Hollister.
216264423_379680560610025472 x	RT @GuyCodes: Newton's Third Law of Emotion: For every male action, there is a female overreaction.
216264423_378449209029963777 x	I find bad jokes funnier than funny jokes
216264423_377895534415331328 x	Rope trimmed chalkboard. #hooliganbros there is 70'of rope and I wrapped it all. Well me and? http://t.co/sbcpGAJZfO
216264423_377549545888309248 x	Little birdhouse. #hooliganbros #flipthebird waiting for the boss to say #martinitime http://t.co/agSisesNrQ
216264423_376724397413134336 x	Sunday mornings. #hooliganbros #breakfast #martinitime #bacon #excusemewhileikissthesky #nocrybabies? http://t.co/Aky4wqew28
216264423_376498914330812416 x	i'm not a gynecologist but i will take a look at it.
216264423_376463063614255105 x	Grade school desk. #plantstand #menuboard #hooliganbros #2+2= #martinitime http://t.co/93hu6nmfGb
216264423_376410172576784384 x	Chalkboard #hooliganbros  #garage #mancave #Chalkboard to help control drink orders during #martinitime http://t.co/CbMsiypIxL
216264423_376000241440677888 x	#Tulsatoothfairy #flossbikini #hooliganbros http://t.co/0w1DRSr1iv
216264423_375652854532677632 x	Hall tree. #hooliganbros #comesitonme #barnwood http://t.co/DZ51ckT6LG
216264423_374248986611183616 x	Texas A&M quarterback #JohnnyManziel  and #JustinBieber same class. 2 little pricks! They should get together for a swordfight.
216264423_373950592328024064 x	RT @_ShitNobodySays: Wow my Facebook newsfeed is so interesting!
216264423_373950388228984833 x	best and worst thing for me was learning to mix my own drinks #hooliganbros #martinitime
216264423_373876455148486656 x	#OSU #Cowboys  = working man's team. #OUSooners pay per view only rich people  can watch ou play.
216264423_373830136803500033 x	RT @blakeshelton: Hey West Palm... I'm headed to the liquor store. Need me to grab y'all anything?
216264423_373829978497904640 x	RT @FoxNews: Tim Tebow cut from New England Patriots, report says http://t.co/sxulgD196X
216264423_373829514800799744 x	Hey Chief. Eyes on your own paper.
216264423_373617836645556224 x	RT @_ShitNobodySays: It's fun to untangle my headphones.
216264423_373617778030170112 x	?@OSUAthletics You called down the thunder, well now you got it! 24 hours until #OKState football! http://t.co/iBZYJVt4mT?
216264423_373411688684351488 x	RT @winpatton: Showing my colors...#collegecolorsday #OkState #GoPokes #ready4football http://t.co/zxyTweSBm9
216264423_373410427557781504 x	RT @SuelynMedeiros: I dare to do what others dare not.
216264423_373399247686627328 x	http://t.co/wT4q0LRO0I this photo intrigues me #questions
216264423_373258817561436160 x	Of all the barns we have scheduled for reclaimation. This one will be most fun. #hooliganbros? http://t.co/XJMLTs9eUs
216264423_373257537237577728 x	Homemade sawmill.check out the spare tires. #pecanwood #oklahoma #hooliganbros this pecanwood came? http://t.co/UtPISeAEE6
216264423_373246337052991488 x	RT @_ShitNobodySays: Hit me up on Google+
216264423_373104083596738560 x	I may look tired but I have a story to tell. Listen and you will hear. Close your eyes and you will? http://t.co/KyoBmvMfKb
216264423_373102886844395520 x	My grandfathers dairy barn. #oklahoma #barns #hooliganbros #barnwood http://t.co/o527pMn0ZI
216264423_373102347754672128 x	#oklahoma #barns waiting for a fresh start.  #hooliganbros #nocrybabies http://t.co/PHmw0DgEAd
216264423_372073325595746304 x	Coffee table 100% recycled material. #hooliganbros #barnwood #roughcut #feetup #martinitime #nocrybabies http://t.co/Wa3fKqINXV
216264423_372004802017783808 x	RT @robingladstein: #VMA2013 - @MileyCyrus terrible - ruined @robinthicke performance.  Thank God for @jtimberlake AWESOME. @ladygaga - put?
216264423_372004642940416000 x	#MileyCyrus you rock!  Nothing! Yep you rock #nothing  #sad and your voice is great. #misguided #getontrack
216264423_371557293600419840 x	RT @luketadams: Ben Affleck goes to his mansion, polishes his Oscars, has sex with Jennifer Garner, then looks at his PC and says... http:/?
216264423_370997699174477824 x	1920's ceiling tile framed with #hooliganbros style. If you need this. buy it! If not save your $ for? http://t.co/uzMHaaIh72
216264423_370940170356686848 x	Man of many hats. #hardheaded #hooliganbros #oilfieldtrash #demolition http://t.co/KgRTXLA4rF
216264423_370940115226746880 x	#hooliganbros  #oldschool #oilfieldtrash http://t.co/E5bve0IFlM
216264423_370922100317376512 x	The #todayshow  becoming the new Don Kirshners concert? #donkirshnersconcert #todayshowsucks
216264423_370900886576320512 x	Can a white boy become a crip or blood, #duncan #murder media sez 2 were mix race but wanting to join club. #notmixrace #racism #black
216264423_370553463383412737 x	Teen charged in ?thrill kill? of Australian college student in Oklahoma has racist tweets, re | Fox News http://t.co/vVTKtRP47s via @foxnews
216264423_369820402157367296 x	Wall art for hanging. #hooliganbros #onedoorcloses http://t.co/64jNaqMUEi
216264423_369270527879168001 x	#BreakingBad its so easy. Its a #walkinthepool @BreakingBad_amc
216264423_369266746391138304 x	#amiunderarrest #BreakingBad @BreakingBad_AMC
216264423_368510751259889665 x	When life gives you a bowl of cherries? Yep its #martinitime  with the #hooliganbros kickin it.? http://t.co/JhwfFVJHeg
216264423_368191813007319040 x	RT @MensHumor: I don't go crazy. I am crazy. I just go normal from time to time.
216264423_368128968677158913 x	Heaven!!! Yep I'm a scavenger. #hooliganbros #livingadream http://t.co/cAI2ymfndu
216264423_368191458504749057 x	@robingladstein thanks k appreciate it.
216264423_368191368121683969 x	@robingladstein   thanks. I appreciate it.
216264423_368129604835631104 x	Found this door today.  #hooliganbros the world is at your door. #livingthedream http://t.co/Td2ynKyVX6
216264423_368128253779013632 x	Bought this today. Thinkin bout a glass top table. #hooliganbros  #bigwheelskeeponturnin? http://t.co/6T2j4t7SmP
216264423_367741147965190144 x	Is it just me. Are younger people mumbling more? Not announciating words?  Mumbling #littlebastards #hooliganbros #martinitime I heard that
216264423_367472215651921920 x	Seeing the world through an opaque plastic jug #Tickle my man.
216264423_367471307559952384 x	#Tickle tackle. He could sell bait.lol. worms and shiners.Trot line jugs.
216264423_367470623137603585 x	#Tickle my man. He is the captain of shine.
216264423_367095849727180800 x	Taylor Swift dances like a white girl. #TaylorSwift #icantdance
216264423_367074699668238336 x	I wanna get all up on Carries Underwood #carrieunderwood #cmamusicfestival
216264423_367049702740463616 x	Yard pics. #whiteyardboy #hooliganbros workin for #martinitime http://t.co/Xd6rivub70
216264423_366951960873680896 x	Its great to remain friends with some women I've dated. Then some I would love to see on discovery channel shark week outtakes. #SharkNado
216264423_366875774290104321 x	Me wakeboarding is like a Jerry Lewis telethon gone wrong. #gogitgone #excusemewhileikissthesky #sometimesyoufeellikeanut #wakeboarding
216264423_366874127023357952 x	RT @USATODAY: Hurricane season's peak is headed straight for us, and weather officials are repeating warnings of a busy season: http://t.co?
216264423_366872390816382976 x	RT @AmandaCraigST: Okay if you haven't watched @drunkhistory please get onboard HILARIOUS!!
216264423_366760579853058051 x	I'm a bad man. I'm a good man. I'm both. #goodnplenty #hooliganbros #sometimesyoufeellikeanut
216264423_366401687386193920 x	Refrigerator in garage. #hooliganbros  hillbilly bar. Yep its always #martinitime at the compound. As? http://t.co/A7GrciKto2
216264423_366218113529823232 x	RT @OkCountySheriff: The football season can't get here quick enough. Hope you all have an incredible Saturday.   #okcoso
216264423_366217461076471809 x	RT @BBCWorld: Could Mexico be the next country to take a leaf out of Uruguay's book and move towards legalisation of marijuana? http://t.co?
216264423_366210434124087297 x	could the movie #TheButler have anything to do with #OprahWinfrey and her #swiss #encounter with #Racism ? Hmmm #moviepromotion
216264423_366049299253039104 x	#Lesbians and myself have so much in common. And I'm willing to learn more. #imasponge for information.
216264423_366046612126048257 x	RT @stoneylarue: Vegas. https://t.co/KoVoj3aVlB
216264423_365857060652466176 x	Great article in #theoklahoman newspaper about #adaoklahoma #CocaCola going green with #cng
216264423_365679429067878401 x	Shout out to my brothers n sisters #sturgis  get some on ya. #hooliganbros #gogitgone #dontcatchafallingknife http://t.co/smRbACsYp8
216264423_365675422165377025 x	Joy Behar tapes her last show on The View.  Ok?
216264423_365674519182061568 x	I shot myself with my taser. I have to talk while looking in a mirror to understand what I'm saying.  #taser  #dontcatchafallingknife
216264423_365672948335513600 x	Amid terror threat I'm evacuating the patio deck. The racoons are back raiding the bird feeder!  #racooncity #defcon4
216264423_365672158464196608 x	RT @cnnbrk: U.S. evacuating consulate in Lahore, Pakistan, amid terror threat http://t.co/pBUVqMFgOX
216264423_365671345884897281 x	RT @kateesackhoff: I love this photo!!! RT @RachaelKelley13: My favorite ladies! @trutriciahelfer @kateesackhoff #liferide @ The Grove http?
216264423_365513042152263680 x	Getting the #kregjig ready for next project.  The #kreg is greatest invention.lol. #pockethole? http://t.co/aqBkGgG84v
216264423_365483719345205248 x	#hooliganbros #ammobox coffee table #industrial #barnwood http://t.co/0OwpxloBq4
216264423_365483212065095681 x	#hooliganbros gallery at Hudsons Antique Alley in Ada Okla. #industrial #barnwood http://t.co/Cq3o8JAjWs
216264423_365481481092595712 x	I have a triple wide driveway and circle drive. Paper delivery insist throwing paper in middle of small grassy area. #wetgrass = #wetfeet
216264423_365297583050076161 x	#BreakingBad I'm ready! #HellOnWheels I'm ready! #SonsOfAnarchy im ready! If your not then #gogitgone #hooliganbros #dontcatchafallingknife
216264423_365296030008360960 x	Would hookin up with someone that's strange be the same as gettin some strange?  #gettingsomestrange #dontcatchafallingknife #hooliganbros
216264423_365286296140259328 x	RT @OkCountySheriff: Winning the #Powerball would just be icing on the cake this #SharkWeek .  #okcoso
216264423_365285955743133697 x	Bought my #powerball tickets tonight. 3 at 3different locations #powerballjackpot #lotterywinner
216264423_365285356943310849 x	RT @SPIEGELandGRAU: ORANGE IS THE NEW BLACK is #2 on the NYT Bestseller list!!!! CONGRATULATIONS @piper! #OITNB is blowing up.
216264423_365285267797590018 x	RT @jimmyfallon: A study found most Americans don't want to live to 120. But there's one group that does want to live to 120: people who ar?
216264423_364955068400812033 x	lookin for the Cabin bar in ardmore ok? Where did it go? #lostandthirsty #lesbianskilledthemusic ? lol.
216264423_364271351630012416 x	RT @TulsaOKAlerts: A Few Clouds and 78 F at Tulsa International Airport, OK http://t.co/VZrvQVm5N1
216264423_364268782115500032 x	How many fake #animalplanet #mermaids were eaten by fake #discoverychannel #megalodon?  Really pissed off.
216264423_363266722658123777 x	Pistols are firing. #OSU #pokes #big12 #hooliganbros #tailgate #martinitime http://t.co/NwrfPpQURL
216264423_359110714666913793 x	RT @JOE_HOLLYWOOD: Relationships are like fat people. Most do not work out.
216264423_358028661770825728 x	I will never swim in the ocean again without a chainsaw #SharkNado @syfymovies
216264423_358027932809170944 x	I will never swim in the ocean again without a chainsaw #SharkNado
216264423_357549324768526336 x	@itskmft. Just received my redneckfab toolbox. #awesome & thank you! #hooliganbros ready for? http://t.co/QNTkGWc8W0
216264423_357343045471055872 x	Screen door cupboard #hooliganbros project. Time to start another so #excusemewhileikissthesky and get? http://t.co/jpz8LDNGtu
216264423_356158134819094531 x	?
216264423_355681687730003969 x	#SharkNado. Enough said.
216264423_355361003325751296 x	Ya- hooo! Love it. #hooliganbros. #throwback style. good. but not as good as #martinitime http://t.co/avSxorOqyR
216264423_355326413009727489 x	RT @FactUP: The Green Bay Packers got their name in 1919 after the Indian Packing Company gave the team $500 to buy equipment.
216264423_355326256029507585 x	RT @USATODAY: Randy Travis' publicist says the country music singer is out of surgery after suffering a stroke in a Texas hospital: http://?
216264423_355326110386499587 x	RT @OMGFacts: The 15 Strangest Inventions You Never Knew About-> -ad http://t.co/L1HN1joR7q
216264423_355104373514309632 x	Time to kick it and watch the thunder roll. #hooliganbros. #summerrain #excusemewhileikissthesky now? http://t.co/HxA56hjBSq
216264423_354933478753697792 x	Man o Man #hooliganbros hungry and not #martinitime yet but will be soon! http://t.co/DbTjffIej6
216264423_354931029108195328 x	http://t.co/0gtn0yNcLO
216264423_354930894529765377 x	http://t.co/uxNlhexFmY
216264423_354752098828681218 x	You should check out Rockmelt. I think you'll like it! http://t.co/Vd3ncEkqBZ
216264423_354245359943430144 x	someone not interacting with you on social media but will use that media to spy on u. #creeper #peepingtom #alittlestrange #whatupwiththat
216264423_353582944855662592 x	Someone's getting rum dum. #kraken #shellback #bluechairbay #twistedtea #hooliganbros #martinitime? http://t.co/eJEe2vLICa
216264423_352955944944156672 x	RT @OMGFacts: Alaska is the only state which can be typed on one row of keys on a QUERTY keyboard.
216264423_352939621778325504 x	http://t.co/39nAwnwfTg
216264423_351563290910011393 x	Hooligan Truck. #hooliganbros #crusin #thebeach #martinitime http://t.co/S084JGx262
216264423_350712527841280000 x	Ah my little porn star. #hooliganbros. #workingfortheman. #excusemewhileikissthesky #martinitime.? http://t.co/IDZSjEDqVZ
216264423_350598919966818304 x	rickbuchanan #rickbuchananphotography http://t.co/hnlUFEtC3G
216264423_350269433853394945 x	RT @GuyCodes: We all know that one guy who exaggerates every story he has to tell.
216264423_350269340546899968 x	RT @OkCountySheriff: We will live-tweet from our #OKDUICheckpoint this weekend.  The checkpoint is set to start at 11:00pm Sat.  #okcoso
216264423_350269301497925632 x	RT @ShowtimeEY: 3 days till OFF THE HOOK returns to @AnimalPlanet at 800pm est!  Under ice free dive spearfishing. RT EVERYONE tell your fr?
216264423_350269184158085121 x	RT @FoxNews: Zimmerman attorney hammers witness who last spoke to Trayvon Martin about changes in her story http://t.co/KhX87pGp37 #Zimmerm?
216264423_350269105506488321 x	RT @OMGFacts: It costs 2.41 cents to mint a penny. In 2011, the US lost over $60 million making pennies
216264423_350268964380749824 x	RT @SuelynMedeiros: Make Peace With Your Past So It Doesn't Spoil Your Present.
216264423_350096302954119168 x	Just posted a photo http://t.co/83DkpngfJD
216264423_349735443903946752 x	Kate Upton dances the Cat Daddy (Video) : theCHIVE http://t.co/jTvmiqADzq via @thechive
216264423_349873111098859521 x	@ ggpowell
216264423_348978228137967617 x	Dr. Hunter S Thompson #rideit #hooliganbros. #breakitoff #excusemewhileikissthesky #martinitime http://t.co/v0y3xvORqd
216264423_348139711623208960 x	New location at Hudson's Antique Alley Ada Ok. #hooliganbros. #vintage #warehouse # http://t.co/xsiHJvF9sV
216264423_348112232703467520 x	If your going in the wrong direction.  Turn the car around. #experience #excusemewhileikissthesky #hooliganbros #martinitime
216264423_348090401116258304 x	#tobykeith #twisterrelief #oklahoma #tornado #sammyhagar #hooliganbros #martinitime #redrocker redneckbuz http://t.co/JAfKaFfYDa
216264423_345742683043659776 x	Just posted a photo http://t.co/MVPEyUXVca
216264423_345686620109955072 x	Cactus a blooming in Oklahoma. http://t.co/2kYQDj4b8X
216264423_345658367123005440 x	This is what happens to silicone calk after 9 years. Lol.  #expired #silicone #hooliganbros. #martinitime http://t.co/esKaYr4paC
216264423_344653485578534912 x	RT @kateesackhoff: What ever happened to Nitty Gritty Dirt Band? Just heard "Fishin in the Dark" Such memories. #PrimeCountry
216264423_344653414602518528 x	RT @kateesackhoff: #Longmire NOW on @AETV Check it out. RT @BarneyPhillips2: @kateesackhoff Barney from New Orleans. (cont) http://t.co/bvz?
216264423_344653372768518144 x	RT @kateesackhoff: Totally! I bet it's good with vodka and tang...like a New Orleans Original Daiquiri!  RT @scottneumyer: @kateesackhoff g?
216264423_344441001261293569 x	Its bullshit what the judge did to Chad Johnson. the serious expression on his face says he wasnt kidding around. #bitchjudge #chadjohnson
216264423_343904427607982080 x	Just posted a photo http://t.co/FPlrf2Pkz0
216264423_343903581289721856 x	Knock Knock http://t.co/zFc3a0B2Hu
216264423_342287366456741888 x	Strong wind a blowin and its headed for Obamas house of cards. #obama #revolution #irs #scandals http://t.co/254LlqiRKn
