75113734_326732891646222336 x	http://t.co/3ElMRbc0gX
75113734_211643354298064898 x	@BishopJakes happy birthday
75113734_208380679522758656 x	@therealmarymary @WEtv i'm going miss the show see next year
75113734_207589217814061057 x	@TheRealLadyB yes Lady B in the AC
75113734_206232405294592001 x	@therealmarymary  good night
75113734_206179681962164224 x	@therealmarymary  hello mary&mary
75113734_204769823211798528 x	Jill Scott on VH1 and she kick it
75113734_203454271855927296 x	@nephewtommy I feeling u
75113734_203439785635889152 x	@nephewtommy happy birthday tommy enjoy your day
75113734_202055416228753408 x	@theviewtv yes I been bully in high school
75113734_201867619211542528 x	@GDeLaurentiis yes it a good shower
75113734_201769871472738304 x	@SherriEShepherd happy mother day
75113734_201751923764903937 x	@MsPattyJackson same to you
75113734_201674869811851264 x	Happy Mother day
75113734_184057199658663936 x	@MsPattyJackson that look good MsPatty
75113734_182531773773791232 x	@Good_Day_Philly what happen?
75113734_181934494125785088 x	@EvelynLozada @Lauran_D  you look carzy lol
75113734_180716272441499648 x	were in AC you going to be at
75113734_175355644055003137 x	@TheRealLadyB hey lady b I shout u and the family my two kids Aliyah and Dre
75113734_175341914785193985 x	@iamjennifer @KokoMontana  is in store know
75113734_174616080399073280 x	@TheRealLadyB Happy Tuesday to u Lady B
75113734_174233339136450562 x	@TheRealLadyB my carzy brother who walking around the house yell at ppl
75113734_173527899666776064 x	RIP Whitney Houston (1963-2012) - I Look To You Ft Kim Burrell: http://t.co/7vcVjIQR via @youtube
75113734_173428888934952961 x	Good morning tweet hitting the gym  this morning
75113734_173071478378610690 x	@lonniehunter is the CD out yet
75113734_173007151235735552 x	TGIF good morning tweet what up every it almost time to party
75113734_172508124878602242 x	Well tweet it been fun have to take it down have a early start in the morning good night
75113734_172498917563437056 x	@IAmSteveHarvey  amen
75113734_172498812848451584 x	@cecemcghee is this book out yet
75113734_172304018159312896 x	@MikeJerrick how about 80 years old
75113734_172088007900413952 x	I see thete more ppl useing tweet then fb.
75113734_172031201568243712 x	@WendyWilliams wear it I would love see it
75113734_172017188608290817 x	@EvelynLozada why are you and Jenn not friend no more.
75113734_171048616838955010 x	What the bodyguard on lifetime
75113734_171037619705225216 x	@ImNotChillin was it good
75113734_170968117646860288 x	@kymwhitley so he left because of that he and ahole
75113734_170963581981040640 x	@BigDaddyBass03 lol
75113734_170963050290102274 x	@CecilyTynan what about NJ
75113734_170959729705762817 x	Cece brought the house down
75113734_170957299148529666 x	R. Kelly miss up I start cry
75113734_170948145713393664 x	@Zap2it what how can he leave his wife homegoing
75113734_170938748601774080 x	Kevin Costner brought me to tears
75113734_170934103871471616 x	TD Jake preach
75113734_170929840168517632 x	Tyler Perry preach
75113734_170572511933771776 x	I want take time out to wish my mom a happy birthday http://t.co/kEuZ85I9
75113734_169198405321625600 x	@WendyWilliams that was fun
75113734_169182949621776384 x	@TheRealLadyB thank u Lady B for say that I'm so tried of them talk about her duger pasts
75113734_168623017134526465 x	RIP Ms. Houston u will be miss
75113734_167355590300024835 x	@TheRealLadyB Biggina from Mount Laurel NJ
75113734_167241021288230913 x	@MikeJerrick leave NJ
75113734_166489733764087810 x	@IAmSteveHarvey GM
75113734_165507524655726595 x	@lonniehunter nj well help u out
75113734_165033910139486208 x	@IAmSteveHarvey GM Steve
75113734_163948316885925888 x	@IAmSteveHarvey good morning Steve
75113734_162143494431969280 x	@lonniehunter  good monring Lonnie
75113734_162136694546632704 x	@IAmSteveHarvey  good morning Steve
75113734_161847694757863426 x	@sherylunderwood when are u come to Philly
75113734_161807857019387904 x	@MsPattyJackson Congrat Ms Patty I'm happy for u
75113734_161786375627210753 x	@EvelynLozada nj is up
75113734_143089948176814080 x	@PraisePhilly amen
75113734_129242430074654720 x	@EvelynLozada nice pillows
75113734_125324066583347200 x	tomorrow is my birthday frist I think god for bring me this fyer by faith..... happy brithday to me
75113734_125314274028556289 x	its cold outside
75113734_125307809012252672 x	@LoniLove when are u come to philly
75113734_125307373765132288 x	@WendyWilliams u look good
75113734_120610104402903040 x	@6abc it was a good game to the end
75113734_120609854049099776 x	just watch the eagles lost.........
75113734_119926370737459200 x	@mygirlshirley hi shirly
75113734_119926172749545472 x	@EvelynLozada hi Evelyn when are u come to Philly
75113734_119925726219743233 x	@tim52black not a thing what up with u
75113734_117417627072217088 x	@cecemcghee like the new look
75113734_117352898119213056 x	its raining once agan help me I am so tried of the rain lol
75113734_116524097269280768 x	@lonniehunter playing kick ball lol
75113734_116523547840618496 x	@tim52black i'm fine just stop give some love that
75113734_116283615024922624 x	@tim52black hi
75113734_116282345753034752 x	@AC360 parent talk to there kids
75113734_116279803111407616 x	@LovLikeJesus hello
75113734_116278061976137728 x	why the people we follow does not respond to there tweets
75113734_116277375372763137 x	@OfficialKimora do you reply to your twitters
75113734_116273730946211840 x	@cutechicago3 hello
75113734_116273079692439553 x	@trucker62 hi how are you doing
75113734_116270883282239488 x	I'm so tried of the rain.....
75113734_116153653039087616 x	@lonniehunter it good for the church
75113734_115180681121890304 x	@nfl @BuffaloBills @Bengals @Giants @AlbertBreer no I'm going with the Giants 28 Colts 17
75113734_115175458059980800 x	@lonniehunter @6 what day and time
75113734_114445536349790211 x	@nfl all i have say its going be a good game go eagles
75113734_113329249150185472 x	@MsPattyJackson when Steve Harvey coming
75113734_113068909309071361 x	Both ladys can sang and there are gift lady god bless both ladys good night
75113734_113067407127490561 x	@6abc its thunderstorm in Mount Laurel NJ
75113734_113063640919322625 x	@lonniehunter slow just pick up on the joke
75113734_113061222080978944 x	@EStevenCollins by her first name
75113734_113058796728893440 x	@EStevenCollins its i smack the black off u lol
75113734_113056299104747520 x	@EStevenCollins my mom said that all the time, know i find my self say it lol
75113734_113054564923621376 x	@lonniehunter what was she sing
75113734_113051074297987073 x	@cecemcghee she can sing but is she sunday best
75113734_113048767669866496 x	@lonniehunter ok
75113734_113048433237049345 x	@lonniehunter Hi Lonnie are you watch Sunday best
75113734_113045886094946304 x	@cecemcghee u think so
75113734_113047917853540353 x	@cecemcghee I think so to
75113734_113047123834056705 x	is i'm the only watch sunday best
75113734_113046279197696000 x	@cecemcghee its going be cloesd both ladys can sing
75113734_113023449701683200 x	@andersoncooper what time well this take places
75113734_113021060659675136 x	Redskins turn the ball over wow
75113734_113019681350230016 x	this game is over
75113734_113018338803843072 x	Redskins look good
75113734_113016714370879488 x	@WendyWilliams who is on Wendy tomorrow
75113734_113014659405197312 x	everybody said that eagles was going lost lol we won
75113734_113013613068959744 x	@OfficialKimora what next for you
75113734_113012460805562368 x	my niece has 96 followers I only have 16 followers something is so wrong with this picture lol
