435456517_395517943695806465 x	@leighreeves_ oh so he's the spotty one then??
435456517_380114285114171392 x	@PhoebeRidley @MaraThomas1 @oz_james94 I'll buy it for him when he gets better. #topbro
435456517_380114092813717505 x	RT @MaraThomas1: Stay strong @oz_james94 you massive tit head!!! ?
435456517_380114064443453440 x	RT @CanningHannah: Love you @oz_james94 forever.. Stay strong and get better very soon buddy! <3 xxx
435456517_380114019950264320 x	RT @JakeThomas40: Thoughts with @oz_james94 , the nicest, toughest and funniest guy I know! Keep fighting buddy! Love you loads xx
435456517_380017536160784384 x	@CG1992 @RhiH92 @JakeMaude1 @garethtrex OLD CHRIS IS BACK BOYS!!!
435456517_379903887400263680 x	RT @eli217: Come on @oz_james94 you can do it! Be strong little brother...
435456517_379735554151428096 x	RT @UberFacts: Natalie Portman http://t.co/r4uHzt8N69
435456517_379220155781636096 x	RT @SportsCenter: MUST WATCH: This may be the coolest punt block we've ever seen. Literally catches it OFF THE PUNTER'S FOOT. #SCtop10 http?
435456517_378104889353969664 x	RT @ReeceAshby: Got my @Nfl tickets to both International games baby! #LovingLife
435456517_377567370992451584 x	RT @Anastasia_Clare: @maffoomafia bestest best friend!! Thanks dude for keeping me company all day!! Still haven't got my bloody ice cream ?
435456517_377471541862477824 x	Loooooong day!!
435456517_377345542701207552 x	@PhoebeRidley http://t.co/Wqo6RP8DuC
435456517_377230249513480192 x	?@UberFacts: For each older brother a male has, he is 33% more likely to be homosexual-However, this isn't the same for women.? @oz_james94
435456517_376553516531474432 x	RT @kelledwards1: @sallyconlon94 RIP mr rat ?
435456517_376285668437393409 x	"Oh no, Matts not in his bed" "so?" "He might decide to come say hi to me!" @PhoebeRidley chats some major shit in the mornings! @oz_james94
435456517_375747296711180289 x	@nickclarke1993 @LewisTVF you should've seen him at the end mate, honestly thought he was gonna die!!
435456517_375531228914806784 x	Is it bad to say that seeing the GF wasn't the best part of the weekend? I got moved on #ripsaw cos my shoulders were too big #beast
435456517_374518534388580352 x	To the guy wearing a full Liverpool kit in Manchester airport today; Kudos, you are a far braver man than I. #brave #massiveballs
435456517_374269235155197952 x	@PhoebeRidley I reckon you'd be pretty angry if you could see @oz_james94 right now...
435456517_374278241575772160 x	@PhoebeRidley I think you should definitely ask him...
435456517_374280278908604416 x	@oz_james94 @PhoebeRidley just be honest with her mate...maybe she'll understand! Probably not, but maybe!
435456517_374282143683608576 x	@oz_james94 @PhoebeRidley :O it IS something really bad! So inconsiderate!
435456517_374282400333053952 x	@oz_james94 @PhoebeRidley you deserve to be!
435456517_374283616102391808 x	@oz_james94 @PhoebeRidley well I hope she tore you a new one then!
435456517_373932206026391552 x	@Anastasia_Clare also made you nearly cry and poo in your pants, don't forget that bit! #onlythevestfriendscandothat
435456517_373931954481405952 x	RT @Anastasia_Clare: @maffoomafia The only person other than my family that can make me embarrassed, what are best friends for. ? #thingsip?
435456517_373845221928603648 x	@FirthAdam @SarahFlavv It made me unbelievably happy! And I was picked to be engagement photographer!!
435456517_373760353756524544 x	@SarahFlavv oh so very true...
435456517_373760191088844800 x	RT @eli217: Hanging like a noose.
435456517_373224373651378176 x	@MeganThomas1927 @LewisTVF thank fuck for that.
435456517_373224928423985152 x	@MeganThomas1927 @LewisTVF was trying to think of a witty think that started with E to shut him up...yours was simple yet effective.
435456517_373080196892872704 x	RT @ReeceAshby: Physically exhausted. #TiredTweet
435456517_372379558580084736 x	@BexMichelle that doesn't count as charm...
435456517_372395690569523200 x	@BexMichelle still not sure whether that would be charm...?
435456517_371316193929752576 x	@CG1992 @garethtrex @JakeMaude1 fuuuuuuck!!
435456517_371042176354246656 x	@Anastasia_Clare @garay91 @becky_broome best honorary member ever!!
435456517_371043894194368512 x	@Anastasia_Clare ? unnecessarily rude!
435456517_371046625634172928 x	@Anastasia_Clare but car fighting is the funnest!! And take the wheel is the best game ever!!
435456517_371232154615037952 x	@Anastasia_Clare ah you loved the adrenaline rush don't lie! Made you feel alive! #takethewheel
435456517_370845927424397313 x	@oz_james94 @PhoebeRidley we played catch together!! #bestfriends
435456517_370843333062832128 x	Teasing @oz_james94 because you know what @PhoebeRidley has got him for his surprise #priceless #greatfun
435456517_370137815914643456 x	RT @FresherProblems: Dear Freshers: The North/South rivalry is a serious business. At uni, the Midlands are not a real thing. Pick a side.
435456517_369405523432443905 x	Going home to GB after a great weekend in Denmark. #weekend#denmark#sad
435456517_367938228281937920 x	@oz_james94 remember our deal bro and I'm proud of you whatever. And the James boys can tear shit up anywhere. #ballersatuni
435456517_367942866636918784 x	@oz_james94 well at least you've contacted them, and that could be a yes or a no right? Good luck broski.
435456517_366641082030764034 x	@ReeceAshby @Colts @PatMcAfeeShow  hunting for a retweet much?
435456517_357614113800728577 x	Hope the little bro has fun on his music tour, @oz_james94 make sure you don't let me down!! #teamBASS
435456517_354141294131544064 x	Time for work #630am #bigglasses #smallnose http://t.co/SVN1oZjmEG
435456517_354140499810070528 x	Got to work at half six. Thermometer on poolside says 36.5?C. What the heck? #comeatme40
435456517_353716529117945856 x	Definitely should do this more often #beautiful #4:24am #walkhome http://t.co/JRrWOoLO3b
435456517_353228549269889024 x	Getting a snapchat from @BexMichelle with what appears to be an actual number for @kalawaltho shows how good their hols are going!!
435456517_353230866568314880 x	@kalawaltho well I should hope @BexMichelle isn't getting in contact with any penis, but you need to be telling the men of Europe, not home!
435456517_353231350695866369 x	@BexMichelle @kalawaltho @Mattdowty fair play then I suppose! #RulesAreRules
435456517_353235024000196608 x	@BexMichelle @kalawaltho @Mattdowty oh oh!! You have to be a good Wingwoman now anyway!! Kala's vagina is your vagina!!
435456517_353237074905792513 x	@BexMichelle @kalawaltho @Mattdowty yeah I know what you mean. Hmmm give it a few weeks though and maybe rapey will be what you need ;)
435456517_353246483086192640 x	@Mattdowty @BexMichelle @kalawaltho get yourself to Utah then, I could use a solid wingman!
435456517_353248568909373441 x	@Mattdowty @BexMichelle @kalawaltho always a bonus! Get yourself back here soon.
435456517_353246673599873026 x	Janowicz is spitting the dummy #Wimbledon #whatamatch
435456517_353222088603103232 x	Dad's toy for the weekend #HappyBirthdayDad #PorscheTime #Baller #BrumBrum http://t.co/XmmmuU1c3o
435456517_352754339858759680 x	@jaymeeratcliffe kavos withdrawal?
435456517_352757697642373120 x	@jaymeeratcliffe sucks big time doesn't it :(
435456517_352759638158086145 x	@jaymeeratcliffe haha we're thinking of going somewhere else, so up for it though!
435456517_352760060688084992 x	@jaymeeratcliffe think malia was mentioned? I dunno! We wanna go away though!
435456517_352763341388787713 x	@jaymeeratcliffe were definitely thinking of it!! If we can get it cheap I reckon we'll be gone!
435456517_352764828206637056 x	@jaymeeratcliffe you've just been!! And you'll be in South Africa when we're thinking of going anyway!!
435456517_352767200760827904 x	@jaymeeratcliffe going next Friday. But then holiday would be first week of September I reckon.
435456517_352769356553392128 x	@jaymeeratcliffe it's always quiet without me!
435456517_352772255312388096 x	@jaymeeratcliffe I am indeed!! 6-8, shitty short shift but better than none!
435456517_352772772692369409 x	@jaymeeratcliffe BOSH! See you there!
435456517_352495080478752768 x	@CG1992 oh just shutup Chris... #murraymagic
435456517_352259512167706626 x	RT @sallyconlon94: I love nick clarke
435456517_352105204025528320 x	@kelledwards1 @sallyconlon94 I'll split it with you #deal
435456517_352105559882874880 x	?@kelledwards1: @maffoomafia @sallyconlon94 #DEALBUDDY? #BOSH
435456517_352163944623910913 x	@kelledwards1 @sallyconlon94 10 of the clock.
435456517_352083757261529090 x	@SarahFlavv such a disappointment...have fun with the godparents though!!
435456517_352081711246491650 x	Stafford tonight anyone? @SarahFlavv I'm looking at you! Anybody else up for it?
435456517_352082798477197312 x	@nickclarke1993 yeah I'm just getting last numbers then I'm booking it for 10:45. See you later mate!!
435456517_351844207972982784 x	@jwilson1878 @nickclarke1993 yes do it!!
435456517_351844173260918785 x	@kelledwards1 @oz_james94 BOSH!!
435456517_351836737514913792 x	RT @nickclarke1993: @maffoomafia @sallyconlon94 STAFFORDDDD!
435456517_351832702745460736 x	@nickclarke1993 what date man?
435456517_351834821842042882 x	@nickclarke1993 @sallyconlon94 count me in mate, notts or manc. Know bare people we could stay with in either location.
435456517_351835614963961856 x	@nickclarke1993 @sallyconlon94 can still do it I think!! Well up for that!
435456517_351836089121648640 x	@sallyconlon94 @nickclarke1993 all I have to say is YES NICK CLARKE!! #bestideaever now let's celebrate in Stafford tomorrow?!?!
435456517_351814233714987008 x	@Mattdowty how very dare you!!
435456517_351682319096090624 x	@Anastasia_Clare well I was pointing at you all the way down the road but you didn't look!! #rude
435456517_351687247076147203 x	@Anastasia_Clare I'm glad you hash tagged that because you are a bad friend yes!! Look when you cross the road- you'd have seen me then!
435456517_351689631504416769 x	@Anastasia_Clare yeah you bailed last night #badfriend bail again tomorrow and that's it! I was deffo there, ask @oz_james94 !!
435456517_351723262629253120 x	@Anastasia_Clare that's right you weren't, which is extremely dangerous!! You need to sort that out!
435456517_351485715433005056 x	@sallyconlon94 @LewisTVF well I won't be paying as you're inconsiderate enough to come back when I'm not here... #gutted
435456517_351486341403508736 x	@sallyconlon94 @LewisTVF I leave on the 12th for four weeks. Back around the 13th ish I think.
435456517_351490076770971651 x	@sallyconlon94 @LewisTVF oh this is definitely happening!!
435456517_351488561960329216 x	@LewisTVF @sallyconlon94 I will definitely be in Manch for that!! Love it!! I'm away most of July, first 2weeks of aug.
435456517_351489695085117444 x	@LewisTVF @sallyconlon94 nah mate that isn't gonna happen this year buddy. Bloody better not, #fartooexpensiveforme
435456517_351453703460503553 x	RT @oz_james94: Can't quite remember if I've ever mentioned this, but.. I'VE SEEN MUMFORD AND SONS LIVE AND IT WAS THE BEST NIGHT EVER.
435456517_350312988265295873 x	@SarahFlavv mm tasty! What is tea? Hopefully not gravyish or saucy, otherwise soggy cake!!
435456517_350309698295177219 x	@SarahFlavv is have said instead of, but then you miss out on having tea!! Maybe tea with a side of cake?
435456517_350308268360470528 x	@SarahFlavv definitely not super jealous about this :( sharesies?
435456517_350006186063564800 x	Just realised @CG1992 has added BSc to the end of his twitter name. I'm proud of him for being qualified, but seriously no...
435456517_350008694618079232 x	@CG1992 in that case, leave it on there forever!!
