437437391_310052143270862848 x	@PrestonSteve933
437437391_240908993621532673 x	RT @philliesnation: Worley Hits DL, Elbow Surgery to Follow http://t.co/XpoMEPjk
437437391_240908924516188161 x	RT @GameDayPhilly: Worley to have season-ending surgery:  http://t.co/WQwksURl
437437391_233656350775857152 x	@JayA_975 maybe ABC or UPN
437437391_233532871942475776 x	@HighCheese here here!!
437437391_232522521537286144 x	RT @philaphillies: RT: Limited tix avail: Pat Burrell, Darren Daulton scheduled to attend #PhilliesAlumniPregameParty, Sat. 8/11, CBP ht ...
437437391_230734304509063169 x	RT @philaphillies: RT this: Get on guest list w/ Halladay, McCarthy, Phanatic for Phans #FeedingFamilies Pregame Party, Sun., 8/5, CBP:  ...
437437391_230707869018898432 x	RT @NickKayal975: Just for the hell of it...#Phillies opening day payroll in '07 $89mill, '08 $98mill, '10 $138 mill, '11 $165mill & ...
437437391_230703149923590144 x	@36westbrook When will u b on the air with 97.5?
437437391_230448707244539904 x	@ShaneVictorino Enjoy the pennant race out west. Will miss your energy in Philly
437437391_230386172231294977 x	@johnclarknbc10 Dom Brown show up yet?
437437391_230356879862284288 x	@TonyBrunoShow Pence just arrived at nationals park with team mates
437437391_230354256195104768 x	RT @RevRunWisdom: Its official ? RUN DMC is back and we?re playing on @MIAFESTIVAL in Philly with JAY Z and PEARL JAM !! See you there! ? ?
437437391_230353836135555073 x	RT @MLBFakeRumors: CONFIRMED: HUNTER PENCE IS EITHER A MEMBER OF THE #PHILLIES OR #SFGIANTS
437437391_230349681375461376 x	@HunterPence3 If and when it becomes official have fun in the pennant race out west. Enjoyed watching u here in Philly.  #letsgoeat
437437391_230343639237271554 x	@KevinCooney but that won't be our problem, haha
437437391_230342393617080320 x	@JoshLindblom52 Welcome to Philly!
437437391_230332819853959168 x	@ShaneVictorino It was great watch you play for the last 6 years. Will miss you in Philly!!  Good luck in LA!
437437391_228852016242380800 x	It's officially #FootballFriday
437437391_228669634897915904 x	@RinaldoZac old school!
437437391_227944489539497985 x	@philliesnation the offer seems to get higher n higher every day
437437391_227944053365424129 x	@Ike58Reese lee is line for the "W", now  aint that something
437437391_227943823156838400 x	cliff lee is in line for the win now!!!
437437391_227431960782462976 x	RT @KevinHarvick: all 50 states should be a no brainier!! ?@CRtwotwo: Boom!! http://t.co/RKPvfNoR?
437437391_226788274755223552 x	@lesliegudel n r u surprised!
437437391_226710438296051712 x	RT @Philliesupdate2: Philadelphia Phillies to Sign Hamels and Then Sell Hard Through the Trade ... - Yahoo! Sports http://t.co/b7SMpBNP
437437391_226655093183893504 x	@sbnphilly of course he does, $110 million  will do that to you!
437437391_226040791338991616 x	RT @iLikeSEXDaily: #ImportantLifeQuestions Does she suck dick?
437437391_225622929310892032 x	RT @AwkwardMsgs: The most f**ked up thing you will read today: http://t.co/YfZxtenP
437437391_222442652111601665 x	@HighCheese haha
437437391_222442426739073024 x	@HighCheese Mike M. I was listening to his show
437437391_222057567751385090 x	@ToddZolecki Is there a trade in the works?
437437391_222056509050335232 x	@ToddZolecki did u ever find out what happened with victorino?
437437391_221072433732521984 x	RT @HighCheese: Howard likely to start for Phillies tomorrow, Amaro just said
437437391_216888064402923522 x	@JayA_975  Kevin Youkilis Rumors: Sunday http://t.co/YDmJFUN5 #mlb
437437391_216887746264969218 x	@JayA_975 @mlbtraderumors: Kevin Youkilis Rumors: Sunday http://t.co/YDmJFUN5 #mlb
437437391_216887650626445312 x	RT @mlbtraderumors: Kevin Youkilis Rumors: Sunday http://t.co/Lft8zr72 #mlb
437437391_216887185641705472 x	#StraightCashThome.  $5000 home run
437437391_216886947220701185 x	#StraightCashThome   $5000 home run
437437391_216884185539944448 x	@JayA_975 U picked up a couple more I see with the comment u have 997
437437391_216883303393931264 x	@iLikeGirlsDaily No, but glad someone else did!!
437437391_216648780743835648 x	@Gym_Motivation me
437437391_215205654015643648 x	@JonMarks975 He looses his game checks but he can serve while on the DL
