1864910491_394282163434438656 x	PROTECTED
1864910491_394643552535580672 x	I'd love a safety combo of Byrd and Earl Wolff. ?@isiah2thedollaz: @GoEaglesNation We need to draft a QB & sign Jarious Byrd in free agency?
1864910491_394642619000963072 x	We sure do. RT ?@PHISportsPhans: @GoEaglesNation We need a QB. That's it.?
1864910491_394578120696954880 x	Could it happen? #Eagles http://t.co/JRDQ4cF8qj
1864910491_394580597055971328 x	@happyhelenb I'm sure you want Vick for 5 more years. Haha.
1864910491_394580188941803520 x	@MikeErrickson Chip once said he was perfect for his offense. Recruited him to Oregon, but obviously went to A&M. Exciting player.
1864910491_394574595388604416 x	Matt Barkley: "My confidence is not down after this game. It?s a tough loss and you hate to see that happen, but I?m not beating myself up."
1864910491_394570999372742656 x	RT ?@RoobCSN: Total yards: Calvin Johnson 329, Philadelphia Eagles 201.?
1864910491_394569739982602241 x	My guess: Barkley starts vs. Raiders next Sunday.
1864910491_394568029084057600 x	RT ?@TonyBrunoShow: Eagles score 0 touchdowns in 2 weeks - at home - and are still 1 game behind the CrapBoys? #WorstdivisionEver?
1864910491_394561711937961984 x	WOW. Dallas chokes and loses to Detroit. #Eagles are still 1 GB in the NFC East.
1864910491_394561292351979520 x	Vick: Once Nick got hurt I decided I had to play.
1864910491_394559214397718529 x	Chip: When you're unsettled at QB in this league, it's difficult ... Right now we're unstable at the position.
1864910491_394559080913575936 x	Chip: Disappointing thing is how well the defense played for the second straight game and that we weren't able to hold our weight on O.
1864910491_394557684785348608 x	Bradley Fletcher: 9 tackles.
1864910491_394557494640787456 x	Mychal Kendricks: 12 tackles.
1864910491_394557368706826240 x	Chip: Giants D changed things up from last time... Offense not consistent enough right now for us to win games.
1864910491_394556915885559808 x	DeSean had 8 receptions, 63 yards. Avant had 3 receptions for 54 yards. R. Cooper returned to normal, 2 receptions for 13 yards. #Eagles
1864910491_394555273941360640 x	Our playoff chances appear to be over... #Eagles
1864910491_394555741136121858 x	@PHISportsPhans True, but every other NFC East team has a QB.
1864910491_394556379475623936 x	@PHISportsPhans You really think we can win the division with the offense playing like this?
1864910491_394556137695371264 x	Thought Shady would have huge game. Completely wrong.
1864910491_394555510495535104 x	LeSean McCoy: 15 rush attempts, 48 yards.
1864910491_394554771253624833 x	Matt Barkley: 17-26 for 158 yards. 1 INT, 1 fumble lost.
1864910491_394553869742923776 x	10th straight loss at the Linc for the Eagles.
1864910491_394553122385068032 x	#Eagles lose 15-7. Now 3-5 on the season.
1864910491_394552918470586368 x	Expected. Barkley throws INT.
1864910491_394552591834550272 x	Giants punt. #Eagles have ball at own 16. 27 seconds left. No timeouts.
1864910491_394552327254069249 x	4th and 6. 36 seconds remain in the game.
1864910491_394551530906341376 x	2-minute warning.
1864910491_394551237284478976 x	Of course they got the 1st down.
1864910491_394550973576003584 x	Delay of game AGAIN. 3rd and 7.
1864910491_394550728909266944 x	3rd and 2. STOP THEM!!!
1864910491_394550531131465728 x	Najee Goode had the recovery/TD.
1864910491_394550147709149184 x	15-7 now.
1864910491_394549974023045120 x	Botched snap to Weatherford, #Eagles recover and take it for a TD!
1864910491_394549221762039808 x	RT ?@SheridanScribe: Last time Chip Kelly was on staff when his team was shutout was 9-23-95, when he was RB coach at New Hampshire.?
1864910491_394548823261212672 x	So embarrassing.
1864910491_394548513851572224 x	4th and 20, and the #Eagles attempt an 8-yard pass. That's completely idiotic.
1864910491_394548210725052416 x	Offensive pass interference. 4th and 20 now.
1864910491_394547960291549184 x	4th and 10.
1864910491_394547821837549569 x	3rd and 10. Ugh.
1864910491_394547190091497472 x	We need a TD on this drive, or it's over.
1864910491_394544697605382144 x	Another punt!
1864910491_394543272804495360 x	Another NYG FG. 15-0 now.
1864910491_394543172942323712 x	RT @RoobCSN: Last time the Eagles were held scoreless through 3 quarters in consecutive games was 2000 [Cowboys, Giants ... beat Giants 16-?
1864910491_394541924415463424 x	Cruz has returned to the game.
1864910491_394541699625922560 x	End of 3rd. Giants still up 12-0.
1864910491_394541642168168448 x	Casey Matthews has a hip flexor injury. His return is probable.
1864910491_394540547559657472 x	Are we REALLY going to lose our TENTH straight home game? Are you kidding me?
1864910491_394539243097559041 x	LeSean needs a huge run.
1864910491_394537033307545602 x	Offense aside, I do love how the #Eagles D continues to improve.
1864910491_394535762978701312 x	Shows how much the #Eagles trust Alex Henery.
1864910491_394535095371300864 x	2nd half underway. Offense moving. #Eagles
1864910491_394532462426349568 x	Vick was not even close to himself. Is he even at 70%? Doubt it.
1864910491_394532020996808704 x	Barkley looked great on that drive... until the fumble.
1864910491_394530846528770048 x	Before being taken out for Barkley, Vick was 6-9 for 31 yards and had 1 INT. Ran for 1 yard.
1864910491_394531834425778176 x	@MikeErrickson Have been saying this for months. No one wants to accept it!
1864910491_394531645547896832 x	LeSean McCoy: 6 attempts for 7 yards. Come on!
1864910491_394531439896965120 x	Giants have converted 4 FGs, which gives them 12-0 lead.
1864910491_394531179640397824 x	Barkley's first drive: 6-7 for 55 yards. Fumbled in redzone.
1864910491_394530481179729920 x	End of 1st half. Giants lead #Eagles 12-0.
1864910491_394528488101015552 x	Vick's return is questionable with hamstring injury. Chris Polk's return is probable with shoulder injury.
1864910491_394527209513553920 x	Why would the #Eagles start Vick if he was this far from himself? Should have been preparing Barkley to start the entire time.
1864910491_394526440227872768 x	Vick is DONE. Hasn't been able to do anything. Barkley IN. #Eagles
1864910491_394509363467284480 x	Giants will receive. Here we go! Talk to all of you at half. GO #EAGLES! #EaglesNation
1864910491_394505890604519424 x	Note: #Giants-#Eagles coming up in 15 minutes on FOX.
1864910491_394500858203103232 x	#BleedGreen
1864910491_394492243115270144 x	Brandon Jacobs OUT. Corey Webster active. Rookie Michael Cox and vet Peyton Hillis at RB for NY.
1864910491_394489102483357696 x	Earl Wolff's future with the #Eagles is bright. Having a great rookie season.
1864910491_394488757325680640 x	Cedric Thornton is ACTIVE. Great news.
1864910491_394487170402353152 x	#Eagles inactives: Foles, Chung, RB Tucker, LB Knott, OT Tobin, OT Kelly, DE Square. Vick starts at QB, Wolff at safety w/ Nate Allen.
1864910491_394473344541921280 x	LeSean McCoy needs to destroy the Giants today. Do not be shocked if he goes for at least 150 yards on the ground. #Eagles
1864910491_394473123917336576 x	If you didn't know, the trade deadline is Tuesday at 4 PM ET. Will the #Eagles make a move? Unlikely, but what/who should they trade for?
1864910491_394471308282839040 x	#EaglesNation, let's hear your predictions... Give me a score and winner!
1864910491_394461594778107904 x	Hell yeah it is, GO #EAGLES! ?@MikeVick: Great day for some FOOTBALL?
1864910491_394446578976821249 x	Ready. #Eagles http://t.co/20ac9SXb5I
1864910491_394442027498496001 x	GAMEDAY!
1864910491_394282545590067200 x	@PHISportsPhans Typo.
1864910491_394282518037676032 x	15 hours! #EaglesNation
1864910491_394203072131780609 x	RT ?@Tim_McManus: Did a little digging. Sounds like Foles' outing was not impacted by injury or any other factors. Just a bad day.?
1864910491_394190374887227392 x	In case you're wondering: Giants RB David Wilson is still out with neck injury, which is why they're relying on Jacobs, Peyton Hillis.
1864910491_394189728029106176 x	DT Shaun Rogers officially OUT for Giants tomorrow.
1864910491_394159424153329665 x	@BryceBrown_34 Congrats!
1864910491_394079750320558081 x	E-A-G-L-E-S #EAGLES!
1864910491_394079527896637440 x	?@MikeVick: Let's turn this season around!?
1864910491_393840164092776448 x	RT! ?@MikeVick: It's about time we get a W @ home people. #Eagles #MuchNeeded?
1864910491_393818850049150976 x	Brandon Jacobs, DT Shaun Rogers doubtful for #Giants. CB Corey Webster questionable.
1864910491_393816400734994432 x	We would be lucky to have him as our QB. RT ?@MikeErrickson: @GoEaglesNation What are your thoughts on Marcus Meriota??
1864910491_393816975757283328 x	Agree, but we'd definitely need to trade up to get him. RT  ?@MikeErrickson: @GoEaglesNation I could see him leading this offense?
1864910491_393816084782284801 x	Chung still dealing with shoulder, Ced with knee.
1864910491_393815701099933696 x	Chip has said consistently that Cedric Thornton has been our best DL this season. Ced is questionable for Sunday. Need him to play. #Eagles
1864910491_393815151889379328 x	B. Fletcher, Jason Peters, Donnie Jones, Chris Polk all probable. #Eagles
1864910491_393814475666890753 x	Patrick Chung and Cedric Thornton are questionable.
1864910491_393814257147867136 x	Nick Foles (concussion) and LB Jake Knott (hamstring) OUT vs. Giants.
1864910491_393814043884277761 x	We've known all week. Vick is starting.
1864910491_393813908567654400 x	Michael Vick officially listed as probable for Sunday.
1864910491_393493931776036864 x	#Eagles have lost NINE straight games at home. Last win at the Linc? 9/30/12 vs. the Giants. Will it end this Sunday? We can only hope.
1864910491_393463063883841536 x	@TonyBrunoShow Thanks!
1864910491_393460658647613440 x	Expect to see recently-signed Emmanuel Acho active on Sunday. #Eagles
1864910491_393459968625893376 x	Vick doesn't know if he will be 100% by Sunday. #Eagles
1864910491_393459015457726464 x	Tomorrow: Vick will "run 100 yards as fast as I can" to test hamstring. Been going 3/4 speed this week.
1864910491_393458828261748736 x	Happy birthday, @Jknott20! #EaglesNation
1864910491_393458528704548865 x	#Eagles defense has forced 12 turnovers in 7 games, one less than all of last season.
1864910491_393455135550365697 x	Only #Eagles out of practice today: Foles (concussion), Jake Knott (hamstring).
1864910491_393454950606729217 x	Bradley Fletcher (knee) practiced for 1st time this week today. Will play Sunday vs. NYG.
1864910491_393454156629176320 x	No practice again for Foles, did some conditioning this morning, still not fully cleared.
1864910491_393168476036431872 x	#FlyEaglesFly
1864910491_393161704743653376 x	?@MikeVick: Heard I was voted the most hated. Just want to let my fans know I appreciate the support & have nothing but LOVE for you guys!"
1864910491_393095961205284864 x	Chris Polk (shoulder) and Michael Vick (hamstring) were both full-participants in practice today. #Eagles
1864910491_393095643818115072 x	Patrick Chung (shoulder), Donnie Jones (left foot), Jason Peters (shoulder/finger), Cedric Thornton (knee) were limited in practice today.
1864910491_393094999937912832 x	Nick Foles (concussion), Bradley Fletcher (knee), Jake Knott (hamstring) did not practice today. All 3 also sat out yesterday.
1864910491_393094310486626304 x	Michael Vick told reporters he had no setbacks today and that he will attempt to run full speed on Fri. In other news, he's playing Sunday.
1864910491_393093988796088321 x	Giants HC Tom Coughlin: "We're preparing for Michael Vick" at quarterback.
1864910491_392774530470776832 x	PROTECTED
1864910491_392776739254185984 x	@BarryBeitler 100% playoffs. 1 GB in division. Season not close to being over.
1864910491_392766820111118337 x	Adam Caplan (@caplannfl) was just asked on Philly Sports Talk which position #Eagles would target if the draft was today.. "Quarterback".
1864910491_392735665441734656 x	Vick on being named as most disliked NFL player: "As long as I got my freedom, my health and my family, nothing else matters."
1864910491_392735422964826112 x	Forbes named Michael Vick as the most disliked player in the NFL.
1864910491_392734441501904896 x	Welcome back, GJ! #EaglesNation @GJKinne
1864910491_392734001414537217 x	ESPN ranks the #Eagles at 19 in their NFL Power Rankings.
1864910491_392733605241581568 x	Bradley Fletcher said he had some swelling in his knee and didn't practice today. Said he expects to be ready by Sunday.
1864910491_392732848194875393 x	All signs point to Vick starting. #Eagles
1864910491_392732743458893824 x	Vick said he can't give a definite answer on if he can start. Will test hamstring at full speed later in week.
1864910491_392702052251758592 x	Patrick Chung still day-to-day with shoulder injury. Did practice today. Didn't play vs. Dallas.
1864910491_392701806494892033 x	Chris Polk also practicing today. Did not play vs. Dallas. #Eagles
1864910491_392696018200166400 x	Nick Foles, Bradley Fletcher, Jake Knott not practicing today. #Eagles
1864910491_392695743871733760 x	J.J. Watt leads all defensive linemen with 23 stops in run game. 2nd is Marcell Dareus (21) & 3rd Cedric Thornton (17).
1864910491_392693344796962816 x	Michael Vick WILL start Sunday vs. Giants. #Eagles
1864910491_392650004969840640 x	QB G.J. Kinne added to #Eagles practice squad. Would be insurance in case top two QBs cannot play on Sunday.
1864910491_392610285124845568 x	@darealtank78 Listening right now.
1864910491_392403714126151681 x	Howie to a 94 WIP caller saying having Alex Henery try a 60-yard FG made no sense: "I understand the criticism. It's fair."
1864910491_392401278019862528 x	Howie Roseman says Acho signing is because of Knott's hamstring injury. Acho is big body who can jump in & handle special teams reps.
1864910491_392396098666782721 x	#Eagles 2013 7th round pick Jordan Poyer, who was released last week, was claimed by Cleveland.
1864910491_392394946889912320 x	#Eagles plan to re-sign QB G.J. Kinne to practice squad. Released in August. Could be added to 53-man roster, based on Vick/Foles health.
1864910491_392395817581293568 x	Don't know. RT ?@its_jared: @GoEaglesNation Why not Dennis Dixon??
1864910491_392393615814975488 x	@thEMANacho Welcome back! #EaglesNation
1864910491_392393289154191360 x	#Eagles sign LB Emmanuel Acho from Giants practice squad and release CB Shaun Prater.
1864910491_392367328270483457 x	Chip: I've seen our defense play better every week... The effort has always been there, technique starting to shine through.
1864910491_392366302314393601 x	Chip hasn't ruled out signing a QB depending on how Vick and Foles look in next few days.
1864910491_392365985497612288 x	Chip doesn't know who will get first teams reps tomorrow. Still not sure about Mike Vick.
1864910491_392365300945256448 x	As expected: Nick Foles has a concussion.
1864910491_392364992307417088 x	Most receiving yards the last two weeks: A.J. Green (258), Justin Blackmon (248), Vernon Davis (242), Riley Cooper (208), Eric Decker (200).
1864910491_392364532049661952 x	#Eagles DE Vinny Curry has 2 sacks and 7 hurries in 67 pass rush opportunities. Trent Cole has 1 sack and 12 hurries in 219 pass rushes.
1864910491_392070298746769408 x	Yes, Andy Reid is 7-0 with KC. Those wins include the Jags, Giants, Titans, Raiders, Texans (Case Keenum at QB).
1864910491_392363781567029248 x	@LPPhillyFan They're winning due to a star-RB, great defense, weak schedule. Eagles are 1 win from last year's total. What does that say?
1864910491_392363301214367744 x	Chip Kelly said on 94 WIP that Michael Vick wasn't "fairly" close for the Cowboys game. We hope we can get him back for next week.
1864910491_392117201186340864 x	RT ?@MikeVick: We will rebound this week. We will come back strong #EagleNation #bleedgreen?
1864910491_392100563229614080 x	Well #EaglesNation, it was a long, annoying day. Maybe we didn't #BeatDallas... but... #DallasSucks.
1864910491_392085907492601856 x	Hopefully, Vick be will ready to go next Sunday. @MikeVick We need you. #EaglesNation
1864910491_392079436486811648 x	@Leester37 Just stating the facts. #AndyIsAverage
1864910491_392072266097655809 x	@nbarone007 @Winless4Wiggins Yes, I understand that. We are 1 win away from last year's win total under Reid. That says something.
1864910491_392073756132507648 x	@nbarone007 @Winless4Wiggins I'm just saying if you look deeper into their record (who they played), you can understand why they're winning.
1864910491_392074592174735360 x	@nbarone007 @Winless4Wiggins I know. Not arguing about their defense. They have an awesome defense, but Andy has nothing to do with the D.
1864910491_392075809022021632 x	@nbarone007 True. He knows where the good food is.
1864910491_392075315906084864 x	@HungryJack215 @Winless4Wiggins I love Angelo.
1864910491_392075095961006080 x	@HungryJack215 @Winless4Wiggins Why? They're winning due to a weak schedule, good defense (Not Andy's side of the ball).
1864910491_392073963456966656 x	@amitj113 @Winless4Wiggins Yes, and it would be deserved. You have to beat those teams. Simple as that.
