343679423_344175135391088640 x	Getting more from "The Ellen DeGeneres Show" with #ViggleTV   #Ellen #viggle
343679423_395582856283443200 x	@Bethenny please follow me I watch your show since you started last season. I am so heated from today's show with @OMAROSA.
343679423_395582306481487873 x	@dredajoker you are stupid.. Lol nice Andre
343679423_393478419767640064 x	@EvelynLozada I loved looking at you clothing line. I hope I can afford a piece. Love you working with @YMCMB_BW mom. (Plus size please)
343679423_393477809827766272 x	@lala @Bethenny I loved your clothing line I hope I can get a piece soon and wish its affordable. You looked nice in that skirt. (Plus size)
343679423_393477358671630336 x	@FOX29philly this is crazy
343679423_393477334986424320 x	RT @FOX29philly: Caught On Tape: Shooting In Elmwood: Police say when they arrived to the scene, they found 27-year-old Tyrik G... http://t?
343679423_393476655005847552 x	@KhloeKardashian omg so upset that you don't have your full name up but I'm proud that you are still by your husbands side. I love y'all 2
343679423_393476279183638528 x	@kymwhitley just wanted to let you know I have always been a fan. was cracking up @you today on @Bethenny I love her show! Glad it's back!
343679423_393474976621539328 x	@DrPhil depending on the state, you can be separated & date if its a divorce in the works. if I'm wrong let me know please. #drphil
343679423_393474443236081664 x	@DrPhil to the mother on right now so what he's had two girlfriends, she didn't want him with her daughter now he's not.
343679423_393474125630808064 x	#drphil I don't like stories like this. They need to get it together and come together for that child.
343679423_393063303825850368 x	@Blackstreet_Ent well it's afternoon where I'm at. Good afternoon sexy! Have a great day. How are you?
343679423_393107323188940802 x	@Blackstreet_Ent me too! When are you going to come out with new music. I miss hearing your voice. I Love your voice!
343679423_393172525754359808 x	@Blackstreet_Ent cool I want to be the first to know.. Lol.. Besides you and your management.. Lol
343679423_393108305381711872 x	I wanted to tweet yesterday but was cooking dinner for my family at the time. Don't think I didn't watch and listen.#drphil
343679423_393107923838443520 x	@DrPhil I'm so heated about this episode with this father, I'm sorry but if I was his wife I would have left along time ago.#drphil
343679423_393107018233704448 x	RT @Blackstreet_Ent: @carmelshae I'm good ;) blessed as always
343679423_393065063315439616 x	RT @DonLemonCNN: "14-year-old boy arraigned on murder charge in connection with the death of Boston-area teacher Colleen Ritzer." via @cnnb?
343679423_393065049134485504 x	@DonLemonCNN @cnnbrk that is crazy..
343679423_393064374220623872 x	@TamiRoman AMEN! GOD IS GOOD ALL THE TIME.??????
343679423_393064033383112704 x	RT @TamiRoman: Everything inside of me wants to fight back, but I know the only conqueror of Satan is GOD! You can? http://t.co/UrDd3eUdlc
343679423_393063521749311488 x	@Kandi y'all look beautiful
343679423_393062731278192641 x	@iKimberlyElise I am grateful for my life health and strength. Being alive and seeing another day. And to have my two beautiful girls.
343679423_393062336933953536 x	RT @illposts: Don't come into my life unless you want to stay.
343679423_393062296010108928 x	@YRInsider @Theehendrickson I'm so upset that they killed diliya. Hope I spelled it right
343679423_393062004619231232 x	@Vikings @nfl sad to hear. Loved watching sheriff play  George washington alum
343679423_393061326865854464 x	@BraxtonFV @towandabraxton girl you always rock ya clothes. Very beautiful!! I love that dress..
343679423_393060551636815872 x	@Kandi that sounds like a good play! Are you bringing it to Philly. hope so and I hope I can see it. If not please have it on DVD. I'll buy!
343679423_393059957819867136 x	RT @DrayaFace: How many more ways do we need to contact each other? BBM seems like hoe activities and hoe tendencies.
343679423_393059951905865728 x	@DrayaFace no more girl. The next thing you know we going to really be like the jetsons.. Lmao
343679423_393056664141959168 x	@Only1Coko @Ki it does nothing because sooner or later the truth about any and everything will come out.
343679423_393059605674467328 x	@Only1Coko yes you know it. What I look like talking bout yeah I got my own & when I want to have something I'm having it at my friend house
343679423_393059063673917440 x	@THELILMOSHOW just wanted to let you know that I loved you story on #r&bdivas.
343679423_393058687772024833 x	@jsullivanmusic dad turns back on child over a woman and the woman doesn't do anything. I think they're taking advantage of him. #cantseeit
343679423_393058227371655169 x	@jsullivanmusic helping out a friend that has a temper is alot and it drains you.
343679423_393058064557178880 x	@jsullivanmusic I'm out of work from disability and have to pay rent with no income at the time and may have nowhere to live.
343679423_393057447394701312 x	@kmichelle yes that is so true! Nothing like believing GOD.
343679423_393057202556370944 x	@PhaedraParks nice hope to see it in Philly on the shelves soon
343679423_392978896213532673 x	@JordinSparks good morning
343679423_392978804668645376 x	@rocsidiaz ok do that..
343679423_392978688800997376 x	@KENDRAGMEDIA good morning! Have a great day
343679423_392978542851801089 x	@TheRealNealE I do that at times
343679423_392970928818515968 x	@SheldonVerneil good morning bro! We I see this is your life now. Great and happy for you! Did you leave the other place?
343679423_392973064381923328 x	@SheldonVerneil oh ok. Member what I said from the beginning of your success. Don't stop until you know for sure it's permanent. Love ya!?
343679423_392962821920923649 x	Good morning to you as well @DTimmeneyFox29 @FOX29philly you are apart of my morning family as well.
343679423_392967429657468928 x	@DTimmeneyFox29 @FOX29philly yes, Happy Hump Day to you as well. Love you on this station, love the switch..
343679423_392962041633579008 x	Good morning to my @FOX29philly family!@MikeFOX29 @SheinelleFox29 @KarenFox29 @SueSerioFox29 @JennFredFOX29 @KacieFOX29 @KeeleyFox29
343679423_392796288238227456 x	@ShaunieONeal @BasketballWivs @EvelynLozada @suzieketcham @tashamarbury @TamiRoman hopefully I can see it in Philly.. Much love over here.
343679423_392959736054022144 x	@ShaunieONeal I sure will. I love the guy that was singing. And the lady he used for just rehearsal the first time is from@tylerperry plays!
343679423_392959480897753088 x	RT @ShaunieONeal: @carmelshae Thank u!! Stay tuned for more info on the play :)
343679423_392798479783047169 x	@NeNeLeakes I will be
343679423_392797108178542592 x	@TamiRoman yes that is so true an I'm so loving this season. Keep up the good work @TamiRoman I want some of you nail polish. #prayers4yamom
343679423_392796518497157120 x	@Ludacris @52BLOCK was just listening to a throwback cd of yours. Chicken and beer
343679423_392796202338881538 x	@ShaunieONeal @BasketballWivs @EvelynLozada @suzieketcham @tashamarbury @TamiRoman and I watched it again today. I love the play. Can't wait
343679423_392795934440300544 x	@ChinaUpshawHair it will be ok!!
343679423_392739262481063936 x	CRACKING UP AT AMY AND ANDY ON @TheEllenShow they are too funny!! Why is Andy using Amy as a shield.. Lmao???????? I almost chocked laughing
343679423_392738430205317121 x	@TheEllenShow I love the Lil boy he touched my heart when I saw him and his mom on your show. I pray that the surgery goes great. #PRAYER
343679423_392737949890404352 x	Omg I'm in my apt cracking up @TheEllenShow I watch this show everyday since I have been out of work. You get me through my days..
343679423_392392502848016384 x	Watching #drphil and its so disturbing. I'm going through something like this now and it hurts.
343679423_392395236435316736 x	@PatriciaPeyton no I do@t want to control I just know my dad. I'm the oldest and since his mom passed yrs ago he has not been the same.
343679423_392737592929951744 x	@PatriciaPeyton I'm sorry to hear that.
343679423_392393171160027136 x	#drphil who would say something like thay. Listen i can take fault in what i say and or do but i would NEVER choose a man over my kids.
343679423_392395900200701952 x	@WildeMoonChild that's what I was trying to tell him but he doesn't get it.
343679423_392737379410509824 x	@WildeMoonChild yeah it's crazy
343679423_392398989863452672 x	@FINALLEVEL well don't do that. I have loved you for years.
343679423_392398701270159360 x	@snooki love seeing you in @TheEllenShow . I watch @TheEllenShow everyday. My daughter wants to meet you @snooki
343679423_392398237115891713 x	@ShaunieONeal @VH1 I watch every week it's on.. And sometimes twice
343679423_392398029229420544 x	@Zendaya I so love you voice and your videos. Great young artist
343679423_392397886094598144 x	@officialchilli @VH1 I will be watching
343679423_392396631590838272 x	@WildeMoonChild I just think its sad as well.
343679423_392396457854373888 x	@checkmyswag62 hey babe! How have you been? Hope all is good with you and your family. Enjoy the rest of your day
343679423_392394890401021952 x	@dredajoker lmao@you are stupid that rhyme omg too funny. Yall are crazy. Dre
343679423_392396141201199104 x	@dredajoker your welcome Dre! I'm sorry not on like I use to be but I have to start checking like everyday again
343679423_392395696697245696 x	@WildeMoonChild thanks and I'm not the only one who sees this. A woman that he is still in love with told him the same damn thing it's crazy
343679423_392392914187612161 x	#drphil watching and my father told me that the person he is dating is more important to him than I am and his grand kids.
343679423_392395443302572032 x	@wingedrunner thanks him its just crazy. I would never say anything like that to my kids.. #NEVER
343679423_392393607304740864 x	#drphil I love tat you are interactive so you can see our quotes. You are upfront and real. It's crazy I have been watching for years.
343679423_385965528940294144 x	#ScandalisBack yes I'm so happy
343679423_385965295074283520 x	#scandel was so good tonight. I love this show. It's one of the best in years. Yes
343679423_385964793112571904 x	#AskScandal what was in the folder..
343679423_385964586673115136 x	#oliviascoat that was hot. I want it in plus size please
343679423_369772501003677696 x	Another young man gone before his time. A classmate and friend to my daughters very good student from George Washington high school (Philly)
343679423_369772019191406592 x	Be safe out everybody!
343679423_369771608837484544 x	To all my friends and family keep the family of Daquan in your prayers! He was brutally murdered yesterday here in Philly! Psalms 23
343679423_369771204175208448 x	@DTimmeneyFox29 @SheinelleFox29 @SueSerioFox29 @KacieFOX29 good morning ladies! @KeeleyFox29 good morning mr! Have a blessed day everybody!
343679423_369770679933366272 x	Good morning @FOX29philly family! ? sad this morning. The young man Daquan went to school with my daughters! I'm a George Washington alum
343679423_367466727136710656 x	@ChopTedAllen ok I have been watching this show for a min now and my friend and I want to know, do you taste any of the food???
343679423_365662953632051202 x	@sinbadbad great I will be watching
343679423_365662619207614464 x	RT @AngelaCstyles: I bees in the #trap RT @HOE_SWERVE_20: @KimbleHairCare don't do @AngelaCstyles lik that you know she bringing in that mo?
343679423_365662341137833984 x	@AstronomicalKid hey so loving your rhymes! I hope your in the cypher this year! They will be crazy not to put you down!
343679423_365661865826725888 x	@Roycelr I love your pic! How are u and your son and family doing? I so miss seeing you on tv! Pray that everybody is doing great!
343679423_365661486615506945 x	@KimbleHairCare I don't like that its almost over! It needs to be longer! #LAHAIR you know I was watching! hope @AngelaCstyles doesn't leave
343679423_365660381810663424 x	@TiaMowry @TameraHousley I so love y'all show an I love that y'all are so real. I love your cousin Jerome. He is funny! Can't stop laughing!
343679423_365658445329862657 x	@AnthonyPazos I lives it Anthony! Tweet me boo!! I love you on the show!
343679423_365658316719915010 x	RT @AnthonyPazos: East coast what'd you think? RT sending Love!!!
343679423_365656190383955968 x	@RealDLHughley hey DL I haven't been on in a min but I miss laughing and conversing with u on here! You are the best and so real!
343679423_365655843879911425 x	@the_NAJA yes I love that art work it was fabulous!!
343679423_365655617584635904 x	@ChinaUpshawHair yes that was a great pic
343679423_365655538563944448 x	RT @ChinaUpshawHair: Dontay Hefner  #LAHair
343679423_365655435174363137 x	RT @dredajoker: @carmelshae Interventions" on this episode we talk to Serial Jackman family. http://t.co/bNZGc8JpxU   rt #MorningLaughs
343679423_365654557713367040 x	@AngelaCstyles I really hope that u are not leaving it won't be the same!! I don't want you to go! @KimKardashian please keep @AngelaCstyles
343679423_365654351177461764 x	@hairhunt I love your form of direction! Great!!
343679423_365654193727483905 x	@dontay that pic was sexy at the end I love it!!
343679423_365653585792471041 x	@DontaySavoy what in the hizzell!! Lol
343679423_365652834152226816 x	@DontaySavoy lmao yes Jesus loves me!!  Lol...
343679423_365652361907142657 x	@KimbleHairCare @DontaySavoy @hairhunt @AngelaCstyles @AnthonyPazos@ChinaUpshawHair this season is the best! I love it! Y'all are crazy&wild
343679423_365651929067552768 x	@KimbleHairCare and he also thinks that your not arrogant and he likes that u give chances. And he wishes u many blessings!!
343679423_365651485985484802 x	@KimbleHairCare I have my friend hooked on your show and he thinks that u are the best boss ever seen and you are very humble!
343679423_356472240843407360 x	@RudeComedian good tips!
343679423_356472196769656833 x	RT @RudeComedian: I don't know how I ever lived without these life tips. Never get a mosquito bite again! http://t.co/sUgo94wcXe - sp
343679423_356467073335050240 x	@KarenFox29 awe CONGRATULATIONS @KarenFox29! U know I love u on @FOX29philly. Enjoy the baby..
343679423_356470113161060353 x	@KarenFox29 @FOX29philly yes I am! My birthday is on Tuesday and had to get out with one of my girlfriends for and early birthday Treat.????
343679423_356468580520439808 x	To all of my TWITTERS FRIENDS, FAMILY AND ALL MY FOLLOWERS PLEASE BLACK OUT YOUR PIC FOR #TrayvonMartin ?? ONLY GOD ABOVE KNOWS THE TRUTH!
343679423_356467706834329600 x	@solangeknowles @NAACP love this I will support and sign a petition
343679423_356467584469704705 x	RT @solangeknowles: Today is a day of knowledge! We are inviting guidance on what all we can do to support the @NAACP civil rights case aga?
343679423_356467412201246720 x	@MalaysiaPargo me too! ?
343679423_356467333985873921 x	RT @MalaysiaPargo: Praying for the family of Trayvon Martin. ?
343679423_356465469684858881 x	@TheEllenShow I know u were following the case of Trayvon Martin please tell me that u feel for the family.
343679423_356463614619693056 x	RT @dredajoker: .@carmelshae im human not spam. please when you get the chance check out http://t.co/eg5RkDQ19S the link. #PhillyComedy
343679423_355159798704123904 x	@KimbleHairCare I can't wait for tomorrow's episode..
343679423_355159527965999105 x	@AnthonyPazos you better work it.. I love u on @lahair
343679423_355158234379714561 x	@KimbleHairCare you know I can't miss none of your shows. I love watching all the time even in a rerun.. Love that u did @msdebbieallen hair
343679423_355157920029229057 x	@ChinaUpshawHair I love the red hair but I want you and @AngelaCstyles to get along. Y'all to pretty!
343679423_355156453591490560 x	@AngelaCstyles great job on @ItsMelanieAmaro hair. It was great!
343679423_355156214935584769 x	@AngelaCstyles I love u girl.. I'm glad no drama this week.. Love you!
343679423_355155969451364352 x	@hairhunt u really don't like working with @DontaySavoy  why??
343679423_355155584196165633 x	@DontaySavoy you are a mess this week I was cracking up when u fainted on the floor... Lmao????
343679423_352477697508782080 x	@KimbleHairCare @msdebbieallen @WEtv oh I can't wait!! U know I will be watch Kim!!????
343679423_352356418181029888 x	@JennFredFOX29 @DTimmeneyFox29 I want y'all to know I'm watching my @FOX29philly news this morning..rise and shine? http://t.co/VlTcj6bLkE
343679423_352354862324908034 x	@JennFredFOX29 I'm loving you in my favorite color this morning. And I loved when u did the piece with weaves. U looked cute with long hair!
343679423_352354350141681664 x	@JennFredFOX29 u and your husband @KeeleyFox29 are too funny flirting.. That's love!
343679423_352354160273924097 x	@SueSerioFox29  I like that shirt. I'm going to have to borrow it.
343679423_352353912117927936 x	@FOX29philly was a fire near where I live 2:30-2:45 this a.m thanks to my daughter noticing.
343679423_352352873838952448 x	Good morning to my @FOX29philly family! @SueSerioFox29 @KacieFOX29 @JennFredFOX29 @DTimmeneyFox29 @SheinelleFox29 @MikeFOX29 @KeeleyFox29
343679423_351668148828770306 x	@checkmyswag62 hey babe! How have u been? I hope all is good on ya end and your family! ???over here hope it's ?where u are.
343679423_351667492852215808 x	@MeaganGood very pretty as usual and loved the dress!
343679423_351666853547999232 x	@fatbellybella your performances last night was mad crazy! I have loved u since the beginning! Keep up the work and I want a new cd!! #fan
343679423_351666591575973888 x	@DontaySavoy oh u are cutting up this season with the nail tech! I'm loving u with @AngelaCstyles! Stay with her even if y'all not a couple!
343679423_351665689792229376 x	@KimbleHairCare oh I don't want u to think I haven't been watching bug I have! Kim u are #turnedup this season!
343679423_351665326582272000 x	@hairhunt oh I want you to know that I'm loving the new season! I have been watching but not tweeting! But u are a mess and I love it!
343679423_351664883273711616 x	@gabrielledoug you looked so beautiful last night. Keep up the great work and continue to be you and do your best!
343679423_351664526527176704 x	@kendricklamar great performance last night! Loved it!
343679423_351664400136019968 x	@kmichelle love the new song as well! Now the video I like but they made u look like you were moving to fast like faster than the beat!
343679423_351664134774984704 x	@kmichelle congrats on ya awards last night girl!
343679423_351663400025202689 x	@JanelleMonae great performance! Loved it!!
343679423_351663200477003778 x	Love seeing Chris tucker last night!
343679423_351662869131173889 x	#charliewilson did the thang in that stage! I love your music mad crazy! Did it up!! As @KevinHart4real  said #TurnItUp U did!
343679423_351662385540505600 x	@eledienergygod y'all did the damn thang last night! I need u to make more music. Ain't nothing like old school reggae!!
343679423_351661863890731009 x	#BETAwards this was one of the best show that @BETAwards had put on!
343679423_351661578346696705 x	@SueSerioFox29 @DTimmeneyFox29 @KarenFox29 @SheinelleFox29 @KacieFOX29 @JennFredFOX29 ok ladies I see y'all doing it up this morning!#TURNUP
343679423_351660599442280452 x	Good morning to my @FOX29philly family! I haven't been tweeting for a minute but want y'all to know I still watch everyday!
343679423_351660058414813185 x	@BETAwards this was one of the best performances of the night! I look up to her as a mother & a great singer! #TakeMeToTheKing #TamelaMann
343679423_351555864445988865 x	@ImCharlieWilson @iamjamiefoxx @jtimberlake @steviewonderuk I loved the performance
343679423_351555517811929092 x	@rkelly omg! I need you to come to Philly or jersey for a show at the Caesars! Or something! You are one performer I want to see bad!??
343679423_351555231433232384 x	@2chainz I love hearing you rap! Crazy!
343679423_351555120137371648 x	@chrisbrown I loved the performance
343679423_351555044719607812 x	@4everBrandy @RayJ y'all doing y'all thing together I love the brother and sister vibe!! ??????? much love!
343679423_351554701852028928 x	@KevinHart4real I was laughing all night with you on the stage! I can't wait to see ya film this week!! It's on I'm going to be #TurnUpMan
343679423_351554398012452864 x	@NICKIMINAJ_back you was turned up girl I saw u dancing to the reggae I loved it!! Lol
343679423_351553962027130880 x	@robinthicke omg!! That performance was one of the best of the night!!
343679423_351552800540459008 x	@kendricklamar you turned up the stage tonight! Great!
343679423_351552652603170817 x	@DwayneWade3 looked so good! I love seeing your family with you and supporting you as well as ya boo fianc? @itsgabrielleu
343679423_351552327360069634 x	#GabrielleUnion I love you tonight! Great job!! Nice look!
343679423_351551997624848384 x	PHILLY'S OWN G-DUN ALUMNI #KevinHart  YOU WAS ON POINT TONIGHT!! TURN IT UP MAN #TURNITUPPP I LOVE YOU KEVIN KEEP MAKING US LAUGH! ????
343679423_351551418865426433 x	Ok the #BETAwards are and have been crazy tonight! I LOVED THE WHOLE SHOW! It was mad crazy!! I will stay watching.. ???????
343679423_349596365434789891 x	@MsEricaDixon I like that u wanted to talk but I think it was the way it came off. u was being a woman about the situation and I liked that.
343679423_349595920213606402 x	@MsJoseline u are so beautiful and at least you admitted that u miss that ole crazy ass ya boo @hitmansteviej.
343679423_349595552700313601 x	@kmichelle I love the apology and the singing. I hope that y'all get the girlfriend relationship back. I think y'all are alike in some ways!
343679423_349595175531712512 x	@hitmansteviej I loved seeing you with @MimiFaust last night with your daughter! It was nice
343679423_344687513400651776 x	WAtch every week!! How do I make "Love & Hip Hop: Atlanta" even better? I Viggle It! TV loves you back with #ViggleTV   #LHHATL #viggle
343679423_344686776746639360 x	This is my show! My TV loves me back when I watch "Love & Hip Hop: Atlanta" with #ViggleTV   #LHHATL #viggle
343679423_344683553327554560 x	I'm #Viggling "Late Night With Jimmy Fallon". TV loves you back with #ViggleTV! I love watching jimmy since SNL. ???   #LNWJF #viggle
343679423_344682455208435712 x	Had to see my lil wayne. love him! ?My TV loves me back when I watch "Jimmy Kimmel Live" with #ViggleTV   #JKL #viggle
343679423_344657608029896705 x	Good show. Watching while in the ER!  Getting more from "Rizzoli & Isles" with #ViggleTV   #RizzoliandIsles #viggle
343679423_344533732000149504 x	Im watching as i do everyday! I'm #Viggling "The Ellen DeGeneres Show". TV loves you back with #ViggleTV!   #Ellen #viggle
343679423_344532338757234689 x	I love it! How do I make "The Ellen DeGeneres Show" even better? I Viggle It! TV loves you back with #ViggleTV   #Ellen #viggle
343679423_344169186475515904 x	ok i want my penbrella!! lol My TV loves me back when I watch "The Ellen DeGeneres Show" with #ViggleTV   #Ellen #viggle
343679423_342894740787826688 x	I have to catch up and learn how to use this more. I love this app! Really nice!
343679423_342889097586683905 x	This movie is good! Love the cast!?#ViggleTV makes watching "Dysfunctional Friends" even more entertaining!   #DysfunctionalFriends #viggle
343679423_342719090961551360 x	Lol .. #ViggleTV makes watching "The Ellen DeGeneres Show" even more entertaining!   #Ellen #viggle
343679423_342718021619564544 x	Even though this is a rerun im still watching! I'm #Viggling "The Ellen DeGeneres Show". TV loves you back with #ViggleTV!   #Ellen #viggle
343679423_341996538056286208 x	Lmao at tony! He is so funny #ViggleTV makes watching "The Ellen DeGeneres Show" even more entertaining!   #Ellen #viggle
343679423_341966005741944832 x	I love how i get points! How do I make "American Dad" even better? I Viggle It! TV loves you back with #ViggleTV   #AmericanDad #viggle
