16744854_388670843963731968 x	@Bosslife1 Thanks Sis!!
16744854_395898764482732032 x	Galatians 6:9 "And let us not be weary in well doing: for in due season we shall reap, if we faint not."
16744854_395679162804867072 x	Love and more love to all.
16744854_395678481813475328 x	@queenjovan Glad it resonates with someone :-)
16744854_395676777667776512 x	A man should take pride in his work. I don't care if he's a CEO or Janitor. The fruit of his labor will harvest what he plants.
16744854_395676130516013056 x	Ugly endings can lead to beautiful beginnings.
16744854_395675646682099713 x	Painful growth is far better than comfortable stagnation.
16744854_395674455059341313 x	Practicing patience.
16744854_395673731801944064 x	Love can be the greatest foundation of anything you build.
16744854_395672290253238272 x	No amount of money is worth your soul or sanity,
16744854_395671984924672000 x	@VH1VanessaDior Only a true Queen can understand what I'm saying... <3 <3 <3
16744854_395555154922967041 x	For some insight, you can read this new interview by Ben of @MusicBlissQnA One of the most candid and honest to date. http://t.co/cu5Ms7GNCT
16744854_395554837992968192 x	And finally, all that I do from this point forward will be for HIS glory. Not for my own pride and vanity. I am commited to change.
16744854_395554610665906176 x	Third, I will marry this woman and raise a family. I will raise that family with great morals and values. They will carry on the best of me.
16744854_395554353953509377 x	Secondly. I fell in love. Her heart won me over. I will honor her. I will not lie or be unfaitthful. I won't break her heart. I'm devoted.
16744854_395553875807059968 x	First, I have discovered Christ. On this path I'm not leading, but being led. I don't lean on my own understanding, I'm just a man of faith.
16744854_395553443563069440 x	Good morning world. I hope these words reach you in blessed spirit. I feel compelled to say a few things that are very important to me...
16744854_395340062017085441 x	Every ending is a new beginning.
16744854_395284656410464256 x	Prayer and patience...
16744854_394911224632463360 x	RT @AriAdmani: For the Spirit God gave us does not make us timid, but gives us power, love, and self-discipline. (cc) @DonnyGoines
16744854_394910977059061760 x	Sacrafice. A true indication of real love.
16744854_394626470347145218 x	How do I define success? Marriage. Children. A Family... These are the things I aspire to obtain in life. Hopefully one day I will.
16744854_394624235869462530 x	Queen > Bad B****
16744854_394220369071984640 x	I just want to humble myself, remove the ego and take a moment to thank God for all he has blessed me with. I'm very grateful.
16744854_394091774970314754 x	In struggle we thrive. In adversity we triumph  In failure we learn. In pain we heal. Don't allow your present to dictate your future.
16744854_393923669962940416 x	The best gifts in life don't come from department stores. They come from the heart. #Thankful #Grateful #Blessed
16744854_393876799597207552 x	Tough times build tougher people. Don't become discouraged, Just work harder and remain focused. You'll get there.
16744854_393780398255124480 x	Live. Love. Learn.
16744854_393725377706618880 x	I didn't find God. God found me.
16744854_393722145458495488 x	Psalms 41:4 - I said, LORD, be merciful unto me: heal my soul; for I have sinned against thee.
16744854_393721537049542656 x	Love is important. My spirituality has taught me this. God is love so love must be embraced and shared to heal our souls. I pray for love.
16744854_393494551651819520 x	The Lord has been great to me. If you feel the same spread his word. #GodIsGreat
16744854_393493233507897344 x	Ephesians 4:31-32 - Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice.
16744854_393375826630017024 x	Proverbs 16:24 - Pleasant words are as an honeycomb, sweet to the soul, and health to the bones.
16744854_393121735823745026 x	I will not allow fear to stop me from true happiness anymore. I want to praise God, become a husband, father and positive man in the world.
16744854_391967806796730368 x	Matthew 6:24
16744854_391966797466853376 x	No matter how I feel about money though I can't control the level of value others place on it. To each his or her own.
16744854_391966150612885504 x	To others I've come across though, money means everything to them. I've put everything before money. Business, art, friendship, love...
16744854_391965875403620352 x	I've made money, lost money, owe money, spent money... It comes and goes. It's replaceable. Not that important. Just a multipurpose tool...
16744854_391954835756425216 x	Any business, features, interviews, etc. please contact my Management: @AriAdmani & Co. Melissa (@ArisAssistant) will respond promptly.
16744854_391953912141316097 x	Tonight 8pm: http://t.co/yPuDJTWxcl I'll be live with @missybnyc @LFBTV Tune in.
16744854_391949447258587136 x	Chase & Google are giving 250K grants to a few small businesses. Click & Vote for me. Takes 10 Secs. Thank you. https://t.co/TMCfEnKCxI
16744854_390894330086322176 x	Being human.
16744854_390681643930771456 x	Everyone sings. Everyone raps. Everyone is a star. Everyone is a celebrity. Everyone is a model. Everyone is a actor... Where are the fans?
16744854_390679110864756736 x	Talent without direction is still talent. It just doesn't go anywhere.
16744854_390540710811680768 x	Random: I like to lullaby em. When people sleep it just sets up an insane rude awakening. (**Hint** My beast mode >)
16744854_390523474784952320 x	Money, cars, etc... I don't mind losing or risking them because they hold no true value. Loved ones, time and health are priceless though.
16744854_390311247440142337 x	I'm a simple man. Don't need all the extras and I'm not impressed wit theatrics. Just be honest and cool. We can take it from there.
16744854_390152470262841345 x	Love over everything.
16744854_390141914210529280 x	I'm all about love. Hate and negative energy has no place in my life today. I'm grateful for all of the missteps which led me to this path.
16744854_390130188685570048 x	I'm not calling out any names but the majority of these rappers are one trick pony's and very repetitive. I can't do that.
16744854_390129946397401088 x	Making the same kind of music talking about the same things is very boring as far as I'm concerned so I know you won't be excited for it...
16744854_390129686249873409 x	Please bare with me and be a little patient. My main concern is pleasing you and I'm focusing on delivering something very special to you...
16744854_390129429852073984 x	And as an artist, I really want to deliver something amazing. I don't do trends. I don't participate in the nonsense and I don't rush...
16744854_390129146593955840 x	To all my fans and supporters. Music is now second nature for me. I've done everything I've wanted to do thus far minus a Grammy or two...
16744854_390127730156519424 x	@IHEARTHIPHOP Lol my long lost twin.
16744854_390127667304861697 x	@kymastryDoll Thanks for the love sweetheart :-)
16744854_390127561428066305 x	@_CallMeDeedee Shout out to you Ms. DeeDee :-)
16744854_390118644207734784 x	Random: If you're trying to call or text me I'm not ignoring you. I'm unplugging for awhile. Too much technology. Need a breather. Email me.
16744854_389744798384394240 x	I'm not worried about what happened. I'm focused on what's happening.
16744854_389531307153190912 x	If you're willing to let your significant other hold your phone that's... #RealLove
16744854_389533129028812800 x	@Anitah_Sparkz Lol rare right?
16744854_389532697309114368 x	If she stops posting provocative selfies out of respect for you that's... #RealLove
16744854_389532457944375296 x	If you get a little jealous when someone is flirting with Her/Him that's... #RealLove
16744854_389532029609455616 x	If you can leave your Twitter and Facebook accounts open on a computer you both use around someone you care about that's... #RealLove
16744854_389531083731001344 x	If you can go on an expensive dinner date or split a dollar slice together that's... #RealLove
16744854_389530303091314688 x	If you're willing to go without in order to make sure your significant other has that's... #RealLove
16744854_389471924889202688 x	Much love to all of the Founders, VC's, Angel Investors, Start Up Companies and such. Your bravery and intelligence is admired.
16744854_389449311295004672 x	My personal form of ultimate success? A simple kind of life.
16744854_389448231601459200 x	@emzbenz Hey Emma. Thanks for the love. Great smile :-)
16744854_389440240319860736 x	Random Personal Fact: I'm a one woman type of man and I only keep a Queen by my side. I'll pass on all of the "Bad B....."
16744854_389447039148240896 x	@SonniDdotcom Only a true Queen understands that ;-)
16744854_389417256578334720 x	Okay. Enough. I try. Hopefully someone out there gets it.
16744854_389417018161504256 x	You want success? Money? Fame? Easy. Don't chase it and concentrate on your passion. They are merely bi-products of consistency #GeniusChild
16744854_389415816409522178 x	Worried about a mistake you've made? Don't. Just keep working. Success has a funny way of causing amnesia. #GeniusChild
16744854_389414462672756736 x	Use your imagination. Hire others to use their brains and brawn. #GeniusChild
16744854_389414269189492736 x	Embrace failure. It's the precursor to great success. #GeniusChild
16744854_389414126851608577 x	Stop chasing mirages in the sand. Sit down and build your own castle in it. #GeniusChild
16744854_389413706355847171 x	Become your own biggest fan. Who else can promote you better than yourself? #GeniusChild
16744854_389413512545456128 x	Stop fixating on others success. What works for on person doesn't necessarily work for you. Focus on defining your own success. #GeniusChild
16744854_389413158994989056 x	Time is the only thing you never get back so be careful not to waste it now on things you can always gain again later.  #GeniusChild
16744854_389412683100868608 x	When times get difficult don't give up, give more. #GeniusChild
16744854_389412410265591808 x	Stop complaining about the things you don't have and use the things you do have. #GeniusChild
16744854_389411790578147329 x	When you're in the presense of those more intelligent than you, keep your mouth shut and ears open. #GeniusChild
16744854_389411556494020609 x	Avoid the complacent and easily satisfied. They will only deter you from achieving greater success. #GeniusChild
16744854_389410508886917121 x	Arguing with idiots only proves you're just as stupid as they are. Don't do it. #GeniusChild
16744854_389408578886332416 x	@ericsosa Clever. Good work. Make sure to promote hard and create clever marketing tactics. You might have one.
16744854_389405659763978240 x	You can never share the wealth with those who bicker over pennies. #GeniusChild
16744854_389389059463708672 x	In search of balance.
16744854_388671047857238016 x	@BankersUmbrella Lol it is. Boring men don't get killed too much hahaha (I.e Carlito's Way)
16744854_389388983920128000 x	Wanna hear something ironic? The past two years were my most successful to date in terms of money and material items. I wasn't happy though
16744854_389384367526514690 x	But I'm maturing and in time, I will grow into myself.
16744854_389383979893145600 x	In short, I'm going through growing pains in front of the world. Business puberty so to speak. Not the easiest phase of my career...
16744854_389383601990557698 x	In order for me to progress and grow I had to step out of my comfort zones. Rap is a comfort zone for me. I want to expand beyond that....
16744854_389383217469337602 x	I have learned many different things these past few years. Business is not as simple as most assume. Creative ventures are not guaranteed...
16744854_389382426679472128 x	Repeating the same actions gets the same results. Even with success. I was never satisfied with that. I have to risk failure to move beyond.
16744854_389169319956869120 x	When everyone is a self proclaimed star the sky doesn't seem as vast anymore.
16744854_389058119239618560 x	http://t.co/U8ZVJYDm91 This doesn't really define me but it's a good place to start if you'd like to know more about me. Thanks for the love
16744854_389041760992632833 x	Oh yeah, congrats to Miley. She successfully fooled the world into thinking she was out of control to create a new career path. Kudos.
16744854_389038137365626881 x	Social Media posts leave digital fingerprints... Electronic tattoos. Don't post pictures, words, etc. you'll regret 10 years from now.
16744854_388824503020564480 x	Loyalty is the most important characteristic to me in any type of relationship. It's very rare and hard to find but when I do I value it.
16744854_388811614335410176 x	@Jongirl1985 Just know he's in a great place.
16744854_388808390610153472 x	Children are such a blessing. If you have any be grateful. They may drive you crazy but I would gladly welcome that type of madness.
16744854_388768525382213632 x	Strategy, patience and execution. My personal formula for long term success.
16744854_388726205035196416 x	Most based their faith on things seen. By sheer definition that is an oxymoron. Sometimes you just have to walk into things blindly.
16744854_388680307404050432 x	Spread love. It's infectious.
16744854_388672119527059456 x	@MidEastDiva :-)
16744854_388672979690737664 x	@MidEastDiva Morning love. How are you doing?
16744854_388675080521134082 x	@MidEastDiva Same. Thinking of ways to take over the world lol.
16744854_388679516941344768 x	@MidEastDiva Great minds ;-)
16744854_388676488817434624 x	I look forward to settling down with my Queen. Having a few kids. Living a very normal and routine life. Hip Hop lifestyles are overrated.
16744854_388677168017833985 x	@yusufyuie Finally, SOMEONE who gets it lol. #Salute fellow King.
16744854_388677040364593152 x	RT @yusufyuie: @DonnyGoines King me and you both. That family life is the true goal. This lifestyle is simply a means to that amazing endin?
16744854_388673755519537152 x	Any requests, features, business inquires, etc. please contact my amazing Management team: @AriAdmani & Co. @ArisAssistant Let's work!!
16744854_388673353130586112 x	I know I can be hard to reach sometimes, but feel free to hit me anytime. I will respond. Don't do the "Industry" thing lol.
16744854_388672913387188225 x	@MsFitBC Hey Angelique!! You look amazing!!! Keep up the awesome work and thanks for the love :-)
16744854_388672458095460352 x	@ClaudiaRivero10 Hey Clauda :-) Hope all is well.
16744854_388672271163731968 x	@ChrisRedlitz Appreciate the love Chris!!
16744854_388672060840345600 x	@gretawells Hey Gretchen... Cool hat :-)
16744854_388671965789036544 x	@YinyingXu Thanks for the love Ms Xu :-)
16744854_388671832963813376 x	@stefaniebryer Thanks for the love Stefanie :-)
16744854_386537162625122304 x	@ericalolaluv Sorry for the late reply, how are you doing Erica?
16744854_386612995603693569 x	@ericalolaluv Tired. Always working. Even on weekends :(
16744854_388671318503063554 x	@ericalolaluv Busy and boredom are synonymous lol.
16744854_383764243809447936 x	Cowards can't change the world, only the brave... http://t.co/25jI6fEafY
16744854_386537239754194946 x	@rebeckabarnes2 Blessed. How are you?
16744854_386613141422870528 x	@rebeckabarnes2 Confusion is of the Devil. Don't let him cloud your judgement.
16744854_388671169160679425 x	@rebeckabarnes2 The trick is too never let go.
16744854_387244600433180672 x	Social Media reminds me of channel surfing. Ton of commercials, plenty of mindless shows but once in awhile you find something interesting.
16744854_388671090127409152 x	@FitCari :-)
16744854_388670657287843841 x	@MrMaG254 Smart man.
16744854_388663150200897536 x	Quick Update: I'm working on a new album. An amazing one in fact. It's called Genius Child. I'm fulfilling a promise made to a great friend.
16744854_388659431728115712 x	How many times can you pull the same rabbit out of the hat? I'm always in search of the "next". Makes no sense to repeat the same actions.
