298857472_395942044591730688 x	@KacieFOX29 @QDEEZYDOTCOM you look amazing here @KacieFOX29
298857472_195110505361313792 x	I wish I saw ya at the track more doing the speed shows like trackside live or any of the practice/qualifying shows. Keep up the great work!
298857472_195110245293506560 x	Hey Danielle, I wanted to say, your doing an awesome job on the speed channel, especially on the hub!
298857472_191686889252724736 x	Had a nice weekend! Can't wait till tuesday when I go for my interview at fred beans for a mechanic job!
298857472_186994277929336832 x	Just passed my CDL License today!!!!!!!
298857472_186998187691753473 x	@MJarefsky21 Thanks brotha man. Now we can celebrate parx and win the big bucks then take to AC and win bigger!!!
298857472_186999522034057216 x	@MJarefsky21 I hear ya on that buddy!
298857472_184093224946769921 x	@MJarefsky21 ill say, lol
298857472_184092323855089665 x	Cant wait till next weekend already!!!!!
298857472_176855357434494976 x	@aliciavitarelli Dont feel bad, neither can I or any of them for that matter. You do an awesome job on the news. Keep up the awesome work!
298857472_177204251142004737 x	@aliciavitarelli Ah, anytime.
298857472_176856503578411008 x	@theCarlaMarie Happy Birthday Carla Marie!!! Hope you have a blast and be safe!!! Take Care!
298857472_176856054947254274 x	Starting my CDL training thissaturday and in 6 weeks, ill have my commercial driver's license!
298857472_176855545809080320 x	@Elliott_Sadler @SteveByrnes12 @mrnashan Hey Elliot, congrats on getting back to the winners circle on saturday!!!
298857472_174691425915645952 x	@theCarlaMarie Carla Marie, You are awesome!!!
298857472_173810913416196097 x	@FOX29philly I'm pulling for Mark Martin!
298857472_173810690891587584 x	The 2012 NASCAR season is about to get underway with the 54th annual Daytona 500 starting in about an hour. Can't wait!!!
298857472_167218824771403778 x	@theCarlaMarie @RutgersU haha
298857472_167218762959945728 x	@theCarlaMarie @Spin_20 Bigger what?
298857472_159744400124157953 x	Just passed my Passenger endorsement test for my CDL permit! I may get 1 more then gonna go get that license!
298857472_159743809289322496 x	@DeenaNicoleMTV AH, very nice! Cant wait to watch you and everyone on the Jersey Shore tomorrow! Oh yea, Jersey Shore yea, lol!
298857472_158737776156745728 x	@theCarlaMarie Ah, thats awesome! Hope you had a nice weekend carla. Cant wait to hear the morning show tomorrow morning on the way to work!
298857472_154590807532371968 x	@DanielleMonaro Hey there, just wanted to say i absolutely love the morning show and your laugh is really funny, lol. Keep up the good work!
298857472_154589759489064960 x	@SiriusXMNASCAR I hope David Ragan finds a ride this year! He really deserves it!
298857472_154589566551080960 x	Just passed my air brakes test along with my Class B general knowledge test for my CDL permit! Next step: Getting that CDL License!!!!
298857472_154033872273813504 x	@theCarlaMarie Hey there Carla, just wanted to wish you and your family a happy and healthy New Years 2012!!
298857472_154033390771896320 x	@DeenaNicoleMTV AHHH, can't wait to see Season 5 to begin! Happy New Years Deena!!!!
298857472_149314621629673472 x	Happy Hanukkah everybody!!!
298857472_146935923035217920 x	@katebilo Where have you been at kate? Havent seen you on the Eyewitness weather.
298857472_147063623590744064 x	@katebilo Awesome! Have a happy holiday season!
298857472_146936675921174528 x	@theCarlaMarie haha
298857472_144521377284759553 x	@Q102Philly I wish I was standing in line. I also wish I was there to meet the Elvis duran morning show crew!!!!
298857472_144520233107996674 x	@MJarefsky21 Absolutely!
298857472_144519845902417920 x	@JENNIWOWW I second that. Just wanted to say that you are so awesome on the jersey shore and you are real as they come. Happy Holidays!!!
298857472_144519460320063488 x	@JENNIWOWW I dont understand why he left. Hopefully he comes back to seaside!
298857472_144394056313733120 x	@theCarlaMarie Hey Carla, just wanted to say your so awesome on the elvis duran show and you look absolutely amazing as well! Happy Holidays
298857472_144517536338280448 x	@theCarlaMarie Ah, thank you!
298857472_144517468226981888 x	@theCarlaMarie @Q102Philly @ElvisDuranShow I wish I was going to the jingle ball concert. Please let me know how it was!!
298857472_139455241493032960 x	@MJarefsky21 Dude, i totally agree with this tweet, haha!
298857472_133005223563239424 x	@MJarefsky21 Ive been actually looking foward to change the clocks back and get an extra hour of sleep.
298857472_133005021959827457 x	@MJarefsky21 Like me, haha j/k
298857472_133003788146573312 x	@Tbayne21  Hey Trevor, Congratulations on your 1st career win! Enjoy it and i hope there's many more to come in you bright future!
298857472_133003381752078337 x	I believe Kyle Busch got what he desvered! Maybe now he'll think twice before he reacts on the racetrack!
298857472_123107732025901057 x	The NFL redzone channel is freakin awesome!
298857472_115439714860937217 x	@CSNPhilly Thats so awesome!
298857472_115439594580869121 x	Tonight's gonna be a good night! Both the fightin Phils and the Eagles are on tonight!!!
298857472_114533877883731969 x	This episode of Jersey shore was freaking funny as hell!
298857472_114533025387253761 x	@ItsTheSituation The whole show was freaking haliarious.
298857472_113016038467182592 x	@DeenaNicoleMTV @VINNYGUADAGNINO  hahaha!! You guys are awesne and halarious on Jersey Shore!!! Keep it Real!!!
298857472_112320885054124033 x	Just signed up for a amazon.com account. Let the shopping begin, haha.
298857472_108724573574402048 x	@mikestutes i hear ya man! GO EAGLES!
298857472_108724203708100608 x	@VANIMAL_49 Hey Vance, Keep up the great work out there!!!
298857472_108723053852233728 x	just purchased Madden NFL 12 for Xbox 360 and its pretty good so far!
298857472_106427779012247554 x	@DeenaNicoleMTV Its GTL time, haha! You are really awesome and funny on the Jersey Shore. Keep it real!
298857472_105457087521374208 x	It's back to the ol' grind tomorrow!
298857472_93643746633191424 x	@kerrylbarrett @Good_Day_Philly Hey Kerry, Keep up the Great work and try to stay cool in this heat wave and drink plenty of cold fluids!
298857472_92716587647385600 x	@MJarefsky21 I totally agree!!!
298857472_92716257408860160 x	@NASCAR @NHMotorspeedway Hopefully, all of these cars, engines and etc that's going to the Nascar R&D center will pass nascar inspection.
298857472_88568629947404289 x	finally getting my fog lights tinnted (yellow) then probably heading to sugar house casino.
298857472_88782489174282240 x	@MJarefsky21 I got that money put away bud, lol
298857472_88566634284982272 x	@JennFredFOX29 I think Casey Anthony should have been put away for life after what she did to her daughter.
298857472_86036441985060864 x	im getting my windows tinted on the civic Si today and also getting yellow fogs, and tinted tailights, cant wait!
298857472_86036083598557184 x	@RutledgeWood @MartinTruexJr56  Happy birthday martin. Good luck in Daytona this weekend.
298857472_84972401728831488 x	is going to the phillies game this afternoon at citizens bank park! Go Phills and go DOC Halladay.
298857472_83691337341341696 x	@katebilo And you do an awesome job on CBS3 and on the CW philly in the mornings! Keep up the great work!!!
298857472_84057594653716481 x	@katebilo ah, anytime
298857472_82624029634207744 x	@DeenaNicoleMTV  Cant wait till season 4 of the Jersey shore comes on. Will you be on there?
298857472_82622772823588868 x	just installed HID's in the civic Si and it looks awesome! Now I need to do the HID fog lights and window tint
298857472_77508866161639424 x	im finally 21 now!
298857472_76098139572023296 x	@JennFredFOX29. Yes, it's the heat.
298857472_75252618888347648 x	@KevinHarvick congrats on your big win last night in the coca-cola 600! Also, happy memorial day to you and delana!
298857472_75251585554448384 x	less than a week till I turn 21!
298857472_73197423954104321 x	@MTVRonnie Cant wait to see the new season of Jersey Shore!
298857472_73193472831651841 x	@Nicole_Brewer ill most likely spend with the family. How about yourself?
298857472_72449566842167296 x	@MTVsammi Thats an awesome picture. When is season 4 of the Jersey shore gonna start?
298857472_72449004931268609 x	@ToddZolecki Cant wait to see utley come back, its gonna be awesome!
298857472_72448727683575808 x	@AllWaltrip that was intense. I can't believe it came down to the andretti autosport teammates ryan hunter-reay and marco andretti.
298857472_72448229429624832 x	@Elliott_Sadler you did an awesome job out there today. Are you going to participate in any sprint cup races this year?
298857472_72096662667005952 x	@WendyVenturini lol
298857472_72096394646786049 x	@kylepetty ill say!
298857472_72096097102856192 x	@bobdillner I'm glad to see david ragan make to his 1st all-star race
298857472_72085777537974273 x	@bobdillner. That was a very hard impact, glad to see both drivers. Walked away from the wreck
298857472_70935836941750272 x	@Kenny_Wallace that is really awesome! Congrats!!!
298857472_70827407342448640 x	@WendyVenturini Its gonna be a huge all-star week begining with the pit-crew challeneg tomorrow night! Have fun Wendy
298857472_69774131498979328 x	@KevinHarvick Take that 29 budweiser car to victory lane!
298857472_69590502583963648 x	21 days til im 21 years old :)
298857472_398573285384126464 x	@KBarrettFox29 hey Kerry, always nice watching you and Ian on @FOX29philly . Keep up the awesome work you do and take care. ?
