864971269_399580250419773440 x	RT @Eagles: Overheard at Lambeau ... #FlyEaglesFly http://t.co/nbedxwrL32
864971269_395603619728211968 x	RT  @Inova_Software: New blog post! #Pharma 3.0 ? Pharma?s Panacea or Pandora?s  Box?: http://t.co/5j7FaIYzBE
864971269_395598046550974464 x	@PhillyToDo local  business leaders meeting #EY #Philly Business Forum, Nov 20 at #Hilton #Philly.  Request invite: http://t.co/QyLJZtshjO
864971269_395283165792591872 x	What do  countries need to do to encourage #entrepreneurship in life sciences sector?  Latest from @glengiovannetti http://t.co/xJZKPXnEkp
864971269_395276543557373952 x	RT @JimCostanzoEY: 55% of #ACOs use remote patient monitoring; could save $35 billion over the next 5 years, @HealthLeaders reports http://?
864971269_395257730622947328 x	RT  @docweighsin: Health Care Innovation: Primary Care is the New Black http://t.co/s6bz1Mcp1a
864971269_394958643285987328 x	RT @ClevelandClinic: #Diabetes can take a psychological toll, too I http://t.co/WqsmIFthoQ (via @EverydayHealth )
864971269_394885355049984000 x	RT  @GlennBarenbaum: Great day of speakers 8 CPE's = EY Philadelphia Business Forum  on November 20, 2013 http://t.co/QyLJZtshjO
864971269_394878146459082752 x	Sugar  Linked To $1 Trillion In U.S. Healthcare Spending http://t.co/MXfQoiYD4t  via @nickdawson #healthcare
864971269_393817937108144129 x	2013 #EY Philadelphia Business Forum will be held Nov 20.  Speakers from leading organizations & Bill Giles @Phillies http://t.co/QyLJZtshjO
864971269_393809887907438592 x	@Jonathan_Bush  @athenahealth: Healthcare is Broken. Here?s Why. http://t.co/5sqKLMdttd  #healthcare
864971269_393719013349408768 x	"Technology  in Health Care: Thriving in a Patient-Centric Era" by Bobby Grajewski http://t.co/ZRevBZJ32K
864971269_393710058418085888 x	RT  @PharmExecutive: . @BenPharmExec explores how #pharma can Use Data to Influence  Behavior and Predict Outcomes http://t.co/Q4bvJGD15i
864971269_393121048595406848 x	RT  @ldtimmerman: Pharma Showing Interest in Open Systems for Drug Discovery  http://t.co/wEH5I2kLZ2  ? Guest post by @wilbanks
864971269_393112036889985024 x	The  hospital business model built around filling beds is slowly changing. New #EY  blog from @FormanAndrew http://t.co/Tt8zqP97bC
864971269_393092794446671872 x	Why we need healthcare business #innovation more than ever http://t.co/AM1VwYeWi9  via @faisal_hoque @FastCompany
864971269_392991228629090304 x	RT @EY_LifeSciences: Great workshop @ #journEY2013 w/@HowardBrooksEY, Hans Peter Frank/Novartis, Scott Applebaum/Shire & EY's @Iainhscott h?
864971269_392986390402592768 x	Incredible  success in workplace so far RT @JohnSharp: The Science Of Change -health behavior change @ClevelandClinic http://t.co/xcruUzKpiM
864971269_392378076631281664 x	"Funding  into #healthcare #IT is on pace to double over last year," Q3 #VC funding: http://t.co/gnHTuKDy6h
864971269_392371307146272768 x	Better  data means better #health! Incredible impact of #sensors http://t.co/mPMfM2pphs  #infographic
864971269_392359542492631040 x	Is  the next blockbuster patient engagement? #GSK CEO answers #Forbes #pharma http://t.co/ygFP5AUdzc
864971269_392349297347272704 x	MT  @Paul_Sonnier: Big Pharma Collaborating On #BigData To Save The World @Forbes  Healthcare, @GSK CEO http://t.co/o5oMCvDsvY
864971269_391307188628885504 x	RT @pharmaphorum: New Article: The changing environment for #pharma and medtech companies in Europe http://t.co/EhU1QiBXZr
864971269_391287065549082624 x	Some good stats and interesting visuals here: 20 most insightful #health #tech #infographic:  http://t.co/nGwPeh0fAh
864971269_391243297416437760 x	Top 10 innovations for 2014. Includes the bionic eye, gene tests for cancer  http://t.co/t8akgYFaNR by @DeannaJour231 #biotech
864971269_391227042039357440 x	Propelling down a 30 story building for @ey sponsored charity -think I will pass but not brave @JennFredFOX29 http://t.co/kHdsG2tzfP
864971269_390219663407194112 x	Incredible and spiritual experiences can be found in Jerusalem - why did I wait so long to visit??? http://t.co/AmyUORNUxY
864971269_391226759322271744 x	@kycisrael Just left - what an incredible visit - can't wait to come back and encourage others to avoid negative press and experience Israel
864971269_390809188576022530 x	Shire creating quality of life measures in patient trials to differentiate its ADHD products noted at #journEY2013 conference
864971269_390801238520262656 x	@Novartis is making educated bets to develop new business model collaborations says Hanspeter Frank at #journEY2013
864971269_390759616650690560 x	@EY Israel Chair Ronan Barel says 2103 is a banner year for VC backed M&A in Israel, with #lifesciences leading the way #JournEY 17th year!
864971269_390582074236628992 x	Interesting #biopharma #meddevice #collaboration "@KYCIsrael: Israel: Lending a hand in research and development  http://t.co/f6ZfBYMncC"
864971269_390568587334676481 x	Latest blog from @Gautamjaggi: #Medtech?s China syndrome: boosting customer loyalty in an era of commoditization  http://t.co/0qbDhc1cMF
864971269_390554869007785984 x	Looking forward to more from #JournEY tomorrow - agenda here:  http://t.co/kdoKGPERVJ #EY #Israel
864971269_390454805954842625 x	"Pharmas reluctant to do direct trial comparisons-this can lead to huge product differentiation prize"  Risk worth reward? @EY_LifeSciences
864971269_390450044572532736 x	Patient engagement created a shift from product push from pharmas to health outcomes pull by patient says @iainhscott #journey Israel conf
864971269_389858100301156352 x	Interesting perspective on #behavior and 'cultivating basic/essential literacy for #health control in modern world'  http://t.co/lN730dfIT8
864971269_389845913352409088 x	Great use of value mining #bigdata. Scientists can predict disease outbreaks @nealunger  http://t.co/nr37Gia67i via @medicineonearth
864971269_389845465132699648 x	While it's not Malibu, Tel Aviv has incredible surfing, kayaking and paddle boarding from its beach! http://t.co/u4OHKQUb6c
864971269_388739797189021696 x	"Doctors  need to be trained to facilitate the solution", not bring the epidemic under  control themselves. #obesity http://t.co/Fwegv0aiLs
864971269_388721261729169408 x	Encouraging  themes MT @alicewalton: #Forbesrx The discussions were honest, but the tone  hopeful. http://t.co/6yWQuR6qPT
864971269_388712758876708865 x	RT  @HayleySGold How does your county stack up? Check out this interactive map of  health outcomes from @IHME_UW http://t.co/41xyoQoRXW
864971269_388638480667918337 x	Cool  challenges for #healthcare leaders of the future. Addressing today?s greatest  health issues. #innovation http://t.co/sUqfAgzN3H
864971269_388365803742982145 x	Recognise  these? 10 Commandments of Business #Golf http://t.co/kHeldis9fS
864971269_388357416775323649 x	RT @GlenGiovannetti: Consumerism is upon us in healthcare. Direct purchasing of care (vs thru employers) will increase engagement - Humana ?
864971269_388342267657732097 x	6  capabilities medtechs need to succeed at business model innovation and weather  perfect storm in #medtech http://t.co/fCEnhZpvwg
864971269_388315495369150464 x	RT  @ClarkPharmExec How one small #biotech is tweaking the imperfections and  inefficiencies in R&D: http://t.co/HHxzoBqh9Y  #pharma
864971269_388310490469773313 x	RT  @JohnNosta: Wearables will soon analyze your body chemistry to make you  healthier http://t.co/ykc25OpuoP
864971269_388305521180418048 x	RT @ClarkPharmExec: How one small #biotech is tweaking the imperfections and inefficiencies in R&D: http://t.co/r4DwUtgpWi #pharma
864971269_387904442831355904 x	#GSK  RT @Dominic_Tyer: First vaccine against #malaria could be on the market by 2015  http://t.co/Npi8T1Z5mD  #pharma
864971269_387638492894724096 x	Great  interview: How does EY Think About #CSR? http://t.co/33TaV2hNu4  @SkollWorldForum @SheriLBeale
864971269_387630584073158656 x	http://t.co/xRxeZoZGId  RT @Jknisely: Who knew that blood, sweat and tears could start a health care  revolution? via @PeterDiamandis
864971269_387331259493412864 x	See the  latest @EY_Lifesciences blog from @Iainhscott on #medtech and the 'perfect  storm' http://t.co/fCEnhZpvwg
864971269_387307027581526016 x	It?s not  always about luck: 12 Things All Successful People Do http://t.co/Ua07Mm5KKw via  @ilyaNeverSleeps
864971269_387277903601221632 x	RT @jyingling: http://t.co/Rn2iKQDhGs 3 Win Joint Nobel Prize in  Medicine, via @nytimes
864971269_387253314150096896 x	RT @davdittrich: RT @APADivision38: facilitate behavior change? Latest issue of Health Psychology focuses on behavioral economics  http://t?
864971269_386871482778791936 x	RT  @GautamJaggi: Christy Brown: GSK has built "Framework", a platform that uses  #BehavioralEconomics to drive adherence" #NEHI
864971269_385871299685257216 x	Launch of  insurance marketplaces highlights need for innovative technology http://t.co/uRuXNoBxpf #innovation  #health
864971269_385834835484237824 x	"@ReutersUS: Click on your state:  what's your #ACA rate? http://t.co/Yv7E4dLcTE ? http://t.co/b1tTRqzRSe"
864971269_385819595568709632 x	RT  @JoeBabaian Helping Patients Benefit From Biotech Drugs - Forbes #biotech  #pharma http://t.co/pl5wUjUOcs
864971269_385531801193570304 x	RT  @BillFeraEY: As value based payment systems continues upward trend, so will data  analytics. All for pop health. http://t.co/m4bw7McBGF
864971269_385477854072291328 x	Good  read from @lifesciVC. Four big contributors to the booming #Biotech #IPO market  http://t.co/7KtHvEa4Gj
864971269_385464184093155328 x	"preventable  chronic disease now kills more people worldwide than communicable disease" via  @leonardkish #health2con
864971269_385133841804845056 x	@marisadimarc you are certainly more popular and interesting in general!
864971269_385124724029657088 x	MT @EY_Lifesciences @Glengiovannetti: medtech experimenting as never before w new  approaches to create/deliver value http://t.co/vD8vdPc5ac
864971269_385093086658834433 x	RT @Sebelius: RT & get the word out: #Obamacare enrollment begins today & http://t.co/c9LiDFu661 is now open for business. #GetCovered CC: ?
864971269_385077828682674176 x	Has  to adapt. Will shift toward healthcare delivery in "3rd place". 'Will Big Pharma  Adapt Or Die?' @RfwrightLSL http://t.co/IZTdkLNPZi
864971269_385072232688386048 x	RT  @charlesornstein: A Guide to the New Exchanges for Health Insurance, via  @nytimes http://t.co/9uwX7WmWBs
864971269_385059115656937472 x	RT  @mamaglobal: "Connectivity through #mobile can change health outcomes. We need  to lower that cost" - @sherylsandberg
864971269_384321963457392640 x	Inspiration at finish line for #chop @FourSeasons parkway run for pediatric cancer @Phillies http://t.co/BquboEZluW
864971269_383669093636648960 x	RT @Cascadia Technology: is it the cost driver or the cure for Rising Healthcare  Costs? http://t.co/UQLwKTAlI7
864971269_383651694644457473 x	Interesting look at #innovation  @ntaylorthompson. What Markets Do and Don?t Get About Innovation http://t.co/LNV4GD1XTm  #HBR
864971269_383645605198712833 x	RT @RichDuszak: Message for #healthcare is both. RT @hemppah: "You shouldn't focus on changing...behavior; you have have to change the syst?
864971269_383381458271735809 x	For fun - Why golfers get ahead http://t.co/BVLqkUbMFk  #golf #business
864971269_383376070826668032 x	RT @EY_LifeSciences: Reg pressure, resource constraints & changing care system = perfect storm for #medtech sector| http://t.co/VveaI1fAyW ?
864971269_383371642543415296 x	RT @DrWeidner: Embracing the messiness. Lowering Health Care Costs Is Hard bc  Every Patient Is Unique @DShaywitz http://t.co/hVseBHYcWU
864971269_382921024565567491 x	Absolutely!  Shift has to happen at all stages of system. @tobydmc value-based #health care  Inevitable, that?s good http://t.co/QqUKN6I14w
864971269_382834948417155072 x	Good news - why #Biotech is gaining so much investor interest: http://t.co/WaTpc3hdXl  via @genegmarcial
864971269_382600239422521345 x	How is #medtech performing? EY report Redefining innovation launched today. http://t.co/FmxD5JPjMR  #Pulse2013 @GautamJaggi well done!
864971269_382590594540765184 x	Important shift to behavior change business. "We need health care instead of  disease management" http://t.co/u3m6o2YLNp  via @boomerhighway
864971269_382578638593327105 x	Great example for patient-centric care and  empowerment. Redefining Patient Experience w/ Collaborative Care http://t.co/rlOjfYmO6g  #HBR
864971269_382569024090943488 x	RT @ds_griffiths: Biotech IPO window is open and  booming thanks to 4 key drivers via @LifeSciVC @Forbes http://t.co/Kj09pYxxNJ
864971269_382318347850772480 x	What am incredible career @philaphillies pitcher Jim bunning and US senator - 2 dream jobs in 1 lifetime http://t.co/RnSfj9XbVd
864971269_382245798735388673 x	Interesting case study, good share @jasonawolf @HarvardBiz @BerylInstitute
864971269_382241546692595713 x	Increasing role of private sector in #health Millenium Development Goals http://t.co/Nqy1S7vkCY #MDG #GSK #philly
864971269_381536842660982784 x	RT @EY_LifeSciences: Free #EY webcast on 10/16 - hear discussions on deal optimization: tax strategies in refinancings & divestments http:/?
864971269_381137052772728832 x	Really  interesting #bigdata analysis. Complex data, awesome visualizations. short #TED  @ericberlow @sgourley http://t.co/terxuheP0r
864971269_381132481623105536 x	Great  to see collaboration on this scale RT @PHLBizJGeorge PA/NJ #hospitals form  mega-consortium. #Obamacare http://t.co/wkAMoJqUvj
864971269_380786337915236352 x	More nontraditional players entering #health #biotech #prevention space http://t.co/sdn5EzFiMc #innovation
864971269_380770477695725568 x	Why are you not dead yet?' Really interesting article on public #health advances.  http://t.co/NfGya6EMKj  Great @laurahelmuth
864971269_380408842385100800 x	It's about the "why" EY does what is does #buildingabetterworkingworld @EYnews @Mark_Weinberger
864971269_380391186977923072 x	ACA requires focus on enhancing care quality http://t.co/eny5rTkF2m
864971269_380389360819896321 x	A rare alignment of professional and personal interests - 7 Eagle Lessons Shuffling Healthcare http://t.co/hW8WJledeq via @forbes @eagles
864971269_380071493184417792 x	RT @GautamJaggi: @patrickflochel: agreed. And pharma can use #BehavioralEconomics to help patients make better decisions, rather than rash ?
864971269_380070102722293761 x	RT @ByDavidMurphy: Here's what 2014 looks like today for the Phillies: http://t.co/l8DwqB3QPE
864971269_379723554171793408 x	RT @zforce73: Now Xerox is in healthcare business? Indeed, every biz will be in  the health industry 1 way or another http://t.co/FJX63nlkfW
864971269_379712214552154113 x	RT @maureenshaffer: 2013 EY #Healthcare Innovation Report. #3 is #HIT http://t.co/zqqGmHobRK  #healthit Must read for #medtech.
864971269_378609610866708480 x	Great combination of players! Encouraging stats, clear #infographic: New players on the value-based #healthcare team http://t.co/wSI9kWqe36
864971269_378584289794736128 x	RT  @FierceBiotech Trending now: #Biotech R&D spending roars ahead as #BigPharma  grimly holds the line http://t.co/gSfxloIi5u
864971269_378573567438241793 x	Which is a  more important determinant of #health, zip or genetic code?  @Risalavizzo. http://t.co/6LW8OIQKEu
864971269_378210140425424896 x	RT @EY_Africa: Collaboration between government, entrepreneurs and corporations  = success #G20 http://t.co/5Vvg5eLGC3
864971269_378190129283624960 x	RT @PHLBizJGeorge: Beyond Sport Summit in Phila. this week (photo gallery) #socialchange .@beyondsport. .@Eagles  http://t.co/tNiybGgXCy vi?
864971269_375670613269958656 x	@IngmarDeGooijer @Medtronic @AJack @FT We'll continue to see this shift toward health as a  behavior change business for #pharma.
864971269_377869208685514752 x	@IngmarDeGooijer likely all of the above - this is a big opportunity for all parties.  Let's see who is a first mover.
864971269_377821564647272448 x	@christinawlurie "sustainability takes innovation from your organization and your partners to make being green happen @BeyondSport @Eagles
864971269_377818072461357056 x	RT @cassiearnold: Almost 100% of #biotech IPOs this year have taken advantage of confidential filings under the JOBs Act @GlenGiovannetti o?
864971269_377788465708294144 x	@Eagles Jeffrey Lurie says "you can be a good business by doing good things in our communities" Eagles walk the talk.  @BeyondSport
864971269_377784516926251009 x	What a role model @BrianDawkins @BeyondSport - @EYnews joining @EYP promoting using sport for positive social change http://t.co/GVUtrVFmOq
864971269_377502167570972672 x	Great to read about diabetes patients empowered through behavior economics  @DUrbaniak @Pharmavoice @GautamJaggi
864971269_377448204998287361 x	@phillymag Thanks for speaking so well on behalf of all @Eagles fans -the passion is back! #FlyEaglesFly
864971269_377442108237283329 x	Looking forward to fireside chat w @kiyoshikurokawa and David Flores @BioCentury: How Can Japan Better Foster Innovation? @HealthSciDialog
864971269_377439111751417857 x	Insights on the global healthcare market by panel moderated by @GlenGiovannetti at US-Japan HS Dialog - will the bubble burst? #hsd13
864971269_377134952262815744 x	Health is  behavior change business @jpraft @kevinMD http://t.co/9Cj08vzCmA. Behavioral economics  approach to solve #obesity
864971269_377082802355052544 x	RT @SheriLBeale: W/ Barclays Phila Impact Award Shortlist & @Michael_Nutter Community: Give back @BeyondSport @HowardbrooksEY #EYNews http:?
864971269_377064234586505216 x	Wonderful energy @BeyondSport summit today in Philly - so many global agencies using sports for social good @Nickbeyond
864971269_377045953707925504 x	RT @ddiamond: Where healthcare added jobs in Aug 2013 ? Home health: 9.5k ? Doctors' offices: 6.0k ? Nursing homes: 5.2k ? Hospitals: 0.9k
864971269_376753145738559488 x	Another bucket list item crossed off - thanks to PA safety course! http://t.co/R03P9wHWss
864971269_376074619528048640 x	Look out for @EY_Lifesciences Pulse of the Industry #medtech report. Message me for link when it goes live @Advamed2013 Sept 24 #Advamed2013
864971269_376068386465148928 x	Who  will radially disrupt American Health Care? #innovation #health http://t.co/lGnUcPOZti v  @amycedmonson
864971269_376050045226725378 x	Worth  contemplating. RT @afrakt @rvaughnmd: Why is it that innovation increases the  cost of health care? http://t.co/RQ9dDQ67ka"
864971269_376008228556918784 x	Building a better working world with @Michael_Nutter @beyondsport @EYnews @SheriLBeale in north Philly http://t.co/uHcHQYBVh0
864971269_375682748578422784 x	US #entrepreneurs benefit from one of the world?s most highly developed  #innovation ecosystems http://t.co/0FJXB0SPLq @EY_Growth
864971269_375660546470576128 x	RT @RyanMFierce: UPDATED: No end of #biotech #IPO frenzy in sight (w/ more from  me and @JohnCFierce) http://t.co/nPIk3z6BcY
864971269_375333742279000064 x	An unusual combo, Biotech and Fantasy #Football Picks for Fall 2013, by @ldtimmerman:  http://t.co/7QvcM7hZyp
864971269_375315681622777856 x	I see security challenges but what an interesting concept for future #health monitoring/measurement @StephLBaum  http://t.co/YvPYlXYJc6
864971269_375279904167702528 x	RT @GlenGiovannetti: Pls join me and my partners @howardbrooksey & @jeffreyrgreene at the US-Japan Health Sci Dialog Sept10 in Philly http:?
864971269_375059740025311232 x	Great for raising #health awareness RT @23andme: ?Genome - Unlocking Life?s Code,? at the Smithsonian: http://t.co/cCZKvxRlmZ #genetics
864971269_374996107660517376 x	Interesting exploration @devinleonard via @patrickflochel. PE's Hospitals: Business Model  for Obamacare Era? http://t.co/8Jz2EoIG2B
864971269_374845625281818624 x	@GlenGiovannetti Look forward to seeing you in Philly, the life science epicenter, at his wonderful conference.
864971269_373129514823335936 x	One  of the keys to fixing American health care is #communities. RT @CathyArnst  Healthcare is Local http://t.co/yocVdrxF13
864971269_373116820661608450 x	RT  @femelmed: nice piece by @chrisvirginhm RT @healthmiles: Workplace wellness: A  $300 billion productivity crisis http://t.co/oOgdVrfXOR
864971269_373092532512493568 x	RT @iainhscott: To seize social media opps, life science cos need to address risks head on. Great perspective by @frankkumli et al http://t?
864971269_373076948953464832 x	Intriguing  thoughts on the "paradox of choice" and behavioral #economics http://t.co/BFl1MUuiGu @BarrySch
864971269_372459045635911680 x	MT  @EY_Lifesciences: HC/life sciences expected to be among "most acquisitive"  sectors in nxt 12months #EY #Capital http://t.co/s3F35Tb9Sb
864971269_372408783663689728 x	Payer/provider  debate is an interesting one - how much #data to share? http://t.co/DPfxYriiYo
864971269_372385419284848643 x	Interesting implications for prevention MT @ColumbiaPsych: Body Sends Cues to Brain; Understand Them @ShirleySWangWSJ http://t.co/ZbSuD6ieqj
864971269_372086632658124800 x	Great insights @MarkVreelandEY. Three Ways #Analytics can Help #ACO Improve Outcomes http://t.co/uavGwhGqBT #healthcare #data
864971269_372007890141188096 x	MT @phrma: Public-private collaboration in #research can greatly  boost #progress http://t.co/nxluoSDVuR
864971269_371995738449788928 x	Look forward to trying this out! http://t.co/9OBFvlDcIi  Bike share in #Philly by summer 2014. #health @joelmmathis @PhillyMag
864971269_370926286379556865 x	The important value-add: linking #wearables w data analysis and quantified feedback to improve performance  http://t.co/UUa81gmi8O @BE4HC
864971269_370915349543133184 x	RT @skap5: What if innovation is enabling  people to create and use their own data to improve their own lives?  #innochat
864971269_370910626282889216 x	Interesting Qn @jkvedar http://t.co/kL4iGGz3s9. Need to leverage to get  healthiest user behaviors and outcomes #mhealth
864971269_370160038255415297 x	Artificial pancreas in the form of a smartphone - automated closed-loop control  of blood glucose #diabetes http://t.co/Md8ragjVIn
864971269_369996769423548416 x	@richardrahul thanks for the #ff
864971269_369917423849177088 x	@PHLBizJGeorge @KHNews Very innovative approach but will our kids listen to this advice?
864971269_369901946447994881 x	Entrepreneur @sgblank thinks differently about #meddevice and  #digitalhealth: Reinventing Life Sciences #Startups http://t.co/HWFUtW8ih1
864971269_369526579040231426 x	Enrollment  in Health Exchanges Sign-Up Starts Oct. 1, but Consumers Should Start Evaluating  Their Needs Now #WSJ http://t.co/Cgx0cx1qoi
864971269_369509573066907648 x	@_trendspotter  No joke! pill texts doctor - from inside your body - got $88m in VC money http://t.co/TqPxNjNj8h"  - "3rd place" health mgmt
864971269_368756371568590848 x	RT @patrickflochel: Interesting angle for #diversity: people "see" different opportunities for #innovation based on personal values http://?
864971269_368414546907525120 x	#NY  makes progress toward patient portal. First taste of #BigData. #EHR http://t.co/0e7eYk3kmW via  @TPCaruso
864971269_368394413019385856 x	RT  @GrahamClayton: UK-India collaboration: role of #business & R&D  collaboration to support #innovation http://t.co/HJh32z6ZL2
864971269_368376869243994112 x	Insightful blog @DaveDemarcoEY. What does it mean to have values-driven  innovation for value-based care? http://t.co/upMs4nfpEM #diversity
864971269_368351623795314690 x	Definitely more often "@Paulwsj: MyFitnessPal app adds $18m VC  funding http://t.co/tzaUFudPLT if someone funded my gym visits, i might go"
864971269_368049963059511298 x	RT @johnsonwhitney: How to Use Financial Processes to Be Strategic and Transformational http://t.co/aeh22FKTk2 v @wallybock c @marthaheller
864971269_367697196612743169 x	@jackstackbbq  best BBQ in KC if not the US.  Heard you are beloved by new Chiefs coach http://t.co/P4CB9FTiZz
864971269_367355130892390400 x	Incentives are complex. Luckily people are predictably irrational MT  @acsifferlin Cash incentives to motivate people http://t.co/9rl2IQRrir
864971269_367279043210522624 x	RT @healthythinker: Eat fruits & vegetables - it's worth $11 trillion  to you and the U.S. economy @healthpopuli http://t.co/ycCzlZWYpx
864971269_367246567880658944 x	Latest @GautamJaggi on behavioral economics and health. Must-read for thinking about pharma business model innovation http://t.co/wCsBpdLWYl
864971269_367060625127518208 x	Necessary changes incl. #collaboration for early stage R&D,already see more #pharma @matthewherper http://t.co/uCtmc6rIq9 via  @blogaceutics
864971269_367045150855266304 x	RT @pharmaphorum: "True Pharma Innovation Lies  in Quality?not Quantity?of Approvals, say FDA analysts" @PharmExecMag http://t.co/ys9X9HHdz4
864971269_366707578534768640 x	@SheriLBeale @EYP awesome day for community service - glad you made it onto the field this time!
864971269_366254051039510530 x	@RoobCSN chicken or egg - think you teach your best players a new 3-4 D scheme or build the best D scheme that fits the players you got?
864971269_366240553303687168 x	A  complex story behind #genes, #environment, #diabetes and #obesity http://t.co/UpjrwfbqAU
864971269_365886920590503936 x	Keeping #Lincolnfield safe MT @NBCPhiladelphia New security restrictions greet  #Eagles fans this season: http://t.co/EwYdwyhtEh @JesseNBC10
864971269_365809766083207169 x	@edwardshepard: A must read from @nireyal on @medium "Why Behavior Change Apps Don?t Work" http://t.co/FMxUFWxK08  #habit #health #wanna
864971269_365795053056163840 x	Are 90% of  #FDA drugs approved in last 30 years no more effective than existing #drugs?  http://t.co/OOkho59WQO
864971269_365637307769954305 x	This is good news! RT @pharmaphorum Good news Thursday "Cocoa 'might prevent  memory decline'" (BBC) http://t.co/19WPdjA0Rb ? #Pharma100
864971269_365621512163692544 x	Will new era #healthcare impacted by technology, consumerization and #mHealth reduce hospital admissions? http://t.co/Fh58ZYmNcJ  @drnic1
864971269_365617288809947138 x	MT @jackjflorio Health devices http://t.co/aGpwPwG0lq #digitalhealth need to 1st be about maintaining health not healthcare to gain adoption
864971269_364911696189468672 x	No surprise there! MT @anrao - Public opinion on Massachusetts health care - maybe some foreshadowing here? http://t.co/bELSvOqD01
864971269_364909352743747584 x	RT @john_LaMattina New Data Show Most Pharma Projects More Diverse Than Alike -- Which May Not Be Good For Patients http://t.co/O3PnoK2vzY
