1430276245_379696993821396992 x	@DrOz my uncle http://t.co/6btWlmuIbW
1430276245_380766662049280000 x	@EndHouseReport @T_Doherty12 haha, #true heard someone roofied his drink, @RealBradWesley would still be there... #BigDawgAllDayEveryday
1430276245_380765492924784640 x	@BmitchliveCSN my man! U going to be in Philly tonight to Boo #5 ?? i have a tailgate setup, already 15 deep on Bud cans...
1430276245_380763970782494720 x	@ImperialSec @UDPolice it's @sseagalofficial !!! i knew it
1430276245_380754785139314688 x	RT @CliftonElite: @RealRonnieMagro Good luck! First day is the hardest. But check out what hard work can do, this is after only a year! htt?
1430276245_380723183755608064 x	@JonnytheUnit i feel you the Unit, with a face like that, tell the Dr to rework all that... #ugh
1430276245_380722325819113472 x	@hollywoodbox11 i told you my boy @CliftonElite will fight his step-dad Blood Sport style - broken glass on the knuckles!! DM me
1430276245_380526055641317376 x	@VINNYGUADAGNINO wow, deep, #realtalk from moms house
1430276245_380438811668660224 x	@MainLineToday F that, I'll b at the #Clifton bud can event, starts at 8am, we start roofing at 11 #RooferProblemz
1430276245_380438215691628544 x	@EA_Athletics if you guys want a real game me and my boy @CliftonElite play pickup polo in Darby creek @DTMattSmith refs  @DelcoSports
1430276245_380418490575765505 x	@marcsorrentino FUCK yea!! u guys are getting a blimp!?!? Sitch bros are taking over the world!
1430276245_380364015785873408 x	@gonzoCSN hmmm your getting close. Do you count that gerbil that tends to get "lost" ... #jerrypenacoli #uAreWild
1430276245_380355165397590017 x	@Ibatvmc when you gonna drop this news! i've been holding "it" in since you made the announcement...wanna make sure i dont miss it!
1430276245_380349149939367937 x	@PhilMarionField is that the bull that just was arrested up at college? #delcoComesCorrect
1430276245_380327940992409601 x	@ChiefMChitwood Hey Chief, loved the article in D-times about the bike police, n would like to thank the cop in the pic, where is he workin
1430276245_380103709931606016 x	@mor100 #CatLadyProblemz
1430276245_380026831866302464 x	@UDPolice @jackieachtert some guy shit all over the sidewalk #SadButTrue
1430276245_380031618519285760 x	@jackieachtert @UDPolice um, nope...hazMat was called, he "claims" the burrito from #clifton taco bell was roofied... #EatAtUrOwnRisk
1430276245_380026222270377984 x	@CliftonElite @JonnytheUnit @TommyCheeseBal1 DAM the Unit!!! is that for real!?!? #thePeopleneedToKnow
1430276245_380024593861201921 x	@ChiefMChitwood Any truth to the rumor you are a potential running mate of @PaulaBrown185 for the #darby senate seat? #ThePeopleNeedToknow
1430276245_380024156646952960 x	@delcotimes YES! i breed cats and then let them loose all over #delco just one of my hobbies !! #catsRuleDogsDrool
1430276245_380000228499148800 x	@RyanSeacrest @Drake Ask that bull if he b hung like the white side or black side #iheartdrake #realtalk #drake
1430276245_379999135413178368 x	@Dolph_Lundgren NICEEE i got an advanced copy and my uncle has been killing the workout! check his results! http://t.co/9IEgmasljy
1430276245_379998011469754369 x	@ItsTheSituation @TommyCheeseBal1 Sitch u remember Tommy from his Seaside #TrueLife he is #OG of SeaSide - get him back in the game!
1430276245_379996829141569536 x	@JonnytheUnit Yo bro, why did u cut out my boy @CliftonElite from the picture, he b out there grinding wit u all!??! for real check urself
1430276245_379995928968450048 x	@JonnytheUnit i hooked my uncle up with your workout, check his results. everyone says u guys look alike #AbsDontLie http://t.co/7Iv4YzpH0B
1430276245_379994981877837824 x	@MainLineToday in #Delco news, we will be hosting an #MMA session geared for the streets, u drink 5 platinum beers n then fight in the cage
1430276245_379990338862989312 x	@GraniteRunMall @Sears NICE - anything to cook meth?
1430276245_379988005093535744 x	RT @TommyCheeseBal1: @SammiSweetheart Yo girl how you been?  I drank myself into a drunken stupor watching our girl @snooki kill it last ni?
1430276245_379987676780195841 x	@marcsorrentino me and my boy @CliftonElite copped that! we r looking to book @ItsTheSituation for our annual block party, DM me for pricing
1430276245_379779656976957440 x	@JoseCanseco I got ur back diarrhea
1430276245_379760697691111424 x	@JoseCanseco @jschoenwald @dp14fanclub they call you diarrhea, right Jose?
1430276245_379698766204264448 x	@nickhogan4real i feel you, just got my rims, #bitchesBEbrownNosingMyRims http://t.co/TXeDmmm8Nf
1430276245_379697165854986240 x	@mariamarino @UDPolice Sorry about that, next time i will try to make it to the toilet #gastroProblemz
1430276245_379635653761196032 x	@ChiefMChitwood Congrats on joining! first real police ? for u, my neighbor keeps shitting on the sidewalk, should i call @UDPolice
1430276245_379664358663389184 x	@ChiefMChitwood @UDPolice haha, good looking out, she is usually out there around 6AM, just squats and drops, looks around and walks away..
1430276245_379662312824524800 x	@JonnytheUnit MY man, been crushing ur workout routine! #PROOFisINthePUDDING #absDONTlie
1430276245_379662496505688064 x	@JonnytheUnit check my results http://t.co/97C5U1CiuJ
1430276245_379637886401773569 x	@Coorsfan18 @ItsTheSituation @marcsorrentino @frankiestylze #inspiration Cause of Mike, i haven't snorted in like 3 days #respect #change
1430276245_379637578179158016 x	@robertAbooey @Crabbyvamp @jonhein @sternshow that was unprofessional Baba-butt-hole, i think you owe everyone an apology
1430276245_379636442617499650 x	@dmlreporter No doubt! @PaulaBrown185 is planning a huge run! we will be hosting a get-2-gether at #darby hall with boiled hotdogs for all!
1430276245_379634659958611968 x	@nair1212abi @CliftonElite @PBandJenelley_1 for real thx! people always trying to stick me for my papers #biggie #dam
1430276245_379634201911250944 x	@CaseyboyWMMR that my boys step-dad! @CliftonElite DM one of us to get him on the show!
1430276245_379623647775686656 x	@vanillaice Big Ups on Sucking D in Texas, Much love
1430276245_379622836932845568 x	@DrOz LOVE tea, and Cocaine ...when is your show about snorting lines gonna be on?
1430276245_379609735508414466 x	@PBandJenelley_1 @CliftonElite http://t.co/ISMqxSDPHV here is the link she referenced
1430276245_379619064429019137 x	@heartsinlc @PBandJenelley_1 @CliftonElite really? i thought she said this couple is related to Janelle read it again http://t.co/ISMqxSDPHV
1430276245_379621145823047680 x	@heartsinlc @PBandJenelley_1 @CliftonElite this is #realLIFE #SadButTrue
1430276245_379609545800040448 x	@PBandJenelley_1 @CliftonElite it said in the #clifton press you had a #ThugLife tat and your parents just got arrested
1430276245_379344277530484736 x	@JohnBolaris you should be a weather man with insight like that
1430276245_379587316987494400 x	@cfrey27 @JohnBolaris sounds like Saturday night in #clifton. As long as he didn't shit his pants, it's no big deal.
1430276245_379578471800115200 x	@hollywoodbox11 @justinbieber @FloydMayweather u need an undercard? My boy @CliftonElite fights his stepdad every Sunday night, #LetsDoThis
1430276245_379577364558381056 x	@JessicaSimpson Man U guys must have cut through that bag of angel dust!! Congrats !! #lamar
1430276245_378711083785420800 x	@Callahan51E been working out with my boy @CliftonElite
1430276245_378707141710053376 x	@Callahan51E please, check yourself. My step dad is on revere rd #getatme
1430276245_378706859605385216 x	@Callahan51E I'm a zubaz stripe pants guy
1430276245_378705789168680960 x	@Callahan51E the one and mother f'ing only #clifton
1430276245_378666621155704832 x	@deebs842 @CliftonElite possibly, I'll be taking a few early morning jumps off the trestles ... N then maybe I'll swing by,
1430276245_378644433866346496 x	@RealGlenMacnow ha! I'll b snorting lines off urinals @ the bungalow
1430276245_378642515056148480 x	@CliftonElite @deebs842 I feel u Francis, been known 2 work that 2 way mirror ... Fighting the 8 year old zoo kids 4 a lil adult reading
1430276245_378637319441752065 x	@deebs842 @CliftonElite that is going 2 for 2 in my book, i recommend the bouncy slam court @ putt putt, been known 2 crush springfield kids
1430276245_378596431008768000 x	@EndHouseReport Yo man u keep keep listing to this suspect music we may have to pull ur Clifton card @RealBradWesley @CliftonElite #GNR
1430276245_378610204688273408 x	@RealBradWesley @CliftonElite @EndHouseReport bout time some real zoo music came out!!! #getatme
1430276245_378599319764357120 x	@OHara_Football Big game tonight! lets show 'em what you got!!! and keep it with 35
1430276245_378595340498132992 x	Dam @sseagalofficial why did @SpiderAnderson diss your amazing self http://t.co/SgreO5fCwN #AintNObodyUPSTAIRs
1430276245_378594937253552129 x	@CaseyboyWMMR hopefully they are removing your weak-ass from #delco
1430276245_378578498429792257 x	@vanillaice my Ninga bout to drop bombs! #didUstop nah #iJUSTrolledBY
1430276245_378593023564578816 x	@vanillaice seriously i can't get a retweet?? U chicken-shit-fuckin-pussy-asshole #seagal #aintNObodyUPstairs
1430276245_378590434190041088 x	@UDPolice haha! mom said u cut her off...#2sides2aStory
1430276245_378583155017396224 x	@deebs842 F'ing RIGHT, ill make it rain with Clifton #shrimp for everyone! http://t.co/PpSII5WuZg
1430276245_378579366222901248 x	@CrossFit Hi guys, been killn the #crossfit workout, I had a quick question, has this ever happend before? #lifestyle http://t.co/FyVieUZqry
1430276245_378577744595927040 x	@RealBradWesley @wbender99 @TheDelcoDude @CliftonElite Dam Bill, why they tryn to stick u for your papers? #lifeONtop #truth #TrayvonMartin
1430276245_378542091648778240 x	@UDPolice @CliftonElite @CaseyboyWMMR @RealBradWesley @TheDelcoDude @Ibatvmc it's settled he will down the pike like http://t.co/GrLPRqloyu
1430276245_377142889593065473 x	@Drake http://t.co/f3BBbINVDe my bad, check it out
1430276245_378537905129410560 x	@RealBradWesley @CliftonElite @CaseyboyWMMR @TheDelcoDude @Ibatvmc Good call Brad, sorry Casey, get 1 last look at'em http://t.co/US12f9qNo1
1430276245_378531075577769984 x	@CaseyboyWMMR @CliftonElite you are only allowed to to go the Springfield Gaetano's, the lesser of the two...sorry
1430276245_378286834012659712 x	@TerryToohey hope ur not wearing a white shirt and white shorts... But if u are... Game on...game on!!!!!
1430276245_378268875231858688 x	@donovanjmcnabb so be real, what were U snorting last night
1430276245_378268643983110144 x	@donovanjmcnabb @AnquanBoldin @UnderCenterNBC @NBCSportsRadio u sure it was him and not @caplannfl
1430276245_378267205303287808 x	@sportsdoctormd dam! Dem bulls b restless
1430276245_378266736594006016 x	@donovanjmcnabb @BobbyValentine @UnderCenterNBC @NBCSportsRadio u sure it's not @abcnews
1430276245_378265503841943552 x	@OHara_Football word is la salle is -21 against you guys... Any chance you guys come close? I have a case of bush pounders on the game
1430276245_378242936003391488 x	@DTMattSmith gimme a line on that Ohara la salle game ... La salle -21?
1430276245_378258952729165824 x	@DTMattSmith as long as it is a case of bush pounders ... I'll be there in the parking lot if u want to tie one on before the game.
1430276245_377925004299890688 x	@DTMattSmith @DelcoSports good looking out Matt, even though u block me, OHara is bad and the coach is worse. @OHara_Football
1430276245_377933759225819136 x	@DTMattSmith haha, come on let's b real, you strike me as a Wallingford kid, parents take him to the country club, u prolly still wear crocs
1430276245_377940769891713024 x	@DTMattSmith my bad, #respect I hear u on the girl front, I heard Verna impregnated like 8 B-cliff gorillas over there, made the BFs watch.
1430276245_377949555020804096 x	@DTMattSmith I assume Verna wasnt in a 10 mile radius when u made that move. Or it was a fringe springfield kid spending the weekend w dad.
1430276245_377934950194249728 x	@DTMattSmith heard u wont drive into UD unless big @TerryToohey escorts u, any truth?
1430276245_377924124972421120 x	@RealBradWesley @gregorydjohnsen @EdMorrissey @CliftonElite For real, those Swarthmore college grads can eat a dick #eatAdick #clifton
1430276245_377873482832310272 x	@CliftonElite For real @LilyScarlett91 and check out my last DJ party, we got the whites up there getting loose! http://t.co/B6pGzjSfW6
1430276245_377854926119903232 x	@JungleGeorgeVI @JungleGoldScott Yo guys, i found some Indian arrows heads out back my crib, $75k buy-in, u bring ur own shovels,
1430276245_377801907638521856 x	@FunThingsDelCo Now this will be a party!! FO-croft throws it down! bring ur weed and shit, we bout to get loose!
1430276245_377793941552115712 x	@FunThingsDelCo ill be there, drinking High Life cans, check me out in the jean shorts and mesh tank, #radnorISsoft #cliftonCOMINGtoTOWN
1430276245_377769495043264512 x	@MGolicJR57 Mike any interest in playing rough touch football now that u r a free agent? Clifton Heights, we can let u go both ways, DM me
1430276245_377602448418148352 x	@BigDaddyGraham William Reed, check the stats!!!
1430276245_377485911895724032 x	@markwusinich @UDPolice Chitwood might help UD residents, not those that work for him. he will throw u out on the street #CHITneedsTOgo
1430276245_377452500531412993 x	@ItsTheSituation literally just called to get help, no more coke snorting off urinals #SITCHspiration ...
1430276245_377448075754627073 x	@JoseCanseco @dennisrodman you really want to end the world?
1430276245_377447542369161216 x	@LesBowen @Angry_Amishman @CrossingBroad BOOM!
1430276245_377447986726309888 x	@LesBowen @CrossingBroad Les just shit your HOUSE #cantBUYmeLOVE style http://t.co/HoWtLXj7H8
1430276245_377446692578025473 x	@ItsTheSituation i feel u homeboy, been snorting coke off urinals for 2 years, bout to help. #inspiration #lamar
1430276245_377444918131556352 x	@CliftonElite @LilyScarlett91 Are you guys looking 4 a DJ, we hold DOWN the party, check our most recent gig http://t.co/RXN6V1jK0U
1430276245_377132263491649536 x	@RealBradWesley @DelcoGrubNChug @CliftonElite Mom has the best recipe, she lets the live shrimp swim in the Mac n Che http://t.co/CArYpGnDx2
1430276245_377134734918160384 x	@CliftonElite @RealBradWesley @DelcoGrubNChug it was great, sad to see all those #clifton shrimp get boiled though http://t.co/r1RAcPtp6n
1430276245_377228069800779776 x	@DelcoGrubNChug @CliftonElite @RealBradWesley believe dat, now only if my man would show some luv @Ibatvmc boiled clifton shrimp on pizza?!
1430276245_377177505503137792 x	@WEXP_RADIO question, who is the leading tackler in LSU football history?
1430276245_377184794289111040 x	@WEXP_RADIO seriously, it shouldn't be that hard of a question.
1430276245_377191443406012416 x	@WEXP_RADIO after u answer the first Q, who holds the record for most INT's in 1 game.... And total tackles in 1 game....
1430276245_377193831722385408 x	@WEXP_RADIO seriously do you not have google ?
1430276245_377154869548695552 x	@eddiemurphy LOVE the TUNES! my #mixtape is out too - check it http://t.co/f3BBbINVDe
1430276245_377154454107066368 x	@DrOz it was awesome!!!!! i even made a #mixtape about ur show!! http://t.co/f3BBbINVDe let me know what u think!
1430276245_377153154384543745 x	@iamdiddy My mix tape got 600k views in 2 weeks! u signing new artists? http://t.co/f3BBbINVDe #theNEWnotoriousBIG
1430276245_377150420772089856 x	@Paula_Deen ill b there! will be traveling from Clifton #delco plus i will be performing close by! http://t.co/f3BBbINVDe Come out n C me!
1430276245_377143757088370688 x	@TangieHitz word, we r a package deal, my boy @CliftonElite dances N i hold down the verses. Did u check our mixtape? http://t.co/f3BBbINVDe
1430276245_377145625847930880 x	@CliftonElite @TangieHitz Chec out our most recent gig, people r still talking about it http://t.co/RXN6V1jK0U #clifton #thugLife #truth
1430276245_377149828158865408 x	@CliftonElite @TangieHitz full disclosure, my baby-momma is in the pink velvet pants http://t.co/RXN6V1jK0U she b #holdingitDOWN
1430276245_377149227270287360 x	@CliftonElite @TangieHitz @TheDelcoKids believe dat, catch us in a cypher wit anybody, 600k views! #getATme http://t.co/f3BBbINVDe
1430276245_377138263380590592 x	@RealBradWesley @Ibatvmc @RealGlenMacnow @TheDelcoDude No doubt, i like the Clifton #shrimp still kinda alive, Marc? http://t.co/Ht0a0TSVYn
1430276245_377146798533390336 x	@Ibatvmc a delicacy of clifton. a worldly man like u would appreciate it. check out these live shrimp n mac/chee dish http://t.co/B61CGoP75h
1430276245_377143382759321601 x	@MCHammer U signing any new artists? me and my boy @CliftonElite just cut a #mixtape 600k views http://t.co/f3BBbINVDe let is know
1430276245_377142145942966272 x	@Drake Yo u signing any new artist? my mix tape has 600k views #getATme
1430276245_377142771850571776 x	@vanillaice you signing any artist? my #mixtape has 600k views, looking to get a deal http://t.co/f3BBbINVDe let me know
1430276245_377142460733853696 x	@PlatinumDJG @GreenHitz word word, my mixtape b in the clubs locally, 600k views on youtube, #spinTHATshit http://t.co/f3BBbINVDe
1430276245_377141609877348353 x	@NickyStix018 yo chec my mixtape, @MeekMill viewed it...hope to have a deal soon http://t.co/f3BBbINVDe
1430276245_377140969742688257 x	@MacMiller yo, check my mix-tape...got 600k views! me and my boy @CliftonElite  http://t.co/f3BBbINVDe
1430276245_377138551105654785 x	@KrisJenner @QVC AWESOME! Congrats! Tell Lamar to stay out of the trash-picking while there #crackISwhack
1430276245_377137612915355648 x	@RealBradWesley @Wolski32 Nah, he is a Sonoma guy. i copped this pic of him from his weak-ass facebook page http://t.co/xbHm3nwYyt
1430276245_377136722754035712 x	@MattChandik @DelcoSports he realized that #cliftonROUGHtouch FB was more competitive, so he is playing for us now.
1430276245_377133710262276096 x	@RealBradWesley im pretty sure i seen @Wolski32 shopping for clothes @Kohls he said give me everything on that #mannequin even the loafers
1430276245_376381681701490688 x	@DennisDeitch you got slimed!!!!
1430276245_376380883357667328 x	@prestonelliot @lumpyspacederp whoa, rough night?
1430276245_376376535386947584 x	@NickMcIlwain1 looks like a swamp
1430276245_376376316444303360 x	@Ibatvmc don't forget about us Marc!! @CliftonElite @RealBradWesley where we meeting?
1430276245_376375918509686784 x	@prestonelliot awesome!! When u gonna perform ur karate demo with ur class? My friend is in ur class said u rock the house! @CliftonElite
1430276245_375688207569911808 x	@Ibatvmc that is rather bold mark, i assume you havent tried gaetano's clifton heights, cause if you did you wouldn't have said that
1430276245_376004341163122688 x	@CliftonElite @dsn112 @Ibatvmc Dave seriously!! Marc is Bi and doesn't have time for your local BS. #gotURbackMARC #hittingFROMbothSides
1430276245_376014209319845889 x	@RealBradWesley @Ibatvmc @CliftonElite WOW, touch? brad, we have a scandal on our hands... Marc your serve.
1430276245_376128902667988992 x	@Ibatvmc @RealBradWesley @RealGlenMacnow glen school Marc on gaetanos pizza please
1430276245_376375499196735488 x	@RealGlenMacnow @Ibatvmc great exchange, let us know what house we r meeting at @CliftonElite @RealBradWesley should b fun
1430276245_376350992654417921 x	@Ibatvmc @CliftonElite @delcotimes I will. Go snowden on the this it was @DennisDeitch from @delcotimes
1430276245_376358486789349376 x	@CliftonElite @Ibatvmc Marc he is one of the top toy collectors on the east coast, he doesn't like to brag, show him the collection Francis.
1430276245_376360054142029824 x	@CliftonElite @Ibatvmc I think that speaks for it self Marc. Some of those are edible, u should consider a pilot show w Francis n his mom
1430276245_376359158859460608 x	@RealGlenMacnow @Ibatvmc nice, Marc be ready Glen is going to come correct!! #eastcoast #delco @CliftonElite @RealBradWesley
1430276245_376358740217569280 x	@Ibatvmc @DennisDeitch how does that slime taste Den!?! #doubledare
1430276245_376358179887906816 x	@Ibatvmc @RealGlenMacnow game on glen!!! @CliftonElite @RealBradWesley
1430276245_376356228714487808 x	@DennisDeitch @Ibatvmc double dare Den! U have been slimed!!! @RealBradWesley @CliftonElite
1430276245_376350315400134656 x	@prestonelliot will you b performing ur karate in the middle of mall with the rest of your class?
1430276245_376349817506914304 x	@RealGlenMacnow @Ibatvmc I knew you would come correct Glen, Marc a little premature, no?
1430276245_376349549604122624 x	@Jeff_McLane @SI_PeterKing Jeff, Peter will blacklist guys who call him Pete, I know a guy @DennisDeitch who was on the brink of SI, #sad
1430276245_376184258010021888 x	@Ibatvmc @RealGlenMacnow Marc, Glen is a host of the 3rd rated sport show in Philly (3-6). He deserves respect even if he was never slimed
1430276245_376144410716938240 x	@RealBradWesley @Ibatvmc Marc give brad credit, that was pretty good
1430276245_376144098945925120 x	RT @ChrisVito: O'Hara has not opened a football season 0-2 since 1995. That could change tonight. #delcofootball
1430276245_376124134063099904 x	@Ibatvmc @RealBradWesley Marc! Dam, u look like u have been working out too!! Owning it!!
1430276245_376058659744137216 x	@RealGlenMacnow NICE! ask him why he sucked, and if he plays rough touch FB...
1430276245_376069528423505920 x	@theChrisTremo @RealGlenMacnow so what I had 15 Ints for my rough touch league last year, stats aren't everything
1430276245_376105580152508416 x	@theChrisTremo @RealGlenMacnow point is even with 15 picks we finished 4-6 stats r not everything ... Do u workout?
1430276245_376104308372410368 x	@theChrisTremo @RealGlenMacnow easy... With a build like yours, we got a O-line position open 4 u
