393073787_318690009618194433 x	@theneilplumley congrats Cuz!!!
393073787_327027582975483904 x	"College Football Playoff" has been selected as the name for the College Football Playoff..thx for the info on the bottom ticker @espn
393073787_326762167141548032 x	Concern over Milliner's injury history is being propagated by #nyjets so he slides to 9. You heard it here first, folks. #nfl #nfldraft
393073787_325742589833801728 x	@gregryancox : A study suggests that keeping cats can increase chances of developing mental illnesses and cause suicidal behavior in women.?
393073787_325721539649609729 x	RT @DadBoner: Should sell 12 packs with 4 Sam Adams & 8 Bud Lights. Tasties to start and domestos for smooth sailin' home. Call it, "Th?
393073787_324154816219709441 x	RT @DannyAmendola: I will DONATE $100 for EVERY pass I catch next season to whatever "Boston Marathon Relief Fund" there is. And $200 fo ...
393073787_324154576875945984 x	@_branDUNE not trying to lose my job in my thirties for a cool tweet I sent in my twenties
393073787_323942632013299712 x	BEN REVERE.....YOU ARE THE MAN!!!!!
393073787_323151255356719107 x	jesus can we please just watch the masters
393073787_323136894072406016 x	RT @Onesi3: -1 thru 1, beat it @chambleebrandel
393073787_323131917321007104 x	RT @DennisDMZ: To think the Masters has turned into the Warren Commission over a couch potato in his undies bitching about a foot and a  ...
393073787_323127234619645952 x	@BernieRevel haha dude me and @gregryancox keep bringing up end of thurs when he proclaimed he was going to kill it bc of soft greens oooops
393073787_323123751891922946 x	Rooting for @TigerWoods more than ever after all of this riff raff
393073787_322895787401043968 x	Chase Utley...YOU ARE THE MAN!!!!
393073787_322796127118295040 x	S/o to #watchespn app for allowing me to get paid while watching #themasters
393073787_322488051592990720 x	Must win games for the flyers for the past 2 weeks and they still make stupid fucking mistakes. Changes coming to this team before next year
393073787_322478169884094466 x	RT @robdelaney: Louis Vuitton luggage is a good way to let everyone at the airport know you?re a fucking disaster.
393073787_322102894709051392 x	If you're not rooting for #tiger this wknd, you're either 1 of those babes he didn't break off in his slay rampage or you don't like sports
393073787_319499900234653696 x	RT @ManlyAsshole: Friend zone? HAHAHAHA!!!! WHAT GUY WANTS TO BE JUST FRIENDS WITH A GIRL? NO FUCKING BODY, THAT'S WHO.
393073787_318481326892277760 x	How much half-digested Easter ham just hit the porcelain after watching that Louisville injury?
393073787_318431855957401600 x	Mitch McGary jersey on back order. Dude is a #beast! Reminds me of my CYO senior days... #SJB #wolverines #marchmadness #NCAA2013 #final4
393073787_318418145998168064 x	Winter Is Coming!
393073787_300809013287862272 x	@Ike58Reese haha Ike I was blown away too!! She is smokin!
393073787_318420014715793408 x	@theneilplumley haha happy Easter dude, we should at gmom & gpops in FL looking around the house for our Easter baskets
393073787_317841079124754432 x	Have a bad feeling for #FGCU that Billy Donovan is gonna come out and show  why he is one of the best coaches in the nation #marchmadness
393073787_317836037852385280 x	#FGCU needs to toughen up on the boards, maybe some 3v3 rebounding drills with aug? @GregClark12
393073787_317835299076067328 x	#FGCU needs to be smart with their half court offense... #gators slowing tempo down, could be trouble #marchmadness #NCAA2013
393073787_317834978656403456 x	RT @CarsonD33: If you love America, you're rooting for Florida Gulf Coast
393073787_317834927427186688 x	RT @NimaOmidvar: Funny there will be more playoff basketball games at Cowboys Stadium over the course of Tony Romo's new contract than p ...
393073787_317818316951539713 x	RT @mjcampo: Burke !! #NCAA2013 #marchmadness
393073787_317795890159054848 x	RT @YourFavWhiteGuy: BREAKING: The Dallas Cowboys have signed a deal today agreeing to suck for at least six more years.
393073787_317234736600862720 x	@_branDUNE heat streak is over
393073787_316924770409119744 x	RT @mstairs12: Biggest homerun I ever hit. Party on Philly http://t.co/AMst8uP0Cw
393073787_316714235491123200 x	Tommy McBride getting some FaceTime! #sjbfootball
393073787_316713360425111553 x	Come on girls finish it!!! #ud #gohens #ncaaw
393073787_316694252195282945 x	Wonder if I could bet the over in total fouls called this game #ncaaw #ud #gohens
393073787_315291084915892224 x	RT @TheFakeESPN: CBS to suspend Charles Barkley for clogging toilet during 7th straight halftime report.
393073787_312731670568632322 x	Fair for cuse just sent this game to OT. What an idiot. #BigEastTourney
393073787_312629792719646720 x	"Mc 10:35" is a secret McDonald's item, served exactly at 10:35am. It's an Egg McMuffin combined with a McDouble.? Incredible
393073787_312252638009909248 x	RT @BarstoolBigCat: Every morning I wake up, my appetite for burritos has been completely renewed.
393073787_310961902194937856 x	RT @thesulk: Sunday is the landing vehicle ride to Normandy Beach.
393073787_310106216330301440 x	RT @DadBoner: Happy Friday to ya, you guys.
393073787_309841083980980225 x	Tale of two periods, been like this all year!!! Need to get consistent if we want to be contenders. Need to pick it up n play w more #JAMMM
393073787_309829360125353984 x	See ya fleury you bum!!!! #JAAAAAAAAAAAAAMMMMMMMMMM
393073787_309104483793788928 x	Tic tac goal!!! #JAAAM
393073787_309099049410232321 x	#letsgoflyers
393073787_308289825738457088 x	@joe_celano nephew margs are on point all the time...as long as you go rocks
393073787_307971622659293184 x	#unsweetenedicedtea @RealMikeBerry @fonty_burns
393073787_307771569760006144 x	Unless you're a #ravens season ticket holder stfu about #flaccos contract...you're not paying the tab let #biscotti spend his $ how he wants
393073787_307271078630264833 x	RT @jontylerplumley: My cousin left for Kuwait today #hero #prayforourtroops #USA
393073787_306203157883654146 x	McGinn is a tough kid...took his lumps in that one but damn he is a solid young player #orangeandblack #flyersnation #JAAAAAM
393073787_306192481744216065 x	@Onesi3 @BernieRevel @TJoneill3 @bcl0010 got a 1st time attendee at Wells Fargo tn  -> @gregryancox bringin the #JAAAAAAM
393073787_306191426318921728 x	@gregryancox first #flyers game, man. Hope you brought your #JAAAAAM, man.
393073787_305895893771644928 x	Charlize
393073787_304457361739898881 x	?@BadIuckBrian: Pops a molly. Doesn't sweat.? @gregryancox @fonty_burns @RealMikeBerry
393073787_304448770161115136 x	Marissa Tomei in My Cousin Vinny is top 3 hottest movie babes of all time #costanza
393073787_304430260676612096 x	RT @Onesi3: Eat Shit Pittsburgh! #JAM
393073787_304430216841940992 x	RT @Onesi3: @TJoneill3 @billdoherty3 @bernierevel Yesssssss. JAMMMM babyy! What a W!
393073787_304423861687033859 x	@TJoneill3 @Onesi3 @BernieRevel gotta put the nail in the coffin on this PP
393073787_304427861660545025 x	@TJoneill3 @onesi3 @bernierevel this game is taking years off of my life
393073787_304426161155497985 x	What the fuck is going on
393073787_304425213934833666 x	FUCK
393073787_304424698421321728 x	RT @Onesi3: @TJoneill3 it's gotta be named Simmer hat trick if he scores again. Trademark that. 3 goals, assist, and an ass beating.
393073787_304424627088801792 x	Come on knubes
393073787_304422818492325888 x	@TJoneill3 @Onesi3 @BernieRevel and just like that boys!!!!
393073787_304422597297319936 x	@TJoneill3 @Onesi3 @BernieRevel on our heels a little bit gotta pick up the #JAM
393073787_304414653721755648 x	RT @TJoneill3: Hell yea! Jake the snake!!!
393073787_304414545819078657 x	Booooom babyyyyyy
393073787_304411724054941696 x	@RinaldoZac hittin any black jersey that moves!! Bringing the #JAAAAAAAM
393073787_304401755972702208 x	What a period!!!! Best rivalry in sports!!! #letsgoflyers #flyboys #JAAAAM
393073787_304400535635755008 x	RT @AvianL: #RivalryNight
393073787_304400514693611520 x	RT @Onesi3: Greatest rivalry on ice. Lets go Flyers!
393073787_304397355111833600 x	#JAAAAAAAAAAAAAMMMMMMMMMM
393073787_303627198722617346 x	#captainclaude backs up his words and leads the way! Big win #flyers way to bring the #JAM
393073787_302153607518756865 x	RT @DadBoner: Wanna say a special 'Tines Day "what's up" to all the thick & juicy, all natural, USA babes from coast to coast. XOXO, ...
393073787_301510496899702784 x	RT @DadBoner: Really lookin' forward to 'Tines Day, you guys.
393073787_301196633377472513 x	HBD to @RGIII from a lifelong Philly Eagles fan. Even tho we are NFC east rivals I have much respect for ya bro. Get well soon...
393073787_300772492950253568 x	@_branDUNE "deshi" "shit" hahahaha
393073787_296308788565245952 x	RT @mjcampo: NFL = big business, masculinity, risk taking, uniquely American. Who hates all of these characteristics? The left. #NFL #na ...
393073787_296308703064387584 x	?@joe_celano: Really enjoyed telling a cop to " go home and fuck yourself " last night.?go home and fuck yourself, sir!
393073787_294632496178528256 x	@TJoneill3 @bcl0010 @markagnew88 @onesi3 lets close it out boys!!!! #orangeandblack #flyersnation #flyguys #JAM
393073787_294482495150387200 x	@BernieRevel @onesi3 @bshaw302 Thursday is a #josbanks signature gold kinda day
393073787_294479516162732032 x	@BernieRevel you won't look back...ask @Onesi3....changed his life
393073787_294432748364496897 x	@_branDUNE signature #doherty schnoz man, chicks dig the man beak
393073787_293935223744372736 x	RT @BillfishReport: Great underwater photography of a Sailfish from Capt. Antonio Amaral on the Wahoo down in Brazil. http://t.co/8MMd3unI
393073787_293354939063861249 x	RT @jacko2323: The Red Sox haven't won the World Series since the Mitchell Report and the Patriots haven't won the Super Bowl since spyg ...
393073787_293186211240083456 x	RT @Ike58Reese: Flacco's inner thoughts right now: Did I really kick Manning and Brady's ass in their own house to get to the SUPER BOWL ...
393073787_293169297923112961 x	Patriots get the most preferential referee treatment in all four of the major sports. The Brady slide, hits on NE WRs...bullshit #nfl
393073787_292741324191444992 x	@TJoneill3 @MarkAgnew88 @BernieRevel @jonesy2434 @bcl0010 need a little more #JAM boys..get the legs movin! #flyersnation
393073787_292730448411492352 x	Kings ring and cup presentation (again) was a travesty a sham and a mockery...put on the Flyers game
393073787_292723515394781184 x	@MarkAgnew88 @tjoneill3  @gregryancox @kpdon26 @prancer1001 @bernierevel @jonesy2434 dont 4get the oldheads cox n don don't even like hockey
393073787_292715007047778304 x	?@TJoneill3: #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM #JAM
393073787_292661331218280448 x	RT @Psycho__T__: FLYERED UP! LETS GO #FLYERS #hockeyisback
393073787_292649888695607296 x	@C_Giroux28 @Hartsy19 lets go boys!!!! Set the tone early!! #letsgoflyers #orangeandblack #flyersnation #flyers #JAM
393073787_292649498474315776 x	@Simmonds17 Lets Go Simmer! Lets Go Flyers!!! #orangeandblack #flyersnation #JAAAAAM #JAM #crosbysucks #malkinsucks
393073787_292479165041614849 x	#banned
393073787_292365983799193601 x	RT @TFLN: (603): Just realized I probably only have one more wedding where I can say I fucked the bride.
393073787_292335334103060480 x	?@RyanWarner7: What to do today??work on your pass rush moves
393073787_292005072362147840 x	@_branDUNE what a Bose ass pic!
393073787_291346482156679172 x	Hail Captain Claude!!! #flyers #jam #orangeandblack
393073787_289861027191996416 x	RT @jensenoffcampus: Best hire for Delaware football: Bill Zwaan would get his alma mater to playoffs every year.
393073787_289504922834178048 x	RT @DadBoner: Really lookin' forward to the weekend, you guys.
393073787_288994804010995713 x	@TayJillHad #morningcommute #workinggirlproblems #corporateamerica haha
