877099578_393230844258557952 x	Come wake me up..
877099578_394860646350614528 x	@hmh_622 yeah, I'm sure that's Exactly what he does, walk.
877099578_394861042179649536 x	@brittgeist @hmh_622 yeah we all know he hires someone to give him a piggy back ride
877099578_394695883465293824 x	Catdog ??
877099578_394691533061898240 x	@brittgeist I feels you.
877099578_394692073732833280 x	@brittgeist damn. Lucky you though lol go to sleep then B
877099578_394692375219408896 x	@brittgeist ???
877099578_394693151983538176 x	@brittgeist ?
877099578_394684469380009984 x	I'm so mad at my dogs right now.
877099578_394656004383600640 x	Watching "Teeth"
877099578_394680653255430144 x	@brittgeist it was odd lol and funny
877099578_394682724390170624 x	@brittgeist not at all!!!!!
877099578_394621979619102720 x	RT @BroHumour: Being in the Friend Zone is like an employer turning you down for a job, then calling regularly, bitching about the person t?
877099578_394621913781108736 x	RT @BroHumour: I'm more confused than sperm in an asshole.
877099578_394621901030440960 x	RT @BroHumour: Using y = mx + b to measure the slope of that ass girl.
877099578_394610912335646720 x	Fish fry!
877099578_394598244635787266 x	@Finger_Poppin @Allen_Nik are you trying to insinuate grammar nazi?
877099578_394593173126660098 x	Spending some much needed time with my cousins playing Sly Cooper 3.
877099578_394511644828499968 x	@chelsrg it's 48* ..
877099578_394512037457309696 x	@chelsrg it's 48 degrees outside..
877099578_394516315257311232 x	@chelsrg lmfao oh I was gonna say..
877099578_394542529955106816 x	@TaraLinnetLong @chelsrg lol gay
877099578_394542662889385984 x	@TaraLinnetLong @chelsrg lesbian?
877099578_394543765404147712 x	@TaraLinnetLong @chelsrg I mean, I'm not against that.. Just stating facts. Lol
877099578_394515290110705664 x	RT @EmojiDictionary: Emoji: ?  Def: A depiction of the male penis  Sent: Eric ? slapped Jessica for eating his left over Taco Bell
877099578_394515088406634496 x	RT @EmojiDictionary: Emoji: ?   Definition: whine and dine   Sentence: eat her till she cry, call that ?
877099578_394512305876004865 x	But dat AHS: Coven doe..
877099578_394493928725942272 x	Last night was good
877099578_394372509060956160 x	@Allen_Nik I said sorry Nik :(
877099578_394318748699484160 x	Well that's awkward.
877099578_394313788171632640 x	Well I thought everything was okay given the circumstance ?
877099578_394214056489648130 x	Oh Steel Panther, you always could put a smile on my face
877099578_394213896438812672 x	Wham to the bam to the thank you ma'am
877099578_391588492859297792 x	Hoorah racist bitches!
877099578_394213080575799296 x	Calm down, don't want any false starts, I can do without the time apart so I'm ready when you are
877099578_394209538703753216 x	You're my downfall, you're my muse, my worst distraction, my rhythm and blues
877099578_394207289747337217 x	Anyone else think the "Apocalyptica " Album cover for 7th Symphony is quite eye appealing?
877099578_394202245912211456 x	I'll open up and be your parachute, and I'll never let you down
877099578_394125818902757377 x	Nothin like driving my grandpas car -_-
877099578_394109455953981440 x	Worst. Sleep. Ever.
877099578_393976379231854592 x	@belbXOXO word ?
877099578_393945364635459584 x	I found a better way for us to bond, James bond.
877099578_393936389688934400 x	Sofia Vergara on Modern Family cracks me up
877099578_393926092613881856 x	RT @TheGeorgeCarlin: "May the forces of evil become confused on the way to your house."
877099578_393917154526887937 x	Grrrrrrrrrrrrrrrrrrrrrrrrrrr
877099578_393913318269652993 x	Not gonna lie, I used to draw a door on my closet and knock three times like in "Beetlejuice"
877099578_393903355057020928 x	I won't let you down
877099578_393869105792430080 x	I love doing nothing on a Friday.
877099578_393867128584937472 x	Viewer discretion is advised.
877099578_393838369752367104 x	Well I'm bored
877099578_393799419021115392 x	@JakeKniery why did Oprah favorite this? Lmfao
877099578_393809334640992256 x	@brittgeist @JakeKniery are you? Lol
877099578_393809644449058816 x	@brittgeist @JakeKniery hahaha so fucking random
877099578_393805507195977728 x	I used to play catch with my dad. I through the ball but it hit the wall cuz he wasn't there. Lmfao
877099578_393800193738424321 x	@JakeKniery you tell me lol mr popular
877099578_393804360892678145 x	@JakeKniery little bit lol
877099578_393798276018741248 x	Hope the beautiful @chelsrg has a good day sportin that suit and tie ?
877099578_393789387575549954 x	Unleashed is such a great movie
877099578_393784036256010240 x	@hmh_622 snap?
877099578_393622459871547392 x	Never thought I'd use this old thing again.. Damn..
877099578_393618703004086272 x	@brittgeist pretty much ?
877099578_393618980021092352 x	@brittgeist I'm tryin ?
877099578_393621314998509568 x	@brittgeist that's all we can do
877099578_393621715479035904 x	@brittgeist I'm right there with you..
877099578_393619908858085376 x	Ughhhhhhhhhh ?
877099578_393618581331525632 x	RT @brittgeist: I think @sstewart41692 and I are on the same page tonight. ?
877099578_393615524006875136 x	Well, shit.
877099578_393609990906204160 x	@brittgeist word.
877099578_393609941526642688 x	RT @brittgeist: Can I crawl in a hole and die now? Thanks.
877099578_393598650133118976 x	?
877099578_393587933644476416 x	I feel like I forgot to save at the checkpoint :/
877099578_393586330455650305 x	RT @StephenAtHome: I've always had a soft spot for endangered species. Primarily on my plush Siberian tiger rug.
877099578_393543179523596289 x	Made my niggaz grilled cheese @Allen_Nik @Finger_Poppin @FrankWatts3
877099578_393500155950821377 x	RT @FrankWatts3: Watching family feud with my homie @sstewart41692. This show nasty as hell today. Some dirty ole ladies.
877099578_393476201274437632 x	Uhhhh.... https://t.co/REPCo1kFwG
877099578_393489489579880448 x	@sstewart41692 did you like it?
877099578_393472365289422848 x	My only problem with "Hero" is how many goddamn times is Broken Sword going to get stabbed dramatically and die?
877099578_393410303888617472 x	People give up their lives for many reasons: for friendship, for love, for an idea. And people kill for the same reasons...
877099578_393389463579013123 x	My thumbs up but you pass by laughing
877099578_393250154423152640 x	This is killing me
877099578_393233467120439296 x	I know you can't hear me but baby, I need you to save me tonight
877099578_393124186723319808 x	Breaking News: Dad turned the heat on! ?
877099578_393123636174802944 x	I've had a haze over my head, but no longer will it lay rest.
877099578_393119798239834112 x	I think the lunch date was a success :)
877099578_393027452533878784 x	Watching some movies I never thought I'd watch.
877099578_392880225219928064 x	Music says what words cannot.
877099578_392879898986954752 x	The changes in my life are some much needed improvements.
877099578_392873293243355136 x	You had me at "hello"
877099578_392871021465722880 x	Guess it's watching movies time tonight.
877099578_392860926719688704 x	Well that's done now im bored.
877099578_392835865447112704 x	Just thought you should be shot some love, beautiful ??? @chelsrg
877099578_392767889846968320 x	Whether it's rock n' roll or old soul, it don't matter
877099578_392763723191812096 x	HE who conquers others is strong, he who conquers himself is mighty.
877099578_392756806855839744 x	I hope the beautiful @chelsrg is ready for a delicious lunch tomorrow ?
877099578_392702281570738178 x	Watchin Elf.
877099578_392509964649889792 x	What I've learned over the past few weeks is that connecting with how you feel about things brings people closer together.
877099578_392509608637370368 x	Alta?r has a god awful snore all of a sudden...
877099578_392478449438191617 x	I'm just sayin it's fine by me, if you never leave.
877099578_392318461499539457 x	Cloud just discovered his red rocket..
877099578_392332812864335873 x	@FrankWatts3 bro, he has for to be part horse..
877099578_392322594268917760 x	@hmh_622 extremely lol
877099578_392322987682050048 x	@hmh_622 uh shouldn't you find them? Haha
877099578_392323439752536065 x	@hmh_622 oh my lol
877099578_392178721706102784 x	Oh South Park..
877099578_392168697369853952 x	I'm gonna do everything right this time.
877099578_392161364518514688 x	@JakeKniery I feels you, bro
877099578_392162290234966017 x	@JakeKniery lmao no I'm that way only with Chelsea. Or without that is ?
877099578_392165397220171776 x	@JakeKniery no way I'm giving up.
877099578_392165268774195200 x	@JakeKniery always ?
877099578_392163334759272449 x	@JakeKniery for sure brother. Nobody knows that better than me right now. ? I've for nothin but positive thoughts ??
877099578_392156310222802944 x	I wish I knew exactly what part of Canada/ Italy I was from..
877099578_392155039562604544 x	Something very very Italian sounds really good right now...
877099578_392154187410067456 x	I'll go wherever you will go
877099578_392006724812414976 x	No fucking way I just caught Articuno with an ultra ball first time!
877099578_391994684005810177 x	Modern Family is my new favorite show
877099578_391813637943218176 x	RT @TheComedyJokes: Good relationships don't just happen. They take time, patience, and two people who truly want to be together.
877099578_391658233573564416 x	They're going to rape us and break our arms! ...I don't want my arms broken!!
877099578_391646303488208896 x	The pacifier is such a good movie
877099578_391646012378738688 x	This elite four ain't nothin to fucks with
877099578_391637490752167937 x	What glows in the dark until you squish them? Fhiyer fliyes!
877099578_391636766253281280 x	I need more snapchatters
877099578_391614654973104128 x	I'm so bored.
877099578_391613740933607424 x	Pfffft..
877099578_391610475059769345 x	I hope the lovely @chelsrg feels better ?
877099578_391587040845766657 x	@hmh_622
877099578_391587255698980865 x	@hmh_622 totally forgot to type in the texts lmaooooooooo
877099578_391588010354950145 x	@hmh_622 when the glass calls you you can't just ignore it. You answer that shit b #yolo #TurnUp
877099578_391592669924691968 x	@hmh_622 #TurnUp #JerseyShore #whatupdoe
877099578_391593163950800896 x	@hmh_622 we should be role models ?
877099578_391585679915769856 x	23 episodes of Steve! @chelsrg
877099578_391586209274662916 x	@chelsrg Jesus h Christ lol
877099578_391474955243642881 x	Let's rock this joint!
877099578_391470460048662528 x	Ohhh somebody stop muh!
877099578_391462671305822208 x	Fuckin rain stealing my thunder
877099578_391460809974378496 x	My dogs are so needy..
877099578_391437833501560832 x	I haven't been to Denny's in so long. Foooood
877099578_391409217036234752 x	@JakeKniery fucking fantastic is how they are bro!
877099578_391409856441102336 x	@JakeKniery hell yeah Cardinals makin daddy proud ?
877099578_391408470848589824 x	Well that went a little better than I thought. Being as I did most of everything -_-
877099578_391408278317461504 x	@hmh_622 word.
877099578_391405450744184832 x	I am so ready for Tuesday ?
877099578_391302118407426048 x	Although tonight is going to take forever ?
877099578_391291764796973057 x	This is not a do over. This is a trim the bad, fill with more good n' happy ? #positiveSeanFriday
