1942707530_392304730749161472 x	Doug Martins out, Tampa has no scheme, no coaching, what will happen this Thursday?
1942707530_387660304072470528 x	What a game by Romo, too bad they couldn't win that game, #NotClutchEnough!
1942707530_387550679612817408 x	RT @ESPNNFL: "If you even dream of beating me you'd better wake up and apologize." - Muhammad Ali
1942707530_387550637288075264 x	How about those MLB games last night! Props to Dodgers Rays and Cardinals!
1942707530_387549502992695297 x	Chiefs: 5-0 Jets: 2-3 Browns: 3-2 Falcons: 1-4 Giants: 0-5 Bucs: 0-4 Who would have guessed??
1942707530_387418291481747456 x	Matty Ice with the clutch touchdown!
1942707530_387417529247072257 x	@MikePereira What is the rule about that double vice coverage they do on Gonzalez and Calvin??
1942707530_387417317732536320 x	RT @WarrenSapp: Slant at the top
1942707530_387417301915807744 x	RT @AroundTheHorn: No team in the history of ever has more 4th downs than the Falcons. All time.
1942707530_387416350743744513 x	Gonzales again!
1942707530_387415931099836416 x	The Falcons are always in this situation!!
1942707530_387415789407838208 x	Great catch by Juluo
1942707530_387414618844725248 x	RT @NFL_ATL: Say what? Freeman says he chose Vikings because they have "A guy" http://t.co/P87uHs6m1U
1942707530_387414515736141824 x	Dual of the Ryans, Rex Ryans Defense vs Matt Ryans Offense, who will win?
1942707530_387413665483194368 x	Lets see if the Falcons D can make plays!
1942707530_387413527616434177 x	Jacquizz Rodgers with a clutch run. Good blocking by the receivers of Atlanta.
1942707530_387404902550736896 x	RT @ESPNStatsInfo: Jose Lobaton: 1st postseason walk-off HR in Rays history
1942707530_387404685184729088 x	RT @AndrewSiciliano: At the exact same time Jose Lobaton hits a walk-off.  Pretty, pretty cool
1942707530_387404591618592768 x	RT @CarlosEmmons: The Falcons might as well run QB sneak every play if they only gone get 1.6 yards per carry.
1942707530_387404557107879936 x	Carl Crawford with another Home Run!
1942707530_387404465147760640 x	@thehawk38 You ready for the game ??? Vs the Eagles???
1942707530_387404302366806016 x	RT @ESPNStatsInfo: Matt Ryan is a perfect 14-14 for 112 yards and a TD on throws inside the painted numbers tonight
1942707530_387403724936990720 x	RT @ESPNStatsInfo: Tony Gonzalez has passed Marvin Harrison for the 6th-most receiving yards in NFL history.
1942707530_387403069660467200 x	RT if your watching #MNF!
1942707530_387402994834104321 x	No Tight End better than Gonzalez. It's official.
1942707530_387350644933554176 x	Percy Harvin returns to Seahawks, after missing time with a hip injury!
1942707530_387350335729463296 x	RT @ESPNStatsInfo: Julio Jones: enters tonight with 3 straight games with at least 100 receiving yards (longest streak of career)
1942707530_387336412930244608 x	RT @Atlanta_Falcons: #RiseUp for Breast Cancer Awareness Month. #NYJvsATL http://t.co/EL95qyz63v
1942707530_387336364695752705 x	RT @ESPNCFB: TodayInCFB. 1995: No.25 #Northwestern breaks a 30yr futility streak vs #Michigan, stunning the No.7 Wolverines 19-13 for 1st w?
1942707530_387336350036275200 x	RT @ProFootballTalk: Gary Kubiak isn't afraid to make quarterback change if he thinks it's needed http://t.co/ygSzwWGxjP
1942707530_387331529489141760 x	Texans need to just bench Schaub. Vikings need to start Freeman. Giants need a new o-line.
1942707530_387331367962300417 x	Steve Smith complains of "leg-humping" and "bad officiating" by Cardinals.
1942707530_387331203772456960 x	Clayton Kershaw is pitching on 3 days rest. His first time ever. And it comes when they are in the playoffs up 2-1.
1942707530_387055810926231552 x	RT @NFLONFOX: San Fran just DOMINATED the Texans.
1942707530_387055593254436864 x	RT @ProFootballTalk: Sunday night wrap-up: Texans have major issues, questions to answer http://t.co/MnQZcey1Mi
1942707530_387055555761545216 x	RT @ESPNNFL: 49ers DOMINATION!!   San Francisco crushes Houston 34-3 and moves to 3-2.
1942707530_387054755450998784 x	Whos staying up for the Chargers and Raiders game tonight??? RT???
1942707530_387053332332019713 x	RT @Michael_Fabiano: The Niners will win again. Fantasy owners who started Colin Kaepernick ? Probably not...
1942707530_387052256157110272 x	RT @ProFootballTalk: Bills trying to sign Josh Freeman, Vikings, Raiders also interested http://t.co/52vxRLGGU9
1942707530_387051406085324800 x	@mortreport Josh Freeman@will be a good QB one day, he needs a better coaching staff and system that fit him the best. Hes a decent QB.
1942707530_387051152275415040 x	RT @mortreport: Buffalo Bills have intensified efforts to sign Josh Freeman, just as Raiders are 30 minutes from kickoff. Bills sense AFC E?
1942707530_387051128128831489 x	RT @ESPNNFL: Should the Texans make a change at QB next week? RT to make the change to TJ Yates, FAV to keep Schaub.
