16152567_396243223070654464 x	@sheinellefox29 #lookatmefox29 Richie as a zombie soldier in South Jersey http://t.co/aqNPJXUe2N
16152567_379698031089963008 x	Point! #tennis #gateway #winning xx_bubblegumpop_xx @ Gateway Regional High School http://t.co/iCTXH7y0c3
16152567_379380144882061314 x	Om Nom clammy clam #clam #hungry #chinesebuffet http://t.co/l3VA0bn0bj
16152567_379281207982583808 x	Hello Mr. Spider #web #wolf #spider #creepy #art #spinningweb http://t.co/YfEutzjmQa
16152567_379241094955167744 x	Thanks #pauladeen for some amazing #cookware!!! #fryingpan #eggs #yummy #breakfast http://t.co/i49DWyzhTW
16152567_379240693824512000 x	THEEEEEERE are those pesky #bananas I was looking everywhere for!! #funky#black#rotten#gross#fruitflies http://t.co/KvllYiJLs2
16152567_378884465990578176 x	Mmmmmm #breakfast #friedeggs #bacon #toast #garlic #potatoes #homefries http://t.co/ADIudpha1m
16152567_376425515412115456 x	See you tonight!!! #battleofthebikerbands #roartotheshore #buckshotreloaded #southernfried #rock #band? http://t.co/iVzwFqypnm
16152567_376182598328131585 x	I've been smackcam'd -___- #shavingcream #smack #smackcam http://t.co/BtpW9rwCaX
16152567_376171563298852864 x	My son calls me a creeper...hehehe #practicing #guitar #playing #camping @ Lake Laurie RV Resort http://t.co/hrv4cNSoyD
16152567_375836508605128704 x	Adam practicing guitar at 20 past midnight LOL. #camping #playing #guitar #practicing @ Lake Laurie RV? http://t.co/Rq7546K387
16152567_375834326627520513 x	Rich teaching Adam some chords #guitar #father #son #playing #jamming #lesson @ Lake Laurie RV Resort http://t.co/J33AACd6YT
16152567_374580031575826432 x	In the nick of time!! Just as the last pole was in the truck, down it came! LOL @ Parvin State Park http://t.co/717MM5rbGR
16152567_374573406144188416 x	RUNNING FROM THE STORM!!! #storm #stormclouds #clouds #lake #fishing #parvin #boat @ Parvin State Park http://t.co/e7uMNmhM8M
16152567_374535814308720640 x	Beautiful Bass! #largemouth #bass #fishing #lake #parvin @ Parvin State Park http://t.co/5DSif81eu2
16152567_374531388927934464 x	Awe #swans #lake #parvin #fishing #boat #rainy #rain #raining @ Parvin State Park http://t.co/ayWUCQLaXO
16152567_374525656891392000 x	Smile! It's freakin raining! Hehe #rain #fishing #lake #parvin #boat #husband @ Parvin State Park http://t.co/MyOJsZYcJ0
16152567_374510299912888320 x	Sunny big money!!! #sunfish #fishing #lake #parvin @ Parvin State Park http://t.co/Qg9rZ94IjC
16152567_374494187418558464 x	Love fishing with my baby...hehe #fishing #parvin #lake #bass #pickeral #sunnies @ Parvin State Park http://t.co/xX2TUQ4MVN
16152567_366238325054513153 x	http://t.co/V5myU8T48g VOTE FOR #buckshotreloaded please retweet!
16152567_365934439366262784 x	ONLINE VOTING IS NOW LIVE FOR THE BATTLE OF THE BIKER BANDS! #battleofthebands http://t.co/LYF3dzd6g4" VOTE FOR BUCKSHOT RELOADED! Please :)
16152567_365933883377721344 x	RT @RoartotheShore: ONLINE VOTING IS NOW LIVE FOR THE BATTLE OF THE BIKER BANDS! #battleofthebands #bikerallyentertainment #rtts http://t.c?
16152567_365929426208296960 x	Buckshot Reloaded Music, Lyrics, Songs, and Videos http://t.co/iBrc3NG05C
16152567_362365993571454977 x	Golf cart ride! AH! https://t.co/Lpq8UUOp9x
16152567_362002849871306753 x	We love camping! WHEEEE! https://t.co/fIJbbmgveA
16152567_361572725430566914 x	@RyanHemps ok so I have no clue how to tweet those video's...they're posted on your grad party event wall. Enjoy!! :)
16152567_361572268784103425 x	@RyanHemps Loaded on FB...checking to see if I can share on here for ya.
16152567_361541473528844289 x	@RyanHemps Trying to load the videos of you & your boys last night...so far its been a major fail. LOL
16152567_361564348713418752 x	@RyanHemps almost there....just moved them from the phone to the computer :)
16152567_356585328183742464 x	Shitty fortune #485. Are they calling me two-faced? I thought I was pretty honest.  LOL #fortune? http://t.co/PLZGZBYzsV
16152567_355511595209736192 x	RT @jamesrhine: How much you wanna bet that Aaryn's HOH pillow cases have holes cut in them? #BB15
16152567_355511400732434432 x	@jamesrhine LMAO @stunt double.
16152567_355501484319842305 x	@ColetteLala HA HA HA HA HA HA HA
16152567_355499997132894209 x	@ColetteLala giggling like a school girl!!!
16152567_355499144732884992 x	"@Hayden_Moss: RT if you're like me & hoping for a BLINDSIDE! #BB15" Nothing better than a little Thursday night BLINDSIDE!!!
16152567_355496620718178305 x	@ColetteLala She once was a lillte green ball of clayyyy...Jumby!
16152567_355496264705654785 x	RT @QueenAmy13: Julie is rocking her best Gumby costume! The accent belt really pulls it together! #BB15
16152567_355494589391572994 x	@ColetteLala Look...if you need a new best friend to bring...I'm in...and I'm cheap.
16152567_354387108678467587 x	This journey sure feels like a roller coaster ride! #weightwatchers #gained #boo #sad http://t.co/zA24uoQnNv
16152567_353700528397615104 x	Rain on the scarecrow #buckshotreloaded #southernrockexperience @ Wading Pines Camping Resort http://t.co/E1la0QEIIk
16152567_353679645750738944 x	T FOR TEXAS #lynyrdskynyrd #tfortexas #buckshotreloaded #southernrockexperience @ Wading Pines Camping? http://t.co/og14EE0Mek
16152567_353667133789577216 x	BUCKSHOT RELOADED @ Wading Pines Camping Resort http://t.co/9Cc1umKtKB
16152567_351832685041299459 x	Another favorite! #shish #kabob #beef #veggies #healthy #weightwatchers #yum #dinner #bbq #grilling @? http://t.co/4UzfmzlaUx
16152567_351066198227693569 x	A couple of horses asses up ahead of us on the highway! LOL #ass #horses #lol #passenger http://t.co/FBtLTyFzR7
16152567_351063734870999040 x	Who the hell is the #genius that came up with a #redsolocup cozy!! #love #chillin' http://t.co/anG41WLaeY
16152567_349919744163463168 x	Wango tango pango mango! #mango #yum #addicted #fruit #bored #help http://t.co/0GcfbG2ZjC
16152567_347677781691342849 x	@RyanHemps Congratulations Kid! You did it!! Have a great last day of school and have a great time at Graduation! I'm so proud of you!! <3
16152567_346964933356957696 x	@sternshow @NickCannon Nick Cannon has a cannon? HA! See what I did there. LOL http://t.co/rx1lWBVUlT
16152567_346773330789036032 x	I love being a loser! #weightloss #loser #pointsplus #weightwatchers #healthyliving #getfit #healthy? http://t.co/TvhjX4pJFU
16152567_346629214407127040 x	Breakfast! #notsohealthy #strawberries #whippedcream #coffee http://t.co/KJlYBLK79r
16152567_345695711410679809 x	@foursquare I need a venue removed ASAP please get back to me, I have sent 3 messages already!!!
16152567_345194701151948800 x	@4sqSupport I need a venue removed, I have submitted 2 requests. Please help!
16152567_344238691746738176 x	Happy day! The beach is looking more and more inviting! #weightloss. #weightwatchers #goal #happy? http://t.co/xz1oQaIg22
16152567_344213457220009985 x	Crafting day! #Polymer #Clay #charms #crafts #firsttime #create http://t.co/ghjqHUBeMB
16152567_342634367321006080 x	THROWBACK THURSDAY!! #tbt #throwback #Thursday #oldschool #sperm #lol #nofilter http://t.co/PwJNDze7tc
16152567_341327599387152385 x	Hello Dinner! #sirloin #steak #dinner #seasoned #perfection #yum @ Zuber Compound http://t.co/PcZKBSDclq
16152567_341128344563249152 x	Sunrise on the lake. #sunrise #daretown #lake #fishing #peaceful #nofilter #beautiful @ Daretown Lake http://t.co/27lT7YCnjo
16152567_338705518422003712 x	Painting some shutters! xx_bubblegumpop_xx #painting #shutters #bright #blue #rolling #ladder? http://t.co/JJTYLWEMaJ
16152567_338676452780298242 x	Ready for the Zombie Apocalypse! #zombie #apocalypse #wrench #spade #zombieapocalypse http://t.co/FjBuzj85F3
16152567_337899490335928320 x	@JennFredFOX29 I think your donut flavor sounds awesome!!
16152567_337886303326699520 x	@JennFredFOX29 @MikeFOX29 @SheinelleFox29 #lookatmefox29 Good morning! http://t.co/6LXbRxtvj5
16152567_336985408846036994 x	6 point Fajita...yum! #weightwatchers #pointsplus #dinner #fajita #peppers #onion #healthy? http://t.co/TbZjrM00ME
16152567_336657233251299328 x	@banshee115 Thanks & Congrats back!! :D
16152567_336645014820118528 x	Losing = Winning! #weightwatchers #weightloss #pointsplus #loser #happy #willpower #determined? http://t.co/eVPZXT8LZT
16152567_336437026041782272 x	@SheinelleFox29 @MikeFOX29 @JennFredFOX29 GOOD MONDAY MORNING!! http://t.co/nN8dJv8eZ5
16152567_336430729426792448 x	Who's got the spirit? #spirit #gators #lacrosse #won http://t.co/FIaLyPeqJO
16152567_335610460730716160 x	Getting ready for the big old yardsale! #garagesale #junk #treasure #yardsale #stop #buymyjunk? http://t.co/aFfpIHoBvs
16152567_334282188130508801 x	Slow and steady.  #slow #steady #focus #willpower #winner #weightloss #weightwatchers http://t.co/xeFEsOqnFV
16152567_334101524705845249 x	It was a rough week but I made it! #weightloss #happy #progress #weightwatchers. #healthyliving #loser? http://t.co/tTw4lq8mtk
16152567_333930893112639488 x	Oil free make-up remover my ass! #marykay #bullshit #oilfree #greasy #oily #lies #make-up http://t.co/U5fAlabM51
16152567_333265150045999104 x	Nothing beats a frozen chocolate covered banana on a hot humid day! #banana #frozen #chocolate #yum http://t.co/y4bUisrkk8
16152567_332895036909965313 x	Finally got that ugly tooth fixed! #tooth #veneer #pretty #hallelujia http://t.co/Ggki9XVhRP
16152567_332820625154535426 x	Morning pilates- feeling the burn...aahhh! #pilates #getfit #healthyliving #weightwatchers #weightloss? http://t.co/5dyRmPbXLX
16152567_332622311574343681 x	Crab cakes a la weight watchers! Made by my lovely daughter Jessica! #weightwatchers #crabcake? http://t.co/sNMqdz3ypJ
16152567_332466987169103872 x	Throwback Thursday! <3 #tbt #oldschool #bigdaddy #young #happy #love #mylove #inlove http://t.co/9O5mTzrcRM
16152567_331555890912178176 x	Week 9- 20.4 down! #weightwatchers #weightloss #slowandsteady #getfit #healthyliving #happy #healthy @? http://t.co/oVOQAuJhgD
16152567_331195655068471296 x	Salmon Fritatta a la Weight Watchers #weightloss. #weightwatchers. #salmon. #fritatta #yum #dinner? http://t.co/5pI58Vpt4h
16152567_330754239070605312 x	Spring is here! Baby Robins! #nest #spring #birds #robin #babies @ Casa de Zuber http://t.co/z3JnuEjGZV
16152567_329017379759747073 x	Week 7! #weightwatchers #loser #weightloss #hardwork #getfit #healthyliving #happy @ Weight Watchers http://t.co/FG7qeXN9Sz
16152567_328612612113825792 x	So much more to do before we can put these pretty little ladies in the ground!! #flowers #garden #sad? http://t.co/sIeSOdoUnl
16152567_328610859372904448 x	PROJECT FRONT GARDEN UNDERWAY!! #flowers #garden #gardening #project #pretty #daughter #hoe #shovel? http://t.co/sBcuBTRoNN
16152567_328141148608684032 x	Yes...it shall....but hopefully not as painfully! #kidney #kidneystone #pain #ouch #brother http://t.co/nFVCuE09I5
16152567_325774261719543809 x	OH My GAWD!! #crackkills #crack #datass #sexy #hot #ass #gluteusmaximus #walmart #plumber http://t.co/z5WLOgpprW
16152567_324579584127401985 x	I look like a Willy Wonka character! LMAO!! #xray #LOL #willywonka http://t.co/ZQasKkSkS9
16152567_323937932941602816 x	Slowly but surely! #healthyliving #weightloss #weightwatchers #getfit #fitforlife #happy @ Weight? http://t.co/FsNwuoQyKQ
16152567_323903356231905281 x	Time to meet your maker! #chucknorris http://t.co/qqUsScdwzH
16152567_323850435620397056 x	Don't mess with the angry banana! #angry #banana #healthy #fruit http://t.co/It3CW6xqTd
16152567_323826911308546049 x	Proud mama to a beautiful 2mm baby stone! WOOHOO! #kidney #stone #ouch #hallelujia #praisethelord http://t.co/wHBJVx0QFA
16152567_323137992032149504 x	A view from central park #centralpark #weepingwillow #newyorkcity @ Bethesda Terrace http://t.co/p017J69umJ
16152567_323125365839118336 x	Awwww he's sooo cute! #polarbear #sleepy #adorable @ Central Park Zoo http://t.co/rxdaSBn6bv
16152567_323098479339646976 x	Awwww he's sooo cute! #polarbear #sleepy #adorable @ Central Park Zoo http://t.co/IwZpwJHs4K
16152567_322470158264328192 x	Hello Mr Redtail! #redtail #hawk #birdsofprey http://t.co/FSzRWxfBBi
16152567_321778609079599105 x	This is Bear....he's the cutest little pupperdog around! #bear #yorkie #puppy http://t.co/l2qXqi266r
16152567_321664991579217920 x	Yummy! Can't wait for lunch! #craisins #strawberries #spinach #feta #balsamic #chicken #healthy #salad? http://t.co/9xCtYPnVWA
16152567_321583205209759745 x	Yay! I had a semi bad week...surprised me! #weightloss #healthy #weightwatchers #happy http://t.co/v4NobbrXQc
16152567_321331314227814400 x	Me & the Mr. http://t.co/IySJoiexav
16152567_321101082715635714 x	Whipped up some breakfast treats for the week! Asparagus/Provolone/egg souffle, Spiced Pumpkin? http://t.co/Ffx5wSrq0W
16152567_320942205923643393 x	He's catching everything! LOL :D #fishing #parvin @ Parvin State Park http://t.co/FaWRVVmekz
16152567_320908678318419970 x	Happy Girl! #fishing #parvin #love @ Parvin State Park http://t.co/M5fc0LzQdp
16152567_320904314367385600 x	Time to go fishing! #fishing #parvin #boat #serenity @ Parvin State Park http://t.co/Xefr0Oa3rI
16152567_320373727588122625 x	Adam & Shanaynay Banaynay LOL #banana http://t.co/bSVvNugJFz
16152567_319947564587835392 x	On tonights menu- Baked Salmon! #salmon #garlic #oliveoil #dinner #weightwatchers #yum http://t.co/ci8mR8wIe5
16152567_319279967374561280 x	Little fluffy ball of cuteness! #chinchilla #baby #adorable http://t.co/MH0lOuB3NL
16152567_319257062632734720 x	He keeps peeping!! He's soooooooooo cuteeeeeee! #chinchilla http://t.co/UagRfazcmi
16152567_319256422552588288 x	Its sooooooo cute!!! <3 http://t.co/BKIk2TZLfR
16152567_319255681494577154 x	Baby chinchilla!!!! #baby #chinchilla #cute #adorable #furry http://t.co/f9lYhfF7mF
16152567_318457722402115584 x	Sad attempt at #deviledeggs #lol #failure http://t.co/VD77rXWDOo
16152567_318215832159272960 x	The Easter Bunny made it!! #easterbunny #baskets #candy #yum http://t.co/gs1yYlsj87
16152567_318213464499818496 x	Some Bunny business in progress....LOL #easter #bunny #baskets #candy #easterbunny http://t.co/DvPc0ftDTJ
16152567_318102111659376640 x	He's a rebel...like Johnny Cash #guitar #johnnycash #acoustic #music #jamming. #spending http://t.co/YDCQYhBuul
16152567_317402155516559360 x	Jessica's clay Cheshire Cat Teapot & clay Pikachu earrings! #cheshirecat #aliceinwonderland #teapot? http://t.co/nlk8kDaTer
16152567_316351838393884673 x	Progress! Sometimes its good to be a loser :) #weightwatchers #loser #progress #happy http://t.co/kvswe3BySH
16152567_316320827140349953 x	Dinner is served! Weight watchers chicken pot pie! #weightwatchers #yum #chickenpotpie #homemade http://t.co/dWXwUe2Ny4
16152567_315968304156123136 x	FINITO! #weightwatchers http://t.co/BHnBo5ZlVX
16152567_315966239505788928 x	Weight Watchers Mexican Chicken #dinner #yum. #weightwatchers #chicken #salsa #day13 http://t.co/wfBsCtq67I
16152567_315233310903255040 x	Baked Smashed potatoes #dinner #yum #potatoes #weightwatchers http://t.co/JNNpARSqWN
16152567_314865040387883010 x	My new infusion pitcher! #infusion #water #weightwatchers #yum #fruit http://t.co/wBQq5yKcsY
16152567_313792904680325122 x	Week 1 success! YIPPEEEE! #weightwatchers #lostweight#shrinking#happy#proud#excited @ Weight Watchers http://t.co/qcApPAh724
16152567_313383475329761280 x	Happy St Paddy's Day! I can't wait to dig in!!!? http://t.co/9jyEfS43AI
16152567_312697313137143809 x	Jess cooking dinner again! #chicken#orange#best#daughter#in#the#world#love#dinner#weightwatchers http://t.co/nTNdUUGe3L
16152567_312696510351540224 x	Orange chicken zest a'la Jess! #orange#chicken#zest#dinner#yum#weightwatchers http://t.co/EmR3HgoZhD
16152567_311982174758912000 x	Homemade beef stroganoff a la Weight Watchers! #dinner#weightwatchers#homemade#delicious# http://t.co/PBqjueJq8l
16152567_310581579183427584 x	Enjoying a beer after a long stressful week! #unwind #beer @ Coaches Sports Bar http://t.co/skwDG6uSXz
16152567_310010507388133376 x	Some mornings demand #whippedcream #reddiwhip #winter #snow @ Zuber Compound http://t.co/IQyauh0pY8
16152567_309311914947801088 x	Yep...its true http://t.co/C005OIJOMI
16152567_308585322428645376 x	How effing gross are people!! This is above the microwave! *gag* #gross #pigs #slob #splitends #hair? http://t.co/mG8zPyFKKd
16152567_308367776827981825 x	FINAL ROUND: I voted @EvelDick from @CBSBigBrother my favorite reality TV villain, not @ReallyWILLKIRBY. http://t.co/I8xLo1Z0jY
16152567_307612097410379776 x	WTF is on my carpet??? Damn you #ranch dressing for your #gooey presence! http://t.co/vEI42D3rW2
16152567_306923124274913280 x	Adam trying out the #guitar #strumming #playing #adventure #notes #music http://t.co/Sdte2oS2fD
16152567_306531925953232896 x	Post-lacrosse pre-season practice ice cream sundaes. #lacrosse #snack #notsohealthy #icecream # @ Zuber? http://t.co/bF9NlOifT8
16152567_305819596684943361 x	Hello my little chickadees, I've missed you! #bbq #chicken #grilling #dinner #yum http://t.co/wiUP4arkEM
16152567_305817541736005632 x	Richie is #bored at the #hairsalon #sleeping #sleepingawkwardly #help #whyme http://t.co/gEzVRT404L
16152567_305493547572944897 x	My baby! #diner #dinner #son @ Seven Star Diner http://t.co/htXtlw7mc3
16152567_305307923574312960 x	WOOHOOO! Passed the test, #permit #driver #passed #yippee #beware http://t.co/fuZ3wtp3Py
16152567_304918859721363457 x	Hope this amazing morning sky is the forecast for the rest of my day! :) #sunrise #amazing #morning #sky? http://t.co/tZy2ZQ5qDJ
16152567_304770844859703296 x	Rich...Crossroads #sing #singer #buckshotreloaded http://t.co/DiZFRjlVOs
16152567_304769405395562498 x	Mark....weeeeeere baaaack #bass #guitar #bassist #buckshotreloaded http://t.co/HwRl4Rld84
16152567_304757688951267328 x	Go Larry Go! #drums #drummer #buckshotreloaded http://t.co/c6BMAFL6nS
16152567_304756416667860992 x	Back together again #buckshotreloaded #jamming #happy #family http://t.co/YmpVa4VOgx
16152567_304669569707036672 x	Get to spend my last few months in #hell by a window! YAY! #windowseat #bright #sunshine #cube #yayme http://t.co/qyzL3lvn53
16152567_302948434749562882 x	#jamming It's good for the soul http://t.co/soiFeALU
16152567_302264743341744128 x	Sign the petition to #SaveOlympicWrestling  - http://t.co/3zOgDkfX. Spread the word!  #olympics http://t.co/vn2GYHYg
16152567_297778258622173184 x	10 days! #phillies #baseball #springiscoming #letsgo http://t.co/X76neC79
16152567_295992258786893824 x	Co-worker...he's alllll clock! #clock #coworker #bigclock #flavaflav http://t.co/dgTXeeco
16152567_295545485907853312 x	My lovely daughter. O.o #beautiful #daughter #love http://t.co/8EkM9pU9
16152567_295347936118837248 x	Saturday night Sundaes! #icecream #sundae #icecreamsundae #chocolate #caramel #peanutbutter #walnuts #peanut http://t.co/HRZkHfHa
16152567_295243542006206464 x	Way back when #cement #initials #backintheday #oldschool #memories http://t.co/x544BlvK
16152567_294981397976846336 x	Working on his Energy project. #geothermalenergy #powerpoint #project #homework #miraclesdohappen http://t.co/w3CYY9kV
16152567_294779650817814528 x	Good Morning Sunshine! #sunrise #morning #nofilter http://t.co/IjTJT8Ah
16152567_294589119521243136 x	Ever wonder what the inside of my pocket looked like? Well here it is! #pocket #pocketpic #surprise #nofilte http://t.co/2VmYyYyU
16152567_294581917540573184 x	Ahhhhh took me long enough but I got the #fire going! #warm #relaxing #romantic #heat #hot #burn #burnbabybu http://t.co/pGjG5RHk
16152567_293519035642019840 x	Its SNOWING!! #snow #snowfall #tongue #catchingsnow #snowflake #winter http://t.co/zUamiOU6
16152567_293152126455136257 x	Finito! @salonheadcandy xx_bubblegumpop_xx. #teal #hair #teahhair #chocolatebrown #beautiful #love #nofilte http://t.co/iQsRr3N3
16152567_293141155057659904 x	Phase 5 @salonheadcandy #teal #tealhair #coloredhair #almostdone! http://t.co/u5ZpOKMq
16152567_293102119941197824 x	Phase 4 @salonheadcandy #brown #dye #hair #brownhair http://t.co/4re8QQCb
16152567_293093964364537856 x	Phase 3 @salonheadcandy #filler #hairdye #dye #brown #hair http://t.co/QUCbewgs
16152567_293093049100283904 x	Phase 2 @salonheadcandy. #bleach #hair #hairdryer #blonde http://t.co/Qxq3Plyb
16152567_293061292015616000 x	Jess is stepping out of the "box" getting her hair professionally dyed @salonheadcandy STEP 1 has begun. :D http://t.co/XHym5iEA
16152567_292757885589520385 x	Tempting fate...#guitar #thelaboratory #husband #wishingandhoping http://t.co/kNRtx76e
16152567_291530424939855873 x	Dinner's ready! #crockpot #roast #dinner #yum #veggies #garlic #onion #hungry #motivated #finit @ Camp Zuber http://t.co/PPin3hEq
16152567_288458840603762689 x	Avocado mask a la shrek! LOL #shrek #fiona #avocado #facialmasks #LOL  @ Camp Zuber http://t.co/dk76YGe0
16152567_288452459033137152 x	Jess & Kellie sporting some avacado banana masks....LOL #avacado #banana #mask #facialmask http://t.co/uOOtcDbS
16152567_288447207567413248 x	Bumble lolly! The littlest things make me happy! LOL #bumble #bumblelove #lollypop  @ Camp Zuber http://t.co/2OED1K1p
16152567_286792936966991872 x	Hey @K_Spence, Per "@IetsTheGrumpyCat: Let's play the shut up game. You go first.",Haha
16152567_286454615883538433 x	@FOX29philly Racist, my ass! Let's let the mummers be mummers! The parade is beyond multi-cultural. Do your research people.
16152567_286453670168641537 x	RT @FOX29philly: Some of those sequined and feathered Mummers' costumes are causing quite a controversy on the Internet. http://t.co/Tiw ...
16152567_286261074678935554 x	Sick and tired of ppl using #racism as an excuse for NOTHING! GET OVER IT! #Quaker City and #ferko do your thing! 2013 #mummers killed it!
16152567_286250517548658691 x	Jalepenos stuffed with cream cheese & #bacon #thanksricky!! @ Camp Zuber http://t.co/hDQM8uq3
16152567_286249998167977984 x	Zuberlander LOL #zoolander #poser http://t.co/SqPjW0tU
16152567_286171944934580224 x	#whodat froggy car!!! @mummers17
16152567_286164549177065472 x	@SteveHighsmith PLEASE, PLEASE, PLEASE stop talking so much during the performances, we cannot hear the music!
16152567_285170840054661121 x	Ahhhh...relief is on its way...#chickenorzo from #pizzacity #gingerale #nyquil #sick #cough @ Camp Zuber http://t.co/Cguf6gpY
16152567_284751282269462529 x	This bitch thinks he's getting my french fries...hahahaha. No.  #dirtybird #ratwithwings #scavenger http://t.co/FZwp7boI
16152567_284747778079481856 x	It's back...the #mcrib has arrived....lol http://t.co/kePAEL2x
16152567_284672951327010816 x	#goodmorning! :) http://t.co/1YWdvmAE
16152567_283711743946014720 x	I just realized I never posted my gratuitous Christmas ham picture!!! #Christmaseve #family #friends #ham #y http://t.co/2l0qY3EL
16152567_283622564125880320 x	Christmas brunch! #christmas #brunch #family #love  @ Camp Zuber http://t.co/F6hJmXFr
16152567_283617096812867584 x	Traditional Christmas Breakfast...ham leftovers! #tradition #christmas #breakfast @ Camp Zuber http://t.co/iUg05w67
