499480097_398194168628916224 x	#Pregnancy and #chiropractic http://t.co/PSOSzcMH4J
499480097_286989054216634368 x	Add lemons, limes, sliced ginger, apple cider vinegar, cucumbers, oranges or a patient's suggestion -watermelon to your water for variety!
499480097_286966878197403649 x	On the news this AM: 90% of Americans are dehydrated.  Remember the formula: Drink enough water to equal half of your body weight in ounces.
499480097_285782223712550913 x	Happy New Years Eve Everyone!   Wishing you all a Happy and Healthy 2013!
499480097_284371162895638528 x	Great short prenatal yoga video: http://t.co/WnyVmvE8
499480097_284066209178189824 x	Hope everyone had a happy healthy holiday!
499480097_282180386602242048 x	Don't forget! Flex Spending Accounsts resetsat the end of the year! Think about cervical support pillows, custom fit orthotics, and more!
499480097_282171032780042242 x	Don't Give Up What You Want Most For What You Want Now!   A good tip to remember this holiday season!
499480097_282170869629988864 x	Our office will be closed Monday and Tuesday for the holiday!! We will be back on Wednesday the 26th! Have a wonderful holiday everyone!!
499480097_282145634461548545 x	Tri-core cervical support pillows also make great presents for the ones your love!
499480097_281196778995470337 x	How to run and work out safely in cold weather http://t.co/pQOBaLuF via @HealthRanger
499480097_281192858319454208 x	Remember the 'magic formula' for daily water consumption:   Enough water to equal half of your body weight in ounces  Drink up!
499480097_279628457082753024 x	Motivation! The time is NOW to get healthy! http://t.co/zA0Rm2M3
499480097_279291401567600640 x	Dr. Oz's Circulation Smoothie: It?s chock full of ingredients that boost blood flow and help keep your arteries clear http://t.co/e4aMWhG7
499480097_278997179207667712 x	Along with the cold weather comes Vitamin D deficiency... A simple blood test will let you know if you have an insufficient amount!
499480097_278633769450225665 x	Get out your jump rope for ONLY 15 MINUTES a day-an efficient exercise to improve blood and lymphatic circulation!
499480097_278550113922711553 x	Beyond Chiropractic Gift Certificates are a great holiday present for someone you love!
499480097_277113667819028481 x	Keep your shoulders from rolling forward: Squeeze your shoulder blades down and together-hold for 15 seconds x 10. Great for a car ride!
499480097_276413428388737024 x	Holiday Raffle Entry Rules and Prizes! http://t.co/FjXh6N28
499480097_276124587362770944 x	Holiday Raffle in the office during the month of December! Don't miss out on these amazing prizes! Call the office at 267-536-2867
499480097_276090657179848704 x	Triceps Tap, Double-bell Row, On the Fly, Squat with Twist, Floating Curl http://t.co/y7ZKq4DA
499480097_275683709271801857 x	MMMMM homemade soup!  http://t.co/yn3Hdhan
499480097_274515988773482496 x	Stretch your hip flexors for low back pain relief  http://t.co/4Kza0hwk
499480097_274217815697944579 x	Thirsty Thirsday! http://t.co/i4TnjqP2
499480097_274217276792791041 x	Ginseng, Cayenne Pepper, Cinnamon, Black Pepper to name a few! http://t.co/Gjf24aLk via @mercola
499480097_273934193602473984 x	Understand how to manage the most common respiratory infection - the cold, naturally! http://t.co/QHOqX2lO
499480097_273509226398236673 x	GREAT quick stretch after sitting for a while! Check it out! http://t.co/QkhDPIVY
499480097_273508317601607680 x	Strengthen that core!  http://t.co/GBfVx4E8
499480097_273184446579085313 x	Hope everyone had a GREAT long holiday weekend! REMINDER: We're collecting non-perishable foods in the office for Camp Out for Hunger!
499480097_269482569773490176 x	Functional Medicine: Paving the Way Toward Better Care  http://t.co/1FqfaLvm
499480097_269465972979687424 x	More than 75% of serotonin is made in the gut!! Symptoms of low serotonin levels could be a result of a gut issue!
499480097_269455029491097600 x	Take a look at 'Friday: Soothe Frazzled Nerves' which is a supported child's pose to help melt your stress of the week! http://t.co/Typighl0
499480097_269161865794441216 x	Don't miss out on the Black Friday deal that is going on now at Beyond Chiropractic! Call our office at 267-536-2867
499480097_269148773236736001 x	Thirsty Thursday: http://t.co/N3hgMbCo
499480097_268764822890487808 x	I uploaded a @YouTube video http://t.co/6uNLVL8V website intro
499480097_268738515167227904 x	Wellness Wednesday!! Read through these 7 steps for a safer home!   http://t.co/6X3gaLHY via @mercola
499480097_268465511707312129 x	Beware:  The colder months bring more arthritis pain!  http://t.co/a0ZiCsD5
499480097_268464309816946688 x	Just substitute the Canola oil for Coconut oil and it's a healthy yummy breakfast side! http://t.co/x7Jvlwvz
499480097_268127451257913344 x	RT @palmercollege: Dr. McAlpine: Palmer is known throughout the world for its students and alumni who do extraordinary things.
499480097_268117247996878848 x	Black Friday starts early at Beyond Chiropractic! Call 267-536-2867 to see what we have to offer!  They won't be here for long!
499480097_266672157176770561 x	As the weather gets colder make your own hot tea recipes!! http://t.co/mv8HU34G
499480097_266649247280140288 x	"Nothing great was ever achieved without enthusiasm."  -Ralph Waldo Emerson
499480097_266586107389546496 x	Collection drive! Scheduled for Saturday, November 10th from 8AM to 8PM in the parking lot of the Metroplex http://t.co/hxEe5Kog
499480097_265890973232558083 x	Exercise your right to vote! Blue and Red treats for our voting patients today!
499480097_262937074443886595 x	CLOSED Monday and Tuesday due to the storm.  If you need to get in touch with us please call 267-536-2867!  Be safe!!
499480097_259003591849828352 x	Melatonin Combats Insomnia Caused by Beta-Blockers http://t.co/dUC8h9Ux
499480097_257960875980378113 x	News from Beyond Chiropractic #constantcontact http://t.co/kLHTCxdQ
499480097_256465851576885248 x	Boot your immunity naturally!! http://t.co/C438Trg1 via @HealthRanger
499480097_256013083342946305 x	Wellness Hour!!  Today, from 12-1 pm here at Beyond Chiropractic... All are welcome!
499480097_253512027102916608 x	Print Coupon - 25% Off Your Purchase (For New and Current patients) http://t.co/b71aoIxE
499480097_253511674005426176 x	Print Coupon - FREE GIFT with initial consultation!!  http://t.co/8NzBlD8n
499480097_253199310475386881 x	Beyond Chiropractic: October News #constantcontact http://t.co/IcXyzGUT
499480097_250678804694044672 x	The PERFECT alternative to Pumpkin Pie!! http://t.co/g1apNoH9
499480097_248096812379017216 x	Just substitute the canola oil and butter for COCONUT OIL and you have one healthy tasty dish of Vitamin A+!!!! http://t.co/g0rSkLQj
499480097_248094627045969920 x	Happy 117th Birthday Chiropractic!!
499480097_243766935995703296 x	"A good laugh and a long sleep are the best cures in the doctor?s book." ~Irish Proverb http://t.co/pbJMeQhn
499480097_241546687565406209 x	Advanced Gua Sha Techniques - October 14, 2012 With Dr. Heather! http://t.co/usj785xc
499480097_239011618044903424 x	Don't let the rest of the #summer go to waste! Get outside and get some sun... it'll improve your #health! http://t.co/3g82VMNN
499480097_238667039600955392 x	Don't Forget!! Patient appreciation day is TODAY between 3 and 7 pm in the office.  Just stop on in and grab a snack!
499480097_236479342681681920 x	Come by the office on August 23rd from 3-7pm to check out our Patient Appreciation Day! http://t.co/vNIi95FB
499480097_235773304655470592 x	Having constant headaches??? Read this before you take any more meds!! http://t.co/XPkPwfX8 via
499480097_235128979919622144 x	News from Beyond Chiropractic #constantcontact http://t.co/6evWVOTE
499480097_231105476614561793 x	Relieve Chronic Pain with Exercise and Chiropractic Care http://t.co/pQevKYlq
499480097_231103921098194945 x	Spice Up Your Life with Garlic!   http://t.co/TEREQWha via @mercola
499480097_231077858074820608 x	Yet another Olympian (and word's fastest man) utilizing chiropractic care!  http://t.co/iYlSdOj7 via @examinercom
499480097_230047584209752064 x	Introduction to Gua Sha / Muscle Scraping - Sat August 4, 2012: http://t.co/cTwaOxAN
499480097_228562440009437184 x	Switch it up on the grill! Try these Grilled #FishTacos   http://t.co/lZe4h8ZR
499480097_228136868783468544 x	Gua Sha workshop! Don't miss it!  http://t.co/MciPYUmM
499480097_227804017814798336 x	Delicious and nutritious snacking options - Sweet potato fries and kale chips!  Try it out!  http://t.co/ZmVdJs6X via @HealthRanger
499480097_227493712505233408 x	Are you getting enough Vitamin D?  See Dr. Heather to find out!  Essential Fatty Acids and the sun http://t.co/mFJu7tek
499480097_216521047883788289 x	teaching kinesiology taping CE course this weekend for massage therapists!
499480097_215458547339771904 x	Many of life's failures are people who did not realize how close they were to success when they gave up" -Thomas A Edison
