17146677_338732277523705857 x	Michael Young is hitting .184 in May. He's down to .269/.361/.353 with MLB-leading 12 GIDP.
17146677_358981013029924865 x	His deal not haflway complete, Jonathan Papelbon is not a trade commodity. That is concerning. http://t.co/PmltqrK0Xl
17146677_358668952618012673 x	It's the sixth inning and the Phillies have no outfielders remaining on the bench, but who says they need more?
17146677_358325081837019136 x	Jeremy Horst?s season is likely over. Mike Adams is headed to surgery. Mike Stutes is shut down again. So the bullpen is? yeah.
17146677_379704646555947008 x	Always great to see Juan Pierre, who says he feels old because some Marlins teammates don?t know what Fresh Prince of Bel-Air is.
17146677_288346294639030274 x	Phillies outfield hodgepodge is nearing reality. Amaro: "We're likely going with what we've got."  http://t.co/BBXff3HE
17146677_280000913370935296 x	Updated the payroll worksheet. A rough estimation says $7 million left, if payroll stays similar to 2012: http://t.co/Z5bFbmJT
17146677_364914046945853442 x	I suppose if Darin Ruf OPSes .971, they can find a position for him.
17146677_342743468810043392 x	Michael Young is leading off. Mayberry in center.
17146677_311531410102054912 x	Playing around with Vine. Some crude Jesse Biddle video... http://t.co/woQZuEOnZw
17146677_306044388805591042 x	Get your Monday game info here: Domonic Brown sits and Yuniesky Betancourt leads off http://t.co/wAMjqWG2vL
17146677_239088785516818433 x	Lerud spent the whole season at double-A Reading. He's played 9 career games at AAA. Heavy workload for Kratz coming.
17146677_236585832318910464 x	Also, that has to be the greatest agent quote ever.
17146677_232649232786546688 x	Phillies home sellout streak ends at 257 http://t.co/JTlRF2Pj
17146677_230813783747096576 x	Should be. RT @JSalisburyCSN: 11 homers for J-Roll. Just wondering: Is that your third baseman for next year?
17146677_222813165161955328 x	Says a lot about Ruiz. MT @DPLennon: ...there was a real concern about Posey handling Dickey's knuckleball. Too big a risk of embarrassment.
17146677_213996652208472067 x	Rollins 6, Polanco 5, Pence 9, Thome 0, Victorino 8, Wigginton 3, Mayberry 7, Schneider 2, Martinez 4
17146677_378988842813882368 x	The Phillies were mathematically eliminated this afternoon when Cincinnati won.
17146677_368453474272681984 x	Ryne Sandberg comes out firing. Says there have been signs of ?lackadaisical play.?
17146677_354718734843248642 x	Struggling to remember a more random Phillie than Luis Garcia in the last decade or so. Suggestions?
17146677_343217520351797248 x	Charlie on Horst in the 9th: "When I looked at it, I figured Horst might have a hard time."
17146677_338466726889000961 x	Phillies have to make a roster move tomorrow when Mike Adams is activated. Is this Durbin's last moment?
17146677_361273228238389248 x	Max Scherzer's music is Forgot about Dre? Dude.
17146677_372170152466329600 x	Whoever smelt it, dealt it. RT @Lana: http://t.co/LB2E1L8qYk
17146677_382283058860146688 x	Roy Halladay walked the first batter on four pitches. The fourth hit the backstop.
17146677_361567827926335488 x	Holy shit.
17146677_374610635364892672 x	Cesar Hernandez is the 8th different Phillies centerfielder in 2013. Can you name them all? http://t.co/uGCxvrkATt
17146677_372472900411863040 x	An exercise: How many of the 46 current players on the Phillies 40-man roster will be on the 40-man roster come opening day 2014?
